,Date,Company,Article
45,,Adani,
19,,Adani,
57,,Adani,
21,,Adani,
49,,Adani,
23,,Adani,
55,,Adani,
39,,Adani,
25,,Adani,
27,,Adani,
53,,Adani,
29,,Adani,
31,,Adani,
51,,Adani,
33,,Adani,
37,,Adani,
67,,Adani,
17,,Adani,
15,,Adani,
1,,Adani,
43,,Adani,
3,,Adani,
65,,Adani,
5,,Adani,
47,,Adani,
59,,Adani,
7,,Adani,
9,,Adani,
41,,Adani,
11,,Adani,
61,,Adani,
13,,Adani,
63,,Adani,
35,,Adani,
50,***********,Adani,"*******************
2018-11-22
Power Finance Corporation will move out from the BSE 100 index, while Edelweiss Financial Services will be included in the index

New Delhi: Information technology major Wipro and Adani Ports and Special Economic Zones Ltd will be dropped from the Sensex, effective December 24. 
New Delhi: Information technology major Wipro and Adani Ports and Special Economic Zones Ltd will be dropped from the Sensex, effective December 24.
In their places, HCL Technologies and Bajaj Finance will enter the index, according to information available with the BSE website.
Besides, Power Finance Corporation will move out from the BSE 100 index, while Edelweiss Financial Services will be included in the index.
Bharti Infratel, Lupin and Hindustan Petroleum Corporation will be excluded from the Sensex 50 index and these firms will be replaced by Bajaj Finserv, Britannia Industries and JSW Steel.
“Effective at the open of Monday, December 24, 2018, ...changes will be made to these indices,"" the website noted.
Further, changes have been made in various other indices, including Sensex Next 50, BSE 200 and BSE 500 and sectoral indices such as bankex and Teck.
(This story has been published from a wire agency feed without modifications to the text.)"
