,Date,Company,Article
49,,Adani,
34,2018-01-08,Adani,"Adani Ports adds two giant dredgers
Adani Ports and Special Economic Zone Ltd (APSEZ), the country’s largest port developer and part of Adani Group, on Monday, announced the addition of two new 8000m3 Trailing Suction Hopper Dredgers (TSHDs).
These dredgers are amongst the largest in the Indian fleet of TSHDs, the company said here in a statement.
The Royal IHC, world leader in dredger building, designed and engineered these TSHDs as per APSEZ specifications and delivered it to the Adani team at Holland last month.
Both the dredgers have arrived at Adani’s Hazira Port in Gujarat after their maiden voyage through the Suez Canal route.
The dredgers have been registered under the Indian flag and classified under the Indian Register of Shipping, said Karan Adani, CEO, APSEZ.


Fleet strength up


With the two new dredgers, the company’s fleet strength has gone up to 19 dredgers, making it the largest dredging fleet in the country.
“This will substantially increase our capacity for dredging in APSEZ. These TSHDs are a big asset, as they will also support dredging efforts in other Indian ports and facilitate in port-led initiatives of the government.”
The Adani Hazira Port Pvt Ltd (AHPPL) is located close to the Delhi-Mumbai Industrial Corridor (DMIC) along the west coast of India which accounts for a major part of the Indian trade.
The port handles all types of cargo, including bulk, break-bulk, bulk liquid chemicals, petroleum products and edible oil, containers, automotive and crude."
40,2018-01-08,Adani,"After green nod, APSEZ set to formalise Kattupalli port deal with L&T arm


A container terminal at Kattupalli port




A container terminal at Kattupalli port


Decks have been cleared for Adani Ports and Special Economic Zone Ltd (APSEZ) to formally acquire Kattupalli port near Chennai from L&T Shipbuilding Ltd (LTSB) after a government agency cleared the bifurcation of the environment and coastal regulation zone (CRZ) clearances granted to the shipyard-cum-port complex.
On October 13, the Expert Appraisal Committee (EAC), functioning under the Ministry of Environment, Forest and Climate Change, approved an application filed by LTSB to amend the green clearance — issued earlier to LTSB — and to split it between LTSB and Marine Infrastructure Developer Pvt Ltd (MIDPL), a separate company formed by LTSB to vest the port business at Kattupalli, an official briefed on the EAC decision said.
This was the last of the statutory and regulatory clearances required to formalise the deal which was first announced in November 2015. Pending approvals, APSEZ has started running the de-merged Kattupalli port as an “official operator”.
In March 2016, the Tamil Nadu government approved the de-merger of the port from the shipyard to facilitate the deal between APSEZ and L&T Shipbuilding,
L&T Shipbuilding is 97 per cent owned by Larsen & Toubro Ltd (L&T), with Tamil Nadu Industrial Development Corporation (TIDCO) holding the balance stake. The Kattupalli shipyard and port was awarded to L&T in 2008 for development and operations for 30 years by the Tamil Nadu government as a so-called captive port — a facility developed by an entity for handling its own (captive) cargo.
To facilitate optimum utilisation of port infrastructure, the Tamil Nadu government later permitted L&T to handle other commercial cargo such as containers and cars at the captive facility, in line with its port development policy.The port policy of Tamil Nadu under which the original deal was awarded to L&T does not permit the sale of the port alone because it was structured as a single entity – L&T Shipbuilding Ltd. Hence, the sale, needed clearance from the State government to hive-off the port from the shipyard.
In March this year, the National Company Law Tribunal (NCLT) approved a scheme of arrangement for de-merger of the port business of LTSB into a separate company- MIDPL.
Formalities for the acquisition of Kattupalli port, is in the final stages. APSEZ has paid ₹1,450 crore till March 2017 for the acquisition which will be completed soon, according to the company. The firm achieved over 500 per cent growth as the official operator of Kattupalli, with container volumes rising from 7,900 TEUs a month in November 2015 (when the deal was announced) to over 35,000 TEUs per month in FY17.
APSEZ plans to transform Kattupalli into a multi-commodity port with a capacity to handle 24.65 million tonnes (mt) of cargo including 1.8 million TEUs, 149,899 automobiles, 0.44 mt of project cargo, 1.82 mt of break bulk/general cargo and 0.57 mt of edible oil, base oil, lube oil and non-hazardous liquid cargo."
35,2018-01-09,Adani,"Adani, JM Baxi and JSW Infra in race for Chabahar port deal


Chabahar port is of great strategic importance for the development of regional maritime transit traffic to Afghanistan and Central Asia




Chabahar port is of great strategic importance for the development of regional maritime transit traffic to Afghanistan and Central Asia


Adani Ports and Special Economic Zone Ltd (APSEZ), JM Baxi Group and JSW Infrastructure Ltd have been short-listed on a tender floated by India Ports Global Ltd to manage, operate and maintain (MOM) the container and multi-purpose terminals at Chabahar port in Iran, which was partly opened a few days ago.
India Ports Global, a 60:40 joint venture between Jawaharlal Port Trust and Deendayal Port Trust (previously Kandla Port Trust), was set up by the government to make strategic investments in overseas ports.
India Ports Global and Aria Banader Iranian Port signed a deal in May 2016 to equip and operate the container and multi-purpose terminals at Shahid Beheshti – Chabahar Port Phase I – at a capital investment of $85.21 million and an annual revenue expenditure of $22.95 million on a 10-year lease.
Accordingly, India Ports Global will select a strategic private partner to manage, operate and maintain the container and multi-purpose terminals for 10 years.


Fees






The MOM contract will have a fixed management fee and a variable management fee. The bidder quoting the lowest variable management fee from IGPL will win the deal.
The MOM partner will be finalised by March 31, 2018, a Shipping Ministry official said.
The successful MOM partner will have to incorporate a special purpose vehicle (SPV) in Iran with a local private partner. This SPV will take a 10 per cent stake in a separate SPV floated by IGPL in Iran to run Chabahar port.
Chabahar port, located in the Sistan-Baluchistan Province on Iran’s South-eastern coast (outside Persian Gulf), is of great strategic importance for the development of regional maritime transit traffic to Afghanistan and Central Asia. The first phase development of the port will have a container terminal with two berths of 640-metres quay length and a depth of 16 metres, and a multi-purpose terminal with a quay length of 600 metres and draft of 14 metres.
The port has a total back-up area of 70 hectares. The construction of both the terminals is nearing completion, and the process of procuring equipment for the two terminals by IPGL is currently under way.


Orders placed


IGPL has already placed orders with China’s Shanghai Zhenhua Heavy Industries Co Ltd (ZPMC) for four new post-Panamax-size rail-mounted quay cranes (RMQCs) for the container terminal. Order for buying 14 rubber-tyred gantry cranes (RTGs) will be placed within a month, the Ministry official said.
IGPL has also called bids for buying two mobile harbour cranes (MHC) of 140 tonnes and four MHC of 100 tonnes and 32 tractor trailers.
Chabahar port project will be the first overseas venture for Indian state-owned ports such as JNPT and Deendayal."
37,2018-01-09,Adani,"Adani Ports shares soar 3.6%
Shares of Adani Ports jumped as much as 3.6% intraday on Wednesday as the company has appointed Mrithyunjay Chandilya as Chief Executive Officer — Logistics Business.
Chandilya comes with global exposure and strong work experience in leadership positions at multinational and consulting organisations, the private port developer had said in a statement yesterday.
Following a positive open at Rs 403.90 against the previous close of Rs 401.20, the scrip touched an intraday high of Rs 415.70 and a low of Rs 401.55. In terms of equity volume, 2.28 lakh shares exchanged hands on the BSE.
The stock ended the session up by 3.27 per cent at Rs 414.30.
The company posted a consolidated net profit of Rs 992 crore in the September quarter this year against Rs 1,072 crore last year. Consensus forecast for September quarter consolidated net profit was Rs 845 crore.
September quarter consolidated revenue from operations stood at Rs. 2,706 crore against Rs. 2,173 crore last year."
38,2018-01-09,Adani,"Adani Ports names Mrithyunjay Chandilya as logistics CEO


Mrithyunjay Chandilya (file pic)




Mrithyunjay Chandilya (file pic)


Adani Ports and Special Economic Zone Ltd (APSEZ) today announced appointment of Mrithyunjay Chandilya as Chief Executive Officer — Logistics Business.
Chandilya comes with global exposure and strong work experience in leadership positions at multinational and consulting organisations, the private port developer said in a statement.
He is known particularly for his role as CEO, AirAsia India, where he was responsible for operational excellence, marketing and sales, brand management and organisational growth, it said.
Karan Adani, CEO, APSEZ, said, “We welcome Chandilya to the group. He comes with valuable experience in both domestic and international markets. He will play an important role in seamlessly integrating our logistics vertical with our ports and SEZ business, working towards our strategy of becoming a one-stop shop for many of our major customers.”
Chandilya started his career with lngersoll."
39,2018-01-09,Adani,"Adani Ports net profit down 7.5% at Rs 992 cr
Adani Ports & Special Economic Zone Ltd has posted a consolidated net profit Rs 992 crore in the September quarter this year against Rs 1,072 crore last year.
Consensus forecast for September quarter consolidated net profit was Rs 845 crore.
September quarter consolidated revenue from operations stood at Rs 2,706 crore against Rs 2,173 crore last year.
The board said it has approved buyback of NCDs worth Rs 500 crore.
Net debt as of September 30, 2017 stood at Rs 17,864 crore. The board has also approved issue of NCDs worth Rs 3,000 crore on a private placement basis.
Shares of Adani Ports were trading lower by 3.06 per cent at Rs 418.60 on the BSE."
36,2018-01-09,Adani,"Adani Enterprises, Adani Ports fall as coal mine project faces new hurdle
Adani Group stocks fell as hopes of Australian government loan for coal mine fade.
Adani Enterprises Ltd shares dropped as much as 4.04 per cent to Rs 147.
The company faces likely block on A$900 million ($684 million) government loan to help build a giant coal mine in Australia, with the left-leaning Labor Party on track for re-election in a state poll.
The loan amounts to only fraction of the overall cost of constructing the Carmichael mine, but was seen as a first step in reaching financial close on a project that was delayed for years by environmental opposition.
Shares of Adani Ports & SEZ fell 1.7 per cent. However, Adani Power Ltd wiped off its initial losses and ended up by 3.25 per cent at Rs 36.55."
42,2018-01-09,Adani,"Adani Ports Q1 net profit falls 13.65% at Rs 710 cr


BL04_P5_MUNDRA_3191044g




BL04_P5_MUNDRA_3191044g


Adani Ports and Special Economic Zone Limited (APSEZ), India’s largest port developer and the logistics arm of Adani Group, today saw a 13.65 per cent fall in net profit at Rs 710.25 crore for the first quarter ended June on account of higher tax.
The company had clocked a net profit of Rs 822.57 crore in the corresponding period of last fiscal, it said in a BSE filing.
Its total income rose to Rs 2,959.63 crore during the quarter under review as against Rs 2,085.14 crore in the corresponding quarter a year ago.
The total expenses of the company rose to Rs 1,867.43 crore in the April-June quarter of the current fiscal as against Rs 1,206.40 crore in the year-ago quarter.
The Profit after Tax is lower due to higher tax incidence at Mundra which is now out of tax holiday period, the company said adding, however, from a tax cash flow angle, there is no change (impact) as MAT credit of earlier years is available to the tune of Rs 2,700 crore, the company said in a statement.
APSEZ Chief Executive Officer and Whole-Time Director Karan Adani said, “Operations in our port and logistic business continues to be robust. With our string of ports across India providing multi point access to India’s hinterland.”
He said, “We expect our cargo volumes to grow as per our earlier guidance in FY18. Mundra port is on the verge of becoming the largest container handling port in India. We would continue to pursue our plans to expand our Logistic foot prints by adopting Asset light model. Our aim is to provide seamless hinterland connectivity for our customers across our ports.”
Adani added that higher capacity utilisation, focus on operational efficiencies by automation and technology upgrades and focus on cost reduction will ensure higher Cash flows and the company will continue moving forward and setting benchmarks in this industry in line with the aims and goals of the nation.
The company said in the first quarter of FY18, APSEZ handled cargo of 50 million tonne (MT), which includes 6 MT of cargo handled by Abbot Point Operations Pty Ltd, Australia.
It said in line with strategy to diversify cargo mix, container volumes grew by 21 per cent and other bulk cargo grew by 12 per cent while container volumes at Mundra grew by 20 per cent, Hazira by 25 per cent and Kattupalli port grew by 31 per cent.
“Larger ports viz, Mundra, Hazira, Kattupalli and Dahej registered significant growth in overall cargo volumes. While Mundra, our mother port grew by 5 per cent, Hazira grew by 19 per cent and Kattupalli grew by 30 per cent,” the statement said.
The Adani Group is one of India’s leading business houses with revenue of over $ 12 billion.
Adani owns and operates nine ports and terminals in India. These are at Mundra, Dahej, Kandla and Hazira in Gujarat, Dhamra in Odissa, Mormugao in Goa, Visakhapatnam in Andhra Pradesh and Kattupalli and Ennore in Chennai."
43,2018-01-09,Adani,"APSEZ set to become top container port operator


Mundra, the flagship port of APSEZ, is already India’s biggest port by volumes handled. It was the first Indian port to handle 100 million tonnes (mt) or more of cargo in a year; (Inset) Karan Adani, CEO, APSEZ
   -  SAM PANTHAKY




Karan Adani




Mundra, the flagship port of APSEZ, is already India’s biggest port by volumes handled. It was the first Indian port to handle 100 million tonnes (mt) or more of cargo in a year; (Inset) Karan Adani, CEO, APSEZ
   -  SAM PANTHAKY




Karan Adani


Adani Ports and Special Economic Zone Ltd (APSEZ) is on course to overtake Jawaharlal Nehru Port Trust as India’s biggest container port in the fiscal year ending March.
Mundra Port located in Gujarat and the flagship port of APSEZ, is already India’s biggest port by volumes handled. It was the first Indian port to handle 100 million tonnes (mt) or more of cargo in a year, a feat it achieved in FY14.
In fact, Mundra has already surpassed JNPT as India’s biggest container port by installed capacity.
APSEZ which operates 10 ports on the country’s eastern and western coasts ended FY17 with a container throughput of 4.24 million twenty-foot equivalent units or TEUs, crossing the 4 million TEU-mark for the first time on the back of a robust 27 per cent year-on-year growth in container volumes. It helped APSEZ raise its market share in container handling to 31 per cent. from 27 per cent on an all-India level.
In FY17, containers accounted for 37 per cent of APSEZ’s total cargo, compared to 32 per cent in FY16.
In comparison, JNPT handled 4.5 million TEUs with a flattish growth in FY17.
Karan Adani, APSEZ’s CEO and the elder son of its billionaire-promoter Gautam Adani, has bigger plans for the port.
“Our container volumes are expected to grow 20 per cent and overall cargo volumes between 12 and 14 per cent in FY18,” Karan said. If that becomes a reality, APSEZ would end FY18 with over 5 million TEUs. “We expect our EBITDA margins to increase from 69 % to 70/72 % in the next three years through enhanced use of technology, diversified cargo mix and higher capacity utilization”. India’s ports handled 1,138 mt of cargo in 2016-17, of which the ports run by APSEZ loaded 168.72 mt or about 15 per cent of India’s total port volumes, whereas the 12 ports owned by the Central government handled 647.63 mt.
Mundra ended FY17 with 113.72 mt, continuing its run as India’s biggest commercial port for the fourth year in a row. It handled 3.48 million TEUs.
Karan is focussing on boosting container volumes, handle high value cargo, liquids, LNG and LPG in some of these ten ports/facilities as part of a de-risking strategy. These ten ports comprise 45 berths with a cargo handling capacity of 335 mmt.
“In line with our goal to reduce dependence on individual commodities and to offset the decline in coal imports following the government’s revised policy, we ramped-up efforts to diversify our cargo mix and increase in container volumes. The growth was made possible by the commissioning of CT-4 at Mundra, higher container volumes at Kattupalli and Hazira ports, and the addition of services at Mundra, Hazira and Kattupalli, which resulted from our strategic partnerships with global lines such as MSC, CMA CGM, and Maersk,” Karan said.
The extension of CT-3 at Mundra will also be completed in FY18. The deep-water port at Vizhinjam in Kerala is expected to start operations in 2019 as a “competitive global container transhipment hub”, targeting the 2 million TEUs plus of Indian containers transshipped annually through the Indian Ocean.
APSEZ has also started coastal shipment from its Dhamra port to the southern ports.
Formalities for the acquisition of Kattupalli port near Chennai from L&T Shipbuilding Ltd, is in the final stages. APSEZ has paid ₹1,450 crore till March 2017 for the acquisition which will be completed in H1 of FY18. The firm achieved over 500% growth as the official operator of Kattupalli, with container volumes rising from 7,900 TEUs a month in November 2015 to over 35,000 TEUs per month in FY17.
APSEZ plans to transform Kattupalli into a multi-commodity port, Karan added."
