,Date,Company,Article
567,,Airtel,
566,2018-01-03,Airtel,"Reliance Jio had complained to Trai that a majority of calls on its network were failing as Airtel, Vodafone and Idea, among others, were not providing sufficient points of interconnection (PoI)

New Delhi: The Telecom Regulatory Authority of India (Trai) has issued new guidelines that require telecom operators to sign an interconnection agreement on a non-discriminatory basis within 30 days of receipt of a network connectivity request from a rival service provider. 
New Delhi: The Telecom Regulatory Authority of India (Trai) has issued new guidelines that require telecom operators to sign an interconnection agreement on a non-discriminatory basis within 30 days of receipt of a network connectivity request from a rival service provider.
The new rules formulated by Trai also provide for a penalty of a maximum of Rs1 lakh a day per circle for operators that violate these rules. There are 22 telecom circles in the country and most top operators are now present in all of them.
The regulations, effective 1 February, assume significance since there were no clear guidelines on the time frame for entering into such network connectivity pacts.
In addition, the previous interconnect agreement rules did not provide for any penalties on defaulting operators.
Interconnection means the commercial and technical arrangements under which service providers connect their equipment, network and services for the benefit of customers across their networks.
Point of interconnect (PoI) is a mutually agreed point of demarcation where the exchange of traffic between the two operators takes place.
After it started commercial services in September 2016, Reliance Jio Infocomm Ltd, the telecom arm of Reliance Industries Ltd, complained to the regulator that a majority of calls on its network were failing as rival operators were not providing sufficient PoIs.
The other operators had then said the free voice calls offered by Reliance Jio had led to a “tsunami"" of traffic on their networks.
Trai had in May defended its earlier stand to recommend to the department of telecommunications the imposition of a cumulative fine of Rs3,050 crore on Bharti Airtel Ltd, Idea Cellular Ltd and Vodafone India Ltd for allegedly denying PoIs to Reliance Jio.
Trai had recommended this penalty as it believed that the three operators had violated the licence agreement which mandates that the licensee will be responsible for maintaining the quality of service and any violation is liable to be treated as breach of terms and conditions of the licence.
The department of telecommunications is currently meeting Bharti Airtel, Idea Cellular and Vodafone India to decide on this matter.
Trai does not have penal powers and can only recommend penalties for violation of regulations.
The new rules also outline a framework for provisioning and augmenting of interconnectivity ports, laying down a step-by-step process for provisioning of such ports.
“For a period of two years from the date of establishment of initial interconnection, the service provider, who made the request for entering into interconnection agreement, shall seek ports at PoI from the other service provider to meet the demand of incoming and outgoing traffic at the PoI,"" Trai said.
“At the end of two years from the date of establishment of initial interconnection or on 1 February, 2018, whichever is later, the total ports existing at a PoI shall be converted for carrying one way traffic in such a manner that the number of ports for sending the outgoing traffic of each service provider to the other service provider are in proportion to their outgoing traffics averaged over a period of preceding three months,"" Trai added."
565,2018-01-03,Airtel,"Top brokerages expect the revenue of Bharti Airtel and Idea Cellular to decline in the third quarter as revenue from interconnect usage charges has added to their sales historically

New Delhi: Telecom operators Bharti Airtel Ltd and Idea Cellular Ltd, which are facing stiff competition after the advent of Reliance Jio Infocomm Ltd, are expected to take a further hit to their earnings for October-December because of the impact of the cut in interconnect usage charges. 
New Delhi: Telecom operators Bharti Airtel Ltd and Idea Cellular Ltd, which are facing stiff competition after the advent of Reliance Jio Infocomm Ltd, are expected to take a further hit to their earnings for October-December because of the impact of the cut in interconnect usage charges.
Top brokerages expect the revenue of Bharti Airtel and Idea Cellular to decline in the third quarter as revenue from interconnect usage charges has added to their sales historically.
The Telecom Regulatory Authority of India (Trai) had in September slashed interconnect usage charges from 14 paise a minute to 6 paise a minute effective 1 October. Interconnect usage charges (IUC) or mobile termination charges (MTC) are what an operator pays another for landing calls on the latter’s network.
“Our math suggests that mobile termination contributed to as much as 14-15% to Bharti’s India wireless revenues and a similar proportion to the segment’s Ebitda in July-September,"" Kotak Institutional Equities said in a report dated 1 January.
Ebitda is earnings before interest, taxes, depreciation and amortization.
A 57% cut in mobile termination charges, keeping all other variables constant, should result in around 8% sequential decline in India wireless revenues for Bharti Airtel, Kotak Institutional Equities added.
“Adjusted for IUC cuts, we believe competitive pressure on telcos will continue,"" Credit Suisse said in a report.
Credit Suisse expects Bharti Airtel’s revenue to drop to Rs21,026 crore in October-December, down 9.9% from a year earlier. On a sequential basis, revenue is expected to fall 3.4%.
For Idea Cellular, IUC’s contribution to revenue and Ebitda in July-September was 14-15% and 20-21%, respectively, Kotak Institutional Equities said in the report, adding that the cut in IUC would mean an 8% decline in revenue and nearly 11-12% impact on Ebitda on a quarter-on-quarter basis.
Credit Suisse expects Idea Cellular’s revenue to drop to Rs6,850 crore in October-December, down 20.9% year-on year. On a sequential basis, revenue is expected to drop 8.2%.
Idea Cellular has been posting a loss for the past three quarters.
Bank of America Merrill Lynch expects a sharper impact of the IUC rate cut on Idea Cellular with its October-December revenue declining 15.4% sequentially.
At the time of Trai’s announcement of the IUC cut, Vodafone and Bharti Airtel had said they were disappointed with the decision as this would worsen the health of the telecom sector.
The suggested rate, which has been arrived at in a “completely non-transparent fashion"", benefits only one operator which enjoys a huge traffic asymmetry in its favour, Bharti Airtel had said then, without naming Reliance Jio.
Vodafone India had at that time said that the Indian telecom industry was already experiencing the greatest period of financial stress in its history and this was yet another retrograde regulatory measure that would significantly benefit the new entrant alone while adversely affecting the rest of the industry as a whole.
The cut in interconnect usage charges will help Reliance Jio “generate additional $200-450 million Ebitda during FY18-20,"" Goldman Sachs had said in a note in September.
CLSA in a September note had said it expects Reliance Jio’s 2018-19 Ebitda to rise by 20% due to the cut in interconnect usage charges.
Interconnect usage charges in India have been brought down over time - from 30 paise in 2004 to 20 paise in 2009, and to 14 paise in 2015.
The IUC will be scrapped from 1 January 2020.
Idea Cellular managing director Himanshu Kapania at the India Mobile Congress in September said the telecom regulator’s decision to cut interconnect charges had created an inter-operator imbalance and would push the sector to a level where only one technology survives."
564,2018-01-12,Airtel,"UIDAI, however, maintains that Airtel Payments Bank's eKYC licence will remain suspended till final inquiry and audit report

New Delhi: The Unique Identification Authority of India (UIDAI) has extended the conditional permission given to Bharti Airtel Ltd to resume Aadhaar-based e-KYC verification of telecom subscribers till 31 March, from the initial date of 10 January. 
New Delhi: The Unique Identification Authority of India (UIDAI) has extended the conditional permission given to Bharti Airtel Ltd to resume Aadhaar-based e-KYC verification of telecom subscribers till 31 March, from the initial date of 10 January.
The move is aimed at facilitating the linking of Aadhaar with mobile SIMs. Coincidentally, the new deadline for this is also 31 March, as directed by the Supreme Court.
However, the suspension of the e-KYC licence of Airtel Payments Bank has still not been revoked.
UIDAI had asked Reserve Bank of India (RBI), the department of telecom (DoT) and audit and consultancy firm PwC India to conduct an audit of Airtel with respect to its systems, processes, applications, documentations and any other aspect as may be identified by the RBI and DoT to ensure that the firm complies with its licence conditions.
UIDAI will take a view on the issue on 10 February after taking into account the final audit report of the DoT, the RBI and others on the matter, said a report by PTI on Thursday, quoting officials.
When contacted, an Airtel spokesperson said, “We can confirm that the UIDAI has permitted Bharti Airtel to continue Aadhaar based e-KYC till March 31, 2018, subject to compliance to guidelines laid down by the authority. We continue to engage with the authorities and have addressed all concerns that they have raised. Compliance to all guidelines is of paramount importance to us and we remain committed to this.""
The decision to provide a temporary reprieve to Airtel on 21 December was taken after Rs138 crore of funds under the direct benefit transfer scheme were credited back to the original accounts of 5.6 million beneficiaries. 
In September, UIDAI had sent a notice to Airtel after receiving complaints that it was opening payments bank accounts without the explicit consent of users. It was also alleged that government subsidies were being credited in these accounts without the knowledge of users.
Last month, UIDAI had issued strict rules asking banks and the National Payments Corp. of India (NPCI) to ensure prior consent of beneficiaries of various government welfare schemes before switching bank accounts in which they receive subsidies due to them under the direct benefits transfer scheme. 
While granting the temporary reprieve to Airtel in December, UIDAI had instructed the firm to use the e-KYC and authentication service only for the purpose of re-verification and issuance of SIM cards and not for obtaining consent of the Aadhaar holder for opening bank accounts, wallets, DTH or any other goods or services.
Both Bharti Airtel and Airtel Payments Bank were appointed as authentication user agencies (AUA) by UIDAI and had entered into an agreement with UIDAI in February 2015 and September 2016 respectively for the purposes of availing of authentication services provided by the authority.
Navadha Pandey contributed to this story."
562,2018-01-16,Airtel,"After Reliance Jio and Airtel, Vodafone is also rolling out voice calls that will be routed on the 4G network, for better bandwidth that will translate into clearer audio

The next chapter in the battle between the telecom operators in India seems to be well and truly underway. Vodafone announced on Monday that it was starting the rollout of VoLTE services in India, starting with Gujarat—Delhi, Mumbai, Kolkata and Karnataka circles will be added soon. VoLTE, or Voice over Long-Term Evolution, is the method by which mobile service providers utilize the 4G network for voice calls as well, instead of just data.  
The next chapter in the battle between the telecom operators in India seems to be well and truly underway. Vodafone announced on Monday that it was starting the rollout of VoLTE services in India, starting with Gujarat—Delhi, Mumbai, Kolkata and Karnataka circles will be added soon. VoLTE, or Voice over Long-Term Evolution, is the method by which mobile service providers utilize the 4G network for voice calls as well, instead of just data. 
We saw a sneak peek of this late last year, when Airtel announced that it was rolling out VoLTE services in some parts of the country to compete with the VoLTE services offered by Reliance Jio over their 4G network. Airtel currently offers VoLTE in Mumbai, Maharashtra, Goa, Madhya Pradesh, Chhattisgarh, Gujarat, Andhra Pradesh & Telangana, Karnataka and Chennai circles. 
So, what exactly is VoLTE? Most of us would have upgraded to 4G SIM cards for our phones by now, and taking advantage of perhaps the better speeds available for web browsing, video and music streaming as well as downloads, compared with 3G connections. Till now, the 4G network was used for just that—handling data. In parallel, the voice calls that you made and received were pushed via the 3G or 2G networks. 
The biggest advantage of handling voice calls over the 4G network is that the greater bandwidth allows for better quality voice calls. Operators claim that these are high definition (HD) quality voice calls. There will be lesser call drops, greater voice clarity, and operators also claim that calls get connected significantly faster, in comparison with standard voice calls over 3G and 2G networks. While battery life of the phone you use may somewhat improve as well if you have good 4G connectivity, it will surely have a positive impact overall as the phone will now not have to keep switching from 2G or 3G every time you make a call and back to 4G again when you start using an app or browsing the web. 
There are limitations too. The primary restriction would be on whether both participants in the call have VoLTE connectivity. If the call recipient doesn’t, then the call you make will still remain a standard voice call. 
Then there is the issue of charges. At present, Reliance Jio, Airtel and now Vodafone are not charging separately for VoLTE calls—the calls will be charged as per the existing voice plan and would not consume any additional data. 
Now for the most important question—will your existing phone work with VoLTE, if and when your mobile service provider rolls this option out in your telecom circle? Chances are, yes. Let us look at some examples of phones that are compatible with VoLTE to reaffirm that you may not necessarily need to buy an expensive new phone—the OnePlus 3/3T/5/5T, Xiaomi Redmi Note 4/Mi Max/Mi A1/Redmi Y1/MIX 2, Apple iPhone SE/6/6 Plus/7/7 Plus/8/8 Plus/X, Samsung Galaxy A5/A7/A8/A9/J2/J7/ON8/S6 and the Nokia 2/6/8, to name a few. To get VoLTE to work on your phone, you will need to have a SIM card that is 4G-capable (if you don’t have that already), and activate VoLTE services for your connection. 
VoLTE will be the next big feature that could significantly improve the voice calls experience this year, once the rollout is wide enough and users sign up in large numbers."
563,2018-01-16,Airtel,"Annual operating profit of Airtel and the Vodafone-Idea combine will take a hit of Rs500 crore and Rs620 crore, respectively, due to the cut in international call termination charges

New Delhi: The Telecom Regulatory Authority of India’s (Trai) decision to reduce the international call termination charge from 53 paise a minute to 30 paise a minute will crimp the earnings of Bharti Airtel Ltd, Idea Cellular Ltd and Vodafone India Ltd, analysts said. 
New Delhi: The Telecom Regulatory Authority of India’s (Trai) decision to reduce the international call termination charge from 53 paise a minute to 30 paise a minute will crimp the earnings of Bharti Airtel Ltd, Idea Cellular Ltd and Vodafone India Ltd, analysts said.
The move will also impact newcomer Reliance Jio Infocomm Ltd, which was advocating a cut. 
The latest move by the telecom regulator is expected to result in an annualized Ebitda hit of Rs500 crore to Bharti Airtel and Rs620 crore to the proposed combined entity of Idea Cellular and Vodafone India, a report by Kotak Institutional Equities dated 15 January said. 
Ebitda—or earnings before interest, tax, depreciation and amortization—is a measure of operating profitability.
Idea Cellular and Vodafone India, which are currently negotiating a merger to create India’s largest telecom operator, are likely to start operating as a single unit from April, Mint reported on 15 January.
The new international call termination rate will be effective starting 1 February.
The cut in international call termination charge could result in Bharti Airtel’s Ebitda for the January-March quarter falling by Rs84 crore, according to Mint calculations, based on estimates by Kotak Institutional Equities.
The termination charge is payable by an international long-distance operator to the Indian telecom operator on whose network an overseas call terminates.
Kotak has derived the impact on telcos by pegging the annual international incoming traffic into India at around 75 billion minutes, which implies annualized revenue of roughly Rs4,000 crore for the access providers and a 43% cut in international call termination charge would result in an impact of roughly Rs1,700 crore on industry revenue, of which Bharti Airtel has a 33% share, Vodafone India 23% and Idea Cellular 18%.
“The cut is negative, but will not have a huge impact on the sector as such because the volume of incoming voice traffic is not that much,"" an analyst said, requesting anonymity.
“The hit to operators could be even lower than this if you take into account the demand elasticity benefits arising due to the cut,"" another analyst said, also on condition of anonymity.
The cut follows a steep reduction in the domestic interconnection usage charge—paid by one operator to another for calls made to the latter’s network—to 6 paise a minute from 14 paise, effective 1 October.
The Cellular Operators’ Association of India (COAI), a lobby group, had sought a hike in the international call termination charge from 53 paise a minute to Rs3.5 a minute. Reliance Jio had pushed for a cut to 6 paise.
“COAI is of the view that the reduction in international termination charge is against national interest, as the country will lose precious foreign exchange,"" Rajan S. Mathews, director general of the lobby group, said in a statement on Friday.
The resulting loss to telecom service providers is expected to be approximately Rs2,000 crore annually, and this will also lead to a loss in revenue to the exchequer, from both licence fees and goods and services tax, Mathews said.
COAI also conceded that its member Jio has a divergent view on this issue.
“That Jio was the only major access provider in India to support a cut in international termination charge is interesting to note. We understand that Jio has a minuscule market share of the current international termination market in India; however, this would have changed over time as Jio gained share, we believe,"" said the report by Kotak Institutional Equities.
“While this cut makes incumbents weaker and caps their cash flows, it is also negative for Jio. When Jio attains some more market share, this will come haunting them. But it has to get to that market share level so this is the strategy (to weaken incumbents),"" said the second analyst cited earlier.
Supporting the cut does not have any direct cost reduction benefit for Jio unlike the domestic interconnect usage charge cut, nor does it gain Jio any customer goodwill, the report by Kotak Institutional Equities said, adding that the cost-benefit equation in front of Jio was causing incumbents immediate hurt at the cost of shrinking a high-profitability source of industry revenue in which Jio would have participated at some point."
561,2018-01-16,Airtel,"Merrill Lynch Markets Singapore sold 3.87 crore shares, amounting to 0.97% stake, in Bharti Airtel at an average price of Rs499.1 per share

New Delhi: Merrill Lynch on Tuesday offloaded shares worth Rs1,931 crore in telecom operator Bharti Airtel Ltd, through an open market transaction.  
New Delhi: Merrill Lynch on Tuesday offloaded shares worth Rs1,931 crore in telecom operator Bharti Airtel Ltd, through an open market transaction. 
According to the bulk deal data available with the BSE, Merrill Lynch Markets Singapore Pte Ltd sold 3.87 crore shares, amounting to 0.97% stake, in Bharti Airtel. 
The shares were disposed of at an average price of Rs499.1 apiece, valuing the transaction at Rs1,931.23 crore, the data showed.
At the end of December quarter, Merrill Lynch held 5.09 crore shares of the telecom major.
The shares were bought by SRS Partners (Cayman) LLC. 
Bharti Airtel stock settled for the day at Rs496.90 on the BSE, down 1.43% from the previous close."
560,2018-01-17,Airtel,"Tata Sons plans to use the ECB funds to partly subscribe to the forthcoming rights issue of Tata Steel and repay part of the outstanding debt of Tata Teleservices ahead of its merger with Bharti Airtel

Mumbai: Tata Sons Ltd, the holding company of the Tata group, is looking to raise up to $1.5 billion in external commercial borrowing (ECB) in the next few weeks, two people directly aware of its fund-raising plans said. 
Mumbai: Tata Sons Ltd, the holding company of the Tata group, is looking to raise up to $1.5 billion in external commercial borrowing (ECB) in the next few weeks, two people directly aware of its fund-raising plans said.
Tata Sons plans to use the funds partly to subscribe to the forthcoming rights issue of Tata Steel Ltd and also repay a part of the outstanding debt of Tata Teleservices (TTSL), which is in the process of merging with Bharti Airtel Ltd, the people cited above said on condition of anonymity.
“Tata Sons has received approval from the Reserve Bank of India (RBI) for the proposed ECB and has begun discussions with foreign lenders to raise the funds,"" said the first person cited above.
ECBs are loans given by non-resident lenders to Indian borrowers in foreign currency. Under the current regulatory framework, ECBs can be raised either through the automatic route, which is limited to certain sectors, or under the approval route, for which the RBI’s permission is necessary.
In December, Tata Steel’s board approved a rights issue of Rs12,800 crore, primarily to fund the expansion of its Kalinganagar facility by 5 million tonnes per annum (mtpa) to 8 mtpa. The company has said the expansion will be completed in four years and funded through a mix of debt and equity.
“Post the rights issue, Tata Sons wants to retain its stake in Tata Steel at the current level for which it will have to infuse additional equity,"" said the second person cited above. “Apart from subscribing to the rights issue, the funds raised through ECB will be also used to repay a part of the Rs22,000 crore debt of Tata Teleservices,"" the second person said. 
“We do not comment on market speculation,"" a Tata Sons spokesperson said.
In October, Tata Sons agreed to sell its consumer mobile business to India’s largest telecom operator Bharti Airtel in a debt-free, cash-free deal.
On 11 January, a report in The Economic Times, citing people aware of the matter, said that the Tata group had repaid around Rs17,000 crore to various banks towards the outstanding debt of Tata Teleservices.
Tata Sons, founded in 1917 by Tata group’s founder J.N. Tata, is the principal holding company for the Tata group and owner of the Tata brand, and income from dividends and profit generated on sale of investments constitute the principal revenue source for the company, along with royalty fees earned from group companies. 
Tata Sons’ equity investments are spread across seven major industry segments and include flagship concerns such as Tata Consultancy Services Ltd, Tata Steel, Tata Power Co. Ltd, Tata Motors Ltd, Tata Chemicals Ltd, Tata Teleservices Ltd, and Tata Global Beverages Ltd, among others. 
Mint had reported in September that the Tata group under chairman N. Chandrasekaran has begun a process of rationalization, drastically pruning the number of firms in its portfolio and exiting non-performing and non-profitable businesses and consolidating holdings in some group companies under the ‘One Tata Plan’.
Tata Sons spent close to Rs4,000 crore in acquiring additional stakes in various group firms since the removal of former group chairman Cyrus Mistry in September 2016, Mint reported in September.
According to recent corporate filings, for the 12 months to March 2017, Tata Sons reported a profit after tax of Rs824 crore on an operating income of Rs9,950.4 crore. The firm reported a profit of Rs3,013.1 crore against Rs7,973.5 crore the year before."
559,2018-01-18,Airtel,"Newgen Software IPO gets 70% subscription on Day 2, while Amber Enterprises IPO fully subscribed on Day 1

US stocks end higher; Asian shares surge in early trade 
US stocks end higher; Asian shares surge in early trade
Stocks traded higher on Wednesday, following the release of stronger-than-expected quarterly results from some of the biggest US companies.
Stock indices in Asia on Thursday bounced back from declines in the last session, tracking substantial overnight gains on Wall Street. Investors also awaited a raft of China data, as well as interest rate decisions from South Korea’s and Indonesia’s central banks due later in the day.
Newgen Software IPO gets 70% subscription on Day 2
The initial public offering (IPO) of IT firm Newgen Software Technologies was subscribed 70% on the second day of the share sale on Wednesday.
Amber Enterprises IPO fully subscribed on Day 1
The Rs600-crore initial share public offering (IPO) of Amber Enterprises was fully subscribed on the first day of its bidding.
Puravankara to invest Rs600 crore on low-cost housing project
Realty firm Puravankara Ltd said it will invest Rs600 crore to construct an affordable housing project in Bengaluru.
Amalgamation scheme: Tata Power shareholders’ meet on 19 February
Tata Power said it will convene shareholders’ meeting on 19 February to seek approval for the proposed amalgamation of four group entities with the company.
HUL Q3 profit rises 28% to Rs1,326 crore
Hindustan Unilever Ltd posted a 28% rise in its third-quarter profit, underpinned by higher sales from its personal care business.
Earnings corner
Adani Power, Bharti Airtel, Hindustan Zinc, Mastek, Yes Bank and UltraTech Cement are among the companies that will be announcing their December quarter earnings on Thursday."
558,2018-01-19,Airtel,"Bharti Airtel's net profit tanked 39.3% in December quarter to Rs305.8 crore, while revenue fell 13% to Rs20,319 crore

New Delhi: Bharti Airtel Ltd’s quarterly profit plunged 39%, missing analysts’ estimates, as India’s telecom regulator more than halved interconnection fees and a pricing war triggered by the entry of Reliance Jio Infocomm Ltd continued unabated. 
New Delhi: Bharti Airtel Ltd’s quarterly profit plunged 39%, missing analysts’ estimates, as India’s telecom regulator more than halved interconnection fees and a pricing war triggered by the entry of Reliance Jio Infocomm Ltd continued unabated.
Net profit fell to Rs306 crore in the three months ended 31 December from Rs504 crore in the year earlier, India’s largest telecom operator said in a statement on Thursday. That compares with the Rs398 crore profit estimate of 10 analysts surveyed by Thomson Reuters.
Telecom operators, already reeling from a fierce price war that started with the entry of Reliance Jio in September 2016, were hit hard by the telecom regulator’s decision to slash interconnection usage charges (IUC) levied by mobile networks handling incoming calls from rival networks.
The Telecom Regulatory Authority of India (Trai) cut IUC from 14 paise a minute to 6 paise effective 1 October.
“Although the company faced pressure from Reliance Jio, the impact of the IUC cut is the biggest hit,"" a Mumbai-based telecom analyst said on condition of anonymity. “With consolidation in the sector, it is still the best placed among all operators.""
Revenue dropped 12.9% to Rs20,319 crore in the December quarter from Rs23,335 crore in the year earlier. Pricing pressure is evident from the fact that Airtel’s mobile data traffic rose more than five-fold to 1.18 billion megabytes (MBs) in the quarter.
“Regulatory fiat in the form of a cut in domestic IUC rates has exacerbated the industry ARPU (average revenue per user) decline in Q3’18. The recent announcement of reduction in international termination rates will further accentuate this decline and benefit foreign operators with no commensurate benefit to customers,"" Gopal Vittal, managing director and chief executive officer (India and South Asia) at Bharti Airtel, said in a statement.
The IUC cut has worsened the already strained health of telecom operators. Things started souring after Reliance Jio started commercial services in September 2016 with six months of free services, followed by rock-bottom tariffs. Airtel has since recorded a fall in net profit for five straight quarters as it cut tariffs to take on Jio.
Consolidated Ebitda fell 11.5% year-on-year to Rs7,587 crore in the quarter ended December, Airtel said. Ebitda is earnings before interest, taxes, depreciation and amortization.
Airtel’s December quarter revenues from India fell 11.3% year on year to Rs15,294 crore on an underlying basis, adjusted for the impact in reduction of domestic termination rates, primarily led by a drop in the mobile segment, the company said.
Airtel’s monthly ARPU (in India) fell sharply to Rs123 in the December quarter from Rs172 a year ago. The number of minutes spent on calls on its network, however, grew 49.8% in India during the quarter while the total data consumed on its network rose more than six-fold.
Performance of the company’s Africa unit has saved the company some blushes. In constant currency terms, Africa revenues grew by 5.3% year-on-year, led by strong growth in data and Airtel Money transactions, the company said."
