,Date,Company,Article
44,,Asian Paints,
43,2018-01-19,Asian Paints,"In a bid to close the wide gap with Asian Paints, AkzoNobel is extending its premium brand Dulux to introduce mass paints under the Dulux Promise brand

Mumbai: Dutch paints and chemicals firm AkzoNobel India Ltd will focus its energies on the mass paints segment and new niches to help accelerate its growth in India, two top company executives said. 
Mumbai: Dutch paints and chemicals firm AkzoNobel India Ltd will focus its energies on the mass paints segment and new niches to help accelerate its growth in India, two top company executives said.
In a bid to close the wide gap between itself and Asian Paints Ltd, the country’s largest paints and coatings company by far, AkzoNobel is extending its premium brand Dulux to introduce mass paints under the Dulux Promise brand. This will now be a key focus for the company to help it build a presence outside India’s top metros and bring in new consumers.
“We find as a strategy that increasingly the fastest growing segment is the mass segment,"" David Teng, director – decorative paints, India and South Asia, said in an interview. “That means going out from the top 15-20 cities to secondary and tertiary markets. This is something we’re working on. This is our fastest growing segment too.""
“This is the sector we’re going to focus on, easily the most competitive right now,"" Jeremy Rowe, managing director of decorative paints, Southeast & South Asia, Middle East, said in an interview. “Apart from the big 4, there are also a bunch of smaller, local players in the mass market.""
AkzoNobel is also extending the brand to new categories, including waterproofing, and will look to make new “specialty"" offerings.
“We can leverage global technology to launch into specialist niches,"" Rowe said. “We entered waterproofing last year. You will see Dulux in a lot more categories than we were in the last 3-4 years.""
AkzoNobel has been in India since the 1950s, but has remained a distant player in the paints market after much larger leader, homegrown Asian Paints. While Asian Paints closed FY16-17 with over Rs34,000 crore in revenue, AkzoNobel India made just over Rs3,100 crore in the same time period, as per data from the BSE. Asian Paints also sells paints across the value chain from luxury emulsions to distempers.
“In a scenario where aggressive multinational managements are garnering market share from the top 2 players in the Indian paints sector, lack of ‘required’ focus from Akzo is leading to the company continuing to lose out to competition,"" equities brokerage firm Spark Capital said in a note on the firm dated 7 November 2017. “We believe with uncertainty at parent level (Akzo Nobel NV merger/takeover talks), lack of heightened focus alongside GST disruption coupled with aggressive competition in marketplace has led to the current underperformance of the company.""
Asian Paints and Berger Paints lead India’s paints market."
42,2018-01-22,Asian Paints,"Asian Paints' revenue from operations was flat at Rs4,267.49 crore, although comparable growth in revenue was 10.9% year-on-year, after GST effects on line items

Mumbai: Asian Paints Limited, the country’s largest paints firm, on Monday posted a 15.9% rise in consolidated net profit for the quarter ended 31December, even as revenue remained flat on a consolidated level. Profit from continuing operations was up 19.5% year-on-year. 
Mumbai: Asian Paints Limited, the country’s largest paints firm, on Monday posted a 15.9% rise in consolidated net profit for the quarter ended 31December, even as revenue remained flat on a consolidated level. Profit from continuing operations was up 19.5% year-on-year.
Asian Paints’ revenue from operations was flat at Rs4,267.49 crore, although comparable growth in revenue was 10.9% year-on-year, after GST effects on line items. Consolidated net profit for the period stood at Rs567.21 crore up from Rs489.31 crore in the December 2016 quarter.
“The Decorative Paints business registered single digit volume growth in the current quarter,"" K.B.S. Anand, managing director and chief executive of Asian Paints, said in a statement. “In the international markets, units in Bangladesh, Oman, Bahrain, and Nepal witnessed good growth. However, the international group performance was impacted by adverse exchange rate fluctuations in some key markets,"" he said.
However, the company’s input costs also rose rapidly, up 13.66% from a year earlier to Rs2,142.17 crore for the quarter. This was largely led by higher prices of crude and Titanium Dioxide, both crucial factors in paints markets. While Brent Crude prices hit a three-year high at $70 a barrel this month, prices of Titanium Dioxide are up nearly 38% since January 2016.
“There is not much by way of a base effect of demonetization because paints companies made most of their sales in the September quarter of 2016, during the festival Diwali season,"" Sachin Bobade, equity research analyst at Dolat Capital said. “We estimate volume growth for the quarter was at 7% year-on-year. This is still low, largely because demand in rural markets is low,"" he said.
“Asian Paints will have to take a price hike, because their gross margin is at just 150 basis points,"" Bobade said. “They are largely managing on reduced A&P (advertising and promotion) spends. I don’t expect A&P spending to rise until the company takes price hikes,"" he added.
Asian Paints is not satisfied with its volume growth rates and is considering a price hike, its management said in a conference call with analysts on Monday.
“We are definitely not happy with the volume growth we are getting,"" Anand said. “However, our value growth is reasonable. We don’t think we are losing market share, but the growth in the paints industry has not been good enough for us to grow higher.""
“The demand has not yet reached pre-GST levels in our opinion. The overall economy growth has still not reached the numbers it was reaching earlier,"" Anand added.
Stocks of Asian Paints Limited closed at Rs1,176.70 per share, down 1.40%, while the benchmark BSE Sensex closed 0.81% higher at 35,798.01 points. The results were declared after markets closed."
41,2018-01-23,Asian Paints,"In other news, Ashok Leyland eyes five-fold rise in LCV exports, while United Spirits, RBL Bank earnings will be announced today

Asian markets gain in morning trade 
Asian markets gain in morning trade
Asian stocks gained in morning trade tracking the earnings season and the deal to end US government shutdown. The opposition Democrats reached an agreement with the Republicans to have a debate on immigration so as to end the ongoing federal government shutdown which lasted for three days. Read more
Overnight, the US markets closed with gains. S&P 500 at 2,832 points is up 0.81%.
IMF sees India GDP growth at 7.4% in 2018
India is projected to grow at 7.4% of its gross domestic product (GDP) in 2018 as against China’s 6.8%, the International Monetary Fund (IMF) said, making it the fastest growing economy among emerging economies following last year’s slowdown, reports PTI.
HPCL may acquire MRPL in cash, share-swap deal
Hindustan Petroleum Corp. Ltd (HPCL) may acquire Mangalore Refinery and Petrochemicals Ltd (MRPL) in a cash and share-swap deal, reports PTI.
Asian Paints posts 16% rise in Q3 net profit
Asian Paints Ltd posted a 15.9% rise in consolidated net profit for the quarter ended 31December, even as revenue remained flat on a consolidated level. The results came after market hours on Monday.
Just Dial Q3 net profit up 4%
Just Dial reported a 4.2% rise in its standalone net profit in the December quarter. Revenues increased 9.16% from the year ago quarter. Read more
Ashok Leyland eyes five-fold rise in LCV exports
Ashok Leyland is aiming to increase its export basket of light commercial vehicles (LCV) to 25% from the present 5% over the next three years, reports PTI. The company plans to invest Rs400 crore into a new platform of LCVs.
Oil ministry seeks cut in excise duty on petrol, diesel in budget
India’s oil ministry is pushing for a cut in excise duty on petrol and diesel in the upcoming 2018/19 budget to cushion the impact of rising oil prices on consumers, reports Reuters.
United Spirits, RBL Bank earnings today
NIIT Ltd, United Spirits Ltd, RBL Bank Ltd and Symphony Ltd are some of the companies that will release their earnings for the December quarter on Tuesday."
40,2018-01-24,Asian Paints,"Asian Paints, for the third consecutive quarter, saw its decorative paints volume growing in low single digits, despite a lower base due to demonetisation

The colour is fading from Asian Paints Ltd’s earnings performance, particularly in terms of volume growth and gross margins. 
The colour is fading from Asian Paints Ltd’s earnings performance, particularly in terms of volume growth and gross margins.
For the third consecutive quarter, the company saw its decorative paints volume growing in the low single-digits, despite a lower base due to demonetisation.
The company’s management attributed this soft growth to the weaker macro environment, adding that paint demand is yet to bounce back to pre-goods and services tax levels. Second, the extended monsoon and intensifying competition in south India, a key market for Asian Paints, impacted overall demand, it said in a post-earnings conference call. Further, early festive demand too impacted sales to some extent, added the company.
According to analysts, the paint maker has clocked around 6% volume growth in the third quarter.
Interestingly, peer Kansai Nerolac Paints Ltd has reported double-digit growth in both decorative and industrial segments in the same quarter. 
Though the management is blaming subdued macro demand for disappointing volume growth, the fact that competitors continue to grow at a much faster rate is a concern, say analysts.
“For the past 4-5 quarters Asian Paints has been growing volumes much below its competitors. In 3Q Asian Paints’ volume growth was 6-7% versus nearly 12-13% volume growth for Kansai Nerolac. This divergence is yet to be fully explained, and there is a possibility that Asian Paints is losing market share. We need to watch this for a few more quarters to conclude,"" Credit Suisse said in a report.
However, the company believes that it has not lost market share.
Meanwhile, Asian Paints’ operating margins surprised positively, thanks to tight cost control and lower advertisement spends, but higher raw material costs eroded gross margins. Gross margins declined sharply by more than 150 basis points in the December quarter (100 basis points equal one percentage point). 
Prices of titanium dioxide (TiO2), rutile and other crude oil-based inputs are inching up. Though the company has not effected a price hike this quarter, it will take appropriate pricing action depending on input cost trends, added the management. TiO2 accounts for 20% of the company’s raw material costs.
The only way to curb further margin erosion is by way of a price increase, but some analysts are of the view that even with a price hike, Asian Paints’ gross margins would be lower on a year-on-year basis in the fourth quarter.
Worried about these issues and the company’s muted international operations, some brokerage firms have revised the company’s volumes and earnings estimates lower. The Street too punished the Asian Paints stock, which corrected nearly 2% intraday on Tuesday, ending the day down 0.76% at Rs1,167.70."
39,2018-02-07,Asian Paints,"LIC, which had 5.007% stake earlier, increased its shareholding in Asian Paints to 7.01% by buying shares between 19 May 2017, and 2 February 2018

New Delhi: State-owned Life Insurance Corporation (LIC) has hiked its stake in Asian Paints by 2% by buying 1.92 crore shares in the open market.  
New Delhi: State-owned Life Insurance Corporation (LIC) has hiked its stake in Asian Paints by 2% by buying 1.92 crore shares in the open market. 
As per a regulatory filing, LIC, which had 5.007% stake earlier, increased its shareholding in Asian Paints to 7.01% by buying shares between 19 May 2017, and 2 February 2018. Shares of Asian Paints closed at Rs1,121 apiece, up 0.91% on the BSE."
38,2018-04-19,Asian Paints,"After raising prices by around 1.5% in March, Asian Paints recently announced yet another price hike of nearly 2% effective May and peers are expected to follow suit

Paint companies are tackling persistent input cost pressure with price increases. After raising prices by around 1.5% in March, Asian Paints Ltd recently announced yet another price hike of nearly 2% effective May and peers are expected to follow suit. 
Paint companies are tackling persistent input cost pressure with price increases. After raising prices by around 1.5% in March, Asian Paints Ltd recently announced yet another price hike of nearly 2% effective May and peers are expected to follow suit.
Paint makers have effected a slew of price increases in the past few quarters mainly to protect margin erosion on the back of rising raw material expenses. In 2017, all paint firms announced aggregate price hikes of approximately 5.5% across segments. 
Though the price of titanium dioxide (TiO2), a key input material, is currently down by around 12% from its peak, it remains elevated (see Chart 1). Most Indian paint companies import TiO2.
Similarly, prices of crude oil have also inched up on a sequential and year-on-year basis. Many of the inputs used in the manufacture of paints include monomers and crude oil derivatives, and account for about 30-35% of the total raw material cost of the sector. 
The price increases are expected to partially offset the impact of inflated raw materials on margins. 
According to ICICI Securities Ltd, gross margins of paint makers are expected to fall by 75-100 basis points year-on-year in the March quarter, but the margin contraction will be lower than the 150-300 basis points seen in the first nine months of fiscal year 2018 (FY18). A basis point is 0.01% (see Chart 2).
As the full impact of price hikes is realized, along with the planned hike from May, the brokerage house has factored in a 20-50 basis points expansion in its FY19 gross margin estimates.
As far as demand is concerned, year-end schemes and incentives provided to the dealers along with a favourable base will aid volume growth in decorative and industrial segments in the March quarter. That said, paint demand is yet to see a meaningful pickup. 
“Our survey of ~30 paint dealers pointed to a modest demand environment for decorative paints. While channel has recovered from goods and services tax (GST) impact and has restocked to pre-GST levels, substantial pick-up in consumer sentiment and spending remains elusive. Further, RERA implementation and sand shortage in several states continues to hurt demand from institutional buyers,"" IIFL Institutional Equities said in a report dated 9 April. RERA stands for the Real Estate (Regulation and Development) Act. 
Meanwhile, shares of key paint manufacturers are trading at an expensive one-year forward price-to-earnings multiple of more than 40 times and considering the aforementioned issues, these valuations need to correct."
37,2018-05-10,Asian Paints,"Asian Paints net profit rose to Rs481 crore in the three months ended 31 March, from Rs462 crore a year earlier

Bengaluru: Asian Paints Ltd reported a 4.1% rise in net profit for the March quarter, but missed average analysts’ estimates. 
Bengaluru: Asian Paints Ltd reported a 4.1% rise in net profit for the March quarter, but missed average analysts’ estimates.
Net profit rose to Rs481 crore ($71.52 million) in the three months ended 31 March, from Rs462 crore a year earlier, the company said on Thursday.
Analysts on average expected the Mumbai-based company to post a profit of Rs543 crore, according to Thomson Reuters data.
Revenue from operations gained 2.7%. 
Shares of Asian Paints today closed at Rs1214.70 apiece, down 0.77% from the previous close on BSE."
36,2018-05-11,Asian Paints,"The silver lining is that Asian Paints has taken price increases to offset cost inflation, and that has helped in revenue growth

There are shades of brightness in paint maker Asian Paints Ltd’s March quarter financial results. The decorative paint business in India has registered double-digit volume growth, thanks to better demand conditions. What’s not to like about that? Especially when this comes after three quarters of single-digit volume growth. Besides, operating profit margin rose, aided by the growth in volumes and some price increases.  
There are shades of brightness in paint maker Asian Paints Ltd’s March quarter financial results. The decorative paint business in India has registered double-digit volume growth, thanks to better demand conditions. What’s not to like about that? Especially when this comes after three quarters of single-digit volume growth. Besides, operating profit margin rose, aided by the growth in volumes and some price increases. 
But the cheer hasn’t spread all the way down to profits. A higher tax outgo and a decline in other income took a toll on net profit. It grew at a much slower pace of 4% to Rs496 crore, and was lower than Street expectations.
And that’s not all. Things are a bit dull when it comes to the company’s full-year numbers. At the beginning of fiscal year 2018 (FY18), Kotak Institutional Equities had forecast Asian Paints to grow its earnings per share by 20% from FY17. The company eventually ended up growing earnings by only 2.5%. Needless to say, that’s a big miss. The gap between expectations and actual performance was large in FY17 as well. 
“Expectations from FY2018 were high to begin with; GST (goods and services tax), good monsoons, busy state election cycle and the then-benign raw material environment were seen as a potent combination of tailwinds,"" wrote Kotak analysts in their note to clients. In this backdrop, performance has fallen far short of expectations. It’s little wonder that the company’s shares have underperformed the market in the past year.
Still, valuations are rich at 48 times estimated earnings for this fiscal year. Investor expectations remain lofty, despite big misses on past expectations. 
Kotak’s analysts say, “Clearly, narrative is the only thing that matters for the Indian FMCG (fast-moving consumer goods) stocks, for now. Poor delivery? No fuss.""
Going ahead, there isn’t much relief on the costs front either. Raw material prices of titanium dioxide, rutile and other crude oil-based inputs are inching up and these should weigh on profit margins in the coming quarters.
The silver lining is that Asian Paints has taken price increases to offset cost inflation, and that has helped in revenue growth. But whether earnings growth catches up with the company’s sky-high valuations this year, that’s another matter altogether."
35,2018-05-11,Asian Paints,"Asian Paints on Thursday reported 3.39% increase in consolidated net profit at Rs495.91 crore for the quarter ended March 2018

New Delhi: Shares of Asian Paints on Friday surged over 6% as the company reported 3.39% increase in consolidated net profit for the quarter ended March 2018.  
New Delhi: Shares of Asian Paints on Friday surged over 6% as the company reported 3.39% increase in consolidated net profit for the quarter ended March 2018. 
The stock rose sharply by 6.17% to close at Rs1,289.60 on BSE. During the day, it zoomed 6.56% to Rs1,294.40—its 52-week high. At NSE, shares of the company jumped 5.53% to end at Rs1,285.05. The stock was the top performer among the blue chips on both Sensex and Nifty. 
Following the sharp rise in the stock, the market capitalisation (m-cap) of the company climbed Rs7,185.15 crore to Rs1,23,698.15 crore. In terms of equity volume, 3 lakh shares of the company were traded on BSE and over 47 lakh shares changed hands at NSE during the day. 
Asian Paints on Thursday reported 3.39% increase in consolidated net profit at Rs495.91 crore for the quarter ended March 2018. The company had posted a net profit of Rs479.61 crore in the January-March quarter a year ago. It reported a total income of Rs4,531.52 crore in the fourth quarter as against Rs4,442.25 crore in the corresponding period a year ago, Asian Paints said in a BSE filing."
