,Date,Company,Article
255,,Axis Bank,
254,2018-01-10,Axis Bank,"In other news, SBI proposes to raise Rs5,000 crore through long-term bonds to fund affordable housing

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Newgen to launch Rs400 crore IPO on 16 January
Newgen Software Technologies Ltd, a software products company, on Tuesday said it will launch an initial public offering (IPO) on 16 January, seeking to raise over Rs400 crore, reports Mint. Read more
Niten Malhan to quit as Warburg Pincus India MD, start own investment company
Warburg Pincus India managing director and co-head of India Niten Malhan is quitting to start his own investment firm, reports Mint, citing two people aware of the development. This will mark the second top-level exit at the top American PE investor’s Mumbai office. Read more
PE investments in hospitality industry rose threefold in 2017
Private equity investments in the hospitality industry jumped three-fold in 2017, with transactions worth around $119 million closing during the year, indicating renewed interest in the sector, reports Mint. Read more
Axis, Max not in talks anymore, bank to chart out insurance foray on its own
Axis Bank is looking to acquire a life insurance business, reports The Economic Times, citing people with knowledge of the development. The bank’s executive committee had approved the move in the December quarter. Among possible targets are IDBI Federal Life Insurance and Tata AIA. Read more
IDFC Bank, Capital First explore merger worth Rs29,000 crore
IDFC Bank, which scrapped a deal to merge with Shriram City Union is said to be exploring a similar deal with the Mumbai-based Capital First, which has more than 5 million customers in retail and small and medium enterprises, reports Mint, citing two people familiar with the discussions. Read more
Realty firms struggle with record Rs99,000-crore unsold inventory
Real estate firms are once again adding inventory at a faster clip as sales offtake fails to keep pace with the rising supply of new properties. At the end of March this year, top listed developers were sitting on unsold inventory worth Rs99,000 crore, reports Business Standard. Read more
Paytm sets up investment and wealth management unit for its users
Mobile-first financial services platform Paytm on Tuesday announced the setting up of yet another company, Paytm Money Ltd, a wholly-owned subsidiary of One97 Communications, the firm that owns the Paytm brand, to build investment and wealth management products for its users, reports Business Standard. Read more
Fundraising through SME IPOs hits all-time high, rises Rs134.2 million in 2017
The year 2017 was the best year for public share sales of small and medium enterprises (SMEs) as individual investors, lured by past returns, flocked to pick up these offerings. The SME platform witnessed 133 offerings, mopping up Rs16,795 million last year, higher than the combined amount raised in the previous five years, reports Business Standard. Read more
Khadi ties up with retailers to enter shopping malls
Khadi has finally entered shopping malls by tying up with retail chains, in what is seen as an attempt to tap the middle-class market it has been losing to Patanjali, reports The Times of India. Read more
Morgan Stanley leads fundraise in home-grown stent company
Home-grown stent manufacturer SMT is raising Rs230 crore in a funding exercise led by leading investment management firm Morgan Stanley, along with existing institutional investor Samara Capital, in one of the largest deals in the highly-regulated segment, reaffirming its attractiveness to investors, reports The Times of India. Read more
SBI to raise Rs5,000 crore via bonds for affordable housing
Country’s largest lender State Bank of India (SBI) on Tuesday said it proposes to raise Rs5,000 crore through long-term bonds to fund affordable housing, reports PTI. Read more"
253,2018-01-17,Axis Bank,"Axis Bank's move to hike its MCLR comes days after SBI lowered its lending rate under the older base rate system by 0.30 percentage points

Mumbai: In a surprise move, the third largest private sector lender Axis Bank, which has been facing earning pressure in the past quarters, on Wednesday hiked its lending rates by a marginal 0.05 percentage points. 
Mumbai: In a surprise move, the third largest private sector lender Axis Bank, which has been facing earning pressure in the past quarters, on Wednesday hiked its lending rates by a marginal 0.05 percentage points.
The move to increase the marginal cost of funds based lending rate (MCLR) comes days after the nation’s largest lender State Bank of India (SBI) had lowered its rates under the older base rate system by a steep 0.30 percentage points.
“The bank has decided to increase the MCLRs by 0.05 percentage points across all tenors,"" Axis Bank said in a regulatory filing late in the evening.
The hike is effective from Thursday, the bank added. The one-year MCLR, at which rate its home loans and other important products are priced, will now stand at 8.30%, the bank said. The lender, which has been witnessing mounting asset quality and bottom-line pressures for the past many quarters, however, did not give any rationale for the move.
The rate action comes amid a hardening of bond yields over the past few months, which is bound to make banks report huge mark-to-market losses, which domestic rating Icra had pegged at around Rs15,000 crore in the December quarter.
The Reserve Bank of India (RBI) has also virtually told the banks that it would not allow any special dispensation to safeguard their bottom lines. The MCLR replaced the earlier base rate system in April 2016, to better translate policy actions and cost of funding faster into the pricing of loans. 
Banks calculate the rate on a pre-disclosed formula and rates are reviewed on a monthly basis. It can be noted that there have been deposit rate hikes by a few lenders in select tenors. Also, the review comes amid a virtual doubling in the credit growth to the double digit figure after a dull FY17. 
At its September quarter earnings, the bank had reported a slippage in its net interest margin to 3.45%, affirmed that was in line with the guidance of a 0.20% compression given earlier."
252,2018-01-18,Axis Bank,"Sembcorp India is expected to file its draft IPO papers with Sebi in February, Credit Suisse and Axis Bank are lead investment banks for the share sale

Mumbai: Singapore-based utility group Sembcorp Industries is gearing up to file for an initial public offering (IPO) of its Indian arm which could see the company raise around $500-600 million (about Rs3,200-3,800 crore), two people aware of the development said. 
Mumbai: Singapore-based utility group Sembcorp Industries is gearing up to file for an initial public offering (IPO) of its Indian arm which could see the company raise around $500-600 million (about Rs3,200-3,800 crore), two people aware of the development said.
Sembcorp’s Indian arm comprises thermal and renewable power assets. “Sembcorp India is expected to file its draft IPO prospectus with Securities and Exchange Board of India (Sebi) sometime next month. The proposed IPO could see Sembcorp raise as much as $500-600 million,"" said one of the two people cited above, requesting anonymity as he is not authorized to talk to reporters. 
“Investment banks Credit Suisse and Axis Capital are managing the initial share sale of the company,"" he said, adding that the company is yet to decide on the final structure of the share sale in terms of whether it will be a complete primary offering or a mix of primary and secondary share sale. 
Mint reported on 3 October about Singapore-based power producer’s plans to list its Indian unit.
According to the second person cited above, Sembcorp India has a portfolio of 4,000 megawatt (MW) of operating power assets across thermal and renewable. “Its thermal power business comprises over 2,600MW, while the renewable business comprises of 1,400MW of operational and under development assets,"" he said. 
Credit Suisse declined to comment. An email sent to Axis Capital on Tuesday did not elicit any response. “We have a strong commitment to the growth and sustainability of our over 4,000MW renewable and thermal energy portfolio in India, for which we continually evaluate various commercial and financial options. We have no further comment at this stage but will make an official announcement if and when appropriate,"" a spokesperson for Sembcorp said in an email response to queries regarding the Indian unit’s IPO plans. The company made its first power sector investment in India in 2010 when it acquired a stake in Gayatri Energy Ventures’s Thermal Powertech Corp. India, a thermal power plant.
In February 2015, Sembcorp Industries acquired a 60% stake in IDFC Alternatives Ltd-backed renewable energy firm Green Infra Ltd for Singapore $227 million. In August, Sembcorp Industries announced the acquisition of IDFC’s remaining 28% stake in SGI for Rs1,410 crore (around Singapore $301 million) to become its sole owner.
Sembcorp is among the few foreign utility firms that owns thermal power assets in India. Others include American firm AES and China Light and Power. 
Sembcorp India’s plans to go public come at a time when the Indian IPO market has seen its best year ever and other renewable power producers too have been contemplating public listings. In 2017, 36 companies raised Rs67,147 crore through the IPO route, while 26 companies raised Rs26,493.8 crore in 2016, data from primary market tracker Prime Database shows.
In December, The Economic Times reported that renewable energy producer Renew Power Ventures had appointed investment banks Goldmans Sachs, Kotak Mahindra Capital Co. Ltd and JM Financial for a $700 million IPO. In September, ACME Solar Holdings filed draft papers with Sebi for a Rs2,200 crore initial share sale."
250,2018-01-22,Axis Bank,"BSE Sensex closed higher by 286.43 points at 35,798.01, while the Nifty 50 rose 71.50 points to close at 10,966.20. Here are the latest updates from the markets

MUMBAI :
Mumbai: Benchmark indices closed at fresh all time highs led by gains in market heavyweights Reliance Industries and TCS. In the intraday trade, BSE Sensex rose 316.12 points to a fresh record of 35,827.70, while NSE Nifty gained 80.40 points to touch a new high of 10,975.10. Among the sectoral indices on BSE, energy, IT, realty and capital goods led the gains, while telecom and metal suffered losses. TCS, Reliance Industries, Axis Bank and ONGC were major gainers, whereas shares of Wipro, HDFC and Bharti Airtel were among the top losers. Here are the latest updates from the markets:
BSE Sensex closed higher by 286.43 points, or 0.81%, to 35,798.01, while the Nifty 50 rose 71.50 points, or 0.66%, to close at 10,966.20.
BSE Sensex traded higher by 233.44 points, or 0.66%, to 35,745.02, while the Nifty 50 rose 47.35 points, or 0.43%, to 10,942.05.
Sharika Enterprises Ltd said it has secured new order of Rs8.58 crore for survey design, erection, testing and commissioning services. Shares rose 16.20% to Rs58.10.
BSE Sensex traded higher by 237.45 points to 35,749.03, while the Nifty 50 rose 50.25 points to 10,944.95.
Axis Bank said its December 2017 quarter net profit rose Rs726.4 crore from Rs579.57 crore in the same quarter of 2016. Net NPAs were at 2.56% in the 2017 quarter compared to 2.18% in the year ago quarter. Shares rose 4.39% to Rs616.20.
Gujarat Narmada Valley Fertilizers & Chemicals Ltd reported a net profit of Rs228 crore in the December 2017 quarter versus a profit of RS66.77 crore in 2016 quarter. The company’s December quarter revenue from operations stood at Rs1,591 crore in the third quarter versus Rs1,221 crore a year ago. Shares rose 5.76% to Rs522.80.
Pricol Ltd shares jumped 6.05% to Rs123.50 after the company said it has partnered with Dongguan Shenpeng Electronics Co. Ltd for introducing electric water pumps in the Indian market.
BSE Sensex traded higher by 122.69 points, or 0.35%, to 35,634.27, while the Nifty 50 rose 21.25 points, or 0.20%, to 10,915.95.
Among sectoral indices, BSE Energy led the gains by rising 2.42%, followed by BSE Realty 0.81% and BSE Oil and Gas 0.59%. Meanwhile, the telecom index fell 1.39%, followed by metal 0.81% and utilities 0.51%.
Asian Paints Ltd, Axis Bank Ltd, Havells India Ltd, Just Dial Ltd and Rallis India Ltd are some of the companies that will release their earnings for the December quarter on Monday.
Gautam Exim Ltd said that it has embarked upon a new line business activity of marketing finished papers namely Kraft papers, writing and printing papers etc. Shares rose 0.61% to Rs49.80.
HungerBox, the Growth Story-promoted B2B food-tech company, on Monday said it has raised $2.5 million in pre-series A funding led by Lionrock Capital and Kris Gopalakrishnan, co-founder, Infosys. (Reuters)
BSE Sensex rose 189.14 points to hit a new all time high of 35,700.72, while the Nifty 50 gained 31.75 points to clock a fresh record of 10,926.45.
Wipro shares fell 3.27% to Rs317.70 after the company reported a 10% decline in its net profit to $303 million for the December 2017 quarter. The company said the profit fell on account of the company making a $49.7 million provision to deal with investments it made as part of its 10-year contract with Carillion, signed in 2014.
Apollo Micro Systems Ltd saw a firm stock market debut on Monday. The stock was listed at Rs478, up 73.81% on the BSE from its issue price of Rs275 a share. The issue, with the price band of Rs270-275, saw huge subscription of 248.51 times in the share sale from 10-12 January. It aimed to raise Rs156 crore through the initial public offering (IPO).
Omax Autos Ltd shares rose 20% upper circuit to Rs143.40 after the company reported a profit for the December quarter. The company reported a profit of Rs12.48 crore from a loss of Rs3.07 crore a year ago
Oil & Natural Gas Corp. Ltd shares rose 6.40% to Rs206 after the company on Saturday said that it will buy government’s 51% stake in Hindustan Petroleum Corp. Ltd (HPCL) for around Rs36,000 crore. HPCL fell 1.6%.
Reliance Industries Ltd shares were up 1.3% at Rs941 after the company on Friday reported a 81.98% jump in its pre-tax profit at Rs606 crore for the third quarter ended December 2017. RIL’s retail arm had reported a profit before depreciation and income tax or PBDIT of Rs333 crore in the same period previous fiscal, the company said in a regulatory filing. Reliance Retail’s revenue in the quarter under review jumped over two-fold at Rs18,798 crore as against Rs8,688 crore in the year-ago period.
Jaiprakash Associate Ltd rose 6% to Rs23 after the company said its net loss for the December quarter narrowed to Rs148 crore from Rs1,095.02 crore a year ago.
The Indian rupee on Monday weakened marginally against the US dollar, tracking losses in its Asian peers. The home currency was trading at 63.91 a dollar, down 0.10% from its Friday’s close of 63.85. The rupee opened at 63.89 a dollar. The 10-year bond yield was at 7.288% compared to its previous close of 7.295%.
BSE Sensex traded higher by 113.25 points, or 0.32%, to 35,624.83, while the Nifty 50 rose 8.85 points, or 0.08%, to 10,903.55."
251,2018-01-22,Axis Bank,"In other news, Maruti plans to launch four products in next 12-18 months

Asian markets mixed in morning trade 
Asian markets mixed in morning trade
Asian markets opened tentative weighed down by the government shutdown in the US. According to Reuters, financial markets in the US and Asia edged lower. 
Early Q3 earnings hint at revival in growth, demand
Early trends in December quarter corporate earnings indicate a revival in business growth following a downturn in the aftermath of the invalidation of high-value banknotes and implementation of the goods and services tax (GST), reports Mint.
Banks may get more time to switch to IndAS
The government and the Reserve Bank of India (RBI) may postpone the implementation of new accounting standards for banks because of the legislative changes and additional capital requirements the process would entail, reports Mint.
Pharma regulator warns industry of stricter price action
The National Pharmaceutical Pricing Authority has warned the pharmaceutical industry of stricter price regulation, a move which could weigh on sales growth, reports Business Standard.
ONGC looks to raise debt to fund HPCL acquisition
ONGC Ltd is looking at raising debt and selling some of its shareholding in other companies to finance its Rs36,915 crore acquisition of a 51.11% stake in HPCL Ltd, reports Mint. Over the weekend ONGC signed a deal to acquire 51.11% stake in HPCL.
RIL posts record profit on refining margins boost, Reliance Jio show
Reliance Industries Ltd (RIL) reported a 25% increase in quarterly profit, beating analysts’ estimates, as its telecom unit swung to a profit and the petrochemical business posted strong gains.
Maruti plans to launch four products in next 12-18 months
Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months, reports PTI. The company expects to close the ongoing fiscal with double-digit sales growth, the report adds.
Asian Paints, Axis Bank results today
Asian Paints Ltd, Axis Bank Ltd, Havells India Ltd, Just Dial Ltd and Rallis India Ltd are some of the companies that will release their earnings for the December quarter on Monday."
249,2018-01-22,Axis Bank,"Axis Bank's net profit rises to Rs726.44 crore for the December 2017 quarter from Rs579.57 crore a year ago as the bank provides lower provisions against its bad loans

Mumbai: Axis Bank Ltd on Monday reported a 25.3% increase in its fiscal-third quarter profit as the bank provided lower provisions against its bad loans. 
Mumbai: Axis Bank Ltd on Monday reported a 25.3% increase in its fiscal-third quarter profit as the bank provided lower provisions against its bad loans.
Net profit rose to Rs726.44 crore for the quarter ended 31 December from Rs579.57 crore a year ago. According to 16 Bloomberg analysts’ estimates, the bank was expected to post a net profit of Rs818.70 crore.
Net interest income (NII) or the core income a bank earns by giving loans was up 9.18% to Rs4,731.52 crore compared with Rs4,333.73 crore last year. Other income was at Rs2,593.08 crore, down 23.74% from Rs3,400.21 crore a year ago.
Provisions and contingencies fell 26% to Rs2,811.04 crore from Rs3,795.80 crore a year ago. On quarter-on-quarter basis, it fell 10.49% from Rs3,140.41 crore.
Gross non-performing assets (NPAs) rose 22.15% to Rs25,000.51 crore at the end of the December quarter from Rs20,466.82 crore in the same quarter last year.
As a percentage of total loans, gross NPAs stood at 5.28% as compared to 5.90% in the previous quarter and 5.22% in the year-ago quarter. Net NPAs were at 2.56% in the December quarter compared to 3.12% in the previous quarter and 2.18% in the same quarter last year.
Gross NPA additions declined 50.5% to Rs4,428 crore. The bank said that corporate slippages stood at Rs2,980 crore and 93% of its came from low-rated BB and below accounts.
Recoveries and upgrades were at Rs4,008 crore, while write-offs during the quarter was at Rs2,822 crore.
“During the quarter bank recovered substantial amount in cash from an IT/ITES account and also upgraded one account in the Steel Sector. These two accounts were part of the nine accounts that were reclassified as NPA by the Bank in second quarter of fiscal year 2018,"" it said in a notice to the BSE.
Its total loan amount outstanding against IBC accounts and watchlist stood at Rs6,074 crore and Rs5,309 crore, down 14% and 12%, respectively, from its previous quarter.
Advances rose 21.24% from a year ago to Rs4.21 trillion. Deposits rose 10.3% to Rs3.71 trillion. The bank said its credit cost for the quarter and first nine months of this fiscal stood at 233 basis points and 250 bps and it continues to retain its credit cost guidance for fiscal 2018 in the range of 220-260 bps. One bps is a one-hundredth of a percentage point. 
At 2.19pm, Axis Bank was trading at Rs615.70 on the BSE, up 4.31% from previous its close, while benchmark Sensex index rose 0.62% to 35,730.89 points."
248,2018-01-23,Axis Bank,"Axis Bank NPAs (as a percentage of gross advances) declined to 5.28% from 5.90% in the previous quarter, net NPAs were lower sequentially at 2.56% from 3.12%

The tide seems to be turning for Axis Bank Ltd.  
The tide seems to be turning for Axis Bank Ltd. 
India’s third-largest private sector lender saw significant improvement in its asset quality in the December quarter.
Gross non-performing assets or NPAs (as a percentage of gross advances) declined to 5.28% from 5.9% in the September quarter and net NPAs were lower sequentially at 2.56% from 3.12%.
Slippages, which had got out of hand in the previous quarter, declined by 50% sequentially. Fresh slippages fell to Rs4,430 crore in the December quarter from Rs8,940 crore in the three months ended September. 
“The worst in terms of fresh slippages is behind us. There has been no material addition to the bank’s stressed assets pool in the recent past. Now, the focus will shift from recognition phase to the resolution phase, be it through NCLT route or any other,"" the management said in a post-earnings media conference call. NCLT is short for National Company Law Tribunal.
During the third quarter, Axis Bank recovered a substantial amount in cash from a stressed IT/ITeS (IT enabled services) account and also upgraded one account in the steel sector. These two accounts were part of the nine accounts that were reclassified as NPAs by the bank in the second quarter of the current fiscal year, it said.
As a result, the bank’s recoveries and upgrades stood at Rs4,008 crore, which the management says is the highest in many quarters.
Further, its watch-list exposures also fell. As the accompanying chart shows, the watch-list now constitutes just 1.3% of the bank’s loan book as compared to 6.7% in the March quarter of fiscal year 2016. (FY16). According to analysts, this is an indication that Axis Bank is approaching the end of its stressed loan recognition cycle.
Moderation in the credit cost is another positive. The lender has retained its FY18 credit cost guidance of 220-260 basis points. Also, it aims to maintain the provision coverage ratio in the range of 60-65%. A basis point is 0.01%.
Meanwhile, lower bad loan provisions and higher net interest income pushed its net profit 25% higher on a year-on-year basis to Rs726.4 crore. However, a decline in other income and operating income restricted the improvement and consequently, the profit growth fell short of expectations. A Bloomberg poll of 16 analysts estimated the bank’s net profit at Rs818.70 crore.
Nonetheless, the Street cheered the December quarter earnings. The Axis Bank stock touched a 52-week high of Rs621.35 intraday on BSE on Monday. Analysts see limited upside in the stock from current levels, adding that sustaining the turnaround in asset quality is key for the bank."
247,2018-01-23,Axis Bank,"In other news, Axis Bank's  fee income grew 24% to Rs2,246 crore from a year earlier, of which retail contributed almost 50%

25% 
25%
What is it? The increase in the net profit of Axis Bank, India’s third largest private sector lender, to Rs726.4 crore in the October-December quarter, from Rs579.6 crore in the corresponding quarter a year ago.
Why is it important? This is due to a decrease in provisions against bad loans, a sharp slowdown in bad loan additions and an increase in fee income. Axis Bank’s provisions and contingencies decreased by 26% to Rs2,811 crore, while it added Rs4,428 crore of bad loans, less than half the levels in the September quarter. Its fee income grew 24% to Rs2,246 crore from a year earlier, of which retail contributed almost 50%. 
Tell me more: Shares of Axis Bank rose 3.5% on Monday to close at Rs612, their highest levels since September 2016.
3.9%
What is it? The world’s projected GDP (gross domestic product) growth in 2018 and 2019, according to the International Monetary Fund (IMF). 
Why is it important? The projections for both years have been revised upwards by 0.2 percentage points. If these hold true, the world economy would grow at its fastest pace since 2011. The IMF says the world economy is gathering speed, though the present economic upturn is a “reflection of confluence of factors that is unlikely to last long"". The US tax policy changes passed in December and enacted this year would account for about half the increase in global growth projections. 
Tell me more: The primary reasons the upturn will taper off is that advanced economies are reaching the limits of their growth potential and the growth in the world’s two biggest economies, US and China, may slow down. The IMF retained India’s GDP projections for 2018 and 2019 at 7.4% and 7.8%, respectively.
10
What is it? The number of years since the 2008 Ahmedabad bombings, where 21 bomb blasts occurred in 70 minutes.
Why is it important? The Delhi police arrested Abdul Subhan Qureshi, the alleged mastermind of the blasts that hit Ahmedabad on 26 July 2008, which killed 56 people and injured over 200. He is the co-founder of Indian Mujahideen, which has been behind some of the most deadly bombings in India. Qureshi is wanted by the National Investigation Agency in connection with terror attacks in Delhi, Bengaluru and the 2006 local train bombings in Mumbai.
Tell me more: Qureshi was reportedly planning a revival of the Indian Mujahideen in states such as Uttar Pradesh, Maharashtra, Karnataka, Gujarat and Madhya Pradesh, where it had a stronghold earlier.
25 million
What is it? The number of items that Amazon will make available for delivery within two days under its priority programme Amazon Prime, as against 11 million earlier.
Why is it important? It signals greater use of Prime as a lever by the e-commerce major, which is locked in a tough fight against Flipkart in India, to build customer stickiness while growing at a fast clip. Other forthcoming enhancements in Prime—which costs Rs999 a year—include a wider video selection and a music service. Flipkart, too, is reportedly looking to revive its customer loyalty programme.
Tell me more: In India, Prime members reportedly account for 30% of Amazon revenues. In the US, Amazon had 90 million Prime subscribers, as of September 2017—a 100% growth in 27 months.
58
What is it? The singles ranking of Hyeon Chung of South Korea, who on Monday upset 12-time grand slam winner Novak Djokovic to reach the quarter-finals of the Australian Open. 
Why is it important? Chung is the first South Korean to reach the quarter-finals in the singles of a grand slam. He thus completed an eight-player lineup whose average ranking is a high 29 and which has three rank outsiders in the form of Chung, Kyle Edmund of UK (world ranking 49) and Tennys Sandgren of US (world ranking 97). 
Tell me more: Even as the younger brigade makes a charge, the draw is set up nicely for the two old guards, Roger Federer and Rafael Nadal, who have been the two best men’s singles players in the past 12 months and who played an epic final last year.
howindialives.com is a search engine for public data"
246,2018-02-15,Axis Bank,"Axis Bank informs the stock exchanges that it has sold down all the transactions which it had undertaken against the LoUs issued by Punjab National Bank

Mumbai: Axis Bank informed the stock exchanges on Thursday that the bank has sold down all the transactions which it had undertaken against the Letter of Undertakings (LoUs) issued by Punjab National Bank. These transactions were, however, undertaken against authenticated SWIFT LoUs, the bank assured. 
Mumbai: Axis Bank informed the stock exchanges on Thursday that the bank has sold down all the transactions which it had undertaken against the Letter of Undertakings (LoUs) issued by Punjab National Bank. These transactions were, however, undertaken against authenticated SWIFT LoUs, the bank assured.
“Axis Bank is an active participant in the secondary market for such transactions, and the bank has sold down all of the referred transactions,"" said the notice.
The private sector lender added that such transactions are undertaken as part of the normal course of trade business through its overseas branches. The amounts are typically credited to the LoU issuing bank’s nostro accounts.
The clarification from Axis Bank comes a day after the PNB acknowledged that it has detected financial fraud amounting to over Rs11,000 crore in its Mumbai branch. The bank had accused jeweller Nirav Modi and the companies linked to him for acquiring LoUs to obtain loans from banks abroad."
