,Date,Company,Article
149,,BPCL,
148,2018-02-09,BPCL,"BPCL's profit for the quarter ended 31 December stood at Rs2,144 crore  compared with Rs2,272 crore last year

Bengaluru: State-run refiner Bharat Petroleum Corp. Ltd (BPCL) on Friday posted a near 6% fall in third-quarter profit, but still marginally beat analysts’ estimates. 
Bengaluru: State-run refiner Bharat Petroleum Corp. Ltd (BPCL) on Friday posted a near 6% fall in third-quarter profit, but still marginally beat analysts’ estimates.
Profit for the quarter ended 31 December stood at Rs2,144 crore ($332.93 million) compared with Rs2,272 crore last year, the company said in a filing.
Analysts on average had expected the refiner to post a profit of Rs2,118 crore, Thomson Reuters Eikon data showed.
Average gross refining margin, the difference between the cost of crude oil processed and the prices of refined products, rose to $7.89 per barrel for the quarter ended 31 December, from $5.90 per barrel in the same period last year.
Revenue from operations for the quarter rose 9.5% to Rs70,195 crore."
147,2018-02-12,BPCL,"ONGC's overseas arm ONGC Videsh, IOC and a unit of BPCL paid $600 million for a 10% stake in the UAE's offshore oil and gas field Zakum

New Delhi: A consortium of Indian companies led by state-owned Oil and Natural Gas Corp. Ltd (ONGC)’s overseas arm, ONGC Videsh Ltd, has bought a 10% stake in the UAE’s offshore oil and gas field Zakum, as India pursues overseas hydrocarbon assets while oil-rich nations resort to ways of reducing risk and balancing their budget deficits. 
New Delhi: A consortium of Indian companies led by state-owned Oil and Natural Gas Corp. Ltd (ONGC)’s overseas arm, ONGC Videsh Ltd, has bought a 10% stake in the UAE’s offshore oil and gas field Zakum, as India pursues overseas hydrocarbon assets while oil-rich nations resort to ways of reducing risk and balancing their budget deficits.
ONGC Videsh said late on Saturday night that the Indian side will pay a sign-up bonus of $600 million as part of the deal inked in Abu Dhabi between company executives and UAE officials in the presence of visiting Prime Minister Narendra Modi and Abu Dhabi crown prince Sheikh Mohammed bin Zayed Al Nahyan.
The deal gives the Indian consortium, which includes Indian Oil Corp. Ltd and Bharat Petroleum Corp. Ltd’s overseas arm Bharat PetroResources Ltd, access to about two million tonnes of annual share from the field which produces about 400,000 barrels of oil a day.
Backed by diplomatic efforts, Indian energy companies have been aggressively pursuing a share in the world’s most prolific oil and gas fields. In 2016, Indian Oil, Oil India Ltd and Bharat PetroResources had bought stakes in two assets in Siberia owned by Russia’s state-backed PJSC Rosneft Oil Co. for $3.3 billion.
Although global oil prices have been rising recently, it is far below the $100-plus levels seen three years ago, forcing many oil-rich nations to narrow their budget deficits by selling assets and diversifying into non-oil sectors of the economy. US exporters stepping up their supplies is also helping to reduce the effectiveness of the supply cuts by the Organization of the Petroleum Exporting Countries (Opec), aimed at propping up prices. The UAE is a member of Opec.
“The trend in upstream oil and gas projects is to take a consortium approach which helps in mitigating the risk. Besides, building good relationship between the two nations is also a motivation for the deal,"" said K. Ravichandran, senior vice-president and group head, corporate ratings, at Icra Ltd.
In a statement, ONGC Videsh said the stake acquisition in Zakum is the first time that Indian oil and gas companies have been given a stake in the development of Abu Dhabi’s hydrocarbon resources. The deal has a term of 40 years.
“We are hopeful that this historic agreement will lead to further opportunities for Indian oil and gas companies to participate in the UAE’s energy sector,"" the statement said, citing chairman Shashi Shanker."
146,2018-02-28,BPCL,"Oman Oil, Kuwait National Petroleum and Abu Dhabi National Oil have evinced interest in buying Bharat Petroleum's stake in Bina refinery

Mumbai: National oil companies of Oman, Kuwait and Abu Dhabi are in talks to buy up to 24% stake in Madhya Pradesh’s Bina refinery, two people aware of the development said. 
Mumbai: National oil companies of Oman, Kuwait and Abu Dhabi are in talks to buy up to 24% stake in Madhya Pradesh’s Bina refinery, two people aware of the development said.
Bharat Oman Refineries Ltd (BORL), which operates the refinery, is an equal joint venture between Bharat Petroleum Corp. Ltd (BPCL) of India and Oman Oil Co. S.A.O.C. of the Sultanate of Oman. It has a capacity of 6 million metric tonnes per annum (mmtpa).
“Oman Oil Co., Kuwait National Petroleum Co. and Abu Dhabi National Oil Co. have evinced interest in buying stake in Bina refinery. Oman Oil, which is an existing partner, has expressed interest in making further investments in the refinery. BPCL may be able to raise around Rs2,000 crore from the stake sale,"" said a banker, one of the two people cited above, on the condition of anonymity. 
BPCL, Oman Oil, Kuwait National Petroleum Co. and Abu Dhabi National Oil Co. did not respond to emails sent on Monday.
“The Indian market is one of the fastest growing which explains the interest from international companies. As for Bina refinery, it is a good functional refinery. There is no gestation period involved which makes it an attractive bet for investors,"" said K. Ravichandran, senior vice president and group head, corporate ratings, ICRA Ltd.
BPCL and Oman Oil together hold 50% stake in BORL. In addition, BPCL has subscribed to share warrants of Rs1,585.68 crore in the firm. 
“BPCL has made an investment in compulsorily convertible debentures and share warrants of BORL. This investment is equivalent to 24% additional equity stake in BORL. So, technically, BPCL holds 74% stake in BORL. The share warrants would be converted to equity when global companies buy stake in BORL,"" the banker added.
In 2015, Oman Oil Co. had expressed its reluctance to put more money in the refinery to fund its Rs3,000 crore expansion. So BPCL, in April 2016, sought government approval to put in more equity to fund the expansion by way of subscription of convertible warrants, giving it the right to convert it into equity shares.
BORL meets BPCL’s product requirements in the northern and central regions in the country and receives crude supply by a cross-country pipeline from Vadinar to Bina. In 2016-17, it recorded a crude throughput of 6.33 million tonnes at an average capacity utilization of 106%. Its gross refining margin for 2016-17 stood at $11.80 per barrel. 
“Bina is a well performing refinery posting double-digit gross refining margins. BPCL is planning to expand it further which has got international companies interested,"" said the second of the two people cited earlier. He added that Oman Oil, which had earlier declined to participate in the refinery’s expansion, has also expressed interest in pumping in more money.
In 2016-17, BORL reported profit after tax of Rs808.13 crore. According to documents with the registrar of companies, BORL’s net worth is at Rs2,300-odd crore.
Bina refinery is raising its refining capacity in two phases— to 7.8 million tonnes mtpa from current 6 mtpa at a cost of Rs3,072 crore by 2018, and then to 15 mtpa for an additional investment of Rs30,000 crore in the next four-five years. The refinery will also set up a petrochemicals unit with a 1.5 mtpa naphtha cracker.
“BPCL is preparing a detailed feasibility report for the expansion, which would be shared with the companies who have shown interest in the refinery,"" the second person added. 
According to the oil ministry’s petroleum planning and analysis cell, in January, India recorded a 10.3% increase in oil demand, a fourth straight monthly gain. 
Total oil consumption expanded at the fastest pace in 14 months to 16.9 million tonnes from 15.3 million tonnes a year ago."
145,2018-02-28,BPCL,"In other news, IndusInd Bank ties up with Ripple to aid global payments

US stocks end lower; Asian markets open on a negative note 
US stocks end lower; Asian markets open on a negative note
US stocks fell for the first time in four days Tuesday after comments from new Federal Reserve Chair Jerome Powell sent rates higher.
Asian markets edged down early on Wednesday after US stocks slid, following a congressional testimony from the US Federal Reserve’s new chief. 
PNB effect: FinMin orders PSU banks to review NPAs to check fraud
The finance ministry directed public sector banks to examine all bad loan accounts exceeding Rs50 crore for possible fraud, a fallout of the multi-billion dollar scam at Punjab National Bank (PNB) that went undetected for seven years.
Firms line up IPOs worth Rs12,000 crore in March
After a dull start to the year, activity in the initial public offering (IPO) market in India is expected to pick up pace with companies expected to raise more than Rs12,000 crore in the month of March.
Dalmia Bharat pips UltraTech to win bid for Binani Cement
Dalmia Bharat Cement Ltd on Tuesday emerged the winner for troubled Binani Cement Ltd, beating India’s largest cement maker UltraTech Cement Ltd which had put in a nearly identical bid.
BPCL may sell up to 24% in Bina Refinery in Madhya Pradesh
National oil companies of Oman, Kuwait and Abu Dhabi are in talks to buy up to 24% stake in Madhya Pradesh’s Bina refinery, reports Mint. 
Moody’s upgrades IDBI Bank outlook to positive on recapitalisation plan
Moody’s Investors Service affirmed the long-term local and foreign currency bank deposit rating of IDBI Bank Ltd at B1 and changed the outlook to positive from stable.
IndusInd Bank ties up with Ripple to aid global payments
Private sector IndusInd Bank has tied up with blockchain solution provider Ripple to enhance global payment transactions in and out of India.
TCNS Clothing files draft papers for IPO
Women’s branded apparel maker TCNS Clothing has filed draft papers for an initial public offer, wherein existing shareholders plan to sell more than 1.57 crore shares."
144,2018-03-18,BPCL,"Indian Oil and BPCL may buy 26% stake each in gas utility GAIL India Ltd, paying the government over Rs20,000 crore each to become integrated energy firms

New Delhi: State-owned Indian Oil Corp (IOC) and Bharat Petroleum Corp Ltd (BPCL) may buy 26% stake each in gas utility GAIL India Ltd, paying the government over Rs20,000 crore each to become integrated energy firms.  
New Delhi: State-owned Indian Oil Corp (IOC) and Bharat Petroleum Corp Ltd (BPCL) may buy 26% stake each in gas utility GAIL India Ltd, paying the government over Rs20,000 crore each to become integrated energy firms. 
Following finance minister Arun Jaitley’s February 2017 Budget announcement of creating integrated oil majors, IOC and BPCL had submitted separate proposals to buy the government’s 54.89% stake in India’s biggest gas marketing and transportation firm, GAIL. 
A top source said since the government is not looking at actual merger of oil companies but only transfer of its ownership to a cash rich PSU, the best option would be to split the 54.89% holding in GAIL equally between IOC and BPCL. At Friday’s closing price of Rs440.85 a share for GAIL on BSE, the stake is worth close to Rs41,000 crore. 
In January this year, Oil and Natural Gas Corp (ONGC) bought out government’s 51.11% stake in refiner Hindustan Petroleum Corp Ltd (HPCL) for Rs36,915 crore. But HPCL hasn’t been merged with ONGC and continues to remain a separate listed company with the same board. After the buyout, HPCL has become a subsidiary of ONGC, which gets up to two seats on the company board. 
The source said IOC and BPCL too can follow the same model and split the government’s stake equally among themselves. GAIL will become their subsidiary and will continue to operate as a listed company with an independent board. 
IOC and BPCL would get to appoint one director each on GAIL board. Like in case of ONGC’s acquisition of HPCL, the government would get to encash its holding in GAIL yet retain control over the company through IOC and BPCL. The source said the government has so far not taken any view on the proposals made by IOC and BPCL. 
How and to whom the stake would be sold will be decided after inter-ministerial consultations, he said adding that the option of splitting the stake equally among the two firms is one of the options that would be considered during such deliberations. 
Jaitley in the 2017-18 Budget had unveiled government’s plan to create integrated public sector oil majors “through consolidation, mergers and acquisitions"" so as that the merged company has “capacity to bear higher risks, avail economies of scale, take higher investment decisions"" and is “able to match the performance of international and domestic private companies?. 
Following this, ONGC expressed interest in taking over HPCL while IOC and BPCL said they keen on taking over GAIL to help add natural gas transportation and marketing business to their kitty. The government took up ONGC’s proposal first and the transaction was completed at January-end this year.
IOC, the largest oil refiner and fuel marketing company in the country, wanted to either acquire another refiner to add to its capacity or a gas company like GAIL. The firm feels it already has a fledging gas business in under-construction liquefied natural gas terminals, city gas distribution projects and gas marketing. 
And GAIL, the nation’s biggest gas transporter and marketing company, would complement that. BPCL, on the other hand, too has natural gas ambitions and wrote to the oil ministry saying GAIL was its number one choice for acquisition. It listed Oil India Ltd, the nation’s second largest exploration firm, as its number two choice. 
The government holds 66.13% stake in OIL, which at current market price is worth about Rs18,000 crore. Incorporated in August 1984 by spinning off gas business of ONGC, GAIL (India) Ltd owns and operates about 11,000-km of natural gas pipelines in the country. It sells around 60% of natural gas in the country. The source said the government has not taken any decision on the proposals sent by other PSUs."
143,2018-03-22,BPCL,"BPCL's Bharat Petro Resources Ltd, at present, is deliberating on what instruments it will be using to raise funds

Mumbai: Bharat Petro Resources Ltd (BPRL), the exploration and production arm of state-run oil marketing company Bharat Petroleum Corp. Ltd (BPCL) is planning to raise $600 million to refinance debt, two people aware of the development said.  
Mumbai: Bharat Petro Resources Ltd (BPRL), the exploration and production arm of state-run oil marketing company Bharat Petroleum Corp. Ltd (BPCL) is planning to raise $600 million to refinance debt, two people aware of the development said. 
BPRL has $600 million debt, which the firm accumulated across its acquisitions of global hydrocarbon assets.
“BPRL is planning to raise $600 million to refinance its existing debt. The firm is deliberating on what instruments it will be using to raise funds,"" said a banker, one of the two people mentioned above on condition of anonymity.
BPCL did not reply to an email sent on 19 March. 
As on 31 March 2017, BPRL recorded a consolidated income of Rs50.92 crore and a consolidated loss of Rs500 crore.  The consolidated loss was mainly due to interest cost on loans taken for investments in Russian assets and due to fair valuation of financial assets, the company’s annual report for 2017-18 said. 
“BPRL has a string of projects lined up next financial year and the company has plans to hit the market to raise funds for these projects at regular intervals. A consortium of banks would be participating in refinancing its debts,"" said the second person mentioned above. 
On 10 January, the board of BPRL passed a resolution to enhance the company’s authorised share capital from the present  ₹ 3,000 crore to  ₹ 5,000 crore.
BPRL has participating interest in 22 blocks, of which 12 are located in India and 10 overseas. Seven of the 12 blocks in India were acquired under different rounds of New Exploration Licensing Policy (NELP) and five blocks were awarded under the discovered small fields bid round in 2016. 
Of the overseas blocks, six are in Brazil and one each in Mozambique, Indonesia, Australia and Timor Leste. BPRL and its consortia have a total of 25 discoveries in respect of blocks held in five countries i.e. Brazil, Mozambique, Indonesia, Australia and in India. Most of the blocks of BPRL are in advanced stages of exploration, appraisal, pre-development and production."
142,2018-03-29,BPCL,"Indian Oil, HPCL and BPCL are among companies that have bid for the NHAI's ambitious highway amenities scheme titled 'Highway Village'

New Delhi: State-run fuel retailers Indian Oil Corp. Ltd (IOCL), Hindustan Petroleum Corp. Ltd (HPCL) and Bharat Petroleum Corp. Ltd (BPCL) are among companies that have bid for the National Highways Authority of India’s (NHAI) ambitious wayside amenities programme, according to two government officials aware of the development. 
New Delhi: State-run fuel retailers Indian Oil Corp. Ltd (IOCL), Hindustan Petroleum Corp. Ltd (HPCL) and Bharat Petroleum Corp. Ltd (BPCL) are among companies that have bid for the National Highways Authority of India’s (NHAI) ambitious wayside amenities programme, according to two government officials aware of the development.
Under the scheme titled “Highway Village"", the government plans to develop 150 sites along national highways with a range of amenities such a helipads, motels, village haats or markets, shopping malls, electric charging stations, fuel stations, parking for cars, buses and trucks, restaurants and food courts, dhabas for truckers, repair shops and dormitories for drivers.
The scheme pushed by transport minister Nitin Gadkari is aimed at improving long-distance driving experience for commuters and providing employment to local youth, as also a platform to local farmers to sell their produce. 
The scheme is aimed at encouraging frequent breaks during the journey and reduce driver-fatigue related accidents, with the helipads expediting evacuation for medical emergencies and providing disaster relief.
According to the scheme, these villages will be developed on the public-private-partnership (PPP) model wherein NHAI would be providing land for the proposals, while the investments will be made by the bidders. In response to the Request for Proposals (RFPs) for 34 Highway Villages floated last year, NHAI received bids for 21 sites, with a majority of them placed by state-owned oil marketing firms.
“The first bundle comprised 34 sites out of which bids were received for 21 sites last week. Most of these are being eyed by OMCs,"" said a government official on condition of anonymity. He added that the technical and financial bids will be opened in next one month to take a final decision and the sites are likely to see an investment of around Rs500 crore in total.
Another official who also didn’t want to be identified and is part of the bidding process confirmed the development.
State-owned oil firms are exploring ways to diversify revenues as a means to combat crude oil price rise and narrowing refining margins. According to analyst reports, the marketing margin on auto fuels for the third quarter was at Rs0.27 per litre, the lowest since diesel deregulation in mid-October 2014.
Queries emailed to NHAI, IOCL, HPCL and BPCL remained unanswered.
According to the government’s plans, the sites shortlisted in the first bundle are in Maharashtra, Tamil Nadu, Karnataka, Andhra Pradesh, Rajasthan, Uttar Pradesh, Madhya Pradesh and Bihar. Areas with more than 5 acres will be developed under the brand name of “Highway Village"".
“The private entity will be assisted in getting free access permission to the facility, assistance in land use conversion etc. along with co-branding, logo and signage, and will be required to sign a service-level agreement with NHAI,"" the government said in a 3 August statement.
NHAI has been trying to raise resources to fund its ambitious work programme by monetizing publicly funded, operational national highways through the toll-operate-transfer (ToT) model. The state-run authority is also planning its first equity-funding model for its upcoming expressway and economic corridor projects, auctioning them before they are built as reported by Mint on 19 March. 
“Shri Gadkari called on individuals owning land along national highways to come forward and participate in the endeavour. The minister said that these wayside amenities would not only benefit the highway commuters, but also the local population. The sites will promote local handloom and handicrafts by having shops selling these items. Local cuisine can be made available at the eateries in these site,"" the statement added.
NHAI’s greenfield expressway projects under the Rs5.35 trillion-Bharatmala programme aims at building 34,800km of national highways. Out of this, 9,000km will be economic corridors and 800km expressways, many of which are greenfield projects.
“About 20 lakh people will get direct and indirect employment from these sites. All in all, the development of these sites will bring economic development to the villages along the highways,"" the statement said."
141,2018-04-09,BPCL,"In other news, leading public sector lenders State Bank of India and Punjab National Bank have put their 15 non-performing assets worth Rs1,063 crore for sale

US stocks end lower; Asian markets open flat 
US stocks end lower; Asian markets open flat
Stocks fell sharply on Friday as worries of a trade war brewing between the US and China grew. Wall Street also digested disappointing employment data.
Stocks in Asia were mostly flat in early Monday trade, shrugging off steeper declines on Wall Street in the last session after a week largely dominated by US-China trade developments.
PNB scam: ED unearths Rs5,000 crore money trail
The Enforcement Directorate (ED) has traced more than Rs5,000 crore that has been funnelled through layers of shell companies controlled by jeweller Nirav Modi and his uncle Mehul Choksi in the Punjab National Bank (PNB) fraud case, reports Mint. 
Jyoti Structures resolution plan may get fresh lease of life
In a last-ditch attempt to stave off liquidation, the resolution professional (RP) of debt-ridden Jyoti Structures Ltd approached the bankruptcy court on 2 April—the deadline for clearing an insolvency resolution plan—seeking additional time to secure the mandatory 75% consensus from lenders.
Bharat Petroleum may hive off gas business into separate wholly owned subsidiary
State-run Bharat Petroleum Corporation Ltd (BPCL) is planning to hive off its gas business into a separate wholly-owned subsidiary.
Price cuts, rising costs seen crimping Hero’s margins
Hero MotoCorp Ltd is expected to clock 2017-18 Ebitda margin just above its long-term forecast of 14-16%, as costlier inputs, scooter price cuts and lower tax sops at its Haridwar factory take a toll on India’s largest two-wheeler maker.
Tata Chemicals to acquire Allied Silica for Rs123 crore
Tata Chemicals said it has signed a pact with Allied Silica Ltd to acquire its precipitated silica business for Rs123 crore on a slump sale basis.
Sebi exempts trust linked to Alembic, Alembic Pharma from open offer requirement
Markets regulator Sebi has exempted a private family trust related to the promoter group of Alembic Pharmaceuticals and Alembic from making open offers following proposed share transfers.
SBI, PNB put 15 NPAs worth Rs1,063 crore for sale
Leading public sector lenders State Bank of India (SBI) and Punjab National Bank (PNB) have put their 15 non-performing assets worth Rs1,063 crore for sale. Both the banks said they will conduct the e-auction on 20th of this month.
Dalmia Cement confident of getting NCLT nod to buy Binani Cement: Mahendra Singhi
Dalmia Cement is confident that its Rs6,350 crore offer to buy Binani Cements Ltd (BCL) will be approved by the NCLT on the back of NCLAT directions to proceed the insolvency resolution as per the IBC."
140,2018-04-10,BPCL,"Indian Oil will set up Bio-CNG plants in North India, and BPCL and HPCL will replicate the model in rest of the country

Mumbai: State-run oil marketing companies Indian Oil Corporation (IOC); Bharat Petroleum Corporation (BPCL) and Hindustan Petroleum Corporation (HPCL) plan to spend nearly Rs10,000 crore to set up Bio-CNG plants across India to promote clean fuel and reduce the country’s fuel import bill, two people aware of the development said. 
Mumbai: State-run oil marketing companies Indian Oil Corporation (IOC); Bharat Petroleum Corporation (BPCL) and Hindustan Petroleum Corporation (HPCL) plan to spend nearly Rs10,000 crore to set up Bio-CNG plants across India to promote clean fuel and reduce the country’s fuel import bill, two people aware of the development said.
The Bio-CNG plan will be detailed in the national biofuels policy to be released this month, the people added. 
The policy will detail a Rs1 trillion investment opportunity under Waste-to-Wealth projects.
Bio-CNG is a purified form of biogas with over 95% pure methane. It is similar to natural gas in its composition (97% methane) and energy potential. 
While natural gas is a fossil fuel, Bio-CNG is a renewable form of energy produced from agricultural and food waste.
“IOCL is taking the lead in terms of setting up plants for generation of Bio-CNG so that farmers can supply biomass instead of burning it. IOCL will buy back Bio-CNG and sell the same,"" said one of the people aware of the development, the first person quoted above. 
He spoke on condition of anonymity as he is not allowed to speak to the media.
He added that while IOCL will execute the plan in north India, BPCL and HPCL will replicate the model in western, southern and eastern India.
This January, IOCL signed a memorandum of understanding (MoU) with the Punjab government to set up biogas and Bio-CNG plants in the state.
IOCL will be setting up a plant in Haryana shortly. In 2018, 42 plants will become operational which will be scaled up to 400 over the next three to four years. 
“These Bio-CNG plants would be multiple in number and would be phased evenly so that 100-150 tonne per day rice straw becomes available. Converting bio-mass to compressed biogas and bio-CNG will not only help curb the menace of stubble burning but also create additional income for farmers,"" said the second person mentioned above, also speaking on condition of anonymity.
IOCL, BPCL and HPCL did not reply to Mint’s queries sent on 2 April. 
Bio-CNG is seen as an environment-friendly alternative to diesel.
It can be transported either through injecting fuel into the CNG grid or by trucks or in cylinders from the filling stations. The average cost of setting up a Bio-CNG plant is around Rs40-50 crore.
“In the long run, the overall oil bill, which is pinching us is a challenge. And on the other hand, we have so much of renewable biomass available that we can definitely look at reducing the imports by 20% if not more by 2022,"" said the first person quoted above. 
The cost of production of Bio-CNG could be around Rs23 a litre, cheaper than compressed natural gas (CNG), petrol and diesel.
“Today we are using CNG which is imported. Bio-CNG will easily replace that. This will save us nearly Rs40,000 crore in imports. Bio-CNG replaces both, diesel and petrol. Also, the static consumption for generating power, in remote places, today either consume diesel or CNG. But Bio-CNG can replace these too,"" added the second person quoted above. 
India currently imports one-third of its energy requirement. The world’s third-largest crude oil importer targets halving its energy import bill by 2030. 
The government aims to increase the contribution of gas in India’s energy mix to 15% from the current 6.5%. 
At present, fossil fuels meet 95% of India’s transportation fuel requirement."
