,Date,Company,Article
98,,Bajaj Auto,
97,2018-01-02,Bajaj Auto,"Suzuki Motorcycle sold 39,786 units, a jump of 50%, while Royal Enfield sold 66,968 motorcycles and Bajaj Auto 292,547 units

New Delhi: India’s two-wheeler industry continued to post robust sales growth in December, led by Royal Enfield and Bajaj Auto. 
New Delhi: India’s two-wheeler industry continued to post robust sales growth in December, led by Royal Enfield and Bajaj Auto.
Royal Enfield, the two-wheeler division of Eicher Motors, on Tuesday reported 16.67% growth in total sales at 66,968 units in December. The company had sold 57,398 units in December 2016, Royal Enfield said in a statement.
Domestic sales were at 65,367 units last month as against 56,316 units in December 2016, up 16%. Exports rose 47.96% to 1,601 units as against 1,082 units in the same month previous year, it said. 
Suzuki Motorcycle India Pvt Ltd (SMIPL), on the other hand, reported 50.16% rise in December total sales at 39,786 units. The company had sold 26,495 units in December 2016, SMIPL said in a statement. Domestic sales stood at 32,786 units last month as against 21,362 units in December 2016, a growth of 53.47%. 
Exports were at 7,000 units as against 5,133 units in December 2016. During 2017, the company sold a total of 5,41,389 units, up 37.46 per cent over 3,93,828 units clocked in 2016.
“With over 4 lakh sales completed in this financial year already, we are well-poised to achieve our annual target of 5 lakh sales annually,"" SMIPL executive vice-president, sales and marketing Sajeev Rajasekharan said. 
Meanwhile, Bajaj Auto reported 29.72% increase in total sales in December at 2,92,547 units as against 2,25,529 units in the same month previous year. Motorcycle sales grew 12.52% to 2,28,762 units in December 2017 against 2,03,312 units in December 2016, the company said in a statement.
Sales figures of market leaders Hero MotoCorp Ltd and Honda Motorcycle and Scooter Ltd (HMSI) weren’t available at the time of publishing this article.
Commercial vehicles sales zoomed to 63,785 units during the month compared to 22,217 units in the year-ago period, it added. Exports stood at 1,43,038 units in the month as against 1,05,804 units in the same month previous year, a jump of 35.19%."
96,2018-01-11,Bajaj Auto,"Bajaj Auto's Discover 110 has an engine displacement of 115.5cc while the new Discover 125 packs in 124.5cc, the company expects 20% market share in 2018 in the executive segment of bikes

Pune-based Bajaj Auto Ltd plans to focus on the executive segment in motorcycles with the launch of its Discover 110 and a new version of the Discover 125 motocycles on Wednesday. 
Pune-based Bajaj Auto Ltd plans to focus on the executive segment in motorcycles with the launch of its Discover 110 and a new version of the Discover 125 motocycles on Wednesday.
Bikes with engine displacement of 100cc to 135cc are considered to be in the executive segment by the maker of Pulsar motorcycle.
“We would like to exit calendar 2018 with a 20% market share in the executive segment. These two bikes should increment annual sales by about 50,000 to 70,000 units to meet the target,"" Eric Vas, president of the company’s motorcycles division, said at a press conference.
Prior to the launch, Bajaj had a lone offering in the segment, the Discover 125, which has a market share in single digits, the company said. The executive segment is being seen as an opportunity since it accounts for nearly half of total motorcycle sales, according to Vas.
Bajaj had a cumulative market share of 31% in the entry-level (under 100cc) and premium (above 150cc) segments in the fiscal 2017, according to a company presentation made at the event. “Having created a leadership position in the entry-level and premium segments, resources will pivot around the executive segment which is a huge opportunity,"" Vas said, adding that the company will not take its eyes off other segments. 
According to Vas, consumer preference over the past 12 months has shifted to 110cc and 125cc motorcycles from the volume-driving 100cc segment. The Discover 110 has an engine displacement of 115.5cc while the new Discover 125 packs in 124.5cc. Both engines are compliant with the Bharat Stage VI pollution norms.
“We believe this brand will appeal to that customer who wants to upgrade from 100cc but doesn’t want to go to 150cc,"" he said. 
For the fiscal up to November, Bajaj’s sales grew 23.8% to 1,74,566 units in the 110cc to 125cc segment while the broader segment clocked 18,15,750 units, a 13.1% rise, as per data provided by industry body Siam (Society of Indian Automobile Manufacturers). Automakers consider dispatches to dealerships as sales. The category includes other Bajaj models such as the Platina and Boxer. 
After making various changes in engine displacement within the Discover brand since its launch in 2005, Bajaj Auto seems to have settled down. “There will be no other additions under this brand. For the past two-and-a-half years, we relooked at our strategy and have aligned ourselves with the reality of the market. We believe we have the right set of decisions around the Discover,"" Vas said.
Planning to garner 23% of total motorcycle market share by the end of 2018, the maker of the Pulsar is expecting a major contribution from this segment. According to Vas, semi-urban and rural geographies would account for 65% of Discover sales, as is true for the broader executive segment. 
Bajaj’s dealership footprint has over 600 dealers, most of whom are in urban areas. The network is set to expand across geographies during the year, Sumeet Narang, vice president of marketing, said without disclosing specifics.
Analysts say the going will be tough in a fiercely competitive segment dominated by Honda Motorcycle and Scooter India Pvt. Ltd (HMSI) and Hero MotoCorp Ltd. Weighing in will be the shift in preference from commuter motorcycles to scooters, said Aditya Jhawar, an analyst at Investec Capital Services (India) Pvt. Ltd.
“There is not much buoyancy in the motorcycles market, so when the market is not growing, players will need to be more aggressive. While the new launches have more features, it will be an uphill task for Bajaj to meet its target only with the Discover brand. Increased efforts towards more cohesive strategy will help,"" he added.
Lower brand recall for the Discover brand will not help matters, said another analyst on condition of anonymity. “The volumes for the Discover have been falling in the past year owing to Hero’s aggressiveness. Bajaj will be able to clock the desired volumes only if they have a unique way of reaching the customer,"" he said."
95,2018-01-25,Bajaj Auto,"Bajaj Auto management was to revise the three-year wage agreement with its over 1,000 permanent employees at the Chakan plant in 2016 but it has still not moved on the issue

Mumbai: Employees union at Bajaj Auto’s Chakan plant has threatened to go on an indefinite hunger strike from Monday over the non-revision of wages. 
Mumbai: Employees union at Bajaj Auto’s Chakan plant has threatened to go on an indefinite hunger strike from Monday over the non-revision of wages.
The Bajaj Auto management was to revise the three-year wage agreement with its over 1,000 permanent employees at the Chakan plant in 2016 but it has still not moved on the issue, a union leader said today.
The Chakan plant, which produces the Pulsar, Avenger, KTM and Dominor bikes, employs around 1,800 of which 1,000 are on the permanent roll.
“As many as 40 meetings have taken place between the management and the union over the wage revision agreement for the April 2016-March 2019 period. However, there is no outcome. All efforts of the union to arrive at an amicable solution have gone in vain,"" the leader said.
Not only this, “without consulting us, the management deposited higher wages into our accounts. Therefore, our (Vishwa Kalyan Kangar Sangathan) president Dilip Pawar has decided to go on indefinite hunger strike from January 29,"" the union leader said.
The union has already served a notice to both the Labour Commissioner as well as the company about the hunger strike decision, he said. 
Bajaj Auto management’s response to a query on this issue was awaited.
As per the union, the management has also not yet addressed the issue taking back the 16 dismissed union office-bearers for various reasons in 2016-17. “The services of our office bearers were terminated without waiting for the final outcome of a court ruling,"" the leader alleged.
The Chakan plant has a capacity of 3,000 bikes-the Pulsar (160cc, 180cc 200cc and 220cc), the Avenger (150cc and 220cc), KTM (125cc, 200cc, 250cc, 390cc) and the Dominor 400 -- per day, the union leader said."
94,2018-01-30,Bajaj Auto,"Bajaj Auto says the main reasons for the indefinite hunger strike are the pending issue of eight workmen dismissed from the services for various acts of misconduct in 2013-14

New Delhi: Bajaj Auto on Tuesday said workers at its manufacturing plants at Akurdi and Chakan in Maharashtra have gone on an indefinite hunger strike.  
New Delhi: Bajaj Auto on Tuesday said workers at its manufacturing plants at Akurdi and Chakan in Maharashtra have gone on an indefinite hunger strike. 
Earlier this month, the company had received a notice from the workers union—Vishwa Kalyan Kamgar Sanghatana—for an indefinite hunger strike at the two plants from 29 January. In a regulatory filing, Bajaj Auto said the main reasons for the indefinite hunger strike as mentioned in the letter are the pending issue of eight workmen dismissed from the services for various acts of misconduct in 2013-14. 
Moreover, the workers were demanding the reinstatement of six dismissed workers who according to the company “did not report at the place of transfer/ deputation in spite of court orders"" and delay in conclusion of the wage review process which is due with effect from 1 April 2016. 
“The matter is pending before the Industrial Court, Pune and High Court of Bombay,"" the two wheeler major said. The company further said that “inspite of considerable progress made in concluding the wage review process, the union has chosen to adopt tools of hunger strike etc for pursuing their unreasonable and unrealistic demand."" 
Bajaj Auto claimed that production at both the plants continued to be normal. According to the union leaders, the company management was to revise the three-year wage agreement with its over 1,000 permanent employees at the Chakan plant in 2016 but it has still not moved on the issue."
93,2018-02-02,Bajaj Auto,"In other news, auto sales in January grow on low base effect, recovery in rural markets

US stocks end lower; Asian markets open on a weak note 
US stocks end lower; Asian markets open on a weak note
US equities pulled back on Thursday as investors worried about rising interest rates.
Asian shares came under pressure early on Friday after the Wall Street closed mixed and yields on US government debt rose in the last session.
Budget 2018: Key highlights of Arun Jaitley’s budget speech
Budget reduces tax rate to 25% for companies that have a reported turnover of up to Rs250 crore. This will benefit the entire MSME sector, which accounts for 99% of the companies filing their tax returns. Revenue foregone is Rs7,000 crore. Read more
Govt brings back LTCG tax on equity, mutual fund investments
The long-term capital gains tax, or LTCG tax, is back. Presenting the Union Budget 208, finance minister Arun Jaitley said LTCG from sale of equity shares and equity mutual fund schemes will now be taxed at 10%, if your total capital gains in a year cross Rs1 lakh. Below Rs1 lakh, gains won’t be taxed.
India January factory PMI cools to 3-month low on weaker demand
Indian factory growth cooled to a three-month low in January as weaker domestic demand dragged on output despite firms keeping price increases to a minimum, a business survey showed on Thursday.
Titan Q3 net profit rises 21.26% to Rs281.61 crore
Watches and accessories maker Titan Co. Ltd reported a 21.26% jump in net profit to Rs281.61 crore for the fiscal third quarter as all three key business segments were buoyed by festive season sales.
Auto sales in January grow on low base effect, recovery in rural markets
Vehicle sales rose in January from a year earlier, boosted by a low base in the year-ago period because of the impact of the government’s decision to withdraw high-value banknotes in November 2016.
Quess Corp acquires Monster’s business and Care business of HCL Services
Quess Corp., an integrated business services provider, has signed definitive agreements to buy MonsterIndia and its business in South East Asia and the Middle East from Monster Worldwide Inc. and the Care Business of HCL Services from HCL Infosystems.
Earnings corner
Bajaj Auto, Dalmia Sugar, Godrej Properties, Glaxo SmithKline, Hindalco and UBL are among companies that will be announcing their December quarter earnings on Friday."
92,2018-02-03,Bajaj Auto,"Bajaj Auto's net sales rose 18.7% to Rs6,246.23 crore in the December quarter from Rs5,262.8 crore a year earlier

Bajaj Auto Ltd on Friday reported a 3% rise in December quarter net profit, snapping out of a downward trend that lasted for four consecutive quarters up to September, on the back of higher three-wheeler and motorcycle sales in both overseas and domestic markets.  
Bajaj Auto Ltd on Friday reported a 3% rise in December quarter net profit, snapping out of a downward trend that lasted for four consecutive quarters up to September, on the back of higher three-wheeler and motorcycle sales in both overseas and domestic markets. 
Net profit at the maker of Pulsar and Discover motorcycles rose to Rs952.44 crore in the three months ended 31 December from Rs924.62 crore a year ago, the company said in a statement to BSE. Net sales rose 18.7% to Rs6,246.23 crore from Rs5,262.8 crore a year earlier. 
The Pune-based automaker was expected to post a profit of Rs1,025.8 crore on net sales of Rs6,106 crore, according to a Bloomberg survey of three analysts.
Sales for this fiscal year are not comparable to the previous year’s earnings because they are disclosed net of the goods and services tax introduced in July, Bajaj Auto said in the statement. 
The company’s motorcycle volumes during the quarter (including exports) advanced by 9.3% to 818,510 units over the same period a year ago while total three-wheeler sales jumped 78.2% to 182,959 units, led by the domestic market. 
Bajaj Auto’s Ebitda (earnings before interest, tax, depreciation and amortization) margin, a measure of operating profitability, narrowed to 20.6% in the quarter from 22% a year ago. 
Analysts warn against comparing December quarter financials with the year-ago quarter owing to the base effect created by demonetization which weakened sales and production. 
Nevertheless, margins and net profit came in lower than expected owing to lower investment income and higher promotion expenses, they said, while conceding that revenues surpassed market estimates. 
“Revenues were above our estimates due to healthy domestic realization,"" said Bibhishan Jagtap, an analyst at brokerage house IDBI Capital Markets and Securities Ltd, in a note. Net profit, led by a higher tax rate, was below estimates, as were Ebitda margins, he added. 
Margins were further crimped by higher expenses on raw materials including steel, aluminium and lead, since raw material costs as a percentage of sales in the quarter rose to 63.6% from 56.8% a year ago. They could have shrunk further if not for a richer product mix of three-wheelers and premium motorcycles. 
The average realization per unit during the three months to December grew 7% to Rs63,600 from Rs59,400 in the year-ago period, according to S. Ravikumar, president of business development and assurance at the firm. 
In the domestic three-wheeler market, Bajaj Auto outperformed its peers with a doubling of volumes to 110,123 units during the quarter but marginally fell behind in the overseas market while still remaining India’s top exporter, growing 48.4% to 72,836 units over the previous year. 
According to data from industry body Society of Indian Automobile Manufacturers, Bajaj Auto’s domestic bike sales have lagged behind India’s broader motorcycle market, which grew by 14.8% to 2,851,776 units during the quarter. The company’s sales were almost flat at 466,431 units in the same period. 
The export performance was encouraging with a 21.6% jump to 352,079 units during the quarter, though broader bike exports grew at 27.9% to 619,610 units. 
“New markets such as the Philippines, Nigeria and Bangladesh contributed close to half of overall export volumes for the fiscal so far and are expected to gain traction as they stabilize over the next two to three years,"" said Ravikumar. 
The company expects to export close to 1.7 million units in FY18, he added, down from the 1.8 million units target announced in the September quarter. 
On the domestic front, Ravikumar believes the company has filled the gaps in its “slightly weak"" product range with the launch of two Discover and Avenger bikes in early January. The Discover 110 and 125 are fresh launches, placed in the executive segment, whereas the refreshed Avenger Cruise 220 and Street 220 are premium bikes. 
“The CT, Platina, Pulsar and KTM bikes led volumes during the December quarter. Our volumes and market share will be helped further by the newly launched Discovers and Avengers, as was reflected in January sales,"" he said. 
Up to the December quarter, Bajaj Auto’s market share in the domestic motorcycle market was 16.4%. The firm aims to exit FY18 with a 24% market share. 
On Friday, Bajaj Auto shares closed at Rs3,242, down 4.9% on BSE, while the benchmark Sensex ended 2.34% lower at 35,066.75 points."
91,2018-02-05,Bajaj Auto,"Bajaj Auto's market share is being affected by competition and the lack of steady success with new motorcycles

Bajaj Auto Ltd is missing the profitability spark. Ebitda (earnings before interest, tax, depreciation and amortisation) margin in the recently concluded December quarter narrowed from both the earlier quarter and a year ago despite the double digit growth in volume and revenue (see chart). 
Bajaj Auto Ltd is missing the profitability spark. Ebitda (earnings before interest, tax, depreciation and amortisation) margin in the recently concluded December quarter narrowed from both the earlier quarter and a year ago despite the double digit growth in volume and revenue (see chart).
Margins softened in spite of a better product mix. Thanks to resurgent crude prices, exports recovered sharply. Even commercial vehicle sales, which in general have higher realizations, picked-up. While these two segments—exports and commercial vehicles—drove earnings performance, the domestic motorcycles business remained a laggard. Sales during the quarter increased just 2%.
To be sure, the motorcycle business was challenged by high raw material costs in Q3. But it also faces structural issues. Competition and the lack of steady success with new motorcycles is affecting market share. From around 20% three years ago, the company’s market share in domestic motorcycles market fell to 16.4% last quarter.
To shore up volume, the company increased focus on entry and mid-level motorcycle segments which have gained sales momentum of late. But this also tilted the scales in favour of relatively lower-priced models, weighing on margins. “It (Ebitda margin) came below consensus estimates due to inferior product mix from the domestic motorcycle segment,"" an analyst said in a note to clients on the earnings.
The company does have a strong presence in premium or higher-priced models. But growth is lacking. For instance, the Pulsar, Avenger and Dominar models together clocked sales of 173,000 units last quarter, slightly lower than 178,000 units in the year ago quarter. 
“Although Bajaj Auto’s performance has improved in volume terms, no participation in the growing scooter segment and failure of recent launches like Avenger & V12/15 remains a concern for us. We await any announcement on future products through their partnership with Triumph Motorcycles UK,"" ICICI Securities said in a note. The Avenger and V12/15 models are priced higher than the entry-level segment.
That said, Bharat Gianani, an analyst at Sharekhan, reasons the problem is not so much with the premium motorcycle part of the business but with the entry and mid-level segments which is a large market and where Bajaj Auto has lagged in recent years. With sales in this part (entry and mid-level) of the business gaining momentum the company may maintain volume and revenue growth in the near term. But that also means margins may remain constant or profitability may not improve much, Gianani adds.
Of course, Bajaj Auto’s profitability has historically ranged between 20-22%. The current levels are not that far away. Further they are superior to its two listed peers. But the journey to retrace operating margin to their historical levels will be arduous."
90,2018-02-07,Bajaj Auto,"Bharti Infratel may get majority control of Indus Towers, while Piaggio to take on Bajaj Auto in three-wheeler segment

Asian stocks rebound in early trade 
Asian stocks rebound in early trade
Asian stocks stabilised in morning trade with markets outside Japan clocking a slight gain, reports Reuters. Overnight, the US stocks closed higher after volatile trade. S&P 500 at 2,695 points is up 1.7%.
RBI likely to keep rates on hold for now
The Reserve Bank of India (RBI), meeting amid a global market storm, is widely expected to keep its key rate on hold on Wednesday, but toughen its rhetoric as inflation has accelerated sharply, reports Reuters.
Government doubles import duty on sugar
The government has doubled import duty on sugar to 100% and raised duty on chana to 40% to protect domestic farmers, reports PTI.
Bharti Infratel may get majority control of Indus Towers
UK’s Vodafone is in final stages of talks to sell its entire stake in Indus Towers raising Bharti Infratel’s holding in the company to 84% through a share-swap deal, reports The Economic Times.
HDFC looking to acquire CanFin Homes
HDFC Ltd is exploring purchase of controlling stake in CanFin Homes, the listed mortgage unit of Canara Bank, reports The Economic Times.
Four suitors express interest to bid for Alok Industries
At least four potential suitors have expressed interest in bidding for bankrupt textile company Alok Industries Ltd, reports The Economic Times.
Piaggio to take on Bajaj Auto in three-wheeler segment
Italian auto-company Piaggio is gearing to expand its three-wheelers’ market share and compete against segment leader Bajaj Auto, reports Business Standard.
Wipro’s Neemuchwala makes first management change
Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, reports Mint.
Cipla, Eicher Motors earnings today
Cipla Ltd, Aurobindo Pharma Ltd, Eicher Motors Ltd, IRB Infrastructure Developers Ltd and Voltas Ltd are some of the companies that will release their earnings for the December quarter on Wednesday."
89,2018-03-01,Bajaj Auto,"Bajaj Auto said its overall domestic sales increased 35% to 214,023 units in February against 159,109 units last year

New Delhi: Bajaj Auto Ltd on Thursday reported a 31% jump in total sales at 3,57,883 units in February against 2,73,513 units in the same month last year. 
New Delhi: Bajaj Auto Ltd on Thursday reported a 31% jump in total sales at 3,57,883 units in February against 2,73,513 units in the same month last year.
Overall domestic sales increased 35% to 2,14,023 units against 1,59,109 units in February last year, Bajaj Auto said in a statement.
The company’s domestic motorcycle sales were up 23% at 1,75,489 units, against 1,42,287 units during the same period a year ago. Commercial vehicles sales in the domestic market soared 129% at 38,534 units, from 16,822 units in February 2017, the company said.
Total exports in February grew by 26% to 1,43,860 units against 1,14,404 units in the year-ago month, it added.
At 11.50am, Bajaj Auto share traded at Rs3026.60, up 0.26% on BSE, while the Sensex fell 0.20% to 34,116.34 points."
