,Date,Company,Article
71,,Bharti Infratel,
70,2018-01-17,Bharti Infratel,"Bharti Infratel net profit fell 5.6%  to Rs585 crore in the third quarter ended 31 December as against Rs620 crore a year in the same quarter

Bengaluru: Mobile masts operator Bharti Infratel Ltd said on Wednesday its net profit fell 5.6% in the third quarter, missing analysts’ estimates, pulled down by higher expenses. 
Bengaluru: Mobile masts operator Bharti Infratel Ltd said on Wednesday its net profit fell 5.6% in the third quarter, missing analysts’ estimates, pulled down by higher expenses.
Profit came in at Rs585 crore ($91.57 million) in the quarter ended 31 December compared with Rs620 crore a year ago, the company said on Wednesday.
Analysts on average expected the company, which is majority owned by Bharti Enterprises, to post a profit of Rs710 crore, according to Thomson Reuters data.
Revenue from operations of the firm, which owns a stake in India’s biggest mobile tower company Indus Towers, rose nearly 11% to Rs1,697 crore.
Revenue related to the company’s joint venture with Indus grew 4.7% to Rs1,959 crore. Reuters"
68,2018-02-07,Bharti Infratel,"In other news, UK's Vodafone is in the final stages of talks to sell its entire 42% stake in Indus Towers for about $5 billion, raising Bharti Infratel's holding in the company to 84% through a share-swap deal

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
IDFC Alternatives buys IL&FS’s Madhya Pradesh solar project
IDFC Alternatives, the private equity arm of IDFC Ltd, has bought a 40 megawatt (MW) solar power project in Madhya Pradesh operated by IL&FS Energy, reports Mint, citing two people aware of the matter. Read more
CLP India eyes transmission assets
CLP India Pvt. Ltd, one of the largest foreign investors in the Indian power sector, is looking at acquisitions to enter the transmission business, reports Mint, citing two people aware of the development. Read more
Capricorn Food files for IPO to raise Rs500 crore
Capricorn Food Products India Ltd on Tuesday filed the draft red herring prospectus (DRHP) for its initial public offering (IPO). Proceeds from the sale of new shares will be utilized to repay debt availed of by the company and its subsidiary and to meet general corporate expenses. Read more
Vodafone may hang up on Indus in $5 billion deal
UK’s Vodafone is in the final stages of talks to sell its entire 42% stake in Indus Towers for about $5 billion, raising Bharti Infratel’s holding in the company to 84% through a share-swap deal, reports The Economic Times. Read more
Warburg Pincus-backed company to buy Innovative Logistics
Stellar Value Chain Solutions, a logistics company backed by global private equity firm Warburg Pincus, is acquiring Innovative Logistics Services in an all-cash deal worth a tad less than Rs100 crore, reports The Economic Times, citing two people with knowledge of the deal. Read more
Union Bank, Bank of Baroda may sell Bhushan Steel loan to SSG
In an all-cash deal, Union Bank of India and Bank of Baroda (BoB) are set to sell the Bhushan Steel loan to Acre ARC, owned by SSG Capital, at a 50% haircut just a few days after the steelmaker went under the hammer, reports The Economic Times. Read more
Vistara in talks with Airbus, Boeing to buy jets worth $8.5 billion
Vistara, the Indian affiliate of Singapore Airlines, is in talks with Airbus SE and Boeing Co. to buy jets worth as much as $8.5 billion as the carrier seeks to tap India’s growing middle class, according to people familiar with the plans, reports Bloomberg. Read more
Ravi Ruia’s son to lead $6 billion all-cash offer for Essar steel
Youngest Essar scion Rewant Ruia-led consortium—Nu Metal Corp.—is likely to make an all-cash offer of $5-6 billion (about Rs33,000-40,000 crore) to retain the family’s coveted asset Essar Steel. The newly formed vehicle—which will have Russia’s VTB as the largest shareholder with over 40% stake—is seen facing stiff competition from Arcelor Mittal and Nippon Steel combine, reports The Times of India. Read more"
69,2018-02-07,Bharti Infratel,"Bharti Infratel may get majority control of Indus Towers, while Piaggio to take on Bajaj Auto in three-wheeler segment

Asian stocks rebound in early trade 
Asian stocks rebound in early trade
Asian stocks stabilised in morning trade with markets outside Japan clocking a slight gain, reports Reuters. Overnight, the US stocks closed higher after volatile trade. S&P 500 at 2,695 points is up 1.7%.
RBI likely to keep rates on hold for now
The Reserve Bank of India (RBI), meeting amid a global market storm, is widely expected to keep its key rate on hold on Wednesday, but toughen its rhetoric as inflation has accelerated sharply, reports Reuters.
Government doubles import duty on sugar
The government has doubled import duty on sugar to 100% and raised duty on chana to 40% to protect domestic farmers, reports PTI.
Bharti Infratel may get majority control of Indus Towers
UK’s Vodafone is in final stages of talks to sell its entire stake in Indus Towers raising Bharti Infratel’s holding in the company to 84% through a share-swap deal, reports The Economic Times.
HDFC looking to acquire CanFin Homes
HDFC Ltd is exploring purchase of controlling stake in CanFin Homes, the listed mortgage unit of Canara Bank, reports The Economic Times.
Four suitors express interest to bid for Alok Industries
At least four potential suitors have expressed interest in bidding for bankrupt textile company Alok Industries Ltd, reports The Economic Times.
Piaggio to take on Bajaj Auto in three-wheeler segment
Italian auto-company Piaggio is gearing to expand its three-wheelers’ market share and compete against segment leader Bajaj Auto, reports Business Standard.
Wipro’s Neemuchwala makes first management change
Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, reports Mint.
Cipla, Eicher Motors earnings today
Cipla Ltd, Aurobindo Pharma Ltd, Eicher Motors Ltd, IRB Infrastructure Developers Ltd and Voltas Ltd are some of the companies that will release their earnings for the December quarter on Wednesday."
67,2018-02-21,Bharti Infratel,"The move comes after HSBC Daisy Investments (Mauritius), a minority shareholder in Reliance Infratel, approached NCLT seeking redress

Mumbai: Reliance Infratel Ltd, the telecom tower arm of Anil Ambani’s Reliance Communications Ltd (RCom), has agreed to share details of a deal to sell its assets to Reliance Jio Infocomm Ltd, a firm controlled by elder brother Mukesh Ambani, after minority shareholder HSBC Daisy Investments (Mauritius) Ltd approached the National Company Law Tribunal seeking redress.  
Mumbai: Reliance Infratel Ltd, the telecom tower arm of Anil Ambani’s Reliance Communications Ltd (RCom), has agreed to share details of a deal to sell its assets to Reliance Jio Infocomm Ltd, a firm controlled by elder brother Mukesh Ambani, after minority shareholder HSBC Daisy Investments (Mauritius) Ltd approached the National Company Law Tribunal seeking redress. 
HSBC Daisy had approached the Mumbai bench of NCLT in October 2016 under sections 397 and 398 over the oppression of minority shareholders and mismanagement.
On Monday, the counsels representing Reliance Infratel told the tribunal they are willing to share details of the deal with Reliance Jio with the shareholders, with two caveats. 
One, the investors can’t disclose these details anywhere in any manner, and two, if they wish to argue about deal-related details, they will have to do it in the chamber of the presiding officer rather than in open court.
“They had agreed to keep us informed about any decision they take about the company and now we are here,"" argued Iqbal Chagla, a senior counsel representing HSBC Daisy Investments in the matter. “Earlier, there were four attempts by the firm to either sell the assets or merge it with the RCom. Fairness demands that they need to buy us out at the market rates or give us an exit.""
RCom and Reliance Jio have not disclosed the valuation of the deal.
“When we asked them what happens to the firm where we had invested? It becomes defunct since all those assets will get sold to Reliance Jio. You have taken my money and now you are doing everything because of majority,"" said Chagla.
HSBC Daisy Investment had invested around Rs1,100 crore in July 2007 for about 5% stake in the firm which is now reduced to 4.26%.
Countering this, senior advocate U.K. Chaudhary, who appeared for the Anil Ambani-controlled firm, argued the petitioner is merely arm-twisting the firm. “This is not a loan that needs to be given back, but this is equity infusion which is irretrievable. They are investors and not borrowers and they knew where they are investing. Now, the value of their share is not over Rs400 crore.""
“It’s their commercial investment that has gone wrong and they being 5% equity holder they are suffering, we are also suffering being 95% equity holders,"" argued Chaudhary.
Also, senior counsel Birendra Saraf, appearing for the joint lenders’ forum, argued RCom’s assets, including the tower business, are a pledge and the entire plan was monitored by the lenders; hence, nobody can see any asset in isolation.
Email queries to RCom and Reliance Jio did not elicit any response till the time of filing the report. 
After hearing the arguments from offshore investors, Reliance Infratel as well as the counsel of the joint lender forum, the court posted the matter for 27 February. 
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
66,2018-02-23,Bharti Infratel,"An earlier plan of Bharti Infratel to buy out Vodafone India an Idea Cellular's stake in Indus Tower has been scrapped as the telecom firms want to stay invested in the telecom tower business

Mumbai: Bharti Infratel Ltd and Indus Towers Ltd—two of India’s largest telecom tower firms—are planning to merge their businesses, three people aware of the matter said. 
Mumbai: Bharti Infratel Ltd and Indus Towers Ltd—two of India’s largest telecom tower firms—are planning to merge their businesses, three people aware of the matter said.
Vodafone India Ltd and publicly traded Bharti Infratel Ltd hold 42% each in Indus Towers. Idea Cellular Ltd owns 11.15% and US-based private equity fund Providence owns 4.85%.
Bharti Infratel was earlier planning to acquire a controlling stake in Indus Towers and make the latter a subsidiary.
According to that plan, Bharti Infratel was to acquire the stake it didn’t own in Indus Towers in an all-cash transaction and later sell the combined business to external investors. 
“Both Vodafone and Idea wanted cash from the deal; now they want to stay invested in their tower business as they expect valuation of the business to go up in the near term. Also, the companies do not need cash at the moment,"" said a person aware of the matter.
Vodafone India and Idea Cellular are set to merge this year to create India’s largest telecom operator, surpassing Bharti Airtel Ltd.
The merged entity of Vodafone India and Idea now expect to have additional cash of about Rs21,000 crore in the first year, which includes Rs6,750 crore raised by Idea through sale of shares to institutional investors, Vodafone’s investment of Rs6,750 crore and about Rs8,400 crore from savings in operational and capital expenditure, another person with direct knowledge of the matter said.
A Vodafone India spokesperson declined to comment while an email sent to Idea remained unanswered. 
A Bharti Infratel spokesperson said, “As a policy, we do not comment on market speculation. Being a responsible corporate, we always make appropriate disclosures to the stock exchanges and our stakeholders as and when required."" 
The decision to merge the two tower companies comes in the wake of Airtel’s announcement that it would list its Africa business to raise money.
The new arrangement will also give freedom to each of the stakeholders in the merged tower entity to sell their stakes at their convenience.
“It is all about financial benefit. Everybody is working on this. It is being done internally,"" said this person. 
The valuation of a tower whose tenancy rates used to be Rs50 lakh has now declined to Rs30-35 lakh, according to a Mumbai-based analyst with a brokerage.
“There has been a price correction of about 20% in the industry,"" the analyst said, requesting anonymity, citing examples of the tower sale by Vodafone India and Idea Cellular, who agreed to sell their standalone telecom tower businesses to ATC Telecom Infrastructure Pvt. Ltd in November. 
“The tower sale was earlier pegged at Rs50 lakh per tower. However, Idea/Vodafone got about Rs40 lakh per tower from ATC in the deal,"" the analyst said.
There would be a further price correction in the tower business after Vodafone and Idea complete their merger, which will lead to a decline in the number of towers required for the merged entity to function.
“The minute this merger (Idea-Vodafone) gets announced, the valuation of towers will go down further,"" said the first person cited earlier, adding that valuation of tower business will start to go up when telcos will start investing massively to ramp up infrastructure to meet data demand, which is expected to go up from around 20 petabytes a day to about 120 petabytes a day in the near term.
“Once the telcos start announcing their capex, valuation will start growing up,"" the person added."
65,2018-03-08,Bharti Infratel,"HSBC Daisy-led investors have argued that Reliance Infratel would become defunct after the RCom-Reliance Jio deal as it would not have any assets left

Mumbai: The Mumbai bench of the National Company Law Tribunal (NCLT) on Wednesday directed Reliance Infratel Ltd, a subsidiary of Reliance Communications Ltd (RCom), to stay the sale of its assets until 13 March. 
Mumbai: The Mumbai bench of the National Company Law Tribunal (NCLT) on Wednesday directed Reliance Infratel Ltd, a subsidiary of Reliance Communications Ltd (RCom), to stay the sale of its assets until 13 March.
The tribunal was hearing a petition filed by offshore investors of Reliance Infratel led by HSBC Daisy Investments (Mauritius) Ltd, which are alleging oppression of minority shareholders and mismanagement.
After hearing the arguments of Reliance Infratel, overseas investors and the joint lenders’ forum of RCom, the NCLT division bench of B.S.V. Prakash Kumar and Ravikumar Duraisamy reserved its final order, to be released on 12 March.
This might create a minor hiccup as the Anil Ambani-owned company has entered into a binding agreement to sell off parts of RCom’s assets to Reliance Jio Infocomm Ltd, controlled by Anil Ambani’s older brother Mukesh Ambani. An RCom spokesperson declined to comment.
Earlier on 28 December, both companies in separate statements said that Reliance Jio had emerged as the highest bidder for the wireless spectrum, tower, optical fibre network and media convergence node assets of RCom. The companies did not disclose the deal value.
HSBC Daisy-led investors argued that the company in which they had invested—Reliance Infratel—would become defunct because it would not have any assets left.
“When we had invested Rs1,100 crore in the company, under the agreement, we had the right to know about any changes that (the) company does, but we were not aware of anything that the company did,"" argued their counsel Iqbal Chagla.
He further argued that out of the total debt of RCom of around Rs45,000 crore, Reliance Infratel had debt of mere Rs3,400 crore, while the valuation of the latter’s tower business alone was Rs11,000 crore when its parent was in talks with Brookfield to sell assets.
“Currently, all the assets including those owned by Reliance Infratel are mortgaged and today, if the assets are not sold, the lenders will approach the tribunal under insolvency and bankruptcy code to recover their dues,"" argued Alpana Ghone, counsel for Reliance Infratel. 
“The entire procedure was conducted by the joint lenders’ forum where Reliance Jio was the highest bidder.""
According to Ghone, the sale of RCom group assets will fetch around Rs24,707 crore, out of which the assets of Reliance Infratel will fetch around Rs8,000 crore. Ghone also argued that the valuations of the telecom tower company had gone down because anchor tenant RCom had decided to terminate the rental agreement, and any delay might further dent valuation. 
Earlier, on 20 February, Reliance Infratel had agreed to share details of the deal to sell its assets to Jio with shareholders led by HSBC Daisy. These investors are seeking an exit from Reliance Infratel at fair market value.
In July 2007, HSBC Daisy Investment along with a clutch of other investors had invested around Rs1,100 crore in Reliance Infratel for about 5% stake, which has now come down to 4.26%. 
Appearing for the joint lenders’ forum, senior counsel Birendra Saraf argued that RCom’s assets, including the tower business, are a pledge and the entire plan was monitored by the lenders; hence, nobody can see any asset in isolation. 
Late on Tuesday, in an exchange filing, RCom said that it had appealed in the Bombay high court against an arbitration court which restrained it from sale, transfer or mortgage of its assets.
The arbitration court was ruling on an appeal by Swedish telecom vendor Ericsson, an operational creditor of RCom.
PTI contributed to this story.
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
64,2018-03-13,Bharti Infratel,"NCLT has stayed the Reliance Infratel asset sale, part of the larger RCom-Jio deal, in response to a petition filed by investor HSBC Daisy Investments

Mumbai: In a setback for Reliance Infratel Ltd, a subsidiary of Reliance Communications Ltd, the Mumbai bench of the National Company Law Tribunal (NCLT) has continued the stay on the sale of its assets to Reliance Jio until further order. 
Mumbai: In a setback for Reliance Infratel Ltd, a subsidiary of Reliance Communications Ltd, the Mumbai bench of the National Company Law Tribunal (NCLT) has continued the stay on the sale of its assets to Reliance Jio until further order.
The tribunal was hearing the plea filed by HSBC Daisy Investments (Mauritius) Ltd, who is alleging oppression of minority shareholders and mismanagement.
On Monday, NCLT had allowed the amendment application of offshore investors to make changes to their original petition seeking a stay on sale of Reliance Infratel’s assets.
The tribunal also posted the hearing on investors’ contempt petition on 6 April.
“We intend to file an appeal immediately before the NCLAT for the vacation of the stay, to protect the interests of our secured lenders,"" said an RCom spokesperson in an email response to Mint query. “It is to be noted the stay granted by NCLT today relates only to RCOM’s tower and fibre assets and does not apply to spectrum, MCNs, real estate, etc.""
The RCom spokesperson further said that “We expect our secured lenders to also take appropriate steps for the expeditious completion of processes transparently run by lenders for monetisation of their securities, and realisation of their dues.""
“As legally advised, the claims of minority investors and/or unsecured vendors cannot under any circumstances rank in higher priority than the undisputed claims of secured domestic and international lenders, and any stay granted in this regard is not defensible in law and liable to be vacated,"" the RCom spokesperson further added.
HSBC Daisy and other investors had originally approached the tribunal in 2015 against the proposed merger of Reliance Infratel with its parent company Reliance Communications. 
Currently, the investors were opposing the transaction on the grounds that once the deal with Jio goes through, the company in which they had invested around Rs1,100 crore will become defunct. In July 2007, HSBC Daisy Investment along with a clutch of other investors had invested around Rs1,100 crore in Reliance Infratel for about 5% stake, which has now come down to 4.26%.
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
63,2018-04-06,Bharti Infratel,"The Supreme Court also rejected the plea of Reliance Infratel, a subsidiary of RCom, and SBI challenging an NCLT order that stayed an asset sale to Reliance Jio

New Delhi: In a partial relief to Reliance Communications Ltd (RCom), the Supreme Court on Thursday cancelled a March order of the Bombay high court that had rejected the company’s appeal of an order from an arbitration tribunal barring the sale or transfer of its assets. 
New Delhi: In a partial relief to Reliance Communications Ltd (RCom), the Supreme Court on Thursday cancelled a March order of the Bombay high court that had rejected the company’s appeal of an order from an arbitration tribunal barring the sale or transfer of its assets.
Accordingly, RCom is at liberty to proceed with the sale of spectrum, media convergence nodes (MCN) and real estate (at New Delhi, Chennai, Kolkata, Jigni and Tirupati) that were previously under challenge.
“It is not a block sale. The court has today paved way for sale of the spectrum, MCNs and real estate,"" Punit Garg, executive director of RCom, said in an interview after the court order. Other people aware of the developments have however, maintained that the asset sale is a block deal.
The top court also rejected the plea of Reliance Infratel, a subsidiary of RCom, and the State Bank of India (SBI) challenging an order of the National Company Law Tribunal (NCLT) that stayed an asset sale to Reliance Jio Infocomm Ltd. A two-judge bench headed by justice A.K. Goel asked the parties to approach the National Company Law Appellate Tribunal (NCLAT) in accordance with law. RCom is likely to move the appellate forum on Friday. 
“As legally advised, and based on the order of the Hon’ble SC as above, RCom is confident of securing appropriate relief from the NCLAT to enable sales of tower and fibre assets to also be completed at the earliest. The claim of the minority investors (which is fully disputed by RCom) can, in any case, be a maximum of approx. Rs200-300 crore from the sales proceeds,"" a RCom spokesperson said. 
RCom had moved the top court on 19 March seeking a stay on orders of the Bombay high court and the National Company Law Tribunal (NCLT) Mumbai bench, barring it from selling its wireless assets to Reliance Jio without prior approval. The company was joined by SBI which approached the court on 20 March seeking approval for the sale of RCom’s assets to Reliance Jio. 
The tribunal was hearing a petition filed by offshore investors of Reliance Infratel led by HSBC Daisy Investments (Mauritius) Ltd, which are alleging oppression of minority shareholders and mismanagement. While RCom owes a total of Rs45,000 crore to its lenders, total dues to SBI as on 28 February stood at Rs4,027 crore. On 8 March, the high court had rejected RCom’s appeal against an order of an arbitration tribunal barring the sale or transfer of its assets without prior permission. The tribunal had passed the interim order on a plea by Swedish telecom equipment maker Ericsson for recovery of Rs1,012 crore from RCom.
Ericsson being an unsecured creditor, through its counsel, C.A. Sundaram, said, “It is not that we don’t have any rights. I have the right to recovery. This cannot be a private transaction; one brother selling to another.""
“Am I to be left in the lurch like this? After they sell the assets, they will say that they don’t have money left to pay us,"" he remarked. He added that its rights were being defeated and being a small company, it would suffer irreparably. It was observed by the court that as unsecured creditors, it (Ericsson) could not be deprived of its statutory rights.
This was opposed by Mukul Rohtagi, representing RCom who told the court, “Even under civil law or commercial law, secured creditors are above unsecured creditors"".
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
62,2018-04-18,Bharti Infratel,"NCLAT also recalled its 6 April interim order partially allowing Reliance Infratel to execute its Rs25,000 crore asset sale programme with Reliance Jio, after the said order was stayed by the SC

New Delhi: The National Company Law Appellate Tribunal on Wednesday admitted Reliance Infratel Ltd’s appeal against the stay imposed by National Company Law Tribunal (NCLT) Mumbai on the sale of its tower and fibre assets to Reliance Jio Infocomm Ltd.  
New Delhi: The National Company Law Appellate Tribunal on Wednesday admitted Reliance Infratel Ltd’s appeal against the stay imposed by National Company Law Tribunal (NCLT) Mumbai on the sale of its tower and fibre assets to Reliance Jio Infocomm Ltd. 
The appelate tribunal also recalled its 6 April interim order partially allowing Reliance Infratel to execute its Rs25,000 crore asset sale programme with Reliance Jio Infocomm, after the said order was stayed by the Supreme Court on 16 April in an appeal moved by HSBC Daisy Investments (Mauritius) Ltd.
On 6 April, a bench headed by S.J. Mukopadhaya had without vacating the stay on the sale and transfer of Reliance Infratel’s assets, allowed lenders led by the State Bank of India (SBI) to go ahead with the deal in favour of Reliance Jio and deposit the sale proceeds in a separate escrow account subject to its final decision.
Reliance Infratel had moved the tribunal earlier this month against a 12 March stay order passed by NCLT Mumbai bench, in a plea by offshore investors of Reliance Infratel led by HSBC Daisy Investments (Mauritius) Ltd, alleging oppression of minority shareholders and mismanagement for not taking their consent for the asset sale as per the articles of association of the company. 
A stay imposed by the Bombay high Court on sale of spectrum, media convergence nodes (MCN) and real estate (at New Delhi, Chennai, Kolkata, Jigni and Tirupati) was vacated by the Supreme Court on 5 April. 
In December 2017, as part of its debt resolution plan, Anil Ambani-led Reliance Communications Ltd struck a Rs25,000 crore deal with Mukesh Ambani’s Reliance Jio for the sale of its assets mortgaged with different banks, to avoid insolvency proceedings.
The matter would be next heard on 23 April. 
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
