,Date,Company,Article
48,,Britannia,
47,2018-01-09,Britannia,"Price reduction is part of Britannia's wider strategy of premiumization the biscuit market, which also led to it kicking off 2018 by launching a super-premium biscuit called Pure Magic Deuce

Bengaluru: Britannia Industries Ltd is looking at reducing prices for some of its super-premium biscuits in order to attract more consumers and boost business, a top executive said. This is part of the company’s wider strategy of premiumising the biscuit market, which also led to it kicking off 2018 by launching a super-premium biscuit called Pure Magic Deuce.  
Bengaluru: Britannia Industries Ltd is looking at reducing prices for some of its super-premium biscuits in order to attract more consumers and boost business, a top executive said. This is part of the company’s wider strategy of premiumising the biscuit market, which also led to it kicking off 2018 by launching a super-premium biscuit called Pure Magic Deuce. 
Biscuits account for around three-fourth of Britannia’s total sales and the company’s strength lies in selling premium varieties of the product over regular glucose biscuits, which are viewed as mass products. 
Biscuits cost around Rs100 per kg on average and Britannia sells super-premium biscuits - those that cost Rs400 per kg or more—under its Pure Magic and Good Day brands. 
“We are strong in 60% of the market, which is premium. But what we’ve realised is value could be a large source pool from which we can upgrade consumers into our premium products. In some cases we’ve even realised that our pricing is possibly higher than we should charge consumers, and if we democratize some of those brands slightly we could see a significant upside in business,"" said Ali Harris Shere, Britannia’s marketing head. 
Shere did not reveal details on the exact amount of price cut. But he said Britannia will not shy away from doing what is required. For example: if the price for some brand needs to be lowered to Rs400 per kg from Rs500 a kg, then that’s what the company will do. 
Even for its newest product, Pure Magic Deuce, Britannia had initially test-marketed selling four large biscuits for Rs30. But when it finally launched Deuce on 2 January, it went with six biscuits to a pack to optimise the ratio of number of biscuits to price. 
“We are seeing companies trying to get the Indian middle class to upgrade their choice of biscuits by smaller packs as well as attractive pricing where a premium range gets perceived as affordable. This could open up a new set of customers who are currently treating biscuits as one option for a tea-time snack or a children’s snack,"" said Sreedhar Prasad, partner at KPMG in India. 
Indeed, Britannia’s plan to lower prices is partly based on the company’s previous success in launching smaller packs, for Rs5, of its Good Day and Marie Gold premium brands to attract consumers, especially in the rural markets. 
Biscuits as a category grew at a 10.6% compounded annual growth rate (CAGR) between 2012 and 2017 and is led by Britannia, Parle Products Pvt. Ltd and ITC Ltd, according to data from research firm Euromonitor International. But the market is expected to grow at a significantly slower 2.3% CAGR between 2017 and 2022. 
“It is a price sensitive category by and large. But is it as price sensitive as it was, say, five or ten years back? No. You’ve seen the consumer upgrade and shift from a 50% glucose market to a struggling and almost non-existent glucose segment today. What you have to look for is value for money. If the consumer feels that you are giving proper value, then he will pay that premium,"" said Nikhil Sen, managing director at premium cookie maker Unibic Foods India Pvt. Ltd. Unibic has experimented with smaller packs to increase market penetration rather than go for price cuts."
45,2018-02-12,Britannia,"Britannia Industries' total revenue grew 8.81% to Rs2,603.42 crore during the October-December quarter

Bengaluru: Biscuit maker Britannia Industries Ltd reported a 19.60% jump in profit for the October-December quarter aided by strong domestic consumer demand. 
Bengaluru: Biscuit maker Britannia Industries Ltd reported a 19.60% jump in profit for the October-December quarter aided by strong domestic consumer demand.
Profit rose to Rs263.65 crore from Rs220.44 crore a year ago, Britannia said in a BSE filing. Total revenue grew 8.81% to Rs2,603.42 crore during the period.
“Our double-digit domestic growth of 15% for the quarter is backed by double-digit volume growth on the back of investment in brands and widening our distribution network through focus on direct reach, rural and weak markets,"" managing director Varun Berry said in a statement.
Britannia’s international business, however, continued to grow at a slower rate due to deteriorating geopolitical situation and currency fluctuations in markets like the Middle East and Africa. Growth in the company’s dairy business has also been subdued, even though profitability in this division has improved as it focuses on products with high profitability, the company said.
Britannia continued its premiuimisation and innovation journey through various launches during the fiscal third quarter including Pure Magic Deuce—a super-premium biscuit with a chocolate slab—and Good Day Choco Almond and Chocochips.
Good Day along with Tiger, NutriChoice, Tiger, 50:50 and Marie Gold are Britannia’s power brands.
Prices of key raw materials have been stable during the quarter, the company said, adding its cost efficiency program has also helped improve profitability.
“We have progressed well in our journey of building technologically superior factories. In this context, I am pleased to announce that our new greenfield factories at Guwahati, Assam and dedicated facility for servicing export markets at Mundra, Gujarat are nearing completion and are expected to be commercialised soon,"" Berry said.
Britannia had originally announced its plans to set up the facilities in Assam and Gujarat last November. That is part of its wider strategy to invest Rs1,500 crore over the next three years to expand its manufacturing footprint, which includes what the company says will be its biggest manufacturing facility yet at Ranjangaon in Maharashtra.
The company also said it continues to work actively on bridging portfolio gaps in its biscuits business and other adjacent snacking opportunities to achieve profitable growth."
46,2018-02-12,Britannia,"In other news, ONGC Videsh-led consortium picks up 10% stake in UAE's Zakum oilfield, while Wipro Consumer Care is set to cross $1 billion in revenue by next month

US stocks rebound; Asian markets open mixed 
US stocks rebound; Asian markets open mixed
The Dow Jones industrial average rebounded more than 300 points Friday, paring deep losses for investors in what still amounted to the worst week in two years.
Asian markets were mixed early on Monday, while oil prices edged up after recording six straight days of declines.
SGX looks to bypass curbs placed by Indian bourses
The Singapore Stock Exchange (SGX) said it will develop new products to provide investors with access to Indian securities after exchanges in the country abruptly decided to end licensing their products and data to overseas bourses.
ONGC Videsh-led consortium picks up 10% stake in UAE’s Zakum oilfield
A consortium of Indian companies led by state-owned Oil and Natural Gas Corp. Ltd (ONGC)’s overseas arm, ONGC Videsh Ltd, has bought a 10% stake in the UAE’s offshore oil and gas field Zakum, as India pursues overseas hydrocarbon assets, while oil-rich nations resort to ways of reducing risk and balancing their budget deficits.
Wipro Consumer Care set to cross $1 billion in revenue by next month
Wipro Consumer Care and Lighting will reach the $1 billion revenue mark by March 2018, as the company’s China bets in particular continue to pay off and key brands in India perform well.
Aditya Birla Capital to launch ARC business this quarter
Aditya Birla Capital Ltd (ABCL), the financial services business of the $50 billion Aditya Birla Group, will begin investing in its asset reconstruction company (ARC) and start business this quarter, reports Mint.
Tata Motors to leverage group strength on future of mobility: MD Guenter Butschek
As the auto industry goes through disruptions brought by new technologies, Tata Motors is banking on group strength, particularly on software major TCS, in its bid to position itself as a mobility solutions provider, according to its MD and CEO Guenter Butschek.
Atria Convergence hires investment banks for IPO
Atria Convergence Technologies Pvt. Ltd (ACT), a broadband services provider controlled by private equity firms TA Associates and True North, has hired investment banks to help it raise Rs1,500-2,000 crore through an initial public offering (IPO).
Earnings corner
Bank of India, Britannia Industries Ltd, JK Tyres and Gail India Ltd are among the companies that will be announcing their December quarter earnings on Monday."
44,2018-02-13,Britannia,"Britannia will launch dairy products by October-November and croissants through its joint venture with Greek firm Chipita SA by March 2020

New Delhi: Consumer packaged goods major Britannia Industries Ltd has plans to launch around 50 new products under its existing as well as new categories by the end of the next fiscal as part of efforts to be a total food company, said a top company official.  
New Delhi: Consumer packaged goods major Britannia Industries Ltd has plans to launch around 50 new products under its existing as well as new categories by the end of the next fiscal as part of efforts to be a total food company, said a top company official. 
In view of its growth strategy, Britannia will launch dairy products by October-November and croissants through its joint venture with Greek cakes and confectionery major Chipita by March 2020.
 Besides, the company will continue with its strategy of adding new countries in its list and scout for new markets in Africa, while foraying into Bangladesh and Myanmar. 
“Almost 50 new products would be there by the end of next financial year,"" Britannia Industries managing director Varun Berry told PTI. The Kolkata-headquartered company is looking to diversify in bakery and non-bakery segments and also focussing on snack items. 
“We are also looking into other areas as bakery and outside bakery, the macro-snacking category, which could be potential areas for us to grow,"" he said. Besides, Britannia may also launch new sub-brands in the market for some categories, although it will primarily rely on its existing ones. 
The group will continue with its existing sub-brands to make sure that it is not completely entering the unknown territories, Berry said, adding that however, in some categories, the company will look for a new one where there is no suitable brand. The company is in the process of putting up a manufacturing line with its JV partner Chipita for croissants, which is expected to come up by the third quarter of the coming fiscal. 
On his plans for the dairy sector, Berry said, “We are pretty clear that we would go into it and the value added product segments."" 
The company is also in the process of setting up a Rs1,000-crore plant at Ranjangaon, Pune which would be an integrated food park, he said, adding tow plants in Guwahati and export-oriented unit at Mundra SEZ would be commercialised early next year. 
Britannia’s Nepal plant would start in the fourth quarter of the next fiscal as it is awaiting environmental clearance there. “Our target is to add a new country every year and that is going well,"" Berry said. 
On being asked about the next destination, Berry said: “We have still not identified the next destination but we are looking at a bunch of countries in Africa, and countries like Myanmar and Bangladesh. We would identify one of those and move forward in FY 2019-20."" At present, Britannia has manufacturing units in Dubai and Oman, which cater to the Middle East markets."
43,2018-02-14,Britannia,"Britannia MD Varun Berry on the challenges in the dairy business, its premium biscuit business, and on the overall FMCG sector

Bengaluru: India’s dairy market is a tough nut to crack, as multinationals have found out the hard way. But for Britannia Industries Ltd, milk and dairy products is the way to go, as it tries to transition from a biscuit maker to a total foods company. A month after Danone SA of France decided to shut its dairy business in India, Britannia’s managing director Varun Berry spoke on the challenges in the dairy business, its premium biscuit portfolio driving domestic volume growth, and on the overall fast-moving consumer goods (FMCG) sector. Edited excerpts: 
Bengaluru: India’s dairy market is a tough nut to crack, as multinationals have found out the hard way. But for Britannia Industries Ltd, milk and dairy products is the way to go, as it tries to transition from a biscuit maker to a total foods company. A month after Danone SA of France decided to shut its dairy business in India, Britannia’s managing director Varun Berry spoke on the challenges in the dairy business, its premium biscuit portfolio driving domestic volume growth, and on the overall fast-moving consumer goods (FMCG) sector. Edited excerpts:"
42,2018-02-24,Britannia,"The launch of croissants will mark Britannia's formal entry into the breakfast market

New Delhi: Biscuit maker Britannia Industries Ltd is planning to launch croissant in packets during the second half of this year, said Gunjan Shah, vice president (sales) of the Kolkata-headquartered company. 
New Delhi: Biscuit maker Britannia Industries Ltd is planning to launch croissant in packets during the second half of this year, said Gunjan Shah, vice president (sales) of the Kolkata-headquartered company.
Croissant—a French crescent-shaped roll made of sweet yeast dough that is usually consumed as a breakfast item worldwide—will mark Britannia’s formal entry into the breakfast market that the company has been eyeing for a long time. Britannia also sells cakes, breads, rusks and a few value-added dairy products. In India, croissants are mainly sold at restaurants and bakeries. 
“Last year, we formed a joint venture with Greek company Chipita SA for producing and selling croissants. A factory is being set up currently,"" Shah said. 
The joint venture entity—Britchip Foods Ltd may also look at launching a few other products, according to Britannia’s fillings with BSE. Britannia holds 60% in Britchip Foods while Chipita has the remaining equity. After the 10-year lock-in, Britannia will have the right of first refusal if Chipita intends to sell its stake.
Britannia, which has been working on turning itself into a ‘total foods company’, is also eyeing new categories, Shah said. Earlier this month, Britannia managing director Varun Berry had said that the company aimed to launch about 50 new products by March 2020 as part of its plans to expand presence in bakery, non-bakery and micro-snacking categories, PTI reported.
“The focus on value-added dairy will continue,"" Shah said. India’s dairy market has always been a difficult space for most companies, including the multinationals. Last month, Danone SA of France formally shut down its dairy business in India after three failed attempts to penetrate the market, Mint reported on 12 January. 
However, Indian dairy market has always attracted big companies. In recent years, local entities of PepsiCo Inc. and Coca-Cola Co., home-grown biggies like ITC Ltd have entered the market hoping to grab a share from the dominant players, such as Swiss Packaged food company Nestle India Ltd and home-grown Amul brand with focus on the value-added segment.
According to Berry, dairy would contribute about Rs1,500 crore to Britannia’s annual sales in five years, from Rs400 crore at present, and could be as big as its core biscuits business over a period, the Britannia managing director told Mint in an interview on 14 February. 
Britannia Industries reported a 19.60% increase in profit for the quarter ended 31 December to Rs263.65 crore while revenue grew 8.81% to Rs2,603.42 crore during the period, according to its filings with BSE. For the year ended 31 March 2017, its revenue stood at Rs8,684.39 crore."
41,2018-03-01,Britannia,"Britannia plans to operate with a 'zero-day inventory' by 'reducing distance between its distribution centres and retail stores that the company reaches directly

New Delhi: Britannia Industries Ltd is adapting the “leanest possible"" distribution model to directly “tailor-serve retail outlets"" across the country in less than a day as part of its plan to multiply sales and expand retail reach, said a senior executive. Currently, the process takes between one and three weeks. 
New Delhi: Britannia Industries Ltd is adapting the “leanest possible"" distribution model to directly “tailor-serve retail outlets"" across the country in less than a day as part of its plan to multiply sales and expand retail reach, said a senior executive. Currently, the process takes between one and three weeks.
In the new distribution model, the Kolkata-headquartered biscuit maker plans to operate with a “zero-day inventory"" by “reducing distance between its distribution centres and retail stores"" that the company reaches directly.
“Direct distribution results in much better offtake of brands. We have seen two to three times higher brand offtake (sales) after we started serving a particular retail outlet directly,"" said Gunjan Shah, vice president (sales), Britannia Industries. The aim, he added, is to go as deep possible ensuring it makes “commercial sense"".
But how far can Britannia go? “In some areas, we can go up to the level of a store that sells Britannia products worth Rs1,000 at least,"" said Shah. That’s just 100 packets of biscuits priced Rs10 each—Britannia’s largest selling pack size in non-metro markets.
The decision to focus on direct distribution came soon after Varun Berry took over as the company’s managing director in March 2014. At that time, Britannia used to serve only 6.5 lakh retail outlets directly. In comparison, Fritolay — a brand marketed by PepsiCo where Berry spent almost two decades — had a direct reach of 1.1 million outlets despite being one-fourth of Britannia’s size.
“From now on, every year we will add 2-3 lakh outlets to our direct network,"" Shah said. At present, the company directly reaches to 1.7 million retails stores of the 4.8 million outlets where Britannia products are sold. There are about 11 million retail outlets in India, of which around 8 million sell biscuits.
In the new direct distribution model, the entire supply chain is controlled by Britannia. Every day, around 20,000 people who are on Britannia’s direct payroll, visit retail stores, analyse local demands, suggest required tweaks in product placements based on the company’s in-house analytics and take orders on their mobile phones through an app. The orders are then delivered directly by Britannia from the nearest distribution centre within a day.
Traditionally, Britannia stocks products at its distribution centres. Products first go to its exclusive wholesale dealers, then distributors and direct retailers. The entire process takes anything from one week to three weeks, depending on the distance between the retail outlet and the factory. Britannia wants to reduce this to less than a day. 
While the focus on direct distribution was initiated in 2014 and increased reach, the new form of direct distribution is fairly new. In the last couple of years, Britannia tested the model for commercial viability in different pockets across 10 cities, starting with Mumbai.
“The new system is mapped real-time. It also reduces operational cost for dealers and distributors as they would not need to stock products,"" added Shah.
At present, Britannia has more than 800 vendors, 70 factories, 50 depots, 300 stock-keeping units and 3500 wholesalers. “The role of dealers and distributors is changing first. We need them for local knowledge, logistics and credit collection. Plus, they would take our products to geographies where Britannia can’t reach direct in a commercially viable manner. This would further expand reach,"" added Shah.
Britannia is not alone in implementing the new distribution model. Kolkata-based cigarette-to-biscuit maker ITC Ltd, which reaches about 2 million retail stores directly, has been working on a similar ‘factory-to-retail in a day’ model for the last few years, Mint reported on 10 June 2015. Britannia’s rival Parle Products, the maker of Parle G biscuits, has the largest retail reach.
According to a McKinsey and Co. report on the future of retail supply chains, companies can reduce costs by about 20% at the distribution centre level, while optimal deployment of inventory can reduce working capital by about 10%.
To move to a “zero-day inventory"" operational model, Britannia has been increasing its distribution centres aiming to reduce distance between them and retail outlets. “We now have around 14,000 distribution points, 4 times higher than what it was in 2013,"" he added.
“Britannia has been in revamp mode for the past couple of years backed by change in distribution strategy. The focus on direct distribution is the right thing that the company has done. It would help accelerate revenue, increase market share, and improve cost efficiency in the long term. But direct distribution would not make commercial sense in remote areas,"" said Sachin Bobade, an analyst with Dolat Capital Market.
For  ₹ 8,684-crore Britannia Industries, the theme is “pretty clear"": “Reduce distance to the market"", Berry told investors in the company’s last earnings call on 14 February."
40,2018-05-07,Britannia,"Despite ploughing lots of money into it and changing several executives, Britannia's dairy business constantly falls short of the company's expectations, contributing less than 5% of its annual revenues

Bengaluru: Since Britannia Industries Ltd started selling dairy products two decades ago, the company has put much store in making the business its next big thing. However, despite ploughing lots of money into it and changing several executives, the dairy business constantly falls short of the company’s expectations, contributing less than 5% of its annual revenues. 
Bengaluru: Since Britannia Industries Ltd started selling dairy products two decades ago, the company has put much store in making the business its next big thing. However, despite ploughing lots of money into it and changing several executives, the dairy business constantly falls short of the company’s expectations, contributing less than 5% of its annual revenues.
Britannia’s biggest problem is that it has been unable to dent the dominance of regional companies such as Hatsun Agro Product Ltd and Tirumala Milk Products Pvt. Ltd and co-operatives like the Gujarat Cooperative Milk Marketing Federation Ltd (GCMMF) that owns the Amul brand. Milk procurement is also a challenge as it is scattered and mostly unorganized. Parts of the dairy market, especially in Gujarat, are also tied to the politics of the state.
This leaves Britannia’s new dairy head, Venkat Shankar, with a massive challenge. Shankar joined the company in April from HT Media Ltd, which owns this newspaper, where he was executive director. He replaced Sarad Garodia, who quit Britannia last August and started a milk aggregator firm of his own called Happy Cow Dairy Co. Pvt. Ltd.
Shankar’s appointment marked the third time Britannia has changed its dairy head in as many years. He is tasked with accelerating sales growth in a very competitive market without compromising too much on profitability.
To put things into perspective, GCMMF earned Rs29,220 crore in provisional revenues for the financial year that ended 31 March on the back of the popularity of Amul. In February, Britannia managing director Varun Berry estimated that the company’s dairy business had the potential to grow to Rs1,500 crore annually within five years from Rs400 crore currently.
“It is very tough, there is no doubt about it, for any company to compete against Amul, which has now become very large on all fronts—distribution-wise, product range-wise and brand-wise. Britannia, being a large bakery/biscuit company, they have not been so tuned to the dairy dynamics,"" a consumer goods industry expert said on condition of anonymity.
Britannia will need disruptive and first-to-market products to succeed in the dairy space, said Abneesh Roy, senior vice-president at Edelweiss Securities.
“It has strong brand equity in cheese, curd and ready-to-drink products but it was not competitive as it was outsourcing (production),"" Roy said, adding that the company will need to invest in the back-end also to really make a mark in the long run and compete with the likes of Amul.
Expanding the dairy business is important for Britannia as it has been looking to reduce its dependence on biscuits, its largest revenue earner. Under Berry, who became managing director in April 2014, Britannia has rapidly expanded sales and profits, gaining market share in biscuits. Over the long-term, biscuits is seen as a category that may struggle to expand significantly given changing consumer preferences. So, despite Britannia’s struggles in dairy, the company is expected to continue its attempt to crack the business.
“Given that India is a dairy-consuming country, the potential is far bigger than in biscuits in terms of the quantum. Earlier we used to make yogurt at home and now we have graduated to buying branded yogurt from supermarkets and even getting it delivered to our doorstep. Britannia is absolutely right in going after it,"" said Harminder Sahni, managing director at consulting firm Wazir Advisors."
39,2018-05-15,Britannia,"Britannia Industries net profit for the quarter ended 31 March came in at Rs263 crore compared with Rs211 crore in the year-ago quarter

Bengaluru: Packaged-food major Britannia Industries Ltd posted a near 25% rise in quarterly net profit on Tuesday, in line with estimates.
Net profit for the quarter ended 31 March came in at Rs263 crore ($38.64 million) compared with Rs211 crore in the year-ago quarter .
Analysts, on average, had estimated a net profit of Rs264 crore, according to Thomson Reuters data.
Total revenue from operations rose about 10% to Rs2,538 crore."
