,Date,Company,Article
50,,Cipla,
49,2018-01-29,Cipla,"Cipla and Strides Shasun unit receive final approval from USFDA for tenofovir disoproxil fumarate tablets, used for the treatment of HIV-1 infections in adults

New Delhi: Cipla Ltd and a unit of Strides Shasun Ltd have received final approval from the US Food and Drug Administration Drug (USFDA) for tenofovir disoproxil fumarate tablets, used for the treatment of HIV-1 infections in adults. 
New Delhi: Cipla Ltd and a unit of Strides Shasun Ltd have received final approval from the US Food and Drug Administration Drug (USFDA) for tenofovir disoproxil fumarate tablets, used for the treatment of HIV-1 infections in adults.
The tenofovir disoproxil fumarate tablets, 300 mg, are generic equivalents of Gilead Sciences’ Viread Tablets, 300 mg, the companies said in their separate BSE filings.
Strides Shasun, which already had tentative approval for the product from the USFDA, said it will launch the product immediately. Citing IMS sales data, the company said the US market for tenofovir disoproxil fumarate tablets is approximately $750 million.
Cipla said the product is indicated in combination with other antiretroviral agents for the treatment of HIV -1 infection in adults and paediatric patients 12 years of age and older.
At 11.56am, Cipla shares traded 0.19% down at Rs620.15 on BSE, while Strides Shasun shares rose 2.40% to Rs809.95. The BSE Sensex rose 0.93% to 36,386.12 points."
47,2018-02-07,Cipla,"Cipla net profit rose to Rs401 crore in the third quarter ended 31 December, from Rs375 crore a year earlier

Bengaluru: Cipla Ltd, India’s fourth-largest drugmaker by revenue, said third-quarter net profit rose 7% on strong domestic sales, but fell short of analysts’ estimates. 
Bengaluru: Cipla Ltd, India’s fourth-largest drugmaker by revenue, said third-quarter net profit rose 7% on strong domestic sales, but fell short of analysts’ estimates.
Net profit attributable to shareholders climbed to Rs401 crore ($62.54 million) in the quarter ended on 31 December, from Rs375 crore a year earlier. 
That compared with an average estimate of Rs444 crore in profit drawn from 18 analysts polled by Thomson Reuters I/B/E/S.
Including a one-off positive impact of Rs107 crore due to recalculation of deferred tax assets and liabilities on account of the tax reforms in the United States, profit rose about 25% from a year earlier, the company said.
Revenue from India, its biggest market, rose 15% to Rs1,601 crore. Domestic revenue accounted for more than a third of the total revenue, which rose 7% to Rs3,914 crore.
Revenue from North America fell 2% due to ongoing pricing pressures in the generics market because of increased competition.
At 2.29pm, Cipla shares were down 0.74% to Rs561.45 on BSE. Reuters"
48,2018-02-07,Cipla,"Bharti Infratel may get majority control of Indus Towers, while Piaggio to take on Bajaj Auto in three-wheeler segment

Asian stocks rebound in early trade 
Asian stocks rebound in early trade
Asian stocks stabilised in morning trade with markets outside Japan clocking a slight gain, reports Reuters. Overnight, the US stocks closed higher after volatile trade. S&P 500 at 2,695 points is up 1.7%.
RBI likely to keep rates on hold for now
The Reserve Bank of India (RBI), meeting amid a global market storm, is widely expected to keep its key rate on hold on Wednesday, but toughen its rhetoric as inflation has accelerated sharply, reports Reuters.
Government doubles import duty on sugar
The government has doubled import duty on sugar to 100% and raised duty on chana to 40% to protect domestic farmers, reports PTI.
Bharti Infratel may get majority control of Indus Towers
UK’s Vodafone is in final stages of talks to sell its entire stake in Indus Towers raising Bharti Infratel’s holding in the company to 84% through a share-swap deal, reports The Economic Times.
HDFC looking to acquire CanFin Homes
HDFC Ltd is exploring purchase of controlling stake in CanFin Homes, the listed mortgage unit of Canara Bank, reports The Economic Times.
Four suitors express interest to bid for Alok Industries
At least four potential suitors have expressed interest in bidding for bankrupt textile company Alok Industries Ltd, reports The Economic Times.
Piaggio to take on Bajaj Auto in three-wheeler segment
Italian auto-company Piaggio is gearing to expand its three-wheelers’ market share and compete against segment leader Bajaj Auto, reports Business Standard.
Wipro’s Neemuchwala makes first management change
Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, reports Mint.
Cipla, Eicher Motors earnings today
Cipla Ltd, Aurobindo Pharma Ltd, Eicher Motors Ltd, IRB Infrastructure Developers Ltd and Voltas Ltd are some of the companies that will release their earnings for the December quarter on Wednesday."
46,2018-02-08,Cipla,"Cipla will use its research budget (expensed in the profit and loss account) for its generic products and use acquisitions to take forward its ambitions in the specialty product space

The US pharmaceutical market is proving to be a trying one for Indian generic pharmaceutical firms. While Cipla Ltd can’t say it was an exception, it is relatively better off than some of its peers. But the pricing pressure in the US market has led to Cipla adjusting its research spending pattern. It will use its research budget (expensed in the profit and loss account) for its generic products and use acquisitions to take forward its ambitions in the speciality product space. 
The US pharmaceutical market is proving to be a trying one for Indian generic pharmaceutical firms. While Cipla Ltd can’t say it was an exception, it is relatively better off than some of its peers. But the pricing pressure in the US market has led to Cipla adjusting its research spending pattern. It will use its research budget (expensed in the profit and loss account) for its generic products and use acquisitions to take forward its ambitions in the speciality product space.
That shift is a nod to the fact that a slower-than-expected US market sales growth could lead to research as a proportion of sales to increase faster. While this separation may help R&D as a percentage of sales to remain in check, the capital required (debt or equity) will put pressure on other parts of its profit and loss account, such as amortization or interest costs. But by focusing on late-stage candidates for acquisition, Cipla hopes to improve the odds of the product reaching market.
The company’s US market sales grew by 2% to $100 million over a year ago and rose by 5% sequentially. This was despite new launches in the quarter and price erosion in other products pulling down growth. If its new products continue to ramp-up and it succeeds in getting some more key approvals, growth could improve. In India, sales recovered as the market returned to normalcy post-GST (goods and services tax) roll-out. Sales growth in South Africa was healthy too.
Although Cipla’s overall sales grew by a relatively low 7.6%—10% adjusting for accounting effects of GST in India—it managed to do well on other fronts. Its gross profit margin (gross profit represents what is left over after deducting material costs from sales) improved, both over a year ago and sequentially. The company said a better product mix and favourable geographic share helped. It cautioned this could dip in the fourth quarter by a bit. It also kept employee costs and other expenses in check. As a result, its operating profit rose by 20.8% over a year ago.
While Cipla’s relatively low sales growth is a dampener, the good showing on other fronts should comfort investors. However, it had to write down part of its acquisition of InvaGen, which cut into its net profit, and it rose by a mere 4.8% over a year ago. The company’s US business remains the key factor to watch, with a number of products in the pipeline.
That Cipla does not have any regulatory issues at its plants is a significant differentiator, as there are no impediments to launching these products once it gets approval. Investors should watch for how its sales growth trend improves in the next few quarters, product approvals and acquisitions for its speciality pipeline."
45,2018-02-28,Cipla,"Cipla and Roche Pharma India signs an agreement under which Cipla will promote and distribute tocilizumab and Syndyma

New Delhi: Drug firm Cipla Ltd and Roche Pharma India has said that they have entered an agreement under which Cipla will promote and distribute tocilizumab and Syndyma, the 2nd brand of Roche’s cancer therapy bevacizumab in India. 
New Delhi: Drug firm Cipla Ltd and Roche Pharma India has said that they have entered an agreement under which Cipla will promote and distribute tocilizumab and Syndyma, the 2nd brand of Roche’s cancer therapy bevacizumab in India.
This partnership is in line with Cipla and Roche’s efforts to improve healthcare and increase access to innovative, life-changing medicines in India, particularly to patients who currently do not have access to such, Cipla said in a filing to BSE.
Commenting on the development, Cipla MD and global CEO Umang Vohra said, “The prevalence of cancer and rheumatoid arthritis is widely spread across India, and Cipla can contribute to provide broader access to innovative medicines like tocilizumab and bevacizumab."" The company looks forward to promote and distribute the drugs in India, he added.
“At Roche, improving access to the critical medicines that patients need is an integral part of what we do,"" Roche Pharma India MD Lara Bezerra said. “This partnership will significantly advance “our efforts to expand the reach of, and improve access to, our innovative medicines,"" she added.
This will also enable Roche to focus on bringing new, transformative medicines to patients in India, Bezerra said. “At Roche, we will continue to collaborate with various stakeholders to help transform healthcare in India,"" she added.
At 10.47am, Cipla shares traded 1.54% up at Rs595.20 on BSE, while the Sensex fell 0.46% to 34,188.14 points."
44,2018-03-20,Cipla,"Cipla says at this stage it does not foresee any impact on the other products being manufactured or filed from the Goa plant

New Delhi: Drug firm Cipla on Tuesday said it has received observations from the US health regulator for its Goa plant which are procedural in nature.  
New Delhi: Drug firm Cipla on Tuesday said it has received observations from the US health regulator for its Goa plant which are procedural in nature. 
The United States Food and Drug Administration (USFDA) had conducted a product specific pre-approval inspection at company’s Goa plant in January 2018, Cipla said in a BSE filing. 
“We received certain observations which are procedural in nature. We have already responded to the agency on all the observations,"" it added. At this stage, the company does not foresee any impact on the other products being manufactured or filed from the plant, Cipla said. 
“Post this inspection, we have received 2 product approvals from the plant,"" it added. Shares of Cipla on Tuesday closed at Rs552.50 per scrip on BSE, down 1.22% from its previous close."
43,2018-05-02,Cipla,"Drug major Cipla has received final approval from the US health regulator for generic equivalents of  Vazculep and Aromasin

New Delhi: Drug major Cipla has received final approval from the US health regulator for generic equivalent of Avadel’s Vazculep, West Ward Pharm Corp’s Phenylephrine Hydrochloride injection and Pfizer’s Aromasin.  
New Delhi: Drug major Cipla has received final approval from the US health regulator for generic equivalent of Avadel’s Vazculep, West Ward Pharm Corp’s Phenylephrine Hydrochloride injection and Pfizer’s Aromasin. 
In a regulatory filing, Cipla said “it has received final approval for its abbreviated new drug application (ANDA) for Phenylephrine Hydrochloride Injection USP, 50 mg/5 mL (10 mg/mL) and 100 mg/10 mL (10 mg/mL) pharmacy bulk package, Phenylephrine Hydrochloride Injection USP, 10 mg/mL single dose vial and exemestane tablets, 25 mg from the United States Food and Drug Administration (USFDA)"". Cipla said 
Phenylephrine Hydrochloride Injection USP, 50 mg/5 mL (10 mg/mL) and 100 mg/10 mL (10 mg/mL) pharmacy bulk package, is an AP-rated generic equivalent of Avadel’s Vazculep and is indicated for the treatment of clinically important hypotension resulting primarily from vasodilation in the setting of anesthesia. 
Cipla’s Phenylephrine Hydrochloride Injection USP, 10 mg/mL Single-Dose Vial, is an AP-rated generic equivalent of West Ward Pharm Corp’s Phenylephrine Hydrochloride Injection, 10 mg/mL, and is indicated for increasing blood pressure in adults with clinically important hypotension resulting primarily from vasodilation, in such settings as septic shock or anesthesia. 
Cipla’s exemestane tablets, 25mg, is an AB-rated generic equivalent of Pfizer’s Aromasin, and is indicated for treatment of certain types of breast cancer in postmenopausal women. All these products will be available for shipping in the near future. 
Citing IQVIA (IMS) Health data, Cipla said Vazculep and generic equivalents had US sales of approximately $56 million for the 12-month period ending February.
 Aromasin and generic equivalents had US sales of approximately $77 million for the 12-month period ending February 2018, according to IMS Health, it added. 
Cipla said the products are manufactured at the company’s Goa plant. Shares of Cipla were trading 2.03 per cent up at Rs618.95 on BSE at 11.12am."
42,2018-05-22,Cipla,"In other news, Moody's Invertor Service downgraded PNB rating to Ba1/NP from Baa3/P-3, and Icra expects Q4 GDP growth to bet at 7.4%

US stock end higher; Asian markets see weak opening  
US stock end higher; Asian markets see weak opening 
Asian markets were subdued early on Tuesday despite gains seen on Wall Street on the back of an apparent cooling in recent US-China trade tensions.
US stocks closed higher on Monday as trade tensions between the US and China dissipated for the moment, while investor sentiment was also boosted by news of deal making activity.
NCLAT issues notice to Tata Steel over Bhushan Steel acquisition
The National Company Law Appellate Tribunal (NCLAT) refused to grant an interim stay on acquisition of Bhushan Steel Ltd by Tata Steel Ltd. “Let us decide the law, but not stall the process,"" a bench headed by Justice S.J Mukhopadhyay said.
India’s Q4 GDP growth likely at 7.4%: Icra
Rating agency Icra Ltd expects gross domestic product (GDP) growth in the fourth quarter of the fiscal 2017-18 at 7.4% on account of good rabi crop harvest and improved corporate earnings, up from 7.2% in the third quarter.
Moody’s downgrades PNB on impact of Nirav Modi fraud
International rating agency Moody’s Invertor Service said it has downgraded state-run Punjab National Bank’s (PNB) rating to Ba1/NP from Baa3/P-3, due to impact on the lender’s profitability following the Nirav Modi fraud case.
Colgate-Palmolive Q4 net profit rises 32% to Rs188.77 crore
FMCG major Colgate-Palmolive India Ltd (CPIL) reported an increase of 32.39% in its net profit to Rs188.77 crore for the fourth quarter ended 31 March led by strong volume growth.
Tata Power, Actis in fray to buy Essel’s solar power plants
Tata Power Ltd and Actis LLP are in separate talks to buy the solar power business of Subhash Chandra’s Essel Infraprojects Ltd, reports Mint.
NSE to delist Kingfisher Airlines, 17 others from 30 May
National Stock Exchange has decided to delist Vijay Mallya-promoted Kingfisher Airlines Ltd and Plethico Pharmaceuticals Ltd and 16 other companies from 30 May.
Earnings corner
Andhra Bank, Bata India, Cipla, Dr Reddy’s Laboratories, IOC and State Bank of India are among the companies that will be announcing their March quarter earnings today."
41,2018-05-22,Cipla,"Cipla's Q4 profit came in at Rs179 crore for Q4, compared with a loss of Rs61.79 crore in the year-ago quarter

Bengaluru: Cipla Ltd, India’s second-biggest drugmaker by market capitalization, posted a Q4 profit on Tuesday, but missed analysts’ estimates. 
Bengaluru: Cipla Ltd, India’s second-biggest drugmaker by market capitalization, posted a Q4 profit on Tuesday, but missed analysts’ estimates.
Net profit came in at Rs179 crore for the March quarter ended 31 March, compared with a loss of Rs61.79 crore in the year-ago quarter, the company said. Analysts, on average, had expected a profit of Rs357 crore, according to Thomson Reuters data.
On Tuesday, Cipla shares rose 0.88%, or Rs4.55, to Rs524.35 on BSE while the benchmark Sensex ended 0.10% higher at 34,651.24 points."
