,Date,Company,Article
158,,Coal India,
157,2018-01-02,Coal India,"The inability of state distributors to utilize existing power plants leaves India with a glut of capacity while nearly 300 million Indians remain without access to electricity

New Delhi: India is adding the least amount of coal-fired power in more than a decade as tepid demand from indebted state retailers fails to utilize the nation’s existing generation capacity. 
New Delhi: India is adding the least amount of coal-fired power in more than a decade as tepid demand from indebted state retailers fails to utilize the nation’s existing generation capacity.
Coal-fired capacity, which accounts for more than three quarters of the nation’s electricity, rose by 809 megawatts during the April-November period, according to Bloomberg calculations based on the latest available data from the Central Electricity Authority, the planning wing of the power ministry. That’s the slowest pace since 680 megawatts was added during the same eight-month stretch in 2006.
Power producers have cancelled some coal-fired projects as existing plants fail to sell all the electricity they can produce. Nearly 40% of the country’s coal-based capacity is unused because the core customers — state-managed distribution companies — struggle to increase purchases in the face of massive debts and losses through electricity theft, insufficient metering and selling power below cost.
The inability of state distributors to utilize existing plants leaves India with a glut of capacity while still nearly 300 million Indians, mostly rural, remain without access to electricity. Prime Minister Narendra Modi’s administration, which came to power in 2014 promising electricity for all, has launched ambitious programs to bring electricity to every household by December 2018.
“Financially, the distribution companies are still not out of the woods and there isn’t enough demand to use up all the power capacity,"" said Debasish Mishra, a partner at Deloitte Touche Tohmatsu LLP in Mumbai. “Net capacity additions for coal may fall even lower in coming years as some of the older plants get phased out.""
A rapid increase in renewable power on the back of Modi’s pledge to provide clean energy is exacerbating the glut. During April-November, the country added 4.8 gigawatt of renewable capacity, according to the ministry of new and renewable energy. That’s almost sixfold the additions for coal.
A central government-led campaign for energy efficiency is also weighing on demand. The country’s electricity consumption peaked at 164 gigawatts during the eight months ended November, using up barely half of the installed capacity, CEA data show. Bloomberg"
156,2018-01-02,Coal India,"Union power minister R.K. Singh says electricity tariffs across India are expected to rise by 62 to 93 paise per kilowatt-hour (kWh) during the first year of upgrades to coal-fired power plants

New Delhi: Electricity tariffs across India are expected to rise by 62 to 93 paise ($0.0098-$0.0146) per kilowatt-hour (kWh) during the first year of upgrades to coal-fired power plants, power minister R.K. Singh told lawmakers on Tuesday.  
New Delhi: Electricity tariffs across India are expected to rise by 62 to 93 paise ($0.0098-$0.0146) per kilowatt-hour (kWh) during the first year of upgrades to coal-fired power plants, power minister R.K. Singh told lawmakers on Tuesday. 
The estimate of tariff increases of up to nearly 20% on average power fees comes amid rising levels of smog in the capital and other major cities, which has put pressure on the government and generators to tackle a growing public health crisis.
Power tariffs are a politically sensitive issue in India, where more than three quarters of the electricity is generated by coal-fired power plants. The average power tariff in India is around Rs5 per kWh.
Reuters reported in November that India was considering letting power companies pass on costs of installing emission-cutting equipment to consumers. 
India, which is looking to facilitate loans to power producers through state-run financial institutions to fund one-time costs, aims to make all coal-fired power plants comply with emission-cutting norms by 2022, Central Electrical Authority (CEA) chairman Ravindra Kumar Verma told Reuters in November. 
CEA has prepared a phase-in plan for implementing new environmental norms to ensure minimum disruption while plants are shut down for retrofitting, Singh told the upper house of India’s parliament in a written reply. 
Thermal power companies account for 80% of all industrial emissions of lung-damaging particulate matter, sulphur and nitrous oxides in India. Reuters"
155,2018-01-03,Coal India,"Coal India says about 71% materialisation of coal was done during April-December for both IPPs and CPPs and assured ICPPA that there is no shortage of coal

New Delhi: State-owned miner Coal India has assured coal availability to Indian Captive Power Producers Association (ICPPA), whose members include firms from steel and aluminium segment, as they are heavily dependent on the dry fuel.  
New Delhi: State-owned miner Coal India has assured coal availability to Indian Captive Power Producers Association (ICPPA), whose members include firms from steel and aluminium segment, as they are heavily dependent on the dry fuel. 
Coal India chairman and managing director Gopal Singh along with other senior officials held a meeting with members of ICPPA in Delhi on Tuesday, a person privy to the development said. In India, captive power producers’ capacity stands at 40,000 mega watts (MW) and about 30,000 MW is produced by using coal, which is about 75%.
The rest is produced through alternate materials like gas-based and others, ICPPA general secretary Rajiv Agarwal told PTI. “The industry is highly dependent on coal and the government must understand this. There are many plants who are on the verge of shut down. Many may become a non-performing asset (NPA),"" he said. 
Coal India, in the meeting, said about 71% materialisation of coal was done during April-December 2017 for both integrated power producers (IPPs) and captive power plants (CPPs) and assured there is no shortage of coal.
ICPPA said it is not satisfied by the words of the public sector unit (PSU), who it said is supposed to supply the dry fuel to industry. Agarwal said, “The given figure included dispatches by both rail and road. The share of CPPs rail dispatches is in the range of only 30 to 50% and out of this 30% major supply was given to those plants who were near the pits"". 
Even if coal linkage auction is concerned, 41.5 million tonnes (MT) was offered to the CPPs, he said and added, that out this the industry could not bid for 8.5 MT offered at “Magad-Amrapali of CCL (Central Coalfields Ltd)"" a place with evacuation constraint. 
Railways is also doing “choosy deliveries"". “To meet their loading targets, the zonal railway is making deliveries to plants which are near pits. This is something which is not justified. Captive power producers are already facing shortage from one body of the government, which is Coal India and now this practice of Railways make the matter worse,"" he added. 
Earlier, the ICPPA had urged the government to ensure coal availability, saying most CPPs are facing severe shortage of the fuel, which may lead to closure of plants. The body had said that the dry fuel must be supplied by Coal India Ltd to CPPs at the same rate at which it is being given to the IPPs. 
“There is a shortage of coal for CPPs and the difference in price is also something which we are concerned about,"" Agarwal had said."
153,2018-01-09,Coal India,"Coal India shares rise 7.69% to Rs310 after its board approved a hike in non-coking coal prices for both power and non-power consumers with immediate effect

Kolkata: State-run miner Coal India Ltd (CIL) on Tuesday said its board has approved a hike in non-coking coal prices for both power and non-power consumers with immediate effect. 
Kolkata: State-run miner Coal India Ltd (CIL) on Tuesday said its board has approved a hike in non-coking coal prices for both power and non-power consumers with immediate effect.
People familiar with the matter in Coal India indicated that the average price hike could be around 10%. Due to this revision, the world’s largest coal miner will earn an incremental revenue of Rs1,956 crore for the remaining period of the 2017-18 fiscal year, while total revenue will be Rs6,421 crore, the company said in a regulatory filing.
Coal India shares closed 5.63% higher at Rs304.05 on BSE, while the Sensex ended 0.26% higher at 34,443.19 points. In intraday trade, the stock rose as much as 7.69% to Rs310.
The price hike will be applicable to “all subsidiaries of Coal India, including NEC for regulated and non-regulated sectors"", the filing said.
The miner was compelled to revise prices in the wake of rising costs which was a drag on its profitability for the last few quarters. CIL had last revised price for the fossil fuel in May 2016 by 6.3% on an average that helped the miner to collect additional revenue of Rs3,234 crore in 2016-17.
Coal India slapped a levy of Rs50 per tonne as coal evacuation charges in early December which is set to earn the public sector miner Rs2,500 crore every year. In the remaining part of 2017-18, additional revenue from evacuation levy will be Rs800 crore.
The recent wage revision had pushed up its annual employees cost by additional Rs5,600 crore. Meanwhile, Coal India also said sales bills will be raised on GCV (kcal/Kg) basis with effect from 1 April 2018 and the present mode of raising bill would continue till then."
154,2018-01-09,Coal India,"In other news, Jaguar Land Rover reports record 2017 sales, warns on UK outlook

Asian markets steady in morning trade 
Asian markets steady in morning trade
Asian stocks outside Japan edged higher in the morning. US stocks closed mixed as investors turned cautious ahead of earnings, reports Reuters. S&P 500 at 2,746 points is up 0.12%.
Govt to divest 1.5% in NMDC today at Rs153.5 per share
The government will begin the sale of 1.5% stake in NMDC at a floor price of Rs153.50 apiece, reports PTI. The floor price of Rs153.50 is at a discount of 5% over the closing price of Rs161.85.
Life Healthcare said to weigh sale of Max Healthcare stake
Life Healthcare Group Holdings Ltd is considering a sale of its stake in India’s Max Healthcare Ltd, reports Bloomberg. According to the report, Life Healthcare and Mumbai-listed Max India Ltd each own 49.7% of Max Healthcare.
Coal India raises thermal coal prices
Coal India Ltd raised the prices of thermal coal, reports The Economic Times. According to the report, Coal India is estimated to fetch an extra revenue that would more than cover additional outgo on account of a workmen salary hike.
Jaguar Land Rover reports record 2017 sales, warns on UK outlook
Jaguar Land Rover, a unit of Tata Motors Ltd said its sales rose 7% to a record 621,109 vehicles in 2017 but warned it faces tough conditions in the UK due to weakening consumer confidence and a planned diesel tax hike on new cars, reports Reuters.
JSW Infrastructure-Srei to buy Sterling Port in Dahej
A consortium of JSW Infrastructure and Srei Infrastructure Finance Ltd is set to acquire the upcoming Sterling Port in Dahej from its lenders, reports Mint.
Vadanta leads race for Electrosteel Steels
Vedanta submitted the highest bid for bankrupt Electrosteel Steels, ahead of a Tata Group bid, reports The Economic Times.
GVK signs concession agreement for Navi Mumbai airport
GVK Power and Infrastructure has signed a concession agreement with Cidco to create a special purpose vehicle for developing the Navi Mumbai international airport. GVK through its subsidiary holds 74% equity shares of the venture, reports PTI.
Finance ministry may tweak tax norms for listed stocks
The finance ministry is considering extending the holding period for short-term capital gains tax on listed securities from one year to three years, bringing equities on a par with some other asset classes in tax treatment, reports Business Standard.
Rural indicators point to worsening farm distress
New data released by the government on rural wages, crop prices and sowing of winter crops reveals that rural distress is worsening, reports Mint."
152,2018-01-09,Coal India,"Coal India will implement the new pricing mechanism latest by April this year, company chairman Gopal Singh says

Kolkata: Coal India Ltd (CIL), the country’s largest miner, is set to introduce a new pricing policy for coal which will be linked strictly to quality, a top official said on Tuesday.  
Kolkata: Coal India Ltd (CIL), the country’s largest miner, is set to introduce a new pricing policy for coal which will be linked strictly to quality, a top official said on Tuesday. 
The company will implement the new pricing mechanism latest by April this year, Coal India chairman Gopal Singh told PTI. The new mechanism will compute prices on every unit of gross calorific value (GCV) of coal, doing away with the grade policy at present. 
“You pay exactly what quality you get,"" Singh said. Explaining, the new policy, he said for each GCV, 48 paisa will change either upward or downward from the median of each grade that the company has proposed. CIL has 17 grades from 2000 to 7000 GCV with difference of 300 GCV between two grades. 
CIL hopes that the new pricing policy will also have a positive impact on coal production. “Earlier, mining workers were not encouraged to cross a grade which was difficult but all miners will now be encouraged to produce more,"" Singh said."
151,2018-01-10,Coal India,"The expected increase in power tariffs is fuelled by Coal India revising coal prices by around 15-18%

New Delhi: Electricity tariffs may go up by 11 paise per unit due to an increase in coal prices by state-owned Coal India Ltd (CIL), rating agency ICRA said on Tuesday. 
New Delhi: Electricity tariffs may go up by 11 paise per unit due to an increase in coal prices by state-owned Coal India Ltd (CIL), rating agency ICRA said on Tuesday.
This expected increase in power tariffs is fuelled by CIL revising coal prices by around 15-18% effective from Tuesday midnight.
“This along with the levy of evacuation charges of Rs50 per MT is estimated to increase the cost of generation for coal-based power plants by about 13-15 paise/unit, as per ICRA estimates,"" the agency said in a statement.
Of India’s installed power generation capacity of 330,860.58 megawatt (MW), 58% or 192,971.50 MW is fuelled by coal.
This fuel price increase comes at a time when utilities recorded a high quarterly generation in the three months ended 31 December, indicating a recovery in electricity demand. Any fresh demand for electricity, the absence of which is weighing down the entire power sector, will also help in resolving the stressed assets problem and improve the sector’s financial viability.
“Given that coal based generators with an automatic pass through of fuel costs account for about 60% of the total power procured by discoms and assuming a partial pass-through by other IPPs (independent power producers) with competitively bid PPAs which account for balance, this translates into about 9 paise per unit increase in power procurement cost for discoms on an all India basis,"" said Sabyasachi Majumdar, group head and senior vice president, ICRA Ratings in a statement.
“In turn, assuming the average AT&C (aggregate technical and commercial) loss level at around 23% in the country, we estimate the impact on cost of power supply per unit sold and retail tariffs (assuming full pass through by state regulators) at around 11 paisa per unit or about 2% tariff hike,"" Majumdar added.
This comes in the backdrop of an uncertain outlook for the power sector and the National Democratic Alliance government trying to revive electricity demand in the country."
150,2018-01-10,Coal India,"Coal India points out that the price hike will bring in additional revenues worth Rs6,421 crore on an annualized basis and Rs1,956 crore for the rest of this fiscal

Hopes of a price hike after Coal India Ltd (CIL) introduced evacuation facility charges of Rs50 a tonne in December were probably running low. That perhaps explains why CIL shares jumped 5.6% on Tuesday after the coal producer announced it will increase prices of non-coking coal late on Monday. 
Hopes of a price hike after Coal India Ltd (CIL) introduced evacuation facility charges of Rs50 a tonne in December were probably running low. That perhaps explains why CIL shares jumped 5.6% on Tuesday after the coal producer announced it will increase prices of non-coking coal late on Monday.
This price hike is a much needed one and the quantum has surprised positively. According to analysts at IIFL Institutional Equities, the price hike effectively translates into ~11% increase over the FSA realizations during 1HFY18. FSA refers to coal sold through the fuel supply agreement route. CIL points out that the price hike will bring in additional revenue of Rs6,421 crore on an annualized basis and Rs1,956 crore for the rest of FY18. The additional revenue will fully offset the impact of the wage hike taken.
Following the announced increase in non-coking coal prices, IIFL has upgraded its Ebitda/profit after tax estimates for FY19-20 by 12%. Ebitda is short for earnings before interest, tax, depreciation and amortization, and is a key measure of profitability. “Higher realization led improved cash flows would lower need to access accumulated cash for maintaining dividend payout at Rs20/share over FY19-20,"" added IIFL.
For CIL investors, it is encouraging that 2018 has started on a brighter note what with the stock appreciating a huge 15.6% till now. But go back a bit in time and the picture was not so pretty. Despite the recent increase in the share price, the CIL stock has underperformed the benchmark Sensex in FY18. Currently, the shares trade at nearly 14.5 times expected earnings for FY19, based on data from Bloomberg.
For further expansion in valuations, investors would do well to watch the volumes. Sure, offtake increased by 7.6% year-on-year for the April-December 2017 period and that’s not too bad. Still that’s lower than CIL’s target. In fact, the company is expected to miss its production as well as offtake target of 600 million tonnes each for FY18, and the outlook isn’t rosy.
“We see limited additional triggers with volume expected to grow ~5-6% YoY and FSA prices likely to remain stable at current levels,"" point out analysts from Edelweiss Securities Ltd. “We see dividend yield at 4-6% to be the sole trigger over the next two years.""
Nevertheless, with the price hike now behind it, any surprises on the volume front could well bring some cheer for CIL investors."
149,2018-01-10,Coal India,"In other news, IDFC Bank, Capital First explore merger, while institutional investors drive NMDC share sale

Asian stocks little changed in morning trade 
Asian stocks little changed in morning trade
Asian markets outside Japan are little changed in opening trade, though the benchmark indices are close to record highs, reports Reuters. Overnight, the US markets closed with gains. S&P 500 at 2,751 points is up 0.13%.
H-1B visa: US says no change in extension policy
In a relief for Indian tech workers, US authorities on Tuesday said that the Trump administration is not considering any proposal that would force H-1B visa holders to leave the country, reports PTI.
Direct tax collections rise 18.2% in April-December
Direct tax collections grew by more than 18% in the first nine months of the fiscal year to two-thirds of the full-year target, providing a breather to the government as it struggles to contain the fiscal deficit.
Telecom Commission favours raising spectrum holding limit
The Telecom Commission has accepted recommendations by the industry regulator to ease current spectrum holding caps, smoothening the way for consolidation triggered by Reliance Jio Infocomm Ltd’s September 2016 launch, reports Mint.
Infosys signs agreement with US IRS, sees lower tax rate
Infosys Ltd on Tuesday said it has signed an agreement with the US Internal Revenue Service (IRS), resulting in an effective tax rate of about 100 basis points lower going forward, reports Reuters.
IDFC Bank, Capital First explore merger
After calling off its merger plans with Shriram Group, IDFC Bank Ltd is said to be in exploratory talks to acquire Capital First, a non-banking finance company, reports The Economic Times.
Institutional investors drive NMDC share sale
Institutional investors have put in bids for over 6.36 crore shares amounting to Rs976 crore in the NMDC Ltd offer-for-sale, reports The Hindu Business Line. Based on the response, the government has now decided to increase the issue size under the green-shoe option, the report adds.
Coal India to charge customers on energy content in coal
Coal India Ltd has decided to shift to a pricing system under which customers would be billed on the basis of exact energy content per kilogram of coal in every consignment that is sold to them, reports The Economic Times."
