,Date,Company,Article
49,,Eicher,
48,2018-01-22,Eicher,"Eicher Motors shares, which have soared almost 8,000% in the past decade, have hit a sweet spot, says Goldman Sachs

Singapore: Shares of Eicher Motors Ltd, which have soared almost 8,000% in the past decade, have hit a sweet spot, says Goldman Sachs Group Inc. 
Singapore: Shares of Eicher Motors Ltd, which have soared almost 8,000% in the past decade, have hit a sweet spot, says Goldman Sachs Group Inc.
The stock is down 16% from its 8 September record of Rs33,483.95 even as the broad market posted a fresh record. Eicher’s retreat has pushed down the valuation to below its five-year average and presents a buying opportunity, according to analyst Pramod Kumar.
While the street took Eicher’s sequentially flattish third-quarter sales as signs of demand saturation for Royal Enfield—a British wartime motorcycle brand—the moderation was mainly due to plant rejig and model year change, Kumar wrote in a 18 January note. He added the stock to regional conviction list with a target price of Rs35,208, implying a 26% gain from Friday’s close, when it had a market value of about $12 billion dollars.
Network expansion and new models will lead to Eicher’s revenue and operating profit compounding at 25% and 30% respectively, over the fiscal 2017-2020 period, according to the note.
Eicher Motors is the best-performing company on the NSE Nifty 50 Index over the past 10 years, and one of the gauge’s two members with a five-digit price tag on its shares. Bloomberg"
47,2018-01-30,Eicher,"Eicher Motors's premium motorcycle brand Royal Enfield's monthly sales growth is settling down at around 17-20%, from a scorching pace of 25-30% year-on-year growth

After scaling a 52-week high of Rs33,483 apiece in September 2017, shares of Eicher Motors Ltd have lost steam and underperformed the benchmark indices. The shares are down 18% since then, paling in comparison to the Sensex and BSE Auto index, which rose by 14% and 8%, respectively, during the period. 
After scaling a 52-week high of Rs33,483 apiece in September 2017, shares of Eicher Motors Ltd have lost steam and underperformed the benchmark indices. The shares are down 18% since then, paling in comparison to the Sensex and BSE Auto index, which rose by 14% and 8%, respectively, during the period.
Coming at a time when the Street is ballistic on the India story and most stocks are racing up, Eicher Motors’ fall mirrors a rerating in its valuation. This is not without reason. In the last few months, sales growth of the premium motorcycle unit Royal Enfield, which accounts for nearly all its profits, has cooled off. From a scorching 25-30% year-on-year growth, Royal Enfield’s monthly sales growth is settling down at around 17-20%.
Importantly, analysts feel that Royal Enfield’s growth rates will remain at these levels in the future. While demand for premium motorcycles is increasing, the number of firms in the segment is increasing too.
True, it cannot be disputed that the growing aspiration levels will see the market for premium motorcycles expand. That said, Eicher Motors is losing its virtual monopoly in the segment. Many global manufacturers such as HD Motor Co. India (Harley Davidson), Triumph Motorcycles, Suzuki Motorcycles and India Kawasaki Motors are aggressively entering the market, even as domestic motorcycle makers Bajaj Auto Ltd and TVS Motor Co. Ltd have made plans for the segment.
Growing competition may impact Royal Enfield’s pricing power in the future, which in turn may push down realizations over the medium-to-long term. This may weigh on Eicher Motors’ operating margin, which at its current level of 31%, is among the highest in the listed auto original equipment manufacturers in the country. If at all, operating leverage coming from higher sales could support margins.
No doubt, the firm’s share in the commercial vehicle segment is inching up and there’s hope on the Street that with pollution norms becoming stringent, scrapping and replacement of old trucks could fuel sales too. Economic revival may translate into higher truck and bus sales too. Yet, the segment’s contribution is too small in the company’s consolidated profitability.
In other words, with little room to improve margins, Eicher Motors’ profit growth would track its revenue movement, which will moderate in the near term compared to the earlier quarters. Lower profit expansion may then temper the rich valuations of 30-35 times the one-year forward estimated earnings, which in turn will keep the stock price subdued."
46,2018-02-07,Eicher,"Bharti Infratel may get majority control of Indus Towers, while Piaggio to take on Bajaj Auto in three-wheeler segment

Asian stocks rebound in early trade 
Asian stocks rebound in early trade
Asian stocks stabilised in morning trade with markets outside Japan clocking a slight gain, reports Reuters. Overnight, the US stocks closed higher after volatile trade. S&P 500 at 2,695 points is up 1.7%.
RBI likely to keep rates on hold for now
The Reserve Bank of India (RBI), meeting amid a global market storm, is widely expected to keep its key rate on hold on Wednesday, but toughen its rhetoric as inflation has accelerated sharply, reports Reuters.
Government doubles import duty on sugar
The government has doubled import duty on sugar to 100% and raised duty on chana to 40% to protect domestic farmers, reports PTI.
Bharti Infratel may get majority control of Indus Towers
UK’s Vodafone is in final stages of talks to sell its entire stake in Indus Towers raising Bharti Infratel’s holding in the company to 84% through a share-swap deal, reports The Economic Times.
HDFC looking to acquire CanFin Homes
HDFC Ltd is exploring purchase of controlling stake in CanFin Homes, the listed mortgage unit of Canara Bank, reports The Economic Times.
Four suitors express interest to bid for Alok Industries
At least four potential suitors have expressed interest in bidding for bankrupt textile company Alok Industries Ltd, reports The Economic Times.
Piaggio to take on Bajaj Auto in three-wheeler segment
Italian auto-company Piaggio is gearing to expand its three-wheelers’ market share and compete against segment leader Bajaj Auto, reports Business Standard.
Wipro’s Neemuchwala makes first management change
Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, reports Mint.
Cipla, Eicher Motors earnings today
Cipla Ltd, Aurobindo Pharma Ltd, Eicher Motors Ltd, IRB Infrastructure Developers Ltd and Voltas Ltd are some of the companies that will release their earnings for the December quarter on Wednesday."
45,2018-02-15,Eicher,"Tata Motors, Ashok Leyland and Eicher are hoping that higher government infrastructure spending will increase demand for their trucks

New Delhi: Truck makers are preparing to boost production, encouraged by the government’s proposal to raise allocation for infrastructure by more than Rs1 trillion for the year starting 1 April, two people aware of the matter said. 
New Delhi: Truck makers are preparing to boost production, encouraged by the government’s proposal to raise allocation for infrastructure by more than Rs1 trillion for the year starting 1 April, two people aware of the matter said.
India’s top three truck makers—Tata Motors Ltd, Ashok Leyland Ltd and Volvo Eicher Commercial Vehicles Ltd—have asked their suppliers to ramp up capacity, anticipating an increase in demand for trucks and tippers which are used for road construction, transportation and mining. 
Truck makers are hoping that the increased spending on infrastructure by the government will translate into rising demand for their products. 
Total expenditure on infrastructure for the next fiscal is expected to rise 21% to Rs5.97 trillion from Rs4.94 trillion for 2017-18, according to budget estimates. A substantial part of that allocation will fund the ambitious Bharatmala road project, which aims to link about 75% of India’s districts through a network of highways.
Tata Motors has asked its engine supplier Cummins India Ltd to increase monthly supply of engines to 20,000 units from an average of 14,000-16,000 units that it now supplies to India’s largest truck maker, one of the two people cited above said, requesting anonymity.
“This would also include exports but the main focus will be the domestic market,"" the person said.
A Tata Motors spokesperson said that the company has been experiencing an increase in demand for medium and heavy commercial vehicles (M&HCV). 
“We are aligning our production with the increasing demand,"" he said.
Demand in the commercial vehicle segment has started to look up after the implementation of overloading rules, barring trucks from carrying loads beyond prescribed limits. The BS VI emission norms that will come into effect from 2020 will also create replacement demand, the executives cited earlier said.
Sales of commercial vehicles rose 10.45% to 257,001 units in the 10 months ended 31 January. This has prompted Society of Indian Automobile Manufacturers to raise its FY18 forecast for M&HCV sales to 13% from 5-6% projected at the beginning of the fiscal year. 
Chennai-based Ashok Leyland, India’s second-largest truck maker, has increased orders for tippers, the second person said. One of the firm’s suppliers has been asked to supply 250 tippers in February and 300 in March, up from an average 200 units now, the person said. 
Ashok Leyland is working closely with all its suppliers to meet demand, managing director Vinod K. Dasari said in response to an emailed query.
Volvo Eicher has also asked its suppliers to increase output, the second person said. The company may also commission a new factory in Bhopal in 2019 to meet demand, the person added.
Sales of trucks are likely to touch a new peak in March, said Vinod Aggarwal, managing director and CEO of Volvo Eicher Commercial Vehicles, a joint venture between Eicher Motors Ltd and Volvo AB."
44,2018-03-12,Eicher,"Eicher Polaris was incorporated in 2012 and its only product, Multix, was launched in 2015 from a manufacturing capacity established on the outskirts of Jaipur, Rajasthan

Bengaluru: Eicher Motors Ltd on Monday announced its decision to shut its joint venture (JV) Eicher Polaris Pvt. Ltd (EPPL) with US-based Polaris Industries Inc. as sales of its personal utility vehicle Multix dropped to unsustainable levels. 
Bengaluru: Eicher Motors Ltd on Monday announced its decision to shut its joint venture (JV) Eicher Polaris Pvt. Ltd (EPPL) with US-based Polaris Industries Inc. as sales of its personal utility vehicle Multix dropped to unsustainable levels.
The JV was incorporated in 2012 and its only product, Multix, was launched in 2015 from a manufacturing capacity established on the outskirts of Jaipur, Rajasthan.
According to a press release issued by the company, given its unique positioning and differentiated product features, Multix initially generated significant interest from customers. However, the interest could not be sustained and subsequent sales performance was significantly slower than the company’s expectation.
“Despite several initiatives, the company’s performance could not be revived. Hence, the board of EPPL has concluded that in the present circumstances, it is in the best interest of all stakeholders to close the operations of the company,"" the statement noted. 
During the year ended 31 March 2017, EPPL’s net loss amounted to Rs91.83 crore, 50% of which was consolidated with the net profit of Eicher Motors.
As of 31 December 2017, Eicher Motors had invested Rs289.50 crore in the joint venture and the amount invested so far, together with additional investments, as required to close down the operations, shall be written down, the company mentioned in the press release.
At 11.36am, Eicher Motors shares traded 0.85% higher at Rs28,110.60 on BSE, while the Sensex gained 0.86% to 33,593.77."
43,2018-04-04,Eicher,"Eicher Motors has decided to expand its production capacity with the second phase of Vallam Vadagal plant near Chennai

New Delhi: Royal Enfield on Tuesday said it will invest Rs800 crore in FY19 as capital expenditure (capex) and is starting work on the second phase of its Vallam Vadagal plant in Tamil Nadu. 
New Delhi: Royal Enfield on Tuesday said it will invest Rs800 crore in FY19 as capital expenditure (capex) and is starting work on the second phase of its Vallam Vadagal plant in Tamil Nadu.
Royal Enfield will also form wholly owned subsidiaries in Indonesia and Thailand in FY19.
After the second phase of the Tamil Nadu plant is complete, Royal Enfield’s total capacity in India would be 950,000 units per year.
According to Siddhartha Lal, chief executive and managing director of Royal Enfield parent Eicher Motors Ltd, demand for the company’s products continues to exceed supply, and the motorcycle brand continues to see strong growth from all the markets.
“Therefore, we have decided to expand our production capacity with the second phase of our Vallam Vadagal plant near Chennai, Tamil Nadu. We will also complete construction of our technology centre in Chennai this year, and invest further in the development of new products to meet upcoming regulations and to expand our portfolio for our global markets."" said Lal in a statement.
In FY18, Royal Enfield, saw 23% increase in sales to 801,230 units in the domestic market while sales in the international market rose by 25% to 19,262 units.
“We continue to strengthen our offerings with new models and variants such as the new Thunderbird X, the Classic Gunmetal Grey, Stealth Black and Redditch series, as well as our soon-to-be-introduced Twins,"" said Lal.
“Twins"" refers to Royal Enfield’s upcoming 650cc twin-cylinder motorcycles—the Interceptor and Continental GT."
42,2018-04-04,Eicher,"In other news, Royal Enfield, a unit of Eicher Motors, has planned a capital expenditure of Rs800 crore for the year 2018-19

Asian stocks mixed in morning trade 
Asian stocks mixed in morning trade
Asian markets opened mixed as investors awaited China’s response to US tariffs, reports Bloomberg. Overnight US stocks closed with gains as investors looked forward to earnings season. S&P 500 at 2,614 is up 1.26%.
Indian IT companies reduce H-1B visa filings drastically
India’s largest information technology (IT) outsourcing companies, including TCS Ltd, Infosys Ltd and Wipro Ltd, have reduced their dependence on H-1B visas over the last three years, a US daily reported. Read more.
Jewellery exports decline 11% in February
Lack of institutional finance support due to Nirav Modi scam, coupled with introduction of value added taxes on gold buying by Dubai resulted in 11% year-on-year fall in gold jewellery exports from India in February, reports The Times of India.
RBI bars Axis Bank from importing bullion for FY19
The Reserve Bank of India (RBI) has dropped Axis Bank, which has been one of the largest importers of bullion, from the list of lenders allowed to ship in gold and silver for the current fiscal year, reports PTI.
UltraTech closing in on Binani deal
The out-of-court deal between UltraTech and Binani Industries seems headed towards fruition, with the latter offering to pay its lenders the entire debt if they withdraw the insolvency proceedings against it, reports The Hindu Business Line.
Jet Airways finalises deal for 75 Boeing 737 Max planes
Jet Airways has finalised an $8.7-billion deal to acquire 75 Boeing 737 MAX planes as the airline plans to launch routes and grow its market share, reports Business Standard.
Royal Enfield charts Rs800 crore capex for 2018-19
Royal Enfield, a unit of Eicher Motors Ltd, has planned a capital expenditure of Rs800 crore for the year 2018-19. The proposed capex will include construction of Phase-2 of the plant near Chennai, reports The Hindu Business Line.
Electricity spot prices may continue to rise in near term
With India bracing for a scorching summer, electricity spot prices will continue to surge in the near term, Crisil Infrastructure Advisory said.
ATC closes deal to buy telecom towers from Vodafone
American Tower Corp. (ATC) said it has completed the acquisition of Vodafone India Ltd’s stand-alone towers. Vodafone India and Idea Cellular had in November 2017 separately agreed to sell their respective stand-alone tower businesses in India."
41,2018-05-09,Eicher,"Asian shares were narrowly mixed after US stocks closed little changed following President Donald Trump's announcement to withdraw the US from the Iran nuclear deal

US stocks end on a flat note; Asian markets open mixed 
US stocks end on a flat note; Asian markets open mixed
US stocks closed little changed on Tuesday after President Donald Trump announced he was withdrawing the US from the Iran nuclear deal signed three years ago. Asian stocks were narrowly mixed in early Wednesday trade following Trump’s announcement.
Flipkart, Walmart all set for world’s biggest e-commerce deal
Walmart Inc. is set to announce the purchase of a majority stake in Flipkart in a deal that will value India’s largest online retailer at more than $21 billion, making it the world’s biggest ever e-commerce acquisition.
Lemon Tree to invest Rs850 crore on capex in 3 years
Lemon Tree Hotels Ltd said that it will be investing Rs850 crore in the next three years for expanding its footprint in the country.
IndoStar Capital Finance IPO: Around Rs553 crore raised from anchor investors
Non-banking financial company IndoStar Capital Finance Ltd on Tuesday said it has raised around Rs553 crore by selling shares to institutional investors as part of its anchor book allocation, a day before its initial public offering (IPO) opens.
NCLT admits Union Bank of India’s insolvency plea against Era Infra
The National Company Law Tribunal (NCLT) principal bench admitted Union Bank of India’s (UBI’s) plea seeking initiation of insolvency proceedings against Era Infra Engineering Ltd for recovery of Rs681.04 crore, along with an overdue external commercial borrowing of $11.97 million.
ICICI Bank shares surge over 8%, set for biggest gain since October 2017
Shares of ICICI Bank Ltd jumped more than 8% on Tuesday, even as it reported in-line but a 50% drop in its fourth quarter profit as it set aside cash to cover a surge in bad loans, which was a fallout of the central bank’s revised scheme on resolution of stressed assets.
Mutual funds log Rs1.4 trillion inflow in April
Investors have pumped Rs1.4 trillion into mutual funds in April, driving the industry asset base to a staggering Rs23.25 trillion, a surge of 9% from the preceding month.
Godrej Consumer Products Q4 adjusted net profit rises 12% to Rs617.19 crore
Packaged consumer goods manufacturer Godrej Consumer Products Ltd (GCPL) said its consolidated net profit stood at Rs617.19 crore in the March 2018 quarter, up 12% from a year ago, as the company reported a mixed performance with relatively softer sales growth.
Earnings corner
Eicher Motors, Federal Bank, Jindal Steel are among the companies that will be announcing their March quarter earnings today."
40,2018-05-11,Eicher,"Eicher Motors's valuations dropped from 50 times one-year forward earnings about two years ago to about 30 times now as Royal Enfield's March sales grew 23% year-on-year; but growth has fallen from 38% a year ago

Eicher Motors Ltd scored well on all counts in the March quarter, with the strong growth in truck sales being particularly impressive. Yet, it did little to appease investors and the stock inched up only marginally. 
Eicher Motors Ltd scored well on all counts in the March quarter, with the strong growth in truck sales being particularly impressive. Yet, it did little to appease investors and the stock inched up only marginally.
The company’s valuations have come off sharply from the dizzying 50 times one-year forward earnings about two years ago to about 30 times now. The drop in valuations traces the decline in sales growth of its premium motorcycle brand, Royal Enfield. March quarter sales of the flagship brand grew 23% year-on-year; but the fact remains that growth has fallen from 38% a year ago. 
Meanwhile, the hype associated with the Enfield brand appears to be waning. The six-month waiting period is down to about a month-and-a-half, as a result of higher production capacity. Further, competition is increasing, as more foreign motorcycle manufacturers are willing to test the luxury bike market in India. 
Be that as it may, analysts still remain confident about Enfield sales. A report by Jefferies India Pvt. Ltd recently upgraded the stock “despite concerns on greater volatility in growth as waiting periods disappear, due to better underlying industry outlook and sharp acceleration in contribution to Eicher’s sales from low penetrated states"".
Apart from the launches planned in the premium range of motorcycles, Enfield’s pricing power is impressive. In spite of stiff competition, realization on sales has been increasing. March quarter’s realization was 5% higher year-o-year. 
Meanwhile, truck sales increased 33%, which added to overall revenue growth. As a result, consolidated revenue rose by 34% from a year back, to Rs2,528 crore. And thanks to benefits of operating leverage, operating margin expanded to 31.3%, the highest for the company so far.
Be that as it may, Eicher Motors’ valuations price in the estimated earnings growth of around 25% over the next two years. What could give investors a bonanza is any breakthrough in export markets and the response to its forthcoming new launches in the higher-end premium motorcycles. At the end of the day, Enfield accounts for nearly 90% Eicher Motors’ earnings."
