,Date,Company,Article
72,,GAIL,
71,2018-01-09,GAIL,"Oil minister Dharmendra Pradhan says it is important for GAIL to lay pipeline to connect eastern India as gas has to reach all corners

New Delhi: Amid reports of splitting GAIL India’s gas transportation and marketing business, oil minister Dharmendra Pradhan on Tuesday said the company should concentrate on laying gas infrastructure while marketing can be done by anyone.  
New Delhi: Amid reports of splitting GAIL India’s gas transportation and marketing business, oil minister Dharmendra Pradhan on Tuesday said the company should concentrate on laying gas infrastructure while marketing can be done by anyone. 
GAIL as a company should focus on providing infrastructure particularly in eastern India to aid the country’s transformation to a gas-based economy, Pradhan told reporters in New Delhi. 
Refusing to confirm or deny if the government was considering bifurcating GAIL’s business, the minister said, “it is important for GAIL to lay pipeline to connect eastern India. Gas has to reach all corners"". “GAIL is coming up to our expectations...marketing can be done by anyone,"" he added."
70,2018-01-16,GAIL,"GAIL (India) signed the deal with Gazprom in 2012 to buy 2.5 million tonnes of LNG per year for 20 years on a delivered basis

New Delhi: Gas utility GAIL (India) Ltd has renegotiated the terms of a long-term liquefied natural gas (LNG) purchase deal with Russia’s Gazprom PJSC, the Indian company said on Tuesday, in third such negotiation by India to make the imported fuel affordable to its price-sensitive customers. 
New Delhi: Gas utility GAIL (India) Ltd has renegotiated the terms of a long-term liquefied natural gas (LNG) purchase deal with Russia’s Gazprom PJSC, the Indian company said on Tuesday, in third such negotiation by India to make the imported fuel affordable to its price-sensitive customers.
India has been leveraging its position as one of the biggest energy consumers to strike better bargains for its companies.
India has in the past renegotiated LNG deals with Qatar’s RasGas and Exxon Mobil Corp., as spot prices declined substantially amid a supply glut.
GAIL signed the deal with Gazprom Marketing & Trading Singapore in 2012 to buy 2.5 million tonnes of LNG per year for 20 years on a delivered basis. The supplies are scheduled to start in the second quarter of 2018.
“The two parties have agreed to an adjustment to the price and the volume of LNG supply, thus enabling GAIL to develop incremental gas markets to offtake these volumes, thereby mitigating volume risk,"" GAIL said.
This is a step for GAIL to diversify its LNG portfolio by spreading price reference indexes across multiple geographies, so as to provide consumers a greater flexibility in service, said Chairman B.C. Tripathi.
The company has also signed contracts for sourcing up to 5.8 million tonnes of LNG from the US.
It is renegotiating its LNG purchase deals with US-based Cheniere Energy and Dominion Cove Point, Oil Minister Dharmendra Pradhan told lawmakers last month. Reuters"
69,2018-01-23,GAIL,"ONGC holds a 13.77% stake in IOCwhich at Tuesday's trading price is worth over Rs26,200 croreand  a 4.86% stake in GAIL, which is worth over Rs3,847 crore

New Delhi: State-owned Oil and Natural Gas Corp. Ltd (ONGC) has received approval from the government to sell its stake in Indian Oil Corp. Ltd (IOC) and GAIL India Ltd to help fund the Rs36,915 crore acquisition of Hindustan Petroleum Corp. Ltd (HPCL). 
New Delhi: State-owned Oil and Natural Gas Corp. Ltd (ONGC) has received approval from the government to sell its stake in Indian Oil Corp. Ltd (IOC) and GAIL India Ltd to help fund the Rs36,915 crore acquisition of Hindustan Petroleum Corp. Ltd (HPCL).
ONGC holds a 13.77% stake in nation’s biggest refiner IOC, which at Tuesday’s trading price is worth over Rs26,200 crore. It also holds 4.86% stake in gas utility GAIL, which is worth over Rs3,847 crore.
Top sources with direct knowledge of the issue said the government gave ONGC nod to sell its shareholding in IOC and GAIL earlier this month but the company is waiting for the right price to offload the shares.
Currently, ONGC is funding the acquisition of government’s 51.11% stake in oil refining and marketing firm HPCL from the about Rs12,000 crore cash it has and short- term borrowing. Sources said ONGC is a zero-debt company and wants to retain that status.
The short-term loan it is availing have provision to pre-pay without any penalty. It plans to pre-pay the one-year tenure loan it is taking for HPCL buy by selling IOC and GAIL shares in due course, they said.
Sources said ONGC had held talks with Life Insurance Corp. of India (LIC) for selling IOC and GAIL shares but the state- owned insurer insisted on buying them at 10% discount to the prevailing price. So, ONGC has decided to offload the shares in open market.
ONGC’s purchase of HPCL would create India’s first integrated oil company. This would be ONGC’s biggest acquisition and second buyout this fiscal after its Rs7,738 crore acquisition of 80% stake in Gujarat State Petroleum Corp.’s KG basin gas block.
ONGC chairman and managing director Shashi Shanker had on Sunday stated that the company’s board has approved raising of the borrowing limit from Rs25,000 crore to Rs35,000 crore. This will be the company’s first ever debt.
“We will use our (Rs12,000-13,000 crore) cash first and then the liquid assets and debt will be last,"" Shanker had said. “This order can change, because we won’t sell the liquid assets in distress. Also, we have offers for over Rs50,000 crore debt at very competitive rates, both foreign currency and local.""
Shanker had said the company paid less than the acquisition price recommended by the company’s valuation adviser, Ernst and Young (EY). He, however, refused to share details.
The Rs473.97 per share ONGC is paying to the government is 14% higher than Friday’s closing price of HPCL and over 10% of the 60-day weighted average of the HPCL scrip. Sources said while the government was seeking as much as Rs69,000 crore for selling controlling stake in HPCL, EY had put HPCL’s valuation at Rs475 a share plus a premium for getting the controlling stake. The outside advice the company took from Citi put the price at Rs500 per share.
The stake sale will help the government cross its sell- off target for the first time and would help stick to the fiscal deficit target of 3.2% of gross domestic product. The government had set a target of Rs72,500 crore from disinvestment proceeds this fiscal. Before the ONGC-HPCL deal, it had collected Rs54,337.60 crore.
HPCL will add 23.8 million tonnes of annual oil refining capacity to ONGC’s portfolio, making it the third-largest refiner in the country after IOC and Reliance Industries Ltd. ONGC already is majority owner of MRPL, which has a 15- million tonne refinery.
At 2.03pm, ONGC shares traded 3.75% up at Rs207.45 on BSE, whereas HPCL shares fell 1.47% to Rs395.85. The Sensex was up 0.86% at 36,104.42 points."
68,2018-02-07,GAIL,"GAIL was established for transportation, processing and marketing of natural gas and for establishing and managing gas pipelines and related installations

New Delhi: Oil minister Dharmendra Pradhan on the issue of splitting gas utility GAIL on Wednesday said a decade-old policy provides for a natural gas transporter not having any interest in marketing of the fuel.  
New Delhi: Oil minister Dharmendra Pradhan on the issue of splitting gas utility GAIL on Wednesday said a decade-old policy provides for a natural gas transporter not having any interest in marketing of the fuel. 
Pradhan gave the response in Rajya Sabha on a written reply to a question on splitting state-owned gas utility GAIL India Ltd by separating its gas marketing business from its primary role as a transporter of gas. Incorporated in August 1984 by spinning off gas business of ONGC, GAIL (India) Ltd owns and operates about 11,000km of natural gas pipelines in the country.It sells around 60% of natural gas in the country. 
Pradhan said in 2006, the government issued the policy for development of natural gas pipelines and city or local natural gas distribution networks. “In the long run and with the maturing of gas markets, it is envisaged in the policy that the authorised entities will have transportation of natural gas as their sole business activity and will not have any business interest in the gas marketing or city or local gas distribution networks,"" he said. 
Also, the policy and the provisions of the Petroleum and Natural Gas Regulatory Board (PNGRB) Act, 2006 provide for all entities authorised to lay pipelines including GAIL to provide mandatory open access to their gas pipeline infrastructure on common carrier principle at non-discriminatory basis. 
This open access to third parties should be given at transportation rates determined by PNGRB, he said. The minister, however, did not say either ways if the government was considering splitting GAIL. GAIL, he said, was established for transportation, processing and marketing of natural gas and for establishing and managing gas pipelines and related installations. 
At present, GAIL has about 11,000km long gas pipeline network and is also developing about 3,500km long pipelines projects in the country. Last month, Pradhan had stated that the state-run firm should focus on building natural gas pipelines as marketing can be done by “anyone"". 
He had stated that creating infrastructure to take environment friendly natural gas to uncovered parts, particularly eastern India, is a priority for the government. Several meetings have been held in the ministry on splitting GAIL by spinning off its marketing business into a separate company and selling it to a state-owned firm. 
Pradhan had stated that the government has been taking steps to make India a gas-based economy. As part of this plan, it has even provided budgetary support of Rs5,176 crore, or 40% of the project cost, for laying of a gas pipeline from Jagdishpur in Uttar Pradesh to West Bengal, Jharkhand and Odisha. “This is the first instance of government funding a project from its budget,"" he had said. 
GAIL, he said, should focus on creating infrastructure that would help take natural gas to all parts of the country, especially eastern India which has so far been unconnected. “Marketing can be done by anyone,"" he said, responding to a question on whether government proposes to split the state-run company’s pipeline and marketing businesses. 
People in the know said refiners Indian Oil Corp. (IOC) and Bharat Petroleum Corp. Ltd (BPCL) have evinced in acquiring GAIL to expand their gas marketing business. One of the two companies could be sold the marketing business while GAIL asked to concentrate on just laying pipelines. 
GAIL also owns a petrochemical plant at Pata in Uttar Pradesh which too could be sold along with the marketing business to either IOC or BPCL. The company had in the past resisted the split on grounds that its gas marketing and transmission businesses operate at arm’s length, and hence do not need to be separated. 
GAIL’s marketing business formed 71% of its 2016 -17 total sales, and 25% pre-tax profit. The government has a 54.89% stake in GAIL India."
67,2018-02-07,GAIL,"ONGC has already received the approval of the government and is waiting for the right price to begin offloading the shares

New Delhi: Oil & Natural Gas Corp. (ONGC) plans to sell its holding in two state-run energy companies within a year to repay debt it raised to fund the purchase of the Indian government’s stake in Hindustan Petroleum Corp. Ltd (HPCL), according to people with knowledge of the matter. 
New Delhi: Oil & Natural Gas Corp. (ONGC) plans to sell its holding in two state-run energy companies within a year to repay debt it raised to fund the purchase of the Indian government’s stake in Hindustan Petroleum Corp. Ltd (HPCL), according to people with knowledge of the matter.
The state-run explorer may sell shares of Indian Oil Corp. and GAIL India Ltd in multiple transactions on the open market through the year, the people said, asking not to be identified because the information isn’t public. ONGC has already received the approval of the government and is waiting for the right price to begin offloading the shares, they said.
The sales can help ONGC return to its debt-free status, give it greater flexibility to acquire overseas oil and gas assets and invest in projects to boost output. ONGC holds 13.77% stake in Indian Oil, the nation’s biggest refiner, and 4.83% in its largest gas utility, GAIL. The holdings can fetch over $4.8 billion at current market rates, covering almost 90% of the loans taken by the New Delhi-based driller.
ONGC raised one-year bridge loans worth Rs35,000 crore ($5.4 billion) from seven banks to partly fund the Rs36,900 crore purchase of the government’s holding in HPCL. It tapped the debt market for the first time last month and can pay off its entire loan if it uses part of its Rs13,000 crore of cash reserves.
ONGC rose as much as 3.3% and traded 2.9% higher at Rs190.80 as of 2:55pm in Mumbai on Wednesday. Indian Oil climbed as much as 2.2% to trade 0.9% higher at Rs405.
An ONGC spokesman declined to comment on Wednesday. Finance ministry spokesman D.S. Malik wasn’t immediately available for comment.
“We will use our cash balance first and then liquid assets. Debt will be last,"" ONGC chairman Shashi Shanker had said on 22 January, while announcing the HPCL deal that was completed on 31 January. “We will take a call on selling if the market is favourable, but we won’t sell anything in distress."" Bloomberg"
66,2018-02-12,GAIL,"In other news, ONGC Videsh-led consortium picks up 10% stake in UAE's Zakum oilfield, while Wipro Consumer Care is set to cross $1 billion in revenue by next month

US stocks rebound; Asian markets open mixed 
US stocks rebound; Asian markets open mixed
The Dow Jones industrial average rebounded more than 300 points Friday, paring deep losses for investors in what still amounted to the worst week in two years.
Asian markets were mixed early on Monday, while oil prices edged up after recording six straight days of declines.
SGX looks to bypass curbs placed by Indian bourses
The Singapore Stock Exchange (SGX) said it will develop new products to provide investors with access to Indian securities after exchanges in the country abruptly decided to end licensing their products and data to overseas bourses.
ONGC Videsh-led consortium picks up 10% stake in UAE’s Zakum oilfield
A consortium of Indian companies led by state-owned Oil and Natural Gas Corp. Ltd (ONGC)’s overseas arm, ONGC Videsh Ltd, has bought a 10% stake in the UAE’s offshore oil and gas field Zakum, as India pursues overseas hydrocarbon assets, while oil-rich nations resort to ways of reducing risk and balancing their budget deficits.
Wipro Consumer Care set to cross $1 billion in revenue by next month
Wipro Consumer Care and Lighting will reach the $1 billion revenue mark by March 2018, as the company’s China bets in particular continue to pay off and key brands in India perform well.
Aditya Birla Capital to launch ARC business this quarter
Aditya Birla Capital Ltd (ABCL), the financial services business of the $50 billion Aditya Birla Group, will begin investing in its asset reconstruction company (ARC) and start business this quarter, reports Mint.
Tata Motors to leverage group strength on future of mobility: MD Guenter Butschek
As the auto industry goes through disruptions brought by new technologies, Tata Motors is banking on group strength, particularly on software major TCS, in its bid to position itself as a mobility solutions provider, according to its MD and CEO Guenter Butschek.
Atria Convergence hires investment banks for IPO
Atria Convergence Technologies Pvt. Ltd (ACT), a broadband services provider controlled by private equity firms TA Associates and True North, has hired investment banks to help it raise Rs1,500-2,000 crore through an initial public offering (IPO).
Earnings corner
Bank of India, Britannia Industries Ltd, JK Tyres and Gail India Ltd are among the companies that will be announcing their December quarter earnings on Monday."
65,2018-02-12,GAIL,"GAIL's net profit in the October-December quarter of the current fiscal was Rs1,262.22 crore, higher than Rs982.92 crore in the same period of last fiscal

New Delhi: GAIL India Ltd on Monday reported 28% rise in the December quarter net profit on better margins from gas marketing and transportation business. 
New Delhi: GAIL India Ltd on Monday reported 28% rise in the December quarter net profit on better margins from gas marketing and transportation business.
The net profit in the October-December quarter of the current fiscal was Rs1,262.22 crore, higher than Rs982.92 crore in the same period of last fiscal. The company said in a statement here that its board also approved the issuance of one bonus share for existing three equity shares. 
It said the profit was higher “mainly due to the better performance by liquid hydrocarbon, gas marketing and transmission segments"". The company’s revenue was up 17% at Rs14,717 crore, gross margin was up 14% at Rs2,273 crore. 
GAIL transported and marketed 6% more volumes in the quarter, while petrochemical sales were up 21%. Sales of liquid hydrocarbon gas (LPG) were up 10% and the firm transported 2% more cooking gas in the quarter compared to the year-ago period. 
B.C Tripathi, chairman and managing director, GAIL, said: “All the segments have registered physical growth as compared to previous year, which is reflected in both the top line and the bottom line of the company."" 
Alongside, the company is also increasing its natural gas pipeline infrastructure, the statement quoted him as saying without giving details. “We are confident to meet the capex target of current fiscal year which is more than 70 per cent achieved last year. Similar growth in capex is planned in the next fiscal 2018-19 to around  ₹ 6,000 crore,"" he said."
64,2018-03-13,GAIL,"Gail likely paid premiums of about $8.50 to $8.70 per mmBtu for the two cargoes to be delivered over 1-7 April and 8-17 April

Singapore: Gail (India) Ltd bought two liquefied natural gas (LNG) cargoes for delivery in April through a tender, traders said on Tuesday. 
Singapore: Gail (India) Ltd bought two liquefied natural gas (LNG) cargoes for delivery in April through a tender, traders said on Tuesday.
The company likely paid premiums of about $8.50 to $8.70 per million British thermal units (mmBtu) for the two cargoes to be delivered over 1-7 April and 8-17 April, they said.
The cargoes are for delivery into Dahej or Dabhol ports.
At 1.38pm, Gail India shares traded 1.36% up at Rs452.45 on BSE, while the Sensex was up 0.28% at 34,011.34."
63,2018-03-15,GAIL,"PNGRB terminates GAIL's licence to build a Rs10,000 crore natural gas pipeline from Surat in Gujarat to Paradip in Odisha, saying it hadn't started work even after six years

New Delhi: The Petroleum And Natural Gas Regulatory Board (PNGRB) has terminated GAIL India Ltd’s licence to build a Rs10,000 crore natural gas pipeline from Surat in Gujarat to Paradip in Odisha, saying the state-owned firm hadn’t started work on the project even after six years. 
New Delhi: The Petroleum And Natural Gas Regulatory Board (PNGRB) has terminated GAIL India Ltd’s licence to build a Rs10,000 crore natural gas pipeline from Surat in Gujarat to Paradip in Odisha, saying the state-owned firm hadn’t started work on the project even after six years.
The oil regulator PNGRB also ordered encashing the company’s entire performance bank guarantee of Rs20 crore, according to the regulator’s 13 March order.
GAIL had in November 2011 bid an astonishingly low pipeline tariff of Rs0.01 (one paisa) per million British thermal unit to bag the project. It was formally awarded the licence in April 2012. It had beaten Gujarat government firm GSPC India Transco Ltd to bag the Surat-Paradip project. This was the country’s first pipeline originating and terminating at a port. The 2,112-km long pipeline was to have a capacity to carry 74.81 million standard cubic meters per day of gas.
Oil minister Dharmendra Pradhan had on numerous occasions told Parliament that the work on Surat-Paradip and other such pipelines had not started because of several reasons including non-availability of anchor load customers.
Other gas lines that have been delayed for a similar period include Mallavaram-Bhopal-Bhilwara, Mehsana-Bhatinda and Bhatinda-Jammu-Srinagar pipelines. Gujarat government entity GSPC India Transco Ltd is the licence holder of these lines since 2011.
The termination of GAIL’s licence is the first such action by PNGRB since June 2012 when it had asked the government to cancel a licence granted to Reliance Gas Transportation Infrastructure Ltd (RGTIL) to lay four gas pipelines over delays in implementation of the 2,175km lines. Relogistics Infrastructure Ltd (Relog), a subsidiary of Mukesh Ambani’s RGTIL, had in 2007-08 won government authorisation to lay Kakinada-Basudebpur-Howrah pipeline, Kakinada-Chennai line, Chennai-Bangalore-Mangalore pipeline and Chennai-Tuticorin line, but physical work on these pipelines hadn’t started.
In its 13 March, order, PNGRB said it had encashed 25% of GAIL’s bank guarantee in September 2015 as the company hadn’t met timelines and not even achieved financial closure (arranging of funds) for the project.
PNGRB said the 22 September 2015 order was to provide “natural justice"" to GAIL to explore possibilities to come up with viable strategies on project implementation. The state-owned firm’s challenge of that order was dismissed by Delhi high court in April 2017, following which Rs5 crore of bank guarantee was encashed.
PNGRB then directed GAIL to replenish this amount as bank guarantee and quickly submit financial closure plan for the project. GAIL then submitted a financial closure report, which was accepted by PNGRB, but refused to refurbish the bank guarantee.
PNGRB on 18 January wrote to GAIL intimating that its financial closure plan had been accepted and asked it to replenish within 15 days the Rs5 crore guarantee already encashed, failing which the balance amount of Rs15 crore would also be encashed and licence to lay the Surat-Paradip pipeline terminated.
GAIL, however, responded seeking refund of the encashed Rs5 crore bank guarantee or restoring it to the core bank guarantee. PNGRB did not agree to it and sent it a show cause and went ahead with the cancellation of the licence after failing to elicit a desired response from GAIL.
“The board has come to the conclusion that the authorised entity has failed to perform its obligations under the terms and conditions of authorisation with respect to refurbishment of the encashed performance bank guarantee amount of  ₹ 5 crore. Thus, action under the provision of Regulation 16(1)(c) be taken for encashment of the balance performance bank guarantee of  ₹ 15 crore and authorisation of GAIL (India) Ltd for Surat-Paradip natural gas pipeline project be terminated,"" PNGRB said in the order."
