,Date,Company,Article
108,,HCL,
107,2018-01-17,HCL,"Four biggest IT stocks listed on NSE Infosys, TCS, Wipro, HCL Technologies rose between 4.1% and 5.9% on Tuesday, although part of that could be due to weakness in rupee

A rising tide may lift all boats, but to expect higher IT spending to benefit all Indian IT companies is clearly taking things too far. Morgan Stanley said in a 15 January note that “an improving global macro could spur tech spending, which could re-rate stocks"". The four biggest IT stocks listed on the National Stock Exchange rose between 4.1% and 5.9%, although part of that could be due to the weakness in the rupee, after the trade deficit for December came in at a three-year high.  
A rising tide may lift all boats, but to expect higher IT spending to benefit all Indian IT companies is clearly taking things too far. Morgan Stanley said in a 15 January note that “an improving global macro could spur tech spending, which could re-rate stocks"". The four biggest IT stocks listed on the National Stock Exchange rose between 4.1% and 5.9%, although part of that could be due to the weakness in the rupee, after the trade deficit for December came in at a three-year high. 
Ironically, the biggest gainer was the Wipro Ltd stock, on which Morgan Stanley still has an underweight rating with a target price of Rs290. Wipro shares rose to Rs334 apiece on Tuesday. Investors are taking the rising tide argument far too literally.
For that matter, even Morgan Stanley’s thesis is predicated upon the assumption that a turnaround in global IT spending will result in better times for the Indian IT sector. 
This isn’t necessarily the case. In recent years, multinational firms such as Accenture Plc and some small companies such as EPAM Systems Inc. and Globant SA have done far better than Indian IT firms, with spending patterns shifting towards new technologies at the expense of traditional services. 
Data collated by ISG, the world’s largest third-party outsourcing deal adviser, shows that Indian IT companies have lagged by a huge margin in the Americas region, despite high growth in overall deal flow. Growth in total deal flow tracked by ISG rose as much as 37% in Americas in the second half of 2017. 
“While the deal flow momentum in Americas was positive, the perplexing factor remains that for the top-4 Indian IT companies, growth in Americas has decelerated to 5% y-o-y in 2QFY18 (versus its near-term peak of 14% y-o-y)"", analysts at Nomura Research wrote in a note to clients. Results of Tata Consultancy Services Ltd and Infosys Ltd for the December quarter show that the weakness in growth continues—the former reported growth of less than 3% year-on-year in the Americas region. In short, the tide was rising in America, but it didn’t really lift Indian IT companies with it. 
A 2018 outlook report by ISG suggests this trend might continue in 2018. “Traditional sourcing will continue to face pricing pressure (as clients look to do more with less)... Traditional sourcing momentum remains slow... deal flow grew 3% y-y in 2017 (and is estimated to grow 4% in 2018),"" Nomura’s analysts said in the note citing the ISG report. What ISG classifies as traditional sourcing is the bread and butter segment for Indian IT companies. 
The other category of deals ISG tracks is classified as “as-a-service sourcing"", which includes Software as a Service and Infrastructure as a Service. This can be used as a rough proxy for digital spending, a segment where Indian IT companies have been lagging. Even here, ISG has indicated that deal flow is expected to fall to 20% in 2018, compared to 36% in the previous year."
106,2018-01-18,HCL,"BSE IT index trades with gains of 1.54% at 12,213.70, while major IT firms like Infosys, TCS, HCL and Tech Mahindra register gains of as much as 3% on the BSE

New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains. 
New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains.
The BSE IT index was trading with gains of 1.54% at 12,213.70. It touched a high of 12,272.23 points. The BSE Teck index also surged to a high of 6,820.44, registering a jump of 1.61% in morning trade. The index was quoted at 6,784.92, up 1.08% at 10.52am. Meanwhile, the 30-share benchmark index Sensex was trading with gains of 0.35% at 34,891.41 points.
The leading IT companies like Infosys, Tata Consultancy Services (TCS), HCL Technologies and Tech Mahindra registered gains of as much as 3% on the BSE.
Infosys surged 3.30% to touch a 52-week high of  ₹ 1,160, registering a surge in its shares price for the eighth consecutive session. TCS also hit a new high of  ₹ 2925.00. Similar was the case HCL Technologies also which touched its 52-week high of  ₹ 962.70. Meanwhile, shares of Tech Mahindra touched a high of  ₹ 64, up 1.11% over its previous closing price.
Morgan Stanley in a research note has said that the Indian IT services stocks are set for a turnaround in 2018 as recovery in spending is “imminent"". According to the global financial services major, a turnaround in IT spending could quickly turn sentiment on these stocks. Though the sector faces risks from automation and a slower pace of market share gains from global vendors, a cyclical rally could be in the offing, it added."
105,2018-01-19,HCL,"HCL Technologies posted a marginal 0.3% increase quarter-on-quarter  in consolidated net profit at Rs2,194 crore for the quarter ending December

New Delhi: Noida-based IT major HCL Technologies Ltd on Thursday posted a marginal 0.3% increase quarter-on-quarter (q-o-q) in consolidated net profit at Rs2,194 crore for the quarter ending December. This translated into 6% year-on-year (y-o-y) growth in net profit. For the same quarter, HCL Tech’s revenues grew 3% q-o-q and 8.4% y-o-y to Rs12,808 crore. 
New Delhi: Noida-based IT major HCL Technologies Ltd on Thursday posted a marginal 0.3% increase quarter-on-quarter (q-o-q) in consolidated net profit at Rs2,194 crore for the quarter ending December. This translated into 6% year-on-year (y-o-y) growth in net profit. For the same quarter, HCL Tech’s revenues grew 3% q-o-q and 8.4% y-o-y to Rs12,808 crore.
HCL signed 20 transformational deals this quarter across Mode 1–2–3 services, with several of them representing next generation offerings of autonomics and artificial intelligence, digital and analytics, internet of things, cloud native services and cybersecurity.
“We finished last quarter on a strong note, with a growth of 3.3% sequentially and 11.2% year on year in constant currency terms. Our Mode 1–2–3 strategy and success of our client partner program for top accounts, continued to drive industry leading growth. Over 25% of our revenues this quarter came from Mode 2 and Mode 3 services, which strongly validates the success of our next-gen offerings in the market. This was a strong quarter in terms of deal signings where we signed 20 transformational deals across services,"" said C. Vijayakumar, president and chief executive officer, HCL Technologies.
In a statement, the company said that revenue grew by 14.1% in constant currency terms in the last 12 months. There was broad-based growth across all revenue segments and this was largely driven by engineering and R&D services at 37.7%, infrastructure services at 11.5% and application services at 7.3%. Vertical growth was led by manufacturing at 23.1%, financial services at 16.8%, retail and consumer packaged goods at 11.2%, public services at 10.1%, and lifesciences and healthcare at 7.6%, according to the company. With respect to markets, Americas, Europe and rest of the world (RoW) grew by 15.6%, 11.1% and 13.4%, respectively.
The IT major expects FY18 revenues to grow between 10.5% and 12.5% in constant currency terms. The revenue guidance is based on FY17 (April to March) average exchange rates. The above constant currency guidance translates to 12.1% to 14.1% in dollar terms based on 31 December 2017 rates. 
Nitin Padmanabhan, an analyst with Investec Capital Services, said, “HCLT’s Q3FY18 results currently appear to be a non-event. Revenue growth of 3.1% QoQ (0.8% ahead of expectations) was largely driven by the Engineering & R&D services business which accounted for 95% of incremental revenues. It’s important to understand incremental revenues from new IP acquisitions that could have contributed to this growth. Revenue and EBIT guidance remains unchanged."""
104,2018-01-22,HCL,"Wipro, HCL Technologies and other IT firms said that they expect growth to pick up in the coming quarters, but it makes sense to wait and see if this materializes

Wipro Ltd and HCL Technologies Ltd, the third and fourth largest information technology (IT) services companies listed in India, reported results that were in line with Street estimates. Of course, HCL Technologies has been ahead of its peers and reported sequential growth of 3.3% in the December quarter, but as much as 1.5 percentage points of this might have come from inorganic contributions, according to an analyst at a multinational brokerage.  
Wipro Ltd and HCL Technologies Ltd, the third and fourth largest information technology (IT) services companies listed in India, reported results that were in line with Street estimates. Of course, HCL Technologies has been ahead of its peers and reported sequential growth of 3.3% in the December quarter, but as much as 1.5 percentage points of this might have come from inorganic contributions, according to an analyst at a multinational brokerage. 
Besides, it appears to have stepped up its strategy of buying growth by entering into intellectual property-related deals with International Business Machines Corp. (IBM). In fiscal 2016-17, the company reported cash outflows of $387 million on this count. In the first three quarters of this fiscal, outflows rose to $583 million. 
Adjusted for revenues from these deals and other acquisitions, year-on-year growth of the company wouldn’t be very different from the mid single-digit growth reported by peers Tata Consultancy Services Ltd and Infosys Ltd. In reported terms, HCL’s revenue growth looks far more impressive at 13.9%. 
Growth at Wipro remains pedestrian at 0.9% in constant currency terms sequentially for the December quarter. The company expects growth to pick up to between 1% and 3% in the March quarter, which it says will bring it to industry-level growth rates. But a moot point is that growth in the seasonally strong June and September quarters matters far more. It remains to be seen if the company will grow in line with peers during those quarters. 
Both companies reported better growth compared to TCS and Infosys in the banking, financial services and insurance (BFSI) segment; although that has been the case for the past few quarters. For the industry as a whole, this segment continues to be lacklustre and is the primary reason overall growth has remained subdued. In HCL’s case, growth in infrastructure services remained subdued, although the company said it expects a pick-up in the coming quarters. This segment used to drive growth for the company until not too long ago.
All told, Wipro and HCL’s results give the impression, like TCS and Infosys’s, that growth remains sluggish for Indian IT firms. While most of these companies said they expect growth to pick up in the coming quarters, it makes sense to wait and see if this materializes. After all, even FY18 was expected to be a better year compared to FY17, although things haven’t turned out that way."
103,2018-02-18,HCL,"HCL Technologies has spent $1.1 billion to acquire a bunch of intellectual properties from heavyweights such as IBM and DXC Technology Co. This, HCL claims, will future-proof its business. Will the gamble pay off?

Bengaluru: To the casual eye, it will appear HCL Technologies Ltd has been doing all the right things while making all the right noises about transforming its business amid a disruptive technological landscape. 
Bengaluru: To the casual eye, it will appear HCL Technologies Ltd has been doing all the right things while making all the right noises about transforming its business amid a disruptive technological landscape.
For the discerning analysts, India’s fourth largest software company could be riding a tiger.
HCL’s strategy is underpinned on investments of $1.1 billion in licensing intellectual properties (IPs) from companies and then building products around them for clients.
The trouble is some of the acquired IPs are decades-old and are ceding share to rival offerings. A case in point is HCL’s acquisition of International Business Machines Corp.’s (IBM’s) Lotus Notes, a product that is fast losing relevance in today’s world.
“It’s okay to invest in legacy technologies as part of a company’s overall investment portfolio—but it’s not the future. Smart companies harvest cash flow from established legacy offerings while simultaneously investing assertively in the future,"" said Robert C. Wolcott, professor of innovation at Northwestern University’s Kellogg School of Management. “Too much legacy means a long slide to oblivion, especially in technology markets."" 
The issue with the investments being made by HCL as part of its IP licensing deals is that it appears the company is looking to play more a role at the bottom, said two company executives on the condition of anonymity.
Since IBM first allowed HCL engineers to work on its products about 15 months ago, the US company has received close to $1 billion in payments, or about 90% of HCL’s total investment.
While the benefit to IBM is manifest, the financial rewards accruing to HCL has been rather slow to come.
HCL has, however, gone ahead and inked a total of 10 such IP partnerships (see chart), across technology domains such as core banking platform and a few automation platforms.
The company expects to generate as much as $255 million in revenue in the first year from the date of stitching each of these IP partnerships.
That’s the good part. 
While this may prove financially lucrative in the short term, analysts doubt whether the cash flows will be sustainable, given their declining usage worldwide. 
“From a service provider perspective, these deals convert balance sheet into P&L (profit and loss) contributing to revenue growth, margin accretion and possibly even EPS (earnings per share) accretion in the first year,"" Kotak Institutional Equities analysts Kawaljeet Saluja and Jaykumar Doshi wrote in a 1 January note. “However, we believe these deals bring little in terms of strategic benefit for the service provider either in terms of client access or building out new IP competency.""
HCL’s investments in legacy technology areas is strikingly different from the ones followed by bigger rivals Tata Consultancy Services Ltd and Infosys Ltd, which are aggressively investing in cutting-edge technologies such as blockchain and artificial intelligence platforms.
In another such partnership, HCL has invested $50 million in IP owned by DXC Technology Co. to develop its core banking platform Hogan, whose roots date back to 1970s.
MintAsia’s reporting since the start of the year, based on interactions with half a dozen company executives and former employees, HCL’s balance sheets and quarterly post-earnings transcripts over the past six years, finds that HCL Technologies’s transformation story has some glaring holes, contrary to the management’s narrative of making the company future-ready.
Another sore point with investors is the firm’s approach of recognising amortization and depreciation costs based on the revenue it generates, rather than accounting these costs at a fixed rate over time.
One analyst estimates that the company is not generating enough business from these IP assets, and for this reason, HCL Technologies could possibly have to write down the value of some of these assets in the future.
The accounting norm boosts the company’s profitability in the near term, analysts say. Although MintAsia could not independently establish the impact on profitability, as the IP partnerships have been signed over seven quarters, some analysts have noted that the company is pushing back its expenses to the latter part of the life of the contract. 
“A significant portion of amortization has been scheduled beyond FY22,"" Madhu Babu, an analyst at domestic brokerage firm Prabhudas Lilladher Ltd, wrote in a 25 October note to clients. See Table. 
In August 2016, HCL Technologies first disclosed that the company had decided to spend $40 million on an IP licence arrangement with IBM. 
Subsequently, the company promised to spend $1.1 billion in similar IP partnerships with three companies, including IBM, DXC and an unnamed US-based company. 
Under each of these IP partnerships, HCL made an upfront payment, with the remaining amount to be paid over a period of time. These IP partnerships, claims the management, will help HCL Technologies build solutions or customize the core IP technology, and then jointly sell along with the IP-owner of the technology the new solution.
What has gone unnoticed is that these investments in buying IP rights, many of which are mature technologies, may weigh on the company’s balance sheet. 
Goodwill and intangibles, which are essentially a premium a company pays in lieu of a brand or unique technology when buying an asset or a firm, now total about 32% or $2.25 billion of HCL Technologies’ $7.24 billion in total assets at the end of December 2017, the highest among its peers.
A detailed questionnaire, seeking comment, sent to HCL Technologies on 31 January, and repeated follow-ups, were unanswered.
Sceptics say that HCL Technologies is merely buying revenue in the near term by getting assured business tied to these products.
“A lot of large enterprises still use Lotus Notes and many of the regional banks in the US run on Hogan core banking platform. This brings good money for any company which can offer these clients that they have expertise to help them maintain these platforms,"" said a former executive at HCL Technologies, who was earlier involved in one of the IP partnerships with DXC. “However, no new company wants to get Lotus Notes. No top-tier bank wants to have Hogan core banking platform either. So where is the business model?""
Over the past few years, India’s $154 billion IT outsourcing sector has seen revenue growth slow even as it has taken a hit on profitability. This is because the companies aren’t able to charge higher prices because of intense competition. At the same time, companies, across industries want their technology vendors to offer solutions which use data analytics, artificial intelligence and automation platforms. This has forced companies, including Tata Consultancy Services Ltd, Infosys Ltd and Wipro Ltd, to either build technology platforms or buy some of these technologies. 
From investing in their own IP platforms to partnering with start-ups, each of these companies are battling hard to stave off this existential threat posed by the newer technologies to the traditional model of deploying armies of engineers to complete a project. 
HCL Technologies, long known for its dominance in maintaining computers and data centres (or infrastructure management services), has seen growth decline from its core business over the past two years.
To be sure, slow revenue growth in its core business is the primary reason behind the company looking to move away from a people-led model to a company focused on offering solutions using IP platforms. 
Beginning October-December period of 2012 and until April-June of 2015, the management claimed to have won over $11 billion worth of new deals, across 11 straight quarters. Still, HCL Technologies’ incremental revenue during this time was only $1.8 billion. Since these deal wins were not translating into enough incremental revenue growth, Mint in a story dated 2 October 2015 found that one possible reason behind this dichotomy in new deal wins and growth was the company losing existing clients. 
Incidentally, HCL Technologies stopped quantifying its large deal wins from October-December of 2015.
Mint, in another story dated 1 July 2016, reported that HCL’s old infrastructure maintenance contracts were getting squeezed as clients shifted to cloud computing offered by Microsoft Azure and Amazon’s AWS."
102,2018-03-01,HCL,"HCL Infosystems says Premkumar Seshadri has resigned to pursue other options outside the firm. Rangarajan Raghavan has been appointed as a director and managing director, subject to the shareholders' approval

New Delhi: HCL Infosystems on Thursday said its executive vice chairman and managing director Premkumar Seshadri has resigned to pursue other options outside the company. 
New Delhi: HCL Infosystems on Thursday said its executive vice chairman and managing director Premkumar Seshadri has resigned to pursue other options outside the company.
The company board in its meeting held today, approved his resignation effective close of business hours on 31 March, HCL Infosystems said in a statement. 
Rangarajan Raghavan, presently president of the company, has been appointed as a director and managing director with effect from 1 April, subject to the shareholders’ approval.
Starting his career with HCL in 1978, Rangarajan has been associated with almost all the HCL Group companies in the last four decades.
“Over the years, he has held senior positions in various group companies including as Chief Support Officer of HCL Frontline Ltd. and Head of Global Operations for HCL BPO,"" the statement said.
In 2000, he created the company’s offshore Tech Support Center. He was the chief architect for transforming HCL BPO into a provider of integrated next generation business and technical services to marquee Fortune 500 customers across the globe. 
Rangarajan currently is president – project and services in HCL Infosystems and he is responsible for Enterprise Services across India, Singapore and Middle East and also System Integration Projects."
101,2018-04-06,HCL,"HCL Technologies has acquired C3i Solutions for $60 million, a move aimed at accelerating the Indian IT firm's growth in life sciences and consumer services

New Delhi: Software services firm HCL Technologies has acquired C3i Solutions for $60 million, a move aimed at accelerating the Indian IT firm’s growth in life sciences and consumer services. C3i Solutions is a wholly owned, independently operated subsidiary of Merck & Co, (known as MSD outside the US and Canada).  
New Delhi: Software services firm HCL Technologies has acquired C3i Solutions for $60 million, a move aimed at accelerating the Indian IT firm’s growth in life sciences and consumer services. C3i Solutions is a wholly owned, independently operated subsidiary of Merck & Co, (known as MSD outside the US and Canada). 
It provides multi-channel customer engagement services for life sciences and consumer packaged goods (CPG) industries. “With this acquisition, HCL will complement its broad-based IT and business services capability with the additional depth that C3i has in the life sciences and CPG verticals,"" the country’s fourth largest software firm HCL Technologies said in a statement. 
C3i’s expertise in the clinical, pharmacovigilance, and pharma sales support domains and the strong partnership will enable HCL’s life sciences customers to become more patient-centric and offer services to IT and business stakeholders, it added. 
“C3i’s capabilities provide HCL with an innovative and complementary services portfolio and a vast customer base to further strengthen HCL’s position as a leading technology solutions provider to the life sciences and consumer industries,"" HCL Technologies president and chief executive office C. Vijayakumar said. 
According to a regulatory filing, HCL Technologies, through its step down subsidiary—HCL America Inc—will acquire 100% stock of Telerx Marketing that operates as C3i Solutions. C3i’s revenue for the financial year ended 31 December 2017 stood at $199 million. It has over 3,700 people located in the US, India, Bulgaria, China, UK, and Japan."
100,2018-05-02,HCL,"IHH Healthcare Bhd and a group led by businessman Sunil Munjal have sweetened their offers for the assets of Fortis Healthcare

US stocks close slightly higher; Asia mixed 
US stocks close slightly higher; Asia mixed
Overnight US stocks closed slightly higher. S&P 500 at 2,654 is up 0.25%. Asian markets opened mixed.
Munjal-Burmans, IHH sweeten Fortis bids, add new terms
At least two bidders, IHH Healthcare Bhd and a group led by businessman Sunil Munjal, have sweetened their offers for the assets of troubled Fortis Healthcare Ltd ahead of the Tuesday deadline for submitting binding offers, reports Mint.
Dabur Q4 profit jumps 19% to Rs396.2 crore
Dabur India Ltd on Tuesday reported a 19% increase in its March-quarter consolidated net profit as volumes in domestic packaged goods business grew 7.7%.
L&T to sell its electric unit to Schneider for Rs14,000 crore
Larsen & Toubro Ltd will sell its electrical and automation business to European multinational Schneider Electric for Rs14,000 crore. This is part of L&T’s stated move to prune non-core businesses.
M&M buys 10% stake in Canadian agri tech firm
Mahindra & Mahindra Ltd (M&M) is investing just over $5 million for a 10% stake in Canadian technology company Resson Aerospace Corp., reports The Times of India. The investment will allow M&M to use the Canadian company’s technology, the report adds.
Auto sales rise 12% in April on recovery in rural areas
India’s top car makers reported an 11.99% growth in sales in April, as sales recovered in semi-urban and rural markets, besides stable urban demand. Read more.
Infrastructure output slows to 4.1% in March
The growth of eight core sectors slowed to 3-month low of 4.1% in March due to weak performance in sectors such as coal, crude oil and natural gas, reports PTI.
HCL Tech, Hero MotoCorp, IndiGO earnings today
It will be a results heavy day. HCL Technologies Ltd, Hero MotoCorp Ltd, InterGlobe Aviation Ltd (IndiGo), Marico Ltd, Siemens Ltd, and Tata Power Co Ltd are some of the companies that will release their earnings for the March quarter today."
99,2018-05-02,HCL,"For the same quarter, HCL Technologies' revenues stood at Rs50,570 crores, up 2.9% from the previous quarter and 8.2% from the year-ago quarter

New Delhi: Noida-based IT major HCL Technologies Ltd on Wednesday reported a consolidated net profit at Rs2,227 crore for the fourth quarter ended 31 March, up 1.5% from the December quarter. 
New Delhi: Noida-based IT major HCL Technologies Ltd on Wednesday reported a consolidated net profit at Rs2,227 crore for the fourth quarter ended 31 March, up 1.5% from the December quarter.
For the same quarter, the company’s revenues stood at Rs50,570 crores, up 2.9% from the previous quarter and 8.2% from the year-ago quarter.
At 12.47pm, HCL shares were down 4.32% to Rs1,006 on BSE, while the Sensex was up 0.17% to 35,210.98 points.
HCL signed 15 transformational deals this quarter, with several of them representing next generation offerings of autonomics and artificial intelligence, digital and analytics, internet of things, cloud native services and cybersecurity. A total of 63 transformational deals have been signed during the year.
“We conclude the fourth quarter and the financial year 2018 with an industry-leading performance backed by broad-based growth across verticals, robust client additions and accelerated revenues from Mode 2 and 3 Services. We remain confident of the new Fiscal in light of the increasing relevance of our business offerings coupled with our strategic investments in technologies of the future"", said C.Vijayakumar, President & CEO, HCL Technologies Ltd in a press statement.
In the statement, the company said that annual revenues crossed the Rs50,000-crore mark, while quarterly revenues exceeded the $2 billion milestone. There was broad based growth across verticals driven by Manufacturing at 18.3%, Financial Services at 13.3%, Lifesciences & Healthcare at 8.1% , Retail & CPG at 7.5% and Public Services at 2.6% (on constant currency basis).
The IT major expects FY19 revenues to grow between 9.5% to 11.5% in constant currency terms.The revenue guidance is based on FY18 (April to March) average exchange rates. The above constant currency guidance translates to 10.5% to 12.5% in dollar terms based on 31 March 31 rates.
According to Nitin Padmanabhan, an analyst with Investec Capital Services, “The recent acquisitions Actian Corp and c3i put together will contribute 300 bps to growth. In light of this the revenue and margin guidance appears to be weak.""
The company said that revenues from Digital & Analytics and Products & Platforms offerings together grew 41.5% in the 12 months period ending March 2018. The share of Digital & Analytics and Products & Platforms revenues together stands at 23.4% for FY18, compared to 18.6% for FY17.
Padmanabhan adds, “The growth in revenues was largely driven by Infrastructure management and engineering and R&D business which contributed 61% and 20% to the incremental revenues respectively. It’s important to understand incremental revenues from new IP acquisitions that could have contributed to this growth. HCLT invested $46.5 million in IPs for the 8th straight quarter."""
