,Date,Company,Article
374,,HDFC Bank,
373,2018-01-10,HDFC Bank,"HDFC Bank said a normal monsoon will support rural consumption and additionally, help will also come from farm loan waivers

Mumbai: Second largest private sector lender HDFC Bank expects an uptick in gross domestic product (GDP) growth in FY19 to 7.3% from the 6.5% estimated for FY18, expecting a rural push by government and rise in consumption.  
Mumbai: Second largest private sector lender HDFC Bank expects an uptick in gross domestic product (GDP) growth in FY19 to 7.3% from the 6.5% estimated for FY18, expecting a rural push by government and rise in consumption. 
“We expect GDP growth to pick up to 7.3 per cent in FY19 and the gross value added growth to stand at 7.1 per cent,"" its economists said in a note. The government’s official estimate for FY18 growth stands at 6.5%, much lower than what experts would call as the potential, and restricted by the goods and services tax (GST) implementation and effects of the note ban. 
HDFC Bank said a normal monsoon will support rural consumption and additionally, help will also come from farm loan waivers. A surge in salaries for government servants through the implementation of the seventh pay commission will also help. The government will focus on rural sector and infrastructure, including road, railways and affordable housing, it said. 
Efficiency gains from GST roll out and a disappearance of the demonetisation reverses will give a positive base effect for the growth, it said. On the negative side, it warned of a surge in oil prices causing the ‘twin deficit’ problem with a surge in fiscal and current account gaps, sluggish global growth and a rise in consumption restricting the consumption. 
Even as it put governments at the centre and states adopting fiscal consolidation path as one of the factors which can negatively impact growth, it estimated the central government to not narrow the FY19 fiscal deficit to the targeted level of 3% under an adopted path. 
It said the fiscal deficit for FY19 will come at 3.2%. The bank economists also expect the current account deficit to widen to 2.5% for FY19, from the 1.5% expected for FY18. On the inflation front, it said price-rise will peak to 6% by mid-2018 on a low base and cool-off in the second half of the fiscal. 
It expects a hike of 0.25% in the policy rate by the Reserve Bank of India (RBI) during the fiscal year 2018-19. Even as the Central Statistics Office (CSO) data estimated an uptick in gross fixed capital formation, HDFC Bank said this is due to a very low base in FY17. The capacity utilisation rates in the economy continue to be low, impeding the private capex cycle, it said."
372,2018-01-15,HDFC Bank,"In other news, Greenko Group is in talks with Essel Infraprojects to acquire its power transmission business for an estimated $1 billion

US stocks end higher; Asian markets open positive 
US stocks end higher; Asian markets open positive
US Stocks rose to record highs on Friday after some of the major financial companies in the U.S. reported strong quarterly results.
Major indexes in Asia notched gains on Monday after Wall Street closed out last week at records and the dollar remained on the back foot.
Greenko eyes Essel Infraprojects’ power transmission business for $1 billion
Renewable energy company Greenko Group is in talks with Essel Infraprojects Ltd to acquire its power transmission business for an estimated $1 billion, report Mint.
Idea Cellular, Vodafone may start operating as one entity from April
Idea Cellular Ltd and Vodafone Group Plc’s Indian unit are likely to start operating as a single unit from April.
HDFC to raise Rs11,104 crore from investors including GIC, KKR
Housing Development Finance Corp Ltd (HDFC) will be raising around Rs11,104 crore from marquee institutional investors like KKR, GIC and Premji Invest among others, the firm stated in a stock exchange notification on Saturday.
IDFC Bank announces merger with Capital First
IDFC Bank and non-banking finance company Capital First announced a merger of the two businesses to form a combined entity of assets under management of Rs88,000 crore and distribution network of 194 branches.
Shoppers Stop allots Rs179.26 crore shares to Amazon
Retail chain Shoppers Stop said it has allotted shares worth Rs179.26 crore to Amazon.com NV Investment Holdings LLC, an investment arm of Amazon.com.
Tata Motors’ Jaguar Land Rover plans new R&D hub in Ireland
The Tata Motors-owned Jaguar Land Rover (JLR) is mulling a new software hub at Shannon in Ireland as part of its wider plans to invest in electric and driver-less technology.
Jubilant Life gets green nod for Rs250 crore pesticide project
Jubilant Life Sciences has received a green nod for setting up a greenfield pesticide manufacturing unit at Bharuch, Gujarat at a cost of around Rs250 crore, as per the official document.
Earnings corner
Delta Corporation and Federal Bank are among the companies that will be announcing their December quarter earnings today."
371,2018-01-19,HDFC Bank,"HDFC Bank is the third Indian company to cross Rs5 trillion market cap, after TCS and Reliance Industries

Mumbai: India’s most-valued lender HDFC Bank Ltd on Thursday crossed Rs5 trillion market capitalisation for the first time, making it only the third Indian company to achieve this milestone. 
Mumbai: India’s most-valued lender HDFC Bank Ltd on Thursday crossed Rs5 trillion market capitalisation for the first time, making it only the third Indian company to achieve this milestone.
In intraday trade, the stock touched a fresh record high of Rs1,53.75 on the BSE, up 3.31% from its previous close. The scrip closed at Rs1,931.80, up 2.15% with a market cap of Rs5 trillion. The Sensex index closed higher by 0.51% to 35,260.29 points.
Tata Consultancy Services Ltd (TCS) and Reliance Industries Ltd (RIL) are the other two companies which crossed market capitalisation of Rs5 trillion. RIL remained the most-valued company with a market cap of Rs5.82 trillion, followed by TCS with a market cap of Rs5.57 trillion.
HDFC Bank’s steady 20% profit growth quarter-after-quarter as well as its immunity to the bad loans crises has helped the stock.
The bank also reports bad loan ratio below 1%, the lowest among Indian lenders. Thus, investors continued to buy the stocks despite high valuation of close to 4.8 times its expected book value for this fiscal.
The recent gains in the stock along with other banking shares was due to news report on government mulling 100% foreign direct investment in the banking sector.
Brokerage firm Jefferies India expects that the this is sentiment positive, but the magnitude of impact should be marginal as the gap between current foreign institutional investor (FII) shareholding and upper limit is wide for most banks barring HDFC Bank.
In the last 12 months, the stock has gained 42.34%, while the S&P Bankex, the broader gauge of banking stocks, advanced 36.62%.
The bank will report its December quarter earnings on 19 January. According to 16 Bloomberg analysts’ estimates, the bank may report a net profit of Rs4,652.90 crore.
“HDFC Bank’s earnings growth should get a boost from recovering loan demand as disruption from the 2017 implementation of India’s goods and services tax wanes,"" said a 16 January Bloomberg Intelligence report.
“Strong exposure to retail should promote loan growth. Margin may struggle to expand further, but should stay above 4%. Credit costs could rise from last year’s low base, but will still stay under control, as HDFC Bank has lower exposure to stressed borrowers than other corporate lenders. Investors may closely monitor digital banking initiatives,"" the report added.
Among the analysts covering the HDFC Bank stock, 50 have a “buy"" rating, three have a “hold"" rating, while two has a “sell"" rating, according to Bloomberg data."
370,2018-01-19,HDFC Bank,"In other news, Airtel profit plunges 39% in Q3 as IUC cut, Reliance Jio price war take their toll

US stocks end lower; Asian markets open higher 
US stocks end lower; Asian markets open higher
The Dow Jones industrial average fell on Thursday as investors assessed the possibility of the government shutting down at the end of the week.
Major indices in Asia were mostly higher on Friday although the Australian benchmark tracked lower. Wall Street, for its part, closed its Thursday session with slight losses amid political concerns.
GST rate cut for more items, returns filing to be made simpler
The Goods and Services Tax Council (GST Council) cut tax rates on 29 products and 54 services at its 25th meeting and agreed to make the process of filing tax returns simpler.
Airtel profit plunges 39% in Q3 as IUC cut, Reliance Jio price war take their toll
Bharti Airtel Ltd’s quarterly profit plunged 39%, missing analysts’ estimates, as India’s telecom regulator more than halved interconnection fees and a pricing war triggered by the entry of Reliance Jio Infocomm Ltd continued unabated.
Maruti Suzuki’s new Swift to launch at Auto Expo 2018, bookings open
Maruti Suzuki India Ltd, India’s largest carmaker, will launch the all new Swift at the upcoming Auto Expo 2018.
Newgen IPO subscribed 8.16 times on last day
The Rs424.6 crore initial public offering (IPO) of software products maker Newgen Software Technologies Ltd was subscribed 8.16 times, the last day of the share sale.
Adani Ports Q3 net profit rises 19.5% to Rs1,001 crore
Adani Ports and Special Economic Zone (APSEZ), India’s largest port operator, reported a 19.5% rise in fiscal-third quarter profit.
Earnings corner
HCL Technologies, HDFC Bank, ITC, Reliance Industries, Kansai Nerolac and Wipro are among the companies that will be announcing their December quarter earnings on Friday."
369,2018-01-19,HDFC Bank,"HDFC Bank's Q3 profit surged 20% to Rs4,642.60 crore but NPAs rose as well57.4% to Rs8,234.88 crore at the end of December quarter from Rs5,232.27 crore in the year-ago period

Mumbai: HDFC Bank Ltd on Friday reported a 20.1% rise in Q3 profit on higher net interest income (NII) and other income. 
Mumbai: HDFC Bank Ltd on Friday reported a 20.1% rise in Q3 profit on higher net interest income (NII) and other income.
HDFC Bank’s net profit rose to Rs4,642.60 crore for the quarter ended 31 December from Rs3,865.33 crore a year ago. 
According to 17 Bloomberg analysts’ estimates, the bank was expected to post a net profit of Rs4,706.90 crore.
Net interest income, or the core income a bank earns by giving loans, increased 24.1% to Rs10,314.34 crore compared with Rs8,309.09 crore last year. Other income was at Rs3,869.17 crore, up 23.12% from Rs3,142.67 crore a year ago.
Provisions and contingencies jumped 88.81% to Rs715.78 crore from Rs115.38 crore a year ago. On quarter-on-quarter basis, it fell 8.45% from Rs1,476.19 crore.
Gross non-performing assets (NPAs) advanced 57.4% to Rs8,234.88 crore at the end of the December quarter from Rs5,232.27 crore in the same quarter last year.
The rise in bad loans was due to an annual exercise conducted by the Reserve Bank of India (RBI) that pointed out divergence in asset classification for fiscal 2017.
For HDFC Bank, the divergence in gross bad loans, the difference between RBI’s assessment and that reported by the lender, stood at around Rs2,051.76 crore at end March 2017, while divergence in provisions was at Rs793.39 crore.
As a percentage of total loans, gross NPAs stood at 1.29% as compared to 1.26% in the previous quarter and 1.05% in the year-ago quarter. Net NPAs were at 0.44% in the December quarter compared to 0.43% in the previous quarter and 0.32% in the same quarter last year.
Advances rose 27.51% from a year ago to Rs6.31 trillion. Deposits rose 10.1% to Rs6.99 trillion.
At 1.08pm, shares of HDFC Bank was trading at Rs1,942.50 on the BSE, up 0.55% from its previous close, while benchmark Sensex index rose 0.19% to 35,327.30 points."
368,2018-01-20,HDFC Bank,"HDFC Bank investors are used to consistent double-digit profit growth, as in the Q3 result. What they haven't seen before is a faster increase in NPAs that is yet to reflect in the bank's valuations

The hubris among investors of HDFC Bank Ltd is evident. After all, India’s most valued lender has delivered another stellar quarter in terms of profitability and growth. 
The hubris among investors of HDFC Bank Ltd is evident. After all, India’s most valued lender has delivered another stellar quarter in terms of profitability and growth.
The bank reported a 20% rise in net profit to Rs4,642.6 crore for the December quarter backed by an impressive 24.1% growth in net interest income and an eye-popping 27.5% expansion in advances.
If that doesn’t dazzle, the 4.3% net interest margin will surely do. Deposits grew at 10% despite it being over the bloated base of demonetisation a year ago.
Let’s rewind again to advances. The surge in loans is also because HDFC Bank didn’t lend much in the December quarter. To its credit, the management of the bank mentioned that, but said that quarterly momentum in loan growth is still intact.
Notwithstanding the base effect from demonetisation, a 27% loan growth should not be sneezed at.
It would be futile to question why HDFC Bank is the only lender and also only the third Indian company to cross a market capitalization of Rs5 trillion (read more here). The love from investors is indeed evident. Add a gross bad loan ratio of 1.29% and it looks like there’s reason enough for this love.
But perhaps investors are getting blindsided by these percentages. HDFC Bank’s gross non-performing assets (NPAs) stock rose 57% from a year ago period. What used to be an accretion of just about 20% two years back is now almost 60%. For a lender of HDFC Bank’s size, this is disturbing.
Also, notwithstanding the base effect on loan growth, as a percentage of the loan book, bad loans have increased sharply. In the September 2017 quarter, the gross NPA ratio was 1.26% while in December the previous year, the bad loan ratio was 1.05%.
Another fact that cannot be ignored is that the bank under-reported its bad loans for fiscal year 2017 by about 25%. To its credit, the lender has made adequate provisioning towards all risky assets including those thrown up by the Reserve Bank of India’s inspection.
HDFC Bank investors are used to consistent double-digit profit growth, industry-beating credit growth and margins that put even some non-banking finance companies to shame. What they haven’t seen before is a faster increase in bad loans and that is yet to reflect into the bank’s valuations. After all future profits are projected based on benchmarking the past. The stock trades at a rich multiple of 4.1 times its estimated book value for fiscal year 2019.
HDFC Bank is no longer what it was in the past as far as bad loans are concerned. The hubris needs to be tempered.
The writer does not hold a position in the company discussed here."
367,2018-01-26,HDFC Bank,"Five of the top 10 holdings of MFs were financials, ruled by private lenders HDFC Bank and ICICI Bank, according to data from Morningstar

Financial stocks, led by top private lender ICICI Bank Ltd, were the most bought by mutual funds (MFs) in 2017, as fund managers placed their bets on a recovery in Asia’s third-largest economy.  
Financial stocks, led by top private lender ICICI Bank Ltd, were the most bought by mutual funds (MFs) in 2017, as fund managers placed their bets on a recovery in Asia’s third-largest economy. 
Domestic MFs pumped in a record Rs1.2 trillion in Indian shares in 2017, when BSE’s 30-share Sensex delivered 27.91% returns.
Five of the top 10 holdings of MFs were financials, ruled by private lenders HDFC Bank and ICICI Bank, according to data from Morningstar Inc. The five accounted for 58.9% of the top 10 MFs’ holdings at the end of 2017.
Banking and financial services stocks also made up more than 34% of the top 20 stocks bought by mutual funds in 2017, which included ICICI Bank, Housing Development Finance Corp. Ltd, State Bank of India, HDFC Bank Ltd, and Kotak Mahindra Bank Ltd.
“Cyclical story of recovery in economy made lenders attractive collectively,"" said Kaustubh Belapurkar, director of fund research at Morningstar Investment Adviser India Pvt. Ltd, the India unit of Morningstar Inc.
Ritesh Jain, chief investment officer at BNP Paribas Mutual Fund, pointed out that financials have huge weightage and constitute 40% of benchmark indices, and added that portfolios largely mirror that weightage of financials.
“The sector though is expanding—we now have insurance companies, mutual fund companies, brokerage firms that have become diversified financial services companies, and small finance banks,"" Jain said.
Since September, as many as five insurance firms have been listed, namely SBI Life Insurance Company Ltd, ICICI Lombard General Insurance Company Ltd, HDFC Standard Life Insurance Company Ltd, New India Assurance Company Ltd and General Insurance Corporation of India, along with Reliance Nippon Life Asset Management Ltd, a mutual fund. 
ICICI Prudential Life Insurance Co. Ltd was listed in 2016.
“So, options are more for asset managers in the financial space,"" Jain said.
Mutual funds stocked up on ICICI Bank shares to the tune of Rs9,928 crore. Mortgage lender Housing Development Finance Corp. was a new entrant to the top 10 holdings list of mutual funds as the second most-bought stock. Mutual funds collectively bought Rs8,889 crore worth of the company’s stock.
“ICICI Bank was available at good value early in 2017. HDFC was preferred heavily in 2017 due to the government’s low-cost housing push,"" Belapurkar said.
Surprisingly, Maruti Suzuki India Ltd was the most sold stock by asset managers as they dumped Rs2,410 crore of the stock that slipped two positions to become the eighth-most held stock by domestic MFs. 
“Fund managers locked in gains in Maruti after the sharp rally,"" Belapurkar added."
366,2018-02-08,HDFC Bank,"HDFC Bank raises lending rates by 10 basis points even as RBI holds rates, other major banks are likely to follow suit

New Delhi/Mumbai: India’s struggling economy is facing a new challenge: banks are raising interest rates even though the central bank is leaving its rates unchanged, as risks such as surging bond yields and more provisioning requirements erode their profit. 
New Delhi/Mumbai: India’s struggling economy is facing a new challenge: banks are raising interest rates even though the central bank is leaving its rates unchanged, as risks such as surging bond yields and more provisioning requirements erode their profit.
HDFC Bank, India’s second-biggest bank by assets, on Wednesday became the latest to raise some rates by 10 basis points. The same day, the Reserve Bank of India (RBI) kept its policy rate unchanged, to “carefully"" nurture economic growth .
Other major banks are likely to follow suit, raising concerns of de facto rate increases in an economy that is growing at its slowest pace in three years and needs private investment.
An RBI staff study showed every 100 bps increase in borrowing costs lowers the investment rate by as much as 91 bps.
“Lending rates will move up. We cannot avoid that from happening,"" the chief of a large state-run bank told Reuters.
Banks are facing a number of threats. Chief among them is that rising inflation has hurt bonds, driving benchmark 10-year yields up more than 100 bps since July, a big concern for banks, which are the biggest buyers of the debt.
Banks are also facing a higher cost of funds, a key expense for the lenders, and more stringent regulatory requirements for their liquidity coverage ratios, according to Ashish Parthasarthy, treasurer at HDFC Bank.
Banks are also being forced to raise deposit rates so they can attract more funds, and they continue to set aside more capital as they clear a near-record $147 billion in soured debt.
Economists see little relief in sight, but are calling on the RBI to step in to support debt markets, including through debt purchases, thus easing at least one of the major challenges banks face.
In a measure of how much margins are being hit, the spread between the 10-year bond yield and a key lending rate, the median one-year marginal cost-based lending rate, has narrowed to only 80 bps from 200 bps in July.
“Lending rates might go up with such a large increase in bond yields,"" said Soumya Kanti Ghosh, chief economist at State Bank of India.
“Under such circumstances, it is important to help cool off bond yields to protect the overall interest rates from going up and hurting incipient signs of growth."" Reuters"
365,2018-02-23,HDFC Bank,"Sebi has asked HDFC Bank Ltd to find individuals, including bank officials, responsible for leakage of its financial results on WhatsApp

Mumbai: The Securities and Exchange Board of India (Sebi) on Friday directed HDFC Bank Ltd to strengthen its existing systems and controls to prevent any leakage of unpublished price-sensitive information so that no entity is able to breach Sebi’s insider trading norms and make illegitimate gains. 
Mumbai: The Securities and Exchange Board of India (Sebi) on Friday directed HDFC Bank Ltd to strengthen its existing systems and controls to prevent any leakage of unpublished price-sensitive information so that no entity is able to breach Sebi’s insider trading norms and make illegitimate gains.
Sebi ordered the country’s largest private sector lender to submit a report on its present systems and controls and the details of the entities responsible for monitoring such systems.
The bank has been ordered by the market regulator to conduct an internal inquiry into the leakage of unpublished price-sensitive information relating to its financial figures, including non-performing assets (NPAs), and take appropriate action against those responsible for the same.
Sebi has also ordered HDFC Bank to find out the possible role of certain persons in relation to the recent leakage of unpublished price-sensitive information (UPSI) with regards to the bank’s 2017-2018 June quarter results.
When contacted, an HDFC bank spokesperson said: “We have so far not read the order but it goes without saying that we will comply with the order as we are a very compliance- and regulations-driven organization.""
This is the second order from Sebi with regard to cases relating to leakage of sensitive company-related information through private digital messaging applications such as WhatsApp, ahead of the official announcement on stock exchanges by the concerned company.
On 28 December, Sebi had passed a similar order against Axis Bank Ltd, another privately held lender. Axis Bank was asked by Sebi to conduct an internal inquiry into the suspected leak of its June quarter financial results.
Sebi, in its order against HDFC Bank, said that it had initiated a probe into the lender after certain newspaper articles referred to circulation of UPSI in various private WhatsApp groups about certain companies ahead of their official announcements to stock exchanges.
During the course of preliminary examination, Sebi observed that the messages circulated on WhatsApp closely matched the HDFC Bank results for the April-June quarter, which were published subsequently.
The actual results of HDFC Bank were announced on 24 July 2017 at 12.12 pm.
However, as per the Sebi probe, some WhatsApp messages mentioning certain key numbers from HDFC Bank’s Q1FY18 results started circulating from 21 July 2017.
The probe found that a WhatsApp post stated HDFC Bank’s gross NPA figure at 1.25% on 21 July, while the actual results showed this figure as 1.24% on 24 July. Similarly, a WhatsApp post ahead of the official announcement of the results stated the bank’s net profit at Rs3,900 crore while the actual net profit as per the official announcement stood at Rs3,893.84 crore.
Sebi found that a similar incident took place during the time of announcement of the bank’s December 2015 quarterly results as well.
Sebi found that a WhatsApp post at 0951 hours on 25 January 2016 stated HDFC Bank’s net interest income (NII) for the quarter ended December 2015 at Rs.7,050 crore while the official announcement at 1407 hours on the same day showed this number at Rs7,068 crore.
Similarly, on the same day, the bank’s net profit for the quarter was stated at Rs3,350 crore by a WhatsApp post while the actual profit declared later stood at Rs3,350 crore.
Sebi found that the financial results of HDFC Bank for quarter-ended 30 June 2017 were finalized on or before 19 July 2017, which was right before the beginning of circulation of the WhatsApp message on 21 July 2017.
However, Sebi could not ascertain the source of the WhatsApp earnings leak.
“Such leakage is prima facie attributable to the inadequacy of the processes /controls/ systems that HDFC Bank as a listed company had put in place,"" read the Sebi order.
HDFC Bank, in its reply to Sebi said that the concerned officials had shared the information on unpublished Gross NPA, NPA and profit figures with the concerned employees of the bank and with the statutory auditors, for official purposes and on a need to know basis.
Sebi, in its order, has asked the bank to find out the role of the members of its various committees involved in generation of the original data for the purpose of determination of key figures pertaining to financial figures. The bank is also required to probe the persons involved in the preparation of HDFC Bank’s board notes and presentations.
“The inquiry directed above shall be completed within a period of three months from the date of this order, and within seven days from the completion thereof, HDFC Bank shall file a report to Sebi in that regard,"" said the Sebi order.
Jayshree P. Upadhyay contributed to this story."
