,Date,Company,Article
125,,Hero MotoCorp,
124,2018-01-02,Hero MotoCorp,"Hero MotoCorp reported 43% jump in sales at 4,72,731 units in December 2017 as against 3,30,202 units in the year-ago month

New Delhi: Hero MotoCorp on Tuesday reported 43% jump in sales at 4,72,731 units in December 2017 as against 3,30,202 units in the year-ago month.  
New Delhi: Hero MotoCorp on Tuesday reported 43% jump in sales at 4,72,731 units in December 2017 as against 3,30,202 units in the year-ago month. 
The company said it sold a record 72,07,363 units of two-wheelers in the whole of 2017. 
Hero MotoCorp CMD and CEO Pawan Munjal said, “2017 has been a landmark year in our strategic endeavour to further consolidate our market leadership.""
He said despite a challenging industry environment, the company successfully “created a series of benchmarks, not only for the Indian market but also for the global automotive industry"".
“We are now entering the last quarter of this fiscal with a strong focus on the premium segment and scooters and we are confident of sustaining our growth momentum,"" Munjal said."
123,2018-01-03,Hero MotoCorp,"PNB sells entire stake in Principal Financial Group JV, while Hero MotoCorp sales up 43% in December at 472,731 units

US equities end higher; Asian markets open positive 
US equities end higher; Asian markets open positive
US stocks kicked off the new year on a high note on Tuesday as the Wall Street bet on another strong year for equities.
Asian stocks notched moderate gains on Wednesday, tracking sizeable increases seen on Wall Street overnight as the dollar remained in the doldrums.
December PMI data signals revival in manufacturing, Indian economy
The Nikkei India manufacturing Purchasing Managers’ Index (PMI) grew at the fastest rate in five years in December. Coming in the backdrop of a pickup in merchandise exports and output of eight infrastructure sectors in November, this has stoked expectations of a sustained revival in the Indian economy.
L&T wins Rs1,454 crore contracts including in Egypt
Infrastructure major Larsen & Toubro (L&T) said its construction arm has won contracts worth Rs1,454 crore including one in Egypt.
PNB sells entire stake in Principal Financial Group JV
Punjab National Bank (PNB) has sold its entire stake in the joint venture with Principal Financial Group to give the latter full ownership of Principal PNB Asset Management Co. and Principal Trustee Co. Pvt. Ltd in India.
Trai issues interconnectivity rules, fixes 30-day deadline for inking pacts
The Telecom Regulatory Authority of India (Trai) mandated service providers to enter into an interconnection agreement “on non-discriminatory basis"" within 30 days of receiving network connectivity request from another operator. Read more
Hero MotoCorp sales up 43% in December at 472,731 units
Hero MotoCorp reported 43% jump in sales at 472,731 units in December 2017 as against 330,202 units in the year-ago month. The company said it sold a record 72,07,363 units of two-wheelers in the whole of 2017.
NTPC reports record electricity generation in December quarter
India’s largest power generation utility NTPC Ltd recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in electricity demand.
Govt announces details of electoral bonds for political funding
The Union government has announced details of political funding that can be routed by donors to parties through electoral bonds, a scheme announced by it in Union Budget 2017."
122,2018-01-31,Hero MotoCorp,"The launch of Hero Xtreme 200R will help the firm boost its presence in the premium motorcycle market dominated by Bajaj Pulsar

New Delhi: Hero MotoCorp Ltd on Tuesday announced its re-entry into the premium motorcycle segment with Xtreme 200R, a 200cc motorcycle that will go head-to-head with the Bajaj Pulsar that dominates the category. 
New Delhi: Hero MotoCorp Ltd on Tuesday announced its re-entry into the premium motorcycle segment with Xtreme 200R, a 200cc motorcycle that will go head-to-head with the Bajaj Pulsar that dominates the category.
The company, India’s largest two-wheeler company, said it will launch the new motorcycle in about a month. The company did not disclose the price, but the Xtreme 200R is expected to be priced less than Rs1 lakh, a company executive said.
“With every new, indigenously developed Hero two-wheeler, our commitment to the ‘Make in India’ initiative is growing stronger and we will continue to innovate in India, for the world,"" Pawan Munjal, chairman and managing director, Hero MotoCorp Ltd, said in a statement.
“We have begun this year on a positive note, and as we move ahead, we will keep our customers excited with many new products, some of which will be showcased next week at the Auto Expo,"" he added.
Hero now has a fully functional research and development centre near Jaipur where it has invested about Rs850 crore. The same R&D facility has developed the Xtreme 200R, Munjal said.
According to Malo Le Masson, head of global product planning, Hero MotoCorp, there will be more products in the premium segment. 
“From 2018 onwards, the focus for Hero MotoCorp in motorcycles is the premium segment, and we will continue to bring more products in this category. The Xtreme 200R is a real head-turner, which, combined with competitive performance, is going to appeal to the youth in India as well as in our global market,"" Le Masson said.
The launch of the new model will help Hero MotoCorp boost its presence in the premium motorcycle market, where it’s under-represented, said Ashok Bhasin, head of sales, marketing and customer care at Hero MotoCorp.
“We have been a dominant player in the motorcycle market for quite some time now; however, we were under-represented in the premium segment. Launching this product is a formidable step for us in the premium segment because this would allow us to capture the market, grow the business there and also gain market share,"" Bhasin said."
121,2018-02-06,Hero MotoCorp,"In other news, Singtel to invest Rs2,649 crore in Bharti Telecom, while ArcelorMittal to sell entire stake in Uttam Galva

Sell-off deepens losses in global equities 
Sell-off deepens losses in global equities
Overnight, the US markets closed sharply lower. S&P 500 lost 4% to 2,648 points on rising bond yields and inflation fears. Tracking the cues, Asian stocks opened lower too.
Tata Motors Q3 profit rises but misses estimates
Tata Motors Ltd reported a near 11-fold rise in fiscal third-quarter profit as a surprise turnaround in its India business helped offset a slowdown in its Jaguar Land Rover (JLR) unit. Earnings still missed analysts’ estimates. Read more
Singtel to invest Rs2,649 crore in Bharti Telecom
Singapore Telecommunications Ltd (Singtel) will indirectly raise its stake in Bharti Airtel Ltd by investing Rs2,649 crore in Bharti Telecom Ltd, the promoter company of Airtel, through a preferential allotment of shares.
Emami to buy 26% stake in Brillare
Emami Ltd said it had concluded a deal to acquire a substantial minority stake in Brillare Science Pvt. Ltd, valuing the company at Rs75-100 crore, reports Mint. Brillare produces hair and skin care products, and sells them to professional salons.
ArcelorMittal to sell entire stake in Uttam Galva
ArcelorMittal is set to sell its entire 29% stake in Uttam Galva Steels to its co-promoter for Re1 a share, reports Business Standard. With this, ArcelorMittal will cease to be a promoter of Uttam Galva, which is undergoing insolvency proceedings, the report adds.
Hero MotoCorp, Lupin earnings today
It will be a results heavy day. Castrol India Ltd, Berger Paints Ltd, Blue Star Ltd, Dish TV India Ltd, Apollo Tyres Ltd, Hero MotoCorp Ltd, JSW Energy Ltd, Lupin Ltd, Natco Pharma Ltd, Siemens Ltd and Thermax Ltd are some of the companies that will release their earnings for the December quarter on Tuesday."
120,2018-02-07,Hero MotoCorp,"Hero MotoCorp's raw material costs rose in absolute terms steeply when compared to a year back

In spite of its high base, the country’s largest motorcycle maker Hero MotoCorp Ltd has been steadily clocking strong sales, aiding profit growth in spite of rising costs and competitive pressures. 
In spite of its high base, the country’s largest motorcycle maker Hero MotoCorp Ltd has been steadily clocking strong sales, aiding profit growth in spite of rising costs and competitive pressures.
The December quarter’s 15% revenue growth at Rs7,305 crore compared to the year-ago period matched the Street’s expectation. Driving this was the 16% growth in domestic two-wheeler sales, but without an expansion in realizations, which indicates competitive pressures in the two-wheeler market.
Moreover, the auto industry has been faced with rising raw material costs. Hero’s raw material costs rose in absolute terms steeply when compared to a year back. They rose by 250 basis points as a percentage to sales in spite of higher volumes clocked and the benefits of operating leverage.
This dragged the operating margin down by 100 basis points year-on-year to 15.9%, although it was what the Street had expected. The quarter’s operating profit grew by 7.3% to Rs1,158 crore. Mark-to-market losses on the investment portfolio, however, translated into lower other income, which in turn impacted net profit growth. The Rs805 crore net profit therefore was a tad lower than forecasts and 4.3% higher year-on-year."
119,2018-02-07,Hero MotoCorp,"Hero MotoCorp showcased its Duet and Maestro Edge scooters with 125cc engine capacity, a segment that has grown rapidly in India in the past few quarters

New Delhi: The country’s largest two-wheeler maker Hero MotoCorp Ltd showcased its Duet and Maestro Edge scooters with 125cc engine capacity, a segment that has grown rapidly in India in the past few quarters on the back of rising incomes and higher purchases by women.  
New Delhi: The country’s largest two-wheeler maker Hero MotoCorp Ltd showcased its Duet and Maestro Edge scooters with 125cc engine capacity, a segment that has grown rapidly in India in the past few quarters on the back of rising incomes and higher purchases by women. 
Hero is aggressively foraying into new segments to reshape the brand as more premium, sporty and powerful from its present commuter bike focus, a company spokesperson said. 
A part of this expansion is in the premium motorcycle segment, wherein the maker of the Splendor bikes showcased the Xtreme 200R and XPulse 200 motorcycles. Both models will be launched within fiscal 2019. 
The adventure concept XPulse was revealed at the EICMA show at Milan in November and received a positive response, the spokesperson said."
118,2018-03-15,Hero MotoCorp,"Hero MotoSports Team Rally will participate in the Desert Storm 2018 with its star India rider and three-time winner C.S. Santosh leading the charge

New Delhi: Following its best-ever performance at the toughest rally in the world—Dakar Rally—this year, Hero MotoSports team is taking part in its first domestic race of this season—the Desert Storm 2018. 
New Delhi: Following its best-ever performance at the toughest rally in the world—Dakar Rally—this year, Hero MotoSports team is taking part in its first domestic race of this season—the Desert Storm 2018.
Hero MotoSports Team Rally—the rally-racing division of the world’s largest two-wheeler maker Hero MotoCorp Ltd—will participate in the Desert Storm with its star India rider and three-time winner C.S. Santosh leading the charge.
This will be Hero MotoSports’ third domestic rally, following the Desert Storm and BAJA India in 2017.
The Desert Storm 2018 will mark the debut of the Hero 450 RR bike on the national racing scene. The bike has already delivered an impressive performance at the Dakar earlier this year. The Hero MotoSports team’s sole rider, C.S. Santosh will start as the favourite and look to add to his tally of victories here.
In the 2017 edition of the Desert Storm, Santosh had suffered a back injury that rendered him out of action for three months. This year, the team is hoping to bring home a solid performance without any accidents or mishaps.
The Desert Storm 2018 will be conducted from 17-23 March. Following the ceremonial flag-off in Noida, the rally will move to Bikaner for its first stage on 19 March and then travel to Jaisalmer, where it will spend four days before concluding on 23 March.
The Desert Storm will challenge the riders with a distance of about 1700km in and around the famous deserts of Bikaner and Jaisalmer."
117,2018-03-20,Hero MotoCorp,"C.S. Santosh, riding for the Hero MotoSports Team, closes the first day on top of the pecking order in the Maruti Suzuki Desert Storm 2018

New Delhi: C.S. Santosh’s run during the opening day of the Maruti Suzuki Desert Storm 2018 in Bikaner on Tuesday showed what difference experience and good form can make. Riding for the Hero MotoSports Team, the 35-year-old Bengalurean set the pace on Day 1 and completed the 86.5km special in 1 hour and 10 minutes and finished the day in pole position. 
New Delhi: C.S. Santosh’s run during the opening day of the Maruti Suzuki Desert Storm 2018 in Bikaner on Tuesday showed what difference experience and good form can make. Riding for the Hero MotoSports Team, the 35-year-old Bengalurean set the pace on Day 1 and completed the 86.5km special in 1 hour and 10 minutes and finished the day in pole position.
Santosh made good of the new Hero 450 RR bike to fight off competition from the international and domestic riders.
“Today was the first day of the Desert Storm with two short stages, the second one being a night stage. It was really fast from the word go and I tried to give it my best,"" said the former champion at the rally and the first Indian to participate in the Dakar Rally. “Overall I had a pretty good first day today with everything working well for me. Looking forward to some good racing in the next few days.
The second leg will task the riders with 496km run stage comprising 136km of special stages, all in desert riding conditions, from Bikaner to Jaisalmer. And although the rally is often unpredictable, looking at the performance on Day 1, Santosh seems to be a favourite to win.
In 2015, Santosh became the first Indian to participate in the Dakar Rally, arguably the most dangerous in the world, and even managed to complete it in his first attempt. This year he finished 35th overall."
116,2018-03-23,Hero MotoCorp,"Hero MotoCorp has raised its  stake in HMCL Colombia SaS from 51% to 68%, as a result of which partner Woven Holdings share has declined to 32%

New Delhi:  India largest two-wheeler maker Hero MotoCorp Ltd Thursday said it has raised its stake in its joint venture in Colombia from the existing 51% to 68%. 
New Delhi:  India largest two-wheeler maker Hero MotoCorp Ltd Thursday said it has raised its stake in its joint venture in Colombia from the existing 51% to 68%.
Consequently, the stake held by partner Woven Holdings LLC has declined to 32%.
The joint venture, HMCL Colombia SaS, was formed in 2014 and Hero MotoCorp owned a controlling stake through its wholly owned subsidiary, HMCL Netherlands BV, for sale, distribution and marketing of its products in Colombia.
Hero MotoCorp opened its fifth overseas manufacturing capacity—its first in Columbia—to cater to demand from the neighbouring Latin American countries and to set up a base for exports outside India.
“Pursuant to subsequent investment by HMCL B.V. into the share capital of the JV, the equity interests/shareholding of the joint venture partners in the JV have been re-aligned whereby the company’s equity interest/shareholding in the JV (through HMCL B.V.) has increased to 68%, on a fully diluted basis, from 51%,"" the firm said in a press release.
The Colombia facility was the first step by the firm to expand its footprints, especially in the South and North American markets. 
According to a report by news agency PTI, the manufacturing capacity was built over a project cost of $70 million, of which $38million was used in capital expenditure and the rest as working capital."
