,Date,Company,Article
42,,Hindalco,
41,2018-01-05,Hindalco,"Hindalco made a non-binding offer  for US aluminum producer Aleris Corp through its US unit, Novelis Inc., and will now conduct due diligence

Mumbai: Hindalco Industries Ltd. is among potential buyers that submitted bids for US aluminum producer Aleris Corp., people with knowledge of the matter said, as Indian billionaire owner Kumar Mangalam Birla moves ahead with plans to expand his overseas operations. 
Mumbai: Hindalco Industries Ltd. is among potential buyers that submitted bids for US aluminum producer Aleris Corp., people with knowledge of the matter said, as Indian billionaire owner Kumar Mangalam Birla moves ahead with plans to expand his overseas operations.
Mumbai-listed Hindalco made a non-binding offer through its US unit, Novelis Inc., and will now conduct due diligence, according to the people. A deal could value Aleris at around $2.5 billion including debt, the people said, asking not to be identified because the information is private.
Ohio-based Aleris, which is owned by Oaktree Capital Group LLC and Apollo Global Management LLC, had earlier agreed to sell itself to Zhongwang USA LLC for an enterprise value of $2.3 billion. The transaction, left in limbo after US officials raised national-security concerns about the Chinese-backed bidder, was called off in November after multiple extensions.
Any deal could help buck the decline in overseas acquisitions by Indian companies, which fell to an eight-year low of $4.25 billion in 2017, according to data compiled by Bloomberg. Novelis swung to a profit in the quarter ended 30 September and raised its pretax earnings guidance for the financial year, buoyed by a rally in aluminum prices.
Capacity expansion
There’s no certainty Novelis will proceed to make a binding offer for Aleris, and other bidders could emerge, the people said.
A representative for Aditya Birla Group, the parent company of Hindalco, didn’t immediately reply to emailed queries. Spokesmen for Aleris and Oaktree declined to comment, while a spokesman for Apollo said he couldn’t immediately comment.
Novelis President Steve Fisher said in November the company’s strong balance sheet and record free cash flow are giving it the flexibility to evaluate potential growth opportunities. As part of its strategy, the company is “always going to be evaluating the opportunities in the marketplace"" in addition to organic capacity expansion, Fisher told analysts on an earnings call.
Aleris makes rolled aluminum sheet products at manufacturing sites in North America, Europe and China, according to its website. Bloomberg"
40,2018-01-18,Hindalco,"Apart from Vedanta, a Japanese metals company may also join the race for acquiring Aleris

Mumbai: Mining mogul Anil Agarwal’s Vedanta Resources Plc. is considering a bid for Aleris Corp., a move that may pit it against Hindalco Industries Ltd’s $2.5 billion bid for the US-based aluminium products maker, two people aware of the development said. 
Mumbai: Mining mogul Anil Agarwal’s Vedanta Resources Plc. is considering a bid for Aleris Corp., a move that may pit it against Hindalco Industries Ltd’s $2.5 billion bid for the US-based aluminium products maker, two people aware of the development said.
Apart from Vedanta, a Japanese metals company may also join the contest for Aleris, a third person familiar with the development said on condition of anonymity. The name of the Japanese company could not immediately be ascertained. 
“While there is no certainty that Vedanta will eventually make a bid for Aleris, competitive bidding, if it happens, can make the deal expensive for the acquirer,"" said one of the two people cited in the first instance, requesting anonymity.
Requests for comment sent to Vedanta group remained unanswered until press time on Wednesday. A spokesperson for the Aditya Birla Group, of which Hindalco Industries is a part, said that “in line with our policy we do not comment on market stories"". A spokesperson for Aleris said the company did not comment or speculate on rumours.
Vedanta Resources has mines across the world and oil and gas operations in three countries. Its main products are copper, zinc, aluminium, lead, iron ore and petroleum. 
Vedanta group, which has raised close to $2 billion in the past one year, has been on an acquisitive mode in India as well and has shown interest in at least two distressed steel companies. 
Mint reported in December that Vedanta group was among the potential suitors for debt-laden Essar Steel Ltd, which is currently under corporate insolvency proceedings.
Apart from Essar Steel, Vedanta has also made a bid to acquire Electrosteel Steels Ltd, which is also under corporate insolvency proceedings, the people cited above said.
Mint reported in September that the Aditya Birla Group was among potential bidders for the Cleveland, Ohio-based Aleris for which the group was looking to assign a $2.5 billion enterprise value.
The offer is expected to include an investment of close to $1 billion through equity and debt, and refinancing of the company’s debt of around $1.5 billion, Mint reported, citing people aware of the matter. 
Earlier this month, Bloomberg reported that Hindalco Industries had made a non-binding offer for Aleris through its US unit Novelis Inc. 
“The transaction is likely to be driven from the US by Novelis, which will raise bulk of the acquisition funding whereas its parent Hindalco will only fund a smaller chunk if the acquisition goes through,"" said the second person cited above, also requesting anonymity.
Aleris’s private equity owners Oaktree Capital Group LLC and Apollo Global Management LLC had earlier agreed to sell the company to Zhongwang USA LLC for an enterprise value of $2.3 billion.
The transaction was called off in November after US officials raised national-security concerns about the Chinese-backed bidder, Bloomberg reported in January."
39,2018-02-02,Hindalco,"In other news, auto sales in January grow on low base effect, recovery in rural markets

US stocks end lower; Asian markets open on a weak note 
US stocks end lower; Asian markets open on a weak note
US equities pulled back on Thursday as investors worried about rising interest rates.
Asian shares came under pressure early on Friday after the Wall Street closed mixed and yields on US government debt rose in the last session.
Budget 2018: Key highlights of Arun Jaitley’s budget speech
Budget reduces tax rate to 25% for companies that have a reported turnover of up to Rs250 crore. This will benefit the entire MSME sector, which accounts for 99% of the companies filing their tax returns. Revenue foregone is Rs7,000 crore. Read more
Govt brings back LTCG tax on equity, mutual fund investments
The long-term capital gains tax, or LTCG tax, is back. Presenting the Union Budget 208, finance minister Arun Jaitley said LTCG from sale of equity shares and equity mutual fund schemes will now be taxed at 10%, if your total capital gains in a year cross Rs1 lakh. Below Rs1 lakh, gains won’t be taxed.
India January factory PMI cools to 3-month low on weaker demand
Indian factory growth cooled to a three-month low in January as weaker domestic demand dragged on output despite firms keeping price increases to a minimum, a business survey showed on Thursday.
Titan Q3 net profit rises 21.26% to Rs281.61 crore
Watches and accessories maker Titan Co. Ltd reported a 21.26% jump in net profit to Rs281.61 crore for the fiscal third quarter as all three key business segments were buoyed by festive season sales.
Auto sales in January grow on low base effect, recovery in rural markets
Vehicle sales rose in January from a year earlier, boosted by a low base in the year-ago period because of the impact of the government’s decision to withdraw high-value banknotes in November 2016.
Quess Corp acquires Monster’s business and Care business of HCL Services
Quess Corp., an integrated business services provider, has signed definitive agreements to buy MonsterIndia and its business in South East Asia and the Middle East from Monster Worldwide Inc. and the Care Business of HCL Services from HCL Infosystems.
Earnings corner
Bajaj Auto, Dalmia Sugar, Godrej Properties, Glaxo SmithKline, Hindalco and UBL are among companies that will be announcing their December quarter earnings on Friday."
38,2018-02-03,Hindalco,"Hindalco's profit rises for the first time in three quarters, revenue from operations  grow 11% to Rs11,023 crore"
37,2018-05-16,Hindalco,"In other news, Allahabad Bank board divests CEO Usha Ananthasubramanian of all powers, and NCLT approves Tata Steel's resolution plan for Bhushan Steel

Asian stocks lower in morning trade 
Asian stocks lower in morning trade
US markets closed lower. S&P 500 lost 0.9% to 2,704 as investors weighed prospects of higher interest rates, reports Bloomberg. Tracking the cues, Asian stocks too opened lower. According to Reuters, the sentiment was hit after Pyongyang called off talks with Seoul.
Tata Steel’s resolution plan for Bhushan Steel approved
The National Company Law Tribunal (NCLT) approved a Rs32,500-crore resolution plan submitted by Tata Steel for debt-ridden Bhushan Steel, reports Mint.
NTPC to take over power projects in Bihar
NTPC Ltd on Tuesday inked a pact with Bihar and its power utilities to acquire their entire stake in two joint ventures at Nabinagar and Kanti, and to buy Barauni thermal plant, reports PTI.
Britannia Industries Q4 profit rises 25%
Britannia Industries Ltd posted a near 25% rise in quarterly net profit, in line with estimates. Total revenue from operations rose about 10% to Rs2,538 crore.
NCLT allows Ericsson’s insolvency plea against RCom
NCLT admitted an insolvency plea filed by Sweden’s Ericsson against Reliance Communications, potentially delaying the Indian firm’s plans to sell assets to lighten its debt load, reports Reuters.
PNB posts record Rs13,417 crore loss
State-run Punjab National Bank (PNB) a Rs13,417-crore loss for the January-March period reeling under a $2-billion fraud, tighter loan classification norms and losses in its bond portfolio.
Allahabad Bank divests CEO of all powers
The board of state-owned Allahabad Bank divested its MD and CEO Usha Ananthasubramanian of all powers with immediate effect, following a directive from the finance ministry after she was named in the CBI’s chargesheet in PNB fraud case.
Tata Steel, ITC, Hindalco earnings today
It will be a results heavy day. Tata Steel Ltd, TVS Motor Co Ltd, JSW Steel Ltd, ITC Ltd, and Hindalco Industries Ltd, are some of the companies that will release their earnings for the March quarter today."
36,2018-05-17,Hindalco,"Hindalco's total standalone income dipped marginally to Rs11,886.02 crore in the January-March quarter of 2017-18 fiscal, compared to Rs11,969.66 crore in the same period in 2016-17

Mumbai:  Aluminium major Hindalco Industries Ltd on Wednesday reported a 24.98% drop in its standalone quarterly profit during the recently concluded March quarter to Rs376.97 crore. 
Mumbai:  Aluminium major Hindalco Industries Ltd on Wednesday reported a 24.98% drop in its standalone quarterly profit during the recently concluded March quarter to Rs376.97 crore.
The leading aluminium and copper producer had clocked a standalone profit of Rs502.52 crore during the last quarter of 2016-17.
The company’s total standalone income dipped marginally to Rs11,886.02 crore in the January-March quarter of 2017-18 fiscal, compared to Rs11,969.66 crore in the same period in 2016-17, it said in a regulatory filing.
Its total expenses in the March quarter was almost stagnant at Rs11,329.68 crore.
On a consolidated basis, the company reported a profit of Rs6,082.87 crore during FY18, as compared to Rs1,882.30 crore reported by the company during the previous year.
The company reported a consolidated yearly revenue of Rs116,913.16 crore during FY18 up from Rs103,742.45 crore the previous year.
The costs during Q4 hit the peak and were about 6% more than Q3 costs, said Hindalco’s managing director Satish Pai.
“With the costs flatting out in April-May, we could see a fall through in aluminium prices,"" Pai said, adding that the company has secured 60% of its alumina and coal requirements for the year and expects input costs to further go down as the year progresses.
Hindalco, which has earmarked its capex at Rs1,600 crore for FY18, will expand its downstream operations.
“It will take me four-five years to double the existing downstream capacity for which we are making investments,"" Pai said, adding that the company is expected to add at least 12% more value added products like foil and rolled products to its portfolio in the coming years.
The company, which produces about 450 million tonnes of value-added products and wire rods, plans to increase this figure to more than a million tonnes over the next five years.
Pai said that both Hindalco and Novelis are looking at their next phase of growth, which is largely likely to be organic.
“We will certainly look at inorganic opportunities if they come up,"" Pai added.
Pai said that India needs to be wary of dumping of Chinese and Russian metals that are looking at markets to dump their products after getting various concessions from their respective governments thus making their prices very competitive or cheaper than products manufactured by local units.
“We have made a representation to the government and have got a favourable response from them,"" Pai said."
35,2018-05-17,Hindalco,"While things are looking up the raw material front, Hindalco faces uncertainty is market conditionsespecially in light of US tariffs on aluminium imports and the prospect of a US-China trade war

Analysts were expecting Hindalco Industries Ltd to post a subdued performance for the March quarter, tracking the rise in its raw material costs. But as it turns out, the headwinds were stronger than expected. Operating profit (Ebitda) at the standalone level increased just 1% in the March quarter. The performance is weighed down by high costs at the aluminium business. 
Analysts were expecting Hindalco Industries Ltd to post a subdued performance for the March quarter, tracking the rise in its raw material costs. But as it turns out, the headwinds were stronger than expected. Operating profit (Ebitda) at the standalone level increased just 1% in the March quarter. The performance is weighed down by high costs at the aluminium business.
The copper business also lagged due to a plant shutdown and low DAP (diammonium phosphate) production. Also, the benchmark treatment and refinery charges in the copper industry moderated. As a consequence, operating profit at the copper division fell from both the previous quarter and the year- ago period (see chart).
The good news is the management expects cost pressures to ease or remain flat in the coming quarters. Domestic coal prices are more or less stable and Hindalco is said to have tied up raw material supplies. A closed plant is expected to come back on stream in the current quarter. And with the new continuous cast rod plant commissioned, it is expected to help improve business mix for the copper business in the coming quarters.
But where the company faces uncertainty is market conditions—especially on the demand and pricing fronts. Beginning 2018, aluminium prices have turned volatile. While domestic demand is strong, there remains oversupply. With the US imposing tariffs on imports and countries like China retaliating with counter-tariffs, the fear is that a trade war can worsen the demand-supply balance. “The worry is that a certain amount of dumping can take place in India,"" the management told analysts. 
Of course, the situation is still evolving and the industry is said to be in talks with the government for protective measures. But if it turns for the worse, then it can upset Hindalco’s financials.
With the company’s US-based subsidiary Novelis Inc. on the growth path, analysts were hoping a steady performance at the stand-alone level will place Hindalco in a sweet spot.
Novelis is seeing strong profitability thanks to better operating leverage and improving demand. “Strong demand outlook in US and revival in demand in Europe/South America/Asia, aided by quality operations and sound balance sheet sets robust outlook for Novelis. Underpinned by firm outlook on Novelis and stable India operations (benefitting from high aluminium prices and integrated business model), Hindalco would continue to post stable earnings growth,"" Prabhudas Lilladher Pvt. Ltd said in a note last week after Novelis’s March quarter results.
The Q4 results and commentary does not provide any concrete reasons to alter this scenario. But a 22% gain in the share price over the past one year and notable contribution from domestic business (generates roughly half of Ebitda) means favourable local market conditions remain crucial for this scenario to play out."
34,2018-07-26,Hindalco,"Post the Aleris acquisition, Hindalco-Novelis will become the world's largest aluminium downstream player with a combined capacity of 4.7 million tonnes

Mumbai: Billionaire Kumar Mangalam Birla’s Hindalco Industries Ltd has agreed to buy US aluminium sheet maker Aleris Corp. at an enterprise value of $2.58 billion to create the world’s second-largest aluminium maker.  
Mumbai: Billionaire Kumar Mangalam Birla’s Hindalco Industries Ltd has agreed to buy US aluminium sheet maker Aleris Corp. at an enterprise value of $2.58 billion to create the world’s second-largest aluminium maker. 
The acquisition will help Hindalco expand sales in the lucrative automotive and aerospace segments, and is the Indian aluminium maker’s second major overseas acquisition after the purchase of Novelis for $6 billion in 2007. On completion of the purchase of Ohio-based Aleris, Hindalco’s consolidated revenue will rise to about $21 billion.
“The acquisition of Aleris is a great strategic move by Hindalco-Novelis,"" said Anjani K. Agrawal, partner and global steel leader, EY. “The timing seems opportune as capital investments by Aleris within the US will be leveraged in a more favourable trade policy environment.""
Agrawal was referring to the Trump administration’s decision to impose a blanket 10% tariff on aluminium imports. 
Hindalco agreed to pay $775 million in cash for Aleris and absorb debt of $1.8 billion. The purchase will be fully debt-funded.
“The acquisition of Aleris is the next phase of our aluminium value added products growth strategy. This will solidify our position as the world’s No.1 aluminium value-added products player,"" Birla, chairman of Hindalco, said on Thursday. “Post this acquisition, we are well placed to serve our customers across geographies in automotive and now the high-end aerospace segments.""
Aleris has long-term supply contracts with plane makers Boeing, Airbus and Bombardier. The acquisition will also give Hindalco access to the aluminium supply market for the building and construction segments.
Mint first reported about Hindalco’s interest in Aleris in September.
The acquisition adds debt of around $2.6 billion to Hindalco’s book, taking its total debt to around $6 billion. However, the company expects to halve debt to about $3 billion in the next two years as investments in Aleris start to generate returns.
In the past five years, Birla has realigned his businesses to reduce debt, unlock value and improve returns to investors. Birla’s UltraTech Cement Ltd has moved aggressively to acquire local cement makers anticipating a demand pick-up led by the government’s thrust on infrastructure development. While the merger of group companies AB Nuvo and Grasim and demerger of Aditya Birla Finance was aimed at unlocking value for investors, the move to merge the group’s telecom unit, Idea Cellular Ltd, with Vodafone India Ltd is aimed at taking on Mukesh Ambani’s Reliance Jio Infocomm Ltd. On Thursday, the Vodafone-Idea merger got the final approval from the government. 
The company said the acquisition of Aleris will be through Hindalco’s US subsidiary Novelis. 
There is also an earn-out clause, which rewards both parties for performance beyond the base business plan during CY2018-20 for North America. Any excess revenue during this period will be split evenly between Novelis and Aleris, with the cap set at $50 million.
The deal is expected to close in 9-15 months, subject to regulatory approvals in the US, European Union and Asia.
Since last summer, Birla has been scouting for acquisition targets to shore up overseas sales of value-added products. US-based Aleris and Constellium, a Dutch maker of aluminium products, were reportedly on the radar. The owners of Aleris—Oaktree Capital Group and Apollo Global Management—were on the verge of selling the company to Zhongwang, China’s largest aluminium maker but the deal collapsed at the last minute because of national security concerns raised by American authorities."
33,2018-07-27,Hindalco,"The consideration of $2.58 billion to buy Aleris is what would worry investors most, as Hindalco's net debt is likely to increase by about 40%

How should investors view the gigantic investment made by Hindalco Industries Ltd to acquire Aleris Corp., through its subsidiary Novelis Inc.? 
How should investors view the gigantic investment made by Hindalco Industries Ltd to acquire Aleris Corp., through its subsidiary Novelis Inc.?
Nervousness is already visible in Hindalco’s share price, which has fallen by 6% since news emerged that the deal was close to being concluded. The consideration of $2.58 billion to buy Aleris is what would worry investors most, as Hindalco’s net debt is likely to increase by about 40%.
While that is significant, the deal also values Aleris at an enterprise value (EV)/Ebitda (earnings before interest, tax, depreciation and amortization) of 12.8 times. That’s high when you consider that Hindalco itself trades at a valuation of 5.7 times. Then there is also the question of Aleris’s relative underperformance. It earned an adjusted Ebitda of $250/tonne in calendar 2017 compared to Novelis’s $381/tonne in FY18. 
While the gap is significant, bridging it is where Hindalco sees the opportunity, and possibly explains the valuation as well. For instance, the company expects that when it will complete the acquisition, the $202 million Ebitda figure will actually increase to $360 million. If achieved, the deal’s EV/Ebitda reduces to a more reasonable 7.2 times.
Why will the Ebitda increase that much? There were some outages in Aleris’s current operations which affected profits. This will get added back. Then, new capacity is expected to ramp up and also contribute. After all, the consideration factors new investments made by Aleris of about $900 million. The combined entity also expects to earn $150 million in savings across its global operations in three-five years.
In the aluminium rolled products business, capacity addition is a continuous process tied to your customers’ plans. For instance, as an automobile company charts out its expansion, suppliers such as Novelis and Aleris also invest accordingly. That’s the only way to grow. Novelis had also planned its own investments for growth.
Why acquire Aleris then? Size is one. Aleris adds one million tonnes of processing capacity to Novelis’s, increasing its capacity by a third. It brings new segments into Novelis’s fold, especially in a critical industry such as aerospace, but also in others such as building and construction, and trailer truck segments. The acquisition saves the time Novelis would have taken to create a presence in these segments by itself and then build scale. Also, since Aleris was in play to be acquired, Hindalco also protects its own market position to an extent by this acquisition.
The one difference between Hindalco in 2007 when it acquired Novelis and now is that it has hands-on experience in this field in those markets. While the years since that acquisition have been challenging, particularly due to the global financial crisis, it has turned around Novelis. In FY18, Novelis’s Ebitda was $1.2 billion compared to $867 million five years ago, and it generated free cash flow of $406 million, compared to a negative $16 million a year ago.
That should give investors the confidence that Hindalco can integrate Aleris well, and achieve the Ebitda target and projected cost savings. The main risk it faces is on the external front. The rolled products business is relatively insulated from the trade wars, since metal price is a pass-through (albeit with a lag).
But some global auto giants have already warned that their earnings may be affected by the tariffs. Other user industries of aluminium products may follow suit. If these industries cut back on output as a result of a less-rosy outlook, that can affect suppliers such as Novelis and Aleris.
This was a risk that Novelis faced even without Aleris. But it was well-placed to weather such shocks because its performance had improved significantly over the years. Now, it will become a little more vulnerable to such severe external shocks, at least till the time it brings Aleris’s performance on a par with itself. That’s what may worry Hindalco’s shareholders in the near term."
