,Date,Company,Article
670,,ICICI,
669,2018-01-02,ICICI,"ICICI Prudential Life and Max Financial Services are the top bets in the listed insurance space, making a case for private firms and strong prospects for the life insurance industry

Mumbai: ICICI Prudential Life Insurance Co. Ltd and Max Financial Services Ltd are the top bets in the listed insurance space, making a case for private firms and strong prospects for the life insurance industry. 
Mumbai: ICICI Prudential Life Insurance Co. Ltd and Max Financial Services Ltd are the top bets in the listed insurance space, making a case for private firms and strong prospects for the life insurance industry.
ICICI Prudential Life, which is tracked by 16 analysts, had 14 of them rating it a buy or outperform, while two gave it hold ratings, data from Bloomberg showed.
“There are not too many attractive options in general insurance space. Underpenetration in the life insurance sector is higher than general insurance, indicating that there are stronger prospects of growth in the former,"" said Vishal Rampuria, research analyst at HDFC Securities Ltd.
“India’s Life Insurance sector is poised for strong growth, driven in part by the financialisation of savings post demonetisation,"" he added.
The tide seems to be in favour of private life insurers, data showed.
In a note on 12 December, JM Financial Institutional Securities Ltd pointed out that private insurers’ average premium equivalent (APE) market share increased to 51.2% in November driven by strong APE growth of 30% over a year ago, compared with industry growth of 24%. 
This has come in addition to the higher base in November 2016 on account of demonetisation.
IIFL initiated coverage on ICICI Prudential Life with a buy rating on 21 September, with a 12-month target price of Rs480.
ICICI Prudential Life stock has delivered relatively moderate gains since its listing in September 2016. It saw a weak listing, adding 14.67% from the offer price.
“IPru Life is well positioned to capture growth opportunities arising from the buoyant equity markets, given its predominant positioning as seller of unit-linked products (Ulips),"" IIFL said in the note.
“A well-established franchise, upbeat growth outlook, improving profitability metrics, and a strong capital position place IPru Life favourably among private sector life insurers,"" IIFL had said in September.
Also, Max Financial Services, the holding company of Max Life Insurance Co. Ltd, has 11 buy or outperform ratings, and one hold rating. 
In a note on 28 December, HDFC Securities initiated coverage on Max Financial with a buy rating, saying it has a well-balanced product mix with a focus on longer duration products, and it benefits from exclusive bancassurance tie-ups with Axis Bank Ltd and Yes Bank Ltd. 
On the other hand, all the seven analysts tracking SBI Life Insurance Co. Ltd and all the four brokerages tracking HDFC Standard Life Insurance Co. Ltd have a buy or outperform rating on the respective stocks.
Axis Securities initiated coverage on SBI Life with a buy rating on 7 December, citing the company had an unparalleled distribution network, leadership in new business premium (NBP) among private insurers, strong management team and top quartile service ratios.
On 20 December, Morgan Stanley started coverage on HDFC Standard Life with an “outperform"" rating, despite high valuations.
“While near-term upside appears limited following strong share price performance since HDFC Life’s listing on Nov 17, 2017 ( around 13% upside relative to our Rs425 price target), our positive rating is driven by HDFC Life’s superior franchise and high focus on protection,"" Morgan Stanley analysts added.
HDFC Standard Life shares debuted at a 18.71% premium—the most among listed insurers, and are currently 34.41% higher than the issue price, at Rs389.80 a share."
668,2018-01-10,ICICI,"ICICI Bank moves NCLT against Essar Power Jharkhand for recovery of a default amount of over Rs3,068 crore as on 15 December 2017

New Delhi: ICICI Bank on Tuesday moved the National Company Law Tribunal (NCLT) against Essar Power Jharkhand Ltd for recovery of a default amount of over Rs3,068 crore as of 15 December 2017.  
New Delhi: ICICI Bank on Tuesday moved the National Company Law Tribunal (NCLT) against Essar Power Jharkhand Ltd for recovery of a default amount of over Rs3,068 crore as of 15 December 2017. 
The bank had dispersed a principal amount of Rs3,033 crore as loan to Essar Power Jharkhand and a notice for recovery was served on 1 August 2016. A bench comprising Chief Justice M.M. Kumar and justice S.K. Mohapatra issued a notice to Essar Power Jharkhand in the matter. 
“Essar Power Jharkhand Ltd is the only incomplete project in Essar Power Ltd’s portfolio, and was setting up a 1,200 MW thermal power project in Jharkhand state. The Company has achieved 43% completion of the project. The entire equity committed by the promoters has been brought in. The project has not progressed thereafter since the Honourable Supreme Court cancelled the two coal blocks linked to the project in September 2014, and the Lenders stopped all debt disbursement because of this development,"" an Essar spokesperson said. 
In another proceeding, SBI filed an insolvency application against Shakti Bhog Foods Ltd for recovery of a default amount of Rs2,045 crore. Shakti Bhog features in the Reserve Bank of India’s second defaulter list of August 2017. 
Both the matters are listed for hearing on 16 January."
665,2018-01-12,ICICI,"The admission comes days after Quickheal had warned lenders of the presence of a malware in the mobile banking apps running on the popular operating system, Android

Mumbai: Days after a cyber security firm warned of a malware breaching into mobile applications, ICICI Bank on Friday said there is no “significant"" threat from it to its customers.  
Mumbai: Days after a cyber security firm warned of a malware breaching into mobile applications, ICICI Bank on Friday said there is no “significant"" threat from it to its customers. 
“Whatever we have seen, the malware seems to be not very significant,"" bank’s chief technology and digital officer B. Madhivanan told reporters over a conference call. Quickheal, a Pune-based cyber security firm, had warned lenders of the presence of a malware in the mobile banking apps running on the popular operating system, Android.
“Anyone who wants to sell their anti-malware kind of products, they have the right to continuously test and bring it in,"" Madhivanan said, retorting to the warning from the anti-virus maker last week. According to media reports, Quickheal had spotted a malware that imitates over 200 apps, including some offered by some of the domestic banks.
The malware is distributed through a fake flash player app and can ultimately trick the user into sharing his/her login details and password for any of the 232 applications, if they are present on the device. The cyber security firm asked users not to download any apps from third-party stores or links provided in SMSes/emails to keep their credentials safe, according to media reports. 
“There is always somebody or the other who is trying to attack, and that’s how this entire world of cyber criminals works. But given the multilevel securities that we have put in place, we believe we are extremely capable of defending it within our entire financial structure,"" Madhivanan said. 
He asserted that in its ten-year history, the bank’s mobile banking, which was the first such application to be launched by any bank, has not “had even one single incident of a technical breach"" which harmed customers. The incidents which have been faced are due to “social re-engineering"", rather than “technical"" faults, he claimed. 
“Our bigger worry has never been on the technical security part. It’s always been on social engineering fraud, where customers are giving away some of this data where they are cheated by someone masquerading as an Aadhaar person or a telecom person,"" he said. 
To check and avoid any mishaps, the bank has a strong security architecture which consists of a chief security officer, two network operation centres and a security operation centre, he said. The bank has 8 million customers using its mobile app, which is growing fast, he said, adding mobile transactions now account for half of its overall digital transactions and will soon be overtaking Internet banking.
“Growth of mobile transactions is much faster than the incremental transactions through the Internet. We expect mobile transactions to overtake it and become the new standard when it comes to banking transaction,"" he said. In FY17, it handled Rs2.4 trillion worth of transactions through mobile banking, which hit Rs3.1 trillion by October 2017, he said."
667,2018-01-12,ICICI,"IRDA should have applied the principles of proportionality before resorting to such extreme measures of transfer, merger or winding up of an insurance business altogether

Mumbai: The Securities Appellate Tribunal (SAT) on Thursday set aside an order by the Insurance Regulatory Development Authority (IRDA) asking Sahara Life Insurance to transfer its life insurance business to ICICI Prudential Life Insurance Co. Ltd. 
Mumbai: The Securities Appellate Tribunal (SAT) on Thursday set aside an order by the Insurance Regulatory Development Authority (IRDA) asking Sahara Life Insurance to transfer its life insurance business to ICICI Prudential Life Insurance Co. Ltd.
The appellate court has asked the insurance regulator to hear the matter afresh and pass orders within three months. However, it upheld the appointment of an external administrator for Sahara Life. 
As per the IRDA Act, the regulator can appoint an administrator if it feels policyholders’ interests may be compromised. The administrator looks at the day-to-day affairs of the insurer and suggests a revival plan. 
In a first of its kind order on 28 July, IRDA had directed the transfer of Sahara’s insurance business. Following this, Sahara had filed an appeal in SAT saying that “the unilateral and drastic action (of) IRDA(is) in gross violation of the principles of natural justice and the various provisions of the Insurance Act"". 
According to the tribunal, the insurance regulator should have applied the principles of proportionality before resorting to such extreme measures of transfer, merger or winding up of an insurance business altogether. “The action must commensurate with the nature of the violation in a given case,"" SAT said in its order.
SAT also directed that the regulator place the administrator’s recommendations before Sahara and IRDA give the firm an opportunity to examine and respond to the proposals. In the order, SAT held that the appointment of an administrator is more in the nature of an administrative order.
“Appointment of an administrator is purely a temporary measure by the IRDA, primarily to bring the affairs of the insurer back on the right track and thereby protect the interests of the policyholders,"" said SAT. 
In an emailed statement, Sahara said, “Sahara Life Insurance got a major respite and its stand was vindicated by SAT, when it remanded and restored the whole matter to the file of the IRDA with a direction to proceed from the stage of seeking a representation/response from Sahara Life."" 
Somasekhar Sundaresan, the lawyer representing IRDA, said that regulator was examining the order.
 “We are studying the order and will decide the next course of action. The Tribunal has upheld the control over the business in the hands of the administrator but has said we must give another hearing. A view will be taken on larger policy issues since for IRDA, this is not just a situation in one case but a stand that will have implications in all future cases,"" said Sundaresan."
666,2018-01-12,ICICI,"BSE Sensex closed higher by 88.90 points to 34,592.39, while the Nifty 50 rose 30.05 points to close at 10,681.25. Here are the latest updates

MUMBAI :
Mumbai: Benchmark indices closed at record highs on Friday on robust buying by domestic investors and positive corporate earnings outlook. The BSE Sensex hit a fresh lifetime high of 34,638.42 in the early trade before settling 88.90 points, or 0.26%, higher at 34,592.39. The broader Nifty, after scaling an all-time intraday high of 10,690.40 points, ended at 10,681.25, up 30.05 points, or 0.28%. For the week, the 30-share index gained 438.54 points, or 1.28%, while the Nifty 50 rose 122.40 points, or 1.15%. The benchmark indices posted the sixth straight weekly gain.
BSE Sensex closed higher by 88.90 points, or 0.26%, to 34,592.39, while the Nifty 50 rose 30.05 points, or 0.28%, to close at 10,681.25.
BSE Sensex traded higher by 75.44 points, or 0.22%, to 34,578.93, while the Nifty 50 rose 22.65 points, or 0.21%, to 10,679.85.
India’s National Company Law Tribunal has ordered liquidation of Gujarat NRE Coke Ltd after the company’s debt resolution plans failed. The Kolkata bench of the NCLT, the designated court for bankruptcy cases, on Thursday passed the order, which was filed with the stock exchanges on Friday.
The French and German stock markets marched higher in opening deals on Friday, but London flatlined ahead of the weekend. In the eurozone, the Paris benchmark CAC 40 index rose 0.3% to 5,502.63 points and Frankfurt’s DAX 30 also gained 0.3% to stand at 13,241.28. London’s FTSE 100 was almost unchanged at 7,765.21 points.
The Indian rupee on Friday erased all the morning gains and was trading weaker against US dollar as local markets fell after four Supreme Court judges said working of top court not in order. The home currency was trading at 63.70 a dollar, down 0.09% from its Thursday’s close of 63.67. The rupee opened at 63.67 a dollar and touched a high and a low of 63.48 and 63.72, respectively.
BSE Sensex traded lower by 5.66 points, or 0.02%, to 34,497.83, while the Nifty 50 edged up 1.55 points, or 0.01%, to 10,652.75.
Jayaswal Neco Industries Ltd said that the company has filed a writ petition with the Bombay High Court for issuance of order for implementation of debt restructuring scheme. Shares rose 0.33% to Rs12.20.
Bharat Heavy Electricals Ltd said it has commissioned a 250MW thermal power unit in Bihar. Shares traded 0.63% lower at Rs102.60.
Tata Steel Ltd reported its third-quarter India production of 3.26 million tonnes versus 3.16 million tonnes last year. The company’s Europe steel production stood at 2.67 million tonnes. Third-quarter India sales were 3.30 million tonnes in the quarter. Shares traded 0.52% to Rs767.55.
BSE Sensex slumped 103.95 points, or 0.30%, to 34,399.54, while the Nifty 50 fell 26 points, or 0.24%, to 10,625.20.
BSE Sensex traded higher by 31.50 points, or 0.09%, to 34,534.99, while the Nifty 50 rose 8.10 points, or 0.08%, to 10,659.30.
IVRCL Ltd rose 5% to Rs6.45 after State Bank of India has initiated corporate insolvency proceedings against IVRCL Ltd. In a regulatory filing made with the BSE, the Hyderabad-based infrastructure company has informed that the provisions of Insolvency and Bankruptcy Code 2016 (IBC) have been invoked by the lender.
Bitcoin was trading at $13,019 as of 8:24am Hong Kong time, putting it on track for a 22% slide this week, the deepest since January 2015.#Bitcoin set for worst weekly slide since 2015 as scrutiny riseshttps://t.co/MtDqMUAbLp— Livemint (@livemint) January 12, 2018
#Bitcoin set for worst weekly slide since 2015 as scrutiny riseshttps://t.co/MtDqMUAbLp
TVS Motors Co. Ltd fell 1.5% to Rs742 after brokerage firm CITI initiated sell on the stock for target price of Rs700.
Tata Teleservices Maharashtra Ltd rose 5% to Rs7.27 after ET reported that Tatas repay Rs17,000 crore of Tata Tele debt.
MAS Financial Services Ltd rose 4% to Rs649 after Motilal Oswal Securities initiated coverage on the stock with a buy rating and kept a target price of Rs740 a share.
KEI Industries Ltd rose 11% to Rs409.70 after brokerage firm Motilal Oswal initiated coverage on the stock with a buy rating and kept a target price of Rs537 a share, up 44% from its Thursday’s close price.
Dredging Corp. of India rose 4% to Rs856 after the company said it got an order worth Rs88.50 crore for dredging of channels and basins at Cochin port.
BSE Sensex traded higher by 103.71 points, or 0.30%, to 34,607.20, while the Nifty 50 rose 30.70 points, or 0.29%, to 10,681.90.
Amtek Group stocks trading higher after The Economic Times reported that the UK-based metals group Liberty House and American hedge fund Deccan Value Investors have come up as top contenders for auto component maker Amtek Auto. Amtek Auto Ltd rose 5%, Castex Technologies Ltd 5%, Metalyst Forgings Ltd 5%.
Indianbulls Real Estate rose 3% to Rs261 after the company said its arm Yashita Buildcon entered into a binding and definitive agreement to acquire a prime and newly constructed commercial building, having leasable area of approx 2.5 lakh sq ft in Gurugram.
Dish TV India Ltd fell 5% to Rs80.05, while Videocon Industries Ltd fell 4% to Rs23.15 after Mint reported that direct-to-home operator Dish TV on Thursday pointed to the ongoing insolvency proceedings against Videocon group in the context of the delay in its planned merger with Videocon d2h.
Tata Consultancy Services Ltd fell 1.1% to Rs2762 after the company reported weaker-than-expected earnings in its banking, financial services and insurance segment. Revenues accruing from these industries fell 1.5% sequentially and were flat year-on-year. Its year-on-year revenue growth fell to just 6.2% in the December 2017 quarter, its lowest in more than three years. Growth has been sluggish for a while now, and the last quarter was little different, except that some growth in some segments picked up.
Infosys Ltd inched up 0.01% to Rs1,075.75 ahead of its December quarter earnings due later today. According to 18 Bloomberg analysts estimates, the company may post a profit of Rs3601.60 crore on revenues of Rs17,836.90 crore.
Reliance Industries Ltd rose 1% to Rs944 after Mint reported that Reliance Jio Infocomm Ltd plans to create its own cyptocurrency, JioCoin.
The Indian rupee strengthened marginally against US dollar in opening trade. The rupee opened at 63.67 a dollar, and was trading at 63.59 a dollar, up 0.18% from its Thursday’s close of 63.67. The 10-year bond yield was at 7.265% compared to its previous close of 7.264%.
BSE Sensex traded higher by 87.40 points, or 0.25%, to 34,590.89, while the Nifty 50 rose 27.90 points, or 0.26%, to 10,679.10."
664,2018-01-16,ICICI,"ICICI Lombard's profit after tax (PAT) in the December quarter increased by 5% to Rs232 crore as compared with a PAT of Rs220.30 crore last fiscal

New Delhi:ICICI Lombard General Insurance on Monday reported a 5.20% increase in profit after tax (PAT) at Rs231.76 crore for the quarter ended 31 December 2017.  
New Delhi:ICICI Lombard General Insurance on Monday reported a 5.20% increase in profit after tax (PAT) at Rs231.76 crore for the quarter ended 31 December 2017. 
A subsidiary of ICICI Bank, the general insurance firm had earned a PAT of Rs220.30 crore in the same quarter of the previous fiscal. Total income rose to Rs2,019.77 crore from Rs1,842.93 crore in the year-ago period, ICICI Lombard said in a BSE filing. This is the second quarterly result of the company after going public in September last year. 
During the quarter, the company reported provision of tax of Rs90.59 crore as against Rs5.44 crore in the year-ago period. The results for third quarter and nine-month period ended December 2016 were impacted due to effect of excess tax provision written back of earlier years. 
During the quarter, the company’s gross premium written rose to Rs3,001.53 crore as compared to Rs2,542.32 crore in the year-ago period. Also, the solvency ratio improved to 2.21 times as against 2.01 times in December, 2016. The regulatory requirement is 1.50 times. 
Shares of ICICI Lombard were trading 3.46% higher at Rs809.65 per scrip on BSE."
663,2018-01-17,ICICI,"ICICI Lombard reported a modest 5% rise in its net profit to Rs231.76 crore for the quarter to December but the key highlight was the sharp drop in expense ratios

Investors of insurance company stocks love falling expenses as that is the only way an insurer will make quick profits given its long-term nature.  
Investors of insurance company stocks love falling expenses as that is the only way an insurer will make quick profits given its long-term nature. 
ICICI Lombard General Insurance Co. Ltd delivered just that in the third quarter (Q3) results and a 3.8% gain in the stock on Tuesday should occasion no surprise.
The company reported a modest 5% rise in its net profit to Rs231.76 crore for the quarter ended December but the key highlight was the sharp drop in expense ratios. Management expenses as a percentage of gross direct premium income fell to 23.5% from 25.9% because the insurer managed to keep a lid on its commissions to agents as well as other operating expenses. Total expenses, however, rose marginally by 7% for the nine-month period ended December 2017. 
The result was an improvement in the combined ratio—a gauge of incurred losses and expenses as a percentage of premiums earned—to 96% from 106.6% a year ago. For the entire nine months ended December, the combined ratio improved to 100.4% from 106.2%.
This means that ICICI Lombard made an operating profit in Q3 through its underwriting business. The company’s loss ratio also improved to 76.3% from 79.8%.
The big question is whether this would sustain going forward. The insurer’s management is also not confident of maintaining the current ratios, although chief financial officer Gopal Balachandran did say that the endeavour would be to not let the ratios deteriorate from here.
Interestingly, brokerage firm Macquarie just a week ago had flagged concerns and rated the stock an “underperform."" Macquarie is worried that there is too much lag between expenses incurred on insurance business and premiums collected, which indicates that the general insurer will struggle to keep its operating profit intact. Further, the grossly under-penetrated general insurance market is too enticing to ignore and the competition is heating up.
The brokerage firm’s concerns are certainly not misplaced. ICICI Lombard’s gross direct premium income grew 17% in the nine months ended December and this would increase if the insurer is serious about expanding its market share, currently about 8%. Growth in business will bring losses upfront to the company. That means the underwriting profit or operating profit would likely peter out.
The ICICI Lombard stock trades at a rich premium of 6.4 times its estimated book value for fiscal year 2020. Considering the headwinds of competition and possible rise in expenses, the valuation looks unsustainable."
662,2018-01-22,ICICI,"ICICI Bank chief Chanda Kochhar says India's full fiscal GDP growth for 2017-18 should also be in excess of 6.5%

Davos: The Indian economy is seeing broad-based improvement across all sectors and should clock 7% growth in the second half of the current fiscal, top banker Chanda Kochhar said on Monday. 
Davos: The Indian economy is seeing broad-based improvement across all sectors and should clock 7% growth in the second half of the current fiscal, top banker Chanda Kochhar said on Monday.
In Davos to participate in the World Economic Forum’s (WEF) annual meeting, to be addressed by Prime Minister Narendra Modi and other world leaders, the ICICI Bank chief said the full fiscal GDP growth for 2017-18 should also be in excess of 6.5%. 
Asked about her message to the world at Davos, Kochhar told PTI in an interview that things are turning around very clearly and there are broad improvements across several sectors. Brushing aside any concerns about slowing growth rate, she said the CSO has estimated 6.5% GDP growth and 6.1% gross value add (GVA) growth in the current financial year ending 31 March.
“Given that GDP growth in the first half was 6 per cent, this estimate already indicates a robust positive momentum in growth to 7 per cent in the second half of the (financial) year. High frequency indicators are already showing signs of improvement,"" she said. “For consumption related areas, a favourable trend is visible in IIP data on consumer non-durables, personal loan growth, domestic passenger traffic, automobile sales and two wheeler sales,"" she added. 
On the industrial front, manufacturing PMI, credit to industry and manufacturing sector IIP have shown marked improvement in recent months, Kochhar said. On the external front, trade growth is higher compared to last year and India’s forex reserves build-up now provides a robust import cover for over 12 months, she said. “We are even more optimistic and expect growth to be higher than 6.5 per cent in 2017-18. This will be supported by renewed build-up of supply chains, improved consumption demand and better export performance. We expect growth on GVA basis to be at 6.4 per cent which is higher than what the CSO currently expects,"" she said. 
On India’s message to Davos leaders, Kochhar said, “We can confidently say that growth is expected to pick up from here on"". The eminent banker also said that in the last four years, India has taken a comprehensive approach and worked on multiple fronts, including economic, social and institutional reforms that will yield dividends in the long run and ensure a sustainable high growth path.
Further, reforms have accelerated the process of formalisation of the economy and India is transforming and is in a strong position to become the fastest growing large economy in the world, she added. PTI"
661,2018-01-25,ICICI,"ICICI Lombard and Practo have collaborated to launch IL Take Care healthcare app that lets users book medical appointments, view reports and manage personal health data

New Delhi: ICICI Lombard General Insurance on Wednesday announced a partnership with healthcare platform Practo to offer out-patient insurance products. 
New Delhi: ICICI Lombard General Insurance on Wednesday announced a partnership with healthcare platform Practo to offer out-patient insurance products.
The two have collaborated to launch a healthcare app, IL Take Care, that lets users book medical appointments, order medicines, view reports and manage personal health data.
The app leverages Practo’s network of doctors, profiles of its hundreds of thousands of users and an infrastructure created by Practo to manage exchange of information like prescriptions and bills. 
Using that to power its app, ICICI Lombard plans to offer a slew of out-patient health insurances products to users.
“This one-of-its-kind solution covers outpatient (OPD) expenses of all its customers,"" the two companies said in a joint statement.
Out-patient insurance, also called OPD insurance, where insurers pay claims for doctor appointments and medicines—essentially “out-of-hospital"" claims—is fairly popular in developed countries but is offered, with limited scope, by only a handful of Indian insurance companies. 
The key hurdle is the lack of authentic digital records of patients, their health history and a digitized infrastructure for prescriptions and medical bills. 
“The app meets key customer requirements with respect to their primary healthcare needs. This includes hassle-free, real-time claim authentication of expenses such as doctor consultation, medical tests, pharmacy spends etc. It also empowers the user to access a cashless network comprising of specialized doctors. The app thus addresses a key problem of customers wherein they were hitherto required to pay for OPD expenses from their own pocket,"" the statement said. 
Patients insured under relevant policies from ICICI Lombard taking the service from a doctor or a medical establishment empanelled with the platform will be able to make use of this solution.
Practo, which started out as a medical appointment booking app in 2008, has thousands of doctors and clinics who use its software and patients who use the consumer-facing app. 
The Bengaluru-based company has built a platform on top of that infrastructure, calling it Practo Trinity, and is pitching it to insurance companies."
