,Date,Company,Article
80,,IOC,
79,2018-01-22,IOC,"Indian Oil Corp. has laid out an eight-fold leadership competency framework, specifying the kind of competencies that it values and seeks in its leaders

State-owned refiner Indian Oil Corp. Ltd (IOC), which operates 11 of India’s 23 refineries, is among the largest employers in the country with over 33,000 employees and serves consumers across the country with an elaborate ecosystem of dealers, distributors and transporters, making people at the core of its assets. 
State-owned refiner Indian Oil Corp. Ltd (IOC), which operates 11 of India’s 23 refineries, is among the largest employers in the country with over 33,000 employees and serves consumers across the country with an elaborate ecosystem of dealers, distributors and transporters, making people at the core of its assets.
That makes ensuring their safety at refineries, upgrade of skill, motivation and rewarding a core function for the country’s largest refiner. The complexity of operations, including supply of fuel at remote areas and during natural calamities, operation of a complex network of road and pipeline transportation infrastructure, massive capacity expansion projects and diversification into new businesses in allied sectors which have a public policy dimension such as revamping sick fertilizer companies make management of workforce a key task for the oil giant. 
Deployment of workforce at optimum efficiency becomes a key guiding principle in the refinery business which thrives on very low margins and massive volumes.
Chairman Sanjiv Singh, who took over the leadership of the company on 1 June 2017, highlighted the importance of having a positive work environment in his first message to shareholders, saying it was key to make IOC future-ready at a time energy sector’s future is facing disruptive trends.
“With a workforce encompassing varied age groups and expertise, IOC represents a perfect blend of youth and experience. This creates an environment highly conducive to innovative ideas, technologies, high-quality products and services, and safe and efficient operations while enhancing stakeholder value on a sustained basis,"" said Singh. 
The company has laid out an eight-fold leadership competency framework, specifying the kind of competencies that the organisation values and which it seeks in its leaders and budding leaders. To groom leaders, IOC introduced the project “Saksham"" in 2015 with the help of leading business schools in the country. The programme is constantly being revised to expand its scope. According to a company official, who asked not to be named, IOC believes in developing leaders from within. The idea is to offer a rewarding career to those joining the company, not merely employment.
IOC is taking the lead in India’s shift to a more environment friendly mix of fuels while ensuring energy security through affordable conventional fuels. In a recent interview, Singh said that IOC was making a strategic shift to a less carbon-intensive future by getting into clean energy and related infrastructure, while keeping refinery expansion plans flexible for course correction.
Most of the townships located at its refinery locations are self-sufficient with all amenities including medical facilities, schools and recreation centres as per information given by the company in its annual report for 2016-17. IOC seeks to ensure that takes meticulous care in taking affirmative action in empowering those with disabilities."
78,2018-02-03,IOC,"Indian Oil Corporation will invest Rs3,400 crore in Assam over the next five years to expand its operations by setting up new units as well as upgrading the existing ones, a senior IOC official said

Guwahati: Indian Oil Corporation will invest Rs3,400 crore in Assam over the next five years to expand its operations by setting up new units as well as upgrading the existing ones, a senior IOC official said on Saturday. 
Guwahati: Indian Oil Corporation will invest Rs3,400 crore in Assam over the next five years to expand its operations by setting up new units as well as upgrading the existing ones, a senior IOC official said on Saturday.
The company will sign a Memorandum of Understanding (MoU) with the Assam Government to this effect at the two-day ‘Advantage Assam - Global Investors Summit 2018’, beginning here today, the official said.
“We are signing an MoU with the state government that will empower us to invest Rs3,400 crore in Assam over the next five years. This will be for various projects across the state,"" Indian Oil Corporation, executive director (IndianOil-AOD), Dipankar Ray told PTI at the Summit.
The company’s Board has already approved the funding and it may increase in future depending upon the progress of the work, he said.
“The major chunk of this will go for expansion of our refinery capacities. We are going to add new units and also upgrade the existing ones to improve the fuel quality and BS-VI compliant fuel will be required as per norms,"" Ray said.
The company will also enhance the capacities of its LPG bottling plants at North Guwahati, Silchar and Mirza, he added.
“The petroleum storage capacities are also being enhanced at various places like Barak valley and Digboi. In Barak valley, we are setting up a new depot, which will be well-connected by rail network and will have provision for pipeline connectivity as well,"" Ray informed.
Besides, IOC’s existing depots at Betkuchi in Guwahati, Lumding and Missamari will see capacity expansion under this project, he added.
“Some projects under this MoU have already started, while some will begin soon. These projects will also help create jobs, mostly in contract through indirect route,"" Ray said."
77,2018-03-31,IOC,"Indian Oil Corp (IOC) says it plans to invest about Rs1.43 trillion to nearly double its oil refining capacity to 150 million tonnes and boost petrochemical production by 2030

New Delhi: India’s biggest oil firm IOC on Saturday said it plans to invest about Rs1.43 trillion to nearly double its oil refining capacity to 150 million tonnes and boost petrochemical production by 2030. 
New Delhi: India’s biggest oil firm IOC on Saturday said it plans to invest about Rs1.43 trillion to nearly double its oil refining capacity to 150 million tonnes and boost petrochemical production by 2030.
While Indian Oil Corp (IOC) is expanding refining capacity to meet fuel demand, which is expected to nearly double by 2040, it does not want to remain “a refining company alone and is thus venturing into petrochemicals and alternative fuels as well,"" company’s director (Refineries) B.V. Rama Gopal told reporters in New Delhi.
The company currently owns and operates 11 out of the country’s 23 refineries. Its refineries have a total capacity of 80.7 million tonnes per annum.
IOC is investing Rs16,628 crore in upgrading its refineries to produce Euro-VI emission norm compliant petrol and diesel as against Euro-IV fuel being produced now. This investment cycle would be completed by 2020, he said.
Besides, the company is investing Rs15,600 crore in expansion of petrochemical projects and another Rs74,600 crore in raising the capacity of its existing refineries.
He said another Rs36,500 crore worth of projects are in pipeline but haven’t been approved by the company board as yet. These include expansion of its recently-commissioned 15-MTPA Paradip refinery in Odisha to 18 MTPA as also the expansion of Bongaigaon unit.
India’s current refining capacity of 247.6 MTPA exceeds consumption but with demand growing at a compounded annual growth rate of 3.5-4%, it will need to add more capacity to meet the rising fuel needs.
While the Energy Information Agency of US projects India’s demand to reach 434 MT by 2040 from 194 MT currently, IEA puts the number between 450 and 492 MT. IOC plans to raise the capacity of its Panipat refinery in Haryana to 25 MTPA from current 15 MTPA, while Koyali refinery in Gujarat would be expanded to 18 MTPA from 13.7 MTPA.
While 3 MT will be added in IOC’s Barauni refinery in Bihar, a 1.2-MTPA capacity addition is planned for Uttar Pradesh’s Mathura refinery to take its capacity to 9.2 MTPA.
The official said IOC is also looking at adding a 9 MTPA capacity to its subsidiary Chennai Petroleum (CPCL). He said IOC, BPCL, and HPCL are together setting up a new 60 MPTA refinery on the west coast in Maharashtra.
Talking of growth drivers, he said IOC is setting up a new unit at its Panipat refinery to manufacture ethanol from refinery off-gases. Ethanol so produced will be used for blending in petrol. India is targeting blending of up to 10% ethanol in petrol to cut reliance on imports to meet oil needs. Also, a plant to convert agri-stubble into ethanol is being set up.
On alternate energy plans, he said the company plans to take solar power generation capacity to 260 MW by 2020 from current 188 MW."
76,2018-04-27,IOC,"Indian Oil Corp said its board has approved to set up a Rs4,221 crore Fluid Catalytic Cracking Unit at Paradip in Odisha

New Delhi: State-owned Indian Oil Corp (IOC) on Friday said its board has approved a Rs4,221 crore project to set up a petrochem project at Paradip in Odisha. 
New Delhi: State-owned Indian Oil Corp (IOC) on Friday said its board has approved a Rs4,221 crore project to set up a petrochem project at Paradip in Odisha.
The board, at its meeting yesterday, “accorded approval for implementation of 357 kilo tons per annum Ethylene Glycol Project alongwith associated facilities at Paradip based on off-gas of the Fluid Catalytic Cracking Unit at an estimated cost of  ₹ 4,221 crore,"" the company said in a regulatory filing.
IOC would use by-products generated from refining crude oil at its 15 million tonnes a year refinery at Paradip to manufacture Ethylene Glycol.
In the plastics industry, ethylene glycol is important precursor to polyester fibres and resins. Polyethylene terephthalate, used to make plastic bottles for soft drinks, is prepared from ethylene glycol.
IOC said the major application of Ethylene Glycol is in manufacture of polyester fibre, bottle grade chips and polyester grade chips.
“The project would help in meeting the growing domestic demand of Ethylene Glycol in the country,"" it said."
75,2018-05-11,IOC,"State-refiner Indian Oil Corp. (IOC) has bought 3 million barrels of US crude for loading in June as the arbitrage for American oil to Asia has opened

New Delhi/Singapore: State-refiner Indian Oil Corp. Ltd (IOC) has bought 3 million barrels of US crude for loading in June as the arbitrage for American oil to Asia has opened, a senior source privy to the deal said. 
New Delhi/Singapore: State-refiner Indian Oil Corp. Ltd (IOC) has bought 3 million barrels of US crude for loading in June as the arbitrage for American oil to Asia has opened, a senior source privy to the deal said.
IOC, the country’s top refiner, has bought 2 million barrels of Louisiana Light Sweet crude and a million barrels of WTI Midland through tender for arrival in July, said the source. The source did not wish to be identified due to the sensitivity of the matter.
The source said US crude competed with other middle eastern and African grades in an open tender. The source declined to reveal the prices and identity of the seller.
However, trade sources said Chinaoil sold the WTI Midland cargo while Trafigura sold the LLS crude.
Rising production and supplies from US have stretched the discount between US crude futures to Brent to $6 a barrel, making arbitrage economics feasible for India to import US crude, they said.
Separately, IOC has also bought 1 million barrels of Banoco Arab Medium crude in another tender from Shell, the sources said."
74,2018-05-30,IOC,"Oilex says it will take over Gujarat State Petroleum Corp's share in the Cambay basin block if the Indian explorer fails to pay its dues to meet exploration commitments

Mumbai: Australia-based Oilex Ltd has warned Gujarat State Petroleum Corporation Ltd (GSPC) that it will take over its share in the Cambay basin block in Gujarat if the Indian explorer fails to pay its dues to meet exploration commitments in the block.  
Mumbai: Australia-based Oilex Ltd has warned Gujarat State Petroleum Corporation Ltd (GSPC) that it will take over its share in the Cambay basin block in Gujarat if the Indian explorer fails to pay its dues to meet exploration commitments in the block. 
In a statement issued on its website, Oilex said that if GSPC does not settle the outstanding amount within 60 days, the company may issue a notice whereby GSPC shall be immediately deemed to have transferred all its participating interest in the production sharing contract (PSC) to Oilex. GSPC owes US $3,054,832 or around Rs20 crore to Oilex. 
GSPC, the exploration and production arm of the GSPC group, holds 55% stake in the field while Oilex holds 45%.
“An increase in Oilex’s participating interest in Cambay from 45% to 100% would greatly assist the company in strategic farm-in discussions with third parties,"" said Oilex. 
The joint venture partners have been sparring over investments in the Cambay field with GSPC failing to meet its investment target for the field for over two years. GSPC did not reply to an email at press time. 
“Oilex remains committed to unlocking the significant resource potential at Cambay by achieving commercial gas flow rates in the EP-IV formation. The development of new oil and gas fields such as Cambay is essential to meeting the Government of India’s policy to reduce reliance on imports,"" said Oilex. 
Oilex has received several informal expressions of interest from parties to participate in the ongoing work programme, it said. 
“To ensure that the JV has met and continues to meet the obligations and expectations of the national government and its industry regulator, Oilex has borne the full cost of many activities including the recent work to prepare a field development plan and securing government approval of the proposal for a 10-year extension to the PSC,"" said Oilex. 
Oilex managing director, Joe Salomon said in a statement: “Securing government approval for the application for the extension of Cambay PSC has been a significant event for the company. The company has sought and will continue to seek constructive resolution of all matters that obstruct the development of Cambay.""
GSPC has been struggling to reduce its debt for over two years now. This March, the company decided to sell a 28.4% stake in Gujarat Gas Ltd, its city gas distribution business, to its subsidiary Gujarat State Petronet Ltd (GSPL).
With this transaction, GSPC reduced its Rs16,500 crore debt by over Rs3,250 crore. Both Gujarat Gas and GSPL are subsidiaries of GSPC.
GSPC has invested $3.5 billion (approximately Rs20,000 crore) in the Deen Dayal block in offshore Krishna Godavari (KG) basin, which saddled the company with debt.
Last year, state-run Oil and Natural Gas Corp. Ltd agreed to pay $1.2 billion to GSPC for the purchase of its 80% stake in Deen Dayal block."
73,2018-08-03,IOC,"Adani won rights to retail CNG to automobiles and piped cooking gas to households in six cities on its own and another five in joint venture with state-owned Indian Oil Corp

New Delhi: Billionaire Gautam Adani’s group on Friday emerged as the biggest winner of gas retailing licences, winning rights to sell CNG in 11 cities, including Allahabad.  
New Delhi: Billionaire Gautam Adani’s group on Friday emerged as the biggest winner of gas retailing licences, winning rights to sell CNG in 11 cities, including Allahabad. 
Adani won rights to retail CNG to automobiles and piped cooking gas to households in six cities on its own and another five in joint venture with state-owned Indian Oil Corp (IOC), according to results of 48 out of the 86 cities that were bid out in the country’s biggest city gas distribution (CGD) bid round. 
According to the Petroleum and Natural Gas Regulatory Board, IOC on its own won rights to four cities. Bharat Gas Resources Ltd, a unit of state-owned Bharat Petroleum Corp. Ltd (BPCL), won a licence for six cities, the same number for which Torrent Gas Pvt Ltd too made winning bids. State gas utility GAIL’s retailing arm, GAIL Gas managed rights for three cities. When the bid round closed last month, IOC, BPCL and Adani Gas Ltd were the top bidders. 
Of the 86 cities offered for retailing of CNG to automobiles and piped cooking gas to households in the 9th CGD bid round, IOC bid for 34 cities on its own and another 20 in partnership with Adani Gas Ltd. Adani Gas on its own bid for 32 cities. Bharat Gas Resources Ltd bid for as many as 53 cities while GAIL Gas Ltd put in offers for 34 cities. Gujarat-based Torrent Gas Pvt Ltd bid for 31 cities while Gujarat Gas Ltd put in offers for 21 areas. Petronet LNG Ltd, India’s largest liquefied natural gas (LNG) importer, sought to foray into CGD business by bidding for the licence in seven cities. Indraprastha Gas Ltd, which retails CNG in the national capital region, put in bids for 11 cities. 
According to PNGRB, Adani Gas won rights to Surendranagar, Barwala, Navsari, Kheda and Porbandar districts in Gujarat as well as Balasore in Odisha. Its joint venture with IOC, Indian Oil-Adani Gas Pvt Ltd won Kannur in Kerala, Gaya in Bihar, Bulandshahr, and Allahabad in Uttar Pradesh. 
IOC won Aurangabad in Bihar, Rewa in Madhya Pradesh and Jagtial in Telangana. In a statement, PNGRB said the 9th CGD Bidding Round was launched on 12 April for development of city gas networks for the 86 Geographical Areas (GAs) which includes 174 districts (156 complete and 18 part), spread over 22 states and Union territories (UTs) in India. 
“Based upon the bids evaluations PNGRB in its 79th Board meeting held on 3August, approved issue of Letters of Intent (LoI) to the 18 successful bidders for 48 GAs,"" it said. The regulator said bids for remaining GAs are being evaluated and outcome of the same will be announced shortly."
72,2018-08-08,IOC,"Indian Oil Corp will buy 6 million barrels of US crude oil for November to January delivery through a mini-term tender

New Delhi: Indian Oil Corp, the country’s top refiner, will buy 6 million barrels of US crude oil for November to January delivery through a mini-term tender, its head of finance said on Wednesday. 
New Delhi: Indian Oil Corp, the country’s top refiner, will buy 6 million barrels of US crude oil for November to January delivery through a mini-term tender, its head of finance said on Wednesday.
This was the company’s first mini-term tender to buy US oil, the executive, A.K. Sharma, said.
The company would buy 2 million barrels of Mars oil in November, a combination cargo containing 1 million barrels each of Eagle Ford and Mars in December and 2 million barrels of Louisiana Light Sweet in January, he said.
The first and second cargoes will be received at the ports of Vadinar and Mundra, while the third cargo will go to Paradip, he said.
He did not identify the sellers or the price."
71,2018-09-14,IOC,"Top refiner Indian Oil Corp wants to lift 6 million barrels each in September and October, while Mangalore Refinery and Petrochemicals would load 3 million barrels each for those two months

New Delhi: Indian refiners will cut their monthly crude loadings from Iran for September and October by nearly half from earlier this year as New Delhi works to win waivers on the oil export sanctions Washington plans to reimpose on Tehran in November. India’s loadings from Iran for this month and next will drop to less than 12 million barrels each, after purchases over April-August had been boosted in anticipation of the reductions. 
New Delhi: Indian refiners will cut their monthly crude loadings from Iran for September and October by nearly half from earlier this year as New Delhi works to win waivers on the oil export sanctions Washington plans to reimpose on Tehran in November. India’s loadings from Iran for this month and next will drop to less than 12 million barrels each, after purchases over April-August had been boosted in anticipation of the reductions.
The United States is renewing sanctions on Iran after withdrawing from a nuclear deal forged in 2015 between Tehran and world powers. Washington reimposed some of the financial sanctions from Aug. 6, while those affecting Iran’s petroleum sector will come into force from Nov. 4.
India, Iran’s No.2 oil client behind top buyer China, does not recognise the reimposed US sanctions, but winning a waiver from the restrictions is a must for New Delhi to protect its wider exposure to the U.S. financial system.
India’s oil ministry in June told refiners to prepare for a “drastic reduction or zero"" imports from Iran from November.
“Some refiners have either already exhausted or front-loaded their term contract to a large extent, which allows them the flexibility to go to zero if required, or until clarity on the waivers emerge,"" Amrita Sen, chief oil analyst at Energy Aspect, told Reuters.
Washington will consider waivers for Iranian oil buyers such as India but they must eventually halt crude imports from Tehran, U.S. Secretary of State Mike Pompeo said last week in New Delhi after a meeting of high level officials.
The Indian government, already facing a backlash over a falling rupee and record high fuel prices, does not want to halt the oil imports from Iran as the Islamic republic offers a discount on oil sales to India.
Government sources said India made this point clear in last week’s meetings with U.S. officials and remains engaged with Washington to work out waivers on its oil purchases from Iran.
“We have a special relationship with both the U.S. and with Iran, and we are seeing how to balance this all, and also to balance out the interest of the refiners and end-consumers,"" said one of the government officials.
But if Washington adopts a tough line, India would have no other choice than to end imports from Iran, they said.
Cutting imports nearly in half
India lifted about 658,000 barrel of oil per day (bpd) from Iran in April-August, according to data obtained from trade sources by Reuters, and the cuts projected for September and October would drop the daily average over those two months by about 45 percent to 360,000-370,000 bpd.
Indian oil refiners have already given the October loading plans to the National Iranian Oil Co (NIOC), sources familiar with the loading schedule said.
Top refiner Indian Oil Corp wants to lift 6 million barrels each in September and October, while Mangalore Refinery and Petrochemicals would load 3 million barrels each for those two months, the sources said.
IOC would also lift 1 million barrel for its subsidiary Chennai Petroleum Corp in October, they said.
Bharat Petroleum Corp would lift 1 million barrels in September and skip purchases in October, a company source said on Tuesday.
Bharat Petroleum has already drawn more than its fixed volumes - the amount it is obligated to purchase - that were contracted for 2018/19, its chairman said on Tuesday.
Nayara Energy, part owned by Russian oil giant Rosneft, plans to lift 1 million barrels each in September and October, the sources said. But the refiner began reducing its oil imports from Iran in June and aims to completely halt purchases from November.
Hindustan Petroleum, Reliance Industries and HPCL Mittal Energy (HMEL) have no plans to buy from Iran in September and October, they said.
India refiners - excluding Reliance and HMEL, which do not have term contracts with Iran - will together lift about 73 percent of their fixed contract volumes from Iran by end-October, the loading data showed.
IOC, Nayara and MRPL did not respond to Reuters’ emails seeking comments."
