,Date,Company,Article
173,,ITC,
172,2018-01-02,ITC,"West Coast Paper, Kohinoor Group also submit expressions of interest for Sirpur Paper Mills

Mumbai: Telangana-based Sirpur Paper Mills Ltd, which is in the middle of insolvency proceedings at the Hyderabad bench of the National Company Law Tribunal (NCLT), has received initial expressions of interest from several potential suitors including ITC Group, JK Paper Ltd, West Coast Paper Mills Ltd and the Kolkata-based Kohinoor Group, according to two people briefed on the matter. 
Mumbai: Telangana-based Sirpur Paper Mills Ltd, which is in the middle of insolvency proceedings at the Hyderabad bench of the National Company Law Tribunal (NCLT), has received initial expressions of interest from several potential suitors including ITC Group, JK Paper Ltd, West Coast Paper Mills Ltd and the Kolkata-based Kohinoor Group, according to two people briefed on the matter.
The deadline for submitting the expressions of interest ended in the third week of December, following which binding bids are expected in January, the people cited above said on condition of anonymity.
Emails sent to ITC Group, JK Paper, West Coast Paper Mills, Kohinoor Group and Ram Kanoongo, the interim resolution professional (IRP) for Sirpur Paper Mills, remained unanswered until press time on Monday. 
Sirpur Paper Mills is one of India’s largest manufacturers of pulp, paper board and a variety papers sold in both domestic and export markets. It employs close to 3,000 workers. Founded in 1938 by the erstwhile provincial government of Hyderabad, Sirpur is one of the oldest paper mills in the country. The mill was bought by the C.K. Birla Group, which later sold it to the Poddar family led by Ranjan and Devashish Poddar.
The mill shut operations in September 2014 following successive quarterly losses, which the management attributed to rising raw material costs making continued operations untenable.
In October 2016, IDBI Bank took possession of the mill on behalf of lenders to recover collective dues of Rs422 crore and put the assets up for sale. In October 2017, NCLT admitted a petition by one of Sirpur Paper’s operational creditors to initiate insolvency proceedings against the company and appointed an IRP.
“The revival of SPML has become a contentious issue given the issue of livelihood of thousands of employees,"" said one of the two people cited earlier. 
“The Telangana government has assured that all necessary efforts to revive the ailing company would be made,"" the person added. 
The Hindu Business Line, citing Telangana industries minister K.T. Rama Rao, reported in March that some of the concessions extended to new industries will also be offered to Sirpur Paper Mills to ensure its revival. Alongside, the state government also began looking for a strategic partner to revive the mill and held talks with at least two potential strategic partners including JK Paper and ITC to revive the mill, the report added.
Sirpur Paper Mills is among several paper manufacturers facing operational headwinds. Mint reported in January that Bilt Graphic Paper Products Ltd (BGPPL), a unit of Ballarpur Industries Ltd (BILT), was facing a working capital shortage and was in talks with potential lenders to raise additional funding over and above its existing debt of more than Rs6,000 crore.
Sirpur Paper Mills has been looking to raise additional debt after talks to sell two paper factories in Maharashtra to JK Paper broke down in November because of disagreements over valuation. A large portion of BGPPL’s debt was later acquired by Edelweiss Asset Reconstruction Company, which has since restructured the company’s loans. 
Mint reported in August that the paper business of Nagpur-based Murli Industries Ltd, which is under corporate insolvency, had received bids from West Coast Paper Mills Ltd and JK Paper."
171,2018-01-02,ITC,"ITC, JK Paper among potential suitors for Sirpur Paper Mills, while Maruti sees strong sales growth in December

Asian markets open higher on the first trading day of the year 
Asian markets open higher on the first trading day of the year
Asian indices were slightly firmer in early trade for the first trading session of the New Year as markets shrugged off the softer lead from Wall Street. Major US indices recorded substantial gains for the year. 
Sebi plan on loan defaults runs into RBI hurdle 
A Securities and Exchange Board of India (Sebi) proposal to make listed firms disclose defaults on their loans within a day of it happening is stuck in a turf war between the central bank and the markets regulator.
ITC, JK Paper among potential suitors for Sirpur Paper Mills
Telangana-based Sirpur Paper Mills Ltd, which is in the middle of insolvency proceedings at the Hyderabad bench of the National Company Law Tribunal (NCLT), has received initial expressions of interest from several potential suitors, including ITC Group, JK Paper Ltd, West Coast Paper Mills Ltd and Kolkata-based Kohinoor Group, reports Mint.
Bandhan Bank files DRHP, eyes IPO launch in March or April
Bandhan Bank Ltd, one of the two entities to receive a universal banking licence in 2015 and the only microfinance institution to do so, on Monday filed its draft initial public offering (IPO) prospectus.
SBI cuts base rate by 30 basis points
Loans to existing borrowers are set to get a little cheaper with the State Bank of India (SBI) reducing its base rate by 30 basis points, a move that is likely to be followed by other banks.
Maruti sees strong sales growth in December
India’s largest car maker Maruti Suzuki India Ltd continued to witness strong sales growth in December even as its nearest rival Hyundai Motor India Ltd posted flat sales numbers for the month. Sales at Maruti grew 12.1% in December to 119,286 units.
Brigade Enterprises buys Bengaluru land for Rs218 crore from SAB Miller
Realty firm Brigade Enterprises Ltd has bought a 12.95-acre land parcel in north Bengaluru’s Yeshwantpur area for Rs218 crore from SAB Miller India Pvt. Ltd, reports Mint.
IndusInd Bank raises $500 million from overseas lenders
IndusInd Bank has raised $500 million (about Rs3,193.75 crore) term loan from overseas lending bodies to expand its business."
170,2018-01-18,ITC,"Hindustan Unilever is just a short burst away from overtaking ITC in the market, an indication of how its fortunes have changed for the better

With so much noise in Hindustan Unilever Ltd’s (HUL’s) results, it is better to step back and see the big picture. The company management says demand is recovering, but still maintains a cautious stance, saying give it a quarter or more before one can call it a trend. That may seem overcautious from an investor’s standpoint. The worst was behind us in the September quarter, and the December quarter results give no reason to turn sceptical. 
With so much noise in Hindustan Unilever Ltd’s (HUL’s) results, it is better to step back and see the big picture. The company management says demand is recovering, but still maintains a cautious stance, saying give it a quarter or more before one can call it a trend. That may seem overcautious from an investor’s standpoint. The worst was behind us in the September quarter, and the December quarter results give no reason to turn sceptical.
Now, HUL’s 11% volume growth indeed has a base-induced bump due to demonetisation in the year-ago quarter. Still, the September quarter volumes rose by 5% compared to a 1% decline a year ago. And the December quarter’s 11% growth is off a base of a 4% decline. While both are not comparable, it does appear as if growth has strengthened. It is natural to expect volume growth to settle down in subsequent quarters.
The 17% underlying domestic consumer business growth came despite price cuts after the government cut GST (goods and services tax) rates from 28% to 18% on several fast-moving consumer goods. HUL’s financials show that its input costs as a percentage of sales declined sequentially. Although crude oil-related input costs may have turned expensive, it does not seem to have affected the company yet. This could also be attributable to a better mix.
HUL’s confidence is visible in the step-up in advertising expenses, which rose as a percentage of sales sequentially. That and higher employee costs and other expenses contributed to a slight decline in its Ebitda (earnings before interest, tax, depreciation and amortization) margin sequentially, falling by 69 basis points to 19.6%. Since the year-ago quarter’s profit after tax but before exceptional items fell by 15.8%, the December 2017 quarter’s 52.2% growth should be seen in that light.
The company’s volume growth will settle down to more normal rates in the coming quarters, although mid-FY19 will again see some base effect-linked volatility due to GST. Even if HUL’s steady-state volume growth settles in the 5-7% range, that will take it back to levels it last saw in FY16. That is a good start. Overall, expectations are that FY19 will see the economy recover and the government will take steps to give a boost to the rural economy. That could lead to a recovery in rural consumption, which should benefit the likes of HUL.
The company’s shares have risen by a fifth over six months ago as investors have been expecting the recovery, visible in its results. HUL’s shares have also done much better than peer ITC Ltd, which has been weighed down by a high tax burden and an unfavourable policy environment. HUL is just a short burst away from overtaking ITC in the market, an indication of how its fortunes have changed for the better."
169,2018-01-19,ITC,"In other news, Airtel profit plunges 39% in Q3 as IUC cut, Reliance Jio price war take their toll

US stocks end lower; Asian markets open higher 
US stocks end lower; Asian markets open higher
The Dow Jones industrial average fell on Thursday as investors assessed the possibility of the government shutting down at the end of the week.
Major indices in Asia were mostly higher on Friday although the Australian benchmark tracked lower. Wall Street, for its part, closed its Thursday session with slight losses amid political concerns.
GST rate cut for more items, returns filing to be made simpler
The Goods and Services Tax Council (GST Council) cut tax rates on 29 products and 54 services at its 25th meeting and agreed to make the process of filing tax returns simpler.
Airtel profit plunges 39% in Q3 as IUC cut, Reliance Jio price war take their toll
Bharti Airtel Ltd’s quarterly profit plunged 39%, missing analysts’ estimates, as India’s telecom regulator more than halved interconnection fees and a pricing war triggered by the entry of Reliance Jio Infocomm Ltd continued unabated.
Maruti Suzuki’s new Swift to launch at Auto Expo 2018, bookings open
Maruti Suzuki India Ltd, India’s largest carmaker, will launch the all new Swift at the upcoming Auto Expo 2018.
Newgen IPO subscribed 8.16 times on last day
The Rs424.6 crore initial public offering (IPO) of software products maker Newgen Software Technologies Ltd was subscribed 8.16 times, the last day of the share sale.
Adani Ports Q3 net profit rises 19.5% to Rs1,001 crore
Adani Ports and Special Economic Zone (APSEZ), India’s largest port operator, reported a 19.5% rise in fiscal-third quarter profit.
Earnings corner
HCL Technologies, HDFC Bank, ITC, Reliance Industries, Kansai Nerolac and Wipro are among the companies that will be announcing their December quarter earnings on Friday."
168,2018-01-20,ITC,"Revenue for the December quarter rose 3% to Rs10,579.11 crore from Rs10,258.13 crore in the preceding October quarter, ITC said

Kolkata: Cigarette and consumer goods maker ITC Ltd on Friday said its fiscal third-quarter profit rose 16.8% from a year earlier, boosted by a one-time reversal of a provision of Rs412 crore. 
Kolkata: Cigarette and consumer goods maker ITC Ltd on Friday said its fiscal third-quarter profit rose 16.8% from a year earlier, boosted by a one-time reversal of a provision of Rs412 crore.
Net profit rose to Rs3,090.20 crore in the three months ended 31 December from Rs2,646.73 crore in the year earlier. 
Adjusted for the one-time exceptional income, the company’s net profit in the December quarter grew 1.1% year-on-year (y-o-y), Edelweiss Securities Ltd said in a note.
The company’s operating profit grew 10.1% to Rs3,904.5 crore from a year earlier, slightly lower than the expectations of HDFC Securities Ltd, its analysts Naveen Trivedi and Siddhant Chhabria said in a report.
Adjusted for a change in the tax regime, ITC’s gross sales value, or comparable gross revenue, grew 6.3% over last year to Rs16,746.2 crore, the company said in a statement. ITC’s performance was in line with Edelweiss’s estimates, its senior vice-president Abneesh Roy said in his report.
On Friday, ITC’s shares rose 0.37% to close at Rs273.85 on BSE, while the benchmark Sensex gained 0.71% to close at 35,511.58 points.
Though ITC’s pre-tax profit from cigarettes at Rs3,269.25 crore was up 7.7% year-on-year—a “healthy growth"", according to HDFC Securities—Edelweiss estimates cigarette sales by volume to have declined by around 5% in the December quarter. The tobacco industry faced “severe pressure due to sharp increase in taxes"", ITC said in its statement. All combined, taxes on cigarettes have tripled since 2011-12, claimed ITC.
Other consumer goods sold by the company, such as packaged food and personal care products, registered robust growth and turned in a pre-tax profit of Rs47 crore in the December quarter as against a loss of Rs19.66 crore in the same period a year ago.
Adjusted for a change in accounting norms due to the introduction of the goods and services tax, the company said its gross sales value, or revenue, from the segment rose 16.2% over the same period last year to Rs2,871.78 crore.
The company’s pre-tax profit from the hotels segment grew 30% over last year to Rs54.77 crore while segment revenue grew 10% to Rs404.44 crore. Room tariffs firmed up while sales of food and beverage also shot up, ITC said in its statement.
The paper and paperboards segment turned in a pre-tax profit of Rs268.26 crore, 9% higher than the same period last year, even as revenue from the segment contracted 4.2% to Rs1,279.6 crore.
Sales of farm commodities also slowed due to a shortage of leaf tobacco, the company said, but its profit margin from the segment expanded. Revenue from the segment fell 8.4% y-o-y to Rs1,530.86 crore, while pre-tax profit fell marginally to Rs233.34 crore from Rs236.61 crore a year ago."
167,2018-01-22,ITC,"ITC needs its cigarettes business to normalize for sales growth to revive but especially for profitability to improve

In any other year, this month would have been the occasion to wonder if ITC Ltd would face a hike in duties on cigarettes in the Budget. Under the goods and services tax (GST), that has changed as the rate fixing decision now rests with the GST Council. Not that it has made life easier for ITC. The surprise hike in cess on cigarettes in July has hit ITC’s performance for the second quarter now. 
In any other year, this month would have been the occasion to wonder if ITC Ltd would face a hike in duties on cigarettes in the Budget. Under the goods and services tax (GST), that has changed as the rate fixing decision now rests with the GST Council. Not that it has made life easier for ITC. The surprise hike in cess on cigarettes in July has hit ITC’s performance for the second quarter now.
Its packaged consumer goods business has recovered but that is good for sales growth alone. Year-on-year growth is not comparable due to accounting differences under GST. Its comparable consumer business growth was 16.2%, similar to the 17% growth that Hindustan Unilever Ltd reported. Overall, ITC’s net sales rose by 5.7% over a year ago.
ITC needs its cigarettes business to normalize for sales growth to revive but especially for profitability to improve. Even if this were to happen sometime in fiscal 2019, if the government repeats its tax hikes on cigarettes, it may again set back ITC’s growth.
On a sequential basis, ITC’s profitability has improved with its segment margin rising by 96 basis points. One basis point is one-hundredth of a percentage point. But cigarettes played no role in that as its margin declined by 1.7 percentage points, which should worry investors. Margins improved mainly due to higher contribution from packaged consumer goods, trading in agricultural products and hotels.
If the improvement in the other businesses sustain, that can support profitability but ITC’s cigarettes business still contributes to 84% of segment profits. There is no alternative at this point by comparable size and profitability to offset a declining situation in its cigarettes business. Cigarette volumes are estimated to have declined by about 2% during the quarter, over a year ago, according to Motilal Oswal Securities Research.
And, ITC continues to invest heavily in businesses such as consumer products and hotels, which tends to pull down their contribution to profits, although they may add to sales growth. ITC’s net profit before exceptional items rose by a mere 1.1% over a year ago and the reported solid 16.7% increase was chiefly due to exceptional items.
ITC’s results indicate the worst is not behind it yet. Investors will want to see volumes revive and profitability improve at its cigarettes business. But a thriving cigarettes business could again tempt the government to tap it for higher tax revenues, if the need arises. That dagger continues to dangle overhead even if it may not fall during the 2018 budget.
After Hindustan Unilever Ltd’s results, ITC’s shares perked up, perhaps on hopes that consumer businesses are seeing a gradual recovery in demand. ITC’s shares have been underperforming the market and its peers. 
A recovery in growth would imply a change in its valuations too. But the results are likely to dash investors’ hopes. As things stand, pricey though its shares may be, HUL has much more going for it than ITC has."
166,2018-02-25,ITC,"Gaggan Anand and Andre Chiang are closing, or have closed, their flagship restaurants at the peak of their careers, in pursuit of something more

The prestigious list of Asia’s 50 Best Restaurants is released each year, with thousands of chefs jostling for a coveted spot. For the past three years however, Bangkok-based modern-Indian restaurant Gaggan has settled down and set up home at the No.1 slot. The crown sits crooked on the head of Kolkata-born chef Gaggan Anand, who has a personality as memorable as his food.  
The prestigious list of Asia’s 50 Best Restaurants is released each year, with thousands of chefs jostling for a coveted spot. For the past three years however, Bangkok-based modern-Indian restaurant Gaggan has settled down and set up home at the No.1 slot. The crown sits crooked on the head of Kolkata-born chef Gaggan Anand, who has a personality as memorable as his food. 
Rockstar-meets-culinary maestro, if there ever was one, Anand pushes boundaries and even has diners lick up their plates in one of his courses, to bring in a sense of madness and fun to dining. The restaurant is always packed with a regrettable waitlist for months altogether. 
I once had the pleasure of being served by him at a special-edition dinner in Delhi. I mentioned to him that I was visiting Bangkok the week after and would definitely drop in for dinner at the restaurant. He looked at me incredulously and asked, “But have you made a reservation?"" And that was my introduction to a new world where people travel for food and reservations are as precious as a four-leaf clover. 
The No. 2 position goes to the only Chinese-origin chef in this list, Andre Chiang. Though he was born in Taiwan, Chiang spent his formative years in France and returned to Asia only 10 years ago when he felt the need to go closer to his roots. 
The launch of Restaurant Andre coincided with the opening of Marina Bay Sands, an iconic Singapore landmark, which brought global spotlight to the island and led to his restaurant being reviewed in The New York Times only two months after launch. 
The journey upwards was swift and clean, and much like Bruce Lee, whom he is compared to often in the food world, he rose to the pinnacle of success annihilating competition with clean blows. Restaurant Andre too has been notoriously difficult to dine at, with reservation waitlists overflowing into three months. 
Two artists, different as chalk and cheese, both at the peak of their career, helming restaurants that have been awarded two Michelin stars each. What do they have in common? The tiny fact that they both recently announced the closure of their incredibly popular restaurants. 
Yes, Gaggan will cease to exist in 2020 and Restaurant Andre served its last table about two weeks ago, on 14 February. These individual announcements have taken everyone by surprise and sent shock waves in a world where they are regarded as heroes. So, what brought this about? 
A desire to create something new
As Chiang put it when I asked him why he would shut at the peak of the restaurant’s popularity, he likened a restaurant to a painting. You start with a blank canvas, and slowly choose your colours and create something new. Day in and day out, you tweak it a little bit here and a tad bit there until one day, you decide that the masterpiece is “complete"". You could hold on to that painting forever and bask in its glory, or you sign the canvas, put the painting on the side and start again from scratch. 
Anand mirrors these sentiments too. In his words, “To rise again, you always have to head back down and go up. One can’t possibly jump from one mountain to another."" 
The 10-year itch
It has to be more than a coincidence that both chefs agree on a 10-year life cycle. Anand believes that by 2020, the restaurant would have completed 10 years and would have given its all. It is not that he is sitting around idle in the meantime, though. With interests in various ventures, he has many projects on and promises to keep cooking and evolving his food. 
For Chiang, it is more of a way of life. “Every 10 years, I get restless"", he shares. “I look at my life and think of how to shake it up. Complacency is not something I can live with. 10 years back I moved to Singapore from France, and now the time has come to go back to my motherland, to Taipei."" 
Burden of the Michelin crown
Recently awarded a Michelin star, the only hawker in the city to get one, Jay Fai is reportedly contemplating returning the honour. Since the announcement, the tiny stall in Bangkok where 72-year-old Supinya Junsuta cooks each dish on the wok herself, donning ski goggles to avoid oil splatter, has been inundated with diners flocking by the dozen. The restaurant has been forced to implement a reservation system, which it previously shied away from. 
Jay Fai is not too amused by tourists who are more interested in taking photographs than in the flavours of the food itself. The unmanageable crowds have swelled to such a degree that her daughter had to quit her job and join her mother and sister at the stall full time. 
“There is always good pressure and bad pressure,"" muses Anand. “Good pressure forces you to keep getting better and better. But the downside is that you forget to enjoy the journey of it.""
In his statement announcing the impending closure, Chiang respectfully returned his two Michelin stars and also requested that his Taipei restaurant, RAW, which is what he will focus on now, not be included in any future Michelin guides if they were to launch in Taiwan. 
“These accolades do not allow you to grow naturally. They push you to create a sense of perfection and stand still at that point. I want to nurture RAW and let it transform gently until I believe it is ready,"" he says. 
But do these restaurants make money?
Diners often crib about meals at such restaurants costing an arm and a leg (and a kidney too). Ranging easily from $200 to $800 per person, this is far more than what an average person is comfortable paying for a meal. Agreed that what you get here is more than a meal, it is an experience. But does that still justify the rates? 
I once posed this question on Twitter and triggered a passionate discussion, with many Michelin-starred chefs joining in the fray. “If the world’s greatest chefs cooked for a living, they would starve"", it is famously said. In that Twitter free-for-all, Anand and chef Atul Kochhar spoke about how expensive fine ingredients are. And if you heard the price of a single truffle, you may be inclined to agree. 
But there is more to the story here. El Bulli (ranked World No. 1 and awarded three Michelin stars) ran in losses for years, yet continued to serve guests only six months in the year and only for dinner. They reportedly received 800,000 reservation requests for their 48-table restaurant, which only could seat 8,000 tables in the entire season. 
Would the restaurant have made more money if it stayed open all year round and served lunch too? Absolutely. Could they have raised the price from their €250 per head and still filled those tables? Without a doubt. So why did they not? 
It may partly be explained by chef Ferran Adria’s passion that he needed that time out to reinvent and raise the bar higher each season, thus treating the restaurant like a laboratory. But the truth is also that keeping the prices affordable enough to entice more and more people to know about the El Bulli brand allowed him to create a series of businesses that fed off this brand, each of which made (and continue to make) a lot of money. 
The global diner version 2.0
In an ever-changing world, the diner is evolving at a rapid pace too. Ten years ago, people did not travel much for leisure. Fast forward to today and many are willing to go overseas, only to dine at a particular iconic restaurant. This also implies that the diner is more sophisticated and demands that chefs re-invent rather than recreate. 
To cater to such an audience, restaurant owners and chefs feel the need to be nimble and to constantly ask themselves—what next?
With great power comes great responsibility
It may have held true for Spiderman but legendary chefs like these are no less than superheroes either. Anand believes that as you climb the ladders of success, you increasingly feel the need to nurture and develop talent and make place for others to grow.
This is one of the main reasons that Chiang has decided to go back to the cradle, his homeland Taiwan. He believes that there is immense talent in the kitchens there but there is a need for that talent to be moulded and he must play his role in this. 
Two years ago, in a heart-to-heart conversation Massimo Bottura told him that he felt proud of where Andre had reached, but he also was aware that Andre is the only Taiwanese chef at that level. This touched him deeply and he felt a deep sense of responsibility, the need to give opportunities and share his knowledge with those who have not been exposed to how the food world is growing around the world. 
El Bulli, Gaggan and now Andre. Iconic restaurants that each left a distinct mark in this world. Restaurants that are spoken about in respectful hushed tones, some even years after they shut their doors. The closure of these restaurants at the peak of their popularity may be attributed to many factors. But the true genius lies in the men who created them. 
Men who sought and eventually attained perfection in their creations, but more importantly, had the courage to walk away from their masterpieces towards nothing but a blank canvas. Shedding their egos along the way and taking along merely their colours and enviable talent.
Harnoor Channi-Tiwary is a marketing specialist who wandered into the world of writing and never left. She has been writing about food and travel for more than a decade. She blogs at TheThoughtExpress, tweets as @HCdines."
165,2018-03-07,ITC,"ITC sets goal of generating Rs10,000 crore from the Aashirvaad brand annually over five years

New Delhi: ITC Ltd has set its sights higher for Aashirvaad—the Kolkata-based cigarette-to-shampoo maker’s largest packaged food brand.  
New Delhi: ITC Ltd has set its sights higher for Aashirvaad—the Kolkata-based cigarette-to-shampoo maker’s largest packaged food brand. 
The company has set an internal target of generating Rs10,000 crore from Aashirvaad annually in five years.
For perspective, this means that in five years, ITC will generate what the country’s largest pure-play listed food company, Nestle India Ltd, notched up in calendar year 2017 sales (Rs10,135 crore), and more than the financial year 2017 revenue of biscuit maker Britannia Industries Ltd (Rs8,684 crore), by selling food products under Aashirvaad— a brand ITC created in May 2002 to sell atta, and later expanded to include spices, salt, ghee, instant mixes and ready-to-eat meals.
“At the retail level, Brand Aashirvaad’s current sales is around Rs4,200 crore. The brand has been growing at a compounded annual rate of 16-17% for the past few years. We hope to maintain the rate of growth, and the target is to cross the Rs10,000 crore mark,"" said Hemant Malik, divisional chief executive (foods), ITC.
To hit the Rs10,000 crore mark, according to Malik, Brand Aashirvaad will see a stream of product launches—backed by a micro-regional strategy for product innovation, distribution and communication targeting to get new sets of consumers. 
Besides, the company is constantly working on reducing distance to market (from factory) to ensure freshness.
“We are launching ready-to-bake roti (Indian bread), with a five-day shelf life, later this year, hopefully by winter. We have already got the technology, and will soon start test marketing the product,"" Malik said. The ready-to-bake roti will require only a few minutes’ heating.
While ready-to-bake rotis are available in some global markets, ITC will be among the first companies to bring the product to India. UK-based East End Food sells a similar product in some parts of that country. 
In India, Bengaluru-based iD Fresh Food India Pvt. Ltd and New Delhi-based Ready Roti India Pvt. Ltd, in which Mexican firm Grupo Bimbo acquired a 65% stake in May 2017, also tried selling ready-to-heat rotis but the products are hard to find.
“While we plan to price it for the masses, the product will initially be sold in metro cities that house the maximum number of double-income families, or people with little time for cooking. Also, this is a product that would compete with the restaurants that deliver to homes. We are trying to bring as much convenience as possible to make cooking easier,"" said Mailk.
ITC will also launch 7-8 variants of atta—produced with different blends of wheat—this year. 
“These will be produced with different blends of wheat to make atta more suited to the taste buds of people in a particular region or state,"" said Malik. At present, the company has 4 variants.
The idea, according to Malik, is to go micro-regional and launch products that are relevant to, say, a particular town, state, community or a socioeconomic class. 
“With 29 factories and our back-end of wheat procurement, we can have 29 blends or more,"" said Malik, adding that the company will also expand the atta and ready-to-make food portfolios to cater to people with lifestyle diseases such as diabetes or those suffering from malnutrition.
ITC’s focus on Aashirvaad is part of the company’s strategy to generate around Rs65,000 crore from packaged foods by 2030 to reach its target of Rs1 trillion revenue from non-cigarette packaged goods by that time, Mint reported on 21 September 2017. 
Meanwhile, the company has been tackling the fallout of a set of videos shared on social media that allege that Aashirvaad atta has plastic in it.
“What is being shown as plastic in these mischievous videos is actually wheat protein which is a mandated component of atta by the FSSAI (Food Safety and Standards Authority of India). Protein is an integral part of any atta or wheat. This protein is what binds the atta. Without this protein, it is not possible to roll chappatis,"" said Malik."
164,2018-03-07,ITC,"In other news, Liberty House emerges as top bidder for Amtek Auto, while ITC sets sights higher for foods brand Aashirvaad

Asian markets drop on trade war concerns 
Asian markets drop on trade war concerns
Stocks fell in the morning trade as global trade war concerns intensified after the resignation of White House economic adviser Gary Cohn, reports Bloomberg. Overnight, the US stocks closed slightly higher. S&P 500 at 2,728 points is up 0.26%. 
DMRC told to compensate Reliance Infrastructure
Delhi high court has upheld an arbitral award against Delhi Metro Rail Corp. Ltd (DMRC), directing it to pay Rs2,950 crore as compensation, along with interest, to Delhi Airport Metro Express Pvt. Ltd (DAMEPL), a unit of Reliance Infrastructure Ltd. The company plans to use the funds to pare debt.
Liberty House emerges as top bidder for Amtek Auto
UK-based Liberty House has emerged as the top bidder for the beleaguered auto parts maker Amtek Auto, which has defaulted in payment of loans, reports The Times of India.
Torrent Pharma readies bid for Sanofi’s European unit
Torrent Pharmaceuticals Ltd is readying a €2 billion (Rs16,000 crore) bid for Zentiva N.V., the generic drugs unit of France’s Sanofi, reports Mint.
ITC sets sights higher for foods brand Aashirvaad
ITC Ltd has set its sights higher for Aashirvaad, the company’s largest packaged food brand. It has set an internal target of generating Rs10,000 crore from Aashirvaad annually in five years, reports Mint.
Airtel acquires India leg of GBI submarine cable
Bharti Airtel said it has acquired India leg of Gulf Bridge International submarine cable which will boost its data carrying capacity, reports PTI.
Government likely to slash Bt Cotton seed price
The centre is likely to slash the price of genetically modified Bt cotton seeds as well as trait fees payable by domestic seed companies to technology developers, reports Mint. The maximum sale price of a seed packet is likely to be reduced from Rs800 to Rs740.
Railways to give wagon contracts in bulk
In a move that could bring cheer to rail wagon makers, the railway ministry has decided to give wagon contracts in bulk, reports The Economic Times. According to the report, railways will conduct reverse e-auction and intends to save on cost."
