,Date,Company,Article
92,,IndusInd,
91,2018-01-01,IndusInd,"The $500 million fundraising by IndusInd Bank will help the bank expand its lending to clients

New Delhi: IndusInd Bank on Monday said it has raised $500 million (about Rs3,193.75 crore) term loan from overseas lending bodies to expand its business. 
New Delhi: IndusInd Bank on Monday said it has raised $500 million (about Rs3,193.75 crore) term loan from overseas lending bodies to expand its business.
The private sector bank has concluded the syndicated term loan facility from a group of overseas investors, it said in a regulatory filing. The fundraising, along with the funds raised during the ongoing financial year from multilateral institutions Asian Development Bank (ADB) and Overseas Private Investment Corporation (OPIC), will help the bank expand its lending to clients, it said. 
The tenor of the loan is for three years and will be used for general banking purposes, it added. Earlier in June, IndusInd Bank had raised $225 million (about Rs1,445 crore) from the US government funding agency OPIC for lending to small and medium enterprises. 
And in September, the bank had raised $200 million (about Rs1,282 crore) loan from Asian Development Bank (ADB) to serve low-income women borrowers in rural areas. Stock of the bank traded at Rs1,641.80 a piece on BSE, down 0.51% from previous close."
90,2018-01-09,IndusInd,"Paytm Payments Bank says customers can redeem their deposits instantly, anytime without paying any pre-closure or miscellaneous charges and can earn up to 6.85% annual interest

New Delhi: Paytm Payments Bank on Saturday said it has partnered Induslnd Bank to introduce a facility to create a fixed deposit when the customer balance exceeds Rs1 lakh at the end of day. 
New Delhi: Paytm Payments Bank on Saturday said it has partnered Induslnd Bank to introduce a facility to create a fixed deposit when the customer balance exceeds Rs1 lakh at the end of day.
Paytm Payments Bank customers can redeem their deposits instantly, anytime without paying any pre-closure or miscellaneous charges and can earn up to 6.85% annual interest, the company said in a statement.
Additionally, if a customer becomes a senior citizen before the maturity period, the account will be auto renewed under the senior citizen scheme, thus earning higher interest, it added.
“Majority of Indians prefer safer investment options that offer them higher earning potential. Our offering will add the much-needed convenience of zero paperwork, instant redemption and no charges to one of India’s most preferred investment methods,"" Paytm Payments Bank MD and CEO Renu Satti said."
89,2018-01-11,IndusInd,"In other news, Reliance Industries chairman Mukesh Ambani through his personal investment firms is in talks to buy BSE-listed Jai Corp's 24% stake in Navi Mumbai SEZ

Asian stocks ease in morning trade 
Asian stocks ease in morning trade
Asian markets lost steam in morning trade tracking the losses in the US stocks. S&P 500 at 2,748 lost 0.11% concerns about the US administration’s protectionist stance.
Home sales drop to seven-year low in 2017: report
Regulatory changes, high levels of unsold inventories and weak consumer sentiment have led to a sharp fall in home sales and launches last year, according to a report by property consultant Knight Frank India, reports Mint.
Maruti Suzuki increases car prices by up to Rs17,000
Maruti Suzuki India Ltd raised the prices of its cars by between Rs1,700 and Rs17,000 across its entire product range. Prices were increased to factor in a rise in commodity and other input prices.
Bank of Baroda may sell Nainital Bank to bolster capital
Bank of Baroda is seeking to sell unit Nainital Bank as it sheds non-core assets to bolster its balance sheet, reports Bloomberg.
Mukesh Ambani in talks to buy Jai Corp’s stake in Mumbai SEZ
Reliance Industries chairman Mukesh Ambani through his personal investment firms is in talks to buy BSE-listed Jai Corp’s 24% stake in Navi Mumbai Special Economic Zone (SEZ), reports Business Standard.
GMR looking to raise up to Rs5,000 crore through airport unit IPO
GMR Infrastructure is looking to raise between Rs4,000 crore and Rs5,000 crore through the listing of its airport holding entity to pare debt and mobilise expansion funds, reports The Economic Times.
TCS earnings today
TCS Ltd, Shree Cement Ltd, IndusInd Bank Ltd, and Bajaj Corp Ltd are some of the companies that will release their earnings for the December quarter today."
88,2018-01-11,IndusInd,"IndusInd Bank's NII rises 20.04% to Rs1,894.81 crore versus Rs1,578.42 crore last year

Mumbai: Indusind Bank Ltd on Thursday reported a 24.73% jump in its December quarter net profit on the back of higher net interest income and other income. 
Mumbai: Indusind Bank Ltd on Thursday reported a 24.73% jump in its December quarter net profit on the back of higher net interest income and other income.
Net profit for the quarter stood at Rs936.25 crore against Rs750.64 crore a year ago. According to eight Bloomberg analysts’ estimates, the bank was expected to post a profit of Rs945 crore.
Net interest income (NII), or the core income a bank earns by giving loans, increased 20.04% to Rs1,894.81 crore versus Rs1,578.42 crore last year. Other income was at Rs1,186.76 crore, up 16.72% from Rs1,016.80 crore a year ago.
Provisions and contingencies rose 8.9% to Rs236.16 crore in the quarter from Rs216.85 crore a year ago. On a quarter-on-quarter basis, they fell 19.61% from Rs293.75 crore.
Gross non-performing assets (NPAs) advanced 54.25% to Rs1,498.70 crore at the end of the December quarter from Rs971.62 crore in the same quarter last year.
As a percentage of total loans, gross NPAs stood at 1.16% as compared to 1.08% in the previous quarter and 0.94% in the year-ago quarter. Net NPAs were at 0.46% in the December quarter compared to 0.44% in the previous quarter and 0.39% in the same quarter last year.
At 3.03pm, Indusind Bank shares were trading at Rs1702.75 on BSE, down 1.84% from its previous close while India’s benchmark Sensex Index gained 0.13% to 34,477.79 points."
87,2018-01-12,IndusInd,"A look at IndusInd Bank's core income and asset quality indicates that the lender is finally huffing and puffing after an impressive run in the past quarters

IndusInd Bank Ltd won the award for consistency yet again, reporting net profit growth of 25% and net interest income (NII) growth of 20% for the December quarter. The fact that it met Street estimates on profit growth should have been enough to keep already happy investors joyful.  
IndusInd Bank Ltd won the award for consistency yet again, reporting net profit growth of 25% and net interest income (NII) growth of 20% for the December quarter. The fact that it met Street estimates on profit growth should have been enough to keep already happy investors joyful. 
But the stock fell 2% after the results, indicating that investors have some misgivings. A look at its core income and asset quality indicates that the lender is finally huffing and puffing after an impressive run in the past quarters.
The growth in NII, the core income a bank earns, would seem impressive compared with peers but for IndusInd Bank it was the slowest in 10 quarters. For a lender which has been beating its peers hollow on balance-sheet growth, this is not good news.
Add the decline in operating profit growth to 22% from an average 30% in the recent past and investors are justified in becoming jittery.
Another uncomfortable development is the surge in bad loans in recent quarters. For the December quarter, IndusInd Bank saw a jump of 54% in its gross bad loans from a year ago. This is historically the highest year-on-year jump in bad loans for the lender.
This rise is over the 49% increase in bad loans in the September quarter. This has worsened the bad loan ratio to 1.16% from 1.08% a year ago.
Considering that the bank would soon take a microfinance portfolio through its acquisition of Bharat Financial Inclusion Ltd, it would have to contend with a further increase in bad loans, given that microfinance asset quality is still shaky. 
Fresh slippages haven’t abated and were Rs408 crore for the third quarter, a large number for two straight quarters now.
Romesh Sobti, managing director of the bank, said that bad loan accretion is broad-based and not restricted to only a few large accounts. 
The bright side is that credit growth is still an impressive 24% and has hardly slowed down. The fact that IndusInd Bank’s corporate loan growth too continues to be high is another big plus. 
So long as it maintains its credit growth and fixes its emerging asset quality issues, IndusInd Bank can still justify its valuations. The stock currently trades at more than three times its estimated book value for fiscal year 2019."
86,2018-02-20,IndusInd,"IndusInd Bank, however, has a 'small' exposure to Gitanjali Gems, promoted by Nirav Modi's uncle Mehul Choksi, which is also an accused in the Rs11,400-crore fraud

Mumbai: Private sector lender IndusInd Bank Ltd on Tuesday said it has no direct or indirect exposures to firms floated by scam-tainted Nirav Modi.  
Mumbai: Private sector lender IndusInd Bank Ltd on Tuesday said it has no direct or indirect exposures to firms floated by scam-tainted Nirav Modi. 
The bank, one of the most active lenders in the gems and jewellery sector, however has a “small"" exposure to Gitanjali Gems, promoted by Modi’s uncle Mehul Choksi which is also an accused in the Rs11,400-crore fraud.
“IndusInd Bank has no direct credit exposures to Nirav Modi nor any indirect credit exposures on the basis of the letters of undertaking (LOUs) issued by Punjab National Bank (PNB),"" the lender said in a statement. “As regards Gitanjali Gems, the bank has a small, two- digit exposure, not linked to any LOUs,"" it added without revealing the amount. 
The statement comes more than a week after PNB disclosed that conduct of its officials at the Brady House branch in the financial capital had resulted in a potential fraud of $1.77 billion. The IndusInd statement said the fraud has taken place due to non-adherence of procedures and norms laid down. It termed this as a “stray incident"" which will not have any contagion effect on its overall gems and jewellery lending business."
85,2018-02-27,IndusInd,"With this affiliation, Ripple can now provide instant access in emerging markets such as India, Brazil and China, IndusInd Bank says

New Delhi: Private sector IndusInd Bank has tied up with blockchain solution provider Ripple to enhance global payment transactions in and out of India.  
New Delhi: Private sector IndusInd Bank has tied up with blockchain solution provider Ripple to enhance global payment transactions in and out of India. 
With this affiliation, Ripple can now provide instant access in emerging markets such as India, Brazil and China, IndusInd Bank said in a release. The bank said India witnessed $65 billion move into the country in 2017. 
“IndusInd Bank which has significant interests in cross border remittances, plans to harness the power of blockchain technology for facilitating global payments,"" it said. The bank strives to leverage the latest technology to build on its existing footprint in payments business through this alliance as the blockchain technology lowers both costs and transfer time for their customers.
“We plan to leverage the Ripple platform to provide an enhanced experience to our clients by delivering instant settlements and atomic confirmations on the back of highly secure infrastructure. This will deliver more value to remitters, recipients and our institutional partners across the world,"" Ramesh Ganesan, senior executive vice president at IndusInd Bank said in the statement. 
By joining Ripple, financial institutions are able to communicate information about a payment between each other and settle payments immediately, the lender said. Patrick Griffin, head of business development, Ripple said blockchain solutions can provide much more significant impact to the customers of financial institutions in emerging markets. 
“The payments problem is a global problem, but its negative impact disproportionally affects emerging market...it’s imperative that we connect the world’s financial institutions into a payments system that works for their customers, not against them,"" Griffin said."
84,2018-02-28,IndusInd,"In other news, IndusInd Bank ties up with Ripple to aid global payments

US stocks end lower; Asian markets open on a negative note 
US stocks end lower; Asian markets open on a negative note
US stocks fell for the first time in four days Tuesday after comments from new Federal Reserve Chair Jerome Powell sent rates higher.
Asian markets edged down early on Wednesday after US stocks slid, following a congressional testimony from the US Federal Reserve’s new chief. 
PNB effect: FinMin orders PSU banks to review NPAs to check fraud
The finance ministry directed public sector banks to examine all bad loan accounts exceeding Rs50 crore for possible fraud, a fallout of the multi-billion dollar scam at Punjab National Bank (PNB) that went undetected for seven years.
Firms line up IPOs worth Rs12,000 crore in March
After a dull start to the year, activity in the initial public offering (IPO) market in India is expected to pick up pace with companies expected to raise more than Rs12,000 crore in the month of March.
Dalmia Bharat pips UltraTech to win bid for Binani Cement
Dalmia Bharat Cement Ltd on Tuesday emerged the winner for troubled Binani Cement Ltd, beating India’s largest cement maker UltraTech Cement Ltd which had put in a nearly identical bid.
BPCL may sell up to 24% in Bina Refinery in Madhya Pradesh
National oil companies of Oman, Kuwait and Abu Dhabi are in talks to buy up to 24% stake in Madhya Pradesh’s Bina refinery, reports Mint. 
Moody’s upgrades IDBI Bank outlook to positive on recapitalisation plan
Moody’s Investors Service affirmed the long-term local and foreign currency bank deposit rating of IDBI Bank Ltd at B1 and changed the outlook to positive from stable.
IndusInd Bank ties up with Ripple to aid global payments
Private sector IndusInd Bank has tied up with blockchain solution provider Ripple to enhance global payment transactions in and out of India.
TCNS Clothing files draft papers for IPO
Women’s branded apparel maker TCNS Clothing has filed draft papers for an initial public offer, wherein existing shareholders plan to sell more than 1.57 crore shares."
83,2018-03-05,IndusInd,"Jaiprakash Associates says IndusInd Bank has transferred in its name 6 crore shares of Jaypee Infratech Ltd held by the company which stood pledged in their favour

New Delhi: IndusInd Bank has invoked 6 crore pledged shares, which make up about 4.32% stake, of the crisis-hit Jaypee Infratech. 
New Delhi: IndusInd Bank has invoked 6 crore pledged shares, which make up about 4.32% stake, of the crisis-hit Jaypee Infratech.
These shares were held by Jaypee Infratech’s promoter Jaiprakash Associates, which is the flagship company of debt-ridden Jaypee group. The group is facing protest from home buyers for significant delays in completing of housing projects in Noida.
In a regulatory filing, Jaiprakash Associates informed that “IndusInd Bank Ltd has transferred in its name 6 crore shares of Jaypee Infratech Ltd held by the company which stood pledged in their favour"".
Jaiprakash Associates had 89.5 crore shares, about 64.44% stake, in Jaypee Infratech as on 31 December 2017. Of the total shares held by it, 92.55% shares were pledged. Jaypee Infratech has been taken over by a National Company Law Tribunal (NCLT)-appointed insolvency resolution professional (IRP) for recovery of bad loans.
Last year, the NCLT had admitted the application by an IDBI Bank-led consortium seeking resolution for Jaypee Infratech under the Insolvency and Bankruptcy Code. Moving ahead with the process, IRP Anuj Jain had on 27 October issued a public notice seeking applications from entities with regard to resolution of JIL.
Several players have submitted expression of interest (EOI). The resolution plan needs to be approved by the creditors and the NCLT. Jaypee Infratech, which is into road construction and real estate business, has constructed the Yamuna Expressway, connecting Delhi and Agra.
Jaiprakash Associates, a diversified infrastructure company engaged in engineering, construction and real estate development, cement manufacturing, hospitality and sports management, is selling its assets to repay debt."
