,Date,Company,Article
441,,Infosys,
440,2018-01-01,Infosys,"As Infosys CEO Salil Parekh will work with company's non-executive chairman and co-founder Nandan Nilekani

New Delhi: Salil Parekh is all set to take charge as Infosys chief executive officer (CEO) on Tuesday as the over $10 billion company looks to bring back the focus on revenue growth and business strategy under the new leadership. 
New Delhi: Salil Parekh is all set to take charge as Infosys chief executive officer (CEO) on Tuesday as the over $10 billion company looks to bring back the focus on revenue growth and business strategy under the new leadership.
Infosys, which spent most part of 2017 handling the public standoff between its high-profile promoters and the past leadership, will also announce its third quarter financials on 12 January. Industry watchers say Parekh’s skills in handling multi-cultural work environment, combined with his strong grip on technology and sales, makes him the perfect choice for leading Infosys during this period of transition.
Parekh, 53, is described as a soft-spoken yet determined man by those who know him. He was chosen from over two dozen candidates in a search that lasted about three months and covered a wide canvas of names within Infosys as well as alumni and external aspirants. 
The former Capgemini executive’s experience in building the IT firm’s operations in India and its acquisition of iGate (in 2015) will also be an added advantage for him, they added. This is the second time—after Vishal Sikka—that the company has roped in an external candidate for the CEO role in its over three decade history. 
Sikka left Infosys abruptly in August last year, after a prolonged standoff with promoters including the iconic N.R. Narayana Murthy over allegations of corporate governance lapses and hefty severance packages of former executives. 
Parekh will work with non-executive chairman and co- founder Nandan Nilekani, who was brought in to steady the ship after the resignation of Sikka and other board members, including the then chairman R. Seshasayee. 
Interestingly, Parekh’s appointment has received a thumbs up from Murthy, who was vocal in his criticism of Sikka and the previous Infosys management. Besides bringing stability, Parekh will also have to focus on hiring people who are strong in digital technologies and global sales as the IT industry, as also Infosys, is in midst of transformation. 
The road-map that Parekh sets on would be keenly watched, not just by investors but the industry as a whole as Infosys reboots to bring back its lost glory."
439,2018-01-02,Infosys,"Salil Parekh's role will be challenging considering that Infosys is trying to put behind the almost year-long public standoff between Infosys' high-profile promoters and the past leadership

New Delhi/Bengaluru: Salil Parekh took charge as managing director and chief executive of IT major Infosys on Tuesday and said he is excited to lead the company at a time when technology is changing at a fast and disruptive pace.  
New Delhi/Bengaluru: Salil Parekh took charge as managing director and chief executive of IT major Infosys on Tuesday and said he is excited to lead the company at a time when technology is changing at a fast and disruptive pace. 
On his first day at the corner-office, Parekh met some employees and toured the sprawling Infosys campus. He was even seen posing for a selfie with a few of them. In a video address to employees, Parekh is said to have emphasised that each worker has a role to play in this “world of continuous technology disruption"" and that they will have to be ready for the future, geared with necessary skills. 
Parekh stated that he had met a few Infoscions and hoped that they can work together to accelerate the company’s transformation. Infosys, on its Twitter account, shared some pictures of the first day at work for Parekh. In one of the pictures, he is seen posing against a backdrop with the familiar blue Infosys logo and a message that read “Welcome to Infosys, Salil"". 
In another photograph, the former Capgemini executive is seen interacting with some employees. A group of six also managed to get a selfie with the new CEO. For Parekh, who has come on board for a tenure of five years, top priorities would include bringing back focus on revenue growth and business strategy. 
His role will also be challenging considering that Infosys is trying to put behind the almost year-long public standoff between Infosys’ high-profile promoters and the past leadership. Some of the big tasks for Parekh will include driving growth amid increasing scrutiny in key markets like the US, retaining talent and skilling manpower on new-age technologies like artificial intelligence and machine learning. 
Investors and market watchers will keenly wait for Parekh to spell out his strategy to spur growth for Infosys, which is slated to announce its third quarter financials on 12 January."
438,2018-01-03,Infosys,"Infosys chairman Nandan Nilekani should complete the board restructuring quickly, including replacing Ravi Venkatesan and Roopa Kudva, thereby providing a clean slate for CEO Salil Parekh, says former CFO V. Balakrishnan

Hyderabad: As Salil Parekh took charge as CEO at Infosys, a former top company official has sought restructuring of the Board by replacing ex-co-chairman Ravi Venkatesan and ex-Audit Committee Chairperson Roopa Kudva. 
Hyderabad: As Salil Parekh took charge as CEO at Infosys, a former top company official has sought restructuring of the Board by replacing ex-co-chairman Ravi Venkatesan and ex-Audit Committee Chairperson Roopa Kudva.
“Nandan (Nilekani, the company’s Chairman) should also complete the board restructuring quickly including replacing the earlier co-chairman and audit committee chairman thereby providing a clean slate board for him (Parekh) to peform to his full capability without any distractions,"" former CFO, V Balakrishnan said. 
Last month also, he had sought the discontinuance of Venkatesan and Kudva after Infosys filed a settlement plea with the SEBI on alleged corporate governance lapses relating to severance payment to its former CFO Rajiv Bansal. 
“...It is all the more important to restructure the board and fill it with people of high integrity and stature,"" Balakrishnan had said. On opportunities and challenges for Parekh, Balakrishnan said on Wednesday he had a great opportunity to transform Infosys as he comes with a great pedigree and right background. 
“His background as a services man with global consulting expertise fits him well for the job. He should make sure that he does not commit the same mistakes of the past management and stick to the core value systems which Infosys is known for which includes ‘under promise and over deliver’,"" he said. 
The obvious challenge for Parekh is the changing technologies and commoditisation of traditional services which is an overall industry issue anyway, Balakrishnan said."
437,2018-01-05,Infosys,"Infosys's new CEO Salil Parekh has been given a Rs9.75 crore joining bonus and stands to make Rs17.3 crore for the first year

Bengaluru: Infosys Ltd’s new chief executive officer (CEO) Salil Parekh has been given a Rs9.75 crore joining bonus and could earn up to Rs17.3 crore in the first year. His earnings could possibly double to Rs35.25 crore in the year ended March 2021, provided the former Capgemini executive steers the company well.  
Bengaluru: Infosys Ltd’s new chief executive officer (CEO) Salil Parekh has been given a Rs9.75 crore joining bonus and could earn up to Rs17.3 crore in the first year. His earnings could possibly double to Rs35.25 crore in the year ended March 2021, provided the former Capgemini executive steers the company well. 
Parekh, who took over on 2 January for a period of five years, could earn up to Rs16.25 crore in cash every year, which includes a fixed salary of Rs6.5 crore and a variable pay of up to Rs9.75 crore, according to filings made by the company on Wednesday.
There are two additional components as well: an annual grant of Rs3.25 crore in stocks, a third of which will be vested every year over the next three years, and an annual performance equity grant of Rs13 crore which will be paid depending upon Infosys’s performance. 
This means that if Parekh leads Infosys up to the board’s expectations, he can earn up to Rs17.3 crore in the first year ended March 2019, Rs19.25 crore in the year ended March 2020, and up to Rs35.25 crore in the year ended March 2021. 
This is because Parekh will be eligible for his annual performance equity grant of Rs13 crore a year only after completing three years (at the end of March 2021), making many believe that Infosys wants its CEO to stay and deliver, consistently, for a few years. 
Parekh will also be paid a one-time Rs9.75 crore in stocks, which people believe is similar to a joining bonus made to executives by companies.
“A One-time equity Grant of RSUs covering shares have a Value equal to Rupees Nine Seventy Five Lakhs (Rs 9,75,00,000). The One-time equity Grant shall vest in two (2) instalments as follows: (x) fifty percent (50%) of the Shares subject to the One-time Equity Grant shall vest of the first anniversary of the Grant Date; and (y) the remaining fifty percent (50%) of the Shares subject to the One-time equity Grant shall vest on the second anniversary of the Grant Date,"" said an Infosys filing with the BSE.
Still, Parekh has received an annual pay package that is much lower than what was paid out to his predecessor Vishal Sikka and lower than his peers at rival firms Cognizant Technology Solutions Corp. and Tata Consultancy Services Ltd, although higher than his counterpart at Wipro.
Infosys’s decision to pay out a relatively moderate annual compensation package to Parekh comes months after the company’s founder N.R. Narayana Murthy lambasted Infosys’s decision to hand out high pay packages to top executives, including to former CEO Vishal Sikka and chief operating officer U.B. Pravin Rao.
Parekh’s salary is lower than what Infosys paid Sikka—who earned roughly Rs48 crore (over $7 million) in his first year at Infosys and the promised about Rs70 crore (over $11 million) after the board of Infosys raised his salary in his second year.
According to at least three people familiar with the details of Parekh’s compensation at Capgemini, this is a significant step-up for the 53-year-old, who made roughly up to $3 million at the Paris-based IT giant.
Wipro CEO Abidali Neemuchwala’s salary for 2016-17 was $2.09 million, including $800,000 in base pay, $150,244 in commission and other payouts of $1.13 million. At TCS, Tata Sons chairman N. Chandrasekaran earned Rs30.15 crore in compensation in 2016-17.
Chandrasekaran’s compensation included Rs2.44 crore in base pay, Rs25 crore in commission and Rs2.7 crore in allowances, and was paid out from April 2016 to February 2017. After February 2017, Chandrasekaran took over as chairman of Tata Sons.
Chandrasekaran’s successor Rajesh Gopinathan earned Rs6.22 crore from April 2016 to 21 February 2017, when he served as CEO. His compensation remained unchanged from February to March 2017 when he was CEO of TCS.
Cognizant, which follows a calendar-year reporting cycle, paid $12 million to CEO Francisco D’Souza in 2016."
434,2018-01-09,Infosys,"The tax agreement  is expected to result in reversal of tax provisions of about $225 mn made in the previous periods and boost Infosys basic earnings per share by about $0.10 for quarter ended 31 Dec

Bengaluru: Infosys Ltd on Tuesday said it has signed an agreement with the US Internal Revenue Service (IRS), resulting in an effective tax rate of about 100 basis points lower going forward.  
Bengaluru: Infosys Ltd on Tuesday said it has signed an agreement with the US Internal Revenue Service (IRS), resulting in an effective tax rate of about 100 basis points lower going forward. 
The Advanced Pricing Agreement (APA), now concluded following discussions initiated in 2015, is expected to result in reversal of tax provisions of about $225 million made in the previous periods and boost the company’s consolidated basic earnings per share by about $0.10 for quarter ended 31 December, the Bengaluru-based company said in a statement.
APA is an agreement between a taxpayer and the tax authority defining an appropriate methodology for computing taxable income.
The agreement covers financial years from 2011 to 2021 and the company expects to payout about $233 million over the next few quarters due to difference between taxes payable as per APA and the actual amount paid in the prior periods.
The APA will enhance predictability of company’s tax obligations in respect to US operations, Infosys added. Reuters"
436,2018-01-09,Infosys,"In other news, Moody's says the average common equity tier I ratio of rated state-run banks was 8.7%, as of September 2017, compared to 12.2% for rated private sector banks

Rs3,250 crore 
Rs3,250 crore
What is it? The maximum amount that Idea Cellular will raise by selling up to 326.6 million shares on a preferential basis to firms owned by its parent Aditya Birla Group, as per a plan approved by its board members on Thursday.
Why is it important? This comes ahead of the telecom company’s merger with Vodafone India and will increase Aditya Birla Group’s stake in Idea to 47.2% from 42.4% currently. The fundraising seems to be to meet merger conditions, and not due to any cash crunch or breach of covenant, according to a recent report by JM Financial. The proceeds from this fundraising, along with the sale of the tower businesses by Idea and Vodafone India separately, is likely to strengthen the balance sheet of the merged entity.
Tell me more: The Idea board also set up a committee of directors to evaluate options to raise an additional equity of Rs3,500 crore, including a further preferential issue, qualified institutional placement and rights issue.
Rs80,000 crore
What is it? The size of a plan put forth by the Indian government to recapitalise state-run banks by March as part of a two-year programme, for which it sought approval of Parliament on Thursday.
Why is it important? The Lok Sabha gave its green signal to the plan, which seeks to help public sector banks tackle their bad loan problems and revive credit growth. State-run banks account for two-thirds of India’s banking assets, but account for about 90% of bad loans, according to Credit Suisse Group. Last October, the government announced a plan to infuse Rs2,11,000 crore of capital in 21 banks, including Rs1,35,000 crore via recapitalisation bonds and Rs58,000 crore via stake sales by public sector banks.
Tell me more: According to Moody’s Investors Service, the average common equity tier I ratio of rated state-run banks was 8.7%, as of September 2017, compared to 12.2% for rated private sector banks. That gap is set to narrow with the government’s Rs2,11,000 crore plan.
Rs500
What is it? The price for which one can allegedly gain access to all details submitted by all individuals to the UIDAI (Unique Identification Authority of India), including name, photograph, phone number, address and email ID, according to a report by The Tribune.
Why is it important? If true, it is a major security breach of the world’s biggest biometric database that leaves a billion people at risk of identity theft. However, the UIDAI rubbished the report and said crucial data is secure, and said this appears to be an instance of misuse. It added that it has initiated legal proceedings, including filing an FIR against the persons involved in this case. The Tribune, in response, has countered UIDAI’s claims and has said that the government agency has admitted to misuse of data.
Tell me more: A year ago, the government said more than 111 crore people have an Aadhaar number, which covers over 99% of the country’s adult population.
Rs17.3 crore 
What is it? The likely compensation of Salil Parekh, Infosys’s new chief, in his first year ending March 2019, if he meets performance expectations. This can increase to Rs19.25 crore in the second year and Rs35.25 crore in the third year.
Why is it important? Parekh, who took over as CEO on 2 January on a five-year term, will draw a considerably lower package than his predecessor Vishal Sikka, who earned Rs48.7 crore in his first year. During Sikka’s tenure, Infosys co-founder N.R. Narayana Murthy had slammed the company’s board for approving salary hikes to the company’s COO and CEO that were significantly above the standard increase for an average employee.
Tell me more: Parekh’s annual compensation includes Rs6.5 crore as fixed salary and up to Rs9.75 crore as variable portion. On top of that, there are some equity grants. Parekh’s salary is also lower than his peers at Cognizant and TCS, but more than what he made in his previous role at Capgemini. 
0
What is it? The number of test series that India has won in South Africa out of the six they have played since 1992-93. India has lost five series and drawn one.
Why is it important? That’s the kind of history this Indian cricket team will be looking to reverse when it commences its tour of South Africa on Friday, with the first test match at Cape Town. India last toured South Africa in 2013-14. They go into this match without a warm-up game, opting out of one, and instead choosing practice sessions they could control.
Tell me more: India come into the series with a momentum of its own. In 2017, they won all the four test series they played in, losing only one of 11 test matches in the process.
howindialives.com is a search engine for public data"
435,2018-01-09,Infosys,"Infosys ex-CFO Balakrishnan says the CEO compensation should be reasonable enough to attract top talent while at the same time be comparable with peer group companies

Bengaluru: Former Infosys chief financial officer V.Balakrishnanon Saturday praised the company’s co-founder Nandan Nilekani for correcting the ‘wrongdoings’ committed by previous board, by fixing a reasonable salary for the incumbent CEO. 
Bengaluru: Former Infosys chief financial officer V.Balakrishnanon Saturday praised the company’s co-founder Nandan Nilekani for correcting the ‘wrongdoings’ committed by previous board, by fixing a reasonable salary for the incumbent CEO.
“I think the board under Nandan has done the right thing to correct the previous wrongdoings. The salary structure for the current chief executive officer Salil Parekh looks reasonable with a large part tied to variable salary with greater focus on long-term retention,"" he told PTI in Bengaluru.
Balakrishnan said it is important for the board to clearly articulate the performance metrics for the vesting of variable salaries to senior management.
“The metrics should have clear focus on increasing shareholders’ value by achieving superior growth. If the board wants to exercise any discretion it should be explained to the shareholders with proper reasoning,"" he said.
Infosys has fixed Parekh’s salary at Rs6.5 crores with an eligibility for variable pay of Rs9.75 crores at the end of the 2018-2019 fiscal year. 
Elaborating on the ‘wrongdoings’ by the previous board, Balakrishnan said, “unfortunately, it never clearly understood the culture or value systems followed by Infosys under its founders, which resulted in excessive senior management salaries and a huge disconnect with rest of the organisation."" “The former CEO’s (Vishal Sikka) salary was increased substantially without clear reason while the rest of the organisation had to contend with meager salary hikes and reduced variable compensation,"" he added.
The $20 billion target by 2020 was loosely used to justify the pay increase to the CEO that lacked conviction, Balakrishnan alleged. 
Recalling N.R. Narayana Murthy’s views, he said excess in capitalism will make the acceptance of capitalism difficult to a large sections of the society.
“The CEO compensation should be reasonable enough to attract top talent while at the same time be comparable with peer group companies,"" the company’s former CFO said.
“It should also reflect the realities within the organization otherwise selling it internally will be difficult,"" he added. 
Balakrishnan also said when the founders ran the company, the senior management salaries were reasonable enough to attract top talent and were never considered excessive. Also, in difficult times, the leadership took the pain before it being passed on to rest of the organisation, he added.
“Leadership by example was practised both in substance and form,"" Balakrishnan said. 
He also said, “As a shareholder, I want the board to be restructured quickly with some members who were part of the earlier dispensation like the erstwhile co-chairman (Ravi Venkatesan) and audit committee chairman (Roopa Kudva) be replaced.""
An effective board is the need of the hour to establish proper checks and balances that was lacking in the earlier dispensation, Balakrishnan said."
433,2018-01-11,Infosys,"Most companies, save for Infosys, are expected to grow faster in 2018-19 than in the current fiscal year and in 2016-17, according to multiple IT executives

To say 2017 was a tumultuous year for India’s $154-billion information technology (IT) outsourcing industry will be an understatement. 
To say 2017 was a tumultuous year for India’s $154-billion information technology (IT) outsourcing industry will be an understatement.
It was specially tumultuous for Infosys Ltd, India’s second largest software services company, which saw the departure in the August of Vishal Sikka, its first non-founder chief executive officer (CEO), after three years in the job.
Sikka left after a protracted battle between the board and some founders over corporate governance issues, paving the way for the return of co-founder Nandan Nilekani as non-executive chairman.
Job layoffs rattled the sector as India’s five largest companies, along with Cognizant Technology Solutions Corp., which together employ nearly one-third of the total information technology (IT) industry workforce of 3.9 million, saw a net reduction of 4,157 people in their headcount in April-September from the year-ago period.
These six companies had added 59,940 people in the first half of 2016-17.
US President Donald Trump’s protectionist measures made Indian companies hire more locals in their biggest market, dashing the hopes of young Indian engineers of getting their passports stamped with an American visa. 
Finally, IT companies continued to struggle for growth, primarily because of their inability to get more business from digital, the fuzzy word that clubs revenue from areas classified as social, mobile, analytics, cloud computing and Internet of Things.
Digital accounts for less than one-fourth of an Indian IT firm’s revenue, considerably less than Accenture Plc., which claimed that 55% of business in the November quarter came from selling these new technology solutions.
Understandably, for the first time, Accenture will outpace Tata Consultancy Services Ltd, Infosys, Wipro Ltd and Nasdaq-listed Cognizant in revenue growth in 2017-18.
Five IT firms returned Rs43,770 crore to shareholders through share buybacks, cheering shareholders at a few companies. 
Wipro’s stock gained 32.2% in calendar year 2017, outpacing the BSE IT index’s 10.8% rise. 
One bright spot was the smooth change of guard at TCS.
Rajesh Gopinathan, who took over as CEO in February after his predecessor Natarajan Chandrasekaran was appointed chairman of Tata Sons Ltd, the group holding company, has until now steered the company ably. 
TCS has retained all senior executives and even business continued uninterrupted, reflecting in the company winning a $2.25 billion outsourcing contract over nine years, the largest ever bagged by an Indian company, from television ratings measurement company Nielsen. 
So what does 2018 holds for the industry? 
Most companies, save for Infosys, are expected to grow faster in 2018-19 than in the current fiscal year and in 2016-17, according to multiple executives across the largest IT companies.
Make no mistake: structural challenges remain as the rise of cloud computing, along with a push towards automation and artificial intelligence platforms, means companies now earn less for the same scope of work done in the past.
Still, strong economic growth in the US has made decision makers at the largest Fortune 1000 companies spend more on technology, which will translate into more business for outsourcing companies.
Even so, as more commoditized outsourcing projects continue to be awarded at lower prices, profitability of these companies will remain under stress.
One important cost lever available to companies is to keep a tab on employee costs, which account for over half of their total operating expenses.
For this reason, more layoffs should be expected in FY19.
Infosys, under CEO Salil Parekh, who took over on 2 January, will be in the spotlight. Infosys, after growing faster than TCS for two straight years, will end the current fiscal year behind its larger Mumbai-based rival.
In the year ahead, Infosys will surely expand its board after three members, including chairman R. Seshasayee, resigned in August.
Years of underperformance at Wipro means it runs the risk of losing the position of the country’s third largest IT company to HCL Technologies Ltd, which has grown at a faster clip in the recent past.
Agreed, Wipro boss Abidali Neemuchwala has committed to steering the company back to industry-matching growth numbers by March 2018. For now, Wipro, which does not provide an annual revenue forecast, is expected to grow at-best 5% in the current fiscal year.
HCL Technologies expects to end with 12.2% growth. This translates to a $268 million difference between the two companies when they start the financial year in April—a gap that will be closed if HCL improves upon Wipro’s growth by 3.42% in FY19. Not impossible, for sure. 
Finally, both by design and accident, six of the 10 largest IT companies, including TCS, Infosys, Wipro, HCL Technologies, Mindtree Ltd and Zensar Ltd, have appointed CEOs during the past 24 months (after January 2016). Sanjay Jalona took over as CEO of Larsen and Toubro Infotech Ltd, only 30 months back, in August 2015. This is the only time when so many companies in the industry have relatively new leaders at the helm around the same time. As decisions made by a CEO take 18-24 to come to fruition, 2018 marks a year when the performance of each of these companies (and their leaders) will be under scrutiny."
432,2018-01-12,Infosys,"In other news, Tata Consultancy Services (TCS) said its net profit fell 3.6% to Rs6,531 crore in the December 2017 quarter

US stocks end higher; Asian shares open mixed 
US stocks end higher; Asian shares open mixed
The Dow Jones industrial average rose to an all-time high on Thursday as investors bet economic growth would pick up steam.
Asian shares clawed back slight gains on Friday after finishing slightly lower in the last session, with most major indexes in the region tracking the strong lead from Wall Street.
Reliance Jio planning its own cryptocurrency called JioCoin
After disrupting the telecom sector with its free offers and hyper-competitive tariffs, Reliance Jio Infocomm Ltd plans to create its own cyptocurrency, JioCoin.
Tata Global Beverages may sell stake in Amalgamated Plantations
Tata Global Beverages Ltd is looking to divest its 41% stake in Amalgamated Plantations Pvt. Ltd—India’s second largest producer and supplier of tea with estates in Assam and the Dooars region of West Bengal.
TCS Q3 net profit down 3.6% to Rs6,531 crore
Country’s largest IT firm Tata Consultancy Services (TCS) said its net profit fell 3.6% to Rs6,531 crore in the December 2017 quarter.
Price Waterhouse firms banned for 2 years over Satyam scam
The Securities and Exchange Board of India (Sebi) in an order banned all the firms in the Price Waterhouse network (PW firms) from auditing listed companies for two years. Read more.
India’s crude steel output hits record 100 million tonnes in 2017
The country’s crude steel production rose nearly 6% to hit an all-time high of 101.28 million tonnes (MT) last year, according to official data.
IndusInd Bank Q3 net profit rises 25% to Rs936.25 crore
Indusind Bank Ltd reported a 24.73% jump in its December quarter net profit on the back of higher net interest income and other income.
Earnings Corner
Infosys, Gail and Sintex Industries are among the companies that will be announcing their December quarter earnings today."
