,Date,Company,Article
157,,JSW,
156,2018-01-09,JSW,"In other news, Brookfield to buy Essar's equinox office complex for Rs2,450 crore

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Varroc Engineering plans to launch IPO
Tata Opportunities Fund-backed auto components maker Varroc Engineering Ltd plans to go public and has hired investment banks to advise it on the share sale, reports Mint, citing two people aware of the development. Read more
Aban Offshore promoters offer $600 million one-time settlement to lenders
Promoters of Aban Offshore Ltd have offered to pay up to $600 million in a one-time settlement to 17 banks to which it collectively owes nearly $2 billion, reports Mint, citing two people aware of the development. Read more
Brigade Enterprises may list proposed hotel unit as REIT
Bengaluru-based Brigade Enterprises Ltd, which is in the process of moving all its hotel assets into a separate unit, may consider listing the new entity as a real estate investment trust (REIT) or going public in the future as part of its strategy to expand its hospitality business, reports Mint, citing a top company executive. Read more
Burn Standard’s readies resolution plan, looks to raise Rs100 crore and sell land
State-owned wagon maker Burn Standard is planning to put up its land on sale to pay off about Rs100 crore dues to creditors of about Rs100 crore as the last ditch attempt to get out of bankruptcy proceedings, reports The Economic Times. Read more
Brookfield to buy Essar’s equinox office complex for Rs2,450 crore
Canadian institutional investor Brookfield Asset Management is set to buy Equinox Business Park from the Essar Group for Rs2,450 crore. Equinox, located just off Mumbai’s premier Bandra Kurla Complex (BKC) commercial district, is a 1.25 million square feet commercial property that was developed by the cash-strapped conglomerate’s realty arm, reports The Economic Times. Read more
Insolvency resolution: Sajjan Jindal’s JSW Steel may bid for Uttam Galva
Sajjan Jindal’s JSW Steel is likely to bid for Uttam Galva Steels, which is in the process of being referred to the National Company Law Tribunal (NCLT) from the Reserve Bank of India’s (RBI’s) second list (28 entities) of big defaulters, reports Business Standard. Read more
Mint had earlier reported that JSW Steel Ltd may team up with external investors to set up a platform for acquiring distressed assets, citing a top company official.
The group is open to various options including setting up a platform in partnership with financial sponsors as it looks for inorganic growth and opportunities in the distressed assets space where a number of large steel companies are facing bankruptcy, reported Mint, citing Seshagiri Rao, joint managing director and group chief financial officer. Read more
Investors eye Nagarjuna Oil for insolvency resolution bid
Nagarjuna Oil Corp. Ltd (NOCL) has attracted interest from at least three to four strong investors, including public sector firms and both foreign and Indian investors, as per the expression of interest (EoI) floated by the resolution professional (RP). A total of around 20 investors have bid for the resolution plan, reports Business Standard. Read more
Residential realty struggles as private equity firms focus on commercial
Private equity (PE) firms seem to be shifting their focus from residential to commercial real estate after a slew of reforms, such as the Real Estate (Regulation and Development) Act, or Rera, and the goods and services tax (GST), were implemented last year, reports Business Standard. Read more"
155,2018-01-24,JSW,"JSW Steel is interested in snapping up two struggling rivals, Bhushan Steel and Monnet Ispat & Energy, as part of an industry-wide wave of consolidation sparked by bankruptcy law to clear out distressed assets

Mumbai: JSW Steel Ltd is interested in snapping up two struggling rivals, Bhushan Steel Ltd and Monnet Ispat & Energy Ltd, as part of an industry-wide wave of consolidation sparked by a new bankruptcy law designed to clear out distressed assets. 
Mumbai: JSW Steel Ltd is interested in snapping up two struggling rivals, Bhushan Steel Ltd and Monnet Ispat & Energy Ltd, as part of an industry-wide wave of consolidation sparked by a new bankruptcy law designed to clear out distressed assets.
The Mumbai-based company will partner with Japan’s JFE Holdings Inc., which holds a 15% stake in JSW Steel, and other investors to bid for the assets, Sajjan Jindal, chairman of JSW Group, said in an interview with BloombergQuint at the World Economic Forum’s meeting in Davos. The acquired companies would be standalone assets and not part of JSW Steel to begin with, he said.
“The idea is to manage the show, the idea is to run the business profitably and once they turn around, then we will merge them and thereby control the company,"" he said. “So right now, we are not looking to have the majority.""
India’s insolvency law has set off a contest for more than $26 billion of steel assets, spurring interest from metals giants such as ArcelorMittal and Vedanta Resources Plc. Bidders are being lured by buoyant steel prices and the prospect of rising demand, powered by Prime Minister Narendra Modi’s investment program to upgrade India’s infrastructure.
JFE said last week it’s discussing possible expansion in India with its partner, although no decision had been made to bid for Bhushan Steel or other assets.
“India has a long way to go to build this country and steel is the basic material which is needed for building the nation, building the infrastructure,"" Jindal said. The sector will see a lot of consolidation as bigger players buy up smaller mills, which haven’t been very efficient in the past, he said.
Thursday marks the deadline for bids for Bhushan Steel. JSW Group is also eyeing the assets of Binani Cement Ltd and the power business of Jaypee Associates Ltd, Jindal said. Bloomberg"
154,2018-01-28,JSW,"JSW Steel has decided to bid for Bhushan Steel in a team. It has roped in its Japanese business partner JFE Steel Corp and Piramal Enterprises for the purpose

New Delhi: In a bid to give tough competition to competitors, JSW Steel Ltd is expected to double its bid value for debt-laden Bhushan Steel Ltd, a person privy to the development said. The last date to submit the bids now is 3 February 2018.  
New Delhi: In a bid to give tough competition to competitors, JSW Steel Ltd is expected to double its bid value for debt-laden Bhushan Steel Ltd, a person privy to the development said. The last date to submit the bids now is 3 February 2018. 
On 24 January, the insolvency resolution professional (IRP) of Bhushan Steel had extended the deadline for submission of resolution plans to 3 February 2018 from 25 January 2018. “The liquidation value has been set at Rs15,000 crore, below that the bid will not be accepted. Looking at the competition, JSW Steel is expected to double its bid amount. It can be between Rs25,000 crore to Rs30,000 crore,"" the person cited above said. 
Liquidation value is the minimum value set for a stressed asset by the committee of creditors. Below that bid will not be accepted. 
Luxembourg-based multinational steel firm ArcelorMittal and domestic industry major Tata Steel Ltd are also in the race for Bhushan Steel, which is undergoing insolvency proceedings. 
JSW Steel has decided to bid for Bhushan Steel, maker of auto-grade steel in India, in a team. It has roped in its Japanese business partner JFE Steel Corp. and Piramal Enterprises Ltd, which is the flagship firm of Piramal Group, for the purpose. 
Bhushan Steel, one of the 12 non-performing accounts referred by the Reserve Bank of India for National Company Law Tribunal (NCLT) proceedings, owes an amount of Rs44,478 crore to its lenders. According to the information on Bhushan Steel’s website, the company is the third largest secondary steel producer in the country with an existing steel production capacity of 5.6 million tonne per annum."
153,2018-01-29,JSW,"JSW Steel has offered Rs3,700 crore for Monnet Ispat, which owes over Rs10,000 crore to its lenders and undergoing insolvency resolution proceedings

New Delhi: JSW Steel has offered Rs3,700 crore for Monnet Ispat which is undergoing the insolvency resolution proceedings that are expected to be completed by mid-February, sources said.  
New Delhi: JSW Steel has offered Rs3,700 crore for Monnet Ispat which is undergoing the insolvency resolution proceedings that are expected to be completed by mid-February, sources said. 
JSW is a bidder in the resolution proceedings of Monnet Ispat, which owes more than Rs10,000 crore to its lenders. An email query sent to JSW Steel remained unanswered. 
“Out of Rs3,700 crore, Rs2,700 crore will be paid as cash to lenders. It would invest Rs1,000 crore as equity which will be used for settling dues of employees and workmen, operational creditors and used for the day-to-day running of the company,"" said the source requesting anonymity. 
The amount offered earlier was Rs3,500 crore but the lenders negotiated and “JSW Steel agreed to add another Rs200 crore"", he said. 
The last date to submit the plan was 23 December and JSW Steel along with AION Capital is the only firm which has submitted resolution plan, he said. 
As per the rules, the entire insolvency process has to end within 270 days. Priority should be 180 days and if not cleared another 90-day time can be sought. 
Monnet Ipsat is among the 12 defaulters referred by the Reserve Bank of India (RBI) for insolvency proceedings. Monnet Ispat and Energy Ltd (MIEL), the flagship company of Monnet Group, has a sponge iron unit with a capacity of one lakh tonnes per annum (TPA). 
MIEL has an integrated steel plant at Raigarh which has a production capacity of 1.5 MTPA to produce HR (hot rolled) plates, rebars and structure profiles to cater to the rapidly growing infrastructure and construction industry. 
Sajjan Jindal-led JSW Steel is in expansion mode. It has plans to raise its capacity to 45 MT by 2030 from 18 MT at present. Besides Monnet Ispat, the top steel maker is also eyeing Bhushan Steel and Bhushan Power and Steel."
152,2018-01-31,JSW,"The JSW Steel's net income jumped to Rs1,750 crore in the three months to 31 December, from Rs730 crore a year earlier

Mumbai: JSW Steel Ltd., India’s largest producer, saw its profit more than double to a record during the third quarter, helped by buoyant steel prices and rising volumes and boosting prospects for the company looking to expand capacity by snapping up some ailing domestic mills. 
Mumbai: JSW Steel Ltd., India’s largest producer, saw its profit more than double to a record during the third quarter, helped by buoyant steel prices and rising volumes and boosting prospects for the company looking to expand capacity by snapping up some ailing domestic mills.
JSW, in the race for at least three of the five steel assets on the block under the insolvency resolution process, is betting that India’s steel use is likely to grow at a strong pace on the back of government’s infrastructure spending and strengthening consumer demand, joint managing director Seshagiri Rao said in Mumbai.
Net income jumped to Rs1,750 crore ($274 million) in the three months to 31 December, from Rs730 crore a year earlier, the producer said in a statement on Wednesday. That compares with a forecast of Rs1,140 crore from 11 analyst estimates compiled by Bloomberg. Sales advanced 17% to Rs17,860 crore.
Global mills are looking at bumper profits as benchmark steel prices in China climbed to the highest in five years in December amid a cutback in capacity, reducing exports to the world market. Last week, South Korea’s top maker Posco posted a more than 60% surge in annual profit to the biggest since 2011 and Maanshan Iron & Steel Co. expects 2017 net income to jump 237% on year.
Declining steel exports from China have “eased the supply pressure across various global markets, lending a support to price"" amid improving demand, Rao said. Global growth is also firming and is positive for the sector, he said.
In India, where the government plans to spend trillions of dollars to upgrade its infrastructure, mills are scrambling to raise capacity to meet potential demand. JSW is interested in assets of Bhushan Steel Ltd. and Monnet Ispat & Energy Ltd., and will seek to partner with other investors, including JFE Holdings Inc., to bid for the assets, chairman Sajjan Jindal said last week.
The acquisitions, coupled with a planned expansion at existing plants, would help the steelmaker inch closer to its aim of reaching a capacity of 40 million metric tons by 2030 from 18 million tons now. Bloomberg"
151,2018-02-03,JSW,"JSW Steel and Piramal Enterprises are bidding jointly for Bhushan Steel after Japanese company JFE Steel Corp walked out of the alliance

New Delhi: JSW Steel and Piramal Enterprises are bidding jointly for Bhushan Steel after Japanese company JFE Steel Corp walked out of the alliance, a source in the know of the matter said. 
New Delhi: JSW Steel and Piramal Enterprises are bidding jointly for Bhushan Steel after Japanese company JFE Steel Corp walked out of the alliance, a source in the know of the matter said.
JSW Steel had roped in its Japanese business partner JFE Steel and Piramal Enterprises to bid jointly for Bhushan Steel, the maker of auto-grade steel in India undergoing insolvency proceedings for non-payment of dues.
“JFE has walked out. JSW Steel and Piramal Enterprises will now bid for Bhushan Steel,"" the source said requesting anonymity.
The bid for Bhushan Steel closes today.
E-mail queries sent to JSW Steel and other two companies to seek response remained unanswered. 
Besides JSW Steel, Luxembourg-based multinational steel firm ArcelorMittal and domestic industry major Tata Steel and are said to be in race for Bhushan Steel.
Asked if JSW Steel could lower its bid as Japanese partner has opted out now, the source said, “JSW is in expansion mode, no matter one partner has gone, JSW can even increase the bid along with Piramal. It will be a 50:50 partnership now"".
JSW Steel reportedly had plans to offer Rs30,000 crore, double of the liquidation amount, for Bhushan Steel. Liquidation value is the minimum value set for a stressed asset by the committee of creditors. 
According to Bhushan Steel’s website, the company is the third largest secondary steel producer in the country with an existing steel production capacity of 5.6 million ton per annum.
JSW Steel is in expansion mode and is also evaluating various opportunities for acquisitions to achieve the target of becoming 40 mt by 2030."
150,2018-02-04,JSW,"JSW Steel, which is first time entering mineral rick Odisha state, had originally proposed to set up a 10 mtpa capacity shore-based steel plant

Mumbai: The Sajjan Jindal-controlled JSW Steel has sought permission to acquire 2,980 acres to set up a mega steel plant at Paradip in Odisha and has also sought the green nod for the same. 
Mumbai: The Sajjan Jindal-controlled JSW Steel has sought permission to acquire 2,980 acres to set up a mega steel plant at Paradip in Odisha and has also sought the green nod for the same.
“We have applied for 2,980 acre to set up a steel plant and are awaiting the final approval from Odisha. We are also seeking forest clearance for the plant at Paradip. We will decide on capacity of the plant once we have approvals in hand,"" JSW Steel joint managing director and group CFO Seshagiri Rao said. 
JSW Steel, which is first time entering mineral rick Odisha state, had originally proposed to set up a 10 mtpa capacity shore-based steel plant. The state is expected to hand over the land it had acquired originally for a 12 mtpa steel project proposed by POSCO at Jagatsinghpur district. Rao refused to divulge investment details saying that will be finalised after the land allocation. 
The Korean steel giant had in 2005 announced a Rs52,000 crore investment to set up a 12 million tonne plant but due to land acquisition issues abandoned the same after waiting for more than a decade. JSW Steel is in expansion mode and is also evaluating various opportunities for acquisitions to achieve the target of becoming 40 mt by 2030, Rao said. 
JSW Steel is also scouting for three stressed assets and bidding for Bhushan Steel and Bhushan Power & Steel and Monet Ispat which are all at the NCLT. “We are actively looking at Bhushan Steel, Bhushan Power & Steel and Monnet Ispat & Energy. We have already submitted the resolution plan for Monnet Ispat and finalise bidding process for Bhushan Steel and Bhushan Power & Steel,"" Rao added. 
Bhushan Steel, Bhushan Power & Steel and Monnet Ispat are among the first list of 12 large companies which were referred by the Reserve Bank to the National Company Tribunal Law (NCLT) for insolvency proceedings. Monnet Ispat, the flagship of the Monet Group, has a sponge iron unit with a capacity of 1 lakh tonne per annum. It also has an integrated steel plant in Raigarh in Chhattishgrah with HR coil capacity of 1.5 mt. Bhushan Steel owes an amount of Rs44,478 crore to its lenders. According to the information on Bhushan Steel website, it is the third largest secondary steel producer with an existing steel production capacity of 5.6 mt. 
Commenting on expansion plans, Rao said the company’s doubling of steel making capacity from 5 mtpa to 10 mtpa is expected to be commissioned by March 2020. The expected project cost is Rs15,000 crore implying capital outlay of $470 per tonne. It is also expanding its Vijayanagar CRM complex capacity from 0.85 mtpa to 1.8 mtpa expected to be commissioned by September 2019. 
The project cost is estimated at Rs2,000 crore, he said. To cater to the growing market of tinplate for packaging industry, the company is setting up a tinplate mill having 0.2 mtpa capacity at Tarapur in Maharashtra at an estimated cost of Rs650 crore."
149,2018-02-05,JSW,"JSW Steel said it submitted resolution plans before the 6 pm deadline on Saturday for Bhushan Steel, which is undergoing insolvency proceedings

New Delhi: JSW Steel said on Sunday that it has submitted resolution plans for Bhushan Steel, which is undergoing insolvency proceedings.  
New Delhi: JSW Steel said on Sunday that it has submitted resolution plans for Bhushan Steel, which is undergoing insolvency proceedings. 
According to sources, Tata Steel has also submitted bid for the debt-ridden company. A Tata Steel spokesperson however declined to comment. Luxembourg-based ArcelorMittal said in a statement that it has not submitted resolution plan Bhushan steel. 
Saturday was the last day for submitting bids for the maker of auto grade steel. 
“ArcelorMittal can confirm it has not bid for Bhushan steel, but we remain interested at looking at future opportunities in India,"" it said. 
JSW Steel said meanwhile that it had submitted resolution plans on Saturday, before the 6 pm deadline. The highest bidder is expected to be announced on Tuesday, people privy of the development said. 
Bhushan Steel, one of the 12 non-performing accounts referred by the Reserve Bank of India for National Company Law Tribunal (NCLT) proceedings, owes Rs44,478 crore to its lenders. As per Bhushan Steel’s website, it is the third largest secondary steel producer in the country with annual capacity of 5.6 million tonne."
148,2018-02-08,JSW,"JSW- Piramal's offer roughly translates into a 50% haircut for Bhushan Steel's lenders which has an overall debt Rs42,355 crore

Mumbai: The combine of JSW Steel Ltd and Piramal Enterprises Ltd has offered a payment of Rs29,700 crore to lenders of debt laden Bhushan Steel Ltd which currently facing corporate insolvency proceedings, two people aware of the ongoing bidding process for the troubled steel company have told Mint on condition of anonymity.  
Mumbai: The combine of JSW Steel Ltd and Piramal Enterprises Ltd has offered a payment of Rs29,700 crore to lenders of debt laden Bhushan Steel Ltd which currently facing corporate insolvency proceedings, two people aware of the ongoing bidding process for the troubled steel company have told Mint on condition of anonymity. 
According to the people cited above, JSW-Piramal has placed bid of Rs29,700 crore, offering a upfront cash payment of Rs28,000 crore to the banks and has offered to invest another Rs1,700 crore as fresh equity into the company. 
JSW- Piramal’s offer roughly translates into a 50% haircut for Bhushan Steel’s lenders which has an overall debt Rs42,355 crore. JSW has also proposed to expand the production capacity of Bhushan Steel from existing 7.1 mtpa to 10 mtpa. A JSW spokesperson declined requests for comment while emails sent to the interim resolution professional of Bhushan Steel and Tata Steel were yet to receive any response. 
According to the people cited above Tata Steel Ltd has also bid for Bhushan Steel but the value of the bid was not immediately known . The third bid made by a section of Bhushan Steel’s employees is likely to be disqualified it was not supported by a bank guarantee, they said. The liquidation value of Bhushan Steel was earlier fixed at Rs20,000 crore, the people cited above said. 
“The bids were opened today and the committee of creditors of Bhushan Steel will now evaluate the resolution plans submitted by the bidders “ said the first person cited above. “ There is a possibility that the creditors will also engage with Tata steel before a final decision is made.
Bhushan Steel is the largest manufacturer of auto-grade steel in India, making flat products, hot rolled and cold rolled coils, besides operating a galvanised coil and sheet line. Its clients include General Motors Co., Hyundai Motors Co., Ford Motor Co., Mahindra and Mahindra Ltd and Eicher Tractors Ltd. Essar Steel, meanwhile, has increased capacity utilization to 7.1 mtpa, from 35% in 2015 to over 80% in 2017. Bhushan Steel is among the 12 cases identified by the Reserve Bank of India for early bankruptcy proceedings."
