,Date,Company,Article
176,,Kotak,
175,2018-01-08,Kotak,"Varroc Engineering, an auto components firm backed by Tata Opportunities Fund, is said to have appointed Kotak Mahindra Capital and Credit Suisse to manage the IPO

Mumbai: Tata Opportunities Fund-backed auto components maker Varroc Engineering Ltd plans to go public and has hired investment banks to advise it on the share sale, said two people aware of the development. 
Mumbai: Tata Opportunities Fund-backed auto components maker Varroc Engineering Ltd plans to go public and has hired investment banks to advise it on the share sale, said two people aware of the development.
Founded in 1990, Aurangabad-based Varroc supplies exterior lighting systems, power trains, electrical and electronic parts, and body and chassis parts to passenger car and motorcycle makers in India and abroad.
“Varroc had been in talks for an initial public offering (IPO) for a while and they have appointed investment banks Kotak Mahindra Capital and Credit Suisse to manage their initial share sale. They plan to soon file their draft red herring prospectus with an eye on going public sometime this year,"" said one of the two people cited above, requesting anonymity as he is not authorized to speak to the media.
According to the second person, the proposed IPO could be a mix of a primary fund raising and a secondary share sale.
“Tata Opportunities Fund is likely to sell part of its stake through the IPO, while the company will look to raise funds to invest in the business. The exact quantum of these are yet to be finalized,"" he said. He too requested anonymity.
Tata Opportunities Fund invested Rs300 crore in Varroc in 2014. It holds a significant minority stake in the company.
Credit Suisse declined to comment on the development. An email sent to Kotak Mahindra Capital did not elicit any response. “The company is not in a position to comment on the queries,"" said a spokesperson for Varroc Engineering in an email response to queries from Mint.
The Varroc group has 37 manufacturing facilities, 12 engineering centres, 13,500 employees and 760 engineering experts in 10 countries, according to the company’s website. Varroc claims to be the number one two-wheeler automotive component supplier in India.
According to the company’s filings with the registrar of companies (RoC), Varroc had consolidated revenue of Rs8,372.5 crore in the financial year 2015-16, up from Rs7,021.8 crore in the previous year. In 2015-16, Varroc earned a consolidated profit of Rs245.5 crore, down from a profit of Rs303.8 crore in the previous year.
Varroc derives almost 39% of its revenue from the North American market, while India and Europe contribute around 30% and 23% respectively, data from the company’s filings show.
Varroc’s plans to go public follow a record year of fund-raising. In 2017, 36 companies raised Rs67,147 crore through the IPO route, while in 2016, 26 companies raised Rs26,493.8 crore through IPOs. Varroc is not the only auto component maker that is planning to tap the buoyant IPO market.
Last month, auto component manufacturer Sandhar Technologies Ltd filed its draft papers with market regulator Securities and Exchange Board of India (Sebi) to raise Rs300 crore through an IPO. Apart from a fresh issue of equity shares worth Rs300 crore, the public offering comprises of an offer for sale of 8 million shares by private equity firm GTI Capital."
174,2018-01-19,Kotak,"Kotak Mahindra Bank's net profit rose to Rs1,053.21crore in the quarter ended 31 December, from Rs879.76 crore a year earlier

Mumbai: Kotak Mahindra Bank Ltd on Friday reported a 19.7% increase in its fiscal third-quarter profit on higher net interest income (NII) and other income. 
Mumbai: Kotak Mahindra Bank Ltd on Friday reported a 19.7% increase in its fiscal third-quarter profit on higher net interest income (NII) and other income.
Net profit rose to Rs1,053.21 crore for the three months ended 31 December from Rs879.76 crore in the same quarter a year earlier. According to 17 analysts surveyed by Bloomberg, the bank was expected to post a net profit of Rs963.80 crore.
On a consolidated basis, the bank reported a net profit of Rs1,624 crore, up 28% from a year ago.
NII, or the core income a bank earns by giving loans, increased 16.8% to Rs2,393.72 crore compared with Rs2,050.32 crore last year. Other income rose 14.2% to Rs1,039.82 crore from Rs910.22 crore a year ago.
Provisions and contingencies rose 10.76% to Rs212.77 crore from Rs192.10 crore a year ago. On a quarter-on-quarter basis, it fell 1.74% from Rs216.53 crore.
Gross non-performing assets (NPAs) rose 16.9% to Rs3,714.99 crore at the end of the December quarter from Rs3,177.88 crore in the same quarter a year earlier. The bank said restructured loans considered standard stood at Rs67 crore or 0.04% of net advances during the quarter. 
As a percentage of total loans, gross NPAs improved to 2.31% as compared to 2.47% in the previous quarter and 2.42% in the year-ago quarter. Net NPAs were at 1.09% in the December quarter compared to 1.26% in the previous quarter and 1.07% in the same quarter a year earlier. The management said the bank has a total exposure of Rs300-400 crore in six accounts from the second list of corporate defaulters referred to the National Company Law Tribunal. 
Advances rose 23% from a year ago to Rs1.59 trillion. Deposits gained 21% to Rs1.81 trillion. Personal loans and credit cards grew by 45% each and corporate loans saw a growth of 20%. 
IDFC Bank Ltd, on the other hand, reported a 23.6% decline in its fiscal third quarter profit due to a fall in NII, other income and higher other operating expenses.
Net profit fell to Rs146.11 crore for the quarter ended 31 December from Rs191.26 crore a year ago. According to a Bloomberg survey of four analysts, IDFC Bank was expected to post a net profit of Rs178.80 crore.
NII decreased 5% to Rs494.96 crore in the December quarter from Rs520.77 crore in the same period a year earlier. Other income fell 31% to Rs230.79 crore from Rs334.20 crore. 
Asset quality improved and provisions fell sharply during the quarter. Gross NPAs fell 22.6% to Rs2,776.67 crore at the end of the December quarter from Rs3,586.70 crore in the same quarter last year.
Shares of Kotak Mahindra Bank rose 0.34% to close at Rs1,049 on BSE, while IDFC Bank’s scrip rose 0.4% to Rs58.60; the exchange’s benchmark Sensex rose 0.25% to 35,348.63 points."
173,2018-01-22,Kotak,"Kotak Mahindra Bank MD Uday Kotak says WEF Davos 2018 is a very big opportunity for the country to demonstrate the New India that is being built

Davos: Pitching for a nuanced message at the World Economic Forum (WEF) to present India as an open economy which cares for interest of domestic as well as global audience, Kotak Mahindra Bank managing director Uday Kotak on Monday said the country needs to position itself as a statesman and not just a salesman. 
Davos: Pitching for a nuanced message at the World Economic Forum (WEF) to present India as an open economy which cares for interest of domestic as well as global audience, Kotak Mahindra Bank managing director Uday Kotak on Monday said the country needs to position itself as a statesman and not just a salesman.
Kotak, who is at the World Economic Forum’s annual meeting in Davos, said it is a very big opportunity for the country to demonstrate the new India that is being built. “Also, we must understand that following our prime minister, US President Donald Trump is also coming to Davos with his ‘America First’ policy and he is coming after cutting corporate tax rates and after making big corporates bring back jobs and profits to America,"" Kotak told PTI in an interview.
“Therefore, we need to get our messaging right when Trump is likely to talk about how Americans are making America great again. So India needs to say here that we are welcoming the world and we are building a new India,"" he said.
Kotak, who set up one of India’s most successful new age banks and has been expanding it into a major financial sector conglomerate including through acquisitions, said Davos is a big opportunity for India this year and “India needs to position itself in a statesman position and not in a salesman position here"".
Referring to Chinese Premier Xi Jinping’s opening plenary address last year at Davos, he said, China took a position last year that it was an open platform for the world economy. America is now championing America First, so India needs to position itself uniquely, he said.
“We need to tell the world we are an open economy but at the same time India has aspirations to build a new India. We need to articulate that we need the world’s investments but at the terms that make sense to us and to everybody else,"" he said on expectations from Prime Minister Narendra Modi’s opening plenary on Tuesday.
“We need to give a message that is nuanced between where Trump is likely to position himself and where China positioned itself last year. India is no longer a salesman to the world and we need to position ourselves as the statesman now,"" he said.
Kotak said the government leaders and chief executives from India need to brand and market the country’s great story at Davos while understanding the subtle difference between sales and marketing. “I’m sure our prime minister is the best person in presenting a great branding of India and in marketing our success story,"" he said. PTI"
172,2018-02-01,Kotak,"Suneet Weling to join BNP Paribas's Indian arm as managing director and head of advisory, capital markets and financing

Mumbai: Suneet Weling, executive director at the investment banking division of Kotak Mahindra Bank, will join French banking group BNP Paribas’s Indian arm as managing director and head of advisory, capital markets and financing, said multiple people aware of the development.  
Mumbai: Suneet Weling, executive director at the investment banking division of Kotak Mahindra Bank, will join French banking group BNP Paribas’s Indian arm as managing director and head of advisory, capital markets and financing, said multiple people aware of the development. 
Weling has advised several Indian and international companies on mergers and acquisitions and capital-raising in India during his seven-year stint at Kotak Mahindra. He will now report to Ganeshan Murugaiyan, managing director, head of investment banking and strategic coverage at BNP Paribas India. 
When contacted, Weling confirmed the development but declined to disclose details. A spokesperson for BNP Paribas declined to comment while an email sent to Kotak Mahindra Bank went unanswered till press time. 
As executive director for investment banking at Kotak Mahindra Capital Co., Weling has closely worked with several Indian conglomerates and financial institutions including the Tata Group, Housing Development and Finance Corp. (HDFC), ICICI Bank and Piramal Enterprises. Some key transactions he was involved with at Kotak include the $767 million compulsory convertible bond issue for Piramal, non-convertible debentures and warrants worth $1.5 billion for HDFC, $1.2 billion worth of rights issues for Tata Motors, a $750 million follow-on offering for Tata Steel and a $330 million rights issue for Tata Power Ltd.
Prior to Kotak, Weling was a director at Deutsche Bank in Singapore, where he focused on clients in south-east Asia. Before moving to Singapore, Weling was an investment banker in New York at Dillon Read, UBS and Merrill Lynch, where he primarily focused on the telecom, media and technology sectors. 
Weling has a master’s degree in business administration from the Stern School of Business at New York University and a master’s in public administration from the John F. Kennedy School of Government at Harvard University. 
BNP Paribas strengthened its investment banking arm in India by hiring Murugaiyan in 2011 as head of investment banking and global strategic coverage for India. 
In 2013, Jwalant Nanavati, former director (investment banking) at Deutsche Bank in India, joined BNP Paribas India as head of advisory and capital markets in India. 
Recent deals on which BNP Paribas advised companies include the Rs8,400 crore IPO of SBI Life Insurance, the Rs485 crore IPO of GTPL Hathway Ltd, and the Rs1,151 crore qualified institutional placement of Syndicate Bank."
171,2018-04-11,Kotak,"Some analysts see Axis Bank as a potential acquisition target of Kotak Mahindra Bank, but others continue to prefer Axis Bank to ICICI Bank

Mumbai: Shares of Axis Bank Ltd on Tuesday gained 5.4%, the most in more than five months, on speculation that India’s third largest private lender could be a potential acquisition target after its board accepted managing director Shikha Sharma’s plea to cut her fourth three-year term to seven months. 
Mumbai: Shares of Axis Bank Ltd on Tuesday gained 5.4%, the most in more than five months, on speculation that India’s third largest private lender could be a potential acquisition target after its board accepted managing director Shikha Sharma’s plea to cut her fourth three-year term to seven months.
Sharma, who joined Axis Bank in 2009, will now step down on 31 December. Her fourth term as managing director and chief executive was originally set to end in June 2021.
“Our assessment suggests that Axis Bank will have to look for an external CEO. We believe this presents a great opportunity for Kotak Bank to acquire one of the largest liability/retail asset franchises,"" Nomura Financial Advisory and Securities (India) Pvt. Ltd said in a note.
Shares of Axis Bank touched a 16-month high of Rs627.50 on 23 January, but have eroded 13% since then.
In an interview to Bloomberg in November, Kotak Mahindra Bank managing director Uday Kotak had said the bank was open to acquisitions.
“We are pretty open to acquisitions as long as they make strategic sense, are value-accretive and are a good cultural fit,"" Kotak said.
According to Nomura, at current prices, the deal would be more than 40% accretive to the EPS/BPS (earnings per share/book value per share) of Kotak Bank.
“This should make it possible for Kotak Bank to offer some premium to Axis Bank shareholders to make the deal attractive to Axis Bank minority shareholders,"" Nomura analysts said, adding that the deal would be more than 25% accretive for Kotak Bank even after paying a 10-30% premium for Axis Bank.
A Kotak Mahindra Bank spokesperson said the bank does not comment on rumours and speculation. An Axis Bank spokesperson did not respond to an email seeking comment.
Jefferies India Pvt. Ltd said it continues to prefer Axis Bank to ICICI Bank Ltd.
“We recommend a positive outlook for the stock. The stock has corrected 11% in the last three months vs ~3% correction for the broader market index,"" Jefferies analysts said in a note on Monday.
“We believe this captures a fair amount of bad news in the Mar ’18 quarter. If indeed the bank undertakes a clean-up exercise, we believe the H2FY19 outlook and beyond should improve dramatically,"" Jefferies added.
Larger rival ICICI Bank also saw its shares rise 3% on Tuesday, taking respite from rating agency Fitch Ratings’ comments on Monday that the bank’s rating is underpinned by relatively strong capitalization and profitability, and its core capitalisation would remain strong even if the Videocon loan in question were completely written off. 
The ratings agency, however, said the allegations did pose “reputational risks"" to the bank. 
The allegation relates to a loan to Videocon Group, whose controlling shareholder co-founded a separate company with the husband of ICICI Bank’s CEO Chanda Kochhar. A significant portion of the loan has since become non-performing."
170,2018-04-17,Kotak,"Kotak Mahindra Bank shares beat SBI for the first time to become the second most valued bank in the country

Mumbai: Shares of private lender Kotak Mahindra Bank Ltd on Monday beat India’s largest lender State Bank of India (SBI) for the first time to become the second most valued bank in the country. 
Mumbai: Shares of private lender Kotak Mahindra Bank Ltd on Monday beat India’s largest lender State Bank of India (SBI) for the first time to become the second most valued bank in the country.
Data from BSE showed that Kotak Mahindra Bank has a market capitalization of  ₹ ,22970.40 crore, after its shares closed 1.88% on Monday to record high of  ₹ 1170.05. Earlier in the day, Kotak Mahindra Bank shares climbed 2.22% to an all-time high of  ₹ ,174 apiece. So far this year it gained 16%.
SBI market capitalization stood at Rs2,22,043.74 crore. Its shares were trading at Rs248.80 on BSE, down 1% from its previous close.
HDFC Bank Ltd remained country’s most valuable bank with a market capitalization of Rs5.04 trillion.
Investors buying shares of Uday Kotak-promoted lender Kotak Mahindra Bank due to a continued improvement in business growth, stable asset quality with net non preforming assets of 1% ratio and negligible restructured assets. Investors also expects that going ahead its non banking operations will continue to give robust growth in future.
“Kotak Bank has undoubtedly proven its competitive edge over its private sector peers with higher fee income, superior asset quality management and effective management of financial business arms. It continues to witness moderation in SMA-2 balance, which clearly suggests a stable trend on asset quality front. Looking ahead, we expect strong traction in earnings to continue owing to robust growth in loan book, moderate credit cost and healthy margins,"" said HDFC Securities in a 19 January note.
Of the 37 brokers tracking the Kotak Mahindra Bank stock on Bloomberg, as many as 26 recommended a “buy"" rating, four asked its investors to “sell"" the stock and 7 have a “hold"" rating.
Shares of SBI along with other public sector banks fell after Punjab National Bank on 14 February reported that it detected fraudulent banking transaction at one of its branches in Mumbai.
After the PNB fraud came to light, SBI shares declined nearly 10%, while Nifty PSU Bank index slumped 18.4%. Since then many banks reported exposure to this fraud and police arrested various public sector bank employees and top management of private sector.
SBI stock had already been under pressure after the bank reported a surprise loss of Rs2,416 crore for December quarter as its bad loans and provisions spiked.
“SBI earning for December quarter underscores the challenges in asset quality albeit moderation in the pace of NPL accrual. The group would benefit from the NPL resolution underway through insolvency proceedings. However, the overhang from stressed assets not recognised as impaired, headwinds to margin outlook in the near term, and moderation in growth imply protracted time for the group to deliver normalised level of earnings and profitability,"" said brokerage firm IIFL Institutional Equities in a 12 February note.
Of the analysts covering SBI stock, 42 have a “buy"" rating, six have a “hold"" rating, while two have a “sell"" rating, shows Bloomberg data."
169,2018-04-24,Kotak,"Kotak Mahindra Bank Ltd aims to recover Rs3-3.5 crore following resolution

Mumbai: Kotak Mahindra Bank Ltd has asked the dedicated bankruptcy court conducting insolvency proceedings against Monnet Ispat and Energy Ltd to include it in the list of “assenting"" lenders in favour of the resolution plan submitted offered jointly by JSW Steel Ltd and AION Capital Partners Ltd. 
Mumbai: Kotak Mahindra Bank Ltd has asked the dedicated bankruptcy court conducting insolvency proceedings against Monnet Ispat and Energy Ltd to include it in the list of “assenting"" lenders in favour of the resolution plan submitted offered jointly by JSW Steel Ltd and AION Capital Partners Ltd.
On Tuesday, senior counsel Darius Khambata, representing Kotak Mahindra Bank, said the bank, an unsecured financial lender to Monnet Ispat and Energy, was among the dissenting unsecured financial creditors until now but would now want to be an “assenter"", or part of the lenders who have approved the resolution plan.
“We are an unsecured financial creditor with a claim of around Rs73 crore. However, if we become an ‘assenter’, we may get to recover around Rs3-3.5 crore,"" said Khambata. “This will not change anything in the resolution plan that has been submitted since the resolution plan has been passed by about 98% majority approval from the committee of creditors,"" he added.
After hearing arguments, the division bench of the National Company Law Tribunal (NCLT) comprising B.S.V. Prakash Kumar and Ravi Kumar Duraisamy directed the bank to file an affidavit in this regard and posted the hearing for 25 April.
The bench observed that any decision on a change in Kotak Mahindra Bank’s status after the 270-day deadline and submission of the plan to NCLT could set a precedent.
“The admitted claims towards Monnet Ispat & Energy are about Rs11,400 crore, while the liquidated value of the company stands at around Rs2,365 crore,"" argued Ravi Kadam, senior counsel representing the resolution professional in the matter.
“The lenders stand to take around 75% haircut in the matter,"" he added.
At the beginning of the month, the tribunal had directed the resolution professional of Monnet Ispat and Energy to include the claims of ICICI Bank (Rs486 crore), IFCI Ltd (Rs158 crore) and Standard Chartered Bank (Rs147 crore) in the steelmaker’s bankruptcy proceedings.
Monnet Ispat is part of the first lot of 12 large non-performing loans referred by the Reserve Bank of India (RBI) for early resolution under the Insolvency and Bankruptcy Code (IBC) last year.
A consortium of AION Capital Partners and JSW Steel Ltd has made a binding offer for Monnet Ispat which was approved by the committee of creditors. AION Capital holds a 70% stake in the consortium while JSW Steel holds the rest.
If the plan gets approved by the Mumbai bench of NCLT, this will be the second resolution plan from the so-called first list of RBI. On 17 April, NCLT Kolkata had approved the resolution plan submitted by Vedanta Ltd for Electrosteel Steels."
168,2018-04-29,Kotak,"Market sentiment this week would be driven by earnings from blue-chips like HDFC and Kotak Mahindra Bank, PMI data, trend in crude oil prices and rupee movement

New Delhi: The quarterly earnings report card of blue-chips like HDFC and Kotak Mahindra Bank, trend in crude oil prices, macroeconomic data points and rupee movement would dictate the stock market trend in a holiday-shortened week ahead, say experts.  
New Delhi: The quarterly earnings report card of blue-chips like HDFC and Kotak Mahindra Bank, trend in crude oil prices, macroeconomic data points and rupee movement would dictate the stock market trend in a holiday-shortened week ahead, say experts. 
Stock markets are closed on Tuesday for ‘Maharashtra Day’. 
“Earnings and election will be the main triggers for the market, while investors will have to keep an eye on domestic headwinds like rise in oil price and rupee movement. On the other hand, earnings season has started on a positive note led by private sector banks and IT companies which will keep the underlying trend. “Global market sentiment will be based on the outcome of two day FOMC meet which is scheduled to start from 1st of May,"" said Vinod Nair, head of research, Geojit Financial Services. 
Market sentiment would also be driven by Purchasing Managers Index (PMI) data for the manufacturing and services sectors due this week. 
“Going ahead, the focus would be on corporate earnings, bond yields (US as well as in India) and crude price. While better-than-expected results in IT and couple of banks have kept the market sentiment high, weak numbers from other sector stocks in coming days could lead to downside for the market,"" said Sanjeev Zarbade, vice president-PCG Research, Kotak Securities. 
Major companies scheduled to declare their earnings this week include HDFC, Kotak Mahindra Bank, HCL Technologies, Hero MotoCorp, Tata Power, Adani Ports and Special Economic Zone, Adani Power and Bank of Maharashtra. 
Shares of Reliance Industries Ltd would also remain in focus on Monday as the company’s result came in after market hours on Friday. 
“Going ahead the main trigger for the market would be mid-May election results which could swing the mood either ways for our indices and therefore it is expected that the markets will oscillate in a range-bound manner till clarity emerges in the political conundrum,"" said Jimeet Modi, founder and CEO, Samco Securities. Auto stocks would also remain in focus amid sales data announcement. 
Over the last week, the Sensex surged 554.12 points, or 1.61% to end at 34,969.70."
167,2018-04-30,Kotak,"Kotak Mahindra Bank's fourth-quarter net profit rises 15.11% to Rs1,124.05 crore, boosted by higher net interest income and other income

Mumbai: Kotak Mahindra Bank Ltd Monday reported an over 15% jump in March quarter net profit, boosted by higher net interest income and other income.  
Mumbai: Kotak Mahindra Bank Ltd Monday reported an over 15% jump in March quarter net profit, boosted by higher net interest income and other income. 
Net profit for the quarter stood at Rs1,124.05 crore against Rs976.48 crore a year ago, the bank said. A Bloomberg poll of 11 analysts had expected the bank to post a net profit of Rs1,170.20 crore. 
Net interest income (NII), or the core income a bank earns by giving loans, increased 19.4% to Rs2,579.75 crore, versus Rs2,161.37 crore last year. Other income stood at Rs1,151.63 crore, up 14.86% from Rs1,002.65 crore a year ago. 
Uday Kotak, who has been re-designated as managing director and chief executive officer, said the profit growth would have been even higher, had it not been for the one-time hit of Rs82 crore related to employee costs from change in gratuity limits. 
Provisions and contingencies rose 14.8% to Rs306.91 crore from Rs267.37 crore a year ago. On a quarter-on-quarter basis, they rose 44.24% from Rs212.77 crore. 
Kotak said overall provisioning costs, which fell to 56 basis points in the previous fiscal from 61 basis points a year before, is expected to fall further. However, this will also depend on the movement in the bond market. 
Gross non-performing assets rose to Rs3,825.38 crore at 31 March from Rs3,578.61 crore in the same quarter last year. 
The bank reported an improvement in asset quality. 
As a percentage of total loans, gross NPAs stood at 2.22% compared with 2.31% in the previous quarter and 2.59% in the year-ago quarter. Net NPAs were at 0.98% in the March quarter compared to 1.09% in the previous quarter and 1.26% in the same quarter last year. 
On the overall stressed assets situation, Kotak said his group is keen on participating in the auctions of companies under the Insolvency & Bankruptcy Code, but the focus will be on ensuring that such participation will yield a fair risk-return ratio. 
Kotak Realty Fund, along with Cube Highways, has submitted a bid for Jaypee Infratech, one of the 12 cases referred for insolvency proceedings following the Reserve Bank of India’s (RBI) directive last year. 
Kotak said in cases where banks have received a single bid, the value of that bid is close to liquidation value. However, one must not rule out the resolution of assets via liquidation."
