,Date,Company,Article
101,,Larsen,
99,2018-01-31,Larsen,"Sebi's high powered advisory committee recommended the case against L&T and two of its senior officials for settlement on the payment of amount totalling Rs10.27 lakh

New Delhi: Engineering major Larsen & Toubro (L&T) and its non-executive chairman A.M. Naik as well as director Shailendra Roy have settled with markets regulator Securities and Exchange Board of India (Sebi) a probe into late compliance with insider trading norms by paying over Rs10 lakh.  
New Delhi: Engineering major Larsen & Toubro (L&T) and its non-executive chairman A.M. Naik as well as director Shailendra Roy have settled with markets regulator Securities and Exchange Board of India (Sebi) a probe into late compliance with insider trading norms by paying over Rs10 lakh. 
However, Sebi did not disclose details of the case. The regulator agreed to settle proposed adjudication proceedings in the case, pertaining to the delayed compliance of insider trading norms after it was approached by these entities with a plea under the settlement regulations “without admitting or denying the findings of fact and conclusion of law"". 
“The proposed adjudication proceedings for the alleged defaults...are settled,"" Sebi said in a settlement order passed on Tuesday adding it would not initiate any enforcement action for the alleged defaults.
The company and its two officials had allegedly made “delayed compliance of Sebi (Prohibition of Insider Trading) regulations"". Pending adjudication proceedings, these entities had approached Sebi in 2015 to settle the case on payment settlement charges. The authorised representatives of the entities had meeting with the regulator’s internal committee in April 2017, wherein the settlement terms were deliberated. 
Thereafter, Sebi’s high powered advisory committee recommended the case for settlement on the payment of amount totalling Rs10.27 lakh. This included Rs2 lakh by Larsen & Toubro, Naik (over Rs4.72 lakh) and Roy (over Rs3.54 lakh). This was also approved by Sebi’s panel of whole-time members, following which they remitted the amount.
Accordingly, the regulator has disposed of the adjudication proceedings initiated against them. It further said that enforcement actions, including commencing or reopening of the proceedings, could be initiated if any representation made by them is found to be untrue."
100,2018-02-01,Larsen,"Larsen and Toubro's (L&T's) consolidated profit rose to Rs1,490 crore in the December quarter on higher order inflow from infrastructure and hydrocarbons business

Mumbai: Engineering firm Larsen and Toubro Ltd (L&T) on Wednesday said its net profit for the December quarter rose 53% from a year ago, as revenues increased due to higher order inflow from infrastructure and hydrocarbons businesses.  
Mumbai: Engineering firm Larsen and Toubro Ltd (L&T) on Wednesday said its net profit for the December quarter rose 53% from a year ago, as revenues increased due to higher order inflow from infrastructure and hydrocarbons businesses. 
The company reported a 38% year-on-year increase in fresh orders for the fiscal third quarter and reiterated its revenue growth guidance of 12% for the current fiscal.
’s consolidated net profit for the quarter ended 31 December rose to Rs1,490 crore from Rs972 crore a year earlier. Gross revenue rose 9.4% to Rs28,747 crore. 
A poll of 17 analysts on Bloomberg expected L&T to report a consolidated net profit of Rs1,393.70 crore while 18 analysts had expected net sales of Rs28,424.80 crore.
L&T won fresh orders worth Rs48,130 crore in the quarter, up 38%. 
International orders at Rs8,835 crore constituted 18% of the total order inflow. A significant portion of the increased order inflow was owing to a 70% rise in domestic orders. 
The growth in order inflows was driven by the infrastructure and hydrocarbon segments. 
The increase in order inflows was a “welcome relief"" for the company, said R. Shankar Raman, chief financial officer at the Mumbai-based company. “If we don’t perform like this, we will be very disappointed.""
He stopped short of calling it a full-fledged recovery in capital investments. The Indian economy is facing the worst slowdown in at least half a decade as investment demand lags. 
The Economic Survey released on Monday too had pointed out that the country’s investment slowdown has lasted unusually long and that it may not be over yet.
“We seem to be on the right side of the table. Welcome relief is from the context of things moving on. Now whether that is sustainable, we will have to wait and watch,"" said L&T’s Raman. 
He also added that tax reforms in the US, the Middle East and elsewhere are resetting the global competitive landscape, presenting other challenges to the engineering company.
At the end of December, L&T’s order book stood at Rs2.7 trillion, up 4.7% from a year ago. The company’s earnings before interest, tax, depreciation and amortization or Ebitda jumped around 600 basis points to 31.4%.
On Wednesday, L&T shares closed 0.87% lower at Rs1,416.60 on BSE, while the exchange’s benchmark Sensex index fell 0.19%. The company’s earnings were released after market hours ."
98,2018-02-01,Larsen,"Larsen and Toubro (L&T) shares surge nearly 4% after the company reported a 48.41% jump in consolidated net profit for the December quarter

New Delhi: Shares of Larsen and Toubro (L&T) on Thursday surged nearly 4% after the company reported a 48.41% jump in consolidated net profit for the third quarter ended 31 December 2017.  
New Delhi: Shares of Larsen and Toubro (L&T) on Thursday surged nearly 4% after the company reported a 48.41% jump in consolidated net profit for the third quarter ended 31 December 2017. 
The stock gained 3.74% to touch its one-year high of Rs1,469.60 on BSE. Similarly, shares of the company went up by 3.77% to Rs1,470 on NSE. 
The infrastructure giant on Wednesday reported 48.41% jump in consolidated net profit at Rs1,618 crore for the third quarter ended 31 December 2017. It had posted a net profit of Rs1,090 crore in October-December quarter in the year-ago period, L&T said in a filing to the BSE. 
L&T’s total income was up 9.03% during the quarter under review at Rs28,960.36 crore, against Rs26,561.25 crore in the corresponding quarter."
97,2018-03-14,Larsen,"L&T Hydrocarbon Engineering Limited has won orders worth in excess of Rs1,600 crore across various business segments

New Delhi: Infrastructure major Larsen & Toubro (L&T) on Wednesday said it has won contracts worth Rs1,600 crore across various segments.  
New Delhi: Infrastructure major Larsen & Toubro (L&T) on Wednesday said it has won contracts worth Rs1,600 crore across various segments. 
“L&T Hydrocarbon Engineering Limited (LTHE), a wholly owned subsidiary of engineering and construction major L&T Ltd, has won orders worth in excess of  ₹ 1600 crore across various business segments,"" L&T said in a statement. 
The onshore projects business of LTHE has secured a lump sum turnkey contract, from a leading Indian client, for the design, supply, and construction of a large LNG tank facility in the east coast of India, it said. The business also secured additional work from existing projects under execution in Saudi Arabia & Kuwait, it added. 
“The construction services business of LTHE also secured an additional order, from a prestigious client, for a new coal bed methane facility being developed in the central region of India,"" it said. Organised under offshore, onshore, construction services, modular fabrication and engineering services verticals, LTHE delivers ‘design to build’ engineering and construction solutions across the hydrocarbon spectrum. 
Larsen & Toubro is an Indian multinational engaged in technology, engineering, construction, manufacturing and financial services with over $17 billion in revenue."
96,2018-04-06,Larsen,"SFIO has received a complaint against Larsen and Toubro alleging 'thousands of crores' of financial irregularities, including money laundering and tax evasion

New Delhi: The Serious Fraud Investigation Office (SFIO) has received a complaint against Larsen and Toubro Ltd (L&T) alleging “thousands of crores"" of financial irregularities, including money laundering and tax evasion, a charge that the infrastructure giant called the allegations “baseless"". 
New Delhi: The Serious Fraud Investigation Office (SFIO) has received a complaint against Larsen and Toubro Ltd (L&T) alleging “thousands of crores"" of financial irregularities, including money laundering and tax evasion, a charge that the infrastructure giant called the allegations “baseless"".
Acting on the complaint received, SFIO’s Mumbai regional office has written to the head-office here stating that it “is a fit case to be investigated"" as it will “help in unearthing wrong doings of L&T group, in terms of misappropriation of money, money laundering and tax evasion"".
In the complaint, Rajya Sabha MP Kahkashan Perween has alleged that loans worth Rs8,000 crore given to the group for road projects face serious threat of turning into non-performing assets (NPAs). It alleged irregularities in two projects—L&T Halol Shamlaji Tollway Ltd (L&T Halol) and L&T Chennai Tada Ltd.
L&T and its arms, which are engaged in highway projects have been termed as “habitual defaulters"" by the National Highway Authority of India (NHAI), which is likely to have a severe negative impact on loans worth Rs8,000 crore given by various banks to the group, as per the complaint by the MP.
L&T, however, dismissed the allegations as “baseless and without any merit"", and said it has no information about any investigation.
“Efforts by public sector banks to bail out L&T Halol Shamlaji Tollway Ltd (L&T Halol) under the guise of debt-restructuring schemes will only benefit unscrupulous promoters i e L&T at the cost of banks, financial institutions and public at large,"" the complaint alleged.
Besides, it added that loan accounts of Chennai Tada Ltd have already turned non performing assets since September 2015 and recovery of the same is under serious threat. “L&T and its group companies be black listed and the banks and public financial institutions be prohibited from granting any further loans to them considering their record of frittering away public money,"" the MP said in the letter written to the SFIO.
The complaint also sought to direct the L&T (being the holding company) to repay the loans due to banks and institutions.
When contacted, L&T said, “We are not aware of any so called investigation ... We strongly deny the allegations which are entirely baseless and without merit. L&T has always maintained high standards of corporate governance and compliance of statutory and regulatory requirements"".
The company said it is important to note that L&T Infrastructure Development Pvt Ltd (L&TIDPL), the promoter of L&T Chennai Tada Tollways and L&T Halol Shamlaji Tollway, “has neither received a return of nor a return on its investments made in these two companies.""
In spite of the specific commercial understanding that the projects are funded on a non-recourse basis, the promoter has infused into the two projects substantial amounts over and above its obligations and commitments under the loan documents to service the loans from the lenders, the letter said.
“Attributing any motives of mismanagement against the project company, promoters L&TIDPL (or the parent company L&T) is entirely baseless and totally uncalled for,"" the company said. L&T said, as far as L&T Chennai Tada Tollways Ltd was concerned, the NHAI despite fixing 1 October 2011 for completion, “was never in a position to hand over either 60 per cent of the total Right of Way on the Appointed Date (3 April 2009) or 100% of the Right of Way within 90 days from the Appointed Date.
“NHAI’s failure to honour its commitment even after 6 years from the Appointed Date under the Concession Agreement (CA) resulted in considerable losses for the Concessionaire. Failure of NHAI to hand over the land in time and pay damages had adversely impacted the construction schedule, both in terms of time and cost, and as a consequence, the SPV had to invoke Material Adverse Effect as defined in the CA"".
L&T said the company had requested NHAI to pay Rs453.4 crores on 18 March 2015 for losses suffered and an arbitration process is pending against the authority. “As NHAI refused to compensate the Concessionaire and as the continued breach by NHAI was causing irreparable financial burden on the Concessionaire, the Concessionaire was left with no option but to terminate the Concession Agreement,"" the company said, adding that the pact was terminated with effect from 24 June 2015.
It said an application was filed under the Arbitration Act before the Delhi High Court. The court in its Order dated May 2016 directed NHAI that the toll collected by it through the tolling contractor be deposited in the Escrow Account as large amount of debt is still owed to the lenders/banks.
About L&T Halol Shamlaji Tollway Ltd, it said the bid was awarded for a four lane state highway on BOT in Gujarat and despite various challenges the road was built within stipulated time. The bidding was based on estimates of base year traffic and growth projections linked to economic growth of Gujarat, but due to development of an alternate road by the state there was a significant change in traffic pattern.
“Despite the challenges, the promoter had infused into the Project Rs247 crore over and above the Rs524 crores required under the loan documents primarily to service lenders,"" L&T said, adding that HSTL served a notice of termination to GSRDC in April 2016 citing an Authority Event of Default.
It said since no termination action was forthcoming from the GSRDC, the Allahabad Bank-led consortium sought to revive the project under the SDR Scheme of RBI."
95,2018-04-13,Larsen,"Infrastructure major Larsen & Toubro and Moscow-based Rosoboronexport signed an MoU for developing underwater platforms for Indian Navy

Chennai: Seven memorandums of understanding (MoUs) were signed between Indian and Russian companies on Friday at the ongoing DefExpo that was formally inaugurated by Prime Minister Narendra Modi.  
Chennai: Seven memorandums of understanding (MoUs) were signed between Indian and Russian companies on Friday at the ongoing DefExpo that was formally inaugurated by Prime Minister Narendra Modi. 
Infrastructure major Larsen & Toubro (L&T) and Moscow-based Rosoboronexport signed an MoU for developing underwater platforms for Indian Navy,a press release said. Ananth Technologies and JSC Concern Radio-Electronic Technologies (KRET) inked pact for product support to develop defence systems and to manufacture spare parts and providing service and maintenance for such items. 
Ananth Technologies signed another MoU with Research and Production Corporation Uralvagonzavod to set up technical and logistic support for T90S and T72 Tanks to the Indian Army, the release said. Space Era and Concern Radio-Electronic Technologies formed a strategic partnership for technical and logistics support to ensure maximum operational availability of SU-30 MKI and Helicopters of MI 8, MI 17 and MI 35 Type helicopters. 
Russian firm OSKROSOMARINE and JSC AGAT signed an MoU for development of Fregat radar on-board Indian Naval frontline warships. “The MoU would also set up the motion for setting up joint partnership for modernisation of Fregat radar and provide in-country support,"" it said. 
Krasney Defence Technologies, Aviatech Enterprise inked a pact with JSC Concern AGAT separately, for cooperation in after sales support of equipment manufactured and installed on-board naval ships, it added."
94,2018-04-20,Larsen,"In other news, the consortium of Schneider Electric of France and Singapore's Temasek Holdings has resumed negotiations to acquire Larsen & Toubro's electrical and automation business

Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mint brings to you your daily dose of top deals reported by newsrooms across the country.
NCLT puts ArcelorMittal, Numetal back in the race for Essar Steel
The fight for control of bankrupt Essar Steel Ltd took an unexpected turn with the Ahmedabad bench of the insolvency court setting aside the resolution professional’s decision to disqualify Numetal Mauritius and ArcelorMittal from the first round of bidding, reports Mint. Read more
Fortis Healthcare to consider only binding bids for hospital biz
The board of Fortis Healthcare Ltd on Thursday announced the appointment of an advisory committee headed by former PwC India chairman Deepak Kapoor to evaluate binding bids received for the healthcare chain, reports Mint.
In a regulatory filing, Fortis Healthcare said it has received a notice from a group of shareholders including National Westminster Bank Plc and East Bridge Capital Master Fund seeking removal of four directors from the board. Read more
CureFit in talks to raise $75 million in funding
Healthcare and fitness start-up CureFit Healthcare Pvt. Ltd is in talks to raise $75 million from new and existing investors to expand its fitness and food verticals and enter new businesses, reports Mint citing three people familiar with the matter.
CureFit’s existing investors Accel Partners, IDG Ventures, Kalaari Capital, and UC-RNT Fund are keen to fund a majority of the proposed new round, the report said. Read more
Chai Point raises $20 million in Series C funding from Paragon Partners, others
Mountain Trails Foods Pvt. Ltd, which owns the Chai Point chain of tea and snacks stores, has raised $20 million in a Series C funding round led by new investor and private equity firm Paragon Partners.
Mint had on 8 April reported that Chai Point was in advanced discussions to raise $20 million from Paragon Partners and all its existing investors. Read more
Ambit CEO Ashok Wadhwa to buy QInvest stake in the group
Qatar-based QInvest will sell its 26% stake in Ambit Group to Ashok Wadhwa, group chief executive officer (CEO) of Ambit Holdings, as the investment group is looking for an exit, Mint reports.
In another development, Ambit Capital chief executive officer Saurabh Mukherjea has decided to leave the company to start his own business, the report said. Read more
P&G to acquire Merck India business for Rs1,300 crore
Procter & Gamble Co. will buy a majority stake in Merck Ltd, the Indian publicly traded unit of the German drug maker, for Rs1,289.88 crore, as part of a global transaction to acquire Merck KGaA’s international consumer health business for $4.2 billion, reports Mint.
In India, Merck’s consumer health business is one of the largest in supplying vitamins, minerals and supplements, with products such as Neurobion, Polybion and Evion. Read more
Liberty House may be left out of bidding for bankrupt companies
Liberty House, the London-headquartered metals group owned by UK-based businessman Sanjeev Gupta, may be excluded from bidding for companies undergoing insolvency resolution after being barred from making offers for ABG Shipyard two days ago over a loan default, reports The Economic Times citing people aware of the matter. Read more
Schneider-Temasek may announce a deal to buy L&T’s electric & automation business
The consortium of Schneider Electric of France and Singapore’s Temasek Holdings has resumed negotiations to acquire Larsen & Toubro’s electrical and automation business. An announcement is imminent and may be made by this month end, reports ET citing people aware of the developments. Read more
Last year in November, Mint reported that Schneider Electric SE has emerged as the top bidder to acquire Larsen and Toubro Ltd’s (L&T’s) electric and automation division, citing people familiar with the matter. Read more"
93,2018-04-30,Larsen,"A deal, which values Larsen's electrical and automation division at about Rs14,000 crore including debt, could be announced as soon as this week

Mumbai/London: Larsen & Toubro Ltd., India’s largest engineering and construction company, has agreed to sell its electrical unit to a consortium led by Schneider Electric SE, people with knowledge of the matter said. 
Mumbai/London: Larsen & Toubro Ltd., India’s largest engineering and construction company, has agreed to sell its electrical unit to a consortium led by Schneider Electric SE, people with knowledge of the matter said.
A deal, which values Larsen’s electrical and automation division at about Rs14,000 crore ($2.1 billion) including debt, could be announced as soon as this week, said the people, who asked not to be identified because the details are private. Schneider will own 74% of the unit when the deal is complete, while Temasek Holdings Pte will own the balance, the people said.
The company, which makes submarines ,and builds airports to nuclear power plants, has been pruning non-strategic and sub-scale businesses. It plans to spur growth through acquisitions in information technology. The Mumbai-based firm had expected to sell the electrical division by March, chief financial officer R. Shankar Raman said in a 20 November interview.
A representative for Temasek said the firm doesn’t comment on market rumors, while spokesmen for Larsen and Schneider declined to comment.
The Economic Times reported earlier that Larsen and the consortium had resumed talks after a months-long lull and that a deal would likely be announced by the end of April, citing people it didn’t identify.
The electrical unit, which makes switchboards, energy meters and management systems, has manufacturing operations in India, the Middle East and Europe, according to its website. The division’s net revenue for the nine months ended 31 December was up 12% to Rs3,590 crore, a company presentation shows. Bloomberg"
92,2018-05-03,Larsen,"The inflow from sale of electrical and automation business will help Larsen & Toubro reduce debt and fund strategic acquisitions that strengthen the core

Larsen and Toubro Ltd (L&T) is getting rid of its electrical and automation (E&A) business, as part of its strategy to exit non-core businesses. It has agreed to sell the business to Schneider Electric at an enterprise valuation of Rs14,000 crore. As the chart alongside shows, non-core businesses have been a drag, and the sale of the E&A business can well be seen as a tacit admission that the company had spread itself too thin in the past.  
Larsen and Toubro Ltd (L&T) is getting rid of its electrical and automation (E&A) business, as part of its strategy to exit non-core businesses. It has agreed to sell the business to Schneider Electric at an enterprise valuation of Rs14,000 crore. As the chart alongside shows, non-core businesses have been a drag, and the sale of the E&A business can well be seen as a tacit admission that the company had spread itself too thin in the past. 
Of course, this division has been on the block for almost five years, even under the previous leadership. But it so happens that the final decision to sell it has only been taken now. Under S.N. Subrahmanyan, who took over as chief executive and managing director less than a year ago, the mantra is to steer the ship back to its core, which would largely include infrastructure, power, heavy engineering and hydrocarbons.
To be sure, there have been successful attempts in the past to sell stakes in non-core businesses such as financial services and information technology as part of the overall strategy to raise cash. But the company remains a majority owner in these businesses, which are now listed, and the decision to sell the E&A business lock, stock and barrel appears to be a first.
While the funds from this all-cash deal will come into L&T’s coffers only 18 months from now, it would unlock shareholder value by improving return ratios. 
L&T’s return on capital employed (ROCE) had peaked at 26% in fiscal year 2007 (FY07), after which it started steadily running downhill after the global recession impacted domestic economic growth. Both private and public sector capex took a hit and orders from its core business of engineering and construction, dwindled. The conglomerate looked to soften the blow by growing other businesses such as financial services, realty, information technology and other miscellaneous activities. 
No doubt, the decision helped keep the ship afloat during the stormy weather. But then, return ratios have not been able to scale the FY07 peak in a decade. On the other hand, slow movement of existing infrastructure projects, delayed payments and hefty working capital requirements led to ballooning of debt on its books. The net debt-to-equity ratio doubled to 2 in FY17. Interest costs as a percentage of sales also rose over the years. In other words, the many diversification attempts worsened balance-sheet health. 
In that backdrop, the inflow from the E&A sale will help reduce debt and fund strategic acquisitions that strengthen the core. The sale also makes sense because the E&A division is largely a products business, quite different from L&T’s intent to stay mainly in the projects business. Besides, electrical automation is rife with competition.
For investors, the sale is a big positive and lifts confidence in the company’s intent and ability to monetize assets. While the net debt-to-equity ratio is likely to come down to 0.7-0.9 by FY20, ROCE will also rise as a result of the smaller balance- sheet size and on the back of strong operating cash flows. A report from Jefferies India Pvt. Ltd says that apart from macro recovery, a gradual balance-sheet strengthening will lead to a rerating of the stock.
Yet, investors must note that the conglomerate’s diversification had sheltered it to some extent from risks in capex cycles—something that it may again be exposed to."
