,Date,Company,Article
564,,Mahindra Mahindra,
563,2018-01-08,Mahindra Mahindra,"Varroc Engineering, an auto components firm backed by Tata Opportunities Fund, is said to have appointed Kotak Mahindra Capital and Credit Suisse to manage the IPO

Mumbai: Tata Opportunities Fund-backed auto components maker Varroc Engineering Ltd plans to go public and has hired investment banks to advise it on the share sale, said two people aware of the development. 
Mumbai: Tata Opportunities Fund-backed auto components maker Varroc Engineering Ltd plans to go public and has hired investment banks to advise it on the share sale, said two people aware of the development.
Founded in 1990, Aurangabad-based Varroc supplies exterior lighting systems, power trains, electrical and electronic parts, and body and chassis parts to passenger car and motorcycle makers in India and abroad.
“Varroc had been in talks for an initial public offering (IPO) for a while and they have appointed investment banks Kotak Mahindra Capital and Credit Suisse to manage their initial share sale. They plan to soon file their draft red herring prospectus with an eye on going public sometime this year,"" said one of the two people cited above, requesting anonymity as he is not authorized to speak to the media.
According to the second person, the proposed IPO could be a mix of a primary fund raising and a secondary share sale.
“Tata Opportunities Fund is likely to sell part of its stake through the IPO, while the company will look to raise funds to invest in the business. The exact quantum of these are yet to be finalized,"" he said. He too requested anonymity.
Tata Opportunities Fund invested Rs300 crore in Varroc in 2014. It holds a significant minority stake in the company.
Credit Suisse declined to comment on the development. An email sent to Kotak Mahindra Capital did not elicit any response. “The company is not in a position to comment on the queries,"" said a spokesperson for Varroc Engineering in an email response to queries from Mint.
The Varroc group has 37 manufacturing facilities, 12 engineering centres, 13,500 employees and 760 engineering experts in 10 countries, according to the company’s website. Varroc claims to be the number one two-wheeler automotive component supplier in India.
According to the company’s filings with the registrar of companies (RoC), Varroc had consolidated revenue of Rs8,372.5 crore in the financial year 2015-16, up from Rs7,021.8 crore in the previous year. In 2015-16, Varroc earned a consolidated profit of Rs245.5 crore, down from a profit of Rs303.8 crore in the previous year.
Varroc derives almost 39% of its revenue from the North American market, while India and Europe contribute around 30% and 23% respectively, data from the company’s filings show.
Varroc’s plans to go public follow a record year of fund-raising. In 2017, 36 companies raised Rs67,147 crore through the IPO route, while in 2016, 26 companies raised Rs26,493.8 crore through IPOs. Varroc is not the only auto component maker that is planning to tap the buoyant IPO market.
Last month, auto component manufacturer Sandhar Technologies Ltd filed its draft papers with market regulator Securities and Exchange Board of India (Sebi) to raise Rs300 crore through an IPO. Apart from a fresh issue of equity shares worth Rs300 crore, the public offering comprises of an offer for sale of 8 million shares by private equity firm GTI Capital."
562,2018-01-11,Mahindra Mahindra,"World Bank arm looks to lend $140 million to Actis, $150 million to Acme Group and $150 million to Mahindra Renewables

The World Bank’s International Finance Corp (IFC) will provide $440 million in debt to Mahindra Renewables Pvt. Ltd, Acme Group and global private equity fund Actis Llp to build the Rewa solar park in Madhya Pradesh. 
The World Bank’s International Finance Corp (IFC) will provide $440 million in debt to Mahindra Renewables Pvt. Ltd, Acme Group and global private equity fund Actis Llp to build the Rewa solar park in Madhya Pradesh.
India’s solar power sector turned a corner after the record low winning bids of Rs2.97 per kilowatt-hour (kWh) to build the 750 megawatt (MW) plant at Rewa in Madhya Pradesh in February. With an effective levelized tariff—the average of different annual tariffs over the 25-year period of the power purchase agreement—of around Rs3.30 per unit, power from the sun became a competitive energy source vis-à-vis coal-fuelled conventional electricity.
The Rewa project is to be commissioned in December 2018. 
In the auction in February last year, which discovered the lowest ever tariff until then, three 250MW projects were awarded to Mahindra Renewables Pvt. Ltd, Acme Solar Holdings Pvt. Ltd and Actis LLP’s Solenergi Power Pvt. Ltd. The bids were called by Rewa Ultra Mega Power Ltd, a joint venture of Solar Energy Corp. of India Ltd (SECI) and Madhya Pradesh Urja Vikas Nigam Ltd (MPUVNL). 
Later, India’s solar power tariff hit a new low of Rs2.44 per unit in May at the Bhadla solar park in Rajasthan.
Of the $440 million debt, while IFC has inked the deal with Actis for $140 million, a $150 million loan for Acme Group has been approved by its board. IFC plans to seek board approval for $150 million to Mahindra Renewables.
“It’s all debt. It’s the entire debt requirement for all the three projects, of which the Actis one has been signed. So, we have signed the agreement for Actis. For the other two, they are in the process,"" said Shalabh Tandon, India lead for infrastructure and climate business at IFC.
While spokespersons for Acme Group and Actis declined to comment, a Mahindra Renewables spokesperson didn’t immediately respond to queries emailed on Wednesday evening.
Around 23% of energy from the Rewa solar park will be sold to the Delhi Metro Rail Corporation Ltd (DMRC) and is expected to meet about 80% of its daytime energy requirement when the project starts supplying electricity. 
The Rewa project is also India’s first solar project to conduct inter-state sale of electricity with its power purchase agreement accepted by the Union government as a standard model to help achieve the lowest electricity tariff rates through competitive bidding.
Tandon said Rewa signalled the first such bid on a large scale for India and marked the downward spiral in a game changing trend. 
Post the bids, the conversation also moved from subsidy or the viability gap funding being used to help bring the tariffs down, as pointed out by Manu Shrivastava, managing director, MPUVNL in an interview to Mint. 
“And that made grid parity possible based on this project and paved the way for future bids also around the same ballpark,"" Tandon said.
India plans to generate 175 gigawatts (GW) of renewable energy by 2022. Of this, 100GW is to come from solar projects."
561,2018-01-16,Mahindra Mahindra,"Tech Mahindra shares opened on a bullish note at Rs548.10, then surged 3.20% to touch a high of Rs561.35 on the BSE

New Delhi: Shares of Tech Mahindra Ltd on Tuesday surged more than 3% to its 52-week high in morning trade after the IT major said it has partnered with Israel’s ContextSpace for cybersecurity.  
New Delhi: Shares of Tech Mahindra Ltd on Tuesday surged more than 3% to its 52-week high in morning trade after the IT major said it has partnered with Israel’s ContextSpace for cybersecurity. 
Shares of the company opened on a bullish note at Rs548.10, then surged 3.20% to touch a high of Rs561.35 on the BSE. On the NSE the stock opened at Rs548, then jumped 3.26% to a high of Rs561.50. 
Tech Mahindra on Monday announced its partnership with Israeli firm ContextSpace Solutions to develop the world’s first global software privacy ecosystem, MyData Shield. Besides, it has also launched ‘Tech Mahindra NxT’ to power start-ups in Israel, under which it will engage with 20 firms. 
Tel Aviv, Israel’s financial and technological hub, will be the nerve centre for the programme and will focus on creating collaborative solutions across cyber security, fintech, mobility, artificial intelligence and data analytics. Besides, the initiative will also mentor and help accelerate growth for start-ups by availing ready infrastructure and market know-how."
560,2018-01-18,Mahindra Mahindra,"BSE IT index trades with gains of 1.54% at 12,213.70, while major IT firms like Infosys, TCS, HCL and Tech Mahindra register gains of as much as 3% on the BSE

New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains. 
New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains.
The BSE IT index was trading with gains of 1.54% at 12,213.70. It touched a high of 12,272.23 points. The BSE Teck index also surged to a high of 6,820.44, registering a jump of 1.61% in morning trade. The index was quoted at 6,784.92, up 1.08% at 10.52am. Meanwhile, the 30-share benchmark index Sensex was trading with gains of 0.35% at 34,891.41 points.
The leading IT companies like Infosys, Tata Consultancy Services (TCS), HCL Technologies and Tech Mahindra registered gains of as much as 3% on the BSE.
Infosys surged 3.30% to touch a 52-week high of  ₹ 1,160, registering a surge in its shares price for the eighth consecutive session. TCS also hit a new high of  ₹ 2925.00. Similar was the case HCL Technologies also which touched its 52-week high of  ₹ 962.70. Meanwhile, shares of Tech Mahindra touched a high of  ₹ 64, up 1.11% over its previous closing price.
Morgan Stanley in a research note has said that the Indian IT services stocks are set for a turnaround in 2018 as recovery in spending is “imminent"". According to the global financial services major, a turnaround in IT spending could quickly turn sentiment on these stocks. Though the sector faces risks from automation and a slower pace of market share gains from global vendors, a cyclical rally could be in the offing, it added."
559,2018-01-19,Mahindra Mahindra,"Kotak Mahindra Bank's net profit rose to Rs1,053.21crore in the quarter ended 31 December, from Rs879.76 crore a year earlier

Mumbai: Kotak Mahindra Bank Ltd on Friday reported a 19.7% increase in its fiscal third-quarter profit on higher net interest income (NII) and other income. 
Mumbai: Kotak Mahindra Bank Ltd on Friday reported a 19.7% increase in its fiscal third-quarter profit on higher net interest income (NII) and other income.
Net profit rose to Rs1,053.21 crore for the three months ended 31 December from Rs879.76 crore in the same quarter a year earlier. According to 17 analysts surveyed by Bloomberg, the bank was expected to post a net profit of Rs963.80 crore.
On a consolidated basis, the bank reported a net profit of Rs1,624 crore, up 28% from a year ago.
NII, or the core income a bank earns by giving loans, increased 16.8% to Rs2,393.72 crore compared with Rs2,050.32 crore last year. Other income rose 14.2% to Rs1,039.82 crore from Rs910.22 crore a year ago.
Provisions and contingencies rose 10.76% to Rs212.77 crore from Rs192.10 crore a year ago. On a quarter-on-quarter basis, it fell 1.74% from Rs216.53 crore.
Gross non-performing assets (NPAs) rose 16.9% to Rs3,714.99 crore at the end of the December quarter from Rs3,177.88 crore in the same quarter a year earlier. The bank said restructured loans considered standard stood at Rs67 crore or 0.04% of net advances during the quarter. 
As a percentage of total loans, gross NPAs improved to 2.31% as compared to 2.47% in the previous quarter and 2.42% in the year-ago quarter. Net NPAs were at 1.09% in the December quarter compared to 1.26% in the previous quarter and 1.07% in the same quarter a year earlier. The management said the bank has a total exposure of Rs300-400 crore in six accounts from the second list of corporate defaulters referred to the National Company Law Tribunal. 
Advances rose 23% from a year ago to Rs1.59 trillion. Deposits gained 21% to Rs1.81 trillion. Personal loans and credit cards grew by 45% each and corporate loans saw a growth of 20%. 
IDFC Bank Ltd, on the other hand, reported a 23.6% decline in its fiscal third quarter profit due to a fall in NII, other income and higher other operating expenses.
Net profit fell to Rs146.11 crore for the quarter ended 31 December from Rs191.26 crore a year ago. According to a Bloomberg survey of four analysts, IDFC Bank was expected to post a net profit of Rs178.80 crore.
NII decreased 5% to Rs494.96 crore in the December quarter from Rs520.77 crore in the same period a year earlier. Other income fell 31% to Rs230.79 crore from Rs334.20 crore. 
Asset quality improved and provisions fell sharply during the quarter. Gross NPAs fell 22.6% to Rs2,776.67 crore at the end of the December quarter from Rs3,586.70 crore in the same quarter last year.
Shares of Kotak Mahindra Bank rose 0.34% to close at Rs1,049 on BSE, while IDFC Bank’s scrip rose 0.4% to Rs58.60; the exchange’s benchmark Sensex rose 0.25% to 35,348.63 points."
557,2018-01-22,Mahindra Mahindra,"Rajeshwar Tripathi, head of HR at Mahindra Auto, which is one of the top 10 workplaces according to Great Place to Work Institute, speaks about the firm's people policy

Mahindra and Mahindra Automotive and Farm Equipment Sectors, the flagship of the Mahindra Group, ranked 23rd in India’s Best Companies To Work For 2017 list compiled by the Great Place To Work Institute. In 2013 and 2015, it ranked third in the manufacturing and production industry list. Policies to ensure safety and improve productivity on the shop floor have helped build the company’s image as an employer of repute. Rajeshwar Tripathi, head of human resources at the firm, shares how the Mahindra Group’s Rise philosophy is incorporated in its people policies. Edited excerpts: 
Mahindra and Mahindra Automotive and Farm Equipment Sectors, the flagship of the Mahindra Group, ranked 23rd in India’s Best Companies To Work For 2017 list compiled by the Great Place To Work Institute. In 2013 and 2015, it ranked third in the manufacturing and production industry list. Policies to ensure safety and improve productivity on the shop floor have helped build the company’s image as an employer of repute. Rajeshwar Tripathi, head of human resources at the firm, shares how the Mahindra Group’s Rise philosophy is incorporated in its people policies. Edited excerpts:"
558,2018-01-22,Mahindra Mahindra,"Aiding skill and competence development is a safety, occupational health and environment policy, says Mahindra Auto

Mumbai: Mahindra and Mahindra Automotive and Farm Equipment Sectors, the flagship of the Mahindra Group, ranked 23rd in India’s Best Companies To Work For 2017 list compiled by the Great Place To Work Institute, is one of India’s top five automakers and the world’s largest tractor manufacturer. The Mumbai-based company was incorporated in 1945 as Mahindra and Mohammed by steel industrialist brothers J.C. and K.C. Mahindra, along with chartered accountant Malik Ghulam Mohammed, who later emigrated to Pakistan to serve as the country’s first finance minister. 
Mumbai: Mahindra and Mahindra Automotive and Farm Equipment Sectors, the flagship of the Mahindra Group, ranked 23rd in India’s Best Companies To Work For 2017 list compiled by the Great Place To Work Institute, is one of India’s top five automakers and the world’s largest tractor manufacturer. The Mumbai-based company was incorporated in 1945 as Mahindra and Mohammed by steel industrialist brothers J.C. and K.C. Mahindra, along with chartered accountant Malik Ghulam Mohammed, who later emigrated to Pakistan to serve as the country’s first finance minister."
556,2018-01-22,Mahindra Mahindra,"Kotak Mahindra Bank MD Uday Kotak says WEF Davos 2018 is a very big opportunity for the country to demonstrate the New India that is being built

Davos: Pitching for a nuanced message at the World Economic Forum (WEF) to present India as an open economy which cares for interest of domestic as well as global audience, Kotak Mahindra Bank managing director Uday Kotak on Monday said the country needs to position itself as a statesman and not just a salesman. 
Davos: Pitching for a nuanced message at the World Economic Forum (WEF) to present India as an open economy which cares for interest of domestic as well as global audience, Kotak Mahindra Bank managing director Uday Kotak on Monday said the country needs to position itself as a statesman and not just a salesman.
Kotak, who is at the World Economic Forum’s annual meeting in Davos, said it is a very big opportunity for the country to demonstrate the new India that is being built. “Also, we must understand that following our prime minister, US President Donald Trump is also coming to Davos with his ‘America First’ policy and he is coming after cutting corporate tax rates and after making big corporates bring back jobs and profits to America,"" Kotak told PTI in an interview.
“Therefore, we need to get our messaging right when Trump is likely to talk about how Americans are making America great again. So India needs to say here that we are welcoming the world and we are building a new India,"" he said.
Kotak, who set up one of India’s most successful new age banks and has been expanding it into a major financial sector conglomerate including through acquisitions, said Davos is a big opportunity for India this year and “India needs to position itself in a statesman position and not in a salesman position here"".
Referring to Chinese Premier Xi Jinping’s opening plenary address last year at Davos, he said, China took a position last year that it was an open platform for the world economy. America is now championing America First, so India needs to position itself uniquely, he said.
“We need to tell the world we are an open economy but at the same time India has aspirations to build a new India. We need to articulate that we need the world’s investments but at the terms that make sense to us and to everybody else,"" he said on expectations from Prime Minister Narendra Modi’s opening plenary on Tuesday.
“We need to give a message that is nuanced between where Trump is likely to position himself and where China positioned itself last year. India is no longer a salesman to the world and we need to position ourselves as the statesman now,"" he said.
Kotak said the government leaders and chief executives from India need to brand and market the country’s great story at Davos while understanding the subtle difference between sales and marketing. “I’m sure our prime minister is the best person in presenting a great branding of India and in marketing our success story,"" he said. PTI"
555,2018-01-25,Mahindra Mahindra,"Mahindra Finance's consolidated total income rose 26% to Rs2,195 crore from Rs1,748 crore a year ago

Mumbai: Mahindra and Mahindra Financial Services Ltd (Mahindra Finance) on Wednesday posted a consolidated net profit of Rs365 crore during the third quarter of fiscal 2018 as against a net profit of Rs12 crore during the corresponding period last year. The sharp growth in profit was led by improvement in rural cash flows and a consequent drop in loan provisions and write-offs. 
Mumbai: Mahindra and Mahindra Financial Services Ltd (Mahindra Finance) on Wednesday posted a consolidated net profit of Rs365 crore during the third quarter of fiscal 2018 as against a net profit of Rs12 crore during the corresponding period last year. The sharp growth in profit was led by improvement in rural cash flows and a consequent drop in loan provisions and write-offs.
The non-banking financial company’s (NBFC) loan provisions and write-offs fell to Rs223 crore during the quarter from Rs442 crore a year ago. Its consolidated total income rose 26% to Rs2,195 crore from Rs1,748 crore.
Commenting on the decline in provisions, Ramesh Iyer, vice-chairman and managing director at Mahindra Finance said, “In the last couple of quarters there has been a flattening of NPA (non-performing assets) growth as farm cash flows have seen an improvement on the back of good monsoons. Both farm and infrastructure-linked cash flows have improved for us in the rural areas. Several accounts designated as NPAs have also started showing improvement as many of them were not intentional defaults. ""
Iyer added that recoveries from past accounts that had been provided for are improving. “On a nine-month basis, the collection efficiency has gone up by around 5% from last year and stands at around 93%. On a quarterly basis, the recoveries are close to 96%,"" he said.
The firm moved to a 90-day NPA recognition norm during the quarter and its gross NPA ratio stood at 11.6% during the quarter. “Fifty-seven percent of the NPA contracts registered movement of instalment during the period although they have not become standard. This is a clear trend showing reversal of past provisions,"" Iyer said."
