,Date,Company,Article
387,,Maruti,
386,2018-01-03,Maruti,"Maruti Suzuki has defied the global law of the automobile industry, that large multinationals eventually always dominate car markets

The latest numbers on car sales threw up one clear winner in India’s three-million-strong passenger vehicle market. Sales at Maruti Suzuki India Ltd, India’s largest car maker, grew 12.1% in December even as even as Hyundai Motor India Ltd, its nearest rival, posted flat sales. 
The latest numbers on car sales threw up one clear winner in India’s three-million-strong passenger vehicle market. Sales at Maruti Suzuki India Ltd, India’s largest car maker, grew 12.1% in December even as even as Hyundai Motor India Ltd, its nearest rival, posted flat sales.
Maruti continuing success is truly mind boggling. The company has a market share over 50% in one of the world’s fastest growing market populated by the biggest names in the business. The company has defied the global law of the automobile industry, that large multinationals eventually always dominate markets. In a highly consolidated business, a handful of major corporations own nearly all of the world’s major car brands.
Thus, in Brazil, Fiat Chrysler Automobiles leads the market with 18% share followed by General Motors (GM) and Volkswagen. In Russia, Renault Nissan is the clear market leader with 33.5% share followed by Volkswagen. Local car maker Gorkovsky Avtomobilny Zavod (GAZ) has only a 3.9% share. The South African market is also dominated by Volkswagen Toyota.
Even more fascinating is the 30 million-unit-strong Chinese car market, the largest in the world, which is dominated by foreign brands in joint ventures with local companies. EIU estimates show that these JVs are the ten largest automobile manufacturers in the Chinese market. Volkswagen which has JVs with SAIC and First Automobile Works (FAW), leads the market with sales of four million vehicles followed by GM, which through its 10 JVs sold 3.8m vehicles in the Chinese market in 2016.
No major emerging market has a home-grown leader not even when as in the case of Lada in Russia or the Proton in Malaysia or the Yugoslav Yugo, the government itself threw its weight behind them. Eventually the economies of scale in sourcing components and the benefits of having a large installed base rule out small emerging players, no matter what their pedigree.
There is no better example of this than the Malaysian National Car Project which was conceived in 1979 by the country’s then prime minister Mahathir Mohamad and formally incorporated as Proton (Perusahaan Otomobil Nasional Berhad) in 1983. Mahathir backed the project calling it “a symbol of Malaysians as a dignified people"" and for years the state provided generous funding besides making efforts to take it to the US market. Despite initial success (by 1986 Proton had a 64% share of the domestic market for cars below 1,600cc) the project soon turned into a white elephant and was losing millions of dollars when it was sold to Chinese auto maker Geely Holding Group Co. last year.
Just how did Maruti Suzuki manage to avoid this fate? At its inception in the early 1980s as Sanjay Gandhi’s pet project, Maruti received preferential treatment including access to scarce capital, easier capacity constraints and indigenization levels and most important, protection from competition. By the time the market was opened to competition from abroad, it had found its feet.
The company is now controlled by Suzuki Motor Corp. but it was a resounding success even before 2013 when the Japanese company raised its stake to 56%. Indeed, the tussle over the stake hike was a reflection of the company’s strong financials.
Over the years the company has taken advantage of economies of scale. The cost-efficient production model all companies covet is optimal only when a plant is operating at high capacity utilization levels. As growth rates have slowed, multinationals like GM and Ford have found their small market shares making manufacturing unviable. GM announced its decision to pull out of the country last while Ford has been a laggard. Maruti with its multiple products at virtually every price point has been the clear gainer from the failures of these global giants. It is really a case off going from strength to strength though how it handles the coming challenge of electric vehicles could test its mettle.
Maruti’s success also leads to the piquant question, one that First Global’s Shankar Sharma has been raising persistently. Is early-stage protectionism a pre-requisite for creating national champions? In a series of tweets last November he pointed to the success of companies like Bharti Airtel as well as Indian private banks as the “Best example of what protection can deliver: highly restricted foreign competition, easy access to capital. Huge domestic market. Result: highest profitability in the world. Global size market caps"". 
It is a reflection of how far India has travelled down the liberalization road that his views are considered contrarian in today’s market."
384,2018-01-09,Maruti,"The traffic safety management system will feature advanced cameras including Red Light Violation Detection System, Speed Violation Detection System and Automatic Number Plate Recognition system

New Delhi: In an initiative in the corporate social responsibility domain, India’s largest car maker Maruti Suzuki India Limited on Tuesday joined hands with Delhi Police to implement a traffic safety management system (TSMS) in the national capital. 
New Delhi: In an initiative in the corporate social responsibility domain, India’s largest car maker Maruti Suzuki India Limited on Tuesday joined hands with Delhi Police to implement a traffic safety management system (TSMS) in the national capital.
The traffic management system will be set up along the capital’s Ring Road corridor from Dhaula Kuan to Sarai Kale Khan—a stretch of around 14-km. A memorandum of agreement (MoA) in this regard was signed between Delhi Police and Maruti Suzuki in the presence of Nitin Gadkari, minister for road transport and highways, and shipping and water resources, river development and Ganga rejuvenation and Anil Baijal, Lt Governor of Delhi.
“I am confident that a successful technology model in the capital city will encourage its adoption in other parts of the country, and make our roads safer. Delhi Police, which has been thinking far ahead of us in the area of Intelligent Traffic Management, has already given us much guidance on the technology and its execution,"" said Kenichi Ayukawa, managing director and chief executive of Maruti Suzuki India Limited.
The TSMS project, the first of its kind in New Delhi, is in line with the union government’s focus to make roads safe and bring down accidents and fatalities.
“The TSMS will feature advanced cameras including Red Light Violation Detection System (RLVDS), Speed Violation Detection System (SVDS) and Automatic Number Plate Recognition (ANPR) system. With these advanced camera systems it will be possible to simultaneously capture red-light violation as well as speed violation by a vehicle,"" the company said in a statement.
Maruti Suzuki will spend nearly Rs15 crore on this project which is likely to become operational in the next one year. In addition, Maruti Suzuki and Delhi Police also plan to engage with academic institutions and social groups to spread awareness on traffic enforcement systems and safe driving practices in the national capital."
385,2018-01-09,Maruti,"Maruti Suzuki says it will introduce a new design language through a compact car that will have a bold presence with 'distinct SUV like characters'

Mumbai: India’s largest car maker Maruti Suzuki India Ltd on Monday said it will introduce a new design language through a compact car that will have a bold presence with “distinct SUV like characters"". 
Mumbai: India’s largest car maker Maruti Suzuki India Ltd on Monday said it will introduce a new design language through a compact car that will have a bold presence with “distinct SUV like characters"".
The company called it #ConceptFutureS.
“Compact is beautiful, #ConceptFutureS beautifully carries forward this Suzuki slogan and creates its own positioning by breaking away from the conventional proportions of a compact car,"" the company said in a statement.
The concept of the car will be showcased during February Auto Expo.
“The increasing preference for UVs and their bold architecture inspired our design team to study a new character for compact cars. ConceptFutureS could mark a distinctive shift in how compact cars are shaped and designed in India in the future,"" said C.V. Raman, senior executive director (engineering), Maruti Suzuki India.
The design boasts of an upright stance, commanding higher seating and ground clearance, horizontal hood giving it a unique aggressive stance and posture—traits of an SUV that Indian customers seem to have adored during the last 10 years.
“The sketch exudes confidence and aggressive demeanour,"" the company said.
At 1.19pm, Maruti Suzuki India shares traded 0.16% up at Rs9,449.50 on BSE, while the Sensex rose 0.54% to 34,338.74 points."
383,2018-01-11,Maruti,"Maruti has increased prices of its vehicles in the range of Rs1,700 to Rs17,000 depending on models while Honda has done it in the range of Rs6,000 to Rs32,000

New Delhi: Maruti Suzuki India Ltd, the country’s largest carmaker, on Wednesday raised the prices of its cars by between Rs1,700 and Rs17,000 across its entire product range.  
New Delhi: Maruti Suzuki India Ltd, the country’s largest carmaker, on Wednesday raised the prices of its cars by between Rs1,700 and Rs17,000 across its entire product range. 
Maruti has followed rivals Hyundai Motor India Ltd and Tata Motors Ltd, which have increased prices to factor in a rise in commodity and other input prices.
Honda Cars India Ltd, the local arm of the Japanese carmaker, has also raised prices in the range of Rs6,000-32,000 across segments to offset the rise in input costs.
“Maruti Suzuki India Limited today announced a price increase ranging from Rs1,700/- to Rs17,000/- (ex-showroom-Delhi) across models, owing to an increase in commodity and other administrative and distribution costs. The new prices are effective from 10th January 2018,"" the company said in a statement.
In December, Hyundai, the second largest carmaker in the country, decided to increase the price of its products by 2% across segments.
Tata Motors and other carmakers also raised prices from the start of the calendar year.
Companies usually anticipate the likely increase in the prices of commodities in the coming year and decide the extent of increase in prices at the start of the year."
382,2018-01-17,Maruti,"Maruti Suzuki is looking for lithium suppliers for a lithium ion battery plant in Gujarat and planning to build a brand new electric car for India, says CEO Kenichi Ayukawa

New Delhi: Thirty-four years after rolling out the country’s first people’s car, Maruti Suzuki India Ltd is back at the drawing board. The trigger: the coming shift to emission-free electric vehicles (EVs), the kind of change that comes once in a lifetime. 
New Delhi: Thirty-four years after rolling out the country’s first people’s car, Maruti Suzuki India Ltd is back at the drawing board. The trigger: the coming shift to emission-free electric vehicles (EVs), the kind of change that comes once in a lifetime.
The company is looking for lithium suppliers for a lithium ion battery plant in Gujarat, planning to build a brand new electric car for India, and working with its dealers to set up charging networks, managing director and chief executive officer Kenichi Ayukawa said in an interview. The efforts are part of Maruti’s initiatives to move towards an electric car portfolio.
“In a sense, we are trying to challenge ourselves as the time has come to change the game. Hence, we have to review (our strategy) and start again from zero,"" Ayukawa said. “We need to decide if we want to buy (lithium) from a (Latin) American country or some other country. We need to find a source for that.""
EVs account for less than 1% of global auto sales, but their threat is forcing the world’s biggest automakers—including Maruti, India’s largest carmaker—to reinvent themselves.
The company is also running a nation-wide survey to understand the needs and expectations of customers in the EV segment.
Seeking government support, Ayukawa said that if the supply of lithium is constrained, it will hinder the country’s EV programme. “If we cannot get lithium, we cannot make such kind of a product.""
Getting lithium is one thing, safe handling is another. “Lithium ion batteries can be very dangerous—it can lead to fire,"" Ayukawa said. While the lithium supply falls in place, Maruti will focus on developing the EV.
The company will also need to figure out how the batteries can be used. Such systems need to be in place before introducing EVs, he added.
It is also critical to keep costs under control. “It will be impossible for people to buy a Rs5 lakh car if that becomes a Rs20 lakh car. Nobody could buy that,"" Ayukawa added.
“Dealers will have to handle a new kind of technology. So we will have to educate the people at the service centres. That will take some time,"" he said.
Ayukawa claims the Suzuki battery plant coming up in Gujarat will give it the first-mover advantage; however, local rivals Mahindra & Mahindra Ltd and Tata Motors Ltd are already ahead in the EV game. Besides, Maruti will enjoy none of the benefits of the licence regime that prevailed when it was still a fledgling automaker.
The Indian government has been categorical about promoting fully electric vehicles. It has clearly dissuaded mild, full or plug-in hybrid vehicles by substantially increasing taxes under the goods and services tax. The government has stated its intent to move to an all-electric fleet by 2030. 
Ayukawa understands that the Indian government is looking for a solution to cut pollution levels and the move to introduce an electric fleet is aimed in that direction.
“The point is that they are also looking for a good solution and so are we. So, we have to collaborate and find out a good solution. But I think that is not an easy work and it takes time,"" Ayukawa said.
A shift to EVs will help reduce pollutants and fuel imports. This assumes significance given India’s energy import bill of around $150 billion—this is expected to reach $300 billion by 2030. India imports around 80% of its oil and 18% of its natural gas requirements."
381,2018-01-17,Maruti,"CEO Kenichi Ayukawa suggests it will be a challenge for Maruti Suzuki to establish an ecosystem for electric vehicles, just as it was a challenge in 1983 when it started to manufacture vehicles with internal combustion engines

New Delhi: When Kenichi Ayukawa started his stint as managing director of Maruti Suzuki India Ltd in 2013, he had to initiate an overhaul of the company following a riot at its plant in Manesar, an industrial town in Haryana state, by militant workers.  
New Delhi: When Kenichi Ayukawa started his stint as managing director of Maruti Suzuki India Ltd in 2013, he had to initiate an overhaul of the company following a riot at its plant in Manesar, an industrial town in Haryana state, by militant workers. 
Maruti’s market share in the passenger vehicle segment since recovered from 38% in 2012 to 51% in the first three quarters of the current financial year and that has propelled the company’s stock to an all time high—breaching the Rs10,000 mark—and made it the sixth most valuable company on BSE. Maruti Suzuki is going back to the drawing board again as the India automobile industry stands at the cusp of a shift to electric mobility. In an interview, Ayukawa suggests it will be a challenge for Maruti Suzuki to establish an ecosystem for electric vehicles (EVs)—just as it was a challenge in 1983 when it started to manufacture vehicles with internal combustion engines (ICE). Edited excerpts:"
380,2018-01-18,Maruti,"The new Swift is 40 mm wider, has a 20 mm longer wheel base with more cabin space, headroom and luggage space than the current generation car, Maruti Suzuki said

Pune: Maruti Suzuki India Ltd, India’s largest carmaker, will launch the all new Swift at the upcoming Auto Expo 2018. 
Pune: Maruti Suzuki India Ltd, India’s largest carmaker, will launch the all new Swift at the upcoming Auto Expo 2018.
The bookings for the new Swift, based on Suzuki’s 5th generation HEARTECT platform, have been opened, though a booking amount hasn’t been specified.
The model will be available in both petrol and diesel engine options. While the petrol variant will have a 1.2 litre engine, the diesel option is powered by a 1.3 litre engine, the company said.
The new Swift is 40 mm wider and has a 20 mm longer wheel base with more cabin space, headroom and luggage space than the current generation car, Maruti Suzuki said. The luggage space has increased by 58 litres, around 28% more than the second generation Swift.
“The all new Swift with its distinctive design, advanced technology, uplifting performance and enduring driver experience will bring disruption in the premium hatchback segment,"" said R.S. Kalsi, senior executive director (marketing and sales) at Maruti Suzuki India. In its newest avatar, the Swift undergoes a bold transformation to meet the aspiration of young and ever changing customer, he added. “We are delighted to open bookings for the all-new Swift and look forward to a grand launch at the Auto Expo 2018."" 
Maruti Suzuki Swift is among the most successful models of the carmaker and continues to be among the top-five best selling cars in India a decade since its launch. Since breaking cover in May 2005, the Swift has sold 17.8 lakh units."
379,2018-01-21,Maruti,"Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months to build further on five years of successive double digit sales growth

Pune: The country’s largest car maker Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months to build further on five years of successive double digit sales growth.  
Pune: The country’s largest car maker Maruti Suzuki India plans to introduce around four new products in the next 12 to 18 months to build further on five years of successive double digit sales growth. 
The company expects to close the ongoing fiscal with double digit sales growth. Its sales in the domestic market during the April-December period grew by 15.5% at 12,26,418 units as against 10,61,873 units in the year-ago period. It will launch the all-new version of its popular hatchback Swift at the upcoming Auto Expo to be held from 9-14 February. 
According to sources, besides the new Swift, the company plans to introduce a new refreshed version of its mid-sized sedan, Ciaz and multiple purpose vehicle Ertiga in the coming months. “An all new version of compact car Wagon R is also in the pipeline but its launch timeline hasn’t been fixed,"" a source said. 
Maruti Suzuki India Senior Executive Director (Marketing and Sales) R S Kalsi, however, declined to comment on the company’s launch programme for the next fiscal. “That’s a continuous process and we cannot comment on which one will come when,"" he told PTI when asked about the upcoming new product introductions in the market. 
Commenting on the company’s performance in the ongoing fiscal, he said in the April-December period the company’s sales have grown by 15.3% but the growth rate will be lesser in the fourth quarter due to high base effect of the year-ago period. “We will end the year on healthy double digit growth. Last six years we have been growing more than the industry. The best part is that this will be the fifth year of double digit growth in a row, which is quite an achievement,"" Kalsi said. 
He said the company has been able to sustain its growth momentum in the last few years despite challenges of two consecutive droughts in many parts of India that had an impact on rural markets and policy disruption such as demonetisation and impact of GST implementation. 
Currently the industry growth is at 8.13% and MSI is confident that it would be ahead of the industry again, he added. When asked about the outlook for 2018-19, Kalsi said, “We expect the similar momentum to continue for the industry. We do not foresee any disruption"". However, for Maruti Suzuki, he said, “We are yet to present our budget to the top management, we are yet to work out our budget for next year. So, commenting on a number for next year will not be possible"". 
The company is confident that new products like the upcoming Swift will help in adding more volumes. “On the first year of its launch Swift did one lakh units. Subsequent to that, the outgoing Swift has been selling on an average of 15,000 units a month. This (the new one) being many steps above that, we expect the market demand will be more than that,"" Kalsi added. 
The company’s parent Suzuki has spent around  ₹ 800 crore on the development of the new Swift. The new vehicle will so be produced at Suzuki’s Gujarat plant along with Baleno, besides MSI’s Manesar plant."
378,2018-01-23,Maruti,"Maruti Suzuki's popular entry level Alto car was the best selling model last month as it sold 20,346 units in December 2017 as against 17,351 units a year ago, a growth of 17.26%

New Delhi: Maruti Suzuki India’s hold on domestic passenger vehicles (PV) market continued in December with six of its models appearing in the top 10 selling list and its premium hatchback Baleno moving up to the third spot.  
New Delhi: Maruti Suzuki India’s hold on domestic passenger vehicles (PV) market continued in December with six of its models appearing in the top 10 selling list and its premium hatchback Baleno moving up to the third spot. 
Rival Hyundai Motor India also made its presence felt with three of its models featuring in the top ten list. According to the data compiled by the Society of Indian Automobile Manufacturers (SIAM), Maruti Suzuki India’s (MSI) popular entry level Alto was the best selling model last month. It sold 20,346 units in December 2017 as against 17,351 units a year ago, a growth of 17.26%. 
The company’s new compact sedan Dzire was at second position with 18,018 units. The previous version Dzire Tour had sold 14,643 units in December 2016. MSI’s premium hatchback Baleno was at the third position with sales of 14,551 units last month as against 9,486 units a year ago, up 53.39%. Baleno was the seventh best selling model in December 2016. 
Rival Hyundai Motor India’s compact car Grandi10 moved up to the fourth position with sales of 12,955 units last month. In December 2016, the model had sold 10,519 units, occupying fifth position. MSI’s Wagon R dropped to the fifth position with sales of 11,800 units in December as against 14,176 units in the year-ago month when it occupied the fourth position. Its popular compact SUV Vitara Brezza was the sixth best selling model last month with 11,540 units as against 8,971 units in the same month a year ago, a growth of 28.64%. 
It had occupied the eighth spot in December 2016. According to the SIAM data, Hyundai’s premium hatchback Elite i20 was the seventh best selling model last month with 9,847 units. It was followed by MSI’s Swift with 9,793 units in the eighth position The top ten best selling model list for December 2017 is completed by Renault’s entry level car Kwid in ninth position with sales of 6,953 units and Hyundai’s compact SUV Creta in tenth with 6,755 units."
