,Date,Company,Article
128,,NTPC,
127,2018-01-03,NTPC,"NTPC records its highest ever quarterly generation of 67,781MUs (million units) during Q3 of FY 2017-18

New Delhi: India’s largest power generation utility NTPC Ltd recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in electricity demand. 
New Delhi: India’s largest power generation utility NTPC Ltd recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in electricity demand.
“NTPC, the largest power generator of India, with installed capacity of 51,383MW (megawatt), has recorded its highest ever quarterly generation of 67,781MUs (million units) during Q3 of FY 2017-18 which is 10.39% more than the generation of 61,400MUs recorded during the corresponding period of last year,"" the state-run utility said in a statement on Tuesday. The development assumes significance given that India’s largest power generator accounts for 16% or 51,635MW of the country’s installed power generation capacity of 331,117.58MW.
“There was an uptick in demand due to the cold weather and this is also an indicator that the economic pace is picking up,"" said an NTPC executive, requesting anonymity.
This comes in the backdrop of an uncertain outlook for the power sector and the National Democratic Alliance government trying to revive electricity demand in the country.
Any fresh demand for electricity, the lack of which is weighing down the entire power sector, will also help in resolving the stressed assets conundrum and improve their financial viability.
“NTPC has also achieved commercial declaration of 4,415MW capacity during the first nine months of current year itself,"" the statement added. 
Power minister Raj Kumar Singh is of the view that the recently launched Rs16,320 crore Saubhagya scheme to provide electricity connections to over 40 million families in rural and urban areas by December 2018 will help improve India’s per capita power consumption of around 1,200 kilowatt hour (kWh), which is among the lowest in the world. According to the government, the Saubhagya scheme will require an additional 28,000MW of power, considering an average load of 1 kilowatt (kW) per household for eight hours a day.
The other power sector reforms in the works include a plan to implement the direct benefit transfer (DBT) scheme in the electricity sector for better targeting of subsidies and the proposed tariff slabs rationalization. 
Also, to make discoms more responsive, any disruption in electricity supplies post March 2019 will be penalized and the cross-subsidy will be limited to 20% to help usher in efficiency."
126,2018-01-03,NTPC,"PNB sells entire stake in Principal Financial Group JV, while Hero MotoCorp sales up 43% in December at 472,731 units

US equities end higher; Asian markets open positive 
US equities end higher; Asian markets open positive
US stocks kicked off the new year on a high note on Tuesday as the Wall Street bet on another strong year for equities.
Asian stocks notched moderate gains on Wednesday, tracking sizeable increases seen on Wall Street overnight as the dollar remained in the doldrums.
December PMI data signals revival in manufacturing, Indian economy
The Nikkei India manufacturing Purchasing Managers’ Index (PMI) grew at the fastest rate in five years in December. Coming in the backdrop of a pickup in merchandise exports and output of eight infrastructure sectors in November, this has stoked expectations of a sustained revival in the Indian economy.
L&T wins Rs1,454 crore contracts including in Egypt
Infrastructure major Larsen & Toubro (L&T) said its construction arm has won contracts worth Rs1,454 crore including one in Egypt.
PNB sells entire stake in Principal Financial Group JV
Punjab National Bank (PNB) has sold its entire stake in the joint venture with Principal Financial Group to give the latter full ownership of Principal PNB Asset Management Co. and Principal Trustee Co. Pvt. Ltd in India.
Trai issues interconnectivity rules, fixes 30-day deadline for inking pacts
The Telecom Regulatory Authority of India (Trai) mandated service providers to enter into an interconnection agreement “on non-discriminatory basis"" within 30 days of receiving network connectivity request from another operator. Read more
Hero MotoCorp sales up 43% in December at 472,731 units
Hero MotoCorp reported 43% jump in sales at 472,731 units in December 2017 as against 330,202 units in the year-ago month. The company said it sold a record 72,07,363 units of two-wheelers in the whole of 2017.
NTPC reports record electricity generation in December quarter
India’s largest power generation utility NTPC Ltd recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in electricity demand.
Govt announces details of electoral bonds for political funding
The Union government has announced details of political funding that can be routed by donors to parties through electoral bonds, a scheme announced by it in Union Budget 2017."
125,2018-01-17,NTPC,"NTPC said that it has fulfilled all its commitments for the acquisition of land for its 1,600 MW Gadarwara power project

Gadarwara (MP): State-run NTPC Ltd said on Wednesday that it has fulfilled all its commitments for the acquisition of land for its 1,600 MW Gadarwara power project. The public sector power utility said it will continue to work towards the local area development and betterment of the affected people even after the project goes on stream.  
Gadarwara (MP): State-run NTPC Ltd said on Wednesday that it has fulfilled all its commitments for the acquisition of land for its 1,600 MW Gadarwara power project. The public sector power utility said it will continue to work towards the local area development and betterment of the affected people even after the project goes on stream. 
“We have fulfilled all our commitments, in line with the order of the Madhya Pradesh government’s rehabilitation department and the tripartite agreement signed with the land owners and administration,"" a spokesperson of the NTPC said. 
“We appeal to the local people to support the project of national importance from which half of the electricity generated will be for the state of Madhya Pradesh,"" he said. The project-affected farmers have been agitating at Gadarwara in Narsinghpur district, demanding jobs in the central PSU. 
Former Union minister and senior BJP leader Yashwant Sinha also took part in the agitation in support of the demands of the project-affected people last week. The spokesperson clarified that the payment for the land is as per the rate decided by the government. 
As per the agreement, NTPC paid Rs14.5 lakh per acre for the irrigated land and Rs10.5 lakh for the non-irrigated land as a package, he said. The corporation also paid Rs3.5 lakh per acre (minimum Rs3 lakh) as one-time payment in lieu of employment as rehabilitation grant and the agreement made it clear that any additional money or employment will neither be demanded nor accepted, he further said. 
However, the agitation by the local villagers affected the project work as about 3,000 specialised workers left the site and the work came to a standstill from 22 December. “This is likely to adversely impact the project commissioning schedule which is targeted by the end of the current financial year,"" the spokesperson said. 
The project management has approached the district and the state administration for safety of the project site and workers for resuming the work as heavy machines and equipment at the site are lying idle."
123,2018-01-22,NTPC,"With 187 generation units, the company's operations are spread across the country, helping meet the base load for India's power demand.

State-run NTPC Ltd is India’s largest power generation utility, accounting for 16% of the country’s installed power generation capacity. With a 51,635 megawatts (MW) portfolio from 48 plants, the utility remains the barometer for India’s power sector. This was amply demonstrated when NTPC recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in the country’s electricity demand. 
State-run NTPC Ltd is India’s largest power generation utility, accounting for 16% of the country’s installed power generation capacity. With a 51,635 megawatts (MW) portfolio from 48 plants, the utility remains the barometer for India’s power sector. This was amply demonstrated when NTPC recorded its highest ever quarterly generation in the three months ended 31 December, indicating a recovery in the country’s electricity demand.
With 187 generation units, the company’s operations are spread across the country, helping meet the base load for India’s power demand. 
It operates across diverse fuel sources such as coal, gas and hydro, and has taken the lead in helping the country reach its ambitious clean energy target of 175 gigawatts by 2022, as part of India’s commitments to the United Nations Framework Convention on Climate Change in Paris in December 2015. (One gigawatt equals 1000MW). The utility wants to supply electricity from 10,000MW of solar power capacity that it is setting up on its own and buy 15,000MW on behalf of the ministry of new and renewable energy.
Created with a strategic intent to help India’s energy security goals, the Maharatna has been working on setting up power projects in the neighbourhood. Of its 22,124 employees, around 13,600 are in the executive cadre. The firm registered a net profit of Rs9,385.26 crore on a turnover of Rs79,342.30 crore in fiscal year 2017. It generated 250.3 billion units of electricity in FY17 clocking a plant load factor—a measure of average capacity utilization—of 78.59% against the national average of 59.8%. With 20,976MW under construction, NTPC has an asset base of Rs2.36 trillion with a debt of Rs1.03 trillion on its books.
To keep pace with the fast-changing power sector, the company is looking to diversify. It plans to be present across the electricity value chain and has 10 coal mining blocks with 7.3 billion tonnes of reserves. Apart from inviting companies for setting up cement units near its plants, NTPC is exploring new businesses such as setting up charging stations for electric vehicles. It is also entering the fertilizer production space through a joint venture and is scouting for opportunities to market its technology for producing quality drinking water from sea by utilizing heat generated from its plants.
The utility is slated to play a key role in helping meet the demand generated by Saubhagya scheme (Pradhan Mantri Sahaj Bijli Har Ghar Yojana), launched to provide electricity connections to more than 40 million families in rural and urban areas by December 2018. This in turn will help improve India’s per capita power consumption of around 1,200 kilowatt hour, which is among the lowest in the world."
124,2018-01-22,NTPC,"Saptarshi Roy, director in charge of human resources, talks about what makes his personnel tick along with the opportunities and challenges that the utility offers

With 22,124 people deployed across its 187 generation units, state-run NTPC Ltd is India’s largest power generation utility. Saptarshi Roy is the director in charge of human resources at the utility that helps meet 16% of India’s electricity demand. A 37-year veteran at the Maharatna, Roy is responsible for maintaining the credo of “People before PLF"". PLF or plant load factor is a measure of average capacity utilization of a power plant. In an interview, Roy talks about what makes his personnel tick along with the opportunities and challenges that the utility with a man to megawatt ratio of 0.47 offers. Edited excerpts: 
With 22,124 people deployed across its 187 generation units, state-run NTPC Ltd is India’s largest power generation utility. Saptarshi Roy is the director in charge of human resources at the utility that helps meet 16% of India’s electricity demand. A 37-year veteran at the Maharatna, Roy is responsible for maintaining the credo of “People before PLF"". PLF or plant load factor is a measure of average capacity utilization of a power plant. In an interview, Roy talks about what makes his personnel tick along with the opportunities and challenges that the utility with a man to megawatt ratio of 0.47 offers. Edited excerpts:"
122,2018-01-30,NTPC,"The listing will help NTPC raise funds at lower costs from international investors and also allow foreign investors to access good quality Indian debt paper

Ahmedabad: India’s largest power producer NTPC Ltd has listed its $6 billion (about Rs38,000 crore) medium term note (MTN) programme on India International Exchange (India INX) at International Financial Services Centre (IFSC) located at Gujarat International Finance Tec-City (GIFT City) in Gandhinagar.  
Ahmedabad: India’s largest power producer NTPC Ltd has listed its $6 billion (about Rs38,000 crore) medium term note (MTN) programme on India International Exchange (India INX) at International Financial Services Centre (IFSC) located at Gujarat International Finance Tec-City (GIFT City) in Gandhinagar. 
NTPC became India’s first quasi-sovereign company to list at India INX, GIFT City Co. Ltd said in a media statement. The listing was done on 24 January, on the Global Securities Market of India INX, India’s first international exchange, it said.
GIFT City Co., which is implementing the GIFT City project in Gandhinagar, is an equal joint venture between Infrastructure Leasing and Financial Services Ltd and state government-owned Gujarat Urban Development Co. Ltd. Of the 880 acres allotted to GIFT City, about 250 acres is earmarked for the International Financial Services Centre (IFSC).
The listing will help NTPC raise funds at lower costs from international investors and also allow foreign investors to access good quality Indian debt paper.
“This is NTPC’s first listing at India International Exchange and we are very happy to be part of India INX at IFSC, GIFT City. Now, for the first time in India, we have the opportunity to reach out to international investors to raise funds using a wide variety of products and currencies, in a similar manner, as available in other international markets. We are excited with this new development and look forward to partnering with India INX in years to come,"" Gurdeep Singh, chairman and managing director, NTPC Ltd said in the statement.
India INX was inaugurated by Prime Minister Narendra Modi in January 2017, setting forth a vision that the International Exchange at GIFT City should become a listing destination for issuers from India and the region. It claims to be one of the world’s most advanced technology platforms with a turn-around time of 4 micro seconds and operates for 22 hours a day to allow international investors and non-residents Indians to trade from anywhere in the world. 
The exchange being located in IFSC, GIFT City provides competitive advantage in terms of tax structure and supportive regulatory framework. The Global Securities Market (GSM) of India INX went live on 8 December, 2017 with publication of its debt listing framework by India INX.
In a media statement issued on 25 January, V. Balasubramaniam, managing director and chief executive officer at India INX said that India’s IFSC mission suffers from several disadvantages which make it a less preferred option than New York, London, Singapore and Hong Kong.
On the expectations from the upcoming Union Budget, Balasubramaniam said that short term capital gains tax needs to be done away with for any transaction that is done through IFSC in both derivatives and debt.
“We have seen the impact of this already in the way in terms of the cost of doing a derivative transaction today at IFSC vs Singapore or London. We have also seen the impact of this in terms of volume erosion in India market once Dubai introduced single stock futures and now we are expecting Singapore to introduce them from February. The key reason why investors prefer to trade on Indian securities from global venues like London, Singapore and Dubai is because of less capital gains tax friction,"" he said in the 25 January statement. 
Among other things, he said that Long Term Capital Gains Tax should also be done away with for bonds traded at IFSC in the upcoming budget. This is a pre-requisite to develop a vibrant corporate bond market at IFSC, according to Balasubramaniam."
121,2018-01-31,NTPC,"NTPC's profit after tax from continuing operations for the third quarter ended 31 December fell to Rs2,361 crore from Rs2,469 crore a year earlier

Bengaluru: India’s power producer NTPC Ltd reported a 4% fall in quarterly profit on Wednesday, missing analysts’ estimates. 
Bengaluru: India’s power producer NTPC Ltd reported a 4% fall in quarterly profit on Wednesday, missing analysts’ estimates.
Profit after tax from continuing operations for the third quarter ended 31 December fell to Rs2,361 crore ($370.96 million) from Rs2,469 crore a year earlier, the company said in a statement.
Analysts on average had expected a profit of Rs2,680 crore, according to Thomson Reuters data.
However, revenue from its generation segment was up 5% at Rs20,558 crore.
NTPC shares ended at Rs170.25 at BSE."
120,2018-02-01,NTPC,"Tracking the 10% rise in electricity generation, NTPC Q3 gross sales increased 7% from a year ago, but net profit dropped 4%

NTPC Ltd may have clocked record electricity generation in the December quarter. That robust operational performance, however, is not to be seen in its financial results. Tracking the 10% rise in generation, gross sales increased 7% from a year ago. But net profit declined 4%. 
NTPC Ltd may have clocked record electricity generation in the December quarter. That robust operational performance, however, is not to be seen in its financial results. Tracking the 10% rise in generation, gross sales increased 7% from a year ago. But net profit declined 4%.
Earnings were hit by three factors. One of them is pay revision. The second is the unusual rise in leave encashment by employees. The third and the biggest hit came from fixed cost under-recoveries at three power plants. As a consequence of the shortage of coal at these plants, the company was unable to recover fixed costs fully, hurting earnings. Excluding this impact and other adjustments, the net profit would have grown by 8%, the management told analysts.
Even then, the results may not please investors. Despite healthy generation, NTPC’s reported profits fell for the second consecutive quarter. Adding to the concern is continuing tightness in fuel availability at the affected plants. The government has set up a study group to address the problem. But it is not expected to be resolved quickly, given the complexities of the situation, which is dependent on the availability of rail transport and quick ramp-up of coal production.
That said, investors have reasons to be optimistic. Power demand has seen noticeable improvement in recent months, the management told analysts. This improvement in demand (partly caused by the unexpected drop in wind energy generation) led to unusual usage of thermal power, leading to coal shortages towards the end of 2017.
This sudden change of events did hurt NTPC in the December quarter. But the demand recovery, if it holds, should benefit the company in the long run.
NTPC is in the midst of capacity additions. By March 2019 it plans to add about 6,900 megawatts. With very few fresh capacities under construction in the industry, the company can see noticeable earnings benefits if demand sees a sustainable improvement. 
“Traditionally, NTPC has been among the foremost beneficiaries of rising PLFs given that it has some of the most efficient and low-cost plants. While the core trigger for NTPC remains its pace of capacity addition, which will double its regulated equity base, we believe current market price does not factor most of the above triggers,"" JM Financial Institutional Securities Ltd said in a note. PLF is plant load factor, a gauge of utilization levels.
The future indeed holds promise. But the challenge for NTPC investors is to overcome the intermediate earnings disappointments."
119,2018-02-08,NTPC,"The petitioner informs the HC that in March 2016, 40 power firms, including NTPC, Adani Group and Essar Group were identified by the Directorate of Revenue Intelligence, that over-priced coal imported from Indonesia

New Delhi: The Delhi high court on Wednesday directed the Centre to file its reply and affidavits in a public interest litigation seeking a court-monitored criminal investigation by a Special Investigative Team into the alleged malpractice of ‘artificial over-invoicing’ of imports allegedly being carried out by various power generating companies in India.  
New Delhi: The Delhi high court on Wednesday directed the Centre to file its reply and affidavits in a public interest litigation seeking a court-monitored criminal investigation by a Special Investigative Team into the alleged malpractice of ‘artificial over-invoicing’ of imports allegedly being carried out by various power generating companies in India. 
The case has been filed by the Centre for Public Interest Litigation (CPIL). Counsel for the CPIL, Prashant Bhushan argued that scope of the petition was beyond the matters of customs and taxes, which essentially came under the domain of Directorate of Revenue Intelligence (DRI).
“We are seeking a court monitored criminal investigation. We are seeking something larger than the scope of power of the DRI,"" Bhushan told the bench comprising justices S. Ravindra Bhat and A.K. Chawla.
Bhushan informed the court that in March 2016, 40 power companies were identified by the DRI, that over-priced coal imported from Indonesia. These companies included NTPC, Adani Group and Essar Group. He also brought to the notice of the court two instances when DRI issued show causes to the Adani Group in 2014 and Essar Group in 2015 for over-pricing their imports. 
The case of the petitioner is that the coal and equipment required for power generation in India are bought from Original Equipment Manufacturers (OEMs) through a foreign intermediary company which is a wholly controlled/ owned subsidiary of Indian power companies. While the invoices generated by OEMs reflect actual price of the product, the invoices generated by the intermediary companies on the Indian power companies are inflated ‘almost to the extent of 400%’, the petition alleges. Subsequently, the illegally inflated cost borne by the Indian power companies is passed on to the consumers who pay higher tariffs on electricity consumption. 
The matter will be heard next on 4 April."
