,Date,Company,Article
84,,Nestle,
83,2018-01-17,Nestle,"In other news, Tata Sons in talks to raise $1.5 billion via external commercial borrowings

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Tata Sons in talks to raise $1.5 billion via external commercial borrowings
Tata Sons Ltd, the holding company of the Tata group, is looking to raise up to $1.5 billion in external commercial borrowing (ECB) in the next few weeks, reports Mint, citing two people directly aware of its fund-raising plans. Read more
Nifco to raise $75 million offshore capital for residential projects
Nisus Finance Services Co. Pvt. Ltd (Nifco), a real estate investment firm, is raising around $75 million from investors in the US, Japan and Europe to invest in residential projects in India, reports Mint. Read more
Newgen Software IPO receives 19% subscription on Day 1
The Rs424.6-crore initial public offering (IPO) of software products maker Newgen Software Technologies Ltd received demand for 19% of the shares on offer on the first day of the sale on Tuesday, reports Mint. Read more
CCI shadow over Bayer’s takeover of Monsanto
Bayer AG is confident it would get approval from the Competition Commission of India (CCI) for its proposed buyout of Monsanto, without which the global deal could get stalled, the German drugs and crop chemicals company’s South Asia representative Richard van der Merwe said on Tuesday, Mint reports . Read more
True North floats subsidiary focused on analytics, AI, commits $10 million investment
Indian private equity (PE) firm True North on Tuesday said it had launched a subsidiary called Actify Data Labs to offer services in analytics, algorithms and artificial intelligence (3A), reports Mint. Read more
Tata group hires EY to explore sale of oil and gas business
The Tata group has hired EY to explore the sale of Tata Petrodyne Ltd (TPL), its oil and gas exploration and production business, reports Mint, citing two people aware of the development. Read more
Piramal Enterprises explores re-entry into Indian formulations business
Piramal Enterprises is evaluating a return to the domestic formulation market after a non-compete agreement with Abbott expires this year, said people familiar with the plan, reports The Economic Times. Read more
FirstCry may acquire Mothercare franchisee rights from DLF brands
FirstCry.com is in talks to buy the India franchisee right for UK’s kids products brand Mothercare from DLF Brands in a bid to bolster its presence in the growing children’s products market, according to multiple people aware of the development, reports The Economic Times. Read more
Blackstone acquires stake in Forum group’s retail space for Rs2.50 billion
Global private equity firm Blackstone Group has acquired a majority stake in one of the retail ventures promoted by the Forum Group. The private equity (PE) firm has invested around Rs2.5 billion, which translates into about 75% stake in retail space in Esplanade Mall by Forum Group in Bhubaneswar, according to sources close to the development as reported by Business Standard. Read more
Nestle sells US confectionery biz to Ferrero for $2.8 billion amid health push
Swiss food group Nestle has agreed to sell its US confectionery business to Italy’s Ferrero for $2.8 billion, it said on Tuesday, marking CEO Mark Schneider’s first big sale and a small step on its path towards healthier products, reports Reuters. Read more
IIFL Asset Management to raise $500 million for realty play
IIFL Asset Management, part of the India Infoline group, plans to raise $500 million under its India Housing Fund to make debt investments in real estate, including stressed projects, reports The Times of India. Read more"
82,2018-01-30,Nestle,"Nestle says it will sell pet care products in India, starting with premium packaged food for dogs

New Delhi: Here’s news to set the dogs drooling. After selling food products in packets to millions of Indians for more than a century, Nestle SA now wants to sell packaged food for canines in the country. 
New Delhi: Here’s news to set the dogs drooling. After selling food products in packets to millions of Indians for more than a century, Nestle SA now wants to sell packaged food for canines in the country.
The Swiss packaged food maker on Monday said it will sell pet care products in India, starting with premium packaged food for dogs. This is the first time Nestle has entered an entirely new business segment in India on its own since entering the market in 1912.
The firm has also incorporated a new entity, Purina Petcare India Pvt. Ltd, which will operate as a subsidiary of Nestle SA, and will be associated with Nestle India Ltd, the Swiss firm’s main business in India.
The new entity has launched one premium dog food product in India under the Supercoat brand. “The Supercoat range of complete and balanced food offers a wholesome combination of high quality natural ingredients free from added artificial colours, flavours or preservatives,"" the company said in a statement. The products will initially be sold through retail outlets across 12 cities in India.
Mint had on 16 February 2017 reported Nestle’s plans to enter the pet care market in India. 
Pet care is a relatively new business for Nestle globally. The Swiss multinational entered the segment after it acquired Ralston Purina in December 2001 and spun off the business as a separate entity—Nestle Purina PetCare Co. Besides food and nutrition products for dogs and cats, the company also sells specialized veterinary diet products.
In 2016, pet care as a business segment accounted for Swiss franc 12.1 billion out of Nestle SA’s total sales of Swiss franc 89.5 billion, according to the company’s annual report. The Americas are the largest revenue contributor to Nestle’s pet care business, generating revenue of Swiss franc 8.5 billion in 2016.
Pet care is a small industry in India. The size of the pet care market, including food and other pet products, in India stood at Rs1,712 crore in 2016. Mars Inc., Indian Broiler Group, Stylam Sydney, Cargill Inc and Himalaya Drug Co. are the key pet care product sellers in India.
“With estimated 19 million pets, the pet food industry in India shows huge potential and is expected to double in size in the next five years. There is an increasing awareness about pet nutrition largely driven by increasing digitization making it easier to gain knowledge and owing to the great efforts by leading veterinarians across the country,"" Purina Petcare India said.
Varindra Sewak, managing director, Purina Petcare India, said the company will bring its global portfolio to India, aiming to “become a significant player in the rapidly growing pet food category"". 
Globally, Nestle Purina’s brands include Beneful, Fancy Feast, Friskies and Purina One. It sells 16 products for dogs and 13 for cats. In the early 2000s, Purina had tried selling its products through distributors in India, but its efforts weren’t successful."
81,2018-02-15,Nestle,"Nestle India becomes the first listed 'pure-play food firm' to cross milestone in India as full-year sales rise 7.7%

New Delhi: Swiss packaged food company Nestle SA has finally joined the Rs10,000 crore sales club in India—more than a century after it entered the burgeoning market to sell Swiss condensed milk as a trader. 
New Delhi: Swiss packaged food company Nestle SA has finally joined the Rs10,000 crore sales club in India—more than a century after it entered the burgeoning market to sell Swiss condensed milk as a trader.
On Wednesday, its local entity Nestle India Ltd reported total sales at Rs10,135.11 crore for the year ended December 2017. The maker of Maggi noodles, Kit Kat chocolates and Nescafe instant coffee mixes follows a January-December accounting year.
Nestle, which began trading in India in 1912, is the first listed “pure-play food company"" to cross Rs10,000 crore in sales in India. While there are many packaged goods companies in India with more than Rs10,000 crore sales, Nestle India is among the very few to have crossed the mark with a pure-play food business. Among the listed firms, ITC Ltd’s food business was estimated at around Rs8,000 crore in fiscal year ended 31 March 2017 (FY17) and Britannia Industries Ltd reported sales at Rs8,684 crore in FY17. The country’s largest packaged goods company Hindustan Unilever Ltd and New Delhi-based Dabur India Ltd have much smaller food businesses. 
Among unlisted firms, Amul brand marketer Gujarat Co-operative Milk Marketing Federation Ltd’s revenue stood at Rs27,043 crore in FY17, according to a company statement issued last year. Biscuit maker Parle Products Pvt. Ltd reported Rs9,331.42 crore revenue from operations in FY16, according to its filings with Registrar of Companies (RoC).
“It is extremely pleasing that we ended year 2017 on a strong note by reaching a historic milestone of over Rs10,000 crore in revenue, in a year where we had to adapt to significant changes in the external environment,"" Suresh Narayanan, chairman and managing director, Nestle India said in a statement on Wednesday.
Nestle India may well have crossed the Rs10,000 crore mark in sales a couple of years back, had its Maggi noodles not been slapped with a ban in 2015 over a health scare that caused an estimated half-a-billion-dollar dent to the company.
For the year 2014, Nestle India reported total sales at Rs9,854.84 crore. But sales dropped to Rs8,175.31 crore in 2015 after the Maggi noodles controversy. On 5 June 2015, India’s food regulator Food Safety and Standards Authority of India (FSSAI) asked Nestle to take Maggi instant noodles, its single largest revenue earner at the time, off retail shelves for alleged presence of monosodium glutamate and lead beyond permissible limits. Maggi was off retail stores for six months.
For the quarter ended 31 December, Nestle India reported a 59.6% jump in net profit, backed by higher volume. Profit for the quarter stood at Rs311.83 crore, as compared with Rs195.41 crore in the corresponding year-ago period.
Total sales increased 10.9% in the quarter to Rs2,589.64 crore. Sales in the domestic market rose 10.8% and export sales increased by 12.7%. On a comparable basis, Nestle India said, sales in the domestic market increased by 18.1% due to “increase in volumes including rebuild of Maggi noodles, supplemented by better underlying realizations coming from previous periods"".
According to the company, growth was on a base that was “impacted by withdrawal of high denomination currency notes in circulation"" in 2016. “These growth rates are adversely impacted due to lower reported sales by the change in structure of indirect taxes and reduction in realisations to pass on the GST (goods and services tax) benefits,"" Nestle India added.
For the full year, Nestle India’s total sales increased by 7.7% to Rs10,369.10 crore in 2017 backed by an 8.2% growth in domestic sales. Adjusting for accounting changes following the rollout of the goods and services tax, Nestle India said, the domestic sales growth is estimated at 11.8%.
“Nestlé is over a 105 years old in India and is building for the next 100 years. This is showcased by our continuous thrust on innovation and renovation with over 15 products launched last year,"" Narayanan said.
During the October-December quarter, the country’s largest packaged goods company Hindustan Unilever Ltd (HUL) reported a 28% rise in net profit as sales rose 2.5% backed by an 11% growth in volume. Dabur India posted a 13% increase in net profit backed by a 13% volume growth.
On Wednesday, Nestle India shares rose 1.73%, or Rs123.60, to Rs7,260.10 while benchmark Sensex shed 0.42%, or 144.52 points, to end the day at 34,155.95 points. The results were announced after the close of trading."
80,2018-02-15,Nestle,"Nestle India reported an increase of 59.57% in its net profit to Rs311.83 crore for the quarter ended December 2017, led by volume growth

New Delhi: Shares of Nestle India on Thursday surged over 5% on bourses after the company reported a 60% jump in its December quarter net profit and said its sales had crossed the Rs10,000-crore mark in 2017.  
New Delhi: Shares of Nestle India on Thursday surged over 5% on bourses after the company reported a 60% jump in its December quarter net profit and said its sales had crossed the Rs10,000-crore mark in 2017. 
The FMCG major on Wednesday reported an increase of 59.57% in its net profit to Rs311.83 crore for the quarter ended December 2017, led by volume growth. 
The company also noted that it has crossed the Rs10,000-crore sales mark in 2017, joining a select group of publicly-listed FMCG companies in the country which have crossed the milestone. 
Following the announcement, shares of the company on Thursday opened on a strong note and surged 5.23% to an intra-day high of Rs7,640 on the BSE. On NSE, the stock hit a high of Rs7,645, up 5.23% over its previous closing price. 
The net sales of the company during the quarter under review was up 10.91% at Rs2,589.64 crore, as against Rs2,334.78 crore for the corresponding period a year ago. Its net sales in 2017 soared 7.71% to Rs10,135.11 crore, against Rs9,409.60 crore in the previous year. 
HUL and ITC are among a few listed FMCG companies which have reported annual sales of more than Rs10,000 crore."
79,2018-02-16,Nestle,"Nestle India's December quarter results hold out promise of a good showing in 2018, barring another major disruption

Is this the year Nestlé India Ltd will fire on all cylinders? Investors seem to think so. If 2015 was taken away by the noodles controversy, 2016 went to demonetization and 2017 saw the initial chaos of the goods and services tax (GST) roll-out affect performance. All that is behind it. The company’s December quarter results hold out promise of a good showing in 2018, barring another major disruption. 
Is this the year Nestlé India Ltd will fire on all cylinders? Investors seem to think so. If 2015 was taken away by the noodles controversy, 2016 went to demonetization and 2017 saw the initial chaos of the goods and services tax (GST) roll-out affect performance. All that is behind it. The company’s December quarter results hold out promise of a good showing in 2018, barring another major disruption.
Most consumer goods companies reported an upswing in growth. So Nestlé India’s 18.1% comparable domestic sales growth is not unusual—Hindustan Unilever Ltd’s sales grew by 17%. Still, the fact that it is higher than the market leader’s growth is good news; Nestlé India attributed it to higher volumes and better realizations.
Due to changes in accounting post-GST, sales numbers are not comparable. The company’s reported sales rose by 15.6% while its material costs increased by 11.4%. While the numbers may change, once the low base effect fades, if sales grow ahead of input costs, then it’s still good for profitability.
Nestlé India had flagged rising material costs in its August 2017 analyst meet, but that does not seem to have affected margins. Government data shows that milk prices have indeed risen, but prices of other inputs such as sugar and coffee have declined while wheat flour has held steady. On a sequential basis, the gross profit margin has risen by 2 percentage points. That allowed Nestlé India to absorb a sharp increase in other expenses (most likely due to higher advertising costs) and its Ebitda (earnings before interest, tax, depreciation and amortization) margin rose by 22 basis points sequentially.
While its Ebitda rose by 26.7% over a year ago, lower depreciation and a lower tax rate saw its profit increase by 59.6%. The metric to focus on is the Ebitda margin, which seems to have stabilized at around 23%. If the company can maintain this and then get volume growth going, that would be good.
Parent company Nestlé SA too released its results this week, and while sales growth disappointed, one of its priorities for 2018 is to maintain volume growth. That should set the tone for Nestlé India’s priorities, and while the parent also talks about margin improvement, the two together make for a better combination in India.
Most consumer goods firms have talked about sales recovery in India’s urban markets and that augurs well for Nestlé India’s urban-centric product portfolio. If economic growth picks up as expected in 2018 and consumer demand also moves up, then it is reasonable to expect the company’s performance to improve.
Nestlé India’s shares were already expensive before its results were announced, trading at 47 times its forecast earnings per share for 2018, based on the mean of estimates polled by Reuters. Its shares still rose by 4.5% on Thursday—a day after the results were announced—partly due to good results but also reflecting a bounce-back from recent underperformance versus its peers (see chart). The jump in its shares signals hope its earnings growth may improve by more than expected in 2018, and investors need to see if the next few quarters lend strength to that hope."
78,2018-02-27,Nestle,"Nestle has divided India into 15 different clusters, each considered a different market, based on food preferences of local consumers in its hyperlocal push

New Delhi: Nestle India Ltd is adopting a hyperlocal model for marketing and distribution that the local entity of the Swiss packaged food company believes will help increase penetration and expand reach leading to faster growth. 
New Delhi: Nestle India Ltd is adopting a hyperlocal model for marketing and distribution that the local entity of the Swiss packaged food company believes will help increase penetration and expand reach leading to faster growth.
As part of this approach, Nestle has divided India into 15 different clusters—each considered a different market—based on food preferences of the local consumers. “There are many Indias in India. Each of them needs to be served differently,"" said Suresh Narayanan, chairman and managing director, Nestle India.
The company—which reported total sales of Rs10,135.11 crore for the year ended December 2017, backed by a 10.9% revenue growth in quarter ended 31 December 2017—is targeting double-digit volume growth in the coming quarters. 
In the cluster approach, the company has formed a separate team—comprising 10-20 people from sales, category marketing, supply chain and trade marketing—for each of the clusters. “Product placements, distribution, marketing and promotions for each cluster would be tailor-made based on insights from the ground. This would ensure better penetration in existing markets and help us expand into adjacent markets,"" Narayanan said, adding that even basic marketing and promotions could be different from cluster to cluster for one particular product.
Over a period, Narayanan said, Nestle could look at launching tweaked versions of one particular product for different clusters. “It has to make commercial sense. There could be different Maggi masalas for different clusters. However, having 15 different variants of one particular product may not make commercial sense,"" he said, adding that the company could look at launching a new variant of a particular product if it sees the variant has the potential of contributing 3-5% to the brand’s revenue over a period of two-three years. The cluster approach also gives Nestle India the scope to expand beyond its focus 100 top towns—a value-driven strategy that the company adopted after the half-a-billion-dollar Maggi noodles crisis in 2015. 
“While our focus will be on the top 100 towns, we need to expand beyond these markets to ensure sustainable growth for future. These may be smaller markets, but they will grow faster in foreseeable future,"" Narayanan said.
Nestle products used to reach around 5 million of India’s estimated 9 million retail outlets before the Maggi fiasco that broke on 5 June 2015. The product was off the shelves for about six months until 9 November 2015. After the crisis, its retail reach fell to around 3.5 million outlets.
The company started conceptualizing the cluster model towards the end of 2016, and adopted it fully beginning this year. Nestle’s products now reach around 4 million retail stores, out of which it reaches around 1.3 million directly. 
Nestle is not the first company to take a hyperlocal approach. Back in 2016, cigarette-to-noodles maker ITC Ltd adopted a similar strategy, but more focused on differentiated products for each cluster with the aim to roll out market-specific products that are relevant to a particular town, state or community with a potential to grow it nationwide over time, Mint reported on 17 June 2016. 
Nestle, which entered the pet care market in India, is planning to enter another new product segment in next 8-10 months. “It may not be a completely new business. It could be extension of an existing category. Premium coffee, category extensions in prepared dishes and snacks are among a bunch of things that are in the priority list,"" added the Nestle chairman. In the last couple of years, Nestle India launched about 40 products. 
“This year, we have already launched three new products. We’ll bring more products. With a global portfolio of around 2,500 products, the challenge is not what to launch, but when to launch,"" said Narayanan"
77,2018-03-09,Nestle,"Nestle's Maggi, which also offers products like taste-enhancer Masala-ae-Magic and ketchup, is changing the way it speaks to its consumers by making its advertising more inclusive and women centric

New Delhi: Maggi, the Nestle-owned brand which gave India its instant noodle obsession, has turned 35 years old. The food brand, which also offers products like taste-enhancer Masala-ae-Magic and ketchup, is changing the way it speaks to its consumers by making its advertising more inclusive and women centric. 
New Delhi: Maggi, the Nestle-owned brand which gave India its instant noodle obsession, has turned 35 years old. The food brand, which also offers products like taste-enhancer Masala-ae-Magic and ketchup, is changing the way it speaks to its consumers by making its advertising more inclusive and women centric.
The narrative is reflected in the new campaign of tastemaker Masala-ae-magic made by advertising agency Publicis India. The film Kuch acha pak raha hai revolves around a story of a mother and son, wherein the mother encourages her son to let his wife work after marriage. This campaign makes a simple yet profound point that just as recipes are changing, our relationships must change too. The larger thought of the campaign is in line with the evolving state of women in India where their voice is becoming prominent in society.
“Maggi is not just a product but it has become a part of our ethos. Food is emotional in nature and often the bedrock of many relationships. As cooking and culture changes, relationships are changing as well which are entwined with each other. As relationships change, the role of women is also changing in our society and from now onwards Maggi’s advertising will reflect that,"" said Bobby Pawar, managing director and chief creative officer at Publicis South Asia.
While the Masala-ae-Magic campaign is being promoted on television and digital, the instant noodle brand Maggi has opened its factories and kitchens for consumers. Nestle is executing a web series titled “From Our Kitchen To Your Kitchen"", featuring foodie duo Rocky and Mayur where consumers will be invited to learn about our products and how they are made. The first episode features the duo spending time and understanding how Maggi is made in the company’s manufacturing unit.
“Our consumers are seeking more information on our products than ever before, and this campaign will allow consumers to get the understanding they seek. Maggi aims to showcase the product journey, right from procurement of raw materials to manufacturing, and the role it plays in your diet. This campaign will leverage our 24x7 consumer engagement services team and our digital—www.maggi.in,"" said Maarten Geraets, general manager, foods, Nestlé India.
Maggi, as a brand, wants to become more transparent and engaging by continuously talking to consumers and seeking their feedback. 
According to brand expert Santosh Desai, chief executive and managing director of Future Brands Ltd, the Maggi brand has done well in India and women centric advertising which is also transparent seems like a reasonable strategy. “However, Maggi needs to find a sharp take on showing women as harbingers of change because it is being done by many brands in their own way. It is important to find some truth to it. Meanwhile, Maggi instant noodles has recovered from a major controversy and thus transparency is a sensible step but transparency is a two street so it is not just about being able to tell your story but also to listen to what consumers are saying,"" he said.
Desai also feels that going forward brand Maggi also needs to figure out how its product portfolio will look like in India. Unlike its global markets where soups and tastemakers dominate, Maggi in India is synonymous with instant noodles. “They have to ask if noodles are becoming wholesome and going into health space. Also, it is a good time to launch more products under the brand since food in India has become about excitement and experimentation. But their success will depend on whether the products are rendered for the Indian palate or not,"" he said."
76,2018-03-12,Nestle,"Multinational consumer giants like Unilever and Nestle typically trade at a discount to their Indian units, and they've become even cheaper after the selloff

Mumbai: Multinational consumer giants like Unilever Plc and Nestle SA typically trade at a discount to their Indian units, given the nation’s growth potential. They’ve become even cheaper after the selloff, prompting Credit Suisse to ask if stock values of their local subsidiaries will follow suit. 
Mumbai: Multinational consumer giants like Unilever Plc and Nestle SA typically trade at a discount to their Indian units, given the nation’s growth potential. They’ve become even cheaper after the selloff, prompting Credit Suisse to ask if stock values of their local subsidiaries will follow suit.
“Many large European and US consumer staple stocks have fallen about 15% from their peak last year,"" Arnab Mitra, an analyst at the brokerage, wrote in a note on Friday. “Indian consumer stocks that followed global peers on the way up have not seen a correction.""
For instance, Hindustan Unilever Ltd’s valuation premium over its Anglo-Dutch parent is significantly above the 10-year mean, which wasn’t the case even three months ago, the analyst wrote. Unilever’s one-year forward price-to-earnings ratio has dropped 20% from its peak of 23 times, while its Indian subsidiary is valued at a multiple of 55.
Nestle India Ltd trades at a trailing price-earnings ratio of 60.3 times, almost twice that of its Switzerland-based parent whose shares have tumbled 9% this year.
The rich valuations are being supported by management commentary about a rebound in rural consumption, Mitra said. This optimism could be cushioning the fall in valuations, for now, he said. Prime Minister Narendra Modi’s shock cash ban in late 2016 damped farm incomes, while the roll out of the nationwide sales tax in July disrupted supply chains.
“Given the valuation premium, it is critical for companies to at least meet their earnings expectations for Fiscal 2019,"" Mitra wrote. Bloomberg"
75,2018-03-27,Nestle,"In a letter to food companies such as ITC, HUL, Dabur and Nestle, FSSAI said the food companies will also need to submit a 'fresh plan on the recall management'

New Delhi: Food Safety and Standards Authority of India (FSSAI), the country’s food regulator, on Monday said it has asked the top 200 food companies that have procured licences from the FSSAI headquarters to set up exclusive teams to manage food recalls if the situation arises in the future. 
New Delhi: Food Safety and Standards Authority of India (FSSAI), the country’s food regulator, on Monday said it has asked the top 200 food companies that have procured licences from the FSSAI headquarters to set up exclusive teams to manage food recalls if the situation arises in the future.
In a letter written to companies such as Kolkata-based ITC Ltd, the country’s largest packaged goods company Hindustan Unilever Ltd (HUL), New Delhi-based Dabur India Ltd and Nestle India Ltd, the local unit of Swiss packaged food company Nestle SA, Food Safety and Standards Authority of India said the companies will also need to submit a “fresh plan on the recall management"". 
A copy of the letter has been reviewed by Mint.
The move is part of the food regulator’s plan to “implement food recall regulations across India"" that it notified in November 2017, putting the onus on companies by stating that the primary responsibility of implementing any recall lies with food companies, as it believes a recall is directly linked to “serious defects in the manufacturing process"". 
It outlined a 10-step process that companies will have to follow for a recall. 
The regulator has also asked companies to submit details of the food recall team within 30 days and the fresh recall plan within 60 days from 20 March, 2018.
The directive comes almost three years after FSSAI ordered Nestle India to recall Maggi instant noodles for alleged presence of monosodium glutamate and excess lead on 5 June 2015, which turned out to be the largest food recall in India ever. 
“As a responsible corporate citizen, we always abide by all relevant norms and regulations,"" a Nestlé India spokesperson said in an e-mailed statement.
According to the FSSAI letter, the food recall plan will be reviewed by FSSAI’s regional offices every time any of the 200 food companies applies for renewal of its licence.
“Recall is not a common thing in India. The regulator’s directive is part of preventive measures to assure consumers that companies make and sell safe food. This might have some cost pressure on companies, but that is not unjustified,"" said Rajat Wahi, partner (management consulting) at consulting firm Deloitte India."
