,Date,Company,Article
183,,ONGC,
182,2018-01-01,ONGC,"The ONGC discovery has indicated potential in-place reserves of about 29.74 million tonnes of oil and oil equivalent gas

New Delhi: State-owned Oil and Natural Gas Corp. (ONGC) has made a significant oil and gas discovery to the west of its prime Mumbai High fields in the Arabian Sea, oil minister Dharmendra Pradhan said on Monday.  
New Delhi: State-owned Oil and Natural Gas Corp. (ONGC) has made a significant oil and gas discovery to the west of its prime Mumbai High fields in the Arabian Sea, oil minister Dharmendra Pradhan said on Monday. 
In a written reply to a question in the Lok Sabha, he said the discovery was made in the well WO-24-3 (WO-24-C) drilled west of Mumbai High fields. Though a holiday was declared for Parliament, replies to questions were posted on the Lok Sabha website. 
“Based on the data generated during drilling, 9 objects/zones were identified and on testing all the objects flowed oil/gas,"" he said. The discovery has indicated potential in-place reserves of about 29.74 million tonnes of oil and oil equivalent gas, he said. 
“The 9th object on testing flowed oil at the rate of 3,310 barrels per day and gas at the rate of 17,071 cubic meter per day,"" the minister said. “This multi-layered oil and gas accumulation in this well opened up new area for exploration/development."" Mumbai High, India’s biggest oil field, currently produces 205,000 barrels of oil per day (just over 10 million tonnes per annum) and the new find would add to that production in less than two years’ time. 
ONGC is carrying out a further appraisal of the discovery and has intimated upstream regulator the Directorate General of Hydrocarbons (DGH). The new find, which comes almost 50 years after ONGC began production in Mumbai High, will help the company maintain production levels from the basin for a longer time than currently estimated. 
Mumbai High is ONGC’s flagship oil producing assets. It along with other small fields along the western offshore produce 16 million tonnes per annum of oil, which is 44% of India’s total crude oil production of 36 million tonnes. ONGC produced 25.5 million tonnes of oil in 2016-17, which will reach 28-29 million tonnes by 2019-20, officials said."
180,2018-01-09,ONGC,"The joint venture partners areMittal Investments Sarl, the private investment company of the Mittal family, andONGC Videsh,the overseas exploration and production arm of ONGC

Mumbai: Two joint ventures of steel baron Lakshmi Niwas Mittal with ONGC Videsh Ltd are shutting shop, documents filed with the Registrar of Companies (RoC) show. 
Mumbai: Two joint ventures of steel baron Lakshmi Niwas Mittal with ONGC Videsh Ltd are shutting shop, documents filed with the Registrar of Companies (RoC) show.
The joint venture partners are Mittal Investments Sarl, the private investment company of the Mittal family, and ONGC Videsh, the overseas exploration and production arm of state-run explorer Oil and Natural Gas Corp. Ltd (ONGC).
The first venture, ONGC Mittal Energy Ltd (OMEL), has ONGC Videsh holding 49.98% and Mittal Investments 48.02%. SBI Capital Markets holds the balance 2% stake.
The company was formed in 2006 to source equity oil and gas from abroad for securing India’s energy independence.
“The company had no operations for a long time and the board decided to discontinue the operations. It was decided by the board to strike off the name of the company from the register of companies. Accordingly, the financial statements have not been prepared on a going concern basis,"" said the company in its 11th annual report for the year to March 2017, filed with the RoC. 
For the year ended March 2017, OMEL reported a loss of Rs166,623 against a loss of Rs127,000 for the year to March 2016. Closing balance of profit and loss account for 2017 stood at Rs500,000 against Rs333,377 for 2016, according to the report. 
OMEL, through its Nigerian subsidiaries, held participating interests in three Nigerian exploration blocks—OPL-246, OPL-279 and OPL-285. It had also invested in a producing block in Syria. 
OMEL had in November 2006 paid $100 million to win the OPL-246 block in Nigeria. It had paid a signature bonus of $50 million for OPL-285 and $75 million for OPL-279. 
“The Nigerian blocks had been relinquished after unsuccessful exploration efforts and OMEL is shutting down its Nigerian operation and its associated subsidiaries,"" OMEL said in an emailed response. 
OMEL added that the Syrian investment is presently affected by political unrest in Syria and the management is keeping track of the political situation in Syria. 
“The operations in Syria may be resumed once the political and security situation improve in Syria,"" said OMEL. 
The second venture, ONGC Mittal Energy Services Ltd, a wholly owned subsidiary of OMEL, was to be involved in trading and shipping of oil and gas (including LNG) sourced by OMEL from abroad. 
OMEL in the emailed response added, “At present, this company does not have any operation and may be closed in due course."""
181,2018-01-09,ONGC,"The project with L&T is part of ONGC's strategy to jointly develop three small and marginal fields/blocks scheduled to be completed by May 2019

New Delhi:L&T Hydrocarbon Engineering has secured a Rs1,483 crore offshore contract from ONGC.  
New Delhi:L&T Hydrocarbon Engineering has secured a Rs1,483 crore offshore contract from ONGC. 
“L&T Hydrocarbon Engineering, a wholly-owned subsidiary of Larsen and Toubro, has signed an offshore contract for the ‘Bassein Development 3 Well Platform and Pipeline Project’ with Oil and Natural Gas Corporation (ONGC) valued at approximately Rs1,483 crore ($229 million),"" Larsen and Toubro stated in a BSE filing on Friday. 
The project, part of ONGC’s strategy to jointly develop three small and marginal fields/blocks under ‘Bassein Development 3 Well Platform and Pipeline Project’, is scheduled to be completed by May 2019. 
The contract covers engineering, procurement, construction, installation and commissioning for the project. Stock of Larsen and Toubro was trading 0.39% up at Rs1,320.50 on the BSE."
179,2018-01-10,ONGC,"ONGC is set to open a new sedimentary basin in the country as it puts Kutch offshore on the oil and gas map of India

New Delhi: After a gap of over three- decades, state-owned Oil and Natural Gas Corp (ONGC) is set to open a new sedimentary basin in the country as it puts Kutch offshore on the oil and gas map of India. Kutch would be India’s eighth sedimentary basin.  
New Delhi: After a gap of over three- decades, state-owned Oil and Natural Gas Corp (ONGC) is set to open a new sedimentary basin in the country as it puts Kutch offshore on the oil and gas map of India. Kutch would be India’s eighth sedimentary basin. 
ONGC had previously opened for commercial production six out of India’s seven producing basins. Cauvery was the last Category-I producing basin which was discovered in 1985. ONGC has made a significant natural gas discovery in the Gulf of Kutch off the west coast, which it plans to bring to production in 2-3 years, senior company officials said. 
India has 26 sedimentary basins, of which only seven have commercial production of oil and gas. Except for the Assam shelf, ONGC opened up for commercial production all the other six basins, including Cambay, Mumbai Offshore, Rajasthan, Krishna Godavari, Cauvery and Assam-Arakan Fold Belt. The discovery in Kutch offshore may hold about 1 trillion cubic feet of gas reserves. 
The spread of Kutch offshore basin covers an area of 28000 square kilometres in water depth of up to 200 metres and will become eighth producing basin of the country. Talking about the possibility of adding new basin for production, ONGC director (exploration) A.K. Dwivedi said: “The results are very encouraging and I am sure that this is going to open up many new opportunities"". 
He said several state-of-the-art technologies like broadband seismic acquisition have been used in exploration campaign to acquire more accurate data from the exploration acreages. While congratulating the exploration Team, ONGC chairman and managing director Shashi Shanker said, “Our constant efforts will be on looking for new opportunities to replenish our reserves. Our focus is to improve the quality of pre- drilling data through the use of innovative technologies in order to improve the success rate."" Exploration, he said, is the most important value creator for any E&P company worldwide. 
“ONGC will leave no stone unturned to improve success rate from its exploratory campaigns. We are trying to optimize cost as much as possible, both during pre and post exploratory drilling phases,"" he said. However, imbibing most modern technologies as well as conducting a customized training programme for the geoscientists to substantially enhance the quality of data before exploratory drilling starts are needed, he said. 
“This will have a huge positive impact both in short and long run."" In order to go for early monetising of Kutch Offshore, ONGC is looking for pricing support from the Government of India. Since Kutch Offshore is a difficult field, its cost of production is also going to be high. Hence, a matching pricing support is extremely important. 
Officials said the present government-mandated gas price of $2.89 per million British thermal unit does not make the discovery commercially viable. Since the find is in shallow waters, it does not qualify to get the $6.30 per mmBtu cap price set for difficult fields. ONGC, they said, has stepped up the acquisition of 2D and 3D seismic data in a bid to raise production and help cut country’s dependence on imports to meet oil needs by 10% by 2022. 
In 2017, the company acquired around 7000 square kilometre of 3D seismic data. Officials said 37 discoveries have been made in last two years. 17 of these are onland, 18 in shallow water and two are deepsea discoveries. Also, a framework for monetisation of 166 new and small discoveries have been mapped at the Basin and Asset level, they added."
178,2018-01-12,ONGC,"BSE Sensex closed higher by 88.90 points to 34,592.39, while the Nifty 50 rose 30.05 points to close at 10,681.25. Here are the latest updates

MUMBAI :
Mumbai: Benchmark indices closed at record highs on Friday on robust buying by domestic investors and positive corporate earnings outlook. The BSE Sensex hit a fresh lifetime high of 34,638.42 in the early trade before settling 88.90 points, or 0.26%, higher at 34,592.39. The broader Nifty, after scaling an all-time intraday high of 10,690.40 points, ended at 10,681.25, up 30.05 points, or 0.28%. For the week, the 30-share index gained 438.54 points, or 1.28%, while the Nifty 50 rose 122.40 points, or 1.15%. The benchmark indices posted the sixth straight weekly gain.
BSE Sensex closed higher by 88.90 points, or 0.26%, to 34,592.39, while the Nifty 50 rose 30.05 points, or 0.28%, to close at 10,681.25.
BSE Sensex traded higher by 75.44 points, or 0.22%, to 34,578.93, while the Nifty 50 rose 22.65 points, or 0.21%, to 10,679.85.
India’s National Company Law Tribunal has ordered liquidation of Gujarat NRE Coke Ltd after the company’s debt resolution plans failed. The Kolkata bench of the NCLT, the designated court for bankruptcy cases, on Thursday passed the order, which was filed with the stock exchanges on Friday.
The French and German stock markets marched higher in opening deals on Friday, but London flatlined ahead of the weekend. In the eurozone, the Paris benchmark CAC 40 index rose 0.3% to 5,502.63 points and Frankfurt’s DAX 30 also gained 0.3% to stand at 13,241.28. London’s FTSE 100 was almost unchanged at 7,765.21 points.
The Indian rupee on Friday erased all the morning gains and was trading weaker against US dollar as local markets fell after four Supreme Court judges said working of top court not in order. The home currency was trading at 63.70 a dollar, down 0.09% from its Thursday’s close of 63.67. The rupee opened at 63.67 a dollar and touched a high and a low of 63.48 and 63.72, respectively.
BSE Sensex traded lower by 5.66 points, or 0.02%, to 34,497.83, while the Nifty 50 edged up 1.55 points, or 0.01%, to 10,652.75.
Jayaswal Neco Industries Ltd said that the company has filed a writ petition with the Bombay High Court for issuance of order for implementation of debt restructuring scheme. Shares rose 0.33% to Rs12.20.
Bharat Heavy Electricals Ltd said it has commissioned a 250MW thermal power unit in Bihar. Shares traded 0.63% lower at Rs102.60.
Tata Steel Ltd reported its third-quarter India production of 3.26 million tonnes versus 3.16 million tonnes last year. The company’s Europe steel production stood at 2.67 million tonnes. Third-quarter India sales were 3.30 million tonnes in the quarter. Shares traded 0.52% to Rs767.55.
BSE Sensex slumped 103.95 points, or 0.30%, to 34,399.54, while the Nifty 50 fell 26 points, or 0.24%, to 10,625.20.
BSE Sensex traded higher by 31.50 points, or 0.09%, to 34,534.99, while the Nifty 50 rose 8.10 points, or 0.08%, to 10,659.30.
IVRCL Ltd rose 5% to Rs6.45 after State Bank of India has initiated corporate insolvency proceedings against IVRCL Ltd. In a regulatory filing made with the BSE, the Hyderabad-based infrastructure company has informed that the provisions of Insolvency and Bankruptcy Code 2016 (IBC) have been invoked by the lender.
Bitcoin was trading at $13,019 as of 8:24am Hong Kong time, putting it on track for a 22% slide this week, the deepest since January 2015.#Bitcoin set for worst weekly slide since 2015 as scrutiny riseshttps://t.co/MtDqMUAbLp— Livemint (@livemint) January 12, 2018
#Bitcoin set for worst weekly slide since 2015 as scrutiny riseshttps://t.co/MtDqMUAbLp
TVS Motors Co. Ltd fell 1.5% to Rs742 after brokerage firm CITI initiated sell on the stock for target price of Rs700.
Tata Teleservices Maharashtra Ltd rose 5% to Rs7.27 after ET reported that Tatas repay Rs17,000 crore of Tata Tele debt.
MAS Financial Services Ltd rose 4% to Rs649 after Motilal Oswal Securities initiated coverage on the stock with a buy rating and kept a target price of Rs740 a share.
KEI Industries Ltd rose 11% to Rs409.70 after brokerage firm Motilal Oswal initiated coverage on the stock with a buy rating and kept a target price of Rs537 a share, up 44% from its Thursday’s close price.
Dredging Corp. of India rose 4% to Rs856 after the company said it got an order worth Rs88.50 crore for dredging of channels and basins at Cochin port.
BSE Sensex traded higher by 103.71 points, or 0.30%, to 34,607.20, while the Nifty 50 rose 30.70 points, or 0.29%, to 10,681.90.
Amtek Group stocks trading higher after The Economic Times reported that the UK-based metals group Liberty House and American hedge fund Deccan Value Investors have come up as top contenders for auto component maker Amtek Auto. Amtek Auto Ltd rose 5%, Castex Technologies Ltd 5%, Metalyst Forgings Ltd 5%.
Indianbulls Real Estate rose 3% to Rs261 after the company said its arm Yashita Buildcon entered into a binding and definitive agreement to acquire a prime and newly constructed commercial building, having leasable area of approx 2.5 lakh sq ft in Gurugram.
Dish TV India Ltd fell 5% to Rs80.05, while Videocon Industries Ltd fell 4% to Rs23.15 after Mint reported that direct-to-home operator Dish TV on Thursday pointed to the ongoing insolvency proceedings against Videocon group in the context of the delay in its planned merger with Videocon d2h.
Tata Consultancy Services Ltd fell 1.1% to Rs2762 after the company reported weaker-than-expected earnings in its banking, financial services and insurance segment. Revenues accruing from these industries fell 1.5% sequentially and were flat year-on-year. Its year-on-year revenue growth fell to just 6.2% in the December 2017 quarter, its lowest in more than three years. Growth has been sluggish for a while now, and the last quarter was little different, except that some growth in some segments picked up.
Infosys Ltd inched up 0.01% to Rs1,075.75 ahead of its December quarter earnings due later today. According to 18 Bloomberg analysts estimates, the company may post a profit of Rs3601.60 crore on revenues of Rs17,836.90 crore.
Reliance Industries Ltd rose 1% to Rs944 after Mint reported that Reliance Jio Infocomm Ltd plans to create its own cyptocurrency, JioCoin.
The Indian rupee strengthened marginally against US dollar in opening trade. The rupee opened at 63.67 a dollar, and was trading at 63.59 a dollar, up 0.18% from its Thursday’s close of 63.67. The 10-year bond yield was at 7.265% compared to its previous close of 7.264%.
BSE Sensex traded higher by 87.40 points, or 0.25%, to 34,590.89, while the Nifty 50 rose 27.90 points, or 0.26%, to 10,679.10."
177,2018-01-13,ONGC,"A Pawan Hans helicopter with 7 people on-board, including 5 ONGC officers and 2 pilots, crashed off the Mumbai coast

Mumbai: A Pawan Hans helicopter with seven people on-board, including five ONGC officers and two pilots, crashed off the Mumbai coast minutes after it took off for the state-owned company’s oil installation in the Arabian sea.  
Mumbai: A Pawan Hans helicopter with seven people on-board, including five ONGC officers and two pilots, crashed off the Mumbai coast minutes after it took off for the state-owned company’s oil installation in the Arabian sea. 
So far, five bodies have been recovered, the Coast Guard and the Navy said in their statements. Search operation is on for other missing persons. The Pawan Hans helicopter with five Oil and Natural Gas Corp. Ltd (ONGC) officers, including three of the level of deputy general managers, went missing around 10.40am on Saturday.
ONGC, Coast Guard and Navy pressed helicopters and speed boats as soon as the information of the chopper going missing was received at the Juhu helibase. ONGC has key oil and gas fields off the Mumbai coast and Pawan Hans helicopters routinely ferry company employees and officers to the oil installations that are situated as far as 160km from the coastline. 
The field in the offshore include Mumbai High, the nation’s largest oil field and Bassein fields, the largest gas field. The helicopter crash is not the first accident in ONGC’s history. In August 2003, an Mi-172 helicopter crashed off the Mumbai coast killing 27 people and pilot on-board.
“ONGC vessels and choppers along with the Coast Guard and Indian Navy are combing the areas where the chopper has apparently crashed,"" the ONGC statement read. “Identification of the bodies is in progress,"" it read. The chopper Dauphin N3 went missing after taking off from the Juhu aerodrome. 
The chopper, bearing registration number VT-PWA, was scheduled to land at the designated oil rig at Mumbai High at 11 am. In a statement, the Coast Guard said, “Search teams from ICGS Agrim were able to locate and recover five bodies from water. The floating debris was also recovered by the ship. The search operation for the remaining crew is continuing in coordination with other ships and aircraft from ONGC and the Indian Navy. 
The recovered bodies along with debris have been handed over to ONGC vessel at the crash site for further formalities, it said. “At about 1120 Hrs on 13 January, Headquarters, Coast Guard Region (W) received information from ONGC about a helicopter with seven persons (two pilots and five passengers) missing in position about 22 Nm North West from Uttan Light (16-17 Nm from land). The location falls in the approach/return leg of route taken by ONGC helicopters while proceeding to oil rigs in Mumbai high area,"" it added.
“A Dornier aircraft was immediately launched from Coast Guard Air Station Daman and reached the area for search. Certain debris was reported by the aircraft. Further, Indian Coast Guard Ship (ICGS) Agrim, on patrolling off Mumbai was diverted to the crash site and reached the datum at about 1230 hrs.
“The ship also reported widespread debris in the area and began search for the missing passengers and crew from aircraft,"" it added.
Four more Coast Guard ships based at Mumbai (ICGS Samudra Prahari, ICGS Achook, ICGS C-154 and ICGS C-434) apart from ICGS Agrim were pressed into service and reached the datum to widen the search parameter. Besides, another two Dornier aircraft were deployed from Coast Guard Air Station Daman to augment the search effort, it added. A release from the Navy said, “The naval ships have recovered pieces of debris of the ill-fated helicopter and continue the search for two missing crew members. Five bodies have been recovered so far."" 
The Navy said the two Fast Interceptor Crafts, INS Tarasa and the frigate INS Teg of the Indian Navy joined the rescue effort with diving teams and a Chetak helicopter operating on board INS Teg joined the operation for survivors of the Pawan Hans helicopter. “In addition, Seaking helicopters from INS Shikra and a Dornier recce aircraft from Porbandar have been operating through the day. A P8-I long-range maritime reconnaissance aircraft from INS Rajali near the East Coast has also arrived in the area to assist the search. INS Makar, a naval survey ship with the latest side-scan sonar and underwater cameras has also sailed from Karwar to augment the SAR effort,"" an naval release said. 
An ONGC official said oil minister Dharmendra Pradhan visited the bereaved families in the city this evening. Of the five senior officials that the ONGC lost in the accident, two were living in Bandra Colony, one in Kalina, one in Vasai and one in Delhi, he said. However, the ONGC refused to name the officials saying that all the bodies are yet to be identified by their families and two more bodies are yet to be recovered. 
The bodies recovered so far have been sent to Cooper Hospital for post-mortem, the official added. A senior Directorate General of Civil Aviation (DGCA) official said the aircraft accident investigation body AAIB will probe the Pawan Hans chopper crash. “Since it is a clear accident, this chopper crash will be probed by the Aircraft Accident Investigation Bureau (AAIB),"" the official said. He said the DGCA will extend all the necessary help to the AAIB in conducting the probe. 
AAIB is the apex body which probes serious incidents and accidents, involving aircraft registered in India and comes under the civil aviation ministry. Pawan Hans Ltd said in a statement that the French-made Dauphin SA 365N3 helicopter met with an with an accident and the chopper crash is being probed by the aviation regulation DGCA. “There were five passengers and two crew members on board. The search and rescue operations are in progress,"" it said. 
Minister of state for civil aviation Jayant Sinha expressed deep anguish over the loss of lives. “IndiaCoastGuard Ship on receipt of information reached area, located the debris, picked up a body at 1230 hrs,"" he said on Twitter. “So far resulted in 03 body recovery. Search & rescue operations are underway. Aircraft Accident Investigation Bureau will launch thorough inquiry,"" he tweeted."
176,2018-01-14,ONGC,"Bodies of one of the two pilots and all five ONGC officers have been recovered from the ill-fated Pawan Hans chopper, which crashed in Arabia Sea on Saturday

New Delhi: Six bodies including that of all the five ONGC officers and one of the two pilots of ill-fated Pawan Hans chopper, which crashed in Arabia Sea on Saturday, have been recovered.  
New Delhi: Six bodies including that of all the five ONGC officers and one of the two pilots of ill-fated Pawan Hans chopper, which crashed in Arabia Sea on Saturday, have been recovered. 
While the search is on for the remaining one person, the ill-fated Chopper’s VDR too has been recovered, ONGC said in a statement. 
Bodies of ONGC Officials P N Srinivasan, R Saravanan, Jose Antony, Pankaj Garg and one of the pilots Capt R Ohatkar, have been identified, the statement said. 
“The identification process for the sixth body is still on. During the Search and Rescue (SAR) Operations on 14 January, 2018, the VDR of the chopper has been recovered. Search operation is on for the remaining debris of the production chopper VT – PWA,"" it said. 
ONGC and Coast Guard vessels: CG-268, CG-241, CG-314, Suriya-3, and CG-769, Samudra Sevak, HAL Anant, TAG-20, TAG 17, TAG-15, OSVs LJ Johnson and BS Negi and Ocean Crewser-III have been relentlessly combing the area. 
The search operation is being steered by the ONGC top management led by Shashi Shanker, CMD ONGC. Shanker, who has been camping in Mumbai to oversee the search operations as well as ensuring all support for the bereaved families, has stated that a high level independent investigation will be immediately instituted to ascertain the reasons. 
The recovered bodies of ONGC executives, after necessary procedures, have been handed over to the family members and two families have taken the bodies to their native places for last rites as desired by them. ONGC is extending all possible help to the bereaved families in this hour of grief and crisis, it said in the statement."
175,2018-01-15,ONGC,"ONGC is reviewing offshore logistics operations after five of its 'energy soldiers' were killed in the tragic helicopter crash in the Arabian Sea

New Delhi: State-owned Oil and Natural Gas Corp. (ONGC) is reviewing offshore logistics operations after five of its ‘energy soldiers’ were killed in the tragic helicopter crash in the Arabian Sea.  
New Delhi: State-owned Oil and Natural Gas Corp. (ONGC) is reviewing offshore logistics operations after five of its ‘energy soldiers’ were killed in the tragic helicopter crash in the Arabian Sea. 
The company employees and officers on Monday held a condolence meetings to mourn the death of five of its officers in Pawan Hans helicopter crash off the Mumbai coast on Saturday. All the seven onboard the ill-fated chopper, including two pilots, are reported to have died in the accident. 
“We have lost bright and hardworking officers in line of service to the company and the nation. In a way they were energy soldiers who were killed in the tragic accident,"" said Narendra K. Verma, managing director & CEO of ONGC Videsh Ltd. 
Verma, who was part of the condolence meeting held in Delhi, said the chairman and managing director Shashi Shanker is camping in Mumbai since Saturday, supervising medico-legal assistance to the bereaved families and “to be with the families in their hour of grief"". “The company stands in solidarity with the families and will support them in all possible ways,"" he said. 
“The loss of five bright officers is tragic and a great loss to the company."" The five were on the way to ONGC’s oil installation in the Arabian sea when the accident occurred on Saturday morning. Verma said the company has begun reviewing offshore logistic operations. “We will do all it takes to make them more safe and secure."" 
ONGC, he said, is going in to every aspect of how employees and officers are currently transported from land to offshore installations and trying to cut the risk associated with such journeys. Shanker, who has been camping in Mumbai to oversee the search operations as well as ensuring all support for the bereaved families, has stated that a high level independent investigation will be immediately instituted to ascertain the reasons. 
The helicopter crash is not the first accident in ONGC’s history. In August 2003, Mi-172 helicopter crashed off Mumbai coast killing 27 company persons and pilot onboard."
174,2018-01-17,ONGC,"Govt is mulling to sell its ownership in HPCL  to ONGC at a premium of not more than 9% of the company's six-month average share price as it seeks to reach a final agreement as early as 31 January

New Delhi/Mumbai: India is considering a plan to sell its ownership in Hindustan Petroleum Corp. to the nation’s biggest explorer at a premium of not more than 9% of the company’s six-month average share price as it seeks to reach a final agreement as early as 31 January, according to people with knowledge of the matter. 
New Delhi/Mumbai: India is considering a plan to sell its ownership in Hindustan Petroleum Corp. to the nation’s biggest explorer at a premium of not more than 9% of the company’s six-month average share price as it seeks to reach a final agreement as early as 31 January, according to people with knowledge of the matter.
Capping the premium will prevent opposition from minority shareholders of HPCL, since the government doesn’t plan to open the offer to the public, and also not burden state-run acquirer Oil & Natural Gas Corp., the people said, asking not to be identified because the information isn’t public. An agreement is near completion with the parties working to endorse the valuation, they said.
At the proposed valuation, the sale will help Prime Minister Narendra Modi’s administration raise as much as Rs36,600 crore ($5.7 billion), that is more than half of its annual asset sale target. The government plans to complete the transaction before 31 March to achieve the $11 billion asset sales target for the current financial year. The stake sale is crucial for narrowing its budget gap that has climbed to Rs6.12 trillion during eight months to November, or 112% of the target.
The HPCL stake sale is unlikely to trigger an open offer as the government’s holding is being transferred to another state-run firm. Under India’s takeover code, if a company acquires more than 25% of another listed entity, it has to make an open offer to buy at least 26% more.
Calls made to finance ministry spokesman D.S. Malik went unanswered. ONGC spokesman declined to comment while an email sent to HPCL spokesman remained unanswered.
ONGC will tap the debt market for the first time to fund the acquisition as it is running low on funds after boosting spending on oil and gas exploration amid low output prices. The explorer has sent request for proposals to banks to raise Rs25,000 crore in loans.
ONGC’s board approved the deal on 22 August following the cabinet’s decision to sell the HPCL stake to the explorer.
The acquisition is part of a plan first outlined by finance minister Arun Jaitley while presenting the federal budget in February last year. Bringing HPCL into its fold would make ONGC the nation’s third biggest refiner after Indian Oil Corp. and Reliance Industries Ltd. Bloomberg
Siddhartha Singh, Saket Sundria, Debjit Chakraborty"
