,Date,Company,Article
57,,PowerGrid,
56,2018-01-10,PowerGrid,"Fitch said Power Grid's ratings of 'BBB-' benefit from its strong market position

New Delhi: Fitch Ratings on Wednesday said it has assigned Power Grid a long-term local currency issuer default rating (IDR) of ‘BBB-’, which is at the same level as its long-term foreign currency IDR. 
New Delhi: Fitch Ratings on Wednesday said it has assigned Power Grid a long-term local currency issuer default rating (IDR) of ‘BBB-’, which is at the same level as its long-term foreign currency IDR.
The outlook is stable. Fitch assesses Power Grid’s standalone profile at ‘BBB’, it said in a statement. Fitch’s credit ratings range from AAA to D, where triple-A indicates high ability to repay debt while D indicates the least. It said that Power Grid’s ratings benefit from its strong market position. 
The company owns and operates around 85% of India’s inter-regional and inter-state electricity transmission network assets. Revenue from existing operational transmission assets is based on a return on equity of 15.5% and full pass- through of all fixed costs within regulatory norms, including interest charges. 
India’s new transmission projects have only been awarded through tariff-based competitive bidding since 2011, except for certain projects of strategic importance, technical upgrades or urgent requirements, which are awarded directly to Power Grid, it said. 
Power Grid has had 11 projects awarded through the bidding scheme and aims to complete 10 of them (one project has been discontinued) by 2020. Returns from tariff-based bidding projects are less protected than from existing operational assets under a cost-plus tariff model, it said. 
However, Fitch does not expect these projects to account for more than 5% of Power Grid’s revenue in the medium term. Power Grid commissioned Rs32,000 crore of projects in FY17, exceeding Fitch’s expectations, and plans total capex of about Rs25,000 crore per year over the next three years, it added."
55,2018-01-15,PowerGrid,"IndiGrid is in the process of completing the acquisition of three assets from Sterlite Power Grid Ventures Limited, RAPP Transmission Company, Purulia and Kharagpur Transmission Company and Maheshwaram Transmission

Mumbai: India Grid Trust (IndiGrid) on Monday reported revenue of Rs126 crore for the quarter ended 31 December.  
Mumbai: India Grid Trust (IndiGrid) on Monday reported revenue of Rs126 crore for the quarter ended 31 December. 
The InvIT, promoted by Sterlite Power Grid Ventures, recorded net distributable cash flow of Rs101.3 crore for the October-December quarter of FY18, the firm said in a statement issued in Mumbai. The board of Sterlite Investment Managers acting as the investment manager of the trust has approved a distribution per unit of Rs2.89 per unit for third quarter of the fiscal. 
IndiGrid is also in the process of completing the acquisition of three assets from Sterlite Power Grid Ventures Limited, RAPP Transmission Company, Purulia and Kharagpur Transmission Company and Maheshwaram Transmission worth Rs1,500 crore. These acquisitions are expected to be consummated in the last quarter of FY18, the company said. 
“We are on track to comfortably meet the FY18 distribution guidance. In line with our growth strategy, we are nearing completion of the acquisitions and also pursuing other opportunities,"" IndiGrid chief executive officer (CEO) Pratik Agarwal said. 
Currently, IndiGrid owns ten independent revenue generating assets, including eight transmission lines of 1,936 ckms and two substations of 6,000 MVA capacity."
54,2018-01-18,PowerGrid,"India will need at least $125 billion to fund its ambitious plan to increase the share of renewable power supply in the country's grid by 2022, says government official

New Delhi: India will need at least $125 billion to fund its ambitious plan to increase the share of renewable power supply in the country’s grid by 2022, a top government official told Reuters, underlining the immense financing challenge ahead. 
New Delhi: India will need at least $125 billion to fund its ambitious plan to increase the share of renewable power supply in the country’s grid by 2022, a top government official told Reuters, underlining the immense financing challenge ahead.
The South Asian nation is one of the world’s most important growth markets for renewable energy. Millions of Indians are not yet linked up to the power grid but as the country of more than a billion people prospers, it is experiencing surging demand.
To put India’s $125 billion requirement in context, global corporate funding for the solar industry—the world’s fastest-growing electricity source—was a tenth of that amount in 2017 at $12.8 billion, research firm Mercom says.
In 2015, India said investment of $100 billion in the seven years to 2022 would be needed to meet its renewable energy goals.
Installed renewable power capacity is currently about 60 gigawats (GW), and India plans to complete the bidding process by the end of 2019/20 to add a further 115 GW of installed renewable energy capacity by 2022.
To do that, Anand Kumar, secretary at the ministry of new and renewable energy, said investment of at least $125 billion would be needed.
India, which receives twice as much sunshine as European countries, wants to make solar central to its renewable expansion. It expects renewable energy to make up 40% of installed power capacity by 2030, compared with 18.2% at the end of 2017.
Kumar said that $125 billion was a “conservative estimate"" and foreign capital would be central to achieving the goal.
Private equity firms, US banks including Goldman Sachs , JPMorgan and Morgan Stanley, and European utilities EDF and Engie are already investors or lenders in India’s renewable energy sector.
India will also require support from development banks, like the World Bank, Kumar said.
IREDA , a state-run financier for renewable energy, raised $300 million by selling rupee-denominated bonds, known as masala bonds, in the United Kingdom last year. The bonds were subscribed 1.7 times.
“We are also looking to raise another $500 million through IREDA through masala bonds early next financial year,"" he said.
Not enough
Most of the financing for India’s renewables drive so far has come from domestic banks, industry experts say, raising doubts about the level of support that can be expected from overseas investors.
Market consultant Jasmeet Khurana said Indian banks would have to account for the lion’s share of new renewable investments in the future.
“It is an uphill task, but Indian banks can find the appetite to fund these projects,"" Khurana said.
Another challenge in achieving India’s renewable targets is the government’s “Make in India"" initiative.
To protect itself from cheap solar panel imports, India’s directorate general of safeguards, an arm of the finance ministry, has proposed a 70% duty on imports of solar equipment from some countries including China, which so far provides the vast majority of India’s solar panels.
Kumar said “a duty at this stage could hamper our growth situation,"" and “a realistic view"" will be taken in consultation with other stakeholders.
The government was working on developing energy storage technologies and hydrogen-fuel cells and other batteries, he said.
“Renewables are the future. The only weak link is storage, and the day you crack storage, there is no looking back for renewables."" Reuters"
53,2018-03-12,PowerGrid,"Power Grid says it has entered into a term loan facility agreement for Rs5,000 crore with SBI for meeting capital expenditure for expansion, renovation and setting up various other projects

New Delhi: State-owned Power Grid Corporation said on Monday that it has entered into an agreement with State Bank of India (SBI) for Rs5,000 crore term loan for meeting its capital expenditure.  
New Delhi: State-owned Power Grid Corporation said on Monday that it has entered into an agreement with State Bank of India (SBI) for Rs5,000 crore term loan for meeting its capital expenditure. 
In a BSE filing it said the company has entered into a term loan facility agreement for Rs5000 crore with State Bank of India (SBI) on Sunday for meeting “capital expenditure for expansion/ renovation and setting up various undergoing and new transmission and other projects in the company and in identified SPVs/JVs (special purpose vehicles/joint ventures) of the Company"". 
Power Grid has planned a capital expenditure of Rs25,000 crore in the next fiscal. Its budgeted capital expenditure for the current fiscal is also Rs25,000 crore. The company is mainly into power transmission and is a central transmission utility of the country."
52,2018-03-13,PowerGrid,"EON, which targets savings of 600 million to 800 million by 2022, would become a grid manager and power provider focused on meeting Chancellor Angela Merkel's ambitious targets to cut pollution

Berlin: EON SE will shed as many as 5,000 jobs in the deal to take over Innogy SE, a move that marks the biggest shakeup in Germany’s energy business in years. 
Berlin: EON SE will shed as many as 5,000 jobs in the deal to take over Innogy SE, a move that marks the biggest shakeup in Germany’s energy business in years.
The transaction agreed with its rival RWE AG values Innogy at €22 billion ($27.1 billion) and will sharpen the focus of Germany’s leading two electricity and natural gas providers, according to a joint statement on Monday. EON billed itself as the first formerly-integrated utility to focus entirely on meeting needs of 50 million customers across Europe. RWE said it doesn’t expect any net job losses.
EON targets savings of €600 million to €800 million by 2022. It would become a grid manager and power provider focused on meeting Chancellor Angela Merkel’s ambitious targets to cut pollution. For RWE, which is Europe’s biggest generator of electricity, the deal would provide it with renewables as an alternative to its current generation network that now is focused mainly on coal and nuclear power.
“It’s EON’s first real growth step for more than a decade,"" EON chief executive officer (CEO) Johannes Teyssen said at a press conference on Tuesday in Essen, where all three of the utilities are based. “Our renewables businesses will find a promising home within a larger platform that will offer the necessary scale of size.""
RWE CEO Rolf Martin Schmitz said “size is crucial"" to exploit business opportunities as clean energy subsidies disappear and that conventional power assets will become “the beating heart of any future-proofed industrial society."" Markus Krebber, finance director for RWE, said in a Bloomberg Television interview that the deal “will entirely transform our company"" by doubling earnings before interest, taxes, depreciation and amortization.
EON shares surged more than 6%, continuing the biggest two-day increase in more than a year. RWE was up almost 3% after a 14% gain Monday, and Innogy was little changed just below the €40 a share offer price.
Merkel is seeking to phase out coal-fired power generation in Germany and wants to deliver a plan by the end of this year. RWE owns half of the nation’s coal-fired power capacity.
“The new RWE and EON entities provide investors with clearer differentiated opportunities,"" Jonas Rooze, an analyst at Bloomberg New Energy Finance, wrote in a note to clients. “Investors can take stakes in RWE if they want power generation exposure, and in EON for distribution and retail exposure.""
EON’s voluntary takeover offer for Innogy will probably be completed by the middle of 2019, the companies said. RWE may take control of EON’s renewable energy assets by the end of 2019, when the full transaction is due to close subject to approval from antitrust authorities.
Perella Weinberg Partners and BNP Paribas advised EON, with Linklaters acting as legal council. BofA Merrill Lynch and Citigroup advised RWE, and Rothschild provided a fairness opinion to RWE’s supervisory board and Freshfields Bruckhaus Deringer acting as legal council.
RWE will end up with EON’s renewables business, minority stakes in two nuclear power plants, Innogy’s gas storage business and a stake in an Austrian energy supplier. Including the asset swaps, the whole transaction has an enterprise value of about €60 billion.
RWE reported an increase in full-year earnings on Tuesday while forecasting a decline in financial performance in 2018. The utility proposes a dividend of €1.5 for 2017, which includes a €1 special dividend. For 2018, the goal is to increase the ordinary dividend to €0.70.
EON also released earnings for 2017 that beat analysts forecasts, bringing forward its announcement by two days. Bloomberg News first reported the deal on 10 March, with confirmation from the companies on Sunday and a full statement with terms of the transaction released on Monday evening. RWE reports earnings on Tuesday.
EON said its adjusted net income was €1.5 billion last year, above the median forecast collected by Bloomberg for of €1.33 billion. Bloomberg"
51,2018-03-22,PowerGrid,"As renewables gain prominence, thermal power plants will have to become flexible in terms of generation to balance grid demand

The law of unintended consequences is taking its toll on the thermal power sector. A report by a government committee on the optimal energy mix in power generation says the thermal power sector may continue to bear the brunt of the thrust on renewable energy. This is especially if the renewables sector has to achieve its targeted capacity additions by 2022. 
The law of unintended consequences is taking its toll on the thermal power sector. A report by a government committee on the optimal energy mix in power generation says the thermal power sector may continue to bear the brunt of the thrust on renewable energy. This is especially if the renewables sector has to achieve its targeted capacity additions by 2022.
Simply put, the report says coal-based power plants will have to be underutilized if the committed renewable capacities have to be added by 2021-22. The utilization levels or the plant load factor is estimated to fall to 56.5% by 2021-22. 
For perspective, with utilization levels at 60% so far this fiscal year, lenders are worried about the bankability of the projects. Depending on the capital cost, fuel mix, offtake agreements and fixed cost recovery clauses, a power plant will have to operate at a minimum utilization level of 50% to meet debt covenants, say experts. As envisaged in the report, if plants operate at about 56% utilization levels, that leaves very little margin of safety and meagre returns for owners.
The utilization level estimate takes into account the coal-based capacity of 47,855 megawatts at various stages of construction, which are likely to be commissioned during 2017-22. Much of the capacity is being built by government-owned entities. So power offtake may not be a major issue for them. But they will restrict the opportunities available for the projects that are currently stalled, which are operating at sub-optimal utilization levels and without enough power offtake agreements.
“Given their must-run status and growing size, renewables will constrain the utilization levels of the thermal power sector,"" says Girishkumar Kadam, sector head and vice president at ratings firm Icra Ltd. What is required is demand growth. A sustained improvement in demand will ease the pressure, he adds. 
The government report also says that in an alternative scenario of higher demand, the overall utilization of coal-based power plants could see a noticeable improvement.
But the current subdued trends provide limited confidence about achieving higher demand. 
Also adding to the uncertainty are the indirect costs of renewable energy integration. As renewables gain prominence, thermal power plants will have to become flexible in terms of generation to balance grid demand. This involves substantial costs and investments.
While the government seems aware of the challenges, if demand does not see noticeable improvement, the pain in the thermal power sector may last for a long while."
50,2018-04-03,PowerGrid,"NASA hopes its Parker Solar Probe mission will help humans improve satellite communications, power grid issues, radiation exposures as well as astronaut safety

Mumbai:Outer space has always held a fascination for earthlings and scientists alike, whether it’s landing on the Moon, aspiring to live on Mars, creating a space nation called Asgardia, or simply having your name emblazoned on the Sun. 
Mumbai:Outer space has always held a fascination for earthlings and scientists alike, whether it’s landing on the Moon, aspiring to live on Mars, creating a space nation called Asgardia, or simply having your name emblazoned on the Sun.
For instance, if you would like to have your name on the Sun, all you need to do is sign up on the National Aeronautics and Space Administration (Nasa) website by 27 April. The space organisation touts this as the “hottest ticket"" on Earth this summer.
Once you sign up, you get a certificate which tells you that this ticket will include your name on a memory card that will fly aboard the Parker Solar Probe spacecraft, which is the size of a small car. Consequently, you will joining the ranks of people like William Shatner—a cultural icon for his portrayal of Capt. James T. Kirk in the original “Star Trek"" TV series—who have signed up.
The aim of this mission, according to NASA, is to “unlock the mysteries of the corona...(and) provide new data on solar activity and make critical contributions to our ability to forecast major space-weather events that impact life on Earth"". The reason: We live in the Sun’s atmosphere but do not understand everything about it such as why the corona is unstable, why do we have solar winds or magnetized material eruptions, or why the corona is hotter than the surface of the Sun itself.
NASA also hopes this mission will help humans improve satellite communications, power grid issues, pipeline erosion, radiation exposure on airline flights and astronaut safety.
To be launched anytime between 31 July and 19 August this year, NASA’s Parker Solar Probe Parker will swoop to within 4 million miles from the sun’s surface.
The Parker Solar Probe will use seven Venus flybys over nearly seven years to gradually shrink its orbit around the sun, “well within the orbit of Mercury and about eight times closer than any spacecraft has come before"", according to the website. At closest approach, the Parker Solar Probe will be hurtling around the sun at approximately 450,000 miles per hour—fast enough to get from Philadelphia to Washington, D.C., in one second.
The spacecraft will come as close as 6.2 million kilometers to the Sun. The spacecraft and instruments will be protected from the Sun’s heat by a 4.5 inch thick carbon-composite shield, which will need to withstand temperatures outside the spacecraft. At its closest approach to the sun, while the front of Parker Solar Probe’s solar shield faces temperatures approaching 1,400 degrees Celsius, the spacecraft’s payload will be near room temperature, according to NASA.
This is the first NASA mission that has been named for a living individual, Eugene Parker—the S. Chandrasekhar Distinguished Service Professor Emeritus, Department of Astronomy and Astrophysics at the University of Chicago.
Born on 10 June, 1927, in Michigan, Parker has held faculty positions at the University of Chicago and at its Fermi Institute. Other than proposing how stars (including the Sun) emit energy—a phenomenon he called the solar wind, he described an entire complex system of plasmas, magnetic fields, and energetic particles that make up this phenomenon. Parker also theorized an explanation for the superheated solar atmosphere, the corona. More than half a century later, the Parker Solar Probe mission is expected to provide observations on Parker’s groundbreaking theories and ideas.
Elsewhere, a group of scientists and space experts based out of Russia, Romania, Canada and the US now want to make this myth a reality by offering Earthlings an opportunity to be part of a nation they have christened ‘Asgardia’. The are over 11,000 applications from India alone with more than 5,000 from metros like Mumbai, Bengaluru, Delhi, Hyderabad and Kolkata till date. People from China have sent the most applications, followed by the US and Turkey.
Registration on the Asgardia website (asgardia.space), founded by the self-proclaimed Father of Asgardia—Igor Ashurbeyli who is also a businessman, scientist and founder of the Aerospace International Research Center in Vienna, will make you a part of the Asgardia community. However, Asgardia is not offering official citizenship because it is yet to be officially recognized as a nation. Once you are a citizen, you will get a passport like in any country.
Meanwhile, there are those who dare to aspire to fly to, and later even live on, Mars. For instance, the first round of the Mars One Astronaut selection programme, launched in 2013, received interest from 202,586 people from around the world wanting to be among the first human settlers on Mars. About 10% applications were from India. Mars One is currently preparing for Round Three and Four. 
Since Mars One’s launch in 2011, about $1 million has been raised, mainly through donations, sales of merchandise, private investments, astronaut applications, sponsorships & partnerships, and speaking engagements. 
In 2023, one team will make it as the first humans to ever to land on Mars and live there for the rest of their lives. It’s a one-way ticket, at least for now, given that this team can get stuck, or even die, on the red planet. This, even as these humans will face major issues such as space radiation, dust storms, lower gravity pull that can weaken their bones, likely infection from unknown microbes, and the effect of loneliness on the mind.
The human body is not made for Mars, which lacks an atmosphere to begin with. The gases in human cells could heat up and render us apart. That’s if the cosmic rays do not kill us with cancer by then since human beings won’t have much of a magnetic field to shield them from the rays.
To be sure, scientists are also building faster and stronger spacecraft and working on space suits that will be less cumbersome to walk in and can carry enough air pressure (one-third, typically) to prevent human beings from expanding and dying in space. Food, too, is being preserved in labs for years, and it remains edible and tasty. 
The fact is that much can change by 2023; so, one can only watch this space for further developments."
49,2018-04-10,PowerGrid,"Power Grid Corp has nothing to worry about in the immediate future but more clarity is required on long term prospects and how the earnings growth momentum will pan out

Power Grid Corp. of India Ltd, seen as the best utility stock till some time back, is getting the cold shoulder from investors. After delivering strong returns in fiscal year 2017 (FY17), the stock trailed the benchmark Sensex by a notable margin in FY18. 
Power Grid Corp. of India Ltd, seen as the best utility stock till some time back, is getting the cold shoulder from investors. After delivering strong returns in fiscal year 2017 (FY17), the stock trailed the benchmark Sensex by a notable margin in FY18.
What gives? 
The primary concern is the pace of asset addition, especially in the context of slowing investments in the interstate transmission sector where Power Grid has a strong foothold.
Validating investor concerns is a sharp slowdown in ordering activity by the company. Elara Securities (India) Pvt. Ltd and Motilal Oswal Securities Ltd estimate the contract awards to have declined 67-68% in FY18 to the lowest level in the recent past (see chart). The ordering activity indicates the capex (capital expenditure) movement and likely pace of capacity additions in the future.
To recap, Power Grid earns a regulated return on equity (fixed by the regulator) on its commissioned projects, making asset addition crucial for earnings growth. Over the five years to FY17, the company capitalized Rs1.17 trillion and profits on an average expanded by 18%.
To be sure, Power Grid still has sizeable projects pending execution which should help maintain the earnings growth momentum for at least three years, points out Motilal Oswal Securities. However, the Street is looking beyond them.
With generation capex not happening in a big way (a major driver for transmission capex) and majority of the planned capex for interstate transmission infrastructure already incurred, analysts fear transmission capex may take a back seat, crimping opportunities for Power Grid.
The management tried to allay investor concerns by referring to opportunities in intra-state projects. But conviction among investors remains low. Poor financial discipline and lack of precedence about how states want to go about such investments is not helping.
Still, as studies by Motilal Oswal point out, even matured networks in developed countries need investments. India with increasing energy usage and changing energy mix can be no exception. “Experience from China and the US suggests that the transmission infrastructure continues increasing in tandem with generation (demand) growth. Renewable generation capacities, flexibility and redundancy requirements also aid transmission investment,"" Motilal Oswal Securities said in a note.
But what is uncertain is the timeline. “In our view, the situation (slowdown in transmission orders) is likely to remain the same, at least over the next few years, until demand catches up with the capacity being added,"" added Motilal Oswal Securities. 
Overall, while Power Grid has nothing to worry about in the immediate future, more clarity is required on long-term prospects and how the earnings growth momentum will pan out. This is weighing on the stock."
48,2018-04-25,PowerGrid,"Group CEO Pratik Agarwal says Sterlite Power expects to invest $4 billion in new projects by FY22

Mumbai: Sterlite Power, which sponsors the India Grid (IndiGrid) infrastructure investment trust, aims to grow the latter’s assets under management to Rs30,000 crore by FY22. With five operating power transmission assets from Sterlite and a scheduled 46% stake purchase in Patran Transmission Co Ltd, the trust’s AUM will be roughly Rs6,000 crore by the end of this quarter. 
Mumbai: Sterlite Power, which sponsors the India Grid (IndiGrid) infrastructure investment trust, aims to grow the latter’s assets under management to Rs30,000 crore by FY22. With five operating power transmission assets from Sterlite and a scheduled 46% stake purchase in Patran Transmission Co Ltd, the trust’s AUM will be roughly Rs6,000 crore by the end of this quarter.
“We are one full year ahead in assets under management that we had forecast in our IPO,"" Pratik Agarwal, CEO of IndiGrid and group CEO, Sterlite Power, told Mint. “When we integrate all of Sterlite Power’s existing assets into IndiGrid, the AUM will touch Rs20,000 crore. The remaining Rs10,000 crore of our target will either come from the sponsor or IndiGrid will acquire it independently.""
In FY19, the already commissioned East-North Interconnection Ltd (with 5-year revenue average of Rs142 crore) and the Northern Region Strengthening Scheme 29 (annual revenue average of Rs503 crore) are scheduled to be added to IndiGrid’s portfolio. 
“In FY19, we’re looking to deliver Rs12 per unit as dividend,"" Agarwal said. The figure for 10 months ended FY18 was Rs9.56.
For Q4 FY18, IndiGrid reported Ebitda of Rs132.6 crore. For 10 months ended 31 March 2018, consolidated revenue stood at Rs447.6 crore and Ebitda at Rs415.5 crore.
Sterlite Power has five projects involving investment of about $4 billion at various stages of completion. 
Agarwal said the company expects to invest another $4 billion in new projects by FY22.
“Power consumption is seeing annual demand growth of 8%. Sterlite has transmission assets in India and Brazil, the two largest markets in the world,"" Agarwal said. “We’re also evaluating projects in Argentina, Mexico, Chile and even the UK, particularly as many of these countries build new generation plants in renewable energy."""
