,Date,Company,Article
80,,Reddy,
79,2018-01-17,Reddy,"Dr Reddy's Laboratories has recalled a single lot of Docetaxel injection vials, used for treatment of breast cancer, on account of defective container

New Delhi: Pharmaceuticals major Dr Reddy’s Laboratories has recalled a single lot of Docetaxel injection vials, used for treatment of breast cancer, USFDA has said.  
New Delhi: Pharmaceuticals major Dr Reddy’s Laboratories has recalled a single lot of Docetaxel injection vials, used for treatment of breast cancer, USFDA has said. 
As per the US health regulator’s enforcement report for the week of 17 January, a single lot of 1,051 vials of Docetaxel injection USP, 20 mg/mL was distributed in the US, Uzbekistan and Myanmar. 
The company has recalled the drug on account of defective container, the report said. 
“Product complaints received of defect in the seal of the Docetaxel injection vials that the aluminium seal and/or stopper is removed when the cap is flipped off,"" it said. 
The vials were manufactured by Dr Reddy’s Laboratories at its Visakhapatnam facility, the United States Food and Drug Administration has said. 
The voluntary ongoing recall is a class II recall, the regulator said. As per the USFDA, a class II recall is initiated in a situation, “in which use of, or exposure to, a violative product may cause temporary or medically reversible adverse health consequences or where the probability of serious adverse health consequences is remote"". Shares of the company were trading 1.23% higher at  ₹ 2,492.05."
78,2018-01-25,Reddy,"Dr Reddy's  Labs net profit falls 38.5% to Rs303 crore in the third quarter ended 31 December 2017, below an average analyst estimate of Rs340 crore

Bengaluru: Indian generic drugmaker Dr Reddy’s Laboratories Ltd said its quarterly net profit slumped nearly 40%, its third consecutive quarter of declines as pricing pressures in the US hit sales. 
Bengaluru: Indian generic drugmaker Dr Reddy’s Laboratories Ltd said its quarterly net profit slumped nearly 40%, its third consecutive quarter of declines as pricing pressures in the US hit sales.
Indian drugmakers have faced challenges in negotiating prices as a result of consolidation among drug distributors in the US, the world’s biggest pharmaceuticals market. Like many of its domestic rivals, Dr. Reddy’s has also been hit by US bans on Indian plants over quality control issues.
Net profit fell 38.5% to Rs303 crore in the third quarter ended 31 December 2017, below an average analyst estimate of Rs340 crore.
Revenue from the company’s generics business in North America fell 3% to Rs1607 crore. Revenue from its Europe generics business dropped 7% to Rs201 core due to pricing pressures and temporary disruptions in supply.
Dr. Reddy’s shares fell as much as 3.5% to Rs2,469 on BSE."
77,2018-01-26,Reddy,"While the business environment is still evolving, the December quarter results for now show that recovery is still a work in progress for Dr Reddy's Laboratories

Given the pricing pressure in the core US market and with few opportunities for drugs with limited competition that provide revenue upside, nobody was pencilling in a revival in pharma company earnings in the December quarter. 
Given the pricing pressure in the core US market and with few opportunities for drugs with limited competition that provide revenue upside, nobody was pencilling in a revival in pharma company earnings in the December quarter.
Expectations are muted and are centred on company-specific themes such as continuation of the recovery in emerging markets and cost rationalization measures in Dr Reddy’s Laboratories Ltd’s case. But as it turns out, the company tripped on both these counts in the December quarter.
The drop in generic product revenues from North America, emerging markets and Europe was in the range of 1-7%. On a sequential basis North America did well, clocking a 12% growth in generic revenues. But that brought no cheer as Europe and India underperformed. Also, the company which had promised cost rationalization against the backdrop of pressure on revenues saw its selling, general and administrative (SG&A) expenses rise 6% from the year-ago quarter. Contrary to the commentary and earlier quarterly trends, SG&A expenses as a percentage of revenues rose—both sequentially and from a year ago.
Still, even then the company managed to report an improvement in gross margin, which widened three percentage points compared to the previous quarter. But as can be seen by the 2% fall in Dr Reddy Laboratories’ share price on Thursday, that didn’t inspire much confidence among investors. Two analysts with different broking firms pointed out that margins were propped up by non-recurring revenue of Rs130 crore, received as part of milestone compensation. Excluding these revenues, the sequential margin improvement doesn’t look that large, say the analysts.
Overall, even as the company reported a respectable 3% growth in revenue and lower-than-expected drop in operating profit, one-off revenues and underperformance in emerging markets made investors wary of the December-quarter results.
The key for Dr Reddy’s Laboratories, as with most pharmaceutical companies, is to obtain approvals for limited competition drugs."
76,2018-02-08,Reddy,"Dr Reddy's has initiated voluntary recall of over 80,000 bottles of its drug Atorvastatin Calcium Tablets 10mg, 20mg and 40mg from the US market due to quality concerns

Hyderabad: Dr Reddy’s Laboratories has initiated voluntary recall of over 80,000 bottles of its drug Atorvastatin Calcium Tablets 10mg, 20mg and 40mg from the US market due to quality concerns. 
Hyderabad: Dr Reddy’s Laboratories has initiated voluntary recall of over 80,000 bottles of its drug Atorvastatin Calcium Tablets 10mg, 20mg and 40mg from the US market due to quality concerns.
Atorvastatin is a drug that blocks the production of cholesterol and reduces its level in the blood.
According to a notification issued by the US Food and Drug Administration (USFDA), multiple lots of Atorvastatin 10 mg, 90 count and 500 count bottles; 20 mg, 90 count and 500 count bottles and 40 mg, 90 count bottles, are being withdrawn from the market. 
Dr Reddy’s officials were not immediately available for comment.
 The product is being recalled through three separate letters to the drug regulator.
According to the USFDA, the reason for the recall was, “Failed Impurities/Degradations specifications; out-of-specification results observed for Total Degradation Impurities during stability.""
The product was manufactured at the drug maker’s Srikakulam plant in Andhra Pradesh. The drug is being recalled under “not yet classified"" category which, according to the FDA, means that a firm’s action meets the definition of a recall, however, the FDA has not completed its assessment of the hazard posed by the recalled product(s) yet, and is considered a pending classification.
“Once FDA completes the hazard assessment, the Enforcement Report entry will be updated with the recall classification (Class I, II or III) indicating the hazard posed by the recalled product(s),"" said FDA.
Meanwhile, Glenmark Pharmaceuticals in a separate letter also initiated voluntary recall of 5,136 tunes of its Mometasone Furoate Cream, USP, 0.1% 45gm from the US market due to violations of the CGMP (current good manufacturing practice) regulations set up by the USFDA.
Mometasone Furoate Cream is used to treat skin conditions such as eczema, psoriasis, allergies, and rash."
75,2018-02-19,Reddy,"Dr Reddy's Laboratories said its chairman Satish Reddy, COO Abhijit Mukherjee and US subsidiary have been included as defendants in the class action lawsuit

New Delhi: Dr Reddy’s Laboratories on Monday said its chairman Satish Reddy, chief operating officer (COO) Abhijit Mukherjee and US subsidiary have been included as defendants in the class action lawsuit filed against it by investors.  
New Delhi: Dr Reddy’s Laboratories on Monday said its chairman Satish Reddy, chief operating officer (COO) Abhijit Mukherjee and US subsidiary have been included as defendants in the class action lawsuit filed against it by investors. 
Last year in August, the company had said “a law firm representing a purported investor in the company filed a purported class action lawsuit against the company, its CEO and CFO in the US District Court for the District of New Jersey alleging violation of the US federal securities laws."" Later on in November, the company said it was served a securities class action lawsuit in the US by the lead plaintiff. 
“We would like to inform you that an amended complaint has been filed by the lead plaintiff, wherein our Chairman, COO and Dr Reddy’s Laboratories Inc, a wholly-owned subsidiary in the US have been added as defendants,"" Dr Reddy’s Labs said in a BSE filing. 
As intimated earlier, the company believes that the asserted claims are without merit and intends to vigorously defend itself against the allegations, it added. The lawsuit filed at the District Court for New Jersey seeks damages to compensate the class of investors for a ‘purported decline’ in the company’s share price allegedly caused by the misstatements or omissions. 
The company had stated that the lawsuit represented a class of investors who purchased or otherwise acquired the company’s publicly traded shares on the New York Stock Exchange between 17 June 2015 through 10 August 2017. The lawsuit alleged that the company made materially false and/or misleading statements or omissions in connection with its corporate quality system, it had added. 
The allegation is specifically in connection with a warning letter from the USFDA dated 6 November, 2015 and a letter from Regierung von Oberbayern in Germany, dated 10 August, 2017, Dr Reddy’s had said. Shares of Dr Reddy’s Laboratories were trading at Rs2,199.50 a piece in the afternoon trade, down 0.60% from the previous close on BSE."
74,2018-03-16,Reddy,"Dr. Reddy's Laboratories launches in the US market levocetirizine dihydrochloride tablets, used for relieving allergies

New Delhi: Drug firm Dr. Reddy’s Laboratories Ltd said it has launched in the US market levocetirizine dihydrochloride tablets, used for relieving allergies. 
New Delhi: Drug firm Dr. Reddy’s Laboratories Ltd said it has launched in the US market levocetirizine dihydrochloride tablets, used for relieving allergies.
In a BSE filing, the company said it had “launched levocetirizine dihydrochloride tablets USP, 5 mg, an over-the-counter therapeutic equivalent generic version of UCB’s Xyzal allergy tablets, in the US market as approved by the US Food and Drug Administration (USFDA).""
Levocetirizine dihydrochloride tablets are used for 24-hour relief of allergy symptoms such as watery eyes, runny nose, itching eyes/nose and sneezing.
According IRI sales data, Xyzal allergy tablets had sales of about $71 million in the US market for the 12-month period ended January 2018.
At 1.17pm, Dr. Reddy’s Labs shares were trading at Rs2,160.90 on the BSE, down 1.02%, while the Sensex fell 0.89% to 33,385.84."
73,2018-03-29,Reddy,"In a career spanning over 25 years, Erez Israeli has held leadership positions that have contributed significantly to the performance of companies he worked for, Dr. Reddy's said in a statement

Hyderabad:Dr. Reddy’s Laboratories Ltd on Thursday announced the appointment of Erez Israeli, former president and CEO of Enzymotec, as the chief operating officer (COO), succeeding Abhijit Mukherjee, who will retire on 31 March after a 15-year career with the company.  
Hyderabad:Dr. Reddy’s Laboratories Ltd on Thursday announced the appointment of Erez Israeli, former president and CEO of Enzymotec, as the chief operating officer (COO), succeeding Abhijit Mukherjee, who will retire on 31 March after a 15-year career with the company. 
Israeli will join Dr. Reddy’s on 2 April as COO and global head of generics & PSAI, based out of Hyderabad. 
He will report to Dr. Reddy’s co-chairman & CEO, G.V. Prasad, a company statement said. 
In a career spanning over 25 years, Israeli has held leadership positions that have contributed significantly to the performance of companies he worked for, the statement said. 
Prior to Enzymotec, he completed 23 years with Teva Pharmaceuticals Limited, where he held several positions of responsibility including vice-president-marketing & sales for North America, vice-president Asia operations, president Teva API, group executive vice president, head of global quality, and president & CEO growth markets, it said."
72,2018-05-22,Reddy,"Consolidated revenue of Dr Reddy's stood at Rs3,534.9 crore in Q4 as compared to Rs3,554.2 crore for the same period a year ago

New Delhi: Pharma firm Dr Reddy’s Laboratories Ltd on Tuesday reported a 3.29% fall in its consolidated net profit to Rs302.2 crore for the March quarter, or Q4, mainly on account of continuing headwinds in the US. The company had posted a net profit of Rs312.5 crore for the corresponding period of the previous fiscal. 
New Delhi: Pharma firm Dr Reddy’s Laboratories Ltd on Tuesday reported a 3.29% fall in its consolidated net profit to Rs302.2 crore for the March quarter, or Q4, mainly on account of continuing headwinds in the US. The company had posted a net profit of Rs312.5 crore for the corresponding period of the previous fiscal.
Consolidated revenue of the company stood at Rs3,534.9 crore in Q4 as compared to Rs3,554.2 crore for the same period a year ago. For FY18, the company posted a net profit of Rs980.6 crore as against Rs1,203.9 crore for the year-ago period. Consolidated revenue of the company stood at Rs14,202.8 crore for the fiscal year ended 31 March 2018. It was Rs14,080.9 crore in 2016-17.
On Tuesday, Dr. Reddy’s Labs shares closed 6.30% higher at Rs2013.75 on BSE.
“We concluded a challenging year for Dr Reddy’s with a relatively muted fourth quarter performance,"" said Dr Reddy’s MD G.V. Prasad. This was mainly on account of continuing headwinds in the US market and a temporary drop in the sales in Russia, attributable to a shift in the channel purchasing pattern, he added.
In a separate filing, Dr Reddy’s said its board has recommended a final dividend of Rs20 per equity share of Rs5 face value for 2017-18. Shares of the company were trading at Rs1,927.90 per scrip on BSE, up 1.77% from its previous close."
71,2018-05-23,Reddy,"The US market continues to hold the key to an upward shift in Dr Reddy's performance in FY19, which can lead to an upgrade in the pharma firm's valuations

What explains the 6.3% spike in Dr Reddy’s Laboratories Ltd’s shares on Tuesday? The BSE Healthcare index rose 1.1% as many of its constituents gained. Some gained by as much as 2%. Even then, Dr Reddy’s shares outperformed. The reasons are not clear. 
What explains the 6.3% spike in Dr Reddy’s Laboratories Ltd’s shares on Tuesday? The BSE Healthcare index rose 1.1% as many of its constituents gained. Some gained by as much as 2%. Even then, Dr Reddy’s shares outperformed. The reasons are not clear.
Dr Reddy’s Q4 FY18 results did not contain anything that can explain the spike and the management commentary on issues such as big product launches or even updates on the regulatory compliance front did not bring any pleasant surprises. Maybe the markets were expecting worse numbers. Dr Reddy’s shares had fallen by 6% till Monday, over a week ago.
The US market continues to be a problem, with North America sales down by 10% sequentially, due to price erosion, competition in key products and lower sales of a key drug. The firm launched three products during the quarter.
Some key generic products in the pipeline could get launched later than expected, depending on regulatory clearances. In FY19, however, Dr Reddy’s did say it expects to launch about 15 products, of which some should be limited competition products (which earn better margins). That does raise the prospect of a boost to revenue in FY19.
On its plants that are under the regulatory scanner, the company said it will be able to request an inspection for its Duvvada plant in June, and in Srikakulam, it will report to the US Food and Drug Administration in the near future on activities completed, and await further communication.
In India, revenues rose by 16% over a year ago after adjusting for the goods and services tax-related accounting impact. In Europe, it suffered due to supply disruptions and price erosion, while its emerging market revenues also fell due to a temporary disruption in sales in Russia.
The net effect was that total revenue fell by 1.6% over a year ago, Ebitda (earnings before interest, tax, depreciation and amortization) fell by 4.6% and profit before tax fell by 6.7%. Profit after tax fell by 19% but mainly due to a charge related to changes in the US tax laws.
In FY19, its India business can be expected to do well, barring any new policy-related hiccups. After a 6% decline in revenues, could the US market bounce back is a question nobody has an answer to. If price erosion in the US market stabilizes at lower levels, then it could. That’s also assuming Dr Reddy’s pipeline delivers the promised launches in FY19, especially those with limited competition.
The US market continues to hold the key to an upward shift in Dr Reddy’s performance in FY19, which can lead to an upgrade in the company’s valuations. Positive developments on the US regulatory compliance front could also make a difference, but it’s unwise to speculate on that."
70,2018-06-15,Reddy,"Dr Reddy's said it would launch its generic version of Suboxone, a composition of buprenorphine and naloxone, at risk, with an approved REMS program

Bengaluru: Britain’s Indivior PLC fell by more than 20% on Friday after the US Food and Drug Administration (FDA) approved the first generic versions of Suboxone Film, an opioid addiction treatment that generates 80% of its revenue. Dr Reddy’s Laboratories received FDA approval for a copy-cat version of the treatment, which has been rapidly losing market share due to competition from generics. Mylan NV also received approval to market the substitute drug. 
Bengaluru: Britain’s Indivior PLC fell by more than 20% on Friday after the US Food and Drug Administration (FDA) approved the first generic versions of Suboxone Film, an opioid addiction treatment that generates 80% of its revenue. Dr Reddy’s Laboratories received FDA approval for a copy-cat version of the treatment, which has been rapidly losing market share due to competition from generics. Mylan NV also received approval to market the substitute drug.
Shares in Indivior, which was spun out from Reckitt Benckiser in 2014, were down 22.7% at 0925 GMT and the biggest loser on the FTSE midcap index.
Dr Reddy’s said it would launch its therapeutic equivalent of Suboxone, which is a composition of buprenorphine and naloxone, at risk, with an approved risk evaluation and mitigation strategy (REMS) program.
One analyst said the at-risk sudden launch was a surprise and could threaten Indivior’s 2018 guidance.
A spokesman for Indivior said the company was preparing to release a statement.
Indivior could seek an injunction to try to halt a launch of the generics or launch its own authorised generic, analysts at Jefferies said in a note.
“If Indivior was to prevail in any of its on-going legal challenges then Dr Reddy’s would be liable for damages,"" Jefferies said, estimating that Indivior’s 2018 earnings per share could be hit by as much as 50% if Dr. Reddy’s has sufficient inventory and launches by 1 July."
