,Date,Company,Article
917,,Reliance,
914,2018-01-01,Reliance,"L&T Hydrocarbon Engineering has secured a major EPC contract for CDU & VDU from HPCL, Visakhapatnam Refinery, and an extension to an ongoing contract for Reliance Industries

New Delhi: Infrastructure major Larsen & Toubro (L&T) on Monday said it has won a Rs2,100 crore contracts from Hindustan Petroleum Corporation Ltd (HPCL) and Reliance Industries. 
New Delhi: Infrastructure major Larsen & Toubro (L&T) on Monday said it has won a Rs2,100 crore contracts from Hindustan Petroleum Corporation Ltd (HPCL) and Reliance Industries.
L&T Hydrocarbon Engineering (LTHE), a wholly owned subsidiary of L&T, has secured a major engineering, procurement, construction (EPC) contract for crude distillation and vacuum distillation unit (CDU & VDU) from HPCL, Visakhapatnam Refinery, and an extension to an ongoing contract for Reliance Industries, Jamnagar, both adding to approx Rs2,100 crore, L&T said in a statement. 
The 9 MMTPA CDU & VDU project is a part of HPCL’s Visakh refinery modernisation project (VRMP) and involves engineering, procurement, construction and commissioning, it said. The order reinforces LTHE’s unique capability to deliver ‘design to build’ engineering and construction solutions across the hydrocarbon spectrum, it added. 
LTHE has been serving the onshore hydrocarbon sector since early 1990s. “The company’s track record includes successful completion of several challenging projects for domestic and international clients,"" the statement said. Larsen & Toubro is Indian multinational firm engaged in technology, engineering, construction, manufacturing and financial services with over $17 billion in revenue."
916,2018-01-01,Reliance,"In January the DoT is expected to sent notices to Tata Teleservices, Telenor, Videocon Telecom, Qaudrant (a Videocon Group firm) and Reliance Jio

New Delhi: The Department of Telecom (DoT) will issue notice to five telecom operators, including Tata Teleservices, Telenor and Reliance Jio, to recover Rs2,578 crore, in the wake of the CAG red-flagging understatement of revenues by the firms. 
New Delhi: The Department of Telecom (DoT) will issue notice to five telecom operators, including Tata Teleservices, Telenor and Reliance Jio, to recover Rs2,578 crore, in the wake of the CAG red-flagging understatement of revenues by the firms.
“The DoT will raise demand of Rs2,578 crore from the five telecom operators as was mentioned by the CAG in its report this month. The demand will be raised after reconciling the accounts,"" an official told PTI. 
As per the report of the Comptroller and Auditor General of India (CAG) tabled in Parliament on 19 December, Tata Teleservices, Telenor, Videocon Telecom, Qaudrant (a Videocon Group firm) and Reliance Jio have understated revenues by over Rs14,800 crore, resulting in a shortfall of nearly Rs2,578 crore to the exchequer. 
The CAG report said the government was paid Rs1,015.17 crore less in licence fee, Rs511.53 crore less in spectrum usage charge, and Rs1,052.13 crore less as interest applicable on delay in payment. 
The government collection from Tata Teleservices is short by Rs1,893.6 crore, Telenor - Rs603.75 crore, Videocon - Rs48.08 crore, Quadrant - Rs26.62 crore and Jio - Rs6.78 crore for licence fee, spectrum usage charge (SUC) and applicable interest charges. 
“The notices are expected to be sent to telecom operators in January,"" the official added. The CAG findings are based on the audit of Tata Teleservices and Tata Teleservices (Maharashtra) Ltd from 2010-11 to 2014-15; Quadrant Televentures (2006-07 to 2014- 15); Videocon Telecom (2009-10 to 2014-15); Telenor (2009-10 to 2014-15) and Reliance Jio Infocomm from 2012-13 to 2014-15. Videocon Telecom, Telenor (Telewings) and Tata Teleservices have sold their mobile businesses to Bharti Airtel, while Quadrant has shut down its mobile services. 
CAG observed that telecom operators deducted discounts offered to dealers and customers, free talktime, interest earned from investments and some asset sales from their gross revenue. As per the auditor, these should have been part of the adjusted gross revenue (revenue earned from telecom services) for calculation of licence fee and SUC. 
CAG said these expenses are in the nature of marketing spends and cannot be deducted from revenue meant for calculating the government’s share. The auditor found that Tata Teleservices had written off bad debt that resulted in understatement of its gross revenue by Rs1,026.01 crore. 
Unitech Wireless transferred its mobile business to Telenor’s Indian arm Telewing Communications at a profit of Rs251.5 crore in 2013-14, but this profit was not included for computing revenue share with government. 
Most of the deductions considered by the CAG for computing of revenue of telecom operators are sub-judice matters."
915,2018-01-01,Reliance,"Department of Telecom (DoT) will issue notice to five telecom operators, including Tata Teleservices, Telenor and Reliance Jio, to recover Rs2,578 crore

US and Asian equities end the year 2017 on a mixed note 
US and Asian equities end the year 2017 on a mixed note
US stocks closed lower Friday, the last trading day of the year, with no S&P 500 sectors ending higher.
Major markets in Asia closed narrowly mixed on the last trading day of the year. On the whole, however, most regional markets have recorded strong gains year-to-date.
PNB hikes interest rate on term deposits by up to 1.25%
Public sector Punjab National Bank has announced raising interest rates by up to 1.25% on domestic term deposits of up to Rs10 crore for different tenures, effective 1 January 2018.
Indian Oil looks to supply LPG to northeastern states via Bangladesh
State-owned Indian Oil Corp. Ltd is planning to adopt a new way of supplying cooking gas to the far-flung northeastern states by first exporting it to Bangladesh in a move that will drastically cut the refiner’s freight cost and help in integrating the energy markets in the two Asian nations, chairman Sanjiv Singh said.
Honda wary of electric tech, emission norms
India’s efforts to move to an all-electric fleet by 2030 and graduate vehicles to the stricter Bharat Stage VI (BS-VI) emission norms by 2020 have put Honda Motorcycles and Scooters India Pvt. Ltd in a spot of bother. It does not have the technology for electric two-wheelers, and the BS-VI norms will increase two-wheeler costs, leading to an overall decline in sales. Read more
Banks to refer 25 firms on RBI’s second list to NCLT
Lenders have decided to refer 25 of 28 companies on the Reserve Bank of India’s second list of large corporate defaulters to the National Company Law Tribunal (NCLT) for initiation of insolvency proceedings.
Shriram Transport Finance raises Rs400 crore by issuing bonds
Shriram Transport Finance Co. has raised Rs400 crore by issuing bonds on private placement basis.
DoT to issue notices to five telcos to recover Rs2,578 crore
The Department of Telecom (DoT) will issue notice to five telecom operators, including Tata Teleservices, Telenor and Reliance Jio, to recover Rs2,578 crore, in the wake of the CAG red-flagging understatement of revenues by the firms."
909,2018-01-02,Reliance,"Trai has asked Reliance Communications to keep all the unique porting codes that were expiring on 31 December valid until 31 January

New Delhi: Telecom Regulatory Authority of India (Trai) on Tuesday granted one more month to customers of Reliance Communications (RCom) to port out of the network of the company, which stopped its 2G services last month. 
New Delhi: Telecom Regulatory Authority of India (Trai) on Tuesday granted one more month to customers of Reliance Communications (RCom) to port out of the network of the company, which stopped its 2G services last month.
Issuing directions in this regard, Trai has asked Reliance Communications to keep all the unique porting codes that were expiring on 31 December valid until 31 January 2018. A unique porting code (UPC) is issued to mobile subscriber when they place request for mobile number portability to transfer their connection on some other network.
RCom will also have to issue public notice in newspapers regarding extension of the validity of such codes and options available to subscribers to port their mobile numbers to other service providers of their choice till 31 January. 
As per the Trai direction, the company will have to send text messages on the unique porting codes to those subscribers who have neither opted for the 4G data services of Reliance Communications nor able to port out, and also submit weekly compliance report through the month. 
Trai said it has “received large number of complaints from the subscribers of Reliance Communications regarding their inability to port out the mobile number due to non receipt of UPC by them"". 
Trai said that RCom had informed the regulator that the company plans to discontinue 2G GSM services in Andhra Pradesh, Haryana, Maharashtra, UP, Tamil Nadu, Karnataka and Kerala service areas, with effect from 1 December. 
The company had also stated that necessary intimation has been sent to all the subscribers to port out their mobile numbers to any other service provider in case they do not wish to continue with 4G data services of the company. 
It may be recalled that the Anil Ambani promoted Reliance Communications last week announced that Reliance Jio will take over its mobile business assets, including spectrum, tower, optical fibre network and other wireless assets. The transaction value is said to be in the range of Rs24,000-25,000 crore."
913,2018-01-02,Reliance,"Reliance Retail plans to sell these products through Reliance Digital stores

Mumbai: Reliance Retail, the retail arm of Reliance Industries Ltd (RIL), is planning to launch cameras, electronic wearables, dongles and tablets under the Reconnect brand, said two  people aware of the development.  
Mumbai: Reliance Retail, the retail arm of Reliance Industries Ltd (RIL), is planning to launch cameras, electronic wearables, dongles and tablets under the Reconnect brand, said two  people aware of the development. 
Reliance Retail plans to sell these products through Reliance Digital stores. 
The company already offers a range of electronic products including, computer mouse, mixers, blenders, television sets, speakers, etc. through Reliance Digital stores and online. 
“RIL already has the brand Reconnect in the market and the new products would be launched under the same brand. Tablets are in the pilot phase and are being tested with the employees. Other products are in the launch pipeline,"" said one of the two people aware of the development. He spoke on condition of anonymity.
RIL did not reply to an email sent on 29 December. 
RIL also sells smartphones and smart television sets under the Lyf brand and Jio phones under the Jio brand. The television sets are to work with Jio’s 4G network and content services. 
Last January, Reliance Retail started selling LYF phones through Reliance Digital and Digital Xpress stores and on mylyf.com—the phone’s official website. RIL has four variants of the Lyf phones, namely: Flame, Earth, Water and Wind and the company may launch more variants going forward. 
 According to a joint study by the industry chamber Assocham and NEC Technologies released in June 2017, India’s electronics market is projected to grow at a compound annual growth rate (CAGR) of 41% for three years to cross $400 billion by 2020.
In 2014-15, India’s share in the world in total electronics hardware production stood at 1.5% or $32.46 billion. 
The second RIL official spoken to said the firm is currently focusing on its latest offering, the Jio Phones, and after meeting demands for the same, other segments would be looked into. “As we go along and as technology evolves, changes will happen in our bouquet of offering. Currently, we have Jio Phones on our mind. Whatever 3G smartphones exist in the market, are upgrading to 4G. But there is a huge market out there which is still 2G feature phones and all those guys are yet to be connected to the world. Jio Phone would also boost our subscriber base,"" said the second RIL official on condition of anonymity.
RIL announced the launch of Jio phone, its feature phone in August. The phone can be bought at Rs1,500, which has a provision of being refunded after three years. It offers a larger screen, access to apps, 4G data and 4G VoLTE calls. Jio Phone users will have to pay Rs153 a month. A weekly plan of Rs54 and a two-day plan of Rs24 is on offer. 
The customer base of Reliance Jio has touched 160 million, Akash Ambani, had said at the RIL family day on 23 December."
912,2018-01-02,Reliance,"Shares surge on market anticipation that debt reduction exercise in RCom and RInfra may now spill over to other group companies

Mumbai: Anil Ambani-controlled Reliance Power Ltd and Reliance Naval and Engineering Ltd on Monday surged over 26% and 39%, respectively, after last week’s RCom and Reliance Infra’s asset sale announcements eased concerns among investors over debt repayment. 
Mumbai: Anil Ambani-controlled Reliance Power Ltd and Reliance Naval and Engineering Ltd on Monday surged over 26% and 39%, respectively, after last week’s RCom and Reliance Infra’s asset sale announcements eased concerns among investors over debt repayment.
Intraday, Reliance Power surged as much as 26.6%, its most since 2008, to hit a high of Rs63.60. It closed at Rs60.65 on BSE, up 20.7% from its previous close.
Reliance Naval and Engineering gained 39%, its biggest jump since listing in 2009, to hit a high of Rs68.55 a share intraday. The stock closed at Rs65.15 on BSE, up 32.3% from its previous close.
“Markets are anticipating that the debt reduction exercise in RCom and RInfra may now spill over to other group companies and the rally in these two stocks may get replicated in the other stocks as well. This has led to a rally in the other ADAG stocks though there has been limited fundamental change and more of speculation,"" said an analyst on condition of anonymity.
Last week, Reliance Jio Infocomm Ltd said it will buy a majority of the wireless assets of Reliance Communications Ltd. According to newspaper reports, the deal value is estimated to be Rs24,000 crore. Mintcould not ascertain the value of the transaction. 
Earlier, RCom announced a debt resolution plant in which the company aimed to reduce Rs39,000 crore debt out of a total of Rs45,000 crore. 
On 22 December, Reliance Infrastructure Ltd (RInfra) said it has signed a definitive binding agreement to sell its Mumbai power business to Adani Transmission Ltd for Rs18,800 crore. RInfra has said that it will use the proceeds to pay debt. The total debt as of September was at Rs19,074.95 crore. Reliance Naval has a debt of Rs8,418.67 crore while Reliance Power has a debt of Rs7,282.88 crore.
Reliance Group companies have sued HT Media Ltd, Mint’s publisher, and nine others in the Bombay high court over a 2 October 2014 front-page story that they have disputed. HT Media is contesting the case."
910,2018-01-03,Reliance,"RIL chairman Mukesh Ambani says the world's first ROGC and downstream plants marks a paradigm shift in the profitability and sustainability of RIL's petrochemicals business

Mumbai: Reliance Industries (RIL) on Tuesday commissioned its refinery off-gas cracker (ROGC) complex of 1.5 million tonnes per annum (mtpa) capacity along with downstream plants and utilities. This marks the end of the $16 billion refining and petrochemicals expansion plan that RIL embarked on in 2014.  
Mumbai: Reliance Industries (RIL) on Tuesday commissioned its refinery off-gas cracker (ROGC) complex of 1.5 million tonnes per annum (mtpa) capacity along with downstream plants and utilities. This marks the end of the $16 billion refining and petrochemicals expansion plan that RIL embarked on in 2014. 
“The world’s first ROGC and downstream plants marks a paradigm shift in the profitability and sustainability of RIL’s petrochemicals business,"" Mukesh Ambani, RIL’s chairman and managing director, said in a statement on Tuesday. 
Commissioning of the plant will help RIL double ethylene capacity and enter the league of top five petrochemical producers globally, in addition to lowering its fuel cost and boosting profits. There are nearly 270 ethylene plants globally with a combined capacity of over 170 mtpa. RIL’s combined ethylene capacity is now close to 4 mtpa at five of its manufacturing sites. 
The ROGC complex has a unique configuration as it uses off-gases from RIL’s two refineries at Jamnagar as feedstock. 
“This innovative approach of integration with refineries provides a sustainable cost advantage, making ROGC competitive with respect to the crackers in Middle-East and North America which have feedstock cost advantage,"" the company said.
ROGC is the latest addition to RIL’s existing cracker portfolio, consisting of cracker facilities at Nagothane in Maharashtra and Hazira, Dahej and Vadodara in Gujarat.
“With ROGC and imported ethane, RIL has one of the most competitive and flexible cracker portfolio,"" RIL said."
911,2018-01-03,Reliance,"Reliance Jio had complained to Trai that a majority of calls on its network were failing as Airtel, Vodafone and Idea, among others, were not providing sufficient points of interconnection (PoI)

New Delhi: The Telecom Regulatory Authority of India (Trai) has issued new guidelines that require telecom operators to sign an interconnection agreement on a non-discriminatory basis within 30 days of receipt of a network connectivity request from a rival service provider. 
New Delhi: The Telecom Regulatory Authority of India (Trai) has issued new guidelines that require telecom operators to sign an interconnection agreement on a non-discriminatory basis within 30 days of receipt of a network connectivity request from a rival service provider.
The new rules formulated by Trai also provide for a penalty of a maximum of Rs1 lakh a day per circle for operators that violate these rules. There are 22 telecom circles in the country and most top operators are now present in all of them.
The regulations, effective 1 February, assume significance since there were no clear guidelines on the time frame for entering into such network connectivity pacts.
In addition, the previous interconnect agreement rules did not provide for any penalties on defaulting operators.
Interconnection means the commercial and technical arrangements under which service providers connect their equipment, network and services for the benefit of customers across their networks.
Point of interconnect (PoI) is a mutually agreed point of demarcation where the exchange of traffic between the two operators takes place.
After it started commercial services in September 2016, Reliance Jio Infocomm Ltd, the telecom arm of Reliance Industries Ltd, complained to the regulator that a majority of calls on its network were failing as rival operators were not providing sufficient PoIs.
The other operators had then said the free voice calls offered by Reliance Jio had led to a “tsunami"" of traffic on their networks.
Trai had in May defended its earlier stand to recommend to the department of telecommunications the imposition of a cumulative fine of Rs3,050 crore on Bharti Airtel Ltd, Idea Cellular Ltd and Vodafone India Ltd for allegedly denying PoIs to Reliance Jio.
Trai had recommended this penalty as it believed that the three operators had violated the licence agreement which mandates that the licensee will be responsible for maintaining the quality of service and any violation is liable to be treated as breach of terms and conditions of the licence.
The department of telecommunications is currently meeting Bharti Airtel, Idea Cellular and Vodafone India to decide on this matter.
Trai does not have penal powers and can only recommend penalties for violation of regulations.
The new rules also outline a framework for provisioning and augmenting of interconnectivity ports, laying down a step-by-step process for provisioning of such ports.
“For a period of two years from the date of establishment of initial interconnection, the service provider, who made the request for entering into interconnection agreement, shall seek ports at PoI from the other service provider to meet the demand of incoming and outgoing traffic at the PoI,"" Trai said.
“At the end of two years from the date of establishment of initial interconnection or on 1 February, 2018, whichever is later, the total ports existing at a PoI shall be converted for carrying one way traffic in such a manner that the number of ports for sending the outgoing traffic of each service provider to the other service provider are in proportion to their outgoing traffics averaged over a period of preceding three months,"" Trai added."
908,2018-01-03,Reliance,"Reliance Industries is likely to see a big cash-flow boost as projects of over $40 billion start to deliver in full swing this fiscal while capex falls, says CLSA in a report

New Delhi: Reliance Industries Ltd () is likely to see a big cash-flow boost as projects of over $40 billion start to deliver in full swing this fiscal while capex falls, international brokerage house CLSA said on Wednesday. 
New Delhi: Reliance Industries Ltd () is likely to see a big cash-flow boost as projects of over $40 billion start to deliver in full swing this fiscal while capex falls, international brokerage house CLSA said on Wednesday.
In a report, CLSA said stabilisation of just-commissioned refinery off-gas cracker (ROGC) and petcoke gasification projects would boost EBITDA. The downstream expansions called J3 are likely to fully stabilise in early 2018 and should allow almost a full year of benefit to flow in FY2019.
Reliance, which completed its capital expenditure cycle, on Tuesday announced commissioning of the world’s largest refinery off-gas cracker complex at Jamnagar in Gujarat. ROGC will use refinery process residue to produce feedstock used to make petrochemicals. It is in advanced stage of commissioning petcoke gasification plant, which will convert coal and coke, the lowest-cost fossil fuels, into gas.
CLSA said monetisation of the two plants will boost the operating income of the company but full benefits will come only in the next financial year. “Although it has indicated potential annual benefit of $2-2.5 billion, we model a smaller amount of $1.8 billion from these two projects. Stabilization of these projects would give a big boost to oil and gas earnings over 12-15 months,"" it said.
Reliance’s telecom venture, Reliance Jio, has achieved a critical mass with a subscriber base of around 160 million. It has also cornered nearly 80% of the 4G smartphone base. The 4G smartphone base will expand as users replace their existing smartphones.
“We expect Jio to get to 100 million 4G feature phones by March 2019,"" CLSA said. It expects the company, which stormed the telecom world with its offer of free voice calls and cheap data, to monetize Reliance Jio’s customers by gradually increasing average revenue per user, ramping up 4G feature phones, launch of home broadband and start enterprise solutions.
On Wednesday, shares of Reliance Industries closed 0.54% up at Rs916.35 on BSE, while the Sensex ended 0.06% lower at 33,793.38 points."
