,Date,Company,Article
16,2018-01-12,Shree Cement,"Shree Cement  is expected to complete the acquisition of Union Cement  in nine months, subject to approval from UAE regulatory bodies

Kolkata: Shree Cement Ltd on Thursday said it had agreed to acquire a 92.83% stake in Union Cement Co. PSC, a United Arab Emirates-based firm, for an enterprise value of $305.24 million (Rs1,945 crore). 
Kolkata: Shree Cement Ltd on Thursday said it had agreed to acquire a 92.83% stake in Union Cement Co. PSC, a United Arab Emirates-based firm, for an enterprise value of $305.24 million (Rs1,945 crore).
Shree Cement has the option to take full control of the company’s shares, chief financial officer Subhash Jajoo said.
Union Cement, founded in 1972, has an annual production capacity of four million tonnes and operations in the Emirate of Ras Al-Khaimah. 
As its plant is located close to the Saqr port, the company exports to other countries in the Gulf region and East Africa, Shree Cement said in a regulatory filing. 
Half of the unit’s output is consumed locally and the other half exported.
This will be Shree Cement’s first venture outside India and its biggest acquisition ever. Locally, the company produces 29.3 million tonnes of cement a year. 
The transaction is expected to be concluded in nine months, subject to approval from UAE regulatory bodies. Jajoo said Union Cement, which produces 3.3 million tonnes of clinker—the key ingredient for cement—was available at a “competitive price"" of $75 per tonne of cement output. “Our competitors have acquired assets at higher prices of $110-120 per tonne,"" he added.
Shree Cement has a cash reserve of around Rs4,000 crore, according to Jajoo. 
But the company hasn’t decided if it will pay for the acquisition entirely from its own coffers, he added.
For the next fiscal year, Shree Cement has budgeted for capital expenditure of Rs2,500 crore, over and above the UAE acquisition, said Jajoo. Most of the amount will be ploughed into existing units in India. 
The company is looking to scale up its production capacity in India to 40 million tonnes within two years, he added.
Union Cement has a consistent track record, Shree Cement said in a statement. In 2016, it reported $153.4 million in revenue and an operating profit of $33.7 million, which translates into a high operating margin of 21.9%. 
In the nine months till the end of September, the company’s operating profit was at $25.97 million on revenue of $120.27 million.
Shree Cement’s shares rose 0.19% to Rs19,511 on BSE in a flat market. The announcement of the acquisition was made after stock markets had closed. On Thursday, Shree Cement reported a 41.5% increase in December quarter net profit from a year earlier thanks to an expansion in margins. Net profit for the quarter was Rs333.33 crore, compared with Rs235.43 crore a year earlier. Revenue was Rs2,383.53 crore, up 7% from a year earlier. 

***************************************************************************************************"
14,2018-01-15,Shree Cement,"Shree Cement has announced the acquisition a 92.83% stake in UAE-based Union Cement in a move aimed at boosting its cement capacity from 29.3 mtpa to 33.3 mtpa

The Shree Cement Ltd stock took a beating on Friday, correcting more than 3%. In the December quarter, the firm’s cement volumes grew moderately; realizations were weak and its power and fuel costs continued to surge. But these issues are not new and were already baked into Street expectations. So, what has weighed on the stock? It’s the cement maker’s first foreign acquisition. 
The Shree Cement Ltd stock took a beating on Friday, correcting more than 3%. In the December quarter, the firm’s cement volumes grew moderately; realizations were weak and its power and fuel costs continued to surge. But these issues are not new and were already baked into Street expectations. So, what has weighed on the stock? It’s the cement maker’s first foreign acquisition.
Shree Cement has announced the acquisition of a 92.83% stake in Union Cement Co. (UCC), a United Arab Emirates (UAE)-based firm. The move is aimed at boosting the former’s cement capacity from 29.3 million tonne per annum (mtpa) to 33.3 mtpa.
At an enterprise value (EV) of $305 million (around Rs1,940 crore), the implied EV on a per tonne basis works out to $76, which is nearly a 41% discount to replacement cost in India, analysts said.
While this makes the deal look lucrative, there are concerns that cannot be overlooked.
According to Kotak Institutional Equities, the history of Indian firms venturing into West Asia has not been very promising. “Ultratech acquired Star Cement for a consideration of $290 million in April 2010. In FY17, Star Cement had a revenue of Rs12 billion (Rs1,200 crore) with Ebitda of Rs2 billion and PAT of Rs718 million, with no significant growth in the past three years,"" it said in a report. 
Ebitda stands for earnings before interest, taxes, depreciation and amortization. PAT is profit after tax.
Others cautioned the UAE market is prone to price regulations and higher fuel cost, making it difficult to gauge the scope of improvement in margins for the acquired entity. The calculation of Edelweiss Securities Ltd shows UCC is likely to generate a low return on equity (RoE) of 6-7% at its current Ebitda margin of nearly 22%.
There is no risk of earnings per share, or RoE dilution, said the domestic broking house; but then, it doesn’t also see any great merit in the acquisition at current margins.
As the accompanying chart shows, most cement firm in UAE have similar Ebitda margins and a low RoE profile.
One may say the move is in line with the firm’s strategy of making acquisitions at lower costs and generating better return ratios. But how efficiently Shree Cement is able to meet its objective with this acquisition in a new geography is difficult to predict. “In our view, asset creation in India would have generated far higher returns for the amount invested and, hence, find it a sentimental negative in the immediate term,"" Edelweiss said.
UCC, which is currently a public joint stock firm listed on the Abu Dhabi Stock Exchange (ADX), will undertake the process of getting itself converted into a private joint stock company and delisting from ADX.
A slew of approvals are yet to be taken; hence, the transaction is expected to be completed in around nine months from now.
Meanwhile, the Shree Cement stock trades at a one-year forward price-to-earnings multiple of 35 times. It enjoys a premium over peers, given its ambitious target to become a pan-India firm by 2019 end and aims to surpass 40 mtpa cement capacity. The North-focused firm has been expanding domestically by adding capacities in other regions as well.
This means that to justify its rich valuations, domestic capacity additions have to be on schedule, and also this new acquisition has to prove lucrative. Without timely benefits of expansions reflecting in the company’s earnings, sustaining such high valuations will be tough."
15,2018-01-15,Shree Cement,"Shree Cement's shares on Friday fell Rs655.45, or 3.36%, to Rs18,856.50 on the BSE in a flat market, as analysts were worried about the management's ability to deal with local regulations

Kolkata: Investors and analysts are not impressed with Shree Cement Ltd’s plans to acquire a 4-million tonne cement plant in the United Arab Emirates for an enterprise value of $305 million, or Rs1,945 crore at current exchange rates. 
Kolkata: Investors and analysts are not impressed with Shree Cement Ltd’s plans to acquire a 4-million tonne cement plant in the United Arab Emirates for an enterprise value of $305 million, or Rs1,945 crore at current exchange rates.
A day after it announced the deal, Shree Cement’s shares on Friday fell Rs655.45, or 3.36%, to Rs18,856.50 on the BSE in a flat market, as analysts were worried about the management’s ability to deal with local regulations. Though the price to be paid by Shree Cement to acquire Union Cement Co. PSC—$76 per tonne—appears to have been “below replacement cost"", Indian companies have not had much success venturing into West Asia, said Kotak Institutional Equities Research.
Citing the example of Star Cement, which was taken over by UltraTech Cement Ltd in 2010, Kotak’s research report said the Abu Dhabi-based Star Cement has not had any “significant growth"" in the past three years.
Motilal Oswal Securities Ltd said in its report that though the acquisition is in line with Shree Cement’s strategy of adding production capacity at low cost, the management’s “execution capabilities"" in a new market are “yet to be tested"".
IDBI Capital Markets and Securities Ltd in its report said though it is being assumed the return on capital employed from the acquisition is going to be more than 10%, the UAE market “is prone to price regulations and higher fuel costs"".
Subhash Jajoo, chief financial officer of Shree Cement, said Star Cement under Ultratech hasn’t done too well because the local economy in West Asia went into a downturn after 2010. It continued until recently, but now the economy in West Asia is showing signs of recovery, according to Jajoo.
Oil prices have firmed up over the past 7-8 months, and if the current level is sustained, the economy in West Asia is in for a boom, he said, adding that several broking firms see Shree Cement’s acquisition as a “positive development"".
While announcing the acquisition on Thursday, Jajoo had said the price was attractive. Competitors had acquired units at much higher prices, paying even $110-120 per tonne. In addition, the Ras Al-Khaimah based Union Cement has access to a wide market in the Gulf region and in East Africa, its factory being located close to the Saqr port.
Besides producing 4 million tonnes of cement a year, the company produces 3.3 million tonnes of clinker, the key ingredient of cement. In 2016, Union Cement reported an operating profit of $33.7 million on a revenue of $153.4 million, which translates into an operating profit margin of 21.9%.
In India, Shree Cement produces 29.3 million tonnes a year, and is looking to scale up its production capacity to 40 million tonnes within two years. The company has a cash reserve of Rs4,000 crore, according to its chief financial officer."
13,2018-04-28,Shree Cement,"Shree Cement reports an increase of 31.10% in its standalone profit to Rs399.24 crore for the fourth quarter ended 31 March as against Rs304.51crore in a year ago

 New Delhi: Shree Cement on Saturday reported an increase of 31.10% in its standalone net profit to Rs399.24 crore for the fourth quarter ended 31 March 2018. 
 New Delhi: Shree Cement on Saturday reported an increase of 31.10% in its standalone net profit to Rs399.24 crore for the fourth quarter ended 31 March 2018.
The company had reported a net profit of Rs304.51 crore in January-March quarter a year ago, Shree Cement said in a BSE filing.
Its total income was up 2.67% to Rs2,915.93 crore during the quarter under review as against Rs2,839.92 crore in the corresponding quarter last fiscal.
Shree Cement’s total expenses in Q4 FY 2017-18 were down 2.44% to Rs2,458.32 crore compared to Rs2,520.04 crore in the corresponding quarter.
For the financial year 2017-18, Shree Cement’s net profit was at Rs1,384.18 crore, up 3.36% from Rs1,339.11 crore in FY 2016-17. Its total income rose by 5.23% to Rs10,548.58 crore in FY 2017-18 as against Rs10,023.43 crore in the previous fiscal."
12,2018-04-30,Shree Cement,"Any ban on the use of pet coke is sure to hurt Shree Cement. This uncertainty is a looming threat for earnings, and consequently, valuations

Considering that the cement industry is battling multiple challenges of rising freight, fuel and power costs, the Bangur-owned Shree Cement Ltd put up a decent show in the March quarter. 
Considering that the cement industry is battling multiple challenges of rising freight, fuel and power costs, the Bangur-owned Shree Cement Ltd put up a decent show in the March quarter.
Investors, too, had subdued expectations. Hence, the 6% increase in cement sold and 9% increase in average realization when compared to the year-ago period is good news. It mirrors an uptick in demand in the northern and central regions that are strongholds of Shree Cement. 
Of course, one must take into account the low base that prevailed in the year-ago period, as the country was still reeling under the effect of the note ban. Further, a part of the increase in sales volume may have come from the Shree Cement’s aggressive increase in production capacity too. 
In any case, the 15% year-on-year (y-o-y) jump in net revenue to Rs2,811 crore beat Bloomberg’s average estimate. The cement segment drove up revenue, while the power segment that is less material to performance posted a revenue contraction. 
But the problem of rising costs is not yet behind Shree Cement. With a near 100% dependence on petcoke for its fuel, rising petcoke prices are weighing on profit margins. 
Fuel and power cost rose by 34%, while freight costs were up by 27% y-o-y, mainly due to higher diesel prices and overloading restrictions in some states. This was sufficient to dampen operating margin, which though was a tad higher than the year-ago level. Operating profit, although in line with the forecast, grew by 11.5%, lower than the revenue growth. 
But that’s not to say that Shree Cement’s premium valuations will ebb. The company is still among the lowest-cost producers of cement in the country with the best return ratios too. A report by Motilal Oswal Securities Ltd says that the brokerage expects a 29% compounded annual growth rate in operating profit led by healthy growth in sales volume and a steady uptrend in cement prices from here on. 
Brokerages are betting on higher government spend on infrastructure such as roads and recovery in the housing sector, both of which add up to be the largest consumers of cement. 
The dampener is the uncertainty around supply and price of petcoke, prices of which scaled new highs in the last few months. Meanwhile, any ban on the use of petcoke (to curb pollution) is sure to hurt Shree Cement. This uncertainty is a looming threat for earnings and consequently valuations."
11,2018-06-12,Shree Cement,"Shree Cement has budgeted for a capex of 3,500 crore in 2018-19, which includes 2,000 crore to be spent to conclude the acquisition of Union Cement

Kolkata: Shree Cement Ltd, one of India’s top three cement makers, has budgeted for a capital expenditure of  ₹ 3,500 crore in the current financial year, which includes  ₹ 2,000 crore to be spent to conclude the acquisition of a United Arab Emirates-based (UAE) firm. 
Kolkata: Shree Cement Ltd, one of India’s top three cement makers, has budgeted for a capital expenditure of  ₹ 3,500 crore in the current financial year, which includes  ₹ 2,000 crore to be spent to conclude the acquisition of a United Arab Emirates-based (UAE) firm.
The Kolkata-based company is looking to close the acquisition of Union Cement Co. PSC by July, a few months ahead of plans, according to Subhash Jajoo, Shree Cement’s chief financial officer. 
The Ras al-Khaimah-based company has concluded a buyback programme and is to be taken private.
The fully diluted cost of acquiring the overseas firm is expected to be around  ₹ 2,000 crore. But that wouldn’t hobble Shree Cement’s plans to scale up production capacity within India: the company will spend at least  ₹ 1,500 crore in the current financial year to acquire land and set up grinding units in Odisha, Jharkhand, Maharashtra and West Bengal, according to Jajoo.
An investment of  ₹ 1,300-1,400 crore has been budgeted to set up the grinding units in these states, which will ramp up Shree Cement’s production capacity by 7-8 million tonnes (mt) from 34.9 mt currently. 
These new facilities are expected to be commissioned in fiscal year 2020, said Jajoo.
In the current year, Shree Cement expects to commission its integrated cement plant in Gulbarga in Karnataka with a production capacity of 3 mt in October. The investment is  ₹ 1,800-1,900 crore to set up the unit, of which it borrowed  ₹ 1,600 crore. Shree Cement is currently indebted to the tune of  ₹ 2,200 crore.
Emkay Global Financial Services Ltd had in a recent report said that Shree Cement’s efficiency in managing costs, lower capital cost for expansion and plans for scaling up operations without leveraging its balance sheet are reasons for its being ahead of competition. 
The report also notes, however, that in the near term, the lack of pricing power remains a concern for the entire industry.
The management of Shree Cement, led by managing director H.M. Bangur, has historically avoided taking over existing capacity because it is of the view that it can set up plants ground up at a much lower cost.
But in January this year, it agreed to acquire the Ras al-Khaimah-based firm for an enterprise value of $305.24 million because it was available at a “competitive"" valuation of $75 per tonne of output, according to Jajoo. Union Cement produces 3.3 mt of clinker and 4 mt of cement.
Under the local securities market laws of Abu Dhabi, Union Cement had to be taken private by buying back shares from minority shareholder, Jajoo said. Whereas at the time of concluding the agreement to buy the unit, the controlling stakeholder’s ownership was 92.83%, it has now gone up 95-96% because of the buyback, Jajoo said.
The company had some 800-900 minority shareholders, who were offered 2.1 UAE dirhams per share for cashing out. The buyback price was significantly higher than the highest trading price of 1.85 UAE dirhams in the 12 months prior to the buyback, Jajoo said."
10,2018-11-14,Shree Cement,"Shree Digvijay Cement will be True North's third acquisition in the construction space after RDC Concrete and Robo Silicon

Mumbai: Homegrown private equity fund True North on Tuesday said it will acquire a 75% stake in Shree Digvijay Cement Co. Ltd from Brazil-based Votorantim Cimentos, one of the largest global cement producers in terms of annual installed capacity. True North has made an open offer to acquire a 25.1% stake held by public shareholders for  ₹ 23.33 apiece, aggregating to  ₹ 83 crore, according to a stock exchange filing by Shree Digvijay Cement. 
Mumbai: Homegrown private equity fund True North on Tuesday said it will acquire a 75% stake in Shree Digvijay Cement Co. Ltd from Brazil-based Votorantim Cimentos, one of the largest global cement producers in terms of annual installed capacity. True North has made an open offer to acquire a 25.1% stake held by public shareholders for  ₹ 23.33 apiece, aggregating to  ₹ 83 crore, according to a stock exchange filing by Shree Digvijay Cement."
9,2018-11-19,Shree Cement,"Although Shree Cement continues to trade at a premium to ACC Ltd, Ambuja Cements and UltraTech Cement, the company's performance is expected to remain challenging

Shree Cement Ltd’s September quarter (Q2) result was a mixed bag. 
Shree Cement Ltd’s September quarter (Q2) result was a mixed bag.
Cement sales volume grew 16% on a year-on-year basis aided by capacity expansions. Realization growth was muted, and operating margins contracted due to higher raw material and fuel prices.
Profit was dented by an exceptional loss of  ₹ 180 crore from investments in preference shares of Infrastructure Leasing and Financial Services Ltd (IL&FS). The company also incurred forex losses.
Shree Cement also announced the setting up two greenfield projects in eastern India, which are expected to be operational by 2019-20. These projects include a 3 million tonnes per annum (mtpa) grinding unit in Cuttack and a 2.5 mtpa unit in Jharkhand.
Although the Shree Cement stock continues to trade at a premium to other large-cap cement producers such as ACC Ltd, Ambuja Cements Ltd and UltraTech Cement Ltd, the company’s performance is expected to remain challenging.
The trend of cement prices in its key markets including northern, central and eastern India remains volatile. In an environment of input cost inflation, the inability to take price hikes indicates further pressure on the margins of most cement producers, including Shree Cement.
The company’s decision to increase capacity comes at a time when there is already a situation of oversupply, and utilization levels are low, as demand growth is still not adequate. 
Some analysts are also wary that capital outlay of around  ₹ 900 crore required for these projects could strain the company’s balance sheet in the near term. 
Consequently, a slew of domestic brokerage firms including Edelweiss Securities Ltd, Reliance Securities Ltd and IDBI Capital Ltd have trimmed their target price on the Shree Cement stock. Some, such as Elara Securities (India) Ltd, have also cut the FY20 earnings estimates. 
As for the valuations, on a one-year forward price-to-earnings basis, the Shree Cement stock trades at a multiple of 35 times, which is expensive in the current scenario and needs to correct."
8,2018-12-14,Shree Cement,"Lack of clarity about growth plans of ACC and Ambuja Cements had investors worried, given competitors UltraTech Cement and Shree Cement had been aggressively adding capacities

After a hiatus of more than a year, pan-India cement producers ACC Ltd and Ambuja Cements Ltd are expanding capacities. ACC will be incurring a capital expenditure of  ₹ 3,000 crore to add 5.9 million tonnes per annum (mtpa) cement capacity and 3 mtpa clinker capacity in Uttar Pradesh and Jharkhand. The company’s existing cement capacity stands at 33.41 mtpa.  
After a hiatus of more than a year, pan-India cement producers ACC Ltd and Ambuja Cements Ltd are expanding capacities. ACC will be incurring a capital expenditure of  ₹ 3,000 crore to add 5.9 million tonnes per annum (mtpa) cement capacity and 3 mtpa clinker capacity in Uttar Pradesh and Jharkhand. The company’s existing cement capacity stands at 33.41 mtpa. 
In a separate filing to stock exchanges, Ambuja Cements said that it will invest  ₹ 2,350 crore for a series of capacity additions. These include a clinker unit, a cement grinding unit, and a captive power plant and waste heat recovery system. Following these expansions, its total cement capacity will increase to 31.5 mtpa.
Lack of clarity about growth plans had investors worried, given competitors UltraTech Cement Ltd and Shree Cement Ltd had been aggressively adding capacities.
That explains the Street’s positive reaction to the expansion plans of ACC and Ambuja Cements. The two stocks have gained 4.8% and 2.6%, respectively, since the capacity expansion news became public.
Although the timeline of commissioning of capacities is not known yet, the worry of capacity overhang is behind these stocks.
“Capacity constraint was a key concern for both ACC and Ambuja. With these expansions, that overhang will be over. Going by ACC’s free cash flow at current levels, from FY2018-2020, the company could generate  ₹ 4,000-4,500 crore. So, internal accruals should be sufficient to fund the capex of  ₹ 3,000 crore. Capital is not a constraint for both these companies,"" said Binod Modi, senior research analyst at Reliance Securities Ltd. 
Since these companies had been abstaining from expanding capacities despite being flush with cash, some investors were worried that their parent firm LafargeHolcim might use these funds for further restructuring, points out another analyst.
He said because there was no plan on how their capital would be deployed, it gave peers UltraTech and Shree Cement an edge over them. On the valuation front, ACC and Ambuja Cements are trading at a discount to their peers.
However, analysts now expect these stocks to rerate and valuations to improve. 
Meanwhile, from the industry’s perspective, these expansions would weigh on the demand-supply scenario, especially in central India. Overall cement demand is yet to catch up with the spree of capacity additions that have happened recently. And that has kept the sector’s utilization levels below 70%. Secondly, higher supply in absence of adequate demand growth, would delay the sector’s price recovery, which is already subdued."
7,2019-02-22,Shree Cement,"Ambuja Cements' sales volume grew 4.4% y-o-y in the Dec quarter, much lower than peers' 8-10% volume growthNew capacities are likely to be commissioned only by 2020-end, capping sharp improvement in volumes until then

Some cement producers are relying on volume growth to drive earnings. Some others are sincerely hoping that recent cement price hikes will sustain, and will aid realizations. But Ambuja Cements Ltd doesn’t belong to either of these camps.
In the wake of capacity constraints, Ambuja Cements’ sales volumes grew 4.4% in the December quarter compared to the year-ago period. This is much lower than other pan-India cement makers who saw 8-10% volume growth. To be sure, the company’s plan to add capacities in Rajasthan should address this concern. But new capacities are likely to be commissioned only by the end of 2020, capping sharp improvement in volumes until then.
Secondly, Ambuja Cements has no presence in South India, where cement prices have been recently raised. So, investors shouldn’t expect much on the realizations front as well. The company has a large presence in the northern and western parts of the country, and dealer channel checks indicate that prices had declined by 1-3% sequentially during the quarter in these geographies.
Cement prices are expected to remain subdued in the run-up to the general election. Consequently, analysts have cut realization growth estimates for 2019 from 4-5% to 1-1.5%. Ambuja Cements follows a January-December fiscal year.
In short, the outlook on volumes and realizations for the company is muted. So, increased focus on cost optimization is the only feasible alternative that could aid its operating performance in the near term.
As the chart above shows, Ambuja Cements’ cost per tonne has been on the rise. Even though competitors—including UltraTech Cement Ltd and Shree Cement Ltd—have seen a rise in energy and freight costs, they are better placed compared to Ambuja Cements on volumes growth. ACC Ltd has managed costs more efficiently than the above-mentioned peers.
No wonder then that the Ambuja Cements stock is the cheapest among large-cap cement companies. The stock trades at a one-year forward EV/Ebitda of 7.8 times. EV stands for enterprise value, and Ebitda is short for earnings before interest, tax, depreciation and amortization.
Not many analysts are bullish on this sector due to the prolonged absence of price recovery. Still, if one has to choose from blue-chip cement companies, then Ambuja seems to be the least preferred."
