,Date,Company,Article
1082,,State Bank,
1077,2018-01-02,State Bank,"The SBI collected a windfall of Rs1,771.67 crore, more than its second quarter profit, from customers for non-maintenance of monthly average balance in savings accounts in eight months of 2017-18

New Delhi: Country’s largest bank SBI netted a windfall of Rs1,771.67 crore, more than its second quarter profit, from customers for non-maintenance of monthly average balance in savings accounts in eight months of 2017-18, finance ministry data showed. 
New Delhi: Country’s largest bank SBI netted a windfall of Rs1,771.67 crore, more than its second quarter profit, from customers for non-maintenance of monthly average balance in savings accounts in eight months of 2017-18, finance ministry data showed.
State Bank of India has close to 40.5 crore savings account customers. The SBI, after a gap of six years, had reintroduced the monthly average balance (MAB) charges from 1 April 2017. After criticism by customers, it reduced those charges with effect from 1 October.
“On an average balance of Rs3,000 in metro, SBI earns Rs6 only per month whereas for a minimum balance of Rs1,000 in rural, bank earns Rs2 per month which is meagre when compared to the services offered and corresponding costs incurred by the bank (free cheque book, 8 free ATM transactions, free branch transactions),"" the state-owned lender said in a statement.
The finance ministry data showed the bank charged Rs1,771.67 crore from customers on account of non-maintenance of minimum average balance between April and November 2017.
Another large public sector bank, Punjab National Bank collected only Rs97.34 crore for non-maintenance of balance. The other government banks which collected in excess of Rs50 crore as penalty from customers were Central Bank of India, Canara Bank, IDBI Bank and Indian Bank.
The charges collected by SBI for non-maintenance of minimum balance exceeds the bank’s July-September quarter net profit of Rs1,581.55 crore. The amount was also nearly half of the Rs3,586 crore the bank earned as net profit from April to September.
“We would like to clarify that savings bank accounts such as Prime Minister’s Jan Dhan Yojna (PMJDY), Small accounts and Basic Savings Bank Deposit (BSBD) accounts, Pensioners, minors and all social beneficiary accounts are exempted from MAB requirement and no charges ever have been recovered,"" SBI said."
1078,2018-01-02,State Bank,"Electoral bonds for political funding can be purchased from SBI for 10 days in January, April, July and October and will be available in multiples of Rs1,000, Rs10,000, Rs1 lakh, Rs10 lakh and Rs1 crore

New Delhi: The union government on Tuesday announced details of political funding that can be routed by donors to parties through electoral bonds, a scheme announced by it in Union Budget 2017. 
New Delhi: The union government on Tuesday announced details of political funding that can be routed by donors to parties through electoral bonds, a scheme announced by it in Union Budget 2017.
Electoral bonds will allow a political donor to purchase bonds from authorized banks. These can be redeemed only through the registered accounts of a political party in a prescribed time frame.
In line with the Election Commission’s recommendation, the government in last year’s budget session also capped anonymous cash donations to political parties at Rs2,000.
On Tuesday, finance minister Arun Jaitley said the electoral bonds, which are interest-free banking instruments, can be bought from specified branches of State Bank of India in multiples of Rs1,000, Rs1 lakh, Rs10 lakh or Rs1 crore.
The life of the electoral bonds will be 15 days and they can be encashed only by registered political parties through a designated bank account.
 “The scheme has been placed before Parliament. Till today, people did not get explicit information on how much funds political parties got from which source and how they spent it. In 2001, we introduced a change to enable funding through cheque. But the share of anonymous funding is still high. The electoral bonds scheme is meant to change this,"" Jaitley told reporters.
“Whoever wants to donate electoral bonds, can buy them from any of the notified branches of SBI. The validity of the bonds is kept at 15 days so that this does not become a parallel currency. Every political party will have to file returns to the Election Commission on how much funds have been received,"" he said, adding that this was the “beginning"" of reforms in political funding and hinted at more measures later.
The electoral bonds will be available for purchase for a period of 10 days each in the months of January, April, July and October, as specified by the government. Additionally, a 30-day period will be specified by the central government in the year of general elections.
Analysts said the move could end up bringing in more opacity in political funding and could be misused, given the lack of disclosure requirements for individuals purchasing electoral bonds.
“There are only three new pieces of information in what was announced today: the designated bank, life of the bonds and denominations. These do not help. Electoral bonds continue to be designed to make political and electoral funding even more opaque. It will bring more and more black money into the political system,"" said Jagdeep Chhokar, founding member of the New Delhi-based Association for Democratic Reforms (ADR)."
1081,2018-01-02,State Bank,"SBI reduces interest rates on loans linked to the base rate by 30 basis points to 8.65%

Mumbai: Loans to existing borrowers are set to get a little cheaper with the State Bank of India (SBI) reducing its base rate by 30 basis points on Monday, a move that is likely to be followed by other banks.  
Mumbai: Loans to existing borrowers are set to get a little cheaper with the State Bank of India (SBI) reducing its base rate by 30 basis points on Monday, a move that is likely to be followed by other banks. 
The move is also unlikely to benefit new borrowers whose loan rates are linked to the so-called marginal cost of funds-based lending rates (MCLR). One basis point is a hundredth of a percentage point.
SBI’s revised base rate now stands at 8.65%. The lender has kept MCLR for January unchanged at 7.70-8.10%.
After the base rate cut, for a home loan of Rs30 lakh with a 20-year tenure, the equated monthly instalment (EMI) will come down to Rs877 per lakh from Rs897 per lakh.
“The 25 basis point reduction in retail term deposit rates in November gave us room to reduce base rate,"" said P.K. Gupta, managing director at SBI. He added that the base rate reduction is expected to benefit eight million customers, most of whom are home loan borrowers.
Since April 2016, banks have moved to the MCLR system as the base rate regime was found to be rigid and weak in terms of passing on rate cuts effected by the Reserve Bank of India (RBI). Though some borrowers have migrated to MCLR, many, especially in the retail segment, continue to use the base rate, banking analysts said.
“Usually, whenever SBI reviews lending rates, we have other banks, especially private sector and larger public sector ones following the direction. Around 30-40% loans in the industry are still linked to base rate. If other lenders don’t cut the base rate, borrowers may opt for MCLR,"" said Udit Kariwala, a senior analyst at India Ratings and Research.
Many borrowers have already moved to MCLR, countered Ashutosh Mishra, a banking analyst at Reliance Securities.
The impact of SBI’s move will be “small"", he added.
Indeed, lending rates are unlikely to trend downward unless there is a sharp revival in credit growth and higher loan volumes make up for lower rates. Deposit rates, too, have to come down to facilitate lower lending rates.
“The way government bond yields have moved and the fact that policy rate is not expected to come down because of inflation worries, I think the ability of banks to cut loan rates at this point of time looks constrained. Additionally, for banks to cut loan rates, reduction in deposit rate is required. This again looks unlikely because systemic liquidity has dried up,"" said Rajiv Anand, executive director, retail banking, at Axis Bank.
Retail inflation surged to a 15-month high of 4.88% in November. Rising oil prices and fears that the government may breach its fiscal deficit target of 3.2% of gross domestic product has prompted analysts to predict that RBI will hold interest rates for the rest of this financial year.
SBI’s move to cut the base rate comes at a time when a committee set up by RBI in October recommended linking bank lending rates to a market benchmark in a bid to hasten monetary policy transmission as well improve transparency in rate setting by lenders.
The panel, headed by Janak Raj, principal adviser, monetary policy department, recommended that all floating rate loans advanced from April be referenced to one of three external benchmarks—a risk-free curve involving rates on treasury bills, certificate of deposits rates or the central bank’s policy rate.
The panel pulled up banks for “arbitrariness"" in calculating the base rate and MCLR, the two existing benchmarks to which retail lending rates such as car loan and home loan rates are fixed. The spreads charged over these internal benchmarks “has undermined the integrity of the interest rate setting process"", it said."
1080,2018-01-02,State Bank,"ITC, JK Paper among potential suitors for Sirpur Paper Mills, while Maruti sees strong sales growth in December

Asian markets open higher on the first trading day of the year 
Asian markets open higher on the first trading day of the year
Asian indices were slightly firmer in early trade for the first trading session of the New Year as markets shrugged off the softer lead from Wall Street. Major US indices recorded substantial gains for the year. 
Sebi plan on loan defaults runs into RBI hurdle 
A Securities and Exchange Board of India (Sebi) proposal to make listed firms disclose defaults on their loans within a day of it happening is stuck in a turf war between the central bank and the markets regulator.
ITC, JK Paper among potential suitors for Sirpur Paper Mills
Telangana-based Sirpur Paper Mills Ltd, which is in the middle of insolvency proceedings at the Hyderabad bench of the National Company Law Tribunal (NCLT), has received initial expressions of interest from several potential suitors, including ITC Group, JK Paper Ltd, West Coast Paper Mills Ltd and Kolkata-based Kohinoor Group, reports Mint.
Bandhan Bank files DRHP, eyes IPO launch in March or April
Bandhan Bank Ltd, one of the two entities to receive a universal banking licence in 2015 and the only microfinance institution to do so, on Monday filed its draft initial public offering (IPO) prospectus.
SBI cuts base rate by 30 basis points
Loans to existing borrowers are set to get a little cheaper with the State Bank of India (SBI) reducing its base rate by 30 basis points, a move that is likely to be followed by other banks.
Maruti sees strong sales growth in December
India’s largest car maker Maruti Suzuki India Ltd continued to witness strong sales growth in December even as its nearest rival Hyundai Motor India Ltd posted flat sales numbers for the month. Sales at Maruti grew 12.1% in December to 119,286 units.
Brigade Enterprises buys Bengaluru land for Rs218 crore from SAB Miller
Realty firm Brigade Enterprises Ltd has bought a 12.95-acre land parcel in north Bengaluru’s Yeshwantpur area for Rs218 crore from SAB Miller India Pvt. Ltd, reports Mint.
IndusInd Bank raises $500 million from overseas lenders
IndusInd Bank has raised $500 million (about Rs3,193.75 crore) term loan from overseas lending bodies to expand its business."
1079,2018-01-02,State Bank,"In other news, the Ruias are considering bidding for Essar Steel, with the Lok Sabha passing amendments to Insolvency and Bankruptcy Code

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
ITC, JK Paper among potential suitors for Sirpur Paper Mills
Telangana-based Sirpur Paper Mills Ltd, which is in the middle of insolvency proceedings at the Hyderabad bench of the National Company Law Tribunal (NCLT), has received initial expressions of interest from several potential suitors, including ITC Group, JK Paper Ltd, West Coast Paper Mills Ltd and Kolkata-based Kohinoor Group, reports Mint, citing two people briefed on the matter. Read more
MedPlus promoter raises Rs750 crore of debt to buy out PE investors
The promoter of MedPlus Health Services Pvt. Ltd, the second largest pharmacy retail chain in India, has raised around Rs700-750 crore (approximately $115 million) in debt financing from Goldman Sachs to buy out existing private equity investors, reports Mint, citing two people aware of the development. Read more
Bandhan Bank files DRHP, eyes IPO launch in March or April
Bandhan Bank Ltd, one of the two entities to receive a universal banking licence in 2015 and the only microfinance institution to do so, on Monday filed its draft initial public offering (IPO) prospectus, reported Mint. Read more
JSW Energy shelves plan to buy 500MW Bina plant
Sajjan Jindal’s JSW Energy has called off a plan to acquire the 500 megawatt (MW) Bina thermal power plant of Jaiprakash Power Ventures, the company said on Monday, reported Mint. Read more
Gujarat NRE Coke’s creditors reject lone bidder’s resolution plan
The committee of creditors of beleaguered metallurgical coke producer Gujarat NRE Coke Ltd has rejected the lone resolution proposal received within the 270-day deadline under the insolvency code, but the company may still not be ordered by the National Company Law Tribunal (NCLT) to be liquidated as the promoters are moving a higher court, seeking more time, reports Mint. Read more
Axis Bank to sell Rs2,000-crore Bhushan Steel loan
After Indian Overseas Bank offloaded its debt in Bhushan Steel with a 40% haircut, the country’s third-largest private sector lender, Axis Bank, has decided to put its Rs2,000-crore loan exposure to the steel company up for sale in the distressed assets market. Going by the market trend, the bank may get as much as Rs1,200 crore, reports The Economic Times. Read more
RBI asks SBI to move NCLT against Anrak Aluminium
In an interesting twist of developments, weeks after the National Company Law Tribunal (NCLT) rejected the insolvency petition filed by Anrak Aluminium in the “interest of the nation"", the Reserve Bank of India (RBI) has directed lead lender State Bank of India to move the tribunal seeking insolvency, reported The Economic Times. Read more
SBI to start insolvency proceedings against 12 defaulters from today
State Bank of India is set to initiate insolvency proceedings against at least a dozen defaulting companies, including Videocon Industries, after failing to recast their loans by the December deadline, reports The Economic Times. Read more
Adani, Neyveli Lignite & Sembcorp in race to buy stake in GMR’s Power project
Adani Power state-run Neyveli Lignite and Singapore-based Sembcorp Industries are in the race to acquire majority stake in GMR Infrastructure 1,370MW thermal power plant in Chhattisgarh, reported The Economic Times. Read more
Ruias plan to pay interest, penalty of Rs35 billion to retain Essar Steel
The Ruias are considering bidding for Essar Steel, with the Lok Sabha passing amendments to the Insolvency and Bankruptcy Code. To make their bad loan accounts operational, the promoters of Essar Steel must pay banks overdue interest, including penalty, of Rs30-35 billion, reports Business Standard, citing some sources. Read more
Prestige buys CapitaLand stakes for Rs3.42 billion
Bengaluru-based Prestige Estates said on Monday it had bought out through subsidiary investor CapitaLand’s stakes in its malls and residential projects for Rs3.42 billion, reports Business Standard. Read more"
1076,2018-01-03,State Bank,"Considering that government bond yields have soared, SBI's base rate cut is nothing but a last hurrah for borrowers before their interest rates start inching up

A cut in lending rate is not what you expect when all signs point to interest rates rising from here on. But ironically the country’s largest lender, State Bank of India (SBI), pruned its base rate by 30 basis points on Monday. 
A cut in lending rate is not what you expect when all signs point to interest rates rising from here on. But ironically the country’s largest lender, State Bank of India (SBI), pruned its base rate by 30 basis points on Monday."
1070,2018-01-09,State Bank,"SBI says the proposed bond raising programme aims at funding infrastructure and affordable housing

New Delhi: Country’s largest lender State Bank of India (SBI) on Tuesday said it proposes to raise Rs5,000 crore through long term bonds to fund affordable housing. 
New Delhi: Country’s largest lender State Bank of India (SBI) on Tuesday said it proposes to raise Rs5,000 crore through long term bonds to fund affordable housing.
The proposed bond raising programme aims at funding infrastructure and affordable housing, SBI said in a filing to stock exchanges.
The bank will seek approval of the board for issuance of long term bonds of Rs5,000 crore for financing of infrastructure and affordable housing in domestic and overseas market, it said.
The bank, however, did not specify whether the borrowing would be in rupee denomination or dollar. The executive committee of the central board is scheduled to have a meeting on 17 January, it added.
Yesterday, the bank announced plans to raise up to $2 billion (over Rs12,600 crore) by issuing bonds in US dollar or other convertible currency over two fiscals to fund overseas expansion.
It said the fund-raising will take place through a public offer and/or private placement of senior unsecured notes in US Dollar or any other convertible currency during 2017-18 and 2018-19.
Last month, the bank’s board had approved raising Rs8,000 crore through various sources, including masala bonds, to meet Basel III capital norms.
Masala bonds are rupee denominated specialised debt instruments that can be floated in overseas markets only to raise capital. The bank said it has time till March 2018 to raise the funds. Banks in India have to comply with the global capital norms under Basel III by March 2019. Internationally agreed time frame for the same is January 2019."
1072,2018-01-09,State Bank,"NCLT also accepted the appointment of Navneet Kumar Gupta as the new interim resolution professional for Bhushan Energy in place of Sawant Goliawala, partner Deloitte

New Delhi: The National Company Law Tribunal (NCLT) Monday admitted State Bank of India’s plea to initiate insolvency proceedings against Bhushan Energy Ltd. 
New Delhi: The National Company Law Tribunal (NCLT) Monday admitted State Bank of India’s plea to initiate insolvency proceedings against Bhushan Energy Ltd.
The total amount in default as on 31 October was around Rs494 crore, the SBI petition said. 
NCLT also accepted the appointment of Navneet Kumar Gupta as the new interim resolution professional (IRP) in place of Sawant Goliawala, partner Deloitte.
“In any case there is any violation, the IRP would be at liberty to make appropriate application to this tribunal with a prayer for passing an appropriate order,"" the order passed by the tribunal on Monday said.
In December, the NCLT bench had asked SBI to consider the appointment of a new IRP after Bhushan Energy objected to appointing Goliawala citing conflict of interest.
Insolvency code requires a high degree of independence and integrity, Bhushan Energy had pleaded. Since Deloitte was also involved in a tariff negotiation between Bhushan Steel and Bhushan Energy, Bhushan Energy had expressed its apprehension with respect to Goliawala’s neutrality. The IRP, in such a scenario, would not be free of ‘external and professional influence’ as the partners have pecuniary interest in the matter, Bhushan Energy had said.
Bhushan Energy had earlier objected to the insolvency proceedings initiated by SBI, calling it “premature"".
“The possibility of resolution under the Insolvency and Bankruptcy Code widened up as a large number of players may apply with much more ambitious and varieties of resolution plans… Therefore, it is not possible to accept that the aforesaid argument that the petition is in anyway premature,"" the order said. 
Under the Insolvency and Bankruptcy Code, debtors and creditors must agree to a time-bound resolution of debt to avoid insolvency.
Incorporated in 2005, Bhushan Energy is based in Dhenkanal, Odisha. It is a subsidiary of Bhushan Steel which is one of the 12 NPA accounts notified by the Reserve Bank of India (RBI) earlier this year. Bhushan Steel has a gross debt of over Rs42,000 crore."
1075,2018-01-09,State Bank,"SBI says it is in the process of reviewing the requirement for minimum balance in savings account and the charges applicable for non-maintenance, and will soon make the announcement

Mumbai:  State Bank of India (SBI) is in the process of comprehensively reviewing the requirement for minimum balance in savings account and the charges applicable for non-maintenance, and will soon make the announcement, said managing director Praveen Kumar Gupta. 
Mumbai:  State Bank of India (SBI) is in the process of comprehensively reviewing the requirement for minimum balance in savings account and the charges applicable for non-maintenance, and will soon make the announcement, said managing director Praveen Kumar Gupta.
“That is something we have been looking at continuously. As I said, we brought it back in April and we reviewed in October, now also we are in the process of reviewing it,"" Gupta said at the sidelines of an event on Friday.
When asked if reduction of monthly average balance (MAB) is on the cards, Gupta said SBI has got some feedback on the same and the bank will take a view on the same in the review.
In April 2017, SBI had re-introduced the requirement for maintenance monthly average balance and penalties for non-maintenance after six years. The MAB for accounts from metro areas was set at Rs5,000 and those from urban areas at Rs3,000.
The bank collected Rs1,771.67 crore from customers on account of non-maintenance of minimum average balance between April and November 2017, according to finance ministry’s answer in Lok Sabha on 29 December.
SBI has around 420 million savings bank accounts, of which around 130 million are exempted from MAB requirement. Exempted accounts are those related to Pradhan Mantri Jan Dhan Yojana, basic savings bank deposit account, and pensioners and minor accounts, among others.
The bank subsequently lowered the MAB following criticism from the customers. Effective October, MAB for accounts in metro and urban MAB was revised to Rs3,000. It also slashed charges from 20-50% for non-maintenance of MAB across all population groups and categories. Accordingly, charges for semi-urban and rural centres were in the range of Rs20-40 and for urban and metro centres Rs30-50."
