,Date,Company,Article
115,,Sun Pharma,
114,2018-01-25,Sun Pharma,"Sun Pharma  chairman Israel Makov says he doesn't expect the slump in US generic prices that's roiling the global industry to last

Mumbai: The chairman of Sun Pharmaceutical Industries Ltd, India’s largest drugmaker, said he doesn’t expect the slump in US generic prices that’s roiling the global industry to last. 
Mumbai: The chairman of Sun Pharmaceutical Industries Ltd, India’s largest drugmaker, said he doesn’t expect the slump in US generic prices that’s roiling the global industry to last.
Pressure on prices will eventually lead to restrictions on supply that will hurt the health-care industry, Sun Pharma chairman Israel Makov said in an interview with BloombergQuint at the World Economic Forum in Davos, Switzerland. “I see this as a temporary cycle.""
A consolidation among pharmacies and intensifying competition have sent prices of generic drugs, cheaper copies of off-patent medicines, in the US into a tailspin and has left the global industry scrambling to adjust. Sun Pharma has warned that revenue this year may come in lower than last, and Teva Pharmaceutical Industries Ltd, the world’s largest generic-drug maker, has said it would eliminate 25% of its workforce and sell assets.
Makov, who was formerly the chief executive officer of Teva, said the current turmoil in the generic industry could be an opportunity for companies from India, already the world’s largest exporter of copycat medicines, to increase its share of the market globally. Bloomberg"
113,2018-02-14,Sun Pharma,"Sun Pharma reports a net profit of Rs365 crore in the December 2017 quarter compared to a net profit of Rs1,472 crore a year earlier

Bengaluru: India’s largest drugmaker Sun Pharmaceutical Industries Ltd reported a 75% plunge in third-quarter net profit on Wednesday as pricing pressures in the United States, its biggest market, hit sales.  
Bengaluru: India’s largest drugmaker Sun Pharmaceutical Industries Ltd reported a 75% plunge in third-quarter net profit on Wednesday as pricing pressures in the United States, its biggest market, hit sales. 
Sun Pharma, along with other Indian pharmaceutical companies, has been battling increased competition in the generics market and greater pricing scrutiny in the United States.
The drugmaker has also struggled as some of its products were banned from sale in the United States because the factories that made them did not meet US quality standards. It was also hit by adjustments for US tax reforms in the third quarter.
Its net profit of Rs365 crore ($57 million) for the October-December quarter was its smallest profit in over two and a half years, and well below analysts forecasts of Rs912 crore in a Reuters poll.
The company said its US sales slumped 35% to $328 million in the quarter, hurt by lower sales of generic versions of cancer drug imatinib and olmesartan, which is used in the treatment of high blood pressure.
US sales accounted for nearly a third of the company’s total sales, which fell 14% to Rs659 crore. 
The company said its profit was also hit by a one-off deferred tax adjustment of Rs513 crore on account of tax reforms in the United States. 
Sun Pharma shares closed 2.53% lower at Rs574.45 on BSE, while the Sensex was down 0.42% at 34,155.95 points. Reuters"
112,2018-02-24,Sun Pharma,"US FDA has issued a Form 483 with three observations after inspecting the Halol plant in Gujarat, for failing to meet good manufacturing practice standards, says Sun Pharma

Mumbai: Sun Pharmaceutical Industries Ltd, India’s largest drug maker, on Friday said the US Food and Drug Administration (FDA) had made three observations after inspecting its factory at Halol in Gujarat, for failing to meet good manufacturing practice standards. 
Mumbai: Sun Pharmaceutical Industries Ltd, India’s largest drug maker, on Friday said the US Food and Drug Administration (FDA) had made three observations after inspecting its factory at Halol in Gujarat, for failing to meet good manufacturing practice standards.
“The US FDA conducted a Good Manufacturing Practices (GMP) inspection of Sun Pharmaceuticals Industries Ltd’s Halol facility. At the conclusion of the inspection, the agency issued a Form 483 with three observations,"" the drugmaker said in a regulatory filing. The inspection was conducted between 12 February and 23 February.
The shares ended 5.17% higher to close at Rs570.20 on the BSE on 23 February.
Sun Pharma’s US supplies were hit over the past year after the US FDA found violations of manufacturing practices at the company’s Halol manufacturing unit. US FDA conducted its first inspection of the facility in 2014 and another in December 2015. The company was given a warning letter with six observations, preventing it from making fresh filings of new drug applications. 
In November-December 2016, Sun Pharma’s Halol plant was re- inspected and the US FDA issued Form 483 with nine observations. The FDA inspectors found the drugmaker’s testing programmes inadequate and said the company had failed to report potential contamination issues on time.
As per the US health regulator, observations are made in Form 483 when the investigators feel conditions or practices in a facility are such that products may become adulterated or could be injurious to health.
The facility at Halol, one of Sun Pharma’s biggest units, holds the key to its US formulation business. Sun Pharma gets about half of its revenue from the US market and the Halol unit contributes a majority of its drug filings. 
Barred from new drug filings in the American market, the company’s US business has been severely impacted in last couple of years due to the US FDA’s observations on Halol.
Resolution of concerns at the Halol unit is therefore critical for the company’s US business. Sun Pharma has been struggling to fix quality control problems at the facility. Clearance from the FDA will unlock several complex generic filings and allow the company to bolster existing products.
“The company remains committed to working closely with the US FDA and continues to enhance its Good Manufacturing Practices compliance on an ongoing basis. The company is committed to addressing these observations and will submit a reply to the Food and Drug Administration within 15 days,"" it said in the exchange filing.
Centrum Broking analyst Ranjit Kapadia said though the number of observations have come down to three from nine, it didn’t make any difference. “We still need details on these three observations. How serious they are before making any further comments. It is not known whether these observations are the same as earlier or new observations. The number of observations going down doesn’t matter.""
Purvi Shah, research analyst at Sharekhan said, “We view the development as a sentimentally positive read-thru for Sun Pharma and Sparc, as they have got only 3 observations as compared to earlier 9 observations in 2016-17 re-inspections. Closure of these observations with positive clearance from US FDA will remove long standing overhang on Sun Pharma and also for Sparc as it will help in acceleration of approvals from the plant. Currently, we have a ‘hold’ recommendation on the stock."""
111,2018-02-26,Sun Pharma,"Sun Pharma, for its Halol plant, got another form 483, which is issued when USFDA finds lapses in compliance, with three observations

When the answer finally came, it was a disappointing no. Sun Pharmaceutical Industries Ltd was unable to convince the US Food and Drug Administration inspection team to give its Halol (Gujarat) plant an all-clear. 
When the answer finally came, it was a disappointing no. Sun Pharmaceutical Industries Ltd was unable to convince the US Food and Drug Administration inspection team to give its Halol (Gujarat) plant an all-clear.
An establishment inspection report would have given it closure and closed the warning letter on the plant. That would then see pending generic drug approvals filed from Halol come through, adding to Sun Pharma’s revenues and profits. That would be welcome considering the pressure on its US generics business.
Instead, the company got another form 483 which is issued when the FDA finds lapses in compliance, with three observations this time, which was the only consolation. The previous inspection in December 2016 had resulted in nine observations. This one should have ideally resulted in none. Sun Pharma had spent considerable time and money in ensuring this plant was up to the USFDA’s compliance levels.
What next? The 5% increase in Sun Pharmaceutical’s shares was a bit surprising, considering its press release gave no details about the observations. It did not clarify if any of these were repeat observations. A repeat observation would be seen as a negative development. The statement states the standard line of taking prompt action and replying to the FDA in 15 days.
Once the form 483 becomes available, the severity of the lapses and whether there were any repeat ones will be known. If these are minor in nature and do not require a re-inspection by the regulator, it could be resolved relatively quickly. That will be the outcome investors will be looking for.
If this calls for remedial action and another inspection, then there may be a long wait. That will prolong their agony over the loss in earnings due to Halol’s non-compliant status. In the recent quarterly earnings, the company had said that pricing pressure was still visible in the US market. If Halol had come back on stream, then it could have eased some of that pressure. That plant goes right back on the watch list of triggers that investors should watch out for."
110,2018-03-21,Sun Pharma,"Sun Pharma announces its first US FDA approval for an innovative medicine, marking a milestone in the company's bid to diversify out of generic drugs by building a portfolio of novel ones protected by patents

Mumbai: Sun Pharmaceutical Industries Ltd., India’s largest drug maker, has announced its first US approval for an innovative medicine, marking a milestone in the company’s bid to diversify out of generic drugs by building a portfolio of novel ones protected by patents. 
Mumbai: Sun Pharmaceutical Industries Ltd., India’s largest drug maker, has announced its first US approval for an innovative medicine, marking a milestone in the company’s bid to diversify out of generic drugs by building a portfolio of novel ones protected by patents.
Sun’s drug Ilumya was approved by the US Food and Drug Administration to treat adults with moderate to severe cases of the skin condition plaque psoriasis, who are also candidates for systemic therapy or phototherapy, the company said in a statement on Wednesday. Phase-3 studies for the drug demonstrated significant clinical improvements, according to the statement.
“We are committed to working with all relevant stakeholders to make Ilumya available to appropriate people with plaque psoriasis,"" Abhay Gandhi, the chief executive officer of Sun’s North America business, said in the statement.
The approval comes as Sun’s core business making copies of other companies’ medicines has been squeezed by a wave of competition in the US, putting pressure on prices for these generic drugs. Sun has been particularly exposed because its ability to offset the price declines with new revenue has been hampered by a US sanction preventing new product launches from a key plant in India.
The roll out of innovative medicines has been seen not only as a new revenue stream, but one that will deteriorate less quickly because other generic firms won’t be able to copy them until the patents expire.
Sun licensed Ilumya from Merck & Co. in 2014, agreeing to fund Merck’s efforts to complete the Phase 3 trials and get it approved, and then takeover the commercialization and regulatory upkeep after. Merck is eligible for milestone payments and royalties on the drug. Bloomberg"
109,2018-03-21,Sun Pharma,"Sun Pharmaceuticals' ILUMYA is administered at a dose of 100mg by subcutaneous injection for the treatment of moderate-to-severe plaque psoriasis

Mumbai:  India’s largest drug marker, Sun Pharmaceuticals Ltd Wednesday said the US Food and Drug Administration (FDA) has approved its drug ILUMYA (tildrakizumab) for the treatment of moderate-to-severe plaque psoriasis. 
Mumbai:  India’s largest drug marker, Sun Pharmaceuticals Ltd Wednesday said the US Food and Drug Administration (FDA) has approved its drug ILUMYA (tildrakizumab) for the treatment of moderate-to-severe plaque psoriasis.
ILUMYA is administered at a dose of 100mg by subcutaneous injection. “With the approval of ILUMYA and our long-standing commitment in dermatology, we are focused on making a difference for people living with moderate-to-severe plaque psoriasis,"" Abhay Gandhi, president and chief executive officer, North America, Sun Pharma said in a statement.
With this, Sun Pharmaceuticals is poised to become one of the handful of companies in India to launch a novel biological entity in the US market. While the price and date of launch is yet to be decided by the company, the company is evaluating European market for the next launch. 
Sun Pharmaceuticals acquired worldwide rights to tildrakizumab from Merck for $80 million in 2014, taking the responsibility for regulatory activities, including subsequent submissions, pharmacovigilance, post approval studies, manufacturing and commercialization of the approved product."
108,2018-03-22,Sun Pharma,"In other news, CBI has unearthed another bank fraud to the tune of Rs824.15 crore, involving Chennai-based jewellery chain Kanishk Gold

US Fed hikes rates, Asian stocks mixed 
US Fed hikes rates, Asian stocks mixed
The US Federal Reserve raised interest rates and forecast at least two more hikes for 2018, reports Reuters. The rate hike signalled growing confidence about the economy and future tightening, weighing on stocks. US stocks closed modestly lower. Asian markets opened mixed. S&P 500 at 2,711 is down 0.18%.
Trade war fears reemerge as Trump set to announce actions on China
In another report, the US President Donald Trump will announce on Thursday the actions he will take against China for its alleged theft of US intellectual property and technology, stoking fears of a trade war.
Another bank fraud surfaces
Close on the heels of the Rs12,636 crore PNB fraud case, the Central Bureau of Investigation (CBI) has unearthed another bank fraud to the tune of Rs824.15 crore, involving Chennai-based jewellery chain Kanishk Gold Pvt. Ltd. Read more.
US slaps anti-dumping duty on Chinese, Indian steel flanges
The Trump administration has decided to slap an anti-dumping duty on the stainless steel flanges imported from China and India after it found in its preliminary probe that both the countries had provided subsidies to the exporters, reports PTI.
IDFC looks to exit asset management business
IDFC has begun discussions with IndusInd Bank, among others, to merge or sell its asset management company, reports The Times of India.
Sun Pharma gets US FDA nod for plaque psoriasis drug
Sun Pharmaceutical Industries Ltd has announced its first US approval for an innovative medicine, marking a milestone in the company’s bid to diversify out of generic drugs by building a portfolio of novel ones protected by patents, reports Bloomberg.
Coal India to set up plants for coal gasification
To promote environment-friendly uses of coal, Coal India Ltd is planning to set up plants for coal gasification, parliament was informed, reports PTI.
JSW Steel to join race for Essar Steel as lenders seek fresh bids
The race to acquire Essar Steel will start all over again with new players, including the JSW Steel, evincing interest in bidding for the company, reports The Hindu Business Line. This follows the rejection of bids placed by Numetal and ArcelorMittal.
Govt approves Ayushman Bharat health protection scheme
Lastly, the government approved the launch of Ayushman Bharat-National Health Protection Mission. It aims to implement the National Health Protection Scheme and strengthen primary healthcare delivery system, reports Hindustan Times."
107,2018-03-23,Sun Pharma,"Sun Pharma has passed a key milestone with the Ilumya drug approval, but its investors seem to be fixated on its ability to get the USFDA approval for the Halol plant

In every conference call held in fiscal year 2018 (FY18) after Sun Pharmaceutical Industries Ltd’s quarterly result, the launch of tildrakizumab was a key point discussed. The Halol plant’s non-compliant regulatory status was another. It’s a bit of a surprise then that its shares yawned at the announcement that the firm got a novel drug approval for Ilumya, the brand name for tildrakizumab. 
In every conference call held in fiscal year 2018 (FY18) after Sun Pharmaceutical Industries Ltd’s quarterly result, the launch of tildrakizumab was a key point discussed. The Halol plant’s non-compliant regulatory status was another. It’s a bit of a surprise then that its shares yawned at the announcement that the firm got a novel drug approval for Ilumya, the brand name for tildrakizumab.
This could be a case of the news already in the price but this was by no means a slam dunk, as seen from the conversations in these calls.
There is the possibility that the company’s continuously flagging US sales growth and inability to clear the Halol hurdle has made investors circumspect, even in the face of positive news. At Halol, new generic approvals have stopped as even a recent inspection of the plant saw observations regarding deficiencies.
Ilumya is good news in that light, becoming a key contributor to US revenues eventually. This drug was licensed by Sun Pharma from Merck and Co. in 2014, by paying an initial sum of $80 million and while Merck did the work and filings to bring it to market, Sun Pharma has borne all costs.
It has worldwide rights for this product and has out-licensed it for Europe. Sun Pharma will pay Merck milestone-related amounts (the approval itself will trigger a payment) and then royalty on sales that will range from mid-single digit through teen percentage rates on sales.
Sun Pharma deserves a pat for getting its licensing candidate right, which targets a large market opportunity. In recent calls, Sun Pharma’s management has said its marketing organization for Ilumya is in place, and some field force recruitments are already done. That means related investments and expenses, to an extent, are already in its expenditure.
Initially, Merck will supply the product and later Sun Pharma will shift production to a third-party facility. Sun Pharma’s management had said that the investment phase for Ilumya—where the company will spend more than it will sell—may last for 1.5-2 years.
In the US, the market for psoriasis drugs is a sizeable one. For instance, Janssen Biotech Inc.’s Stelara earned $4 billion in global revenues in 2017. Janssen also launched a product Tremfya, which is in the same sub-category of IL-23 products, as Sun Pharma’s Ilumya. There are some concerns too, on whether too many products are crowding this market, whether Tremfya will be preferred over llumya, and also positive trial data for a new product risankizumab (being developed by AbbVie Inc.).
In response to a question that asked the revenue potential from speciality products, Sun Pharma’s managing director Dilip Shanghvi said that IL-23 and IL-17 (different sub-categories of immunology products targeting diseases such as psoriasis) are being sold by very large companies with more experience in speciality biologics than Sun Pharma. While the company may not have the same success the large firms may have (in turning it into a blockbuster drug), Shanghvi said it has a good product and sees no reason to not try and match those revenues. He also clarified that the current spend is not geared to handle that kind of volume and upside but Sun Pharma will take that decision closer to market.
After its March quarter results, the management will give a guidance for FY19, which should factor in the impact of Ilumya’s launch. Sun Pharma will probably share some details on its plans for the product and its future. Investors are keeping their hopes low. Whether they are surprised by the management’s guidance remains to be seen. The company has passed a key near-term milestone with the Ilumya approval. Sun Pharma’s investors seem to be fixated more on its ability to get the Halol facility compliant for them to change their cautious view."
106,2018-04-09,Sun Pharma,"Data from Bloomberg showed that M&M has 95.24% or 40 of the total 42 analysts tracking the company, recommending a buy or outperform rating on the stock

Mumbai: Analysts’ recommendations for front line stocks have seen some shakeup at the start of the new fiscal year with utility vehicle maker Mahindra & Mahindra Ltd. (M&M) rising to be the most preferred Sensex stock because of the brightening outlook for the rural India story. 
Mumbai: Analysts’ recommendations for front line stocks have seen some shakeup at the start of the new fiscal year with utility vehicle maker Mahindra & Mahindra Ltd. (M&M) rising to be the most preferred Sensex stock because of the brightening outlook for the rural India story.
Drug maker Sun Pharmaceutical Industries Ltd. on the other hand, has dropped down from being the third-most preferred stock a year ago to the fourth-least preferred stock as pricing pressures weigh on the sector which derives a substantial chunk of its revenue from US.
The analysis includes stocks which have the highest percentage of buys/outperform/add ratings from the Sensex pack of the total ratings for the respective stocks.
Data from Bloomberg showed that M&M has 95.24% or 40 of the total 42 analysts tracking the company, recommending a buy or outperform rating on the stock. It has 2 “hold"" or “netural"" rating and does not have any sell of underperform rating.
Jefferies upgraded M&M to buy from hold on 16 March, and raised the target price to Rs860 from Rs820 earlier, saying stock performance has lagged improvement in fundamentals factors for the company.
“Higher government spending on rural economy and infrastructure ahead of 2019 elections is likely to sustain tractor cycle—good monsoon is an additional catalyst,""J efferies India Pvt. Ltd. analysts Arya Sen and Ranjeet Jaiswal said in the note.
Tractor and light commercial vehicle (LCV) cycles have been stronger than expected and outlook remains positive, and margin has expanded over 100 basis points so far in the current fiscal year, Jefferies’ analysts said, adding that value of listed investments of the company have appreciated.
“Yet stock performance over 3/12 months has not reflected much of this. While we have medium-term concerns over PVs (passenger vehicles), capital allocation, sustainability of tractor cycle, the mispricing is a near-term opportunity, in our view,"" Jefferies analysts Arya Sen and Ranjeet Jaiswal said in the note.
The stock is down 2.7% so far in the calendar year 2018, but has added nearly 14% so far in fiscal year 2018.
Bank of America Merrill Lynch’s (BofAML) belief in the rural story stems from the fact that the government is likely to respond to any actual/perceived loss of political ground by increasing social/rural expenditure and aggregate agricultural incomes are still growing year-on-year, but more importantly, agriculture is now a much smaller part of rural GDP.
“Our December Sensex target of 32,000 still implies downside—but sectors exposed to Rural India (two wheelers, cement, staples) should do relatively better. Amongst covered stocks, we like M&M, Hero MotoCorp and Hindustan Unilever,"" Bank of America Merrill Lynch said in a note on 26 March,
On the other hand, Sun Pharma has 41.46% or 17 of 41 analysts rating the company a buy or an outperform, while 11 have a hold or neutral on the stock, and 13 have a underweight, reduce or sell. At the end of last fiscal year though, stock had 39 buys and just one sell rating of the total 46 ratings.
In the quarter ended December, the country’s largest drugmaker reported a sharp 75% plunge in net profit from a year before as pricing pressures in the United States, its biggest market, hit sales.
Sun Pharma’s US generics are impacted with strong competition in Derma portfolio of Taro Pharmaceutical Industries Ltd., competitive intensity in older generics, and supply disruption from Halol, Prabhudas Lilladher Pvt. Ltd. noted in a report on 14 February, while maintaining reduce rating on the stock. 
The second and third most preferred stocks were leading private lenders ICICI Bank Ltd. and HDFC Bank Ltd., respectively. In terms of absolute number of buys, both these bank stocks had the highest number of buys/outperform at 50 each.
IT firms Tata Consultancy Services and Wipro Ltd. were the least preferred stocks and were at the bottom of the list."
