,Date,Company,Article
360,,TCS,
359,2018-01-09,TCS,"Marks & Spencer (M&S) has appointed Tata Consultancy Services (TCS) as its technology partner to boost its efficiency savings to about $40 million by 2021-22

London: Britain’s Marks & Spencer has appointed Tata Consultancy Services (TCS) as its technology partner and is targeting annual efficiency savings of about £30 million ($40.5 million) in the area by 2021-22. 
London: Britain’s Marks & Spencer has appointed Tata Consultancy Services (TCS) as its technology partner and is targeting annual efficiency savings of about £30 million ($40.5 million) in the area by 2021-22.
M&S said on Tuesday implementing a new technology programme, which involves TCS taking on core supplier services and management of specialist suppliers, would incur a one-off cost to implement of £25 million.
In November, the clothing and home retailer detailed a new five-year strategy, part of which involved eking out £340 million of additional annual cost savings.
M&S said the technology changes will involve about 250 existing M&S roles transferring to TCS roles.
The firm will retain a small in-house technology team.
M&S is scheduled to update on Christmas trading on Thursday. Reuters"
358,2018-01-11,TCS,"In other news, Reliance Industries chairman Mukesh Ambani through his personal investment firms is in talks to buy BSE-listed Jai Corp's 24% stake in Navi Mumbai SEZ

Asian stocks ease in morning trade 
Asian stocks ease in morning trade
Asian markets lost steam in morning trade tracking the losses in the US stocks. S&P 500 at 2,748 lost 0.11% concerns about the US administration’s protectionist stance.
Home sales drop to seven-year low in 2017: report
Regulatory changes, high levels of unsold inventories and weak consumer sentiment have led to a sharp fall in home sales and launches last year, according to a report by property consultant Knight Frank India, reports Mint.
Maruti Suzuki increases car prices by up to Rs17,000
Maruti Suzuki India Ltd raised the prices of its cars by between Rs1,700 and Rs17,000 across its entire product range. Prices were increased to factor in a rise in commodity and other input prices.
Bank of Baroda may sell Nainital Bank to bolster capital
Bank of Baroda is seeking to sell unit Nainital Bank as it sheds non-core assets to bolster its balance sheet, reports Bloomberg.
Mukesh Ambani in talks to buy Jai Corp’s stake in Mumbai SEZ
Reliance Industries chairman Mukesh Ambani through his personal investment firms is in talks to buy BSE-listed Jai Corp’s 24% stake in Navi Mumbai Special Economic Zone (SEZ), reports Business Standard.
GMR looking to raise up to Rs5,000 crore through airport unit IPO
GMR Infrastructure is looking to raise between Rs4,000 crore and Rs5,000 crore through the listing of its airport holding entity to pare debt and mobilise expansion funds, reports The Economic Times.
TCS earnings today
TCS Ltd, Shree Cement Ltd, IndusInd Bank Ltd, and Bajaj Corp Ltd are some of the companies that will release their earnings for the December quarter today."
354,2018-01-12,TCS,"TCS did not specify the exact value of the Transamerica contract, but it said it was worth more than the Nielsen deal struck last month

Bengaluru: Tata Consultancy Services Ltd (TCS) has won its largest IT outsourcing deal with an over $2 billion, 10-year contract from a unit of Dutch insurer Aegon NV, assuring India’s largest information technology company the fastest revenue growth in three years in 2018-19. 
Bengaluru: Tata Consultancy Services Ltd (TCS) has won its largest IT outsourcing deal with an over $2 billion, 10-year contract from a unit of Dutch insurer Aegon NV, assuring India’s largest information technology company the fastest revenue growth in three years in 2018-19.
The contract from Transamerica Life Insurance Co. is the second large outsourcing deal won by TCS in the past one month, and bigger than the $2.25 billion deal announced when it renewed a partnership with television ratings measurement company Nielsen Holdings Plc in December. TCS did not specify the exact value of the contract, but it said it was worth more than the Nielsen deal.
TCS’s ability to win such multibillion-dollar deals should help put an end to its protracted underperformance. TCS reported a 1.3% sequential increase in revenue in constant currency terms, which eliminate the effects of exchange rate fluctuations, during the October-December period, marking the 13th straight quarter that TCS either underperformed or at best managed to match analysts’ estimates.
Significantly, these large deal wins will assuage any investor concerns over TCS’s decision to elevate chief financial officer Rajesh Gopinathan to the chief executive officer’s mantle in Feburary 2017, replacing N. Chandrasekaran, who was appointed chairman of Tata Sons Ltd, the group holding company.
Mumbai-based TCS won the Transamerica contract in competition with at least three other global outsourcing companies, including Cognizant Technology Solutions Corp., according to a TCS executive who spoke on condition of anonymity.
Under the Transamerica-TCS contract, the deal value will be unevenly spread over the decade-long contract period.
This means that TCS, which is expected to end this fiscal year with over $19 billion in revenue, should improve its annual growth rate by at least 1 percentage point in the next fiscal year. This is because TCS stands to make over $200 million in business in the first year from this partnership. TCS needs to add $1.9 billion in new business to clock 10% revenue growth.
“TCS will simplify the service of more than 10 million policies into a single integrated modern platform, and drive greater sustainable growth opportunities through superior customer experiences,"" said a statement from Transamerica.
As part of this deal, 2,200 employees of Tansamerica will join TCS.
“The Transamerica deal is TCS’s biggest deal till date, bigger than the Nielsen deal. Remember, deals like this do not only happen because we have a platform,"" TCS chief operating officer N. Ganapathy Subramaniam told Mint on Friday. “The combined expertise of TCS, of almost every capability of the organization, has come together to help us. And we are extremely proud of what we have achieved.""
“We have invested heavily in our insurance digital platform, TCS BaNCS, and our extensive US capabilities, and are proud to partner with Transamerica in its ongoing transformation and welcome the transitioning employees to promising new careers at TCS,"" said CEO Gopinathan.
TCS will use BaNCS to complete many of the back-end processes of insurance claims.
“I’m very excited to embark on this partnership with TCS, whose transformation and technology innovation capabilities will supplement our focus on improving our customers’ experience in a digitally enabled way,"" said Mark Mullin, Transamerica’s president and chief executive officer. “TCS was carefully selected because of their significant ongoing investments in technology and their expertise in the insurance and annuity industry.""
Subramaniam also clarified that the deal is not margin-dilutive. “It will not be a margin-draining deal over the life of the contract,"" he said."
357,2018-01-12,TCS,"TCS's Q3 revenue improved 1.2% to Rs30,904 crore from the preceding quarter, CEO Rajesh Gopinathan says firm has delivered a fairly strong result, especially in a seasonally weak quarter

Bengaluru: Tata Consultancy Services Ltd (TCS), India’s largest software services company, on Thursday posted December quarter revenue growth that fell short of already downbeat Street expectations, as it battled headwinds in the US and soft demand from financial services clients. 
Bengaluru: Tata Consultancy Services Ltd (TCS), India’s largest software services company, on Thursday posted December quarter revenue growth that fell short of already downbeat Street expectations, as it battled headwinds in the US and soft demand from financial services clients.
In constant currency terms, which eliminate the effects of exchange rate fluctuations, TCS’s revenue in the seasonally weak fiscal third quarter rose 1.3% from the preceding three months.
This is the 13th straight quarter that TCS has either underperformed or, at best, managed to match analysts’ estimates in constant currency terms.
Mumbai-based TCS reported dollar revenue of $4.79 billion, a 1% rise from the preceding three months and up 9.1% from the year-ago period. In rupee terms, third-quarter revenue improved 1.2% to Rs30,904 crore from the preceding three months. TCS’s quarterly profit rose 1.1% sequentially to $1.01 billion (Rs6,531 crore), up 1.2% from $1 billion in the year-ago period.
A Bloomberg survey of analysts had estimated the company to report Rs6,532.7 crore ($1.03 billion) profit on net sales of Rs31,041.7 crore ($4.90 billion).
“TCS delivered a fairly strong Q3, especially in a seasonally weak quarter,"" said Rajesh Gopinathan, who took over as chief executive officer of TCS in February last year after N. Chandrasekaran was appointed chairman of Tata Sons Ltd. “Overall, from financial performance perspective, it has been a relatively strong quarter…don’t forget that the 9.1% year-over-year growth is completely organic.""
TCS’s operating margin improved 10 basis points sequentially to 25.2% from 25.1% in the July-September period but was 80 basis points narrower than 26% in the year-ago period.
One basis point is one-hundredth of a percentage point.
Still, one encouraging metric in what analysts called a largely listless performance was the fact that the company did almost as much new business in the first nine months of the financial year as it did in all of last year.
TCS added $994 million in incremental revenue in April-December, higher than the $786 million in new business in the same period of the last fiscal year. In 2016-17, TCS added $1.03 billion in new revenue.
This means that TCS, which does not give any quarterly or yearly growth forecast, will certainly grow faster in 2017-18 than the previous year.
TCS’s performance in the third quarter was driven largely by a 2.6% constant currency rise in revenue from clients in continental Europe, which brings about 11.1% of total revenue.
Some of the company’s other smaller industry-serving units did well too: revenue from retail and consumer packaging and transportation saw a 6.4% sequential jump, while revenue from energy and utilities saw an 8.5% rise. Both these divisions accounted for 17% of TCS’s overall revenue.
But that was not enough consolation for analysts.
“TCS’s numbers continue to be uninspiring and listless,"" said a Mumbai-based analyst at a foreign brokerage, on condition of anonymity. “For a few years now, management has always blamed some two or three underperformers for the tepid growth but the company until now does not give a reason behind the softness. The company claims these are not structural challenges but then what explains soft growth over such a long time? Yes, the company will grow higher than last year, but then, compared to its larger rival, there is not much to be happy.""
Accenture Plc., which is twice the size of TCS in revenue, is expected to grow its dollar revenue by 10.4% in the current fiscal year, implying that for the first time, it will grow faster than TCS, Cognizant Technology Solutions Corp., Infosys Ltd and Wipro Ltd in a financial year.
The challenges ahead for TCS include a weak performance in the US and soft demand from clients in the banking, financial services and insurance (BFSI) space.
Revenue from the US, which accounted for 52% of TCS’s third-quarter revenue, grew 1.5% in constant currency terms over the September quarter, and 2.8% over the year-ago period. BFSI, which accounted for 32.1% of TCS’s revenue, contracted 1.5% sequentially and grew just 0.2% from a year ago.
Some analysts fretted about the weakness plaguing its all-important BFSI arm.
“Rajesh (Gopinathan) continues to claim that the company’s banking segment in Europe did well. Now, there is a decline in the overall BFSI segment. This is worrying because this means there are multiple banks or clients in the US who, for reasons not known, are either holding back tech spend or deferring,"" said a Mumbai-based analyst at a domestic brokerage who also declined to be named.
The company’s workforce increased by 1,667 to 390,880 employees at the end of December. TCS added 3,404 people in the September quarter after headcount fell by 1,414 in the June quarter.
TCS shares fell 0.67% to Rs2,788.40 on the BSE at the close of trading on a day the benchmark Sensex gained 0.2% to 34,503.49. The results were reported after markets closed."
356,2018-01-12,TCS,"TCS's key banking, financial services and insurance segment pulled down overall growth

Tata Consultancy Services Ltd’s (TCS’s) year-on-year revenue growth fell to just 6.2% in the December 2017 quarter, its lowest in more than three years. Growth has been sluggish for a while now, and the last quarter was little different, except that some growth in some segments picked up. 
Tata Consultancy Services Ltd’s (TCS’s) year-on-year revenue growth fell to just 6.2% in the December 2017 quarter, its lowest in more than three years. Growth has been sluggish for a while now, and the last quarter was little different, except that some growth in some segments picked up.
Most importantly, the key banking, financial services and insurance (BFSI) segment pulled down overall growth. Revenues accruing from these industries fell 1.5% sequentially and were flat year-on-year.
The glass-half-full view is that some other segments are doing extremely well, for overall growth to settle at over 6%. But investors should be worried. BFSI accounts for about a third of revenues, and there’s no sight of a recovery yet.
“Banking continues to be an area where we are in a wait-and-watch mode; it is still a couple of quarters away from seeing a meaningful recovery,"" Rajesh Gopinathan, chief executive of TCS, said at a press conference. Analysts are particularly worried about the lack of growth in the segment, with questions on the segment forming the majority of queries in a post-results call with the company’s management.
What’s disconcerting for them is that Accenture Plc has reported higher-than-company-average growth in the BFSI segment in recent quarters. While TCS said it has defended market share in the BFSI segment, the disparate growth of the two companies in this segment seems to suggest otherwise.
Meanwhile, there were pockets of strength, which helped overall growth. Revenues from the retail industry bounced back last quarter, for instance, and troubled segments such as Diligenta and the company’s Japanese acquisition are on a good trajectory, said TCS."
355,2018-01-12,TCS,"In other news, Tata Consultancy Services (TCS) said its net profit fell 3.6% to Rs6,531 crore in the December 2017 quarter

US stocks end higher; Asian shares open mixed 
US stocks end higher; Asian shares open mixed
The Dow Jones industrial average rose to an all-time high on Thursday as investors bet economic growth would pick up steam.
Asian shares clawed back slight gains on Friday after finishing slightly lower in the last session, with most major indexes in the region tracking the strong lead from Wall Street.
Reliance Jio planning its own cryptocurrency called JioCoin
After disrupting the telecom sector with its free offers and hyper-competitive tariffs, Reliance Jio Infocomm Ltd plans to create its own cyptocurrency, JioCoin.
Tata Global Beverages may sell stake in Amalgamated Plantations
Tata Global Beverages Ltd is looking to divest its 41% stake in Amalgamated Plantations Pvt. Ltd—India’s second largest producer and supplier of tea with estates in Assam and the Dooars region of West Bengal.
TCS Q3 net profit down 3.6% to Rs6,531 crore
Country’s largest IT firm Tata Consultancy Services (TCS) said its net profit fell 3.6% to Rs6,531 crore in the December 2017 quarter.
Price Waterhouse firms banned for 2 years over Satyam scam
The Securities and Exchange Board of India (Sebi) in an order banned all the firms in the Price Waterhouse network (PW firms) from auditing listed companies for two years. Read more.
India’s crude steel output hits record 100 million tonnes in 2017
The country’s crude steel production rose nearly 6% to hit an all-time high of 101.28 million tonnes (MT) last year, according to official data.
IndusInd Bank Q3 net profit rises 25% to Rs936.25 crore
Indusind Bank Ltd reported a 24.73% jump in its December quarter net profit on the back of higher net interest income and other income.
Earnings Corner
Infosys, Gail and Sintex Industries are among the companies that will be announcing their December quarter earnings today."
353,2018-01-13,TCS,"Infosys profit margins this year have more or less converged with that of TCS this year, compared to a difference of as much as 570 basis points about three years ago

Infosys Ltd reported 5.8% year-on-year growth in revenues in constant currency terms in the December quarter, slightly lower than the 6.2% growth reported by Tata Consultancy Services Ltd (TCS). Likewise, growth in operating profit at the companies wasn’t very different last quarter. In short, Infosys has done well in a period during which it functioned without an active chief executive officer (CEO). 
Infosys Ltd reported 5.8% year-on-year growth in revenues in constant currency terms in the December quarter, slightly lower than the 6.2% growth reported by Tata Consultancy Services Ltd (TCS). Likewise, growth in operating profit at the companies wasn’t very different last quarter. In short, Infosys has done well in a period during which it functioned without an active chief executive officer (CEO).
Of course, TCS has been growing at a sluggish pace (bit.ly/2CUp4AW) and hasn’t exactly set a high bar to beat. Still, the fact that Infosys delivered steady growth in a seasonally weak quarter, and in the midst of a leadership transition, is a heartening sign.
Besides, as the chart alongside points out, Infosys’s profit margins this year have more or less converged with that of TCS this year, compared to a difference of as much as 570 basis points about three years ago.
As a result of this catch-up, Infosys’s operating profit growth in the first three quarters is slightly ahead of its bigger rival. 
While Infosys shares have recovered all of their losses since Vishal Sikka’s exit (and then gained some more), they still trade at an 18% valuation discount to TCS shares based on the current year’s earnings estimates. Just before Sikka announced his resignation, the valuation discount was narrower at around 13%.
With Infosys delivering better profit growth, perhaps investors need to sit up and take notice. Interestingly, Infosys’s commentary on the key banking, financial services and insurance (BFSI) vertical is far more optimistic than TCS’s. 
While the latter said it will be a couple of quarters before there is a meaningful recovery in the segment, Infosys said 2018 will be better compared to the previous year. A majority of its large deal wins are from the segment, and the company said on a call with analysts that regulatory spend and digital engagements are expected to drive growth in BFSI. 
“We expect discretionary spending to come back next fiscal; and things are not as hazy as a year ago,"" Infosys said in post-results comments.
In the December quarter, the BFSI segment’s revenues were flat sequentially, better than the 1.5% decline reported by TCS. From the looks of it, the client mix of the two companies is behind the difference in commentary. 
True, TCS has other engines firing away but as its third quarter results announcement showed, BFSI with its 33% contribution to revenues can pull down overall growth to a large extent. 
What’s more, analysts expect recent tax reforms in the US to have a negligible impact on Infosys, compared to being a headwind for TCS. 
Having said all this, investors may still be a tad cautious with Infosys, considering that its new CEO hasn’t yet clearly articulated his strategies and priorities.
But, based on how things stand currently in terms of growth rates, and given the difference in commentary, some of them may well start wondering about their higher allocations towards TCS in the past few months.
The writers do not hold positions in the companies mentioned above."
352,2018-01-15,TCS,"It is not the TCS' guidance but recent deal wins, stable senior management team, and execution ability makes the senior management believe of return to double-digit growth

Bengaluru: There is reason why Rajesh Gopinathan, a man who rarely lets down his guard, now comes across as sprightly and sports a smile. 
Bengaluru: There is reason why Rajesh Gopinathan, a man who rarely lets down his guard, now comes across as sprightly and sports a smile.
With help from Tata Sons chairman Natarajan Chandrasekaran and the senior management team at Tata Consultancy Services Ltd (TCS), CEO Gopinathan is now poised to lead his firm to a double-digit growth in 2018-19, which will be the fastest since the company reported a 15% growth in 2014-15. 
TCS’s recent deal wins, including two of the largest multi-year billion dollar contracts, in addition to more contracts it expects to close in the coming months, a stable senior management team, and its industry-leading execution ability to complete a project without glitches are the primary reasons behind this optimism, according to a senior executive of the company.
“I believe we should have double digit growth in FY19,"" TCS’s chief operating officer, N. Ganapathy Subramaniam told Mint, in an interview last week, adding that this should not be interpreted as the company’s guidance as TCS does not give any quarterly or yearly growth outlook.
“This is not our guidance but as a management team, we have had this major focus to get back to double digit growth. This is one of the strategic KPIs (key performance indicator) for all of us (senior management team),"" said Subramaniam, who took over as COO in February, when Gopinathan took over as CEO.
This reversal of fortunes at TCS is remarkable as for 13 quarters it has either underperformed or, at best, managed to match analysts’ estimates.
 TCS has struggled to generate more business from large banks in US, which account for over half of its overall revenue. Understandably, TCS’s return to form does not imply that the company—and its peers—are out of the woods. 
Structural challenges remain with the rise of cloud computing, along with a push towards automation and artificial intelligence platforms, meaning that IT vendors earn less for the same scope of work done in the past. 
Finally, all homegrown companies earn less than a fourth of revenue from digital, the fuzzy term to define all new technologies like data analytics which most Fortune 1000 clients want their IT vendors to offer to help them run their business better. 
Accenture Plc, which is twice the size of TCS, generates more than half of its business from digital technologies, and a faster growth from this business is one reason behind the company’s projected 10.4% dollar revenue growth in the current fiscal. 
For this reason, many analysts are sceptical on Indian IT firms’s growth trajectory and unsure if it is more than a dead cat bounce. Still, TCS remains confident.
“We have been investing in digital technologies. If you look the kind of large deals we are winning and the other deals we are working on, here the credit goes to the stable senior management team we have. Again, we have resolved each of the three soft spots we had in Diligenta, Japan and Latin America. So overall, we are reasonably confident (of achieving double digit growth),"" said Subramaniam.
“But here, I’ll share why we are not coming out and saying this. The thing which bothers us a bit is if there can be any impact of Brexit, a new government getting formed in Germany and what it could mean for Europe, parts like tax reforms and H1 related issues in the US… So these are uncertainties on which I cannot really put my thumb on, and say this is how they will play out""
Still, TCS’ optimism appears justified, according to deals publicly announced and according to three company executives.
A 1% sequential growth in the current January-March quarter will help TCS end the current year with $18.95 billion in revenue, a 7.8% dollar growth in 2017-18.
This means TCS will need to improve upon its current year’s growth by 220 basis points to achieve at least a 10% dollar revenue growth in 2018-19. One basis point is one-hundredth of a percentage point.
TCS stands to make over $200 million as part of its over $2-billion contract with a unit of Dutch insurer Aegon NV, assuring the company of more than 110 basis points in incremental growth. Another $60 million in business from a unit of Lloyds Banking Group, $17 million from Rolls Royce Group, and business from Marks and Spencer contract and renewed contract with Nielsen, together bring $100 million in new business or over 60 basis points incremental growth in next fiscal. 
Still, two challenges ahead for TCS to achieve its plan of double digit growth will be the impact of cross currency movement and TCS’s ability to retain contracts which will be up for rebid, including the largest contract with Citibank. 
“Based on our execution experience, I do not believe our ability to pull revenue out of these (new and existing) deals is in question,"" said Subramaniam."
351,2018-01-15,TCS,"TCS will become a principal technology partner for Marks & Spencer as part of the deal, whose total value has not been disclosed

Mumbai: Tata Consultancy Services (TCS) has expanded its relationship with British retailer Marks & Spencer (M&S) to enable it become a digital-first business. As part of the deal, whose total value is not disclosed, the company will become a principal technology partner for the retailer, TCS said in a statement on Monday.  
Mumbai: Tata Consultancy Services (TCS) has expanded its relationship with British retailer Marks & Spencer (M&S) to enable it become a digital-first business. As part of the deal, whose total value is not disclosed, the company will become a principal technology partner for the retailer, TCS said in a statement on Monday. 
The retailer has a five-year plan to transform its business by making technology function deliver more commercial opportunities, it said, adding TCS will help drive agility, intelligence, innovation and efficiency to up the customer experience and also drive growth in business. 
TCS chief executive and managing director Rajesh Gopinathan said the company has already built a strong contextual knowledge of M&S’ business through the last few years’ partnership. “TCS will help the customer adopt a digital-first mindset to win new customers and create growth at accelerated pace,"" he said. 
The retailer’s chief executive Steve Row said M&S and TCS will join forces to make its business “faster, simpler and more focused on achieving a seamless customer experience."" 
TCS will transition M&S to a new technology operating model, which embraces the agile mind-set to transform business and IT strategy, aligned with rapid technology innovation to meet fast changing business priorities, the statement said. 
The announcement comes days after TCS announced a $2 billion contract win from American insurer Transamerica to transform the latter’s insurance and annuity business lines."
