,Date,Company,Article
405,,Tata Motors,
404,2018-01-02,Tata Motors,"Tata Motors reports a 52.48% jump in total sales at 54,627 units in December, while domestic sales of commercial vehicles rose 61.8% to 40,447 units

New Delhi: Tata Motors Ltd on Tuesday reported a 52.48% jump in total sales at 54,627 units in December. The company had sold 35,825 units in the same month previous year, Tata Motors said in a statement. 
New Delhi: Tata Motors Ltd on Tuesday reported a 52.48% jump in total sales at 54,627 units in December. The company had sold 35,825 units in the same month previous year, Tata Motors said in a statement.
Domestic sales of commercial vehicles (CV) last month stood at 40,447 units as against 24,998 units in the same month of 2016, up 61.8%. The growth of CV sales in December was on the on the back of new product introductions across segments and improved availability of the new range of BS4 vehicles, said Tata Motors head of commercial vehicle business unit Girish Wagh.
“Increased demand for new tonnage vehicles, infrastructure development led by government funding and keen focus on customer requirements has helped reviving the M&HCV performance...With a well-defined CV strategy in place, we are confident of improving our performance across segments."" he added.
In the passenger vehicles (PV) segment, Tata Motors said its domestic sales were up 30.96% at 14,180 units last month as against 10,827 units in December 2016.
Tata Motors President, Passenger Vehicles Business Unit, Mayank Pareek said the company recorded its highest ever December sales since 2012, backed by new generation products like Tiago, Tigor, Hexa and Nexon. “...while total bookings (wholesale) were highest since 2012, retail sales grew 74% over last year – highest since December 2011..The new year holds tremendous opportunity and we remain committed to turnaround the business,"" he said."
403,2018-01-03,Tata Motors,"Tata Motors MD and CEO Guenter Butschek asks employees to bolster accountability and drive performance within the organisation

New Delhi: Homegrown auto major Tata Motors Ltd managing director and chief executive officer Guenter Butschek has called employees to bolster accountability and drive performance within the organisation as the firm seeks to build on the positives of its turnaround drive that is expected to be completed by March.  
New Delhi: Homegrown auto major Tata Motors Ltd managing director and chief executive officer Guenter Butschek has called employees to bolster accountability and drive performance within the organisation as the firm seeks to build on the positives of its turnaround drive that is expected to be completed by March. 
In his New Year message to employees, Butschek said several steps taken in 2017 such as “accelerated efforts on sales enhancement, rigorous cost reduction have shown quick results on market share and bottom-line improvement, but the effort needs to continue."" 
The company has made considerable progress and the good performances in second and third quarters were reflections of its efforts, he said adding that with structural de-bottlenecking of supply chain Tata Motors has started to build a future ready highly capable strategic supplier base. 
“With all elements of OE (organisation effectiveness) rpt organisation effectiveness finally on the right track, we need to bolster accountability levels and drive performance within the organisation,"" Butschek said. He further said, “The turnaround demonstrated the new structure’s effectiveness - speed, simplicity, agility! These are the key characteristics driving a high-performance culture.""
Last year, Tata Motors had announced a turnaround plan for its domestic business, with a special focus on the ailing commercial vehicles business that lost market share, reaching 44.4% in March 2017 from a high of nearly 60%, five years back. In 2016-17, Tata Motors had posted a loss after tax, on a standalone basis, of Rs2,480 crore compared to Rs62 crore in the previous year. Its standalone gross revenue was Rs49,100 crore, up 3.6% from the previous year.
“While our ‘Transformation’ journey started to gain speed in 2017, we had to shift gears to Turnaround with a single- minded focus on execution,"" Butschek said. Both the commercial vehicles (CV) and passenger vehicles (PV) business units clocked best sales in September 2017 in the last 4-5 year period as a result of focussing energies on achieving new heights, he said. While terming the ‘turnaround’ as a sprint, he said the company’s employees are running a marathon for sustainable and profitable growth. “While we continue to scale new heights, the turnaround momentum should roll up into a sustainable ‘way of living’ at Tata Motors - determining our aggression in the market place. We need to consolidate our actions and ensure that the turnaround plan gets fully accomplished giving strong returns by March 2018,"" Butschek said.
Looking ahead, he said the respective strategies of CV and PV business needed to be adapted due to changes in the macro environment and align to business objectives accordingly. “We also need to conclude on our strategic blueprint and execution plan on Smart Energy solution,"" he added. 
Last year, Tata Motors forayed into electric mobility with the bagging of EESL order, he said adding, “Today, we lead the e-mobility movement supporting the government’s vision and we will keep leading it - in PV and CV!"""
402,2018-01-10,Tata Motors,"Tata Motors recorded a 23% growth in total global sales of vehicles at 1,16,677 units in December 2017

New Delhi: Tata Motors on Wednesday reported 23% increase in total global sales at 1,16,677 units for December 2017.  
New Delhi: Tata Motors on Wednesday reported 23% increase in total global sales at 1,16,677 units for December 2017. 
Global wholesales of all Tata Motors’ commercial vehicles and Tata Daewoo range in December 2017 were at 47,182 units, an increase of 53% over the same month previous year, the company said in a statement. 
In the passenger vehicles segment, total sales grew by 8% at 69,495 units last month. 
The company said its British arm Jaguar Land Rover clocked total global sales of 55,066 units in December, out of which 16,826 units were of Jaguar and 38,240 units were of Land Rover."
401,2018-01-14,Tata Motors,"Tata Motors-owned Jaguar Land Rover (JLR) at its R&D hub in Ireland's Shannon will research new technologies related to electric cars and automated driving

London: The Tata Motors-owned Jaguar Land Rover (JLR) is mulling a new software hub at Shannon in Ireland as part of its wider plans to invest in electric and driver-less technology.  
London: The Tata Motors-owned Jaguar Land Rover (JLR) is mulling a new software hub at Shannon in Ireland as part of its wider plans to invest in electric and driver-less technology. 
According to ‘The Sunday Times’, the UK-based luxury car maker plans to create 150 jobs at the site, where it will research new technologies related to battery-powered cars and automated driving. 
“The new facility provides an exciting opportunity for us to pioneer future autonomous and electrification technologies,"" said Nick Rogers, JLR’s executive director of product engineering. 
The Irish town of Shannon is seen as a hi-tech hotbed, with companies including American chip giant Intel setting up base there. JLR said its new site would “complement"" more than 10,000 engineers in the UK, in a move backed by Ireland’s Investment Development Agency (IDA). 
“Having a globally recognised company of such international standing will greatly enhance Shannon’s reputation as a centre of excellence for such business. The 150 jobs will be of significant benefit to Clare and the midwest region,"" said Martin Shanahan of IDA Ireland. 
The latest expansion plans come after another record year for the Tata Motors’ owned company, which sold 621,109 cars in 2017, up 1% on 2016. 
Last year, the company had announced that from 2020, all new models under the Jaguar and Land Rover brands will be offered with electric versions and the firm has committed to a range of hybrid, plug-in and full electric power options in the coming years. 
The firm’s first fully electric SUV, the Jaguar I-Pace, goes on sale later this year. For its new research and development (R&D) hub in Ireland, it will look for software engineers with experience in a range of disciplines such as artificial intelligence, safety critical systems and vehicle architecture."
400,2018-01-16,Tata Motors,"BlackBerry says it had already tested Jarvis with automaker Tata Motors' Jaguar Land Rover unit, whose chief executive said Jarvis reduced the time needed to assess code from 30 days to seven minutes

Bengaluru/Toronto: Canadian software maker BlackBerry Ltd on Monday launched a new cybersecurity software, which identifies vulnerabilities in programs used in self-driving cars. 
Bengaluru/Toronto: Canadian software maker BlackBerry Ltd on Monday launched a new cybersecurity software, which identifies vulnerabilities in programs used in self-driving cars.
The product, called Blackberry Jarvis, is being marketed first to automakers—a group of customers the former smartphone maker is hoping will power its turnaround efforts—but could also have applications in healthcare and industrial automation.
BlackBerry said it was offering Jarvis on a pay-as-you-go basis.
Once initiated, automakers will have online access to Jarvis and can scan files at every stage of software development, the company said.
Last year, the global “ransomware"" attack, dubbed WannaCry, helped raise awareness of BlackBerry’s security software business, which is largely focused on managing secure connections to mobile devices. 
BlackBerry said it had already tested Jarvis with automaker Tata Motors’ Jaguar Land Rover unit, whose chief executive said Jarvis reduced the time needed to assess code from 30 days to seven minutes. 
BlackBerry in September announced it would partner with auto supplier Delphi Automotive Plc <DLPH.N> on a software operating system for self-driving cars.
Earlier this month BlackBerry and Chinese internet search firm Baidu Inc <BIDU.O> signed a deal to jointly develop self-driving vehicle technology.
BlackBerry has also recently signed automotive-related deals with chipmaker Qualcomm, auto supplier Denso and Ford Motor Co <F.N>."
398,2018-01-31,Tata Motors,"Tata Motors has launched over 35 new CV models and variants in the fiscal year up to December, with 20 more planned for the quarter ending March

Mumbai: India’s largest commercial vehicle (CV) maker Tata Motors Ltd is set to unveil 15 models and concepts at the Auto Expo, to be held in Noida on Delhi’s outskirts, from 9 to 14 February, a senior executive said on Wednesday. 
Mumbai: India’s largest commercial vehicle (CV) maker Tata Motors Ltd is set to unveil 15 models and concepts at the Auto Expo, to be held in Noida on Delhi’s outskirts, from 9 to 14 February, a senior executive said on Wednesday.
The Tata group flagship will showcase four new trucks—a light commercial truck based on a new platform akin to the company’s advanced modular platform (AMP) for passenger vehicles, a 43-tonne rigid truck which the company claims has the highest tonnage in India, a light CV based on the platform shared by the Ultra truck, in addition to a truck running on LNG (liquefied natural gas) based on the same platform.
According to Girish Wagh, president of the CV unit at the Mumbai-based firm, “a purely electric 12-metre bus and an industry-first inter-city coach bus,"" developed through its joint venture Tata Marcopolo Motors Ltd, with Brazilian bus manufacturer Marcopolo S.A., will also be showcased.
Tata Motors has launched over 35 new models and variants in the fiscal year up to December, with 20 more planned for the quarter ending March, said Wagh, adding that “all the new CV models will be based on the new modular platform"".
In addition to the vehicles, the maker of the Ace mini truck will also display its range of new engines developed in-house over the past two to three years, having spent close to Rs300 crore on development.
“Branded as the Turbotronn range, we have 3-litre and 5-litre engines, along with a 3.3-litre variant. These can be upgraded to BS6 (Bharat Stage 6 emission norms) with minimal change"", Wagh said.
The flurry of launches comes on the back of a steady fall in market share since fiscal 2014 when Tata Motors accounted for more than half the CV market. In the current fiscal year up to December, Tata Motors had a 44.5% share of the broader CV market, a mere 0.3% rise over the year-ago period, Wagh said, adding that the company would “like to exit this fiscal with the previous fiscal’s market share"", which was close to 50%."
399,2018-01-31,Tata Motors,"The six electric vehicles will be among 26 smart mobility solutions across Tata Motor's passenger and commercial vehicles to be showcased at the 9-14 February Auto Expo

New Delhi: Homegrown auto major Tata Motors will showcase an extended range of six electric vehicles, in personal and mass mobility segments in the upcoming Auto Expo.  
New Delhi: Homegrown auto major Tata Motors will showcase an extended range of six electric vehicles, in personal and mass mobility segments in the upcoming Auto Expo. 
The company has already announced that it will present 26 smart mobility solutions across its passenger and commercial vehicles at the expo to be held from 9-14 February. These six electric vehicles will be among those exhibits. 
“While we cannot comment on specifics, we can confirm that Tata Motors will indeed showcase an extended range of six electric vehicles, enabling personal and mass mobility, further reiterating our commitment to the government’s vision for electrification by 2030,"" a Tata Motors spokesperson said. 
This year, the company’s focus of the Auto Expo will be journey towards the future of integrated mobility solutions, outlining plans for the future of India’s Smart Cities and its connected generation, the spokesperson added. 
Tata Motors had bagged order from state-owned EESL to supply 350 electric cars, while rival Mahindra & Mahindra will supply 150 electric cars. 
The company has rolled out the first batch of electric version of its compact sedan Tigor from Sanand plant to be supplied to Energy Efficiency Services Ltd (EESL). 
Commenting on the company’s EV roadmap, Tata Motors CEO and managing director Guenter Butschek said, “Working collaboratively with the government to facilitate faster adoption of EVs, we at Tata Motors, are completely ready to drive the EV revolution and build a sustainable future for India."""
396,2018-02-05,Tata Motors,"Tata Motors' net profit for the December quarter came in at Rs1,214.6 crore  versus Rs111.57 crore a year earlier, the biggest jump in seven quarters

Tata Motors Ltd reported a near 11-fold rise in fiscal third-quarter profit as a surprise turnaround in its India business helped offset a slowdown in its Jaguar Land Rover (JLR) unit. Earnings still missed analysts’ estimates. 
Tata Motors Ltd reported a near 11-fold rise in fiscal third-quarter profit as a surprise turnaround in its India business helped offset a slowdown in its Jaguar Land Rover (JLR) unit. Earnings still missed analysts’ estimates.
Net profit, including those of its units, rose to Rs1,214.6 crore for the three months ended December from Rs111.57 crore in the same period a year earlier, the biggest jump in seven quarters. A Bloomberg poll of 19 analysts had pegged quarterly profit at Rs2,349.1 crore. 
The key reason for the lower-than-expected profit was a weak performance by JLR. Sales in that unit rose just 3.45% from a year ago to 154,447 units. While sales in the US and Europe declined, sales growth in China slowed to 14.6%.
JLR’s sales were weighed by few launches and model refreshes during the year, the unit’s chief executive officer Ralf Speth said in an investor call. He also cited cyclicality in sales in the US, uncertainty over policy treatment of diesel vehicles in Europe and Brexit as other factors. 
The UK-based unit, however, expects to maintain an Ebitda margin of 8-10% in the medium term, said Speth. He also forecast stronger performance in the fourth quarter owing to new models. Ebitda—or earnings before interest, tax, depreciation and amortization—is a measure of operating profitability.
In the December quarter, JLR’s Ebitda margin narrowed 1.3 percentage points from a year earlier to 10.9%. The unit’s revenue rose 4.3% to £6.3 billion (about Rs56,900 crore). 
“JLR’s performance was below our estimates, though it is not worrying because double-digit margins have been maintained under difficult conditions. The fourth quarter will be better in terms of profitability on the back of increased deliveries of the Velar and refreshed Discovery,"" said Jigar Shah, chief executive and head of research at Maybank Kim Eng Securities India Pvt. Ltd.
The UK-based unit’s performance was compensated by an unexpected return to profitability in the domestic business. Tata Motors’ India operations reported a 58.6% jump in revenue to Rs16,102 crore, albeit off a low base. The business swung to a profit of Rs184 crore in the quarter ended December from a loss of Rs1,046 crore in the same quarter the previous year.
Ebitda margin widened 7.5 percentage points to 9% owing to an increase in net realizations from higher sales of heavy and medium commercial vehicles. 
 “The turnaround strategy is delivering results, in addition to filling product gaps and stepping up market presence,"" said Tata Motors chief executive and managing director Guenter Butschek. The firm started cutting costs aggressively in 2016 as part of its turnaround strategy.
Domestic sales rose 34.9% year-on-year to 155,977 units in the December quarter. Commercial vehicles led the way, with sales of medium and heavy commercial vehicles rising 54% to 40,070 units on increased demand for higher tonnage trucks, pre-buying ahead of the ventilation norms that kicked in from 1 January and the government’s infrastructure push, the firm said in a statement. “The India business will improve on the base of a rise in investments, a reduction in depreciation and interest costs, and stronger operating leverage,"" said Shah of Maybank.
On Monday, shares of Tata Motors rose 3.12% to Rs396.05 on BSE, while the benchmark Sensex shed 0.88% to 34,757.16 points. The firm released its December quarter results after market hours."
397,2018-02-05,Tata Motors,"In other news, RIL emerges sole contender to acquire stake in JBF Industries

Asian stocks fall in morning trade 
Asian stocks fall in morning trade
Asian markets slumped in morning trade tracking the losses in the US stocks over the weekend and concerns about resurgent inflation. S&P 500 at 2,762 points is down 2.12%.
RIL emerges sole contender to acquire stake in JBF Industries
Reliance Industries Ltd (RIL) has emerged as the sole contender to acquire a part of polyester maker JBF Industries Ltd’s operations, reports Mint.
Mahindra wins an order to supply 1,000 e-Veritos
Mahindra and Mahindra Ltd has won an order to supply 1,000 electric vehicles (EVs) to Bengaluru-based fleet operator Baghirathi Travel Solutions Pvt. Ltd through its subsidiary Mahindra Electric Mobility Ltd, reports Mint.
Aditya Birla Fashion scales down Forever21, cuts costs
Aditya Birla Fashion and Retail Ltd, the licensee of American fast fashion brand Forever21, is downsizing the brand’s stores and cutting costs as sales from the fast fashion business decline. Read more
Three firms in race to acquire Orchid Pharma
Strides Shasun, Nectar Lifesciences and Backstone have emerged as frontrunners for bankrupt Orchid Pharma, reports The Economic Times.
JSW Steel, Tata Steel serious bidders for Bhushan Steel
JSW Steel and Tata Steel have emerged as the two serious bidders for Bhushan Steel as binding bids closed on Saturday, reports Business Standard. According to the report, the bids are expected be opened on Tuesday afternoon.
Liberty House in talks with banks over revised Amtek Auto bid
UK-based Liberty House Group is in talks with the lenders of Amtek Auto Ltd to submit a revised bid for the troubled auto component maker after its previous bid was rejected by a panel of lenders supervising Amtek’s bankruptcy proceedings, reports Mint.
Warren Tea, Dhunseri vie for Assam Co
Assam Co. India Ltd has found several suitors. MK Shah Exports Ltd, Warren Tea Ltd and the Dhunseri Group are vying for the company, reports Mint. Even Srei Infrastructure Finance Ltd, one of Assam Co.’s creditors, is likely to bid for the assets, the report adds.
Colgate Palmolive, Tata Motors earnings today
Colgate Palmolive (India) Ltd, Bosch Ltd and Tata Motors Ltd are some of the companies that will release their earnings for the December quarter on Monday."
