,Date,Company,Article
129,,Tata Steel,
128,2019-03-06,Tata Steel,"Titan’s present market cap at  ₹90,000 crore outweighs that of revenue giants like Tata Steel & Motors

In a $110 billion group, comprising 30 companies scattered across such diverse areas as steel and software, who would have thought that a small watch company would emerge as the second largest in terms of market capitalization and the fastest growing over the last three years?
Yet, this week, as a Business Standard story pointed out on Monday, Titan’s market cap scaled  ₹90,000 crore, well below that of software heavyweight Tata Consultancy Services (TCS), but nearly 60% more than that of revenue giants Tata Steel and Tata Motors.
Titan’s success is the story of steady and sterling leadership by two men, Xerxes Desai and Bhaskar Bhat, who helmed the company for all its 34 years in business. Desai, the man who wanted to be an Oxford don but came back at J.R.D. Tata’s bidding to set up a watch company, presided over the company’s first decade and a half of growth, in which time it established itself as India’s leading watch brand. Under Desai, the humble watch—till then symbolized by public sector entity HMT’s mechanical products or imports from abroad—became a fashion statement, a symbol of class best exemplified by its signature tune, an excerpt from Mozart’s 25th Symphony, personally picked by Desai.
However, by the end of the last century, as the watch business slowed, the company’s diversification into the jewellery business in 1995 was weighing heavily on its overall performance, already dragged down by debts following an ill-advised blitz into several European markets.
Enter Bhaskar Bhat as managing director in 2002. Tasked with engineering a turnaround of sorts, he faced a baptism by fire as a large-scale layoff was followed by a lockout at the company’s plant. After dousing those early fires, Bhat proceeded to execute a well-honed strategy of entering unorganized segments of the Indian market and gentrifying them. With this came crafted watches, jewellery, youth accessories such as bags and belts, eyecare products and, later, fragrances and saris.
The results have been spectacular. Titan is today one of the two jewels in the Tata crown. And, therein lies the problem, since its continuing success casts a questioning shadow over many of the other companies that are a part of India’s largest conglomerate and have, for years, been sucking up resources without really delivering results.
The conglomerate model, as rolled out by the likes of Harold Geneen and Jack Welch, was a consequence of the low interest rate regimes in the US following the Second World War, which in turn, helped finance a spate of leveraged buyouts. Conglomerates made sense till such time as capital markets lacked the depth and sophistication needed to back businesses at various stages of evolution and growth. They lost steam once those markets evolved to serve all comers.
Through the 1960s, Geneen made hundreds of acquisitions across a diverse collection of businesses ranging from telegraph equipment to insurance and hotels, to build International Telephone and Telegraph Corp., the company he headed, into a $17 billion conglomerate by 1970. Today, some four decades later, all that remains of that diversified portfolio colossus is a $2.5 billion business making specialty components for the aerospace, transportation, energy and industrial markets.
By the 1990s, most US corporations had come around to reaffirming their faith in specialization and focus, prompted in large measure by the teachings of management gurus like the late Coimbatore Krishnarao Prahalad, who in 1990 co-authored an article for the Harvard Business Review titled The Core Competence Of The Corporation, in which he urged executives to identify their organization’s core competencies that could foster growth.
It wasn’t as if the conglomerate idea fell off the cliff overnight. A 1994 study showed that for each of the years 1985, 1989 and 1992, over two-thirds of the Fortune 500 companies were active in at least five distinct lines of business.
Late last year, United Technologies, one of the best known industrial conglomerates after its acquisition of Otis Elevator in 1976 and Carrier Refrigeration in 1979, announced that it would spin off both those divisions into separate companies and focus on its core aerospace business.
This, coupled with the struggles of General Electric—once the world’s largest industrial conglomerate—as it looks to sell off pieces of its operations indicates that the era of conglomerates seems to have ended in the US.
In India though, conglomerates still rule the roost, accounting for nearly 50% of the corporate sector’s revenues. Yet, the success of focused companies in newer businesses such as IT, telecom, banking, auto, aviation and e-commerce shows that the conglomerate premium may be declining even in India. A study by Bain and Co. last year concluded: “Conglomerates in India and Southeast Asia no longer hold an advantage in total shareholder returns over pure plays and have begun to underperform in revenue growth and margin improvement.""
Significantly, the study’s list of conglomerates in the region that have continued to thrive despite the odds had a number of Indian groups, including Bajaj, Wadia, Murugappa, Lalbhai, Godrej, Emami and Torrent, but not Tata.
Sundeep Khanna is an executive editor at Mint and oversees the newsroom’s corporate coverage."
127,2019-03-07,Tata Steel,"Two of the people said the groups would argue that remedies in the areas of electrical and galvanised steel were not neededA spokesman for Thyssenkrupp said the company was in constructive talks with the Commission

Thyssenkrupp and Tata Steel will not go very far in concessions to gain approval for a planned steel venture, four people familiar with the matter said, adding their offer might not be enough to satisfy the European Commission.
The two companies last year struck a landmark deal to combine their European steel units to create the continent's second-largest steelmaker after ArcelorMittal, a move that must be cleared by the European regulators.
While Thyssenkrupp and Tata Steel are working on a remedy package, they are unlikely to make far-reaching concessions, three people familiar with the matter said, increasing the risk of a lengthy tussle with the Commission.
Two of the people said the groups would argue that remedies in the areas of electrical and galvanised steel were not needed.
A spokesman for Thyssenkrupp said the company was in constructive talks with the Commission and that it remained confident that the transaction could be completed in the spring. Tata Steel was not immediately available for comment.
This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
125,2019-03-08,Tata Steel,"Bhushan Power promoter Sanjay Singal—through his counsel—offers ro settle all the dues of the lendersNCLAT directs NCLT to also take a decision over Sanjay Singal's offer to settle Bhushan Power's dues

New Delhi: The National Company Law Appellate Tribunal (NCLAT) Friday directed the Delhi bench of the National Company Law Tribunal (NCLT) to decide on JSW Steel Ltd's bid for the debt-ridden Bhushan Power and Steel Ltd by 31 March.
A two-member NCLAT bench, headed by chairman justice S.J. Mukhopadhaya, has also directed NCLT Delhi to hear the representatives of operational creditors, promoters as well as dissenting banks.
""We expect adjudicating authority (NCLT) to decide the case at an early date to ensure that the matter is decided before the end of this financial year,"" the appellate tribunal said. During the proceedings, Bhushan Power promoter Sanjay Singal through his counsel offered to settle all dues of the lenders.
On this, the appellate tribunal directed NCLT to also take a decision over Singal's offer to settle. ""Liberty is given to adjudicating authority to decide who should be heard as representative of operational creditors or promoters or dissenting financial creditors, if any,"" it said.
On 4 February, NCLAT dismissed Tata Steel Ltd's plea and upheld lenders' decision to approve resolution plan of JSW Steel for Bhushan Power and Steel.
Tata Steel had challenged an NCLT order that allowed Bhushan Power's committee of creditors to accept the resolution plan submitted by Sanjeev Gupta's Liberty House. Tata Steel had contended that NCLT cannot provide numerous opportunities at the belated stage. The NCLAT had said the CoC's decision was well within its rights to negotiate better terms with resolution applicants.
JSW Steel had revised its offer for Bhushan Power from  ₹11,000 crore to  ₹18,000 crore and later to over  ₹19,000 crore, whereas Tata Steel's last offer was at  ₹17,000 crore and it refused to revise its bid."
126,2019-03-09,Tata Steel,"ArcelorMittal, which has been seeking to acquire Essar Steel since 2017, had made a  ₹50,000 crore bid for the bankrupt firmWhile ArcelorMittal welcomed NCLT Ahmedabad's order, Essar Steel says its settlement proposal of  ₹54,389 crore is 'most compelling'

Mumbai: More than a decade after his first abortive bid, steel baron Lakshmi Niwas Mittal moved closer to his plans to enter the Indian steel industry on Friday. Indian-born Mittal’s steel company, ArcelorMittal SA, is the world’s largest by volume but, ironically, doesn’t have a steel plant to its name in India.
After over a year of legal wrangles with bidders, courts and banks, the Ahmedabad bench of National Company Law Tribunal (NCLT) on Friday approved ArcelorMittal’s resolution plan for debt-laden Essar Steel Ltd.
ArcelorMittal, in a joint venture with Japan’s Nippon Steel & Sumitomo Metal Corp., has offered an upfront cash settlement of  ₹42,000 crore to lenders and a  ₹8,000 crore capital infusion. ArcelorMittal is also planning a  ₹18,697 crore capital expenditure programme for the asset till 2024, according to its 2018 annual report.
In its order, the NCLT, however, asked ArcelorMittal to offer 15% of the upfront cash settlement of  ₹42,000 crore, or  ₹6,300 crore, to operational creditors. The original resolution plan only offered  ₹196 crore to operational creditors against claims of  ₹4,976 crore. The NCLT order means financial creditors—the banks—will have to take a deeper haircut on the asset.
The approval comes after the National Company Law Appellate Tribunal (NCLAT) on 28 February directed NCLT Ahmedabad to take a decision on ArcelorMittal’s offer for Essar Steel plan by 8 March.
On 29 January, NCLT Ahmedabad had rejected a full debt settlement proposal of  ₹54,389 crore from the shareholders of Essar Steel. The tribunal ruled that the offer violates Section 12A of the Insolvency and Bankruptcy Code (IBC), which says the promoters can retrieve a company from bankruptcy proceedings by paying full settlement but not after other parties have submitted their expressions of interest.
“We welcome today’s pronouncement by the NCLT Ahmedabad. While we will need to review the full written order once it becomes available, we hope to complete the transaction as soon as possible,"" said a spokesperson for ArcelorMittal.
An Essar spokesperson said: “We continue to believe that our settlement offer of  ₹54,389 crore is the most compelling one available to Essar Steel creditors and fulfils IBC’s declared overriding objective of value maximization, which has been established time and again by courts at all levels. We are also confident of the legal validity of our said offer made under Section 12A, which provides for the withdrawal from the IBC process by making full payment to the creditors. We are awaiting a copy of the NCLT order and will take a call on next steps after examining the same.""
The Essar Steel acquisition will give ArcelorMittal control of India’s largest single-location flat steel mill in Hazira, Gujarat, with a nameplate capacity of 10 million tonnes per annum. However, the plant is operating at much lower capacities and will need significant investment to run at full capacity. The asset also has two iron ore pelletisation plants, at Visakhapatnam and Paradip, and a downstream steel hub in Pune, close to a automobile manufacturing hub.
While ArcelorMittal has proven expertise in turning around sick steel units and driving down costs till the plants turn viable, Essar Steel's turnaround will be its most ambitious yet.
“The Essar Steel plant has always been the highest-cost flat producer in the country,"" Atanu Mukherjee, president at M.N. Dastur and Co., a global metals and energy consultant, said in an interview two weeks ago. “Its products are generally priced at $480-490 a tonne on the cost curve, while competitors JSW Steel and Tata Steel, with much lower costs of production, cash in on high margins as the highest cost producer sets the price ,"" he said.
If ArcelorMittal enters India and sets the sick Essar Steel unit right, it will “flatten the cost curve"" through investments and operations management, thus eating into the margins of competitors. That’s one reason steel producers would prefer a struggling steel plant on India’s western coast rather than one that is up and running, Mukherjee said. “The ensuing competition that ArcelorMittal is going to force on incumbent players could thus be intense,"" he said.
Also read: The great battle for Indian steel
ArcelorMittal is the world’s leading steel and mining company, with a presence in 60 countries and an industrial footprint in 18 countries.
Mittal made several attempts to get his foot in the door in India, notably with projects planned in Odisha and Jharkhand in 2005 and 2006, but none took shape. In 2010, the company signed an agreement with the Karnataka government to set up a 6 million tonne per annum capacity, but the land acquisition process for this project has only just been completed.
The bulk of Essar Steel’s steelmaking capacity is built to run on natural gas. Operations at the plant ran into trouble in March 2011 when the then government changed its gas allocation policy and cut off the supply to the company after categorizing the steel sector to “non-core"" from “priority"". The company has said in the past that it had to bear a loss of approximately  ₹26,000 crore between 2011 and March 2016 due to non-supply of gas.
In May 2017, Essar Steel’s lenders—with the State Bank of India as the consortium leader—had come close to finalizing a restructuring proposal for the company. However, in June, the Reserve Bank of India (RBI) identified the asset as among its ""dirty dozen"" for immediate resolution at the bankrutpcy courts."
124,2019-03-11,Tata Steel,"The proposals were approved in an extraordinary general meeting, chaired by Tata Steel BSL Chairman T V NarendranTata Steel last year acquired Tata Steel BSL, formerly known as Bhushan Steel, through its wholly-owned subsidiary Bamnipal Steel

NEW DELHI :
Tata Steel BSL said on Monday its board has approved an increase in the company's authorised share capital, and given nod for issuance of 11.09% shares to Tata Steel on a private placement basis.
The proposals were approved in an extraordinary general meeting, chaired by Tata Steel BSL Chairman T V Narendran.
The members of the board passed a resolution for an increase in the authorised share capital of the company and consequential amendment of the capital clause in the memorandum of association of the firm, the company said in a regulatory filing to the BSE.
Proposal to ""issue, offer and allot 11.09% non-convertible redeemable preference shares to Tata Steel Ltd, on private placement basis"" was also passed besides plan to ""issue, offer and allot 8.89%  optionally convertible redeemable preference shares to Tata Steel Ltd, on private placement basis"".
Nod was also given for shifting of the registered office of the company from Delhi to Maharashtra.
Tata Steel last year acquired Tata Steel BSL, formerly known as Bhushan Steel, through its wholly-owned subsidiary Bamnipal Steel."
123,2019-03-12,Tata Steel,"Companies are complaining about the endless host of litigation that they face under IBC codeOperational creditors, who are unhappy with the settlements, often stall the insolvency process

Mumbai: Now that two years have passed since the first major acquisitions under Insolvency and Bankruptcy Code (IBC), several players—buyers, investment bankers and dissatisfied creditors—are slowly opening up about what they see as chinks in India's bankruptcy law.
These include repeated litigation—both during and after the process—missing physical assets in plants, the lack of judges and questions over the integrity of promoters of distressed businesses and resolution professionals.
The cracks in the resolution process are evident from the following developments:
■ After acquisition of Monnet Ispat by JSW Steel Ltd in September 2018, operational creditor Bharat Heavy Electricals Ltd (BHEL) and unsecured creditor IFCI Ltd have challenged the resolution plan.
■ The bidders for Amtek Auto and its unit Metalyst Forgings—London-based Liberty House and US-based hedge fund Deccan Value Investors, respectively—are challenging the information provided to them by the resolution professional during the bidding process. While Deccan Value Investors has asked NCLT to cancel its resolution plan, Liberty house has alleged in court that the contents of a forensic audit conducted by EY into Amtek Auto were not revealed to it.
“Often, resolution professionals are ill-equipped to fully oversee operations at companies. In other cases, there are serious integrity issues among resolution professionals and promoters,"" an investment banker said on condition of anonymity. “We know of cases where equipment has been stolen from plants during the resolution process. In some cases, promoters litigate to draw out the resolution process while we hear of money being siphoned away from the company during this period."" 
Mahesh Singh, founder and managing director, Singhi Advisors, said sometimes assets do go missing at the time of closure of the deal. “Buyers should get a chance to do the closing due diligence. Even so, there are legal remedies for when assets are missing because there is always a lag between selling a business and finally getting possession.""
Godrej Group chairman Adi Godrej said: “The bankruptcy code has been very poorly implemented because there have been so many cases of bankruptcy which have not been finalized. We allow them to go from one court to another and then we give them stay order. Our judicial process is very slow. “It (IBC) is not being implemented as well as it could have been. That is not perhaps for lack of trying but it is also our legal system and legislation.""
JSW Steel's joint managing director, M.V.S. Seshagiri Rao said in a recent interview: “Under IBC, once a case in admitted, whatever cases are pending against a company, there is a moratorium on them. But once the resolution plan is approved, all of these spring up again. We are seeing this in several forums, in all companies that have been acquired, not just ours. I think some clarity is required here so winning bidders feel more comfortable that once the settlement is paid, everything else is extinguished.""
The major acquisitions under IBC were those of Bhushan Steel by Tata Steel Ltd; Binani Cement Ltd by UltraTech Cement Ltd; and Monnet Ispat by JSW Steel-AION Capital.
Kalpesh Kikani, managing director and senior partner, AION Capital, said at the Mint Investment Summit in Mumbai on 1 March: “First, the challenge is getting to know what the true price for the asset is. Step 2 is who gets how much among various financial creditors, be it secured, unsecured, secured with guarantee, unsecured with guarantee, and then you have some operational creditors who believe they are equal to financial creditors and others who believe they are better than financial creditors in terms of supplying (goods to a company even during distress). This Stage 2 of who gets how much is an integral part of IBC and will be the subject matter of litigation—and as a bidder this is something we always factor into our bids."""
122,2019-03-13,Tata Steel,"A slowdown in steel demand from auto and real estate sector raises questions on sustained steel production growthThe slowdown in large user industries can make it tough for Indian steel producers to pass on price hikes

After a slow start to the year, steel production in India picked up in February, rising 5.7% from a year ago. Data from the joint plant committee compiled by SBICAP Securities Ltd also shows a healthy growth in steel demand, with consumption increasing by 8.6% last month. However, amid the mounting evidence of demand slowdown in user industries such as automobiles and real estate, questions about the sustainability of the rebound in steel production refuse to go away.
Towards the end of last year, customers had reduced purchases, anticipating a further fall in steel prices. Responding to this, steel producers had tempered production. However, as the turn of the calendar year triggered new purchase cycles at the customers’ end, companies stepped up production. The rebound this time is aided by a disruption in iron ore production in Brazil and a subsequent rise in steel prices. The price rise appears to have prompted restocking by customers.
However, beyond cyclical factors, such as inventory restocking and advance purchases to hedge against the likelihood of a price rise, there is little evidence of a firm rebound in demand. Rather, the slowdown in large user industries can make it tough for the steel producers to pass on price hikes.
The automobiles industry, for instance, is a major user of flat steel products and the slowdown in vehicle sales is resulting in discounts by auto firms to reduce inventories. “Passenger vehicles and two wheelers demand continues to remain weak. Hence, not surprisingly, incentives are back. Channel inventory, which also had been in correction mode, has jumped to 60 days,"" add analysts at Edelweiss Securities Ltd.
The slowdown in project launches in the real estate sector, a user of long steel products, will not help either. Launches in the 12 months to December 2018 are down 10% in the real estate sector, according to Kotak Institutional Equities Research.
The impact can be mitigated by sustained government-led spending in the infrastructure sector. Even so, the subdued demand conditions in key user industries remain a concern. Further, elevated prices of other raw materials such as coking coal, intensify profitability challenges, especially if cost increases are not fully passed on."
121,2019-03-18,Tata Steel,"Nusli Wadia had filed the case in 2016 after he was voted out of the boards of some Tata Group companiesThe court will hear a petition filed by Ratan Tata and other directors of Tata Sons seeking to quash the defamation case against them on 27 March

Mumbai: The Bombay High Court on Monday stayed till 27 March the proceedings before a magistrate court in a 2016 criminal defamation case filed by Nusli Wadia against Ratan Tata and some other directors of Tata Sons.
A single bench of Justice Mridula Bhatkar stayed the proceedings through an interim order.
Justice Bhatkar will now hear a petition filed by Tata and other directors of Tata Sons seeking to quash the defamation case against them on 27 March.
Therefore, Justice Bhatkar directed the magistrate's court to refrain from proceeding with the hearing on the defamation case until then.
In December 2018, the magistrate court had issued notices to Ratan Tata and other directors of Tata Sons in the criminal defamation case filed by Wadia and then posted the matter for further hearing on March 25, 2019.
Wadia had filed the case in 2016 after he was voted out of the boards of some Tata Group companies.
Wadia had claimed that Tata and the others had made defamatory statements against him after they removed Cyrus Mistry on 24 October 2016 as the group chairman of Tata Sons.
Wadia was on boards as independent director of group companies such as Indian Hotels Company that runs the Taj group of hotels, TCS, Tata Motors and Tata Steel, among others.
He was voted out by shareholders at a specially convened general meeting between December 2016 and February 2017.
He said he approached the magistrate's court as he was not satisfied with the explanation the respondents (Tata and others) had given him following his letters to them.
He therefore initiated defamation proceedings against the respondents under Section 500 of the Indian Penal Code.
Wadia is represented in the high court by advocate Abad Ponda.
Ratan Tata and others are represented by former Union Minister P Chidambaram, Congress party leader and senior lawyer Abhishek Manu Singhvi, and others.
All parties present in the high court on Monday had urged the court to stay the proceedings before the lower court until the quashing plea was heard by the court.
This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed"
120,2019-03-20,Tata Steel,"Thyssenkrupp, Tata need more time to work out remediesDeadline for Commission decision now 13 May

FRANKFURT :
 Thyssenkrupp and Tata Steel have agreed with the European Commission to extend a deadline to submit remedies in exchange for regulatory approval for a planned European steel joint venture, Thyssenkrupp said.
The deadline, which sources said was due to expire later on Wednesday, will be extended by eight working days, Thyssenkrupp said. This will move the overall deadline for a decision to May 13 from April 29, the Commission said on its website.
""In the ongoing merger control proceedings the deadline to submit a proposal, through which Thyssenkrupp and Tata Steel will address the Commission's concerns, is imminent,"" a spokesman for Thyssenkrupp said in e-mailed comments.
""To adequately draw up the proposal the partners have agreed to apply for an extension by 8 working days as part of the constructive dialogue with the Commission.""
Thyssenkrupp confirmed it remains confident that the transaction, which will create Europe's second-largest steelmaker after ArcelorMittal, can be completed in the spring.
Sources told Reuters this month that the companies are unlikely to make far-reaching concessions that will jeopardise the economic and strategic rationale of the deal. 
This story has been published from a wire agency feed without modifications to the text."
