,Date,Company,Article
83,,Tech Mahindra,
82,2018-01-16,Tech Mahindra,"Tech Mahindra shares opened on a bullish note at Rs548.10, then surged 3.20% to touch a high of Rs561.35 on the BSE

New Delhi: Shares of Tech Mahindra Ltd on Tuesday surged more than 3% to its 52-week high in morning trade after the IT major said it has partnered with Israel’s ContextSpace for cybersecurity.  
New Delhi: Shares of Tech Mahindra Ltd on Tuesday surged more than 3% to its 52-week high in morning trade after the IT major said it has partnered with Israel’s ContextSpace for cybersecurity. 
Shares of the company opened on a bullish note at Rs548.10, then surged 3.20% to touch a high of Rs561.35 on the BSE. On the NSE the stock opened at Rs548, then jumped 3.26% to a high of Rs561.50. 
Tech Mahindra on Monday announced its partnership with Israeli firm ContextSpace Solutions to develop the world’s first global software privacy ecosystem, MyData Shield. Besides, it has also launched ‘Tech Mahindra NxT’ to power start-ups in Israel, under which it will engage with 20 firms. 
Tel Aviv, Israel’s financial and technological hub, will be the nerve centre for the programme and will focus on creating collaborative solutions across cyber security, fintech, mobility, artificial intelligence and data analytics. Besides, the initiative will also mentor and help accelerate growth for start-ups by availing ready infrastructure and market know-how."
81,2018-01-18,Tech Mahindra,"BSE IT index trades with gains of 1.54% at 12,213.70, while major IT firms like Infosys, TCS, HCL and Tech Mahindra register gains of as much as 3% on the BSE

New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains. 
New Delhi: Shares of information technology (IT) companies surged in the morning trade even as the broader market was trading with marginal gains.
The BSE IT index was trading with gains of 1.54% at 12,213.70. It touched a high of 12,272.23 points. The BSE Teck index also surged to a high of 6,820.44, registering a jump of 1.61% in morning trade. The index was quoted at 6,784.92, up 1.08% at 10.52am. Meanwhile, the 30-share benchmark index Sensex was trading with gains of 0.35% at 34,891.41 points.
The leading IT companies like Infosys, Tata Consultancy Services (TCS), HCL Technologies and Tech Mahindra registered gains of as much as 3% on the BSE.
Infosys surged 3.30% to touch a 52-week high of  ₹ 1,160, registering a surge in its shares price for the eighth consecutive session. TCS also hit a new high of  ₹ 2925.00. Similar was the case HCL Technologies also which touched its 52-week high of  ₹ 962.70. Meanwhile, shares of Tech Mahindra touched a high of  ₹ 64, up 1.11% over its previous closing price.
Morgan Stanley in a research note has said that the Indian IT services stocks are set for a turnaround in 2018 as recovery in spending is “imminent"". According to the global financial services major, a turnaround in IT spending could quickly turn sentiment on these stocks. Though the sector faces risks from automation and a slower pace of market share gains from global vendors, a cyclical rally could be in the offing, it added."
80,2018-01-29,Tech Mahindra,"HDFC, RCom, Tech Mahindra are some of the major companies that will release their Q3 earnings today

Asian markets gain in morning trade 
Asian markets gain in morning trade
Asian markets gained in morning trade as investors bet on corporate earnings. Over the weekend, the US markets closed sharply higher. S&P 500 at 2,872 points is up 1.18%.
Reliance Jio to raise up to $2.2 billion debt to fund RCom deal
Reliance Jio Infocomm Ltd, a unit of Reliance Industries Ltd, will raise as much as $2.2 billion in foreign currency debt to fund the purchase of Reliance Communications Ltd (RCom)’s wireless assets, reports Mint.
Tata Power CEO may resign 
Tata Power Co. Ltd chief executive officer Anil Sardana may leave the company, reports The Economic Times. According to the report, Sardana is seeking growth opportunities outside the group.
Two firms vie to buy Educomp Solutions
Ebix and a London-based investor are competing to buy debt-laden Educomp Solutions Ltd after they submitted binding offers for the company on Saturday, reports The Economic Times.
JSW Steel may offer Rs30,000 crore for Bhushan Steel
JSW Steel Ltd is expected to double its bid value for debt-laden Bhushan Steel Ltd to up to Rs30,000 crore, reports PTI. The last date to submit the bids now is 3 February 2018, the report adds.
SBI may seek fresh bids to select IRPs for Videocon firms
State Bank of India (SBI) will invite new bids to select interim resolution professionals (IRP) for Videocon Industries Ltd and Videocon Telecommunications Ltd, reports Mint.
Indian Hotels looks to enter branded homes business
Indian Hotels Co. Ltd (IHCL), the operator of the Taj chain of hotels, is looking to enter the branded homes business, following the example of global companies that lend their brands and provide hospitality services to luxury homes, reports Mint.
HDFC, RCom, Tech Mahindra earnings today
Emami Ltd, HDFC Ltd, Reliance Communications Ltd (RCom), Tech Mahindra Ltd and Wockhardt Ltd are some of the companies that will release their earnings for the December quarter on Monday."
79,2018-01-29,Tech Mahindra,"In dollar terms, Tech Mahindra's profit grew 16.5% to $147 million while revenue was up 8.3% to $1.2 billion over the year ago period

New Delhi: IT services firm Tech Mahindra on Monday reported 10.2% rise in consolidated net profit to Rs943.1 crore for the third quarter ended December 2017.  
New Delhi: IT services firm Tech Mahindra on Monday reported 10.2% rise in consolidated net profit to Rs943.1 crore for the third quarter ended December 2017. 
The firm had registered a net profit of Rs856 crore in the corresponding quarter of the last fiscal, Tech Mahindra said in a statement. The consolidated revenue stood at Rs7,776 crore in the quarter under review, up 2.9% from Rs7,557.5 crore in the year-ago period, as per Indian Accounting Standards. The earnings per share stood at Rs10.73 for the December quarter. 
“Our focus on digital transformation, continuous reskilling of our workforce to meet the future demands of our market space is showing encouraging results,"" Vineet Nayyar, vice chairman of Tech Mahindra said. He said that the results also demonstrated the company’s focus on execution, that is key in an “otherwise unpredictable macro business environment"".
On sequential basis, net profit was up 12.8% while the revenue was up 2.2%. In dollar terms, the company’s profit grew 16.5% to $147 million while revenue was up 8.3% to $1.2 billion over the year ago period. The company added 18 active clients compared to the trailing September quarter, taking the active client count to 903 at the end of December 2017. 
Its total headcount was at 1,15,241 people. C.P. Gurnani, chief executive officer (CEO) and managing director (MD) of Tech Mahindra, said: “We have continued to clock steady growth in the quarter across revenue, profits and new business. Our commitment to ‘DAVID’ strategy (Digitisation, Automation, Verticalisation, Innovation, Disruption) has yielded marquee deals in the digital space""."
78,2018-01-30,Tech Mahindra,"Tech Mahindra's earnings before interest and tax margins increased 1.8 percentage points sequentially to 12.8%, significantly ahead of Street estimates

Tech Mahindra Ltd’s shares have done rather well in the past year despite an unexpected hit to its profitability in the fourth quarter (Q4) of FY17. As the company embarked on a cost rationalization exercise to salvage the situation, the stock gained 29% over the last one year. The December quarter (Q3) results should help support this optimism. 
Tech Mahindra Ltd’s shares have done rather well in the past year despite an unexpected hit to its profitability in the fourth quarter (Q4) of FY17. As the company embarked on a cost rationalization exercise to salvage the situation, the stock gained 29% over the last one year. The December quarter (Q3) results should help support this optimism.
The company has seen a sharp recovery in profitability. Ebit (earnings before interest and tax) margin increased 1.8 percentage points sequentially to 12.8%, significantly ahead of Street estimates. Margins are now back to pre-March 2017 levels (see chart).
According to Milind Kulkarni, chief financial officer at Tech Mahindra, three factors helped the company report a better margin. One is the improvement in the utilization level, which rose from 81% in Q2 to a record 83%. Another is the improvement in performance of the firms it acquired some time ago. The third reason is the reduction in low- yield business. What’s more, Kulkarni expects the trajectory in margin improvement to sustain. The company plans to continue discarding low-yield business and to use automation to further optimize employee utilization levels.
Another set of reasons for investor optimism comes from the management commentary. Kulkarni dubs the current demand environment to be materially better than a year ago, in line with the commentary given by the company’s larger peers, although different from their business performance in the just concluded quarter.
The mainstay communications business, which generates about 42% of Tech Mahindra’s revenue, remains sluggish, barely seeing any growth. But thanks to better performance in other business verticals, notably technology, the overall sequential revenue growth in US dollar terms stood at 2.5% in Q3. Kulkarni expects the communications vertical to recover this year, which should push up overall growth rates.
If indeed the improvement in profitability continues, then the stock can rerate, says Sanjeev Hota, analyst at Sharekhan Ltd. While the commentary should please investors, one factor investors need to be wary of is employee reduction.
As an analyst with a domestic broking firm points out, the headcount of software professionals is now down a good 10% from the March quarter. The sharp drop can impact the company in two ways. One is employee morale, the other being cost. If the business environment has to improve as projected, Tech Mahindra may have to pay a premium to scale up its employee base, says the analyst. 
Tech Mahindra’s Kulkarni, on the other hand, says headcount has no direct correlation to the revenue growth trajectory because of automation and other changes. The ramp-up in headcount may lag, but scaling up should not be a problem, he avers.
While one cannot accurately analyse this risk now, Tech Mahindra investors would do well to keep a watch on this trade-off, if any."
77,2018-01-30,Tech Mahindra,"In other news, Q3 net profits of HDFC and Tech Mahindra surge, while Tata Power CEO and MD Anil Sardana resigns

US stocks end lower; Asian markets see a weak opening 
US stocks end lower; Asian markets see a weak opening
US stocks posted the biggest drop of this young year after the 10-year treasury yield shot higher, raising concerns higher interest rates would snuff out the bull market.
Asian indices traded moderately lower early on Tuesday, tracking declines seen on the Wall Street in the previous session.
Indian economy expected to grow at 7-7.5% in FY19: Economic Survey
The Indian economy is expected to expand at 7-7.5% in the next financial year, 2018-19, the Economic Survey 2017-18, presented by finance minister Arun Jaitley in Parliament on the first day of the Budget session, said.
Reliance Jio to raise up to $2.2 billion debt to fund RCom deal
Reliance Jio Infocomm Ltd will raise as much as $2.2 billion in foreign currency debt to fund the purchase of Reliance Communications Ltd (RCom)’s wireless assets. Read more
HDFC Q3 net profit surges 233% to Rs5,670.21 crore
Mortgage lender Housing Development Finance Corp. Ltd reported a 233% jump in its net profit in the December quarter to Rs5,670.21 crore from Rs1,701.21 crore a year ago.
Tech Mahindra Q3 net profit up 10% to Rs943 crore
IT services firm Tech Mahindra reported 10.2% rise in consolidated net profit to Rs943.1 crore for the third quarter ended December 2017.
Tata Power CEO and MD Anil Sardana resigns
Tata Power’s chief executive officer (CEO) and managing director Anil Sardana has resigned due to personal reasons, effective 30 April, the company said.
Sebi weighs tighter norms to protect market liquidity
India’s market regulator is weighing options to direct stock exchanges to either stop offering securities-related data feed services to entities trading on bourses abroad, such as the Singapore Stock Exchange (SGX), or levy high additional fees on the traders. Read more
Rs400 crore land deal is final, Unitech tells Supreme Court
Realtor Unitech Ltd informed the Supreme Court that it had finalized a Rs400 crore deal for the sale of two land parcels in Chennai that would enable it to complete unfinished projects and refund buyers.
Earnings corner
Bharat Financial Inclusion, IOC, Reliance Power and TVS Motors are among the companies that will be announcing their December quarter earnings on Tuesday."
76,2018-02-08,Tech Mahindra,"Cognizant, DXC Technology, Wipro and Tech Mahindra, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people

Bengaluru: Cognizant Technology Solutions Corp., DXC Technology Co., Wipro Ltd and Tech Mahindra Ltd have reported that their workforce has shrunk in 2017, an event that has no parallel in the two-decade history of the information technology industry in India.  
Bengaluru: Cognizant Technology Solutions Corp., DXC Technology Co., Wipro Ltd and Tech Mahindra Ltd have reported that their workforce has shrunk in 2017, an event that has no parallel in the two-decade history of the information technology industry in India. 
Notwithstanding that fact, the companies have denied that they have laid off employees in this period.
These four firms, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people (see table). Cognizant, Wipro and Tech Mahindra together saw a net decline of 3,677 people, after having added over 55,000 people in 2016. DXC, which was formed last year from the merger of Hewlett-Packard’s enterprise-services division with Computer Sciences Corp., reported the largest decline in workforce, dropping from 178,000 people in January to 155,000 by the end of September, the latest quarter for which numbers are available.
Although Tata Consultancy Services Ltd, Infosys Ltd and HCL Technologies Ltd have managed to increase their workforce, the number of people let go by the largest companies is higher than the decline in workforce suggests as they all continued to hire young engineers.
These seven largest companies employed 1,404,656 people at the end of December. That compares with the 1,408,823 they employed in January, a net decline of 4,167 in 2017, after having added more than 103,000 people in 2016.
Until 2017, not a single large IT outsourcing company has ever seen its headcount decline, and starting 1996, year after year, for more than two decades, all companies managed to keep adding to their workforce until the industry hit a perfect storm last year. 
These companies’ traditional approach of deploying armies of engineers to manage computers or offering customer support to clients and client-run businesses was getting commoditised and increasingly disrupted by the embrace of smart automation tools. Business from areas generally classified as social, mobile, analytics, cloud and Internet of Things—all of which is clubbed under the fuzzy word Digital—is on the rise, although it is still less than a fourth of total revenue at home-grown IT firms.
A fallout of this shift is that the world has become digital, and the IT outsourcing companies haven’t (at least, not enough), reflecting their under-preparedness in adapting to newer technologies. US President Donald Trump’s protectionist policies have also forced these companies to hire more Americans.
Since the industry now is the largest job creator, employing 3.9 million people, fewer jobs at the largest companies is worrying news not just for the companies but for the country as a whole.
Many experts feel that the industry will see a further reduction in headcount in the years ahead.
“The global IT and BPO services industry employs 16 million workers today. By 2022, our industry will employ 14.8 million—a likely decrease of 7.5% in total workers,"" Phil Fersht and Jamie Snowdon, analysts at US-based HfS Research, an outsourcing-research firm, wrote in a 3 February note. “This isn’t devastating news—we’ll lose this many people through natural attrition, but what this data signifies is this industry is now delivering more for less because of advantages in automation and artificial intelligence."""
75,2018-02-17,Tech Mahindra,"Zoomcar will use the funding from Mahindra and others for accelerating marketplace supply growth, improving IoT technology capability and for expansion across India

Bengaluru: Self-drive car rental start-up Zoomcar India Pvt. Ltd has raised $40 million in a Series C funding round led by automobile maker Mahindra and Mahindra Ltd (M&M), the company said in a statement on Friday.  
Bengaluru: Self-drive car rental start-up Zoomcar India Pvt. Ltd has raised $40 million in a Series C funding round led by automobile maker Mahindra and Mahindra Ltd (M&M), the company said in a statement on Friday. 
Existing investors, including Ford Smart Mobility, Sequoia Capital, Empire Angels, Nokia Growth Partners and others also participated in the round.
Zoomcar will use the fresh capital primarily for accelerating its marketplace supply growth, improving its IoT (Internet of Things) technology capability and for expanding across India. The company lets users book vehicles and make payments online. Users have to locate a Zoomcar car lot within their locality to pick up the vehicle. It also offers doorstep delivery of the rented vehicle.
The firm had also launched an associate programme in April 2016, which allowed people to lease their own cars to its platform under a revenue-sharing model. Zoomcar charges a 25% commission on revenue that its associates make. 
Mint reported in November that Zoomcar was in talks to raise money from new and existing investors. It was also running an electric vehicle (EV) pilot in Mysore through a tie-up with M&M. It plans to launch 500 more EVs across 20 cities in the coming months.
The firm raised $24 million in Series B round in August 2016 led by Ford Smart Mobility, and another $21 million in two tranches between October 2014 and July 2015, from Sequoia Capital, Empire Angels and T.V. Mohandas Pai among others. This takes Zoomcar’s funding till date to $85 million.
Zoomcar has a customer base of more than two million. It had started shifting to a marketplace model last year and said that it would sell all vehicles in its fleet over time. The company said that its marketplace model currently accounts for 25% of its total 3,000-vehicle fleet, which is a mix of company-owned vehicles and those leased from third parties.
In October 2017, Zoomcar introduced a new bike-sharing service named PEDL, which currently operates across 10 cities with a fleet of more than 3,000 cycles. The service claims to complete nearly 15,000 rides per day. With the fresh funding, the company also expects to increase its cycle count and plans to expand across more than 75 cities by the year-end. 
“We’re incredibly excited to welcome the Mahindra team on board for this next phase of growth within the Indian self-drive mobility space. Our collaboration with Mahindra dates back to 2013 when we kicked off in Bangalore. Most importantly, Mahindra shares Zoomcar’s vision for multi-modal urban mobility and we look forward to leveraging their diverse platform to help accelerate the transformation to a shared, electric mobility future for India,"" Greg Moran, co-founder and chief executive of Zoomcar, said in a note.
For the year ended March 2017, Zoomcar reported a loss of Rs100.4 crore, which narrowed down from Rs101.4 crore in FY16. Total revenue grew 35% to Rs121.2 crore from Rs89.82 crore in FY16."
74,2018-02-25,Tech Mahindra,"Tech Mahindra has set up a lab in Bengaluru in association with US chipmaker Intel as part of its preparedness for 5G services expected to be rolled out by 2019

Hyderabad: Tech Mahindra has set up a lab in Bengaluru in association with US chipmaker Intel as part of its preparedness for 5G services expected to be rolled out by 2019, said a top executive of the IT firm.  
Hyderabad: Tech Mahindra has set up a lab in Bengaluru in association with US chipmaker Intel as part of its preparedness for 5G services expected to be rolled out by 2019, said a top executive of the IT firm. 
The Department of Telecom (DoT) expects to finalise a road map for the services by June this year. C P Gurnani, CEO and Managing Director of Tech Mahindra, said the company has already re-skilled about 30,000 of its employees in handling emerging technologies. 
The remaining 75,000 employees will be re-skilled by the end of the current calendar year, he said. “In our case, the key drivers (for future growth) are clearly 5G roll out if it happens in 2019. We will see better capex spending in telecom,"" he said. 
“We have set up a lab with Intel in Bengaluru. We have set up labs with other companies also. You don’t learn swimming by practicing on the beach. So we are working on software-defined networks. “We are getting ready for the (5G) roll out,"" Gurnani told PTI on the sidelines of the just concluded World Congress of Information Technology 2018 here. 
According to him, the company employees are in the process of acquiring required skill sets and getting ready for pilot phases to be rolled out soon. “A large delegation of Tech Mahindra is going to the World Mobile Congress in Barcelona (staring from 26 February) and intense discussions have been planned around 5G roll out,"" he said, without elaborating on the time-frame for pilot projects on the new mobile phone technology. 
“It (re-skilling of employees) will remain a big focused area. I am already done with 30% to 35% (of the employees), (but) there is a lot more to be done. “Within this calendar year (2018), the remaining (70%) will be done,"" he added. 
Declining to reveal specific recruitment plans, the TechM CEO said the IT industry may witness 4% growth in hiring if the industry expands at 8% per annum for the next two years. “I am giving a back of the envelop calculation. I don’t think it (hiring) will become stagnant,"" said Gurnani, whose company currently has 1.05 lakh employees. Referring to the IT industry’s apex body Nasscom’s projections, he said 7 to 9% expansion of the sector during the next fiscal will be a “very good growth""."
