,Date,Company,Article
75,,Titan,
74,2018-01-02,Titan,"The quarter started off on a good note for all jewellers after the government removed the industry from the purview of the reporting requirement under the Prevention of Money Laundering Act (PMLA) on 6 October

Bengaluru: Titan Co. Ltd Tuesday said its main business segments—jewellery and watches—performed well in the October-December festive season quarter. 
Bengaluru: Titan Co. Ltd Tuesday said its main business segments—jewellery and watches—performed well in the October-December festive season quarter.
Traditionally, September-December yields the largest revenue for Titan since both Dussehra and Diwali fall during this period and the festive season did not disappoint this year either, the company said in a filing with the BSE.
The quarter started off on a good note for all jewellers after the government removed the industry from the purview of the reporting requirement under the Prevention of Money Laundering Act (PMLA) on 6 October.
Under the earlier PMLA provisions, any sale of gold above Rs50,000 required customers to furnish PAN (permanent account number) or Aadhaar. The change in the provisions sparked a surge in sales at Titan’s flagship Tanishq jewellery stores just in time for the festive season, the company said.
The jewellery segment—the largest revenue contributor—clocked double-digit retail growth over the festival dates in the previous year. The 2016-17 festive season, according to Titan, was one of the best in the company’s history with Dussehra and Diwali falling in the same quarter. 
Revenue at Titan’s jewellery business grew 15% during October-December 2016-17, i.e. Q3 2016-17.
Although Dussehra was in September this year, retail growth in the jewellery segment has been healthy and in line with management expectations in Q3 2017-18, Titan said. But primary growth in the quarter was lower due to a higher franchisee billing of about Rs250 crore that happened towards the end of the previous quarter.
Still, Tanishq continued to gain market share with special collections like ‘Padmavati,’ launched in association with the movie of the same name, performing exceptionally well in terms of sales. The company also launched a men’s jewellery sub-brand under Tanishq called ‘Aveer’ in the last quarter.
Titan’s watches segment posted healthy same-store-sales growth in Q3 2017-18 across all retail formats and its end-of-season sale, which began towards the end of the quarter, is expected to boost sales further. The watches business also benefited from a regulatory change during the period, with the government lowering the goods and service tax (GST) rate on the category to 18% from 28%.
The government also reduced the GST rate on sunglasses to 12% from 18% during the quarter and Titan’s watch and eye wear divisions have corrected prices accordingly. Still, the company’s sunglasses business continued to underperform as distributors and dealers remain wary about stocking the category due to changes in the GST rate. However, the prescription eye wear business continued to grow at a healthy pace, Titan said."
73,2018-02-01,Titan,"Titan reports a 21.26% jump in net profit to Rs281.61 crore for the fiscal third quarter as all three key business segments were buoyed by festive season sales

Bengaluru: Watches and accessories maker Titan Co. Ltd reported a 21.26% jump in net profit to Rs281.61 crore for the fiscal third quarter as all three key business segments were buoyed by festive season sales. 
Bengaluru: Watches and accessories maker Titan Co. Ltd reported a 21.26% jump in net profit to Rs281.61 crore for the fiscal third quarter as all three key business segments were buoyed by festive season sales.
Revenue rose 7.40% to Rs4,296.16 crore from the year ago for the October-December quarter, the company said in a filing with the BSE on Thursday. Net profit increased to Rs281.61 crore from Rs232.23 crore in the same period last year.
“The third quarter was an eventful quarter with suspension of the applicability of PMLA, favourable to our jewellery business and reduction of GST rates for watches, sunglasses and optical frames. All our businesses recorded good sales in the festival season,"" said Bhaskar Bhat, Titan’s managing director, in a statement.
The government had initially issued a notification under the Prevention of Money Laundering Act (PMLA) that any sale of gold above Rs50,000 required customers to furnish their PAN (Permanent Account Number) or Aadhaar details to the jeweller. But on 6 October it rolled back this notification and there is no need to furnish such details anymore. That lent a boost to the jewellery industry.
Sales at Titan’s jewellery business segment, retailed mainly under the Tanishq brand name, were up 8% at Rs3,569.86 crore. That growth rate is slower on a sequential basis, though, with the segment having grown 36.9% in the July-September quarter.
Titan’s watches segment earned revenue of Rs535.46 crore in the third quarter, a growth of 4.47% over the same period last year. But the company said those numbers were not comparable as its income included excise duty last year as compared with the goods and services tax (GST) this year.
Revenue at its eyewear division—retailed under the Titan EyePlus brand—declined marginally to Rs90.37 crore during the quarter from Rs90.65 crore a year ago.
“It was an extraordinary quarter with the company registering record levels of profits. Many new products were launched by all our brands during the quarter. Our effort continues to be one of generating demand through new product introductions and network expansion,"" Bhat said.
Titan opened 166 new stores in the nine months to December, taking its store count to 1,439 as of 31 December.
On Thursday, Titan shares closed 4.34% lower at Rs831.30 on BSE, while the Sensex ended 0.16% down at 36,906.66 points."
72,2018-02-06,Titan,"Titan is one of the darlings on the bourses, what with a mouth-watering 74% appreciation so far this fiscal despite the losses in the last three trading sessions

The Titan Co. Ltd stock closed 4% lower on 1 February on BSE. The company’s December quarter results, which missed expectations, were announced a few minutes before the equity markets shut that day. The overall pressure on broader markets ensured that Titan shares fell a further 3.3% in the last two trading days. 
The Titan Co. Ltd stock closed 4% lower on 1 February on BSE. The company’s December quarter results, which missed expectations, were announced a few minutes before the equity markets shut that day. The overall pressure on broader markets ensured that Titan shares fell a further 3.3% in the last two trading days.
Titan is one of the darlings on the bourses, what with a mouth-watering 74% appreciation so far this fiscal year despite the losses in the last three trading sessions. Undoubtedly, valuations at 49 times expected earnings for FY19, based on Bloomberg data, are pricey.
Market share gains from the unorganized sector and healthy demand for its flagship jewellery business have kept the shares in favour. “Titan has witnessed market share gains consistently over the past few quarters, growing by over 30% in the months of November and December,"" wrote analysts from Emkay Global Financial Services Ltd, commenting on the jewellery business. The brokerage firm believes that new launches, store expansion and sustained increase in market share will drive sales growth by 22% compound annual growth rate over FY17-20E.
It is encouraging that Titan has maintained its jewellery segment revenue growth guidance at 25% for FY18 despite weaker-than- expected numbers for the December quarter. The company’s jewellery business faced a high base, as the festival season in the December 2016 quarter was a strong one with Dussehra and Diwali falling in the same quarter.
On a consolidated basis, jewellery revenues rose by 8% year-on-year for the December quarter. This pales in comparison to the 37% growth in the September quarter and a far higher 56% growth in the June quarter. Primary jewellery sales growth was slower, as primary billing was much higher towards the end of the September quarter in anticipation of the festive season. However, retail sales growth at 15% wasn’t disappointing given the high base.
Titan’s second key business—of watches—delivered a satisfactory performance. While watch revenue growth was 4.7%, the company said that if figures were restated for excise duty corrections, the growth in the quarter comes to 11%.
Overall, gross margin improvement and better operating efficiencies resulted in 21% net profit growth in the December quarter.
In future, investors should watch the extent of market share gains. Nevertheless, the sharp outperformance in the Titan stock vis-à-vis the benchmark Sensex suggests the price reflects most of the optimism."
71,2018-03-07,Titan,"Titan-owned jewellery brand Tanishq rolls out  a digital campaign urging women to follow their dreams, ahead of the International Women's Day on 8 March

New Delhi: Titan Ltd-owned jewellery brand Tanishq has rolled out an inspirational campaign urging women to follow their dreams, ahead of the International Women’s Day on 8 March. 
New Delhi: Titan Ltd-owned jewellery brand Tanishq has rolled out an inspirational campaign urging women to follow their dreams, ahead of the International Women’s Day on 8 March.
The spot, made by advertising agency Lowe Lintas, features a middle-aged lady who is introduced as a successful chief executive of a company choosing to go back to college.
The larger narrative is hinged on women refusing to let age, circumstances or their family backgrounds make decisions for them. In the meantime, the brand also manages to use the self-aware women ploy to position its solitaire category as individual purchase, urging women to buy solitaires for themselves.
Interestingly, the solitaire has so far been positioned as mostly for gifting purchase category. Last year, Tanishq created two advertising campaigns. One in which a young man is seen proposing to his girlfriend with a solitaire ring and another which shows a husband surprising his wife with a solitaire ring on their anniversary. 
Tanishq, which sells solitaires at a starting price of Rs54,000, in its new ad, asks women to buy solitaires for themselves through its “My Solitaires"" campaign. 
“With this film we target progressive, career oriented women who have achieved something in their life by following their heart and doing things which they really want to do. A Tanishq Solitaire is a marker of their success for everything they’ve achieved, and still keep going. More and more women are indulging in buying jewellery because they are financially independent and believe in indulging themselves,"" said Deepika Sabharwal Tewari, associate vice-president, marketing, jewellery division at Titan Co. Ltd.
The campaign is being promoted across digital and social media platforms.
“It takes great courage to change the course of your life after a certain point, but we’re noticing a lot of women doing it. After all, ambition has no age, and this film is an ode to every such woman, who’s slowly and steadily turning into the woman she’s always wanted to be,"" said Rajesh Ramaswamy, executive director, Lowe Lintas.
Noting that the well-executed campaign targets women who are finding their individuality every day, Saurabh Uboweja, brand expert and chief executive of brand consulting firm Brands Of Desire, said that self buying is not a new category. “In fact, a large number of women have been buying gold jewellery for themselves. However, I must add that owning a platinum or diamond jewellery has become a style statement. I think self-belief is a new category where women make choices that are driven by self interest. The campaign borrows from this new found self-belief and resonates well with the target audience of the brand. I still think solitaire is mostly dominated by engagement rings which will continue to be a major category,"" he added.
Sanjay Sarma, co-founder and chief executive of Design Worldwide, an integrated strategic branding and creative solutions company, said the campaign is a sign of women expressing their individuality as well as a cue to where the society is heading. “Women are no longer romanticising life and neither are they waiting for a man to gift them what they want. I believe, as disposable income of women rises, brands are changing the way they speak to their women consumers and this campaign reflects that. I won’t be surprised if we see housing companies urging women to buy their homes,"" he said."
69,2018-03-26,Titan,"In other news, Indiabulls to sell stake in assets to Blackstone at enterprise valuation of Rs9,500 crore, while ONGC may buy out GAIL in OPaL

US stocks end lower; Asian markets see a subdued opening  
US stocks end lower; Asian markets see a subdued opening 
US stocks fell sharply on Friday, adding to their steep weekly losses, as investors assessed the possibility of a trade war brewing between the US and China. 
Asian markets traded lower on Monday, following a global sell-off late last week amid fears that rising tensions between the US and China could lead to a full-blown trade war.
GST: Firms fear income tax dispute over input tax credits
Indian companies fear that input tax credit claimed for GST paid on raw materials may be disputed by tax officials later and are considering setting aside funds to cover risks arising from rejection of their claims.
IndiGo, SpiceJet report smooth transition to T2 of Delhi airport
IndiGo and SpiceJet shifted partial operations to Terminal 2 (T2) of the Indira Gandhi International Airport in the national capital, with both airlines reporting on time departure of flights and smooth operations.
Legal experts differ over eligibility of Arcelor Mittal’s bid for Essar Steel
Legal experts have differed over the eligibility of ArcelorMittal India Pvt. Ltd’s bid for Essar Steel Ltd, according to the minutes of the meeting held by the committee of creditors (CoC) of the distressed steel maker. Read more
PNB plans to stake claim in bankruptcy proceedings of Nirav Modi’s Firestar Diamond
Punjab National Bank (PNB) plans to take part in the bankruptcy proceeding of Firestar Diamond, a group company of jewellery designer Nirav Modi who has been accused of defrauding the state-run bank of nearly Rs13,000 crore.
Tanishq will gain from churn in jewellery sector, says Titan’s Bhaskar Bhat
With scams and frauds tainting jewellers, Titan Co. Ltd believes the time is just right for its Tanishq brand to burnish its clean image, scoop up market share and boost overall growth.
Indiabulls to sell stake in assets to Blackstone at enterprise valuation of Rs9,500 crore
Indiabulls Real Estate Ltd has executed definitive transaction documents with global private equity investor Blackstone Group Lp to divest 50% stake in subsidiaries Indiabulls Properties Pvt. Ltd and Indiabulls Real Estate Co. Pvt. Ltd at an aggregate enterprise value of Rs9,500 crore.
ONGC may buy out GAIL in OPaL
State-owned Oil and Natural Gas Corp. (ONGC) may buy out gas utility GAIL India Ltd in its Dahej mega petrochemical project in Gujarat to take full control of the recently commissioned plant built by ONGC Petro-additions Ltd (OPaL)."
70,2018-03-28,Titan,"Titan will benefit because the impact on consumer sentiment is they want to go to a safe haven like Tanishq, says Titan MD Bhaskar Bhat

Bengaluru: With scams and frauds tainting jewellers, Titan Co. Ltd believes the time is just right for its Tanishq brand to burnish its clean image, scoop up market share and boost overall growth. 
Bengaluru: With scams and frauds tainting jewellers, Titan Co. Ltd believes the time is just right for its Tanishq brand to burnish its clean image, scoop up market share and boost overall growth.
The watches and accessories firm is planning to open 44 new Tanishq stores in 2018-19, marking one of its fastest expansion plans to date for the brand. Titan sells a majority of its jewellery under its Tanishq brand of stores, its largest revenue earner, whose footprint stood at 240 stores as of February. 
“When there is suspicion, the industry suffers. Titan will benefit because the impact on consumer sentiment is they want to go to a safe haven, as in a safe place to buy, like Tanishq. They want to buy clean gold rather than buy gold in cash,"" Titan’s managing director Bhaskar Bhat said in an interview. 
In February, India’s second-largest state-run lender Punjab National Bank (PNB) said it had been defrauded of about $2 billion by two jewellery groups, one controlled by billionaire jeweller Nirav Modi and the other by his uncle Mehul Choksi. 
On Wednesday, there were reports that the Central Bureau of Investigation (CBI) has unearthed another bank fraud to the tune of Rs824.15 crore—this time involving Chennai-based jewellery chain Kanishk Gold Pvt. Ltd. 
The scandals have already been hurting India’s jewellery sector, with banks tightening the reins when it comes to lending to jewellers. Consumer sentiment has also taken a hit. 
Of 25 firms that trade in gems and jewellery on BSE, only six have been trading in the green from 13 February until 22 March. Among them, the biggest losers are Gitanjali Gems and Lypsa Gems, whose shares have lost 83.85% and 41.13%, respectively during the period. In contrast, Titan has gained 9.96% during the same period. 
“We do believe these kinds of events will happen in jewellery very often because of the nature of that beast. The government will get more and more interventionist and we have to deal with that,"" Bhat said. 
Analysts agreed that if there is any company that stands to gain in this period of turmoil, with consumers desperate for safe bets, it is Titan with its Tata Group backing. 
“People will be more sceptical and consumers will be more alert and they will prefer going to larger brands rather than going to a local player and getting some extra discount,"" said Sameer Deshmukh, analyst at Reliance Securities Ltd. 
To be sure, Titan is not the only one that could gain. Jewellery firms like PC Chandra, Raikars, Malabar Gold, Joy Alukkas, GRT and others with strong brand presence, albeit in a more regional way, are also in a position to take advantage.
Titan has also made it more attractive for consumers to come and exchange their gold jewellery in the past month or so. The company used to charge consumers 8% earlier to melt down impure gold jewellery earlier but it has brought that rate down drastically, Bhat said. The company’s Golden Harvest Scheme (GHS) is another avenue through which it is attracting customers, with the scheme contributing to under 20% of overall sales.
“Network expansion is definitely important because there is a limit up to which existing stores can grow and their distribution is still quite thin. Forty-four new stores is aggressive. If they do it, nothing like it, but they have overpromised on expansion in the past,"" Deshmukh said.
Of Titan’s Rs12,717 crore revenue in 2016-17, about Rs10,237 crore was from sales of jewellery. Within that, gold accounted for over 70% of sales, protecting Titan from any possible fallout in terms of consumer demand for diamonds.
Ashwin Ramarathinam contributed to the story."
68,2018-04-02,Titan,"JM Financial initiates coverage on Avenue Supermarts, the parent of supermarket chain D-Mart, with a buy rating as it sees 28% upside in the stock

Mumbai: JM Financial Institutional Securities Ltd said on Monday it is initiating coverage on Avenue Supermarts Ltd, the parent of supermarket chain D-Mart, with a buy rating as it sees 28% upside in the stock. 
Mumbai: JM Financial Institutional Securities Ltd said on Monday it is initiating coverage on Avenue Supermarts Ltd, the parent of supermarket chain D-Mart, with a buy rating as it sees 28% upside in the stock.
In reaction, Avenue Supermarts shares rose 2.42% at Rs1,359.15 on the BSE at 11.40am, while benchmark 30-share Sensex traded 0.43% higher at 33,109.45 points. JM’s target price is set at Rs1,675 per share.
In a report titled “BUY, and don’t sell if it ain’t broke"", JM analysts argued that the attractiveness of DMart’s operating model stems from the significantly higher level of throughput that its stores generate, which is nearly 2-3 times what other retailers clock on an average.
They added that this helps justify its choice of owning the stores (including the cost of land on which they are built), and the discounts that it pampers its shoppers with—the latter being one of the key drivers of footfalls and conversions for DMart,
JM Financial analysts Richard Liu and Vicky Punjabi compared the potential of an investment in D’mart’s shares to that made in Titan Ltd 10-11 years ago when it was trading at 42 times its then 5-year average price-earnings (PE) ratio, which is currently around 20 times and has still made a return of 25% per annum on the stock.
Notably, even if the stock was bought at a 100 times forward PE around 10-11 years ago, the return would still have been 15.6% per annum, they said, adding that an above-average EPS (earnings per share) CAGR (compounded annual growth rate) of 23.4% over the last 10 years is what drove Titan’s strong stock performance notwithstanding its rich valuation.
“We see a similar growth trajectory panning out for DMart, which, as per our workings, is well-poised to compound earnings at 25% p.a. over the next 10 years,"" they added.
Currently, Avenue Supermart shares have four buy/outperform ratings, one hold rating, while seven analysts recommend a sell/underperform on the stock."
67,2018-04-07,Titan,"Titan said 2017-18 proved to be a satisfactory year in terms of overall business, particularly in its watches, jewellery businesses scaled new heights in terms of revenue and profitability

Bengaluru: Titan Co Ltd said 2017-18 proved to be a satisfactory year in terms of overall business performance, particularly in its watches and jewellery businesses which scaled new heights in terms of revenue and profitability. 
Bengaluru: Titan Co Ltd said 2017-18 proved to be a satisfactory year in terms of overall business performance, particularly in its watches and jewellery businesses which scaled new heights in terms of revenue and profitability.
But underperformance in the sunglasses business, which has been impacted ever since the implementation of the goods and services tax (GST), is expected to out under pressure profitability in the eyewear business to a great extent, the company said in a filing with the BSE on Friday.
Sales in the company’s jewellery business, its largest revenue earner, were propped up by Titan’s marketing activations in the diamond space and a more ‘customer-friendly revised gold exchange policy’ during the January-March quarter.
Titan’s jewellery division sells its products mainly through its Tanishq brand of retail outlets. The business division had laid out a strategy of growing to 2.5x of its 2016-17 revenue over 5 years, Titan said. 
A strong push in the wedding and high-value diamond studded jewellery segments, market share gain in key markets with low share, expansion of its Golden Harvest Scheme and retail network expansion will help the company achieve this strategy, it said.
2017-18 was the first year in its 2.5x journey and all levers for growth have performed well, according to Titan. 
It opened 46 new Tanishq stores last year, including 22 Gold Plus stores that were converted to Tanishq stores. Last January, the company said it was merging its Gold Plus retail jewellery brand of stores into its flagship Tanishq retail network. 
Gold Plus was launched in 2005 and targeted small towns in South India and in January 2017, when the company announced consolidation plans, it had 30 of these stores across Andhra Pradesh, Telangana, Tamil Nadu, Karnataka and Maharashtra.
The process of conversion of Gold Plus stores into Tanishq will conclude by the end of the next quarter, Titan said on Friday. 
Titan also opened 24 new CaratLane stores in 2017-18, taking the total count to 36. CaratLane, an digital jeweller, became a subsidiary of Titan after the latter acquired a majority stake in Carat Lane Trading Pvt. Ltd in 2016. 
The company’s watches division had a strong January-March quarter on growth in multi-brand retail formats as well as sales from the e-commerce channel, with the latter now contributing about 10% of the division’s sales. A plethora of products are likely to be launched in the tech-enhanced watches space in the coming financial year, Titan added. 
Under watches, the company sells its products through various retail brands and opened 53 new stores during 2017-18.
Although the government reduced the GST rate on sunglasses to 12% from 18% during the October-December quarter, the sunglasses business continued to underperform, Titan had said in January. It attributed the underperformance of distributors and dealers, remaining wary about stocking the category due to changes in the GST rate. 
On Friday, the company said its sunglasses business continued to remain under pressure while the health of its prescription eyewear business continues to improve. 
Eom"
66,2018-04-12,Titan,"Titan has launched a limited edition of watches, titled Forever Kolkata Collection, with four designs featuring the Howrah Bridge, Victoria Memorial, Dakshineshwar Temple and the Bengali script

Kolkata: After paying tribute to the victims of 26/11 Mumbai terror attack with its Eternal Mumbai collection, watchmaker Titan Co. Ltd has launched a line themed on Kolkata to celebrate 30 years of the brand’s connection with the city. A limited edition of watches, titled Forever Kolkata Collection, has been launched with four designs featuring the Howrah Bridge, Victoria Memorial, Dakshineshwar Temple and the Bengali script. 
Kolkata: After paying tribute to the victims of 26/11 Mumbai terror attack with its Eternal Mumbai collection, watchmaker Titan Co. Ltd has launched a line themed on Kolkata to celebrate 30 years of the brand’s connection with the city. A limited edition of watches, titled Forever Kolkata Collection, has been launched with four designs featuring the Howrah Bridge, Victoria Memorial, Dakshineshwar Temple and the Bengali script.
Unlike the collection themed on Mumbai, this one is not a social initiative, said Suparna Mitra, chief marketing officer. According to her, the Titan brand was launched in 1987, and one of its oldest stores is still in operation at Park Street in Kolkata. Some 20-30 in-house designers, after spending considerable amount of time in the city, took inspiration from the artistic and cultural elements to come up with the designs, she added.
Titan has launched four variants each for men and women, priced between Rs4,610 and Rs6,920. Mitra said the opening response for the collection has been “good"".
Titan’s associate vice president and regional business head (east) Rajeshwari Srinivasan said in the past 30 years, Titan has sold 20 million watches in the eastern region, half of it in Kolkata.
Across the country, the company sold 200 million timepieces till 2017. Of 480 World of Titan and 180 Fastrack stores nationally, there are 45 Titan stores in West Bengal. In Kolkata alone, the company has 22 Titan and five Fastrack stores.
The new collection will be available only at select stores in Kolkata. Options for customisation under the collection will be available for both men and women at the Park Street store.
Mitra said initially the company is looking to offer 5,000 watches under the Forever Kolkata Collection. However, the collection will be available online to give access to customers across the country. She also said there was no plan to add any new design to this collection at the moment. The company hasn’t decided whether it would create similar collections for other cities."
