,Date,Company,Article
96,,UltraTech,
95,2018-01-10,UltraTech,"Supreme Court stays the invocation of Rs1.65 crore bank guarantee given by Ultratech Cement in a 2008 allocation of the Bhaskarpapa coal block in Chhattisgarh

New Delhi: The Supreme Court on Tuesday stayed the invocation of a bank guarantee of Rs1.65 crore given by Ultratech Cement Ltd in a 2008 contract for the allocation of the Bhaskarpapa coal block in Chhattisgarh.  
New Delhi: The Supreme Court on Tuesday stayed the invocation of a bank guarantee of Rs1.65 crore given by Ultratech Cement Ltd in a 2008 contract for the allocation of the Bhaskarpapa coal block in Chhattisgarh. 
The coal block was allocated to Ultratech in 2008 to meet its coal requirement for its end use plant at Chittorgarh in Rajasthan.
A bench headed by Justice J. Chelameswar issued notice to the Centre and sought its response on the issue.
Ultratech had moved the Chhattisgarh high court challenging the coal ministry’s November order of 2012 de-allocating the Bhaskarpara coal block, jointly allocated to it and Electrotherm (India) Ltd, on the ground that no substantial progress in the development of the coal block was made.
The ministry had decided to invoke the bank guarantee to the tune of Rs1.65 crore as per the terms and conditions of the allotment letter. 
While its plea was pending in the Chhattisgarh high court, the Supreme Court, in September 2014, the Supreme Court cancelled allotment of 204 coal blocks, including 42 operational mines, and another 32 ready-to-start blocks.
On 15 November, 2017, the Chhattisgarh high court held Ultratech’s petition to be infructuous. In doing so, it did not address the question of invocation of bank guarantee.
Ultratech challenged the high court order in the apex court saying it had committed an error of law by ignoring the principles governing exercise of jurisdiction under Article 226 of the Constitution. 
The cement manufacturer said the bank guarantee encashment could not be enforced as the same was an obligation under the contract that was declared “arbitrary and illegal"".
It further contended that the high court had erred in not examining whether the order invoking the bank guarantee was legal or not. The high court has not appreciated that since the allocation in itself was declared void, any contract entered into by parties which is contrary to the statutory scheme governing such a contact, would be equally void, the petition said."
93,2018-01-18,UltraTech,"Ultratech Cement's profit fell to Rs456 crore for the quarter ended 31 December, from Rs595 crore a year ago

Bengaluru: India’s UltraTech Cement Ltd, part of the Aditya Birla Group, on Thursday posted a 23% drop in third-quarter profit, hurt by rising pet coke and coal prices. 
Bengaluru: India’s UltraTech Cement Ltd, part of the Aditya Birla Group, on Thursday posted a 23% drop in third-quarter profit, hurt by rising pet coke and coal prices.
Profit fell to Rs456 crore ($71.4 million) for the quarter ended 31 December, from Rs595 crore a year ago, the company said.
Quarterly performance was also hurt by the ban of pet coke usage in some states, the company added.
However, net sales rose to Rs7,897 crore from Rs5,927 crore.
Analysts on average had expected a consolidated net profit of Rs449 crore, according to Thomson Reuters data. Reuters"
94,2018-01-18,UltraTech,"Newgen Software IPO gets 70% subscription on Day 2, while Amber Enterprises IPO fully subscribed on Day 1

US stocks end higher; Asian shares surge in early trade 
US stocks end higher; Asian shares surge in early trade
Stocks traded higher on Wednesday, following the release of stronger-than-expected quarterly results from some of the biggest US companies.
Stock indices in Asia on Thursday bounced back from declines in the last session, tracking substantial overnight gains on Wall Street. Investors also awaited a raft of China data, as well as interest rate decisions from South Korea’s and Indonesia’s central banks due later in the day.
Newgen Software IPO gets 70% subscription on Day 2
The initial public offering (IPO) of IT firm Newgen Software Technologies was subscribed 70% on the second day of the share sale on Wednesday.
Amber Enterprises IPO fully subscribed on Day 1
The Rs600-crore initial share public offering (IPO) of Amber Enterprises was fully subscribed on the first day of its bidding.
Puravankara to invest Rs600 crore on low-cost housing project
Realty firm Puravankara Ltd said it will invest Rs600 crore to construct an affordable housing project in Bengaluru.
Amalgamation scheme: Tata Power shareholders’ meet on 19 February
Tata Power said it will convene shareholders’ meeting on 19 February to seek approval for the proposed amalgamation of four group entities with the company.
HUL Q3 profit rises 28% to Rs1,326 crore
Hindustan Unilever Ltd posted a 28% rise in its third-quarter profit, underpinned by higher sales from its personal care business.
Earnings corner
Adani Power, Bharti Airtel, Hindustan Zinc, Mastek, Yes Bank and UltraTech Cement are among the companies that will be announcing their December quarter earnings on Thursday."
92,2018-01-19,UltraTech,"UltraTech Cement's operating performance took a hit due to ban on pet coke, and hike in import duty on it after the ban was lifted, which increased energy costs

The 3% drop in UltraTech Cement Ltd’s stock price on a day when the domestic equity markets were soaring showed that investors were disappointed by the company’s December quarter (Q3) results. A like-to-like comparison of the quarter’s performance with a year back is not meaningful, due to the recent acquisition of cement units from the Jaypee Group. But operating profit missed forecasts significantly in spite of a ramp-up in cement sales because of weak realizations and unanticipated cost hikes. 
The 3% drop in UltraTech Cement Ltd’s stock price on a day when the domestic equity markets were soaring showed that investors were disappointed by the company’s December quarter (Q3) results. A like-to-like comparison of the quarter’s performance with a year back is not meaningful, due to the recent acquisition of cement units from the Jaypee Group. But operating profit missed forecasts significantly in spite of a ramp-up in cement sales because of weak realizations and unanticipated cost hikes.
The Aditya Birla Group cement conglomerate’s stand-alone net sales catapulted by an impressive 33% to Rs7,471 crore. But this was driven by a 37% jump in volumes, thanks to the incremental capacity from its acquired units too. However, sales realization per unit of cement sold was not up to expectations. It was even lower than the September quarter by about 5% and flat on a year-on-year basis. This explains the weakness in cement prices. Besides, analysts say that the pan-India cement producer’s non-trade (large institutional) sales were substantially higher during the quarter, where prices are much lower than in the trade segment.
Further, it was a quarter of unanticipated cost hikes. The ban on use of petroleum coke by cement firms and the hike in import duty on it, after the ban was subsequently lifted, increased energy costs by 21% year-on-year. That apart, rise in diesel costs resulted in higher logistics expenses. These two components account for about two-thirds of the total operating costs, therefore taking a toll on operating performance.
The quarter’s operating margin (excluding other operating income) at 15.5% missed Bloomberg’s estimate by a huge 350 basis points. According to Binod Kumar Modi, senior research analyst at Reliance Securities Ltd, the per tonne Ebitda (earnings before interest, tax, depreciation and amortization) at Rs717 was poor compared to Rs949 and Rs957, respectively, in the year-ago period and the September quarter.
This is not to say that there is gloom ahead. Clouds appear to be clearing up and the management, in the analysts’ conference call, painted an improving demand environment for cement. The infrastructure and low-cost housing push should augur well for the industry and for UltraTech, the country’s largest cement producer.
Although costs continue to rise, analysts reckon that the company has deftly steered through challenging times. Also, costs during the quarter could have been higher due to incremental maintenance cost of the newly acquired units, which will normalize as capacity utilization improves from the current 70% levels. Dealers say that the pan-India company has been pushing sales aggressively in new regions to gain market share.
The key to higher profits in the coming quarters therefore rests on cement prices that should support realizations along with higher sales volumes. Otherwise, the story of rising revenue and declining profits may continue as was the case in the December quarter, when the reported net profit at Rs422 crore was 25% lower year-on-year.
A ramp-up in utilization of capacities of its acquired units, along with improved realization, is important to support the stock price."
91,2018-02-14,UltraTech,"Birla's UltraTech Cement and the Dalmia Bharat consortium have each made cash offers of around Rs6,000 crore for Binani, which is being sold under the insolvency process

Mumbai: Billionaire Kumar Mangalam Birla and an investor group led by Dalmia Bharat Ltd are emerging as the lead bidders for India’s Binani Cement Ltd, which is being sold under the country’s insolvency process, people with knowledge of the matter said. 
Mumbai: Billionaire Kumar Mangalam Birla and an investor group led by Dalmia Bharat Ltd are emerging as the lead bidders for India’s Binani Cement Ltd, which is being sold under the country’s insolvency process, people with knowledge of the matter said.
Birla’s UltraTech Cement Ltd and the Dalmia Bharat consortium have each made cash offers of around Rs6,000 crore ($936 million), the people said, asking not to be identified because the information is private. As part of that, they have agreed to pay back secured lenders who are owed about Rs4,000 crore, according to the people. UltraTech and the Dalmia Bharat consortium are among six suitors that submitted final offers, the people said.
Shares of Binani Industries Ltd, the parent company of Binani Cement, were up 5.8% to Rs113.55 at 12:05pm in Mumbai Wednesday, the most since 28 December.
The bids from UltraTech and Dalmia Bharat varied in the way they would address the Rs2,500 crore owed to unsecured creditors, said the people. They also differed in the size of equity stake they offered creditors, one of the people said.
A new Indian bankruptcy law designed to clear out distressed assets has set off a contest for more than Rs4 trillion ($63 billion) of deals and has spurred interest from both foreign and domestic companies and funds. JSW Group, HeidelbergCement AG and a consortium including local private equity firm True North and Ramco Cements Ltd also submitted final offers for Binani Cement, the people said.
Billionaires Rakesh Jhunjhunwala and Radhakishan Damani together also made an offer for Binani Cement, according to the people. Dalmia Bharat is bidding with India Resurgence Fund, which is backed by Bain Capital Credit and local conglomerate Piramal Enterprises Ltd, the people said. JSW has also put in an aggressive bid, one of the people said.
Representatives for Ramco, True North and UltraTech declined to comment. Representatives for Binani, Dalmia Bharat, Jhunjhunwala, JSW, India Resurgence Fund and Heidelberg didn’t immediately respond to requests for comment. Bloomberg"
90,2018-02-19,UltraTech,"Dalmia Bharat and UltraTech submit bids of roughly around Rs6,000 crore each, which includes upfront cash payments, as well as an offer of close to 20% stake in Binani Cement to lenders

Mumbai: The race for Binani Cement Ltd is headed for a photo finish with top two contenders—Dalmia Bharat Cement Ltd and UltraTech Cement Ltd—submitting nearly identical bids. 
Mumbai: The race for Binani Cement Ltd is headed for a photo finish with top two contenders—Dalmia Bharat Cement Ltd and UltraTech Cement Ltd—submitting nearly identical bids.
The two finalists have submitted bids of roughly around  ₹ 6,000 crore each, two people close to the bidding process said, adding that the amount includes upfront cash payments, as well as an offer of close to 20% stake in Binani to lenders.
According to the people cited above, who spoke on condition of anonymity, lenders will decide on the winning bid in the coming week. Bloomberg was the first to report on 17 February that the race for Binani has narrowed down to Dalmia Bharat Cement, backed by Bain Piramal Resurgence Fund, and Aditya Birla Group company UltraTech.
“Both bidders have been asked to furnish additional details pertaining to their bids, following which the creditors will take a final decision,"" said the first of the two people cited above. According to this person, UltraTech has been specifically asked to provide information on a Competition Commission of India (CCI) penalty, which is a contingent liability on the company. 
In 2016, CCI had imposed a penalty of Rs1,175.49 crore on UltraTech. This was part of an overall penalty of Rs6,700 crore on 11 cement companies, including UltraTech, ACC, Ambuja Cements Ltd, Ramco Cements Ltd and JK Cement Ltd, as well as industry body Cement Manufacturers Association for indulging in cartelisation. UltraTech approached the Competition Appellate Tribunal against the order, which stayed it.
Binani Cement is part of the Braj Binani Group and is a subsidiary of Binani Industries Ltd (BIL). BIL is the holding company of the group, and has presence in five key businesses areas including cement, fibreglass, infrastructure and energy. Mint had reported in January that at least two lenders of Binani Cement, currently undergoing insolvency proceedings, have moved the appellate bankruptcy tribunal after the insolvency resolution professional (IRP) rejected their claims on corporate guarantees worth Rs2,000 crore issued by the company to some subsidiaries in the Binani group. Accordingly, resolution professional from Deloitte Touche Tohmatsu India Llp partner Vijay Kumar Iyer set a new deadline of 12 February, factoring in the additional liability of around Rs1,600 crore.
Emails sent to UltraTech Cement, Dalmia Bharat Cement and Deloitte remained unanswered till press time. 
The cement sector in India has witnessed several large deals in the past two years, signalling consolidation in the space. In July 2016, Gujarat-based soap and detergent maker Nirma Ltd announced the acquisition of Lafarge India’s cement assets for $1.4 billion. In August 2016, Anil Ambani-led Reliance Infrastructure Ltd sold its cement business to Kolkata-based Birla Corp. Ltd, the flagship company of the MP Birla Group for Rs4,800 crore. Last year, Aditya Birla group company UltraTech Cement paid Rs16,189 crore to acquire the cement business of Jaiprakash Associates. The transaction increased UltraTech’s cement capacity by almost a third to 90.7 million tonnes per annum and gave the company access to the markets of Madhya Pradesh, Uttar Pradesh East, Himachal Pradesh and coastal Andhra Pradesh, where it did not have a presence.
Mint reported in November that Puneet Dalmia-controlled Dalmia Bharat group had submitted a binding offer to acquire Nagpur-based Murli Industries Ltd, which is currently facing bankruptcy proceedings in the National Company Law Tribunal (NCLT). The total haircut sought by Dalmia was close to 80% of the outstanding loans of Murli Industries, which has presence in cement, paper industries and solvent extraction."
89,2018-02-28,UltraTech,"Dalmia Bharat Cement , backed by Bain Piramal Resurgence Fund, has agreed to invest around Rs6,700 crore in Binani Cement over a period of time

Mumbai: Dalmia Bharat Cement Ltd on Tuesday emerged the winner for troubled Binani Cement Ltd, beating India’s largest cement maker UltraTech Cement Ltd which had put in a nearly identical bid. 
Mumbai: Dalmia Bharat Cement Ltd on Tuesday emerged the winner for troubled Binani Cement Ltd, beating India’s largest cement maker UltraTech Cement Ltd which had put in a nearly identical bid.
The creditors’ panel supervising the insolvency proceedings of Binani Cement on Tuesday approved the resolution plan submitted by Dalmia, backed by Bain Piramal Resurgence Fund. Mint had reported on 19 February that Dalmia Bharat and UltraTech had submitted nearly identical bids. 
The Dalmia consortium has agreed to invest around Rs6,700 crore in the stressed cement firm over a period of time, two people aware of the development said. Binani Cement, which was admitted by the National Company Law Tribunal (NCLT) in July 2017 for resolution under the insolvency and bankruptcy code, owes around Rs6,500 crore to its lenders. 
According to the two people cited earlier, UltraTech’s bid was edged out because of some concerns around Competition Commission of India related penalties.
An UltraTech Cement spokesperson said she is not aware of the development pertaining to CCI and declined to comment on the matter. 
In 2016, CCI had imposed a penalty of Rs1,175.49 crore on UltraTech. This was part of an overall penalty of Rs6,700 crore imposed on 11 cement companies, including UltraTech, ACC, Ambuja Cements Ltd, Ramco Cements Ltd and JK Cement Ltd, as well as industry body Cement Manufacturers Association for indulging in cartelisation. UltraTech approached the Competition Appellate Tribunal against the order, which stayed it.
The second person said the committee of creditors will meet representatives of the consortium over the next two days to crystallize the plan further. “The lenders will be able to recover almost all the money. The committee of creditors will be holding meetings over the next couple of days to negotiate with the consortium on any further tweaks that may be needed to the resolution plan,"" he said. 
According to the resolution plan, Binani Cement will be kept as a separate entity until the restructuring is completed. Once the resolution takes place, the entity will be merged with Dalmia Bharat. “The consortium has offered around 20% stake to the lender in Binani Cement. The lenders are, however, more keen on a cash deal,"" the first person said. 
The Dalmia consortium has offered  ₹ 4000 crore as upfront payment to secured lenders.
Binani Cement is a subsidiary of Binani Industries Ltd (BIL), a part of the Braj Binani Group. BIL is the holding company of the group, and has presence in five key businesses areas, including cement, fibreglass, infrastructure and energy. Binani Cement has an integrated plant in Sirohi Rajasthan which will help Dalmia Bharat Cement to strengthen its foothold in western India. Dalmia Cement, on the other hand, has a stronghold in south India. The firm has cement manufacturing plants in Dalmiapuram and Ariyalur Tamil Nadu and Kadapa in Andhra Pradesh, with a total capacity of 9 million tonnes per annum."
88,2018-03-06,UltraTech,"The RBI has notified that the FPI limit under portfolio scheme in Ultratech Cement has increased from 30% to 40% of its paid up capital

New Delhi: Aditya Birla group firm UltraTech Cement on Tuesday said the Reserve Bank of India (RBI) has increased the limit of foreign portfolio investment (FPI) in the company to 40%.  
New Delhi: Aditya Birla group firm UltraTech Cement on Tuesday said the Reserve Bank of India (RBI) has increased the limit of foreign portfolio investment (FPI) in the company to 40%. 
Earlier, FPIs’ limit in the company was 30%. “The RBI has today notified that the FPI limit under portfolio scheme in Ultratech Cement has increased from 30 per cent to 40 per cent of its paid up capital,"" Ultratech Cement said in a BSE filing. 
It further added: “Ultratech Cement has passed the necessary resolutions of its board of directors and general body as required under FEMA, 1999 and the regulations framed thereunder."" 
UltraTech Cement, the Aditya Birla Group firm, is the largest cement producer in India with the production capacity of 68 million tonne per annum. Its business is spread over five countries."
87,2018-03-07,UltraTech,"In other news, UltraTech approaches bankruptcy court to seek a more transparent way of evaluating bids 'that maximise value for all stakeholders'

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Torrent Pharma readies €2 billion binding offer for Sanofi’s European unit
Torrent Pharmaceuticals Ltd is readying a €2 billion (Rs16,000 crore) bid for Zentiva N.V., the generic drugs unit of France’s Sanofi, reports Mint, citing two people directly aware of the bidding process. Torrent Pharma has tied up funding from several domestic and foreign banks for the bid, the deadline for which ends on 28 March, the people cited above said, on the condition of anonymity. Read more
Officer’s Choice maker Allied Blenders revives IPO plan, eyes year-end launch
Allied Blenders and Distillers Pvt. Ltd (ABD), India’s third largest liquor company, is reviving plans to go public and aims to launch its share offering by the end of 2018 at a rough valuation of around $1.8 billion, reports Mint, citing a top company executive. Read more
Bandhan Bank gets Sebi nod for Rs2,500 crore IPO
Private sector lender Bandhan Bank Ltd has received approval from the Securities and Exchange Board of India (Sebi) to raise an estimated amount of over Rs2,500 crore through an initial public offering (IPO). Read more
UltraTech moves NCLT over assessing bids
UltraTech on Tuesday approached the bankruptcy court to seek a more transparent way of evaluating the bids “that maximise value for all stakeholders"". UltraTech’s chief financial officer Atul Daga confirmed filing of the petition at the Kolkata chapter of the National Company Law Tribunal (NCLT). The hearing is likely to take place either on Thursday or Friday this week, The Economic Times reported. Read more
Debt-laden Aircel likely to go in for management bid
Aircel, which moved the National Company Law Tribunal (NCLT) last week, is exploring many options to run the business as an ongoing concern till the resolution process takes off. According to a Business Standard report, it is learnt that a bid by the management, backed by financial investors, is an alternative that the telco is looking at. Read more
On 6 March, Mint reported that troubled telecom operator Aircel Ltd, which has filed for bankruptcy, approached the Mumbai bench of the NCLT for the appointment of an interim resolution professional (IRP) on Monday. Read more
Indian startups raise funds via bitcoins
Initial coin offerings, or ICOs, are emerging as a new way of raising funds for startups. An ICO is based on cryptocurrencies and is, in some ways, a mix of an initial public offer (IPO) and crowdfunding. Despite no regulation around this space, startups have managed to raise as much as $200 million in a single round of funding through ICOs, says a The Times of India report. Read more
Amazon puts another Rs195 crore into payments biz
Amazon has pumped another Rs195 crore in to its payments business under Amazon Pay India, according to latest regulatory documents, reports The Times of India. According to documents sourced from the business research platform Paper.vc, Amazon Corporate Holdings and Amazon.com have infused fresh capital in Amazon Pay. The resolution was passed last month, the filings said. Read more
Cisco arm invests in IDG Ventures India
Networking major Cisco Inc. has invested in IDG Ventures India Advisors’ third fund, which closed commitments of $208 million last year. Cisco’s entry as a limited partner in IDG’a third fund will help IDG portfolio companies in enterprise software get access to a potential customer as well as a potential investor and acquirer, IDG Ventures chairman Sudhir Sethi said in an interview to Mint. Read more
Tata Sons to buy 6.64% stake in Indian Hotels Company from promoters
Tata group firm Indian Hotels Co. Ltd on Tuesday said Tata Sons is buying out 6.64% stake of the company from three family held trusts as part of restructuring its investment portfolio, Mint reports. In a filing to the NSE, the hospitality firm which runs the Taj chain of hotels, said Tata Sons Ltd, the promoter of Indian Hotels, will acquire shares of Sir Dorabji Tata Trust, Lady Tata Memorial Trust and Sir Ratan Tata Trust. Read more"
