,Date,Company,Article
80,,Unilever,
79,2018-01-16,Unilever,"Hindustan Unilever becomes country's eighth company to cross Rs3 trillion market capitalisation after its shares surged over 70% in the last one year

Mumbai: India’s largest packaged consumer products firm by sales, Hindustan Unilever Ltd on Tuesday became the country’s eighth company to cross Rs3 trillion market capitalisation after its shares surged over 70% in the last one year. 
Mumbai: India’s largest packaged consumer products firm by sales, Hindustan Unilever Ltd on Tuesday became the country’s eighth company to cross Rs3 trillion market capitalisation after its shares surged over 70% in the last one year.
In intraday, the stock touched a fresh record high of Rs1,388.45 on the BSE, up 1.56% from its previous close with a market cap of Rs3.01 trillion. However, the stock pared some its gains and closed at Rs1,381.30 on BSE, up 1.04% from its previous close. The Sensex index fell 0.21%.
Earlier, seven companies have crossed this landmark—Reliance Industries Ltd (RIL), Tata Consultancy Services Ltd (TCS), HDFC Bank Ltd, ITC Ltd, Maruti Suzuki India Ltd, Housing Development Finance Co. Ltd and Oil & Natural Gas Corp. Ltd.
Currently, RIL is India’s most valued company with a market capitalisation of Rs5.85 trillion, followed by TCS and HDFC Bank at Rs5.46 trillion and Rs4.93 trillion, respectively.
“We believe HUL will be a key beneficiary of an uptick in consumption growth led by cyclical recovery and a pick-up in rural markets. Factors like a supportive base and normalisation of trade channel should also help,"" brokerage firm CLSA said in a 4 January report.
“Recent cuts in GST on daily use items like detergents and skincare benefit nearly half of HUL’s portfolio which should improve volume growth as well as drive premiumisation. There however may be some pain in 3QFY18 due to tax changes but the benefits should be visible thereafter,"" the report added.
CLSA has retained its outperform rating on the stock and increased its target price to Rs1,515 from Rs1,460 a share.
Of the 47 brokers tracking the HUL stock on Bloomberg, as many as 28 recommended a “buy"" rating, four asked its investors to “sell"" the stock and 15 have a “hold"" rating.
The company will announce its December quarter earnings on 17 January. According to 14 Bloomberg analysts’ estimates, the firm may post a net profit of Rs1,168.90 crore, while net sales will be at Rs8,419.70 crore.
According to a 9 January ICICI Securities report, it expects gross margin of the company to expand 60 basis points and expect earnings before interest, tax, depreciation and amortisation (Ebitda) margin to expand 110 bps year-on-year. Ebitda and net profit are expected to increase 18.4% year-on-year and 25.1%, respectively."
77,2018-01-17,Unilever,"Hindustan Unilever Ltd (HUL), India's largest consumer packaged goods firm, will announce its results for the December 2017 quarter today

Mumbai: Hindustan Unilever Ltd, India’s largest consumer packaged goods firm, will announce its results for the December 2017 quarter on Wednesday. Markets are anticipating growth in HUL’s revenues and volumes, given that the company surpassed Rs3 trillion in market cap in Tuesday’s trading session.  
Mumbai: Hindustan Unilever Ltd, India’s largest consumer packaged goods firm, will announce its results for the December 2017 quarter on Wednesday. Markets are anticipating growth in HUL’s revenues and volumes, given that the company surpassed Rs3 trillion in market cap in Tuesday’s trading session. 
Urban versus rural growth
HUL’s results on Wednesday will demonstrate if consumer firms are seeing a recovery in demand, particularly in rural areas. Key numbers to look out for include HUL’s underlying volume growth (UVG) and the management’s comments on how rural markets have grown versus urban markets. With the Union budget coming up—the last before the 2019 general elections—these results will show whether calls for rural sops are justified, given how sluggish growth in rural incomes and demand has remained. 
Low base effect
Equities brokerage firms are expecting spectacular numbers from all FMCG firms because of this quarter’s base effect—demonetisation severely reduced all consumer firms’ revenues and bottomline in the December 2016 quarter. 
Crude prices
Meanwhile, rising prices in crude and crude-linked inputs (such as light liquid paraffin and other oils) has been flagged off as a concern for FMCG margins in several brokerage reports. While crude prices will affect everyone in the industry as it directly influences costs of packaging and transportation, markets will look for management commentary from HUL on how it plans to manage input cost pressure and where prices of the crude commodities basket will move in the future. 
Ayurvedic products 
Given the surge of demand for “natural"" and Ayurvedic products (largely led by Baba Ramdev’s Patanjali), markets will look for performance of HUL’s naturals brands and variants, particularly the newly launched Lever Ayush that is now available across the country. 
Premium products
Finally, markets will expect management commentary on how HUL’s focus on premiumization is paying off. A long-standing trend to help improve margins, premium products have seen maximum growth in India’s FMCG market as incomes rise across the country and companies prefer to focus on the segment as well. HUL’s home care segment has been heavily depending on growth in premium products like Surf Excel, a trend that is expected to continue."
78,2018-01-17,Unilever,"Hindustan Unilever says it remains fully committed towards ensuring that all benefits arising from GST rate cut are fully passed on to the consumers

New Delhi: Anti-profiteering investigator Directorate General of Safeguards (DGS) has a sent a notice to consumer goods maker Hindustan Unilever Ltd for alleged profiteering under the goods and service tax (GST) regime. 
New Delhi: Anti-profiteering investigator Directorate General of Safeguards (DGS) has a sent a notice to consumer goods maker Hindustan Unilever Ltd for alleged profiteering under the goods and service tax (GST) regime.
DGS has previously launched investigation into five other businesses for allegedly not passing on the benefit of tax reduction to consumers in the new indirect tax regime that kicked in from 1 July. 
An HUL spokesperson confirmed receiving the DGS notice and said the company was fully committed towards ensuring that all benefits arising from reduction in GST rates are fully passed on to the consumers. 
“We have received a notice on 16 January from DG safeguards and we are in the process of ascertaining the full details. We will respond to the same stating our position,"" said the spokesperson. 
HUL also said it has communicated to trade asking them to pass on the benefits to consumers. 
“We have accelerated our networks covering more than 800 stock-keeping units (SKUs) to reduce prices and increase grammage in case of price point packs and most of these have already landed in the market. List of key SKUs with lower prices and increased grammages is available on our website. In addition, HUL has also been communicating the price reductions or increased grammages through advertisements in more than 10 languages,"" said the spokesperson.
Concerns of profiteering is a worry for policy makers who are keen to see that the tax reform benefits the common man. However, officials admit that the legal provisions in GST laws dealing with profiteering are not foolproof as there is nothing that prevents producers from raising the price in a free market economy, claiming higher input costs. The drive against profiteering is set to test the robustness of the law. Experts argue that regulatory action against profiteering is more in the nature of price regulation than of taxation. 
“Unless the concerned commodity is one that is statutorily subject to price regulation by way of maximum price ceiling, it would not be possible to effectively use the current mechanism to ensure that benefit of reduced tax is passed on to the end customer,"" said Manoj S.R., a New Delhi-based lawyer. 
“Anti-profiteering is not a foolproof law. However, the actions of companies have to be benchmarked against reasonableness. Competition in the market will ensure to a great extent that the tax benefits are passed on to consumers,"" said a tax official, who asked not to be named. 
Hardcastle Restaurants Pvt. Ltd, which runs McDonald’s restaurants in west and south India, department store chain Lifestyle International Pvt. Ltd and a Jaipur-based trading company are among the firms issued notices under the anti-profiteering provision so far, Mint reported on 30 December.
If the Directorate General of Safeguards finds a business guilty of profiteering, the NAA can order it to reduce prices or return to the buyer an amount equal to the tax not passed on. A profiteering business will have to pay 18% interest on the tax reduction not passed on to consumers. It can also attract a penalty and could cost a business its registration."
76,2018-01-17,Unilever,"Hindustan Unilever revenue climbed 4.1% in December quarter as India's largest FMCG company widened the gap with competition including from Baba Ramdev's Patanjali Ayurved

Mumbai: Hindustan Unilever Ltd.’s revenue climbed 4.1% in the third quarter as India’s largest consumer-goods company widened the gap with competition including from yoga guru Baba Ramdev’s Patanjali Ayurved Ltd. 
Mumbai: Hindustan Unilever Ltd.’s revenue climbed 4.1% in the third quarter as India’s largest consumer-goods company widened the gap with competition including from yoga guru Baba Ramdev’s Patanjali Ayurved Ltd.
Revenue at the Indian unit of Unilever rose to Rs8,740 crore ($1.4 billion) in the three months through December, the Mumbai-based company said in a statement Wednesday. That exceeded the Rs8,430 crore average estimate of 14 analysts compiled by Bloomberg. Net income increased to Rs1,330 crore, beating analyst estimates.
Ramdev on Tuesday predicted Patanjali will overtake Unilever in India next year. While Unilever has faced intense competition across its segments from detergents to skincreams from local companies building their brands using yoga and spiritual leaders and offering natural and ayurveda-based products, the latest quarterly results show the multinational will not easily sacrifice its lead.
Hindustan Unilever responded to the local competition by taking its Lever Ayush brand of ayurveda-based products, which includes soaps, toothpastes and skincare creams, national last year.
Patanjali, which on Tuesday said it’s partnering with e-commerce companies including Amazon.com Inc. and Flipkart Online Services Pvt to sell its products online, expects to double revenue to about Rs20,000 crore in the year ending 31 March, according to Bloomberg Quint. Hindustan Unilever is estimated by analysts to post a revenue of Rs36,100 crore in the same period.
Over the past few years, Patanjali has expanded its portfolio of products to include almost all the segments Hindustan Unilever operates in the country. Ramdev has said earlier he’s an “unpaid ambassador"" at Patanjali. Bloomberg"
75,2018-01-18,Unilever,"Hindustan Unilever is just a short burst away from overtaking ITC in the market, an indication of how its fortunes have changed for the better

With so much noise in Hindustan Unilever Ltd’s (HUL’s) results, it is better to step back and see the big picture. The company management says demand is recovering, but still maintains a cautious stance, saying give it a quarter or more before one can call it a trend. That may seem overcautious from an investor’s standpoint. The worst was behind us in the September quarter, and the December quarter results give no reason to turn sceptical. 
With so much noise in Hindustan Unilever Ltd’s (HUL’s) results, it is better to step back and see the big picture. The company management says demand is recovering, but still maintains a cautious stance, saying give it a quarter or more before one can call it a trend. That may seem overcautious from an investor’s standpoint. The worst was behind us in the September quarter, and the December quarter results give no reason to turn sceptical.
Now, HUL’s 11% volume growth indeed has a base-induced bump due to demonetisation in the year-ago quarter. Still, the September quarter volumes rose by 5% compared to a 1% decline a year ago. And the December quarter’s 11% growth is off a base of a 4% decline. While both are not comparable, it does appear as if growth has strengthened. It is natural to expect volume growth to settle down in subsequent quarters.
The 17% underlying domestic consumer business growth came despite price cuts after the government cut GST (goods and services tax) rates from 28% to 18% on several fast-moving consumer goods. HUL’s financials show that its input costs as a percentage of sales declined sequentially. Although crude oil-related input costs may have turned expensive, it does not seem to have affected the company yet. This could also be attributable to a better mix.
HUL’s confidence is visible in the step-up in advertising expenses, which rose as a percentage of sales sequentially. That and higher employee costs and other expenses contributed to a slight decline in its Ebitda (earnings before interest, tax, depreciation and amortization) margin sequentially, falling by 69 basis points to 19.6%. Since the year-ago quarter’s profit after tax but before exceptional items fell by 15.8%, the December 2017 quarter’s 52.2% growth should be seen in that light.
The company’s volume growth will settle down to more normal rates in the coming quarters, although mid-FY19 will again see some base effect-linked volatility due to GST. Even if HUL’s steady-state volume growth settles in the 5-7% range, that will take it back to levels it last saw in FY16. That is a good start. Overall, expectations are that FY19 will see the economy recover and the government will take steps to give a boost to the rural economy. That could lead to a recovery in rural consumption, which should benefit the likes of HUL.
The company’s shares have risen by a fifth over six months ago as investors have been expecting the recovery, visible in its results. HUL’s shares have also done much better than peer ITC Ltd, which has been weighed down by a high tax burden and an unfavourable policy environment. HUL is just a short burst away from overtaking ITC in the market, an indication of how its fortunes have changed for the better."
74,2018-01-19,Unilever,"Hindustan Unilever Ltd (HUL) has earmarked Rs119 crore in Q3 to be paid to the Consumer Welfare Fund

Mumbai: Hindustan Unilever Ltd’s decision to set aside money to compensate consumers for excess tax charged by it has set a precedent for other companies.  
Mumbai: Hindustan Unilever Ltd’s decision to set aside money to compensate consumers for excess tax charged by it has set a precedent for other companies. 
India’s largest packaged consumer goods maker earmarked Rs119 crore in the December quarter to be paid to the government because it could not immediately lower prices after the goods and services tax (GST) on several products was reduced on 15 November.
The company has offered to release the money to the Consumer Welfare Fund, run by the department of consumer affairs. 
HUL received a notice for alleged profiteering this week, PTI reported on Tuesday. The government has set up an anti-profiteering authority to ensure that tax cuts are passed on to consumers and the benefits are not quietly pocketed by companies.
Other large companies are now considering making similar provisions as HUL because they were unable to cut prices immediately following the GST reductions, tax experts say. 
“What HUL made as a provision is more from an audit perspective to make sure they do not show this money as profit but as payment to be made to the government,"" said Anita Rastogi, partner at auditor PwC India. 
Under GST rules, the central government notified in June last year that any excess profit a manufacturer makes by charging a higher price should be credited to the Consumer Welfare Fund. But there is little clarity on how this transfer should happen and under what circumstances. 
“If money is collected (by a company as profit) without passing on the tax benefits, then it will go to the consumer, and if not possible, then the Consumer Welfare Fund,"" Sachin Menon, partner and head, indirect tax, at auditor KPMG, said in an interview. “However, guidelines governing this are yet to be issued.""
Hardcastle Restaurants Pvt. Ltd, which runs McDonald’s restaurants in west and south India, department store chain Lifestyle International Pvt. Ltd and a Jaipur-based trading company are among firms issued notices under the anti-profiteering provision so far, Mint reported on 30 December. 
“Actions were initiated immediately but it takes time,"" Srinivas Phatak, chief financial officer at HUL, said on Wednesday at a briefing on the company’s December quarter earnings. “There are always pipeline stocks. We advised modern trade retailers to pass on the rate reductions, and these were passed very quickly. Our distributors reached out to more than a million retailers, asking them to pass on the benefits."" 
HUL is now waiting for instructions from the government on what to do with the money it has set aside. 
Given the ambiguity in anti-profiteering definitions and rules, HUL said it decided to be proactive and voluntarily declared to the Central Board of Excise and Customs that it estimated Rs119 crore worth of benefits should have gone to its consumers. Other companies may do the same. 
“HUL has said that it was not able to pass on all benefits immediately, so other companies would have faced the same issue,"" Rastogi said.
Most large packaged consumer goods makers, and other companies as well “have started to hold board meetings to figure out how to deal with this situation before the DGS (Directorate General of Safeguards) issues them a notice"", she said. 
This could mark the beginning of a large influx of money in the Consumer Welfare Fund that was set up in 1992 to create consumer law chairs at universities, set up Grahak Suvidha Kendras, run projects for consumer awareness, and contribute to state governments’ consumer welfare funds.
According to the latest annual report of the department of consumer affairs, the government provisioned Rs15.50 crore for the fund in FY2016-17 and Rs6.01 crore had been used until 31 December 2016."
73,2018-01-20,Unilever,"Hindustan Unilever's (HUL's) MD and CEO Sanjiv Mehta on how the maker of Dove soaps, Knorr soup and Surf detergents is preparing for the future, and India's growth potential

The 11% underlying volume growth in the December quarter reported by Hindustan Unilever Ltd (HUL), India’s largest consumer packaged goods company, indicates that the consumer goods sector has recovered from the twin shocks of demonetization and the implementation of the goods and services tax (GST).  
The 11% underlying volume growth in the December quarter reported by Hindustan Unilever Ltd (HUL), India’s largest consumer packaged goods company, indicates that the consumer goods sector has recovered from the twin shocks of demonetization and the implementation of the goods and services tax (GST). 
While Sanjiv Mehta, managing director and chief executive officer of HUL, is bullish about the growth potential of the country, he is worried about the possibility of growth getting disrupted again. In an interview, Mehta spoke about how the maker of Dove soaps, Knorr soup and Surf detergents is preparing for the future. Edited excerpts:"
72,2018-01-20,Unilever,"Harish Manwani, non-executive chairman of Hindustan Unilever,  will take over from Adi Godrej, chairman of the Godrej group, starting April this year

Mumbai: Harish Manwani, non-executive chairman of Hindustan Unilever Ltd, has been appointed chairman of the executive board of the Indian School of Business, Hyderabad.  
Mumbai: Harish Manwani, non-executive chairman of Hindustan Unilever Ltd, has been appointed chairman of the executive board of the Indian School of Business, Hyderabad. 
Manwani will take over from Adi Godrej, chairman of the Godrej group, starting April this year, the school said in a press release. 
The 62-year-old Manwani has been on the board of the ISB since April 2006. Manwani has been with HUL, India’s largest consumer packaged goods firm, since 1976. 
“I have always been proud to be part of this great institution of learning and am honoured to take on the role of the chairman,"" Manwani said in a statement. “I look forward to working with my Board members and the Dean to help take ISB to greater heights."""
71,2018-03-14,Unilever,"Hindustan Unilever has offered another tranche of Rs36 crore of GST benefits for January to the government

New Delhi: FMCG major Hindustan Unilever Ltd (HUL) on Wednesday said it has offered another tranche of Rs36 crore of goods and services tax (GST) benefits for January to the government, taking the total to Rs155 crore since the tax rates were revised on 15 November last year. 
New Delhi: FMCG major Hindustan Unilever Ltd (HUL) on Wednesday said it has offered another tranche of Rs36 crore of goods and services tax (GST) benefits for January to the government, taking the total to Rs155 crore since the tax rates were revised on 15 November last year.
The company said while the revised GST rate was initiated immediately on 15 November, 2017, there was a lag on account of time required to change artworks on various products, order packing material, production and ensuring availability in stores. “Hence, it was not possible to immediately pass on the benefit of the November 15 GST rate reductions to the end consumers,"" HUL said in a statement.
To address the issue, company representatives had met government officials in December last year during which HUL had offered to deposit the GST benefits on a monthly basis with the government until transition is completed or until it is informed by the government of an alternative action. 
Out of Rs36 crore for January, a significant portion include benefits accrued on stocks, which were lying with HUL’s distributors during the time of transition on 15th November 2017, the company added. 
“With this third tranche, the total combined (HUL plus distributors) GST benefits offered by the company on its own accord to the government, amounts to Rs155 crore,"" it said. 
HUL further said the benefits accruing directly to it which needs to be passed on to consumers, have come down significantly from that in November and December as most of the company’s revised pricing networks have now landed in the market. 
For the 15-30 November, 2017 period, HUL said the estimated amount was Rs60 crore and it had offered to deposit the amount into the consumer welfare fund. 
“In the absence of clear legal provisions on this subject, the request was forwarded to the Director General of Safeguards. The company is awaiting advice from them so that it can deposit the cheques at the earliest,"" it added."
