,Date,Company,Article
172,,Vedanta,
171,2018-01-09,Vedanta,"Kumar Mangalam Birla is bidding for US aluminium producer Aleris, while Anil Agarwal of Vedanta rewarded himself with a 20% stake in Anglo American, becoming its largest shareholder

It’s hard to believe it now, but once upon a time Indians had a far bigger appetite for outbound M&A than their Chinese rivals. 
It’s hard to believe it now, but once upon a time Indians had a far bigger appetite for outbound M&A than their Chinese rivals.
That was just before the 2008 financial crisis, which dealt a body blow to India Inc.’s global ambitions. Then, in quick succession, came the credit-fuelled growth of China’s state-owned enterprises; the yuan’s appreciation; a string of corruption scandals in India that bred a climate of distrust in 2013 and 2014; and the subsequent meltdown in commodity markets, which hurt the more internationally active Indian buyers.
The tables have now turned so comprehensively it will be difficult, if not impossible, for the rankings to reverse.
Even last year, when Beijing was clamping down on Chinese firms’ shopping for trophy assets—like Anbang Insurance Group Co.’s purchase of the Waldorf Astoria or Dalian Wanda Group Co.’s takeover of Legendary Entertainment LLC—mainland buyers still ended up committing $144 billion to assets outside of China or Hong Kong. India’s tally was a paltry $5 billion.
Still, as the juggernaut of Chinese M&A rolls on (minus the flashy deals for which communist leaders have developed a distaste), Indians may not be down and out for too long. 
That’s the message from Kumar Mangalam Birla, whose Mumbai-listed Hindalco Industries Ltd is bidding for US aluminium producer Aleris Corp. According to Bloomberg reporters George Smith Alexander and Bhuma Shrivastava, the deal could value Aleris at about $2.5 billion, including debt. The last time Birla attempted anything this bold was when he paid $5.7 billion for Novelis Inc., the vehicle he’s using now to buy Aleris. That was 11 years ago.
The timing is impeccable. The automotive aluminium market is forecast to grow at a rate of 8.8% a year in the decade through 2026, driven by tougher fuel-economy standards. More than 40,000 new commercial jets will be delivered over the two decades through 2036, according to Boeing Co., representing another major source of aluminium demand.
Forecast annual expansion of aluminium market to 2026
Alcoa Inc.’s 2016 split from Arconic Inc. was predicated on the idea that the latter’s downstream business—which, like Aleris, provides specialized parts to key industrial users—would outperform the other unit’s smelting of commoditized primary aluminium.
Then on Thursday, Birla announced a plan to pump a little more than $500 million into his highly leveraged Indian telecom venture, which continues to hemorrhage amid intense competition from billionaire Mukesh Ambani’s Reliance Jio Infocomm Ltd.
Confident that his Idea Cellular Ltd, which is merging with the local unit of Vodafone Plc, will be among three mobile operators to survive the bloodbath, Birla is bringing in fresh equity.
This signals an inflection point. In 2013, the scion of the 150-year-old business family caused a flutter by telling Bloomberg News that India’s heightened uncertainty and lack of policy transparency were the worst among the 36 countries in which the group operated; he would rather invest overseas, Birla said then.
He didn’t quite make that splash abroad. Unlike Thai tycoons who are buying insurance against military control of their country by acquiring assets from Singapore to Vietnam and Myanmar, it’s important for the likes of Birla and the Tata group to do well at home—that’s what gives Indian entrepreneurs the confidence to make big moves overseas.
Take Anil Agarwal. Just two years ago, 2019 dollar bonds of the aluminium czar’s Vedanta Resources Plc were trading at less than 50 cents on the dollar.
After zinc prices doubled in a year, Agarwal came back as strong as his bond, and rewarded himself with a 20% stake in London-listed Anglo American Plc, becoming its largest shareholder. Nobody knows what he wants to do with Anglo. For clues, though, watch his bid to put together an Indian steel empire by plucking assets out of bankruptcy. If he’s successful, Agarwal could launch a global play in mining and metals.
The other Agrawal to watch spells his name like that. The first challenge for Saurabh Agrawal, who left Birla’s camp last year to become chief financial officer of the $105 billion Tata group, was to exit telecom and stabilize a troubled European steel unit. As cost savings from merging that business with Thyssenkrupp AG’s metals division materialize, expect Agrawal to slowly put Tata, the owner of Jaguar Land Rover and Tetley tea, back in the game as a buyer of global assets.
It’s hard to predict the timing, but bankers should be getting ready to say hello to Indian billionaires. They’re coming back. Bloomberg Gadfly"
170,2018-01-09,Vedanta,"In other news, Nazara Technologies acquires majority stake in Chennai-based NextWave Multimedia

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Banks may sell loans in RBI’s second list to ARCs in absence of bidders
In the absence of suitable bidders, banks may choose to sell to asset reconstruction companies (ARCs) many of the 28 stressed loan accounts the central bank asked them to resolve by 13 December or send to bankruptcy courts for launch of insolvency proceedings, reports Mint. Read more
JSW Infrastructure-Srei to buy Sterling Port in Dahej
A consortium of JSW Infrastructure, a part of Sajjan Jindal’s JSW Group, and Srei Infrastructure Finance Ltd is set to acquire the upcoming Sterling Port in Dahej from its lenders, reports Mint, citing two people aware of the matter. Read more
Life Healthcare said to weigh sale of Max Healthcare stake
Life Healthcare Group Holdings Ltd, the second-largest private hospital owner in South Africa, is considering a sale of its stake in India’s Max Healthcare Ltd, people with knowledge of the matter, reports Bloomberg. Read more
Investor-cum-entrepreneur Abhay Soi-led Radiant Life Care is in preliminary discussions to buy a strategic stake in Max Healthcare (MHC) as Life Healthcare Group Holdings considers a sale of its stake in Analjit Singh’s hospital chain, several people with knowledge of the matter told The Economic Times. Read more
Govt to divest 1.5% in NMDC today at Rs153.5 per share
The government will on Tuesday begin the sale of 1.5% stake in NMDC at a floor price of Rs153.50 apiece, with an option to retain over-subscription of equal quantum, PTI reports. Read more
Vedanta leads Electrosteel race with highest offer
Anil Agarwal’s Vedanta submitted the highest bid for bankrupt Electrosteel Steels, ahead of a Tata Group bid, reports The Economic Times, citing two people aware of the matter. The other bidders were Renaissance Group promoted by Abhishek Dalmia and an overseas fund backed by Edelweiss. Read more
Last year in October, Mint had reported that Vedanta Resources Plc will invest roughly $9 billion in India over the next few years to expand its hydrocarbons, metals and mining businesses and meet more of India’s requirements of these commodities locally, citing executive chairman Anil Agarwal in an interview. Read more
Shapoorji arm set to acquire Adani’s Bandra-Kurla Complex project for Rs2,000 crore
Conglomerate Shapoorji Pallonji Group’s investment arm Shapoorji Pallonji Investment Advisors is set to acquire a commercial project Inspire BKC in Mumbai’s business district Bandra-Kurla Complex (BKC) from Adani Realty in a nearly Rs2,000-crore transaction, reports The Economic Times, citing two persons familiar with the development. Read more
Nazara buys majority stake in Chennai company
The IPO-bound Nazara Technologies, a mobile gaming company, has acquired a majority stake in Chennai-based NextWave Multimedia, which develops games and digital content focused on the sports genre, reports The Times of India. Read more
SJVN to buy back 5% shares of over Rs801 crore
State-owned power producer SJVN Ltd said its board has approved a buyback proposal comprising 5% stake for over Rs801 crore. As on 5 January 2018, the promoters held 89.73% stake in the company, a joint venture of the Government of India and the Government of Himachal Pradesh, PTI reports. Read more"
169,2018-01-18,Vedanta,"Apart from Vedanta, a Japanese metals company may also join the race for acquiring Aleris

Mumbai: Mining mogul Anil Agarwal’s Vedanta Resources Plc. is considering a bid for Aleris Corp., a move that may pit it against Hindalco Industries Ltd’s $2.5 billion bid for the US-based aluminium products maker, two people aware of the development said. 
Mumbai: Mining mogul Anil Agarwal’s Vedanta Resources Plc. is considering a bid for Aleris Corp., a move that may pit it against Hindalco Industries Ltd’s $2.5 billion bid for the US-based aluminium products maker, two people aware of the development said.
Apart from Vedanta, a Japanese metals company may also join the contest for Aleris, a third person familiar with the development said on condition of anonymity. The name of the Japanese company could not immediately be ascertained. 
“While there is no certainty that Vedanta will eventually make a bid for Aleris, competitive bidding, if it happens, can make the deal expensive for the acquirer,"" said one of the two people cited in the first instance, requesting anonymity.
Requests for comment sent to Vedanta group remained unanswered until press time on Wednesday. A spokesperson for the Aditya Birla Group, of which Hindalco Industries is a part, said that “in line with our policy we do not comment on market stories"". A spokesperson for Aleris said the company did not comment or speculate on rumours.
Vedanta Resources has mines across the world and oil and gas operations in three countries. Its main products are copper, zinc, aluminium, lead, iron ore and petroleum. 
Vedanta group, which has raised close to $2 billion in the past one year, has been on an acquisitive mode in India as well and has shown interest in at least two distressed steel companies. 
Mint reported in December that Vedanta group was among the potential suitors for debt-laden Essar Steel Ltd, which is currently under corporate insolvency proceedings.
Apart from Essar Steel, Vedanta has also made a bid to acquire Electrosteel Steels Ltd, which is also under corporate insolvency proceedings, the people cited above said.
Mint reported in September that the Aditya Birla Group was among potential bidders for the Cleveland, Ohio-based Aleris for which the group was looking to assign a $2.5 billion enterprise value.
The offer is expected to include an investment of close to $1 billion through equity and debt, and refinancing of the company’s debt of around $1.5 billion, Mint reported, citing people aware of the matter. 
Earlier this month, Bloomberg reported that Hindalco Industries had made a non-binding offer for Aleris through its US unit Novelis Inc. 
“The transaction is likely to be driven from the US by Novelis, which will raise bulk of the acquisition funding whereas its parent Hindalco will only fund a smaller chunk if the acquisition goes through,"" said the second person cited above, also requesting anonymity.
Aleris’s private equity owners Oaktree Capital Group LLC and Apollo Global Management LLC had earlier agreed to sell the company to Zhongwang USA LLC for an enterprise value of $2.3 billion.
The transaction was called off in November after US officials raised national-security concerns about the Chinese-backed bidder, Bloomberg reported in January."
168,2018-01-18,Vedanta,"In other news, Birla's Aleris bid may face competition from Vedanta, while Sembcorp may list India unit, raise up to $600 million via IPO

Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country. 
Mumbai: Mint brings to you your daily dose of top deals reported by newsrooms across the country.
Birla’s Aleris bid may face competition from Vedanta
Mining mogul Anil Agarwal’s Vedanta Resources Plc. is considering a bid for Aleris Corp., a move that may pit it against Hindalco Industries Ltd’s $2.5 billion bid for the US-based aluminium products maker, reports Mint, citing two people aware of the development. Read more
Sembcorp may list India unit, raise up to $600 million via IPO
Singapore-based utility group Sembcorp Industries is gearing up to file for an initial public offering (IPO) of its Indian arm which could see the company raise around $500-600 million (about Rs3,200-3,800 crore), reports Mint, citing two people aware of the development. Read more
Puravankara arm Provident to invest Rs2,500 crore in affordable projects
Realty firm Puravankara Ltd’s affordable housing arm Provident Housing plans to launch 6-7 affordable housing projects across 10.3 million sq. ft, and invest around Rs2,500 crore to develop these over the next year or so, reports Mint. Read more
Grab acquires Indian payments startup iKaaz
SoftBank-backed Grab, Uber’s biggest competitor in Southeast Asian markets—chiefly Singapore, Malaysia and Indonesia—has acquired Bengaluru-based software startup iKaaz, whose mobile payments solution will be integrated with Grab’s own payments platform, reports Mint. Read more
Newgen Software IPO gets 70% subscription on Day 2
The Rs424.6 crore initial public offering (IPO) of software products maker Newgen Software Technologies Ltd received demand for 70% of the shares on offer on the second day of the sale on Wednesday. Read more
Lenders may drag Videocon arms to bankruptcy court
Lenders led by the State Bank of India may take step-down subsidiaries of Videocon Industries to bankruptcy court in order to arrive at a comprehensive resolution plan, said people aware of the matter. They will also explore ways of asserting their rights over assets of such overseas units, which include interests in oil and gas, that are outside the purview of the bankruptcy court, reports The Economic Times. Read more
Venture debt investors see scope to deploy Rs2,000 crore in startup market this year
Last year has been a blowout year for the Indian startup ecosystem with venture capital investors having poured in over $2.8 billion into startups, not counting strategic investors. It is only natural then that venture debt, which typically follows venture capital’s route, is poised for a landscape change in 2018, reports The Economic Times. Read more
Blackstone acquires stake in Forum Group’s retail space
The Blackstone Group has entered into a strategic partnership with Kolkata-based Forum Projects to invest in retail development in eastern India. The US private equity fund has just bought a substantial stake in Forum’s Bhubaneswar project for a little less than Rs300 crore, reports The Economic Times, citing two consultants familiar with the matter. Read more"
167,2018-01-31,Vedanta,"Vedanta profit slips around 4% to Rs2,053 crore in the third quarter ended 31 December as against Rs2,133 crore a year earlier

Bengaluru: Vedanta Ltd, the Indian unit of diversified miner Vedanta Resources Plc, reported an about 4% fall in third-quarter profit on Wednesday, missing analysts’ estimates. 
Bengaluru: Vedanta Ltd, the Indian unit of diversified miner Vedanta Resources Plc, reported an about 4% fall in third-quarter profit on Wednesday, missing analysts’ estimates.
Profit came in at Rs2,053 crore ($322.5 million) in the three months ended 31 December, compared with Rs2,133 crore a year earlier, the company said.
Analysts on average expected Vedanta to post a profit of Rs2,410 crore, according to Thomson Reuters data.
Total income for the quarter grew 16.5% to Rs24,934 crore.
The company incurred a one-time charge of Rs158 crore in the quarter related to the arbitration of a historical vendor claim in the aluminium business and acquisition-related cost of AvanStrate Inc, it said. Reuters"
166,2018-03-07,Vedanta,"Vedanta will have to establish the existence and ownership of 34,544 metric tonnes of iron ore to rebut allegations of illegal mining

New Delhi: The Supreme Court on Tuesday directed Vedanta Ltd to approach the additional city civil and sessions judge and special judge for CBI cases at Bangalore for release of 34,544 metric tonnes of iron ore.  
New Delhi: The Supreme Court on Tuesday directed Vedanta Ltd to approach the additional city civil and sessions judge and special judge for CBI cases at Bangalore for release of 34,544 metric tonnes of iron ore. 
Vedanta will have to establish its existence and ownership to rebut allegations of illegal mining over the same.
In doing so, a bench headed by Justice A.K. Sikri set aside a ruling of the Karnataka high court that had allowed the release of iron ore to Vedanta. 
It was noted that the high court while allowing the plea for release of iron ore had only relied on acceptance of the final report by the CBI judge dated 15 December, 2015.
The court was ruling on a plea by the state of Karnataka challenging a July 2017 order of the Karnataka high court allowing the release of 34,544 metric tonne of iron ore to Vedanta. The said iron ore was earlier seized on allegations of illegal mining against Vedanta.
On 4 July, 2017, the Karnataka high court, in the wake of a final report submitted by a special investigation team (SIT) set up by the Karnataka govt to look into the issue which did not find any impediment to release the iron ore in favour of Vedanta, had ordered its immediate release. 
The apex court on 7 September, 2012 had directed the Central Bureau of Investigation (CBI) to investigate into the illegal extraction and export of iron ore to other countries.
By a subsequent order of 16 September, 2013, the apex court permitted the CBI to refer the matter to the state government, and simultaneously directed it to take further necessary action in cases where the exporters had exported less than 50,000 metric tonnes without valid permits.
Accordingly, a SIT was appointed by the state of Karnataka, which submitted its final report on 8 October, 2015, found to be in favour of Vedanta."
165,2018-03-09,Vedanta,"Abhishek Dalmia's Renaissance Steel says Tata Steel and Vedanta are not eligible to bid for Electrosteel Steels's assets as they are guilty of criminal misconduct punishable with two or more years in jail

Kolkata: Abhishek Dalmia’s Renaissance Steel India Pvt. Ltd on Thursday approached the Kolkata bench of the National Company Law Tribunal (NCLT) alleging Tata Steel Ltd and Vedanta Ltd are not eligible to bid for the assets of Electrosteel Steels Ltd, which are being auctioned under the Insolvency and Bankruptcy Code (IBC). 
Kolkata: Abhishek Dalmia’s Renaissance Steel India Pvt. Ltd on Thursday approached the Kolkata bench of the National Company Law Tribunal (NCLT) alleging Tata Steel Ltd and Vedanta Ltd are not eligible to bid for the assets of Electrosteel Steels Ltd, which are being auctioned under the Insolvency and Bankruptcy Code (IBC).
In two separate petitions, Renaissance Steel said both Tata Steel and Vedanta group were found guilty of criminal misconduct punishable with two or more years in jail. 
So, under Section 29A of IBC, they are barred from bidding for stressed assets being sold under insolvency resolution.
The petitions have been admitted for further hearing, said Debanjan Mandal, partner, Fox and Mandal, the law firm representing Renaissance.
Renaissance Steel has alleged that Tata Steel UK Ltd, a subsidiary of the Indian steel maker, had pleaded guilty several times to violating the UK Health and Safety at Work Act.
“Tata Steel UK has faced multiple prosecutions, and has been convicted on each occasion,"" said the petition opposing Tata Steel’s bid, adding that the offences were punishable on conviction by up to two years in jail. But the UK authorities only imposed fines.
Tata Steel declined to comment. A spokesperson for Vedanta didn’t respond to an email seeking comments till press time.
The development comes a day after Tata Steel emerged the top bidder for Bhushan Steel, India’s top auto-grade steel maker.
That bid, too, could also suffer if Renaissance Steel’s objection to its bid for Electrosteel Steels is upheld in court.
Electrosteel Steels, which owes at least Rs11,000 crore, was taken to NCLT by State Bank of India.
Resolution professional Dhaivat Anjaria was not immediately available for comments.
In the second petition, Renaissance Steel said a subsidiary of Vedanta Resources Plc, the UK-based holding company, had violated pollution norms in Zambia, and was found guilty of criminal misconduct.
Konkola Copper Mines of the Vedanta group, which runs mining operations in Zambia, had in 2010 pleaded guilty to four charges brought against it under pollution laws.
Some of these offences were punishable with imprisonment of up to three years, Renaissance Steel said.
Renaissance Steel claimed in its petition that the resolution professional for Electrosteel Steels had accepted the “undertaking of eligibility"" provided by the bidders at “face value"", and that he was “duty bound to examine the issue of eligibility"" before receiving bids.
Enough information is available in the public domain which questions the eligibility of both the companies, Renaissance Steel said.
The key question facing the company law tribunal is whether Renaissance Steel could file objections at this stage, said a corporate lawyer in Kolkata, who asked not to be identified.
Though the bids have been received for the company’s assets, the resolution professional and the creditors have not yet picked any bid as successful, said this person. 
The company law tribunal may itself decide or ask the resolution professional to determine if the two bidders are eligible to bid, he added."
164,2018-03-13,Vedanta,"Vedanta shares rise 2.16% to Rs323.80  intraday after the company's board approves a dividend of Rs21.2 per share

Mumbai: Shares of Vedanta Ltd rallied after India’s biggest base metals producer announced a record dividend worth $1.2 billion, potentially helping its London-listed parent pare debt. 
Mumbai: Shares of Vedanta Ltd rallied after India’s biggest base metals producer announced a record dividend worth $1.2 billion, potentially helping its London-listed parent pare debt.
Vedanta, owned by billionaire Anil Agarwal, reversed from a loss to rise as much as 2.1% to Rs323.80 in Mumbai after its board approved Rs21.2 a share for a payout of Rs7,881 crore, its best-ever dividend and topping a record last year. A 7.5% payment on preference shares took the total to Rs8,091 crore for the fiscal year through March.
At 2.43pm, Vedanta shares were trading 0.96% up at Rs320 on BSE, while the Sensex was down 0.54% to 33,732.69 points.
The dividend, which is about double market expectations, will allow parent Vedanta Resources Plc to trim some of its borrowings, Goutam Chakraborty, an analyst at Emkay Global Financial Services Ltd, said by phone from Mumbai.
Vedanta Resources’ debt was almost $18 billion at the end of the last fiscal year, according to data compiled by Bloomberg, while Vedanta Ltd owed $11 billion. The Mumbai-based company mines and produces a variety of metals, including copper, zinc and aluminium. Base metals traded in London have risen 17% over the past year. Bloomberg"
163,2018-03-20,Vedanta,"Vedanta has proposed to offer rated, secured, redeemable, non-cumulative, non-convertible debentures aggregating up to Rs4,500 crore in one or more tranches

New Delhi: Metals and mining giant Vedanta Ltd on Tuesday said it is planning to raise Rs4,500 crore by issuing non-convertible debentures (NCDs). 
New Delhi: Metals and mining giant Vedanta Ltd on Tuesday said it is planning to raise Rs4,500 crore by issuing non-convertible debentures (NCDs).
“We would like to inform you that the company proposes to offer Rated, Secured, Redeemable, Non-Cumulative, Non-Convertible Debentures aggregating up to Rs4,500 crore, in one or more tranches,"" Vedanta Ltd said in a BSE filing.
In this regard, the company will hold a meeting of its duly constituted committee of the directors on 23 March 2018.
“The...issuance is pursuant to the approval of the shareholders passed vide special resolution at the 52nd Annual General Meeting of the company held on 14 July 2017 and the Board of Directors’ resolution passed at their meeting held on 31 January 2018,"" it added.
Vedanta Limited, a Vedanta Group company is a global diversified natural resources company, with operations across zinc-lead-silver, oil and gas, iron ore, copper, aluminium and commercial power."
