,Date,Company,Article
210,,Wipro,
209,2018-01-17,Wipro,"Four biggest IT stocks listed on NSE Infosys, TCS, Wipro, HCL Technologies rose between 4.1% and 5.9% on Tuesday, although part of that could be due to weakness in rupee

A rising tide may lift all boats, but to expect higher IT spending to benefit all Indian IT companies is clearly taking things too far. Morgan Stanley said in a 15 January note that “an improving global macro could spur tech spending, which could re-rate stocks"". The four biggest IT stocks listed on the National Stock Exchange rose between 4.1% and 5.9%, although part of that could be due to the weakness in the rupee, after the trade deficit for December came in at a three-year high.  
A rising tide may lift all boats, but to expect higher IT spending to benefit all Indian IT companies is clearly taking things too far. Morgan Stanley said in a 15 January note that “an improving global macro could spur tech spending, which could re-rate stocks"". The four biggest IT stocks listed on the National Stock Exchange rose between 4.1% and 5.9%, although part of that could be due to the weakness in the rupee, after the trade deficit for December came in at a three-year high. 
Ironically, the biggest gainer was the Wipro Ltd stock, on which Morgan Stanley still has an underweight rating with a target price of Rs290. Wipro shares rose to Rs334 apiece on Tuesday. Investors are taking the rising tide argument far too literally.
For that matter, even Morgan Stanley’s thesis is predicated upon the assumption that a turnaround in global IT spending will result in better times for the Indian IT sector. 
This isn’t necessarily the case. In recent years, multinational firms such as Accenture Plc and some small companies such as EPAM Systems Inc. and Globant SA have done far better than Indian IT firms, with spending patterns shifting towards new technologies at the expense of traditional services. 
Data collated by ISG, the world’s largest third-party outsourcing deal adviser, shows that Indian IT companies have lagged by a huge margin in the Americas region, despite high growth in overall deal flow. Growth in total deal flow tracked by ISG rose as much as 37% in Americas in the second half of 2017. 
“While the deal flow momentum in Americas was positive, the perplexing factor remains that for the top-4 Indian IT companies, growth in Americas has decelerated to 5% y-o-y in 2QFY18 (versus its near-term peak of 14% y-o-y)"", analysts at Nomura Research wrote in a note to clients. Results of Tata Consultancy Services Ltd and Infosys Ltd for the December quarter show that the weakness in growth continues—the former reported growth of less than 3% year-on-year in the Americas region. In short, the tide was rising in America, but it didn’t really lift Indian IT companies with it. 
A 2018 outlook report by ISG suggests this trend might continue in 2018. “Traditional sourcing will continue to face pricing pressure (as clients look to do more with less)... Traditional sourcing momentum remains slow... deal flow grew 3% y-y in 2017 (and is estimated to grow 4% in 2018),"" Nomura’s analysts said in the note citing the ISG report. What ISG classifies as traditional sourcing is the bread and butter segment for Indian IT companies. 
The other category of deals ISG tracks is classified as “as-a-service sourcing"", which includes Software as a Service and Infrastructure as a Service. This can be used as a rough proxy for digital spending, a segment where Indian IT companies have been lagging. Even here, ISG has indicated that deal flow is expected to fall to 20% in 2018, compared to 36% in the previous year."
208,2018-01-20,Wipro,"Wipro made a one-time $49.7 million provision related to investments in UK's Carillion Plc, which has filed for bankruptcy

Bengaluru: The bankruptcy of Carillion Plc, one of British government’s largest contractors, hit Wipro Ltd’s December quarter profit as India’s third largest software firm made a one-time provision related to its investments and billed work done for the UK builder. 
Bengaluru: The bankruptcy of Carillion Plc, one of British government’s largest contractors, hit Wipro Ltd’s December quarter profit as India’s third largest software firm made a one-time provision related to its investments and billed work done for the UK builder.
Significantly, Wipro is poised to become the first large Indian information technology (IT) outsourcing company to end the current financial year with fewer employees than it started with, as its headcount fell by 2,928 in the April-December period.
Wipro did not report any sequential dollar revenue growth in the three months to December, even as revenue in constant currency terms inched up 0.9% to $2.01 billion, which met management’s earlier guidance but fell short of Street expectations.
Wipro now expects to grow at-best 3% in constant currency terms in the January-March period, which the management claims reflects the momentum it needs to end the current fiscal with industry-matching growth.
Net profit declined 10% to $303 million from $336 million in the September quarter on account of the company making a $49.7 million provision to deal with investments it made as part of its 10-year contract with Carillion, signed in 2014.
Consequently, operating margin declined 250 basis points to 14.8% from 17.3% at the end of the September quarter.
One basis point is one-hundredth of a percentage point.
Stripped of this one-time provision, Wipro’s quarterly profit would have been up 5% sequentially at $352.7 million.
A Bloomberg survey of analysts had estimated a revenue of $2.14 billion (Rs13,684.3 crore) and a profit of $335.9 million (Rs2,144.4 crore). 
“Overall, I’m happy,"" Wipro chief executive officer Abidali Neemuchwala said in an interview. “Like I’ve said, we remain confident that beginning April, sequentially, our growth will be industry-matching or comparable to peers. We have resolved almost all company-specific issues and so we believe it’s just a matter of time before we start reporting industry-matching growth.""
Wipro’s third-quarter performance lagged its larger rival, Tata Consultancy Services Ltd (TCS), which posted a 1% sequential dollar revenue growth (1.3% in constant-currency terms) and Infosys Ltd managed a 1% dollar revenue growth (0.8% in constant currency terms).
Wipro’s energy and utilities vertical (which accounts for 12.4% of revenue) reported a 7.9% sequential decline. This was largely on account of Carillion going bankrupt and a few delays in decision-making by clients in Saudi Arabia. Still, Wipro’s clients in banking, financial services and insurance, or BFSI, who bring 28.5% of revenue, continued to affirm their faith in the firm, as the segment reported a 3.3% sequential increase.
“For now, the results, save for BFSI, does not have anything great. Communications vertical is still a soft spot. ENU (energy, natural resources and utilities) to remain volatile while we have not seen successive growth in healthcare and retail. So we have to wait until next quarter, by when the management will start reporting industry-matching growth,"" said a Mumbai-based analyst at a domestic brokerage, on condition of anonymity.
Wipro managing no dollar revenue growth in the third quarter, on the back of a 2.1% and a 0.9% increase in second and first quarters, respectively, means the firm has added $248.3 million in incremental revenue in April-December, 13% lower than the $285.6 million in new business in the same period of the last fiscal year.
For now, Neemuchwala maintained the firm’s organic growth remains higher in the current year than last year’s. Wipro added $358.2 million in new revenue in 2016-17 to report a 4.9% growth. In the current fiscal, the firm needs to add $377.5 million in incremental revenue to match that pace. This means Wipro will have to add $129.2 million in incremental revenue in the current fourth quarter to match last year’s growth.
For Wipro, revenue from digital offerings recorded a 46.1% growth to $505 million in the December quarter against $345.61 million in the June quarter of 2016, when the management first disclosed digital revenue. 
However, Wipro’s overall quarterly revenue inched up 4.3% to $2.01 billion from $1.93 billion in the same period. This was largely on account of a 4.55% decline in traditional business to $1.50 billion from $1.58 billion, according to a Mint analysis. One fallout of this shift is on the workforce. Wipro saw its workforce decrease by 1,206 people to 162,553 employees, after its headcount fell by 3,031 people in the second quarter."
207,2018-01-22,Wipro,"Just a matter of time before we start reporting industry-matching growth, says Wipro CEO Abidali Neemuchwala

Bengaluru: Wipro Ltd’s chief executive officer (CEO) Abidali Neemuchwala says his nearly two-year effort to bring about a turnaround at India’s third largest information technology (IT) company is almost complete and it is just a matter of time before the Bengaluru-based firm starts reporting industry-matching growth.  
Bengaluru: Wipro Ltd’s chief executive officer (CEO) Abidali Neemuchwala says his nearly two-year effort to bring about a turnaround at India’s third largest information technology (IT) company is almost complete and it is just a matter of time before the Bengaluru-based firm starts reporting industry-matching growth. 
Significantly, Neemuchwala maintains fiscal year 2018-19 will be better than the current financial year, mirroring the optimism shared by Wipro’s larger rivals Tata Consultancy Services Ltd (TCS) and Infosys Ltd. Mumbai-based TCS, which does not give out a quarterly or yearly growth target, expects to clock double-digit growth and Infosys CEO Salil Parekh said calendar year 2018 will be better than 2017.
“I feel pretty good with the step-by-step transformation we have undertaken… We are very confident (of starting to report sequential industry-matching growth from next fiscal). It’s just a matter of time because we have addressed all company-specific challenges,"" Neemuchwala said in an interview on Friday. 
“Every company will have some pockets which are soft. So do we… So communications vertical is one which is soft but it is because of macro issues or the environment. But I believe these soft pockets will not impact the overall growth of the company. So our guidance of 1-3% in constant currency terms (for January-March period) is our highest on organic basis in a long time, and this reflects the momentum we need,"" said Neemuchwala.
Wipro did not report any sequential dollar revenue growth in October-December although revenue inched up 0.9% in constant currency terms, which eliminate the effect of currency movements. However, Wipro added $248.3 million in incremental revenue in April-December, according to the management, reflecting initiatives leading to improved organic growth. 
Since joining Wipro as chief operating officer in April 2015, and then taking over as CEO on 1 February 2016, Neemuchwala, formerly with TCS, has taken a string of measures to improve Wipro’s ability to complete a project (delivery side of business) and also better its ability to sell solutions to newer customers (sales side). 
Neemuchwala has embarked upon what he describes as a six-pillar strategy, which includes focus on using automation tools, improving its ability to generate more revenue from existing clients, investing in newer technologies like cloud computing platforms and blockchain, and cutting reliance on sending Indians to other countries by hiring more locals in US and Europe. 
From undertaking an organizational change to restructuring the company’s business in India and West Asia, Neemuchwala has ensured stability among senior management ranks with only one senior executive departure in the past 23 months.
The firm has been the most aggressive among homegrown IT firms in acquisitions (spending $1.15 billion in buying six firms since April 2015) and making minority investments in start-ups (infusing more than $32 million in 13 start-ups and corporate venture firms) to make itself future-ready and offer newer solutions which help its clients run their business better.
Still, one fallout of the aggressive acquisition approach has been on the company’s profitability, which fell to 17.2% at the end of December quarter from 20.1% at the end of March 2016. For the December quarter, it fell to 14.8% as the company made a one-time provision related to its investments and billed work done for Carillion Plc., the British firm which went bust. 
Under Neemuchwala’s watch over the last seven full quarters as CEO, Wipro has managed to increase its quarterly revenue by 6.9% to $2.01 billion from $1.89 billion at the end of March 2016. Revenue from digital offerings or newer technologies recorded 46.1% growth to $505 million in the December quarter against $345.61 million in the June quarter of 2016, when the management first disclosed digital revenue.
Using more automation tools and profitability-related measures means Wipro’s headcount totalled 162,553 at December end against 156,831 at the end of March 2016. About 3,300 employees joined Wipro from the four acquisitions. So Wipro saw its workforce increase by 2,422 in 21 months. 
All these measures are now getting reflected, albeit in small ways. Wipro has increased the number of clients which bring more than $50 million in revenue every year by eight to 41 from 33 at the end of March 2016. The company now gets more business from banks: BFSI (banking, financial services and insurance) accounted for $573.7 million of the company’s total revenue in December quarter, a 20% jump from $478 million at the end of March 2016. One example is more business from Citigroup Inc., which brings at least $65 million in revenue every quarter as against $40 million at the end of March 2016, according to two company executives. 
Some analysts, understandably, are happy with the measures. 
“Abid is quietly creating a formidable machine to take on the industry—very aggressively pursuing some strategic clients in targeted verticals, with a strong focus on leveraging Holmes (artificial intelligence platform), its Designit acquisition and Topcoder (via Appirio). While the whole industry has been flat, Wipro has used this time strategically to focus very aggressively on digital, automation and crowdsourcing,"" said Phil Fersht, chief executive officer (CEO) of US-based HfS Research, an outsourcing research firm.
“Things are quietly bubbling at the firm. While its financial results of late have been flat along with most of the industry, I believe it is well positioned for a strong rebound as the industry picks up new momentum."" 
Investors too, appear to have faith in Wipro’s story. The stock jumped 32.24% in the last calendar year, higher than the 28% return delivered by the BSE’s benchmark Sensex and the 10.83% increase in the BSE IT index."
206,2018-01-22,Wipro,"Wipro, HCL Technologies and other IT firms said that they expect growth to pick up in the coming quarters, but it makes sense to wait and see if this materializes

Wipro Ltd and HCL Technologies Ltd, the third and fourth largest information technology (IT) services companies listed in India, reported results that were in line with Street estimates. Of course, HCL Technologies has been ahead of its peers and reported sequential growth of 3.3% in the December quarter, but as much as 1.5 percentage points of this might have come from inorganic contributions, according to an analyst at a multinational brokerage.  
Wipro Ltd and HCL Technologies Ltd, the third and fourth largest information technology (IT) services companies listed in India, reported results that were in line with Street estimates. Of course, HCL Technologies has been ahead of its peers and reported sequential growth of 3.3% in the December quarter, but as much as 1.5 percentage points of this might have come from inorganic contributions, according to an analyst at a multinational brokerage. 
Besides, it appears to have stepped up its strategy of buying growth by entering into intellectual property-related deals with International Business Machines Corp. (IBM). In fiscal 2016-17, the company reported cash outflows of $387 million on this count. In the first three quarters of this fiscal, outflows rose to $583 million. 
Adjusted for revenues from these deals and other acquisitions, year-on-year growth of the company wouldn’t be very different from the mid single-digit growth reported by peers Tata Consultancy Services Ltd and Infosys Ltd. In reported terms, HCL’s revenue growth looks far more impressive at 13.9%. 
Growth at Wipro remains pedestrian at 0.9% in constant currency terms sequentially for the December quarter. The company expects growth to pick up to between 1% and 3% in the March quarter, which it says will bring it to industry-level growth rates. But a moot point is that growth in the seasonally strong June and September quarters matters far more. It remains to be seen if the company will grow in line with peers during those quarters. 
Both companies reported better growth compared to TCS and Infosys in the banking, financial services and insurance (BFSI) segment; although that has been the case for the past few quarters. For the industry as a whole, this segment continues to be lacklustre and is the primary reason overall growth has remained subdued. In HCL’s case, growth in infrastructure services remained subdued, although the company said it expects a pick-up in the coming quarters. This segment used to drive growth for the company until not too long ago.
All told, Wipro and HCL’s results give the impression, like TCS and Infosys’s, that growth remains sluggish for Indian IT firms. While most of these companies said they expect growth to pick up in the coming quarters, it makes sense to wait and see if this materializes. After all, even FY18 was expected to be a better year compared to FY17, although things haven’t turned out that way."
205,2018-02-07,Wipro,"Wipro appoints new leaders to head oil and gas practice and manufacturing and technology vertical, two segments which together bring 39% of company's total revenue

Bengaluru: Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, who took over as boss of India’s third largest information technology (IT) outsourcing company in February 2016. 
Bengaluru: Wipro Ltd has entrusted its current head of manufacturing and technology practice to head the energy vertical, and created a new role for the head of oil and gas practice, marking the first management changes under chief executive Abidali Neemuchwala, who took over as boss of India’s third largest information technology (IT) outsourcing company in February 2016.
N.S. Balasubramanian, who heads the manufacturing and technology practice, Wipro’s second largest vertical, accounting for 22.7% or $457 million of company’s December quarter revenue, will take over as head of energy, natural resources, utilities and construction (ENU) business unit. Anand Padmanabhan, who in his decade-long leadership role as head of ENU has made it the largest practice among all homegrown IT companies, will take over as head of business development and strategic sales. Padmanabhan has been mandated to help Wipro win more large outsourcing contracts.
Both Balasubramanian and Padmanabhan hold the designation of president at the company, and report into Neemuchwala.
A spokesperson for Wipro confirmed these changes, which will be effective from 1 April 2018.
“Wipro Ltd has announced the organisational changes in line with its stated intent to rotate talent and provide diverse leadership opportunities that will give an impetus to its business strategy in the changing IT landscape,"" said a spokeswoman.
“Anand Padmanabhan (AP) will use his global experience to grow and drive localisation in ‘Leveraged Geographies’, which include Asia Pacific & Japan, Continental Europe, Canada, Middle East and Africa.""
Since joining Wipro as chief operating officer in April 2015, and then taking over as CEO on 1 February 2016, Neemuchwala, formerly with TCS, has not made any major changes to his senior leadership team or to executives who report to him. This is one reason why Wipro, save for one senior executive departure in the last two years, has managed to have a stable management team.
Still, a few analysts have also faulted Neemuchwala for his conservative approach of not bringing new leaders to head business units as possibly one reason behind the company’s slow pace of growth.
Neemuchwala has repeatedly tried to assuage any such concerns and for now maintains that beginning the financial year in April, Wipro will start reporting industry-matching growth. 
“Now, CEOs do things differently. Some CEOs come and say, look, I’m in a hurry and I have to make all the changes and bring people I know. Some CEOs say that this is a transformation journey, if you have the right people with learnability skills, you help them with a reskilling programme. You’ve got to give time to people to change and learn with the new environment,"" Neemuchwala told Mint last year on his approach of continuing with the same set of leaders. 
“I believe a stable leadership team with stable customer relationships is needed.""
Additionally, Wipro also appointed Deepak Acharaya as the general counsel and Global head, Legal, after the earlier head Inderpreet Sawhney left the company last summer to join rival Infosys Ltd. 
Wipro has split its manufacturing and technology business unit into two separate businesses that the management believes will help it improve focus. Ankur Prakash, who was one of the executives who joined Neemuchwala from Tata Consultancy Services Ltd (TCS) in 2015, and who is heading business for Latin America, has been given the additional responsibility of overseeing manufacturing practice. Nitin Parab will head the business from clients in the technology space."
204,2018-02-08,Wipro,"Cognizant, DXC Technology, Wipro and Tech Mahindra, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people

Bengaluru: Cognizant Technology Solutions Corp., DXC Technology Co., Wipro Ltd and Tech Mahindra Ltd have reported that their workforce has shrunk in 2017, an event that has no parallel in the two-decade history of the information technology industry in India.  
Bengaluru: Cognizant Technology Solutions Corp., DXC Technology Co., Wipro Ltd and Tech Mahindra Ltd have reported that their workforce has shrunk in 2017, an event that has no parallel in the two-decade history of the information technology industry in India. 
Notwithstanding that fact, the companies have denied that they have laid off employees in this period.
These four firms, which together employed 719,471 people on 1 January 2017, saw their workforce fall by 26,677 people to end the year with 692,794 people (see table). Cognizant, Wipro and Tech Mahindra together saw a net decline of 3,677 people, after having added over 55,000 people in 2016. DXC, which was formed last year from the merger of Hewlett-Packard’s enterprise-services division with Computer Sciences Corp., reported the largest decline in workforce, dropping from 178,000 people in January to 155,000 by the end of September, the latest quarter for which numbers are available.
Although Tata Consultancy Services Ltd, Infosys Ltd and HCL Technologies Ltd have managed to increase their workforce, the number of people let go by the largest companies is higher than the decline in workforce suggests as they all continued to hire young engineers.
These seven largest companies employed 1,404,656 people at the end of December. That compares with the 1,408,823 they employed in January, a net decline of 4,167 in 2017, after having added more than 103,000 people in 2016.
Until 2017, not a single large IT outsourcing company has ever seen its headcount decline, and starting 1996, year after year, for more than two decades, all companies managed to keep adding to their workforce until the industry hit a perfect storm last year. 
These companies’ traditional approach of deploying armies of engineers to manage computers or offering customer support to clients and client-run businesses was getting commoditised and increasingly disrupted by the embrace of smart automation tools. Business from areas generally classified as social, mobile, analytics, cloud and Internet of Things—all of which is clubbed under the fuzzy word Digital—is on the rise, although it is still less than a fourth of total revenue at home-grown IT firms.
A fallout of this shift is that the world has become digital, and the IT outsourcing companies haven’t (at least, not enough), reflecting their under-preparedness in adapting to newer technologies. US President Donald Trump’s protectionist policies have also forced these companies to hire more Americans.
Since the industry now is the largest job creator, employing 3.9 million people, fewer jobs at the largest companies is worrying news not just for the companies but for the country as a whole.
Many experts feel that the industry will see a further reduction in headcount in the years ahead.
“The global IT and BPO services industry employs 16 million workers today. By 2022, our industry will employ 14.8 million—a likely decrease of 7.5% in total workers,"" Phil Fersht and Jamie Snowdon, analysts at US-based HfS Research, an outsourcing-research firm, wrote in a 3 February note. “This isn’t devastating news—we’ll lose this many people through natural attrition, but what this data signifies is this industry is now delivering more for less because of advantages in automation and artificial intelligence."""
203,2018-02-12,Wipro,"Wipro Consumer Care plans to step up its initiatives in the e-commerce segment by leveraging and learning from its investment in Happily Unmarried Marketing

Bengaluru: Wipro Consumer Care and Lighting will reach the $1 billion revenue mark by March 2018, as the company’s China bets in particular continue to pay off and key brands in India perform well.  
Bengaluru: Wipro Consumer Care and Lighting will reach the $1 billion revenue mark by March 2018, as the company’s China bets in particular continue to pay off and key brands in India perform well. 
“We continue to do well in south China. Both Guangdong and Hainan provinces are strong for us. Guangdong itself is about a $1 trillion province. It’s not a small place so if you do well there, you continue to do well (overall),"" Vineet Agrawal, Wipro Consumer Care’s chief executive officer said in an interview.
The personal care arm of Wipro Enterprises plans to step up its initiatives in the e-commerce segment by leveraging and learning from its investment in Happily Unmarried Marketing Pvt. Ltd.
The company generated about $911 million in revenue for the 2016-17 financial year. Wipro Consumer Care had originally expected to cross the $1 billion revenue mark a couple of years ago. But challenges ranging from currency fluctuations to policy changes like demonetisation have hurt business over the past two years, resulting in delays.
Over half of its revenue now comes from international markets, driven by China. Of the four global acquisitions that Wipro Consumer Care has done since 2007, three were of companies that had an existing presence in China.
Before it bought Singaporean consumer goods firm Unza Holdings Ltd for $246 million in 2007, the Wipro group company used to get about $10-12 million in revenue from China. In 2016-17, China accounted for around $75 million in revenue.
Buying Unza gave Wipro an entry into the personal wash and deodorant categories in Guangdong and Hainan. In 2016, Wipro bought Chinese fast-moving consumer goods (FMCG) firm Zhongshan Ma Er Daily Products Ltd, strengthening its hold in Guangdong.
Apart from China, Vietnam, Indonesia and India are the other fast-growing markets for the company, while more established and saturated markets like Malaysia, Singapore, Hong Kong, Thailand clock slower growth rates.
In India, the company’s products range from personal care – including soap brands like Santoor and Chandrika—to home care products—like Safewash liquid detergents for clothes—and lighting solutions for home and commercial use."
202,2018-02-12,Wipro,"In other news, ONGC Videsh-led consortium picks up 10% stake in UAE's Zakum oilfield, while Wipro Consumer Care is set to cross $1 billion in revenue by next month

US stocks rebound; Asian markets open mixed 
US stocks rebound; Asian markets open mixed
The Dow Jones industrial average rebounded more than 300 points Friday, paring deep losses for investors in what still amounted to the worst week in two years.
Asian markets were mixed early on Monday, while oil prices edged up after recording six straight days of declines.
SGX looks to bypass curbs placed by Indian bourses
The Singapore Stock Exchange (SGX) said it will develop new products to provide investors with access to Indian securities after exchanges in the country abruptly decided to end licensing their products and data to overseas bourses.
ONGC Videsh-led consortium picks up 10% stake in UAE’s Zakum oilfield
A consortium of Indian companies led by state-owned Oil and Natural Gas Corp. Ltd (ONGC)’s overseas arm, ONGC Videsh Ltd, has bought a 10% stake in the UAE’s offshore oil and gas field Zakum, as India pursues overseas hydrocarbon assets, while oil-rich nations resort to ways of reducing risk and balancing their budget deficits.
Wipro Consumer Care set to cross $1 billion in revenue by next month
Wipro Consumer Care and Lighting will reach the $1 billion revenue mark by March 2018, as the company’s China bets in particular continue to pay off and key brands in India perform well.
Aditya Birla Capital to launch ARC business this quarter
Aditya Birla Capital Ltd (ABCL), the financial services business of the $50 billion Aditya Birla Group, will begin investing in its asset reconstruction company (ARC) and start business this quarter, reports Mint.
Tata Motors to leverage group strength on future of mobility: MD Guenter Butschek
As the auto industry goes through disruptions brought by new technologies, Tata Motors is banking on group strength, particularly on software major TCS, in its bid to position itself as a mobility solutions provider, according to its MD and CEO Guenter Butschek.
Atria Convergence hires investment banks for IPO
Atria Convergence Technologies Pvt. Ltd (ACT), a broadband services provider controlled by private equity firms TA Associates and True North, has hired investment banks to help it raise Rs1,500-2,000 crore through an initial public offering (IPO).
Earnings corner
Bank of India, Britannia Industries Ltd, JK Tyres and Gail India Ltd are among the companies that will be announcing their December quarter earnings on Monday."
201,2018-02-21,Wipro,"Telangana government says Wipro Consumer Care has decided to invest Rs220 crore for setting up a toilet soaps manufacturing unit  in Rangareddy district

Hyderabad: Telangana on Wednesday said the consumer products division of Wipro, Wipro Consumer Care, has decided to invest Rs220 crore for setting up a manufacturing unit in the state. 
Hyderabad: Telangana on Wednesday said the consumer products division of Wipro, Wipro Consumer Care, has decided to invest Rs220 crore for setting up a manufacturing unit in the state.
The proposed unit will manufacture toilet soaps and other personal care products, an official release said.
The project will come up on a 40-acre land in Maheshwaram mandal of Rangareddy district, creating 300 direct jobs and about 200 indirect ones, it added. 
Telangana minister for IT and Industries KT Rama Rao suggested that there are many other business opportunities that Wipro can explore in the state.
“Wipro has a good presence in the state and its new manufacturing unit will boost the progress of the industrial sector in Telangana,"" he said.
The state government has given approvals to many mega projects through the Telangana State Industrial Project Approval and Self-certification System, and the latest investment by Wipro is a testimony to that, the official release said."
