,Date,Company,Article
117,,Zee,
116,2018-01-20,Zee,"Simultaneous elections are possible only if all political parties work together, said PM Narendra Modi in an interview to Zee News

New Delhi: Prime Minister Narendra Modi said on Friday that all political parties should come together to support simultaneous elections in India as a lot of financial and human resources get used due to frequent elections. 
New Delhi: Prime Minister Narendra Modi said on Friday that all political parties should come together to support simultaneous elections in India as a lot of financial and human resources get used due to frequent elections.
Modi said that simultaneous elections are possible if all political parties work together because no political party or government alone can be successful in holding simultaneous polls both at the national and state level.
“All political parties should come together on simultaneous polls, let there be a nationwide debate on simultaneous polls. I am confident that if there is discussion in the country, something good will come out. Apart from spending huge amount of financial and human resources in conducting elections, the security forces and police find it difficult to serve the people because they are busy in election duties,"" Modi said in an interview to Zee News.
Modi said that the Bharatiya Janata Party-led National Democratic Alliance (NDA) government had helped 100 million people start their own business through the Mudra Yojana, under which a total amount of Rs4 trillion was given to people for the purpose.
Modi said that 7 million new EPF (Employees’ Provident Fund) accounts have been opened in the past one year. “The government is working in the right direction. Is it not job creation when 10 crore people get money to start their own business? Out of the 10 crore people, 3 crore people got money from the bank for the first time, is it not job creation?"" Modi asked.
During the course of the interview, when Modi was asked about the focus of the upcoming Union Budget, he said that development is the only message of the NDA and that the government would take all possible steps to ensure that the fruits of development reach everyone. “Development, development and development is the only message of the Union government. We are working with the motive of development for all,"" said Modi.
On the performance of the BJP-led government at the centre in the last three years, Modi said some of its biggest achievements were the Jan Dhan Yojana (opening bank accounts), toilets in schools, 33 million families getting cooking gas cylinders, electrification of 18,000 villages, people being provided insurance in 90 paise and distribution and installation of LED lights.
“The implementation of goods and services tax succeeded because of the federal structure of the country and NDA honours the spirit of federal structure. It is a huge transformation and some adjustments would take time. Government should work for the people, not to win elections,"" said Modi.
Meenal Thakur contributed to this story."
115,2018-02-14,Zee,"Zee5, which will subsume Zee's existing video streaming platforms Ozee and Ditto TV, comes with 1 lakh hours of content including exclusive originals, movies and TV shows, music, live TV, health and lifestyle videos in 12 regional languages

New Delhi: Television broadcaster Zee Entertainment Enterprises Ltd on Wednesday launched a new video streaming platform Zee5 to establish a stronger presence in the digital market for the next phase of growth. 
New Delhi: Television broadcaster Zee Entertainment Enterprises Ltd on Wednesday launched a new video streaming platform Zee5 to establish a stronger presence in the digital market for the next phase of growth.
Zee5, which will subsume Zee’s existing video streaming platforms Ozee (advertising-based) and Ditto TV (subscription-based), comes with 1 lakh hours of content including exclusive originals, Indian and international movies and TV shows, music, live television, health and lifestyle videos in 12 regional languages.
“A new platform was created because the digital growth story is happening now. Video streaming platforms have been targeting younger audiences between 18 and 35 years of age but Zee5 caters to 12 languages across the country. We are going down to tier-II and tier-III cities with strong language content and not just focusing on metros and mini-metros,"" said Amit Goenka, chief executive officer at Zee International and Z5 Global. 
Zee5 has adopted a free plus premium pricing model with both free and paid content and will compete with the global players Netflix and Amazon Prime Video, broadcaster-owned platforms Hotstar and Voot, and SonyLIV and independent video-on-demand service providers like YuppTV, Hooq and Spuul. 
The premium content of the platform will be available to consumers at a monthly charge of Rs150 (the launch offer price is Rs99) and the existing 10 million users of OZee and Ditto TV will be upgraded to Zee5. 
“So far, our digital platforms have been a very small part of our business. With 4G and data prices going down, the consumption of video is skyrocketed. Almost 57% of the overall data usage is video consumption. This is the right time to launch a platform with quality content,"" added Goenka, without disclosing the revenue targets from Zee5. 
“Talking about the numbers is not meaningful right now because Barc (Broadcast Audience Research Council, India) is yet to come out with the digital audience measurement system. Right now, the focus is on getting audiences and increasing consumption,"" he said. 
TV ratings viewership agency Barc India’s digital media measurement products are due for launch later this year in a phased manner and will help advertisers make decisions with independent audience measurement data, which hasn’t been available so far.
Zee’s move comes at a time when advertising on digital media is all set to command 18% of the overall advertising spends in 2018 (and will go up to 25% in three years), growing at a rate of 30%. Digital media advertising is expected to touch Rs12,337 crore in 2018, up from the estimated Rs9,490 crore in 2017, according to a report This Year Next Year (TYNY) released by WPP-owned media agency GroupM. 
Zee, with interests in broadcasting, movies, music, digital, live entertainment and theatre businesses, has a presence in more than 173 countries and a reach of more than 1.3 billion people around the world. “The launch of Zee5 further strengthens us as a media and entertainment powerhouse. A blend of unrivalled content offering and robust technology is the foundation of this all-new digital offering from our end,"" said Punit Goenka, managing director and chief executive officer at Zee Entertainment Enterprises Ltd, in a statement."
114,2018-02-16,Zee,"Essel Group's Zee Learn will pick up 44.53% stake in MT Educare through a preferential allotment and has already made an open offer to buy 26% more from shareholders

Mumbai: Essel Group’s education unit Zee Learn on Thursday said that it is acquiring a controlling stake in MT Educare Ltd for Rs200 crore. 
Mumbai: Essel Group’s education unit Zee Learn on Thursday said that it is acquiring a controlling stake in MT Educare Ltd for Rs200 crore.
In a stock exchange filing, Zee Learn said that it has signed a definitive agreement to invest Rs200 crore in MT Educare through a preferential allotment for a 44.53% stake.
MT Educare, in a separate filing said that it will issue preferential shares to Zee Learn at Rs62.57 per share for this transaction.
Zee Learn has also made an open offer announcement to acquire an additional 26% in MT Educare from public shareholders.
As part of the open offer, Zee Learn will acquire 18.66 million shares at Rs72.76 per share, which will see the company spend approximately Rs135.80 crore.
Shares of MT Educare on Thursday reached an intra-day high of Rs73.3 apiece, before closing at Rs71.35, up 2.15% on BSE. Shares of Zee Learn rose 0.34% to close at Rs44.75, while the benchmark Sensex closed at 34,297.47, up 0.41%.
“The acquisition of MT Educare Ltd is aligned with our strategy to increase our footprint across segments in the education sector and consolidate our offerings through the digital route,"" said Debshankar Mukhopadhyay, CEO of Zee Learn.
“This stake acquisition will strengthen our pre-school and K-12 offerings through Kidzee & Mount Litera Zee Schools respectively and will also mark our entry into the high-growth market of edutech through Robomate and test preparation/tutorials through other brands like Mahesh Tutorials, Lakshya and Chitale classes,"" Mukhopadhyay added.
He also said the association will create high-value content and enrich the student experience by leveraging the strong experience of the academic teams of both companies.
In 2011, Zee Learn had announced its plans to acquire Mumbai-based Tree House Education & Accessories Ltd, which operates preschool chain Tree House. But the deal was finally called off in 2016.
Established in 1988, MT Educare provides education support and coaching services in schools across Maharashtra and has operations in other states like Tamil Nadu, Kerala, Andhra Pradesh, Telangana, Karnataka, Punjab, Haryana, Assam, Odisha, Uttar Pradesh and Gujarat.
MT Educare is backed by PE firms Kitara Capital, Helix Investment, BanyanTree Growth Capital and Abu Dhabi Investment Authority, the sovereign wealth fund of the emirate of Abu Dhabi."
113,2018-02-16,Zee,"Jet Airways expects Gulf business to remain under pressure in Q4, while AirAsia India plans to add up to 70 planes to its fleet in 5 years

US stocks end higher; Asian markets follow suit 
US stocks end higher; Asian markets follow suit
US stocks rose sharply in choppy trading Thursday as the major indices extended their current winning streak to five days. The move higher took place despite interest rates reaching multi-year highs.
Gains on Wall Street lifted Asian equities on the last day of the week, but trading in the region was subdued with many markets shut for the Lunar New Year holiday.
Fortis case: Supreme Court allows financial institutions to sell pledged shares
The Supreme Court has lifted its stay on sale of shares of Fortis Healthcare Ltd pledged with banks, including Axis Bank, Yes Bank and RBL Bank, by former Ranbaxy promoters Malvinder and Shivender Singh before 31 August. Banks were earlier restrained from selling pledged shares in Fortis Healthcare.
Axis Bank sells down transactions against LoUs issued by PNB
Axis Bank informed the stock exchanges that the bank has sold down all the transactions which it had undertaken against the Letter of Undertakings (LoUs) issued by Punjab National Bank. 
PNB hands over to CBI 150 fraud LoUs issued to Nirav Modi
Billionaire jewellery designer Nirav Modi and other members of his family, who fled the country last month, allegedly made fraudulent transactions of over Rs11,400 crore through 150 letters of understanding (LoUs) issued by the Punjab National Bank (PNB)
Zee Learn to acquire a controlling stake in MT Educare for Rs200 crore
Essel Group’s education unit Zee Learn said that it is acquiring a controlling stake in MT Educare Ltd for Rs200 crore.
Jet Airways expects Gulf business to remain under pressure in Q4
Naresh Goyal-owned Jet Airways India Ltd expects its business in the Middle-East and Gulf markets, where it deploys about 15% of its total capacity, to remain under pressure during the March quarter. Read more
AirAsia India plans to add up to 70 planes to its fleet in 5 years
Low-cost carrier AirAsia India plans to add up to 70 aircraft to its fleet over the next 4-5 years as it seeks to aggressively expand services, domestic market share and network.
Aster DM IPO sees overall subscription of 1.33 times on last day
The Rs980 crore initial public offering (IPO) of Aster DM Healthcare Ltd, which runs hospitals in India and West Asia, witnessed an overall subscription of 1.33 times on Thursday, the last day of its share sale."
112,2018-03-24,Zee,"The managing director and chief executive officer of Zee Entertainment Enterprises on his triumphs, missteps, and the virtues of focusing on a single task

Punit Goenka remembers the exact moment he stopped seeing viewership numbers on Fridays. 
Punit Goenka remembers the exact moment he stopped seeing viewership numbers on Fridays."
111,2018-03-26,Zee,"Zee Entertainment and Turner International ended a 16-year-old strategic collaboration on Monday

New Delhi: Zee Entertainment Enterprises Ltd (ZEEL) and Turner International ended a 16-year-old strategic collaboration on Monday and the mutually decided to work independently to drive subscription revenues. 
New Delhi: Zee Entertainment Enterprises Ltd (ZEEL) and Turner International ended a 16-year-old strategic collaboration on Monday and the mutually decided to work independently to drive subscription revenues.
The two brands had joined hands in 2002 to manage distribution and trade marketing for a bouquet of channels in India.
Turner, an American entertainment and distribution brand, is known for creating and managing the sales, distribution and marketing of news and entertainment brands like CNN International, Cartoon Network, POGO, Toonami, HBO and WB across India and South Asia. Turner Asia Pacific is the parent company of Turner International India Pvt. Ltd. (Turner India), which operates 63 channels in 13 languages in 37 countries in the region. 
Subhash Chandra-led media and entertainment company ZEEL, meanwhile, is present across broadcasting, movies, music, digital, live entertainment and theatre businesses, both within India and overseas. Owned by the Essel Group, it is one of India’s oldest media organizations.
Both ZEEL and Turner declined to comment on the story.
Industry experts said the split doesn’t come as a surprise. The collaboration made sense earlier given Turner’s bouquet of cartoon and kids’ channels, which ZEE had no expertise in.
“You could bundle channels together and pricing happened at a bouquet level,"" said Girish Menon, co-head, media and entertainment, KPMG India. “Now with the change in Trai (Telecom Regulatory Authority of India) regulations, each channel has to be priced individually and doesn’t allow for bouquet-level bargaining or make for much economic benefit.""
Industry experts pointed to the other media and distribution partnerships that have dissolved over time—in 2014, Star India and ZEE called off the 50-50 distribution joint venture they had inked in 2010.
“The regulation can be a reason. That is how the market is evolving,"" said Abneesh Roy, an analyst with Edelweiss Securities."
110,2018-05-10,Zee,"Zee Entertainment's operating revenue rises to Rs1,725.3 crore during January-March quarter

New Delhi: Zee Entertainment Enterprises Ltd (ZEEL), which operates channels such as Zee TV and Zee Cinema, reported an 84.8% decline in net profit for the March quarter, despite a 12.9% growth in operating revenue. 
New Delhi: Zee Entertainment Enterprises Ltd (ZEEL), which operates channels such as Zee TV and Zee Cinema, reported an 84.8% decline in net profit for the March quarter, despite a 12.9% growth in operating revenue.
Net profit fell to Rs231 crore during January-March quarter from Rs1,515.2 crore in the year-ago period, as operating revenue rose to Rs1,725.3 crore from Rs1,528 crore. Overall expenditure rose 15.08% to Rs1,219.1 crore from Rs1,059.3 crore.
During the quarter, ZEE’s advertising revenue rose 23.9% to Rs1,049.6 crore from Rs846.9 crore. Adjusted for sports, domestic advertising grew by 24.9% to Rs983.4 crore. On a comparable basis (excluding sports, Reliance Broadcast Network Ltd and India Webportal Pvt Ltd), domestic advertising revenue grew by 21.5%. International advertising revenue for the quarter was Rs66.2 crore. Revenue from subscriptions declined by 2% to Rs546.5 crore. Adjusted for the sale of sports business, however, domestic subscription revenue grew by 18.1% to Rs452.1 crore. International subscription revenue dropped to Rs94.4 crore.
“We are delighted with the strong operating and financial performance during the quarter,"" said Punit Goenka, managing director and chief executive officer, ZEEL, in a statement. “Domestic ad revenue growth of 24% is driven by broad based recovery in advertising spends. With high visibility of product campaigns, improving consumer demand and GST (goods and services tax) related benefits trickling down to ad spends, we are confident of continued traction in advertising spending. The full-year domestic subscription revenue growth of 12% is a tad lower than our initial expectations due to some unforeseen events. However, there is no change in our medium-term outlook for the same."" 
During the quarter, ZEE also launched its digital entertainment platform ZEE5.
“We are happy with the initial response (to ZEE5) and are confident that the sheer depth and breadth of our content offering will enable it to become the number one digital entertainment platform in India,"" Goenka said. “We have also focused on the peculiarities of the Indian market and designed technological features to improve the user experience. Unlike most of the existing apps which are either focused on the English-speaking segment or the youth audience, ZEE5’s vast content catalogue is designed with an objective to cater to all sections of video viewing audience."""
109,2018-05-15,Zee,"Shariq Patel, as a CEO for Essel Vision Productions, will report to Punit Goenka, MD and CEO, Zee Entertainment Enterprises

New Delhi: Television and media entertainment company Zee Entertainment Enterprises Ltd (ZEEL) announced the appointment of Shariq Patel as chief executive officer (CEO) for Essel Vision Productions Ltd. Essel Vision is a private company promoted by ZEEL owner Subhash Chandra and is known for television programmes like Sa Re Ga Ma Pa and films like Marathi blockbuster Sairat. Patel will report to Punit Goenka, managing director and CEO, ZEEL. 
New Delhi: Television and media entertainment company Zee Entertainment Enterprises Ltd (ZEEL) announced the appointment of Shariq Patel as chief executive officer (CEO) for Essel Vision Productions Ltd. Essel Vision is a private company promoted by ZEEL owner Subhash Chandra and is known for television programmes like Sa Re Ga Ma Pa and films like Marathi blockbuster Sairat. Patel will report to Punit Goenka, managing director and CEO, ZEEL.
Patel has previously served as senior vice president at Studio18 and at Indian Cricket League (ICL), a private cricket league funded by Zee Entertainment Enterprises that operated between 2007 and 2009 in India. He was also vice president and station head at Radio One and manager-product development at telecommunications company Bharti Airtel.
Along with its other leading businesses, films and television content production have been fundamental business verticals for ZEEL, both having immense growth potential, the company said in a statement. Patel’s appointment enhances ZEEL’s approach in strengthening the two arms.
Essel Vision is known for its films, an area it ventured into in 2012 by distributing Mahesh Manjrekar-directed Kaksparsh. It soon turned to full-fledged production with teenage love story Timepass (2014). Besides making content for Zee and Zee Marathi TV channels, Essel Vision also made the Marathi blockbuster film Sairat for Rs3.5 crore which collected more than Rs100 crore at the box office.
Apart from Hindi films like Aishwarya Rai-starrer Jazbaa (2015), the company also has to its credit some of the highest grossing films in the Marathi language, according to previous Mint reports. It has backed the critically acclaimed Duniyadari (2013) that made Rs25 crore, Timepass (2014) that earned Rs40 crore, Lai Bhaari (2014) that made Rs36 crore, Dr Prakash Baba Amte (2014) that earned Rs15 crore, Timepass 2 (2015) that made Rs30 crore and Natsamrat (2016) that clocked Rs40 crore."
108,2018-05-21,Zee,"Tarun Katial will report to Amit Goenka, CEO-international broadcasting business and ZEE5 global

New Delhi: Television and media entertainment company Zee Entertainment Enterprises Ltd (ZEEL) on Monday announced the appointment of Tarun Katial as chief executive officer for its digital arm, ZEE5. Katial will report to Amit Goenka, chief executive officer—International Broadcasting Business and ZEE5 Global. 
New Delhi: Television and media entertainment company Zee Entertainment Enterprises Ltd (ZEEL) on Monday announced the appointment of Tarun Katial as chief executive officer for its digital arm, ZEE5. Katial will report to Amit Goenka, chief executive officer—International Broadcasting Business and ZEE5 Global.
While serving as chief executive officer of Reliance Broadcast Network Ltd (RBNL), last April, Katial was handed additional responsibilities at ZEEL that included television and digital content production. In 2016, ZEEL had acquired the general entertainment TV broadcasting business of Anil Ambani-led Reliance Group. Big Magic and Big Ganga were two operational TV channels under RBNL.
In the past, Katial has been associated with Sony Pictures Entertainment and Star TV Network.
In a statement, ZEEL said that Archana Anand, chief business officer , ZEE5 would report to Katial for the ZEE5 India business operations and to Goenka for the ZEE5 global operations. The business development, customer acquisition, user engagement and retention and performance marketing teams of ZEE5 India would report to Anand.
Manish Aggarwal, chief marketing officer, digital, would report to Katial for the marketing operations (brand and digital) of ZEE5 India and to Goenka for the global digital marketing operations. Siddharth Narula, chief revenue officer – Digital India, would report to Katial for ZEE5 India sales and to Goenka for the global social, global indirect sales and the India digital sales other than the ZEE5 India sales function.
For the March quarter, ZEEL reported an 84.8% decline in net profit , despite a 12.9% growth in operating revenue."
